# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;škeriaca sa tvár;škeriaca sa tvár|tvár|úškľabok|úškrn
	👨🏾‍🦳;muž: stredne tmavý tón pleti, sivé vlasy;dospelý|muž|muž: stredne tmavý tón pleti, sivé vlasy|sivé vlasy|stredne tmavý tón pleti
	👨🏿‍🦳;muž: tmavý tón pleti, sivé vlasy;dospelý|muž|muž: tmavý tón pleti, sivé vlasy|sivé vlasy|tmavý tón pleti
👨‍🦲;muž: holá hlava;dospelý|holá hlava|muž|muž: holá hlava
	👨🏻‍🦲;muž: svetlý tón pleti, holá hlava;dospelý|holá hlava|muž|muž: svetlý tón pleti, holá hlava|svetlý tón pleti
	👨🏼‍🦲;muž: stredne svetlý tón pleti, holá hlava;dospelý|holá hlava|muž|muž: stredne svetlý tón pleti, holá hlava|stredne svetlý tón pleti
	👨🏽‍🦲;muž: stredný tón pleti, holá hlava;dospelý|holá hlava|muž|muž: stredný tón pleti, holá hlava|stredný tón pleti
	👨🏾‍🦲;muž: stredne tmavý tón pleti, holá hlava;dospelý|holá hlava|muž|muž: stredne tmavý tón pleti, holá hlava|stredne tmavý tón pleti
	👨🏿‍🦲;muž: tmavý tón pleti, holá hlava;dospelý|holá hlava|muž|muž: tmavý tón pleti, holá hlava|tmavý tón pleti
👩;žena;dospelá|žena
	👩🏻;žena: svetlý tón pleti;dospelá|svetlý tón pleti|žena|žena: svetlý tón pleti
	👩🏼;žena: stredne svetlý tón pleti;dospelá|stredne svetlý tón pleti|žena|žena: stredne svetlý tón pleti
	👩🏽;žena: stredný tón pleti;dospelá|stredný tón pleti|žena|žena: stredný tón pleti
	👩🏾;žena: stredne tmavý tón pleti;dospelá|stredne tmavý tón pleti|žena|žena: stredne tmavý tón pleti
	👩🏿;žena: tmavý tón pleti;dospelá|tmavý tón pleti|žena|žena: tmavý tón pleti
👩‍🦰;žena: ryšavé vlasy;dospelá|ryšavé vlasy|žena|žena: ryšavé vlasy
	👩🏻‍🦰;žena: svetlý tón pleti, ryšavé vlasy;dospelá|ryšavé vlasy|svetlý tón pleti|žena|žena: svetlý tón pleti, ryšavé vlasy
	👩🏼‍🦰;žena: stredne svetlý tón pleti, ryšavé vlasy;dospelá|ryšavé vlasy|stredne svetlý tón pleti|žena|žena: stredne svetlý tón pleti, ryšavé vlasy
	👩🏽‍🦰;žena: stredný tón pleti, ryšavé vlasy;dospelá|ryšavé vlasy|stredný tón pleti|žena|žena: stredný tón pleti, ryšavé vlasy
	👩🏾‍🦰;žena: stredne tmavý tón pleti, ryšavé vlasy;dospelá|ryšavé vlasy|stredne tmavý tón pleti|žena|žena: stredne tmavý tón pleti, ryšavé vlasy
	👩🏿‍🦰;žena: tmavý tón pleti, ryšavé vlasy;dospelá|ryšavé vlasy|tmavý tón pleti|žena|žena: tmavý tón pleti, ryšavé vlasy
🧑‍🦰;dospelý: ryšavé vlasy;dospelá|dospelý|dospelý: ryšavé vlasy|ryšavé vlasy
	🧑🏻‍🦰;dospelý: svetlý tón pleti, ryšavé vlasy;dospelá|dospelý|dospelý: svetlý tón pleti, ryšavé vlasy|ryšavé vlasy|svetlý tón pleti
	🧑🏼‍🦰;dospelý: stredne svetlý tón pleti, ryšavé vlasy;dospelá|dospelý|dospelý: stredne svetlý tón pleti, ryšavé vlasy|ryšavé vlasy|stredne svetlý tón pleti
	🧑🏽‍🦰;dospelý: stredný tón pleti, ryšavé vlasy;dospelá|dospelý|dospelý: stredný tón pleti, ryšavé vlasy|ryšavé vlasy|stredný tón pleti
	🧑🏾‍🦰;dospelý: stredne tmavý tón pleti, ryšavé vlasy;dospelá|dospelý|dospelý: stredne tmavý tón pleti, ryšavé vlasy|ryšavé vlasy|stredne tmavý tón pleti
	🧑🏿‍🦰;dospelý: tmavý tón pleti, ryšavé vlasy;dospelá|dospelý|dospelý: tmavý tón pleti, ryšavé vlasy|ryšavé vlasy|tmavý tón pleti
👩‍🦱;žena: kučeravé vlasy;dospelá|kučeravé vlasy|žena|žena: kučeravé vlasy
	👩🏻‍🦱;žena: svetlý tón pleti, kučeravé vlasy;dospelá|kučeravé vlasy|svetlý tón pleti|žena|žena: svetlý tón pleti, kučeravé vlasy
	👩🏼‍🦱;žena: stredne svetlý tón pleti, kučeravé vlasy;dospelá|kučeravé vlasy|stredne svetlý tón pleti|žena|žena: stredne svetlý tón pleti, kučeravé vlasy
	👩🏽‍🦱;žena: stredný tón pleti, kučeravé vlasy;dospelá|kučeravé vlasy|stredný tón pleti|žena|žena: stredný tón pleti, kučeravé vlasy
	👩🏾‍🦱;žena: stredne tmavý tón pleti, kučeravé vlasy;dospelá|kučeravé vlasy|stredne tmavý tón pleti|žena|žena: stredne tmavý tón pleti, kučeravé vlasy
	👩🏿‍🦱;žena: tmavý tón pleti, kučeravé vlasy;dospelá|kučeravé vlasy|tmavý tón pleti|žena|žena: tmavý tón pleti, kučeravé vlasy
🧑‍🦱;dospelý: kučeravé vlasy;dospelá|dospelý|dospelý: kučeravé vlasy|kučeravé vlasy
	🧑🏻‍🦱;dospelý: svetlý tón pleti, kučeravé vlasy;dospelá|dospelý|dospelý: svetlý tón pleti, kučeravé vlasy|kučeravé vlasy|svetlý tón pleti
	🧑🏼‍🦱;dospelý: stredne svetlý tón pleti, kučeravé vlasy;dospelá|dospelý|dospelý: stredne svetlý tón pleti, kučeravé vlasy|kučeravé vlasy|stredne svetlý tón pleti
	🧑🏽‍🦱;dospelý: stredný tón pleti, kučeravé vlasy;dospelá|dospelý|dospelý: stredný tón pleti, kučeravé vlasy|kučeravé vlasy|stredný tón pleti
	🧑🏾‍🦱;dospelý: stredne tmavý tón pleti, kučeravé vlasy;dospelá|dospelý|dospelý: stredne tmavý tón pleti, kučeravé vlasy|kučeravé vlasy|stredne tmavý tón pleti
	🧑🏿‍🦱;dospelý: tmavý tón pleti, kučeravé vlasy;dospelá|dospelý|dospelý: tmavý tón pleti, kučeravé vlasy|kučeravé vlasy|tmavý tón pleti
👩‍🦳;žena: sivé vlasy;dospelá|sivé vlasy|žena|žena: sivé vlasy
	👩🏻‍🦳;žena: svetlý tón pleti, sivé vlasy;dospelá|sivé vlasy|svetlý tón pleti|žena|žena: svetlý tón pleti, sivé vlasy
	👩🏼‍🦳;žena: stredne svetlý tón pleti, sivé vlasy;dospelá|sivé vlasy|stredne svetlý tón pleti|žena|žena: stredne svetlý tón pleti, sivé vlasy
	👩🏽‍🦳;žena: stredný tón pleti, sivé vlasy;dospelá|sivé vlasy|stredný tón pleti|žena|žena: stredný tón pleti, sivé vlasy
	👩🏾‍🦳;žena: stredne tmavý tón pleti, sivé vlasy;dospelá|sivé vlasy|stredne tmavý tón pleti|žena|žena: stredne tmavý tón pleti, sivé vlasy
	👩🏿‍🦳;žena: tmavý tón pleti, sivé vlasy;dospelá|sivé vlasy|tmavý tón pleti|žena|žena: tmavý tón pleti, sivé vlasy
🧑‍🦳;dospelý: sivé vlasy;dospelá|dospelý|dospelý: sivé vlasy|sivé vlasy
	🧑🏻‍🦳;dospelý: svetlý tón pleti, sivé vlasy;dospelá|dospelý|dospelý: svetlý tón pleti, sivé vlasy|sivé vlasy|svetlý tón pleti
	🧑🏼‍🦳;dospelý: stredne svetlý tón pleti, sivé vlasy;dospelá|dospelý|dospelý: stredne svetlý tón pleti, sivé vlasy|sivé vlasy|stredne svetlý tón pleti
	🧑🏽‍🦳;dospelý: stredný tón pleti, sivé vlasy;dospelá|dospelý|dospelý: stredný tón pleti, sivé vlasy|sivé vlasy|stredný tón pleti
	🧑🏾‍🦳;dospelý: stredne tmavý tón pleti, sivé vlasy;dospelá|dospelý|dospelý: stredne tmavý tón pleti, sivé vlasy|sivé vlasy|stredne tmavý tón pleti
	🧑🏿‍🦳;dospelý: tmavý tón pleti, sivé vlasy;dospelá|dospelý|dospelý: tmavý tón pleti, sivé vlasy|sivé vlasy|tmavý tón pleti
👩‍🦲;žena: holá hlava;dospelá|holá hlava|žena|žena: holá hlava
	👩🏻‍🦲;žena: svetlý tón pleti, holá hlava;dospelá|holá hlava|svetlý tón pleti|žena|žena: svetlý tón pleti, holá hlava
	👩🏼‍🦲;žena: stredne svetlý tón pleti, holá hlava;dospelá|holá hlava|stredne svetlý tón pleti|žena|žena: stredne svetlý tón pleti, holá hlava
	👩🏽‍🦲;žena: stredný tón pleti, holá hlava;dospelá|holá hlava|stredný tón pleti|žena|žena: stredný tón pleti, holá hlava
	👩🏾‍🦲;žena: stredne tmavý tón pleti, holá hlava;dospelá|holá hlava|stredne tmavý tón pleti|žena|žena: stredne tmavý tón pleti, holá hlava
	👩🏿‍🦲;žena: tmavý tón pleti, holá hlava;dospelá|holá hlava|tmavý tón pleti|žena|žena: tmavý tón pleti, holá hlava
🧑‍🦲;dospelý: holá hlava;dospelá|dospelý|dospelý: holá hlava|holá hlava
	🧑🏻‍🦲;dospelý: svetlý tón pleti, holá hlava;dospelá|dospelý|dospelý: svetlý tón pleti, holá hlava|holá hlava|svetlý tón pleti
	🧑🏼‍🦲;dospelý: stredne svetlý tón pleti, holá hlava;dospelá|dospelý|dospelý: stredne svetlý tón pleti, holá hlava|holá hlava|stredne svetlý tón pleti
	🧑🏽‍🦲;dospelý: stredný tón pleti, holá hlava;dospelá|dospelý|dospelý: stredný tón pleti, holá hlava|holá hlava|stredný tón pleti
	🧑🏾‍🦲;dospelý: stredne tmavý tón pleti, holá hlava;dospelá|dospelý|dospelý: stredne tmavý tón pleti, holá hlava|holá hlava|stredne tmavý tón pleti
	🧑🏿‍🦲;dospelý: tmavý tón pleti, holá hlava;dospelá|dospelý|dospelý: tmavý tón pleti, holá hlava|holá hlava|tmavý tón pleti
👱‍♀️;blondína;blond|blondína|blondínka|svetlovlasá|žena
	👱🏻‍♀️;blondína: svetlý tón pleti;blond|blondína|blondína: svetlý tón pleti|blondínka|svetlovlasá|svetlý tón pleti|žena
	👱🏼‍♀️;blondína: stredne svetlý tón pleti;blond|blondína|blondína: stredne svetlý tón pleti|blondínka|stredne svetlý tón pleti|svetlovlasá|žena
	👱🏽‍♀️;blondína: stredný tón pleti;blond|blondína|blondína: stredný tón pleti|blondínka|stredný tón pleti|svetlovlasá|žena
	👱🏾‍♀️;blondína: stredne tmavý tón pleti;blond|blondína|blondína: stredne tmavý tón pleti|blondínka|stredne tmavý tón pleti|svetlovlasá|žena
	👱🏿‍♀️;blondína: tmavý tón pleti;blond|blondína|blondína: tmavý tón pleti|blondínka|svetlovlasá|tmavý tón pleti|žena
👱‍♂️;blondín;blond|blondín|muž|svetlovlasý
	👱🏻‍♂️;blondín: svetlý tón pleti;blond|blondín|blondín: svetlý tón pleti|muž|svetlovlasý|svetlý tón pleti
	👱🏼‍♂️;blondín: stredne svetlý tón pleti;blond|blondín|blondín: stredne svetlý tón pleti|muž|stredne svetlý tón pleti|svetlovlasý
	👱🏽‍♂️;blondín: stredný tón pleti;blond|blondín|blondín: stredný tón pleti|muž|stredný tón pleti|svetlovlasý
	👱🏾‍♂️;blondín: stredne tmavý tón pleti;blond|blondín|blondín: stredne tmavý tón pleti|muž|stredne tmavý tón pleti|svetlovlasý
	👱🏿‍♂️;blondín: tmavý tón pleti;blond|blondín|blondín: tmavý tón pleti|muž|svetlovlasý|tmavý tón pleti
🧓;starší človek;človek|starší človek|starý
	🧓🏻;starší človek: svetlý tón pleti;človek|starší človek|starší človek: svetlý tón pleti|starý|svetlý tón pleti
	🧓🏼;starší človek: stredne svetlý tón pleti;človek|starší človek|starší človek: stredne svetlý tón pleti|starý|stredne svetlý tón pleti
	🧓🏽;starší človek: stredný tón pleti;človek|starší človek|starší človek: stredný tón pleti|starý|stredný tón pleti
	🧓🏾;starší človek: stredne tmavý tón pleti;človek|starší človek|starší človek: stredne tmavý tón pleti|starý|stredne tmavý tón pleti
	🧓🏿;starší človek: tmavý tón pleti;človek|starší človek|starší človek: tmavý tón pleti|starý|tmavý tón pleti
👴;starší muž;muž|starší muž|starý
	👴🏻;starší muž: svetlý tón pleti;muž|starší muž|starší muž: svetlý tón pleti|starý|svetlý tón pleti
	👴🏼;starší muž: stredne svetlý tón pleti;muž|starší muž|starší muž: stredne svetlý tón pleti|starý|stredne svetlý tón pleti
	👴🏽;starší muž: stredný tón pleti;muž|starší muž|starší muž: stredný tón pleti|starý|stredný tón pleti
	👴🏾;starší muž: stredne tmavý tón pleti;muž|starší muž|starší muž: stredne tmavý tón pleti|starý|stredne tmavý tón pleti
	👴🏿;starší muž: tmavý tón pleti;muž|starší muž|starší muž: tmavý tón pleti|starý|tmavý tón pleti
👵;staršia žena;stará|staršia žena|žena
	👵🏻;staršia žena: svetlý tón pleti;stará|staršia žena|staršia žena: svetlý tón pleti|svetlý tón pleti|žena
	👵🏼;staršia žena: stredne svetlý tón pleti;stará|staršia žena|staršia žena: stredne svetlý tón pleti|stredne svetlý tón pleti|žena
	👵🏽;staršia žena: stredný tón pleti;stará|staršia žena|staršia žena: stredný tón pleti|stredný tón pleti|žena
	👵🏾;staršia žena: stredne tmavý tón pleti;stará|staršia žena|staršia žena: stredne tmavý tón pleti|stredne tmavý tón pleti|žena
	👵🏿;staršia žena: tmavý tón pleti;stará|staršia žena|staršia žena: tmavý tón pleti|tmavý tón pleti|žena
🙍;zamračený človek;výraz|zamračená|zamračený človek
	🙍🏻;zamračený človek: svetlý tón pleti;svetlý tón pleti|výraz|zamračená|zamračený človek|zamračený človek: svetlý tón pleti
	🙍🏼;zamračený človek: stredne svetlý tón pleti;stredne svetlý tón pleti|výraz|zamračená|zamračený človek|zamračený človek: stredne svetlý tón pleti
	🙍🏽;zamračený človek: stredný tón pleti;stredný tón pleti|výraz|zamračená|zamračený človek|zamračený človek: stredný tón pleti
	🙍🏾;zamračený človek: stredne tmavý tón pleti;stredne tmavý tón pleti|výraz|zamračená|zamračený človek|zamračený človek: stredne tmavý tón pleti
	🙍🏿;zamračený človek: tmavý tón pleti;tmavý tón pleti|výraz|zamračená|zamračený človek|zamračený človek: tmavý tón pleti
🙍‍♂️;zamračený muž;muž|tvár|zamračený
	🙍🏻‍♂️;zamračený muž: svetlý tón pleti;muž|svetlý tón pleti|tvár|zamračený|zamračený muž: svetlý tón pleti
	🙍🏼‍♂️;zamračený muž: stredne svetlý tón pleti;muž|stredne svetlý tón pleti|tvár|zamračený|zamračený muž: stredne svetlý tón pleti
	🙍🏽‍♂️;zamračený muž: stredný tón pleti;muž|stredný tón pleti|tvár|zamračený|zamračený muž: stredný tón pleti
	🙍🏾‍♂️;zamračený muž: stredne tmavý tón pleti;muž|stredne tmavý tón pleti|tvár|zamračený|zamračený muž: stredne tmavý tón pleti
	🙍🏿‍♂️;zamračený muž: tmavý tón pleti;muž|tmavý tón pleti|tvár|zamračený|zamračený muž: tmavý tón pleti
🙍‍♀️;zamračená žena;tvár|zamračená|žena
	🙍🏻‍♀️;zamračená žena: svetlý tón pleti;svetlý tón pleti|tvár|zamračená|zamračená žena: svetlý tón pleti|žena
	🙍🏼‍♀️;zamračená žena: stredne svetlý tón pleti;stredne svetlý tón pleti|tvár|zamračená|zamračená žena: stredne svetlý tón pleti|žena
	🙍🏽‍♀️;zamračená žena: stredný tón pleti;stredný tón pleti|tvár|zamračená|zamračená žena: stredný tón pleti|žena
	🙍🏾‍♀️;zamračená žena: stredne tmavý tón pleti;stredne tmavý tón pleti|tvár|zamračená|zamračená žena: stredne tmavý tón pleti|žena
	🙍🏿‍♀️;zamračená žena: tmavý tón pleti;tmavý tón pleti|tvár|zamračená|zamračená žena: tmavý tón pleti|žena
🙎;podráždený človek;podráždený človek|trucujúca|výraz
	🙎🏻;podráždený človek: svetlý tón pleti;podráždený človek|podráždený človek: svetlý tón pleti|svetlý tón pleti|trucujúca|výraz
	🙎🏼;podráždený človek: stredne svetlý tón pleti;podráždený človek|podráždený človek: stredne svetlý tón pleti|stredne svetlý tón pleti|trucujúca|výraz
	🙎🏽;podráždený človek: stredný tón pleti;podráždený človek|podráždený človek: stredný tón pleti|stredný tón pleti|trucujúca|výraz
	🙎🏾;podráždený človek: stredne tmavý tón pleti;podráždený človek|podráždený človek: stredne tmavý tón pleti|stredne tmavý tón pleti|trucujúca|výraz
	🙎🏿;podráždený človek: tmavý tón pleti;podráždený človek|podráždený človek: tmavý tón pleti|tmavý tón pleti|trucujúca|výraz
🙎‍♂️;podráždený muž;muž|podráždený muž|trucujúci|výraz
	🙎🏻‍♂️;podráždený muž: svetlý tón pleti;muž|podráždený muž|podráždený muž: svetlý tón pleti|svetlý tón pleti|trucujúci|výraz
	🙎🏼‍♂️;podráždený muž: stredne svetlý tón pleti;muž|podráždený muž|podráždený muž: stredne svetlý tón pleti|stredne svetlý tón pleti|trucujúci|výraz
	🙎🏽‍♂️;podráždený muž: stredný tón pleti;muž|podráždený muž|podráždený muž: stredný tón pleti|stredný tón pleti|trucujúci|výraz
	🙎🏾‍♂️;podráždený muž: stredne tmavý tón pleti;muž|podráždený muž|podráždený muž: stredne tmavý tón pleti|stredne tmavý tón pleti|trucujúci|výraz
	🙎🏿‍♂️;podráždený muž: tmavý tón pleti;muž|podráždený muž|podráždený muž: tmavý tón pleti|tmavý tón pleti|trucujúci|výraz
🙎‍♀️;podráždená žena;podráždená|trucujúca|výraz|žena
	🙎🏻‍♀️;podráždená žena: svetlý tón pleti;podráždená|podráždená žena: svetlý tón pleti|svetlý tón pleti|trucujúca|výraz|žena
	🙎🏼‍♀️;podráždená žena: stredne svetlý tón pleti;podráždená|podráždená žena: stredne svetlý tón pleti|stredne svetlý tón pleti|trucujúca|výraz|žena
	🙎🏽‍♀️;podráždená žena: stredný tón pleti;podráždená|podráždená žena: stredný tón pleti|stredný tón pleti|trucujúca|výraz|žena
	🙎🏾‍♀️;podráždená žena: stredne tmavý tón pleti;podráždená|podráždená žena: stredne tmavý tón pleti|stredne tmavý tón pleti|trucujúca|výraz|žena
	🙎🏿‍♀️;podráždená žena: tmavý tón pleti;podráždená|podráždená žena: tmavý tón pleti|tmavý tón pleti|trucujúca|výraz|žena
🙅;človek s prekríženými rukami;človek s prekríženými rukami|gesto|nie|ruka|zakázané
	🙅🏻;človek s prekríženými rukami: svetlý tón pleti;človek s prekríženými rukami|človek s prekríženými rukami: svetlý tón pleti|gesto|nie|ruka|svetlý tón pleti|zakázané
	🙅🏼;človek s prekríženými rukami: stredne svetlý tón pleti;človek s prekríženými rukami|človek s prekríženými rukami: stredne svetlý tón pleti|gesto|nie|ruka|stredne svetlý tón pleti|zakázané
	🙅🏽;človek s prekríženými rukami: stredný tón pleti;človek s prekríženými rukami|človek s prekríženými rukami: stredný tón pleti|gesto|nie|ruka|stredný tón pleti|zakázané
	🙅🏾;človek s prekríženými rukami: stredne tmavý tón pleti;človek s prekríženými rukami|človek s prekríženými rukami: stredne tmavý tón pleti|gesto|nie|ruka|stredne tmavý tón pleti|zakázané
	🙅🏿;človek s prekríženými rukami: tmavý tón pleti;človek s prekríženými rukami|človek s prekríženými rukami: tmavý tón pleti|gesto|nie|ruka|tmavý tón pleti|zakázané
🙅‍♂️;muž s prekríženými rukami;gesto|muž|muž s prekríženými rukami|nie|ruka|zakázané
	🙅🏻‍♂️;muž s prekríženými rukami: svetlý tón pleti;gesto|muž|muž s prekríženými rukami|muž s prekríženými rukami: svetlý tón pleti|nie|ruka|svetlý tón pleti|zakázané
	🙅🏼‍♂️;muž s prekríženými rukami: stredne svetlý tón pleti;gesto|muž|muž s prekríženými rukami|muž s prekríženými rukami: stredne svetlý tón pleti|nie|ruka|stredne svetlý tón pleti|zakázané
	🙅🏽‍♂️;muž s prekríženými rukami: stredný tón pleti;gesto|muž|muž s prekríženými rukami|muž s prekríženými rukami: stredný tón pleti|nie|ruka|stredný tón pleti|zakázané
	🙅🏾‍♂️;muž s prekríženými rukami: stredne tmavý tón pleti;gesto|muž|muž s prekríženými rukami|muž s prekríženými rukami: stredne tmavý tón pleti|nie|ruka|stredne tmavý tón pleti|zakázané
	🙅🏿‍♂️;muž s prekríženými rukami: tmavý tón pleti;gesto|muž|muž s prekríženými rukami|muž s prekríženými rukami: tmavý tón pleti|nie|ruka|tmavý tón pleti|zakázané
🙅‍♀️;žena s prekríženými rukami;gesto|nie|ruka|zakázané|žena|žena s prekríženými rukami
	🙅🏻‍♀️;žena s prekríženými rukami: svetlý tón pleti;gesto|nie|ruka|svetlý tón pleti|zakázané|žena|žena s prekríženými rukami|žena s prekríženými rukami: svetlý tón pleti
	🙅🏼‍♀️;žena s prekríženými rukami: stredne svetlý tón pleti;gesto|nie|ruka|stredne svetlý tón pleti|zakázané|žena|žena s prekríženými rukami|žena s prekríženými rukami: stredne svetlý tón pleti
	🙅🏽‍♀️;žena s prekríženými rukami: stredný tón pleti;gesto|nie|ruka|stredný tón pleti|zakázané|žena|žena s prekríženými rukami|žena s prekríženými rukami: stredný tón pleti
	🙅🏾‍♀️;žena s prekríženými rukami: stredne tmavý tón pleti;gesto|nie|ruka|stredne tmavý tón pleti|zakázané|žena|žena s prekríženými rukami|žena s prekríženými rukami: stredne tmavý tón pleti
	🙅🏿‍♀️;žena s prekríženými rukami: tmavý tón pleti;gesto|nie|ruka|tmavý tón pleti|zakázané|žena|žena s prekríženými rukami|žena s prekríženými rukami: tmavý tón pleti
🙆;človek s rukami nad hlavou;človek s rukami nad hlavou|gesto|ok|ruka
	🙆🏻;človek s rukami nad hlavou: svetlý tón pleti;človek s rukami nad hlavou|človek s rukami nad hlavou: svetlý tón pleti|gesto|ok|ruka|svetlý tón pleti
	🙆🏼;človek s rukami nad hlavou: stredne svetlý tón pleti;človek s rukami nad hlavou|človek s rukami nad hlavou: stredne svetlý tón pleti|gesto|ok|ruka|stredne svetlý tón pleti
	🙆🏽;človek s rukami nad hlavou: stredný tón pleti;človek s rukami nad hlavou|človek s rukami nad hlavou: stredný tón pleti|gesto|ok|ruka|stredný tón pleti
	🙆🏾;človek s rukami nad hlavou: stredne tmavý tón pleti;človek s rukami nad hlavou|človek s rukami nad hlavou: stredne tmavý tón pleti|gesto|ok|ruka|stredne tmavý tón pleti
	🙆🏿;človek s rukami nad hlavou: tmavý tón pleti;človek s rukami nad hlavou|človek s rukami nad hlavou: tmavý tón pleti|gesto|ok|ruka|tmavý tón pleti
🙆‍♂️;muž s rukami nad hlavou;hlava|muž|muž s rukami nad hlavou|ruka
	🙆🏻‍♂️;muž s rukami nad hlavou: svetlý tón pleti;hlava|muž|muž s rukami nad hlavou|muž s rukami nad hlavou: svetlý tón pleti|ruka|svetlý tón pleti
	🙆🏼‍♂️;muž s rukami nad hlavou: stredne svetlý tón pleti;hlava|muž|muž s rukami nad hlavou|muž s rukami nad hlavou: stredne svetlý tón pleti|ruka|stredne svetlý tón pleti
	🙆🏽‍♂️;muž s rukami nad hlavou: stredný tón pleti;hlava|muž|muž s rukami nad hlavou|muž s rukami nad hlavou: stredný tón pleti|ruka|stredný tón pleti
	🙆🏾‍♂️;muž s rukami nad hlavou: stredne tmavý tón pleti;hlava|muž|muž s rukami nad hlavou|muž s rukami nad hlavou: stredne tmavý tón pleti|ruka|stredne tmavý tón pleti
	🙆🏿‍♂️;muž s rukami nad hlavou: tmavý tón pleti;hlava|muž|muž s rukami nad hlavou|muž s rukami nad hlavou: tmavý tón pleti|ruka|tmavý tón pleti
🙆‍♀️;žena s rukami nad hlavou;hlava|ruka|žena|žena s rukami nad hlavou
	🙆🏻‍♀️;žena s rukami nad hlavou: svetlý tón pleti;hlava|ruka|svetlý tón pleti|žena|žena s rukami nad hlavou|žena s rukami nad hlavou: svetlý tón pleti
	🙆🏼‍♀️;žena s rukami nad hlavou: stredne svetlý tón pleti;hlava|ruka|stredne svetlý tón pleti|žena|žena s rukami nad hlavou|žena s rukami nad hlavou: stredne svetlý tón pleti
	🙆🏽‍♀️;žena s rukami nad hlavou: stredný tón pleti;hlava|ruka|stredný tón pleti|žena|žena s rukami nad hlavou|žena s rukami nad hlavou: stredný tón pleti
	🙆🏾‍♀️;žena s rukami nad hlavou: stredne tmavý tón pleti;hlava|ruka|stredne tmavý tón pleti|žena|žena s rukami nad hlavou|žena s rukami nad hlavou: stredne tmavý tón pleti
	🙆🏿‍♀️;žena s rukami nad hlavou: tmavý tón pleti;hlava|ruka|tmavý tón pleti|žena|žena s rukami nad hlavou|žena s rukami nad hlavou: tmavý tón pleti
💁;človek s nastavenou dlaňou;človek s nastavenou dlaňou|dlaň|nastavená|ruka
	💁🏻;človek s nastavenou dlaňou: svetlý tón pleti;človek s nastavenou dlaňou|človek s nastavenou dlaňou: svetlý tón pleti|dlaň|nastavená|ruka|svetlý tón pleti
	💁🏼;človek s nastavenou dlaňou: stredne svetlý tón pleti;človek s nastavenou dlaňou|človek s nastavenou dlaňou: stredne svetlý tón pleti|dlaň|nastavená|ruka|stredne svetlý tón pleti
	💁🏽;človek s nastavenou dlaňou: stredný tón pleti;človek s nastavenou dlaňou|človek s nastavenou dlaňou: stredný tón pleti|dlaň|nastavená|ruka|stredný tón pleti
	💁🏾;človek s nastavenou dlaňou: stredne tmavý tón pleti;človek s nastavenou dlaňou|človek s nastavenou dlaňou: stredne tmavý tón pleti|dlaň|nastavená|ruka|stredne tmavý tón pleti
	💁🏿;človek s nastavenou dlaňou: tmavý tón pleti;človek s nastavenou dlaňou|človek s nastavenou dlaňou: tmavý tón pleti|dlaň|nastavená|ruka|tmavý tón pleti
💁‍♂️;muž s nastavenou dlaňou;dlaň|muž|muž s nastavenou dlaňou|nastavená|ruka
	💁🏻‍♂️;muž s nastavenou dlaňou: svetlý tón pleti;dlaň|muž|muž s nastavenou dlaňou|muž s nastavenou dlaňou: svetlý tón pleti|nastavená|ruka|svetlý tón pleti
	💁🏼‍♂️;muž s nastavenou dlaňou: stredne svetlý tón pleti;dlaň|muž|muž s nastavenou dlaňou|muž s nastavenou dlaňou: stredne svetlý tón pleti|nastavená|ruka|stredne svetlý tón pleti
	💁🏽‍♂️;muž s nastavenou dlaňou: stredný tón pleti;dlaň|muž|muž s nastavenou dlaňou|muž s nastavenou dlaňou: stredný tón pleti|nastavená|ruka|stredný tón pleti
	💁🏾‍♂️;muž s nastavenou dlaňou: stredne tmavý tón pleti;dlaň|muž|muž s nastavenou dlaňou|muž s nastavenou dlaňou: stredne tmavý tón pleti|nastavená|ruka|stredne tmavý tón pleti
	💁🏿‍♂️;muž s nastavenou dlaňou: tmavý tón pleti;dlaň|muž|muž s nastavenou dlaňou|muž s nastavenou dlaňou: tmavý tón pleti|nastavená|ruka|tmavý tón pleti
💁‍♀️;žena s nastavenou dlaňou;dlaň|nastavená|ruka|žena|žena s nastavenou dlaňou
	💁🏻‍♀️;žena s nastavenou dlaňou: svetlý tón pleti;dlaň|nastavená|ruka|svetlý tón pleti|žena|žena s nastavenou dlaňou|žena s nastavenou dlaňou: svetlý tón pleti
	💁🏼‍♀️;žena s nastavenou dlaňou: stredne svetlý tón pleti;dlaň|nastavená|ruka|stredne svetlý tón pleti|žena|žena s nastavenou dlaňou|žena s nastavenou dlaňou: stredne svetlý tón pleti
	💁🏽‍♀️;žena s nastavenou dlaňou: stredný tón pleti;dlaň|nastavená|ruka|stredný tón pleti|žena|žena s nastavenou dlaňou|žena s nastavenou dlaňou: stredný tón pleti
	💁🏾‍♀️;žena s nastavenou dlaňou: stredne tmavý tón pleti;dlaň|nastavená|ruka|stredne tmavý tón pleti|žena|žena s nastavenou dlaňou|žena s nastavenou dlaňou: stredne tmavý tón pleti
	💁🏿‍♀️;žena s nastavenou dlaňou: tmavý tón pleti;dlaň|nastavená|ruka|tmavý tón pleti|žena|žena s nastavenou dlaňou|žena s nastavenou dlaňou: tmavý tón pleti
🙋;človek so zdvihnutou rukou;človek so zdvihnutou rukou|gesto|ruka|zdvihnutá
