# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;दाँत दिखाता चेहरा;खीस|चेहरा|दाँत दिखाता चेहरा
	🧑🏿‍🏭;फ़ैक्ट्री मज़दूर: साँवली त्वचा;औद्योगिक|कारखाना|फ़ैक्ट्री मज़दूर|फ़ैक्ट्री मज़दूर: साँवली त्वचा|मज़दूर|सभा|साँवली त्वचा
👨‍🏭;पुरुष फैक्टरी मजदूर;आदमी|औद्योगिक|कारखाना|पुरुष|पुरुष फैक्टरी मजदूर|मज़दूर
	👨🏻‍🏭;पुरुष फैक्टरी मजदूर: गोरी त्वचा;आदमी|औद्योगिक|कारखाना|गोरी त्वचा|पुरुष|पुरुष फैक्टरी मजदूर|पुरुष फैक्टरी मजदूर: गोरी त्वचा|मज़दूर
	👨🏼‍🏭;पुरुष फैक्टरी मजदूर: हल्की गोरी त्वचा;आदमी|औद्योगिक|कारखाना|पुरुष|पुरुष फैक्टरी मजदूर|पुरुष फैक्टरी मजदूर: हल्की गोरी त्वचा|मज़दूर|हल्की गोरी त्वचा
	👨🏽‍🏭;पुरुष फैक्टरी मजदूर: गेहुँआ त्वचा;आदमी|औद्योगिक|कारखाना|गेहुँआ त्वचा|पुरुष|पुरुष फैक्टरी मजदूर|पुरुष फैक्टरी मजदूर: गेहुँआ त्वचा|मज़दूर
	👨🏾‍🏭;पुरुष फैक्टरी मजदूर: हल्की साँवली त्वचा;आदमी|औद्योगिक|कारखाना|पुरुष|पुरुष फैक्टरी मजदूर|पुरुष फैक्टरी मजदूर: हल्की साँवली त्वचा|मज़दूर|हल्की साँवली त्वचा
	👨🏿‍🏭;पुरुष फैक्टरी मजदूर: साँवली त्वचा;आदमी|औद्योगिक|कारखाना|पुरुष|पुरुष फैक्टरी मजदूर|पुरुष फैक्टरी मजदूर: साँवली त्वचा|मज़दूर|साँवली त्वचा
👩‍🏭;महिला फैक्टरी मजदूर;औद्योगिक|कारखाना|मज़दूर|महिला|महिला फैक्टरी मजदूर
	👩🏻‍🏭;महिला फैक्टरी मजदूर: गोरी त्वचा;औद्योगिक|कारखाना|गोरी त्वचा|मज़दूर|महिला|महिला फैक्टरी मजदूर|महिला फैक्टरी मजदूर: गोरी त्वचा
	👩🏼‍🏭;महिला फैक्टरी मजदूर: हल्की गोरी त्वचा;औद्योगिक|कारखाना|मज़दूर|महिला|महिला फैक्टरी मजदूर|महिला फैक्टरी मजदूर: हल्की गोरी त्वचा|हल्की गोरी त्वचा
	👩🏽‍🏭;महिला फैक्टरी मजदूर: गेहुँआ त्वचा;औद्योगिक|कारखाना|गेहुँआ त्वचा|मज़दूर|महिला|महिला फैक्टरी मजदूर|महिला फैक्टरी मजदूर: गेहुँआ त्वचा
	👩🏾‍🏭;महिला फैक्टरी मजदूर: हल्की साँवली त्वचा;औद्योगिक|कारखाना|मज़दूर|महिला|महिला फैक्टरी मजदूर|महिला फैक्टरी मजदूर: हल्की साँवली त्वचा|हल्की साँवली त्वचा
	👩🏿‍🏭;महिला फैक्टरी मजदूर: साँवली त्वचा;औद्योगिक|कारखाना|मज़दूर|महिला|महिला फैक्टरी मजदूर|महिला फैक्टरी मजदूर: साँवली त्वचा|साँवली त्वचा
🧑‍💼;कार्यालय कार्यकर्ता;कर्मचारी|कार्यालय कार्यकर्ता|प्रबंधक|वास्तुकार|व्यवसाय
	🧑🏻‍💼;कार्यालय कार्यकर्ता: गोरी त्वचा;कर्मचारी|कार्यालय कार्यकर्ता|कार्यालय कार्यकर्ता: गोरी त्वचा|गोरी त्वचा|प्रबंधक|वास्तुकार|व्यवसाय
	🧑🏼‍💼;कार्यालय कार्यकर्ता: हल्की गोरी त्वचा;कर्मचारी|कार्यालय कार्यकर्ता|कार्यालय कार्यकर्ता: हल्की गोरी त्वचा|प्रबंधक|वास्तुकार|व्यवसाय|हल्की गोरी त्वचा
	🧑🏽‍💼;कार्यालय कार्यकर्ता: गेहुँआ त्वचा;कर्मचारी|कार्यालय कार्यकर्ता|कार्यालय कार्यकर्ता: गेहुँआ त्वचा|गेहुँआ त्वचा|प्रबंधक|वास्तुकार|व्यवसाय
	🧑🏾‍💼;कार्यालय कार्यकर्ता: हल्की साँवली त्वचा;कर्मचारी|कार्यालय कार्यकर्ता|कार्यालय कार्यकर्ता: हल्की साँवली त्वचा|प्रबंधक|वास्तुकार|व्यवसाय|हल्की साँवली त्वचा
	🧑🏿‍💼;कार्यालय कार्यकर्ता: साँवली त्वचा;कर्मचारी|कार्यालय कार्यकर्ता|कार्यालय कार्यकर्ता: साँवली त्वचा|प्रबंधक|वास्तुकार|व्यवसाय|साँवली त्वचा
👨‍💼;पुरुष कार्यालय कार्यकर्ता;आदमी|कार्यालय|पुरुष|पुरुष कार्यालय कार्यकर्ता|प्रबंधक|वास्तुकार|व्यापार|सफेद कॉलर
	👨🏻‍💼;पुरुष कार्यालय कार्यकर्ता: गोरी त्वचा;आदमी|कार्यालय|गोरी त्वचा|पुरुष|पुरुष कार्यालय कार्यकर्ता|पुरुष कार्यालय कार्यकर्ता: गोरी त्वचा|प्रबंधक|वास्तुकार|व्यापार|सफेद कॉलर
	👨🏼‍💼;पुरुष कार्यालय कार्यकर्ता: हल्की गोरी त्वचा;आदमी|कार्यालय|पुरुष|पुरुष कार्यालय कार्यकर्ता|पुरुष कार्यालय कार्यकर्ता: हल्की गोरी त्वचा|प्रबंधक|वास्तुकार|व्यापार|सफेद कॉलर|हल्की गोरी त्वचा
	👨🏽‍💼;पुरुष कार्यालय कार्यकर्ता: गेहुँआ त्वचा;आदमी|कार्यालय|गेहुँआ त्वचा|पुरुष|पुरुष कार्यालय कार्यकर्ता|पुरुष कार्यालय कार्यकर्ता: गेहुँआ त्वचा|प्रबंधक|वास्तुकार|व्यापार|सफेद कॉलर
	👨🏾‍💼;पुरुष कार्यालय कार्यकर्ता: हल्की साँवली त्वचा;आदमी|कार्यालय|पुरुष|पुरुष कार्यालय कार्यकर्ता|पुरुष कार्यालय कार्यकर्ता: हल्की साँवली त्वचा|प्रबंधक|वास्तुकार|व्यापार|सफेद कॉलर|हल्की साँवली त्वचा
	👨🏿‍💼;पुरुष कार्यालय कार्यकर्ता: साँवली त्वचा;आदमी|कार्यालय|पुरुष|पुरुष कार्यालय कार्यकर्ता|पुरुष कार्यालय कार्यकर्ता: साँवली त्वचा|प्रबंधक|वास्तुकार|व्यापार|सफेद कॉलर|साँवली त्वचा
👩‍💼;महिला कार्यालय कार्यकर्ता;कार्यालय|प्रबंधक|महिला|महिला कार्यालय कार्यकर्ता|वास्तुकार|व्यापार|सफेद कॉलर
	👩🏻‍💼;महिला कार्यालय कार्यकर्ता: गोरी त्वचा;कार्यालय|गोरी त्वचा|प्रबंधक|महिला|महिला कार्यालय कार्यकर्ता|महिला कार्यालय कार्यकर्ता: गोरी त्वचा|वास्तुकार|व्यापार|सफेद कॉलर
	👩🏼‍💼;महिला कार्यालय कार्यकर्ता: हल्की गोरी त्वचा;कार्यालय|प्रबंधक|महिला|महिला कार्यालय कार्यकर्ता|महिला कार्यालय कार्यकर्ता: हल्की गोरी त्वचा|वास्तुकार|व्यापार|सफेद कॉलर|हल्की गोरी त्वचा
	👩🏽‍💼;महिला कार्यालय कार्यकर्ता: गेहुँआ त्वचा;कार्यालय|गेहुँआ त्वचा|प्रबंधक|महिला|महिला कार्यालय कार्यकर्ता|महिला कार्यालय कार्यकर्ता: गेहुँआ त्वचा|वास्तुकार|व्यापार|सफेद कॉलर
	👩🏾‍💼;महिला कार्यालय कार्यकर्ता: हल्की साँवली त्वचा;कार्यालय|प्रबंधक|महिला|महिला कार्यालय कार्यकर्ता|महिला कार्यालय कार्यकर्ता: हल्की साँवली त्वचा|वास्तुकार|व्यापार|सफेद कॉलर|हल्की साँवली त्वचा
	👩🏿‍💼;महिला कार्यालय कार्यकर्ता: साँवली त्वचा;कार्यालय|प्रबंधक|महिला|महिला कार्यालय कार्यकर्ता|महिला कार्यालय कार्यकर्ता: साँवली त्वचा|वास्तुकार|व्यापार|सफेद कॉलर|साँवली त्वचा
🧑‍🔬;वैज्ञानिक;इंजीनियर|जीवविज्ञानी|भौतिक विज्ञानी|रसायनज्ञ|वैज्ञानिक
	🧑🏻‍🔬;वैज्ञानिक: गोरी त्वचा;इंजीनियर|गोरी त्वचा|जीवविज्ञानी|भौतिक विज्ञानी|रसायनज्ञ|वैज्ञानिक|वैज्ञानिक: गोरी त्वचा
	🧑🏼‍🔬;वैज्ञानिक: हल्की गोरी त्वचा;इंजीनियर|जीवविज्ञानी|भौतिक विज्ञानी|रसायनज्ञ|वैज्ञानिक|वैज्ञानिक: हल्की गोरी त्वचा|हल्की गोरी त्वचा
	🧑🏽‍🔬;वैज्ञानिक: गेहुँआ त्वचा;इंजीनियर|गेहुँआ त्वचा|जीवविज्ञानी|भौतिक विज्ञानी|रसायनज्ञ|वैज्ञानिक|वैज्ञानिक: गेहुँआ त्वचा
	🧑🏾‍🔬;वैज्ञानिक: हल्की साँवली त्वचा;इंजीनियर|जीवविज्ञानी|भौतिक विज्ञानी|रसायनज्ञ|वैज्ञानिक|वैज्ञानिक: हल्की साँवली त्वचा|हल्की साँवली त्वचा
	🧑🏿‍🔬;वैज्ञानिक: साँवली त्वचा;इंजीनियर|जीवविज्ञानी|भौतिक विज्ञानी|रसायनज्ञ|वैज्ञानिक|वैज्ञानिक: साँवली त्वचा|साँवली त्वचा
👨‍🔬;पुरुष वैज्ञानिक;आदमी|इंजीनियर|गणितज्ञ|जीवविज्ञानी|पुरुष|भौतिक विज्ञानी|रसायनज्ञ|वैज्ञानिक
	👨🏻‍🔬;पुरुष वैज्ञानिक: गोरी त्वचा;आदमी|इंजीनियर|गणितज्ञ|गोरी त्वचा|जीवविज्ञानी|पुरुष|पुरुष वैज्ञानिक: गोरी त्वचा|भौतिक विज्ञानी|रसायनज्ञ|वैज्ञानिक
	👨🏼‍🔬;पुरुष वैज्ञानिक: हल्की गोरी त्वचा;आदमी|इंजीनियर|गणितज्ञ|जीवविज्ञानी|पुरुष|पुरुष वैज्ञानिक: हल्की गोरी त्वचा|भौतिक विज्ञानी|रसायनज्ञ|वैज्ञानिक|हल्की गोरी त्वचा
	👨🏽‍🔬;पुरुष वैज्ञानिक: गेहुँआ त्वचा;आदमी|इंजीनियर|गणितज्ञ|गेहुँआ त्वचा|जीवविज्ञानी|पुरुष|पुरुष वैज्ञानिक: गेहुँआ त्वचा|भौतिक विज्ञानी|रसायनज्ञ|वैज्ञानिक
	👨🏾‍🔬;पुरुष वैज्ञानिक: हल्की साँवली त्वचा;आदमी|इंजीनियर|गणितज्ञ|जीवविज्ञानी|पुरुष|पुरुष वैज्ञानिक: हल्की साँवली त्वचा|भौतिक विज्ञानी|रसायनज्ञ|वैज्ञानिक|हल्की साँवली त्वचा
	👨🏿‍🔬;पुरुष वैज्ञानिक: साँवली त्वचा;आदमी|इंजीनियर|गणितज्ञ|जीवविज्ञानी|पुरुष|पुरुष वैज्ञानिक: साँवली त्वचा|भौतिक विज्ञानी|रसायनज्ञ|वैज्ञानिक|साँवली त्वचा
👩‍🔬;महिला वैज्ञानिक;इंजीनियर|गणितज्ञ|जीवविज्ञानी|भौतिक विज्ञानी|महिला|रसायनज्ञ|वैज्ञानिक
	👩🏻‍🔬;महिला वैज्ञानिक: गोरी त्वचा;इंजीनियर|गणितज्ञ|गोरी त्वचा|जीवविज्ञानी|भौतिक विज्ञानी|महिला|महिला वैज्ञानिक: गोरी त्वचा|रसायनज्ञ|वैज्ञानिक
	👩🏼‍🔬;महिला वैज्ञानिक: हल्की गोरी त्वचा;इंजीनियर|गणितज्ञ|जीवविज्ञानी|भौतिक विज्ञानी|महिला|महिला वैज्ञानिक: हल्की गोरी त्वचा|रसायनज्ञ|वैज्ञानिक|हल्की गोरी त्वचा
	👩🏽‍🔬;महिला वैज्ञानिक: गेहुँआ त्वचा;इंजीनियर|गणितज्ञ|गेहुँआ त्वचा|जीवविज्ञानी|भौतिक विज्ञानी|महिला|महिला वैज्ञानिक: गेहुँआ त्वचा|रसायनज्ञ|वैज्ञानिक
	👩🏾‍🔬;महिला वैज्ञानिक: हल्की साँवली त्वचा;इंजीनियर|गणितज्ञ|जीवविज्ञानी|भौतिक विज्ञानी|महिला|महिला वैज्ञानिक: हल्की साँवली त्वचा|रसायनज्ञ|वैज्ञानिक|हल्की साँवली त्वचा
	👩🏿‍🔬;महिला वैज्ञानिक: साँवली त्वचा;इंजीनियर|गणितज्ञ|जीवविज्ञानी|भौतिक विज्ञानी|महिला|महिला वैज्ञानिक: साँवली त्वचा|रसायनज्ञ|वैज्ञानिक|साँवली त्वचा
🧑‍💻;टेक्नोलॉजिस्ट;आविष्कारक|कोडर|टेक्नोलॉजिस्ट|डेवलपर|सॉफ़्टवेयर
	🧑🏻‍💻;टेक्नोलॉजिस्ट: गोरी त्वचा;आविष्कारक|कोडर|गोरी त्वचा|टेक्नोलॉजिस्ट|टेक्नोलॉजिस्ट: गोरी त्वचा|डेवलपर|सॉफ़्टवेयर
	🧑🏼‍💻;टेक्नोलॉजिस्ट: हल्की गोरी त्वचा;आविष्कारक|कोडर|टेक्नोलॉजिस्ट|टेक्नोलॉजिस्ट: हल्की गोरी त्वचा|डेवलपर|सॉफ़्टवेयर|हल्की गोरी त्वचा
	🧑🏽‍💻;टेक्नोलॉजिस्ट: गेहुँआ त्वचा;आविष्कारक|कोडर|गेहुँआ त्वचा|टेक्नोलॉजिस्ट|टेक्नोलॉजिस्ट: गेहुँआ त्वचा|डेवलपर|सॉफ़्टवेयर
	🧑🏾‍💻;टेक्नोलॉजिस्ट: हल्की साँवली त्वचा;आविष्कारक|कोडर|टेक्नोलॉजिस्ट|टेक्नोलॉजिस्ट: हल्की साँवली त्वचा|डेवलपर|सॉफ़्टवेयर|हल्की साँवली त्वचा
	🧑🏿‍💻;टेक्नोलॉजिस्ट: साँवली त्वचा;आविष्कारक|कोडर|टेक्नोलॉजिस्ट|टेक्नोलॉजिस्ट: साँवली त्वचा|डेवलपर|साँवली त्वचा|सॉफ़्टवेयर
👨‍💻;पुरुष टेक्नोलॉजिस्ट;आदमी|आविष्कारक|कोडर|टेक्नोलॉजिस्ट|डेवलपर|पुरुष|सॉफ्टवेयर
	👨🏻‍💻;पुरुष टेक्नोलॉजिस्ट: गोरी त्वचा;आदमी|आविष्कारक|कोडर|गोरी त्वचा|टेक्नोलॉजिस्ट|डेवलपर|पुरुष|पुरुष टेक्नोलॉजिस्ट: गोरी त्वचा|सॉफ्टवेयर
	👨🏼‍💻;पुरुष टेक्नोलॉजिस्ट: हल्की गोरी त्वचा;आदमी|आविष्कारक|कोडर|टेक्नोलॉजिस्ट|डेवलपर|पुरुष|पुरुष टेक्नोलॉजिस्ट: हल्की गोरी त्वचा|सॉफ्टवेयर|हल्की गोरी त्वचा
	👨🏽‍💻;पुरुष टेक्नोलॉजिस्ट: गेहुँआ त्वचा;आदमी|आविष्कारक|कोडर|गेहुँआ त्वचा|टेक्नोलॉजिस्ट|डेवलपर|पुरुष|पुरुष टेक्नोलॉजिस्ट: गेहुँआ त्वचा|सॉफ्टवेयर
	👨🏾‍💻;पुरुष टेक्नोलॉजिस्ट: हल्की साँवली त्वचा;आदमी|आविष्कारक|कोडर|टेक्नोलॉजिस्ट|डेवलपर|पुरुष|पुरुष टेक्नोलॉजिस्ट: हल्की साँवली त्वचा|सॉफ्टवेयर|हल्की साँवली त्वचा
	👨🏿‍💻;पुरुष टेक्नोलॉजिस्ट: साँवली त्वचा;आदमी|आविष्कारक|कोडर|टेक्नोलॉजिस्ट|डेवलपर|पुरुष|पुरुष टेक्नोलॉजिस्ट: साँवली त्वचा|साँवली त्वचा|सॉफ्टवेयर
👩‍💻;महिला टेक्नोलॉजिस्ट;आविष्कारक|कोडर|टेक्नोलॉजिस्ट|डेवलपर|महिला|सॉफ्टवेयर
	👩🏻‍💻;महिला टेक्नोलॉजिस्ट: गोरी त्वचा;आविष्कारक|कोडर|गोरी त्वचा|टेक्नोलॉजिस्ट|डेवलपर|महिला|महिला टेक्नोलॉजिस्ट: गोरी त्वचा|सॉफ्टवेयर
	👩🏼‍💻;महिला टेक्नोलॉजिस्ट: हल्की गोरी त्वचा;आविष्कारक|कोडर|टेक्नोलॉजिस्ट|डेवलपर|महिला|महिला टेक्नोलॉजिस्ट: हल्की गोरी त्वचा|सॉफ्टवेयर|हल्की गोरी त्वचा
	👩🏽‍💻;महिला टेक्नोलॉजिस्ट: गेहुँआ त्वचा;आविष्कारक|कोडर|गेहुँआ त्वचा|टेक्नोलॉजिस्ट|डेवलपर|महिला|महिला टेक्नोलॉजिस्ट: गेहुँआ त्वचा|सॉफ्टवेयर
	👩🏾‍💻;महिला टेक्नोलॉजिस्ट: हल्की साँवली त्वचा;आविष्कारक|कोडर|टेक्नोलॉजिस्ट|डेवलपर|महिला|महिला टेक्नोलॉजिस्ट: हल्की साँवली त्वचा|सॉफ्टवेयर|हल्की साँवली त्वचा
	👩🏿‍💻;महिला टेक्नोलॉजिस्ट: साँवली त्वचा;आविष्कारक|कोडर|टेक्नोलॉजिस्ट|डेवलपर|महिला|महिला टेक्नोलॉजिस्ट: साँवली त्वचा|साँवली त्वचा|सॉफ्टवेयर
🧑‍🎤;गानेवाला;गानेवाला
	🧑🏻‍🎤;गानेवाला: गोरी त्वचा;गानेवाला|गानेवाला: गोरी त्वचा|गोरी त्वचा
	🧑🏼‍🎤;गानेवाला: हल्की गोरी त्वचा;गानेवाला|गानेवाला: हल्की गोरी त्वचा|हल्की गोरी त्वचा
	🧑🏽‍🎤;गानेवाला: गेहुँआ त्वचा;गानेवाला|गानेवाला: गेहुँआ त्वचा|गेहुँआ त्वचा
	🧑🏾‍🎤;गानेवाला: हल्की साँवली त्वचा;गानेवाला|गानेवाला: हल्की साँवली त्वचा|हल्की साँवली त्वचा
	🧑🏿‍🎤;गानेवाला: साँवली त्वचा;गानेवाला|गानेवाला: साँवली त्वचा|साँवली त्वचा
👨‍🎤;गायक;अभिनेता|आदमी|गायक|तारा|पुरुष|मनोरंजन|रॉक
	👨🏻‍🎤;गायक: गोरी त्वचा;अभिनेता|आदमी|गायक|गायक: गोरी त्वचा|गोरी त्वचा|तारा|पुरुष|मनोरंजन|रॉक
	👨🏼‍🎤;गायक: हल्की गोरी त्वचा;अभिनेता|आदमी|गायक|गायक: हल्की गोरी त्वचा|तारा|पुरुष|मनोरंजन|रॉक|हल्की गोरी त्वचा
	👨🏽‍🎤;गायक: गेहुँआ त्वचा;अभिनेता|आदमी|गायक|गायक: गेहुँआ त्वचा|गेहुँआ त्वचा|तारा|पुरुष|मनोरंजन|रॉक
	👨🏾‍🎤;गायक: हल्की साँवली त्वचा;अभिनेता|आदमी|गायक|गायक: हल्की साँवली त्वचा|तारा|पुरुष|मनोरंजन|रॉक|हल्की साँवली त्वचा
	👨🏿‍🎤;गायक: साँवली त्वचा;अभिनेता|आदमी|गायक|गायक: साँवली त्वचा|तारा|पुरुष|मनोरंजन|रॉक|साँवली त्वचा
👩‍🎤;गायिका;अभिनेता|गायक|गायिका|मनोरंजन|महिला|रॉक|स्टार
	👩🏻‍🎤;गायिका: गोरी त्वचा;अभिनेता|गायक|गायिका|गायिका: गोरी त्वचा|गोरी त्वचा|मनोरंजन|महिला|रॉक|स्टार
	👩🏼‍🎤;गायिका: हल्की गोरी त्वचा;अभिनेता|गायक|गायिका|गायिका: हल्की गोरी त्वचा|मनोरंजन|महिला|रॉक|स्टार|हल्की गोरी त्वचा
	👩🏽‍🎤;गायिका: गेहुँआ त्वचा;अभिनेता|गायक|गायिका|गायिका: गेहुँआ त्वचा|गेहुँआ त्वचा|मनोरंजन|महिला|रॉक|स्टार
	👩🏾‍🎤;गायिका: हल्की साँवली त्वचा;अभिनेता|गायक|गायिका|गायिका: हल्की साँवली त्वचा|मनोरंजन|महिला|रॉक|स्टार|हल्की साँवली त्वचा
	👩🏿‍🎤;गायिका: साँवली त्वचा;अभिनेता|गायक|गायिका|गायिका: साँवली त्वचा|मनोरंजन|महिला|रॉक|साँवली त्वचा|स्टार
🧑‍🎨;कलाकार;कलाकार|पैलेट
	🧑🏻‍🎨;कलाकार: गोरी त्वचा;कलाकार|कलाकार: गोरी त्वचा|गोरी त्वचा|पैलेट
	🧑🏼‍🎨;कलाकार: हल्की गोरी त्वचा;कलाकार|कलाकार: हल्की गोरी त्वचा|पैलेट|हल्की गोरी त्वचा
	🧑🏽‍🎨;कलाकार: गेहुँआ त्वचा;कलाकार|कलाकार: गेहुँआ त्वचा|गेहुँआ त्वचा|पैलेट
	🧑🏾‍🎨;कलाकार: हल्की साँवली त्वचा;कलाकार|कलाकार: हल्की साँवली त्वचा|पैलेट|हल्की साँवली त्वचा
	🧑🏿‍🎨;कलाकार: साँवली त्वचा;कलाकार|कलाकार: साँवली त्वचा|पैलेट|साँवली त्वचा
👨‍🎨;पुरुष कलाकार;कलाकार पैलेट|पुरुष|पुरुष कलाकार|रंग पट्टिका
	👨🏻‍🎨;पुरुष कलाकार: गोरी त्वचा;कलाकार पैलेट|गोरी त्वचा|पुरुष|पुरुष कलाकार|पुरुष कलाकार: गोरी त्वचा|रंग पट्टिका
	👨🏼‍🎨;पुरुष कलाकार: हल्की गोरी त्वचा;कलाकार पैलेट|पुरुष|पुरुष कलाकार|पुरुष कलाकार: हल्की गोरी त्वचा|रंग पट्टिका|हल्की गोरी त्वचा
	👨🏽‍🎨;पुरुष कलाकार: गेहुँआ त्वचा;कलाकार पैलेट|गेहुँआ त्वचा|पुरुष|पुरुष कलाकार|पुरुष कलाकार: गेहुँआ त्वचा|रंग पट्टिका
	👨🏾‍🎨;पुरुष कलाकार: हल्की साँवली त्वचा;कलाकार पैलेट|पुरुष|पुरुष कलाकार|पुरुष कलाकार: हल्की साँवली त्वचा|रंग पट्टिका|हल्की साँवली त्वचा
	👨🏿‍🎨;पुरुष कलाकार: साँवली त्वचा;कलाकार पैलेट|पुरुष|पुरुष कलाकार|पुरुष कलाकार: साँवली त्वचा|रंग पट्टिका|साँवली त्वचा
👩‍🎨;महिला कलाकार;कलाकार पैलेट|महिला|महिला कलाकार|रंग पट्टिका
	👩🏻‍🎨;महिला कलाकार: गोरी त्वचा;कलाकार पैलेट|गोरी त्वचा|महिला|महिला कलाकार|महिला कलाकार: गोरी त्वचा|रंग पट्टिका
	👩🏼‍🎨;महिला कलाकार: हल्की गोरी त्वचा;कलाकार पैलेट|महिला|महिला कलाकार|महिला कलाकार: हल्की गोरी त्वचा|रंग पट्टिका|हल्की गोरी त्वचा
	👩🏽‍🎨;महिला कलाकार: गेहुँआ त्वचा;कलाकार पैलेट|गेहुँआ त्वचा|महिला|महिला कलाकार|महिला कलाकार: गेहुँआ त्वचा|रंग पट्टिका
	👩🏾‍🎨;महिला कलाकार: हल्की साँवली त्वचा;कलाकार पैलेट|महिला|महिला कलाकार|महिला कलाकार: हल्की साँवली त्वचा|रंग पट्टिका|हल्की साँवली त्वचा
	👩🏿‍🎨;महिला कलाकार: साँवली त्वचा;कलाकार पैलेट|महिला|महिला कलाकार|महिला कलाकार: साँवली त्वचा|रंग पट्टिका|साँवली त्वचा
🧑‍✈️;पायलट;पायलट|प्लेन
	🧑🏻‍✈️;पायलट: गोरी त्वचा;गोरी त्वचा|पायलट|पायलट: गोरी त्वचा|प्लेन
	🧑🏼‍✈️;पायलट: हल्की गोरी त्वचा;पायलट|पायलट: हल्की गोरी त्वचा|प्लेन|हल्की गोरी त्वचा
	🧑🏽‍✈️;पायलट: गेहुँआ त्वचा;गेहुँआ त्वचा|पायलट|पायलट: गेहुँआ त्वचा|प्लेन
	🧑🏾‍✈️;पायलट: हल्की साँवली त्वचा;पायलट|पायलट: हल्की साँवली त्वचा|प्लेन|हल्की साँवली त्वचा
	🧑🏿‍✈️;पायलट: साँवली त्वचा;पायलट|पायलट: साँवली त्वचा|प्लेन|साँवली त्वचा
👨‍✈️;पुरुष पायलट;आदमी|पायलट|पुरुष|विमान
	👨🏻‍✈️;पुरुष पायलट: गोरी त्वचा;आदमी|गोरी त्वचा|पायलट|पुरुष|पुरुष पायलट: गोरी त्वचा|विमान
	👨🏼‍✈️;पुरुष पायलट: हल्की गोरी त्वचा;आदमी|पायलट|पुरुष|पुरुष पायलट: हल्की गोरी त्वचा|विमान|हल्की गोरी त्वचा
	👨🏽‍✈️;पुरुष पायलट: गेहुँआ त्वचा;आदमी|गेहुँआ त्वचा|पायलट|पुरुष|पुरुष पायलट: गेहुँआ त्वचा|विमान
	👨🏾‍✈️;पुरुष पायलट: हल्की साँवली त्वचा;आदमी|पायलट|पुरुष|पुरुष पायलट: हल्की साँवली त्वचा|विमान|हल्की साँवली त्वचा
	👨🏿‍✈️;पुरुष पायलट: साँवली त्वचा;आदमी|पायलट|पुरुष|पुरुष पायलट: साँवली त्वचा|विमान|साँवली त्वचा
👩‍✈️;महिला पायलट;पायलट|महिला|विमान
	👩🏻‍✈️;महिला पायलट: गोरी त्वचा;गोरी त्वचा|पायलट|महिला|महिला पायलट: गोरी त्वचा|विमान
	👩🏼‍✈️;महिला पायलट: हल्की गोरी त्वचा;पायलट|महिला|महिला पायलट: हल्की गोरी त्वचा|विमान|हल्की गोरी त्वचा
	👩🏽‍✈️;महिला पायलट: गेहुँआ त्वचा;गेहुँआ त्वचा|पायलट|महिला|महिला पायलट: गेहुँआ त्वचा|विमान
	👩🏾‍✈️;महिला पायलट: हल्की साँवली त्वचा;पायलट|महिला|महिला पायलट: हल्की साँवली त्वचा|विमान|हल्की साँवली त्वचा
	👩🏿‍✈️;महिला पायलट: साँवली त्वचा;पायलट|महिला|महिला पायलट: साँवली त्वचा|विमान|साँवली त्वचा
🧑‍🚀;अंतरिक्ष यात्री;अंतरिक्ष यात्री|रॉकेट
	🧑🏻‍🚀;अंतरिक्ष यात्री: गोरी त्वचा;अंतरिक्ष यात्री|अंतरिक्ष यात्री: गोरी त्वचा|गोरी त्वचा|रॉकेट
	🧑🏼‍🚀;अंतरिक्ष यात्री: हल्की गोरी त्वचा;अंतरिक्ष यात्री|अंतरिक्ष यात्री: हल्की गोरी त्वचा|रॉकेट|हल्की गोरी त्वचा
	🧑🏽‍🚀;अंतरिक्ष यात्री: गेहुँआ त्वचा;अंतरिक्ष यात्री|अंतरिक्ष यात्री: गेहुँआ त्वचा|गेहुँआ त्वचा|रॉकेट
	🧑🏾‍🚀;अंतरिक्ष यात्री: हल्की साँवली त्वचा;अंतरिक्ष यात्री|अंतरिक्ष यात्री: हल्की साँवली त्वचा|रॉकेट|हल्की साँवली त्वचा
	🧑🏿‍🚀;अंतरिक्ष यात्री: साँवली त्वचा;अंतरिक्ष यात्री|अंतरिक्ष यात्री: साँवली त्वचा|रॉकेट|साँवली त्वचा
👨‍🚀;पुरुष अंतरिक्ष यात्री;अंतरिक्ष|अंतरिक्ष यात्री|आदमी|पुरुष|पुरुष अंतरिक्ष यात्री|रॉकेट
	👨🏻‍🚀;पुरुष अंतरिक्ष यात्री: गोरी त्वचा;अंतरिक्ष|अंतरिक्ष यात्री|आदमी|गोरी त्वचा|पुरुष|पुरुष अंतरिक्ष यात्री|पुरुष अंतरिक्ष यात्री: गोरी त्वचा|रॉकेट
	👨🏼‍🚀;पुरुष अंतरिक्ष यात्री: हल्की गोरी त्वचा;अंतरिक्ष|अंतरिक्ष यात्री|आदमी|पुरुष|पुरुष अंतरिक्ष यात्री|पुरुष अंतरिक्ष यात्री: हल्की गोरी त्वचा|रॉकेट|हल्की गोरी त्वचा
