# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;laia naeratusega nägu;irve|laia naeratusega nägu|naeratus|nägu
	🙆🏿‍♀️;nõustuvat žesti näitav naine: tume nahatoon;käed pea peal|korras|nõustuvat žesti näitav naine|nõustuvat žesti näitav naine: tume nahatoon|ok|tume nahatoon|žest
💁;infoleti töötaja;abi|info|infoleti töötaja|käsi|teave
	💁🏻;infoleti töötaja: hele nahatoon;abi|hele nahatoon|info|infoleti töötaja|infoleti töötaja: hele nahatoon|käsi|teave
	💁🏼;infoleti töötaja: keskmiselt hele nahatoon;abi|info|infoleti töötaja|infoleti töötaja: keskmiselt hele nahatoon|käsi|keskmiselt hele nahatoon|teave
	💁🏽;infoleti töötaja: keskmine nahatoon;abi|info|infoleti töötaja|infoleti töötaja: keskmine nahatoon|käsi|keskmine nahatoon|teave
	💁🏾;infoleti töötaja: keskmiselt tume nahatoon;abi|info|infoleti töötaja|infoleti töötaja: keskmiselt tume nahatoon|käsi|keskmiselt tume nahatoon|teave
	💁🏿;infoleti töötaja: tume nahatoon;abi|info|infoleti töötaja|infoleti töötaja: tume nahatoon|käsi|teave|tume nahatoon
💁‍♂️;infoleti meestöötaja;abi|infoleti meestöötaja|mees|teave
	💁🏻‍♂️;infoleti meestöötaja: hele nahatoon;abi|hele nahatoon|infoleti meestöötaja|infoleti meestöötaja: hele nahatoon|mees|teave
	💁🏼‍♂️;infoleti meestöötaja: keskmiselt hele nahatoon;abi|infoleti meestöötaja|infoleti meestöötaja: keskmiselt hele nahatoon|keskmiselt hele nahatoon|mees|teave
	💁🏽‍♂️;infoleti meestöötaja: keskmine nahatoon;abi|infoleti meestöötaja|infoleti meestöötaja: keskmine nahatoon|keskmine nahatoon|mees|teave
	💁🏾‍♂️;infoleti meestöötaja: keskmiselt tume nahatoon;abi|infoleti meestöötaja|infoleti meestöötaja: keskmiselt tume nahatoon|keskmiselt tume nahatoon|mees|teave
	💁🏿‍♂️;infoleti meestöötaja: tume nahatoon;abi|infoleti meestöötaja|infoleti meestöötaja: tume nahatoon|mees|teave|tume nahatoon
💁‍♀️;infoleti naistöötaja;abi|infoleti naistöötaja|naine|teave
	💁🏻‍♀️;infoleti naistöötaja: hele nahatoon;abi|hele nahatoon|infoleti naistöötaja|infoleti naistöötaja: hele nahatoon|naine|teave
	💁🏼‍♀️;infoleti naistöötaja: keskmiselt hele nahatoon;abi|infoleti naistöötaja|infoleti naistöötaja: keskmiselt hele nahatoon|keskmiselt hele nahatoon|naine|teave
	💁🏽‍♀️;infoleti naistöötaja: keskmine nahatoon;abi|infoleti naistöötaja|infoleti naistöötaja: keskmine nahatoon|keskmine nahatoon|naine|teave
	💁🏾‍♀️;infoleti naistöötaja: keskmiselt tume nahatoon;abi|infoleti naistöötaja|infoleti naistöötaja: keskmiselt tume nahatoon|keskmiselt tume nahatoon|naine|teave
	💁🏿‍♀️;infoleti naistöötaja: tume nahatoon;abi|infoleti naistöötaja|infoleti naistöötaja: tume nahatoon|naine|teave|tume nahatoon
🙋;kätt tõstev rõõmus inimene;käsi|kätt tõstev rõõmus inimene|õnnelik|rõõmus|žest
	🙋🏻;kätt tõstev rõõmus inimene: hele nahatoon;hele nahatoon|käsi|kätt tõstev rõõmus inimene|kätt tõstev rõõmus inimene: hele nahatoon|õnnelik|rõõmus|žest
	🙋🏼;kätt tõstev rõõmus inimene: keskmiselt hele nahatoon;käsi|kätt tõstev rõõmus inimene|kätt tõstev rõõmus inimene: keskmiselt hele nahatoon|keskmiselt hele nahatoon|õnnelik|rõõmus|žest
	🙋🏽;kätt tõstev rõõmus inimene: keskmine nahatoon;käsi|kätt tõstev rõõmus inimene|kätt tõstev rõõmus inimene: keskmine nahatoon|keskmine nahatoon|õnnelik|rõõmus|žest
	🙋🏾;kätt tõstev rõõmus inimene: keskmiselt tume nahatoon;käsi|kätt tõstev rõõmus inimene|kätt tõstev rõõmus inimene: keskmiselt tume nahatoon|keskmiselt tume nahatoon|õnnelik|rõõmus|žest
	🙋🏿;kätt tõstev rõõmus inimene: tume nahatoon;käsi|kätt tõstev rõõmus inimene|kätt tõstev rõõmus inimene: tume nahatoon|õnnelik|rõõmus|tume nahatoon|žest
🙋‍♂️;kätt tõstev mees;käsi|kätt tõstev mees|mees|tervitus|žest
	🙋🏻‍♂️;kätt tõstev mees: hele nahatoon;hele nahatoon|käsi|kätt tõstev mees|kätt tõstev mees: hele nahatoon|mees|tervitus|žest
	🙋🏼‍♂️;kätt tõstev mees: keskmiselt hele nahatoon;käsi|kätt tõstev mees|kätt tõstev mees: keskmiselt hele nahatoon|keskmiselt hele nahatoon|mees|tervitus|žest
	🙋🏽‍♂️;kätt tõstev mees: keskmine nahatoon;käsi|kätt tõstev mees|kätt tõstev mees: keskmine nahatoon|keskmine nahatoon|mees|tervitus|žest
	🙋🏾‍♂️;kätt tõstev mees: keskmiselt tume nahatoon;käsi|kätt tõstev mees|kätt tõstev mees: keskmiselt tume nahatoon|keskmiselt tume nahatoon|mees|tervitus|žest
	🙋🏿‍♂️;kätt tõstev mees: tume nahatoon;käsi|kätt tõstev mees|kätt tõstev mees: tume nahatoon|mees|tervitus|tume nahatoon|žest
🙋‍♀️;kätt tõstev naine;käsi|kätt tõstev naine|naine|tervitus|žest
	🙋🏻‍♀️;kätt tõstev naine: hele nahatoon;hele nahatoon|käsi|kätt tõstev naine|kätt tõstev naine: hele nahatoon|naine|tervitus|žest
	🙋🏼‍♀️;kätt tõstev naine: keskmiselt hele nahatoon;käsi|kätt tõstev naine|kätt tõstev naine: keskmiselt hele nahatoon|keskmiselt hele nahatoon|naine|tervitus|žest
	🙋🏽‍♀️;kätt tõstev naine: keskmine nahatoon;käsi|kätt tõstev naine|kätt tõstev naine: keskmine nahatoon|keskmine nahatoon|naine|tervitus|žest
	🙋🏾‍♀️;kätt tõstev naine: keskmiselt tume nahatoon;käsi|kätt tõstev naine|kätt tõstev naine: keskmiselt tume nahatoon|keskmiselt tume nahatoon|naine|tervitus|žest
	🙋🏿‍♀️;kätt tõstev naine: tume nahatoon;käsi|kätt tõstev naine|kätt tõstev naine: tume nahatoon|naine|tervitus|tume nahatoon|žest
🧏;kurt inimene;juurdepääs|kõrv|kurt|kurt inimene|kuulmine
	🧏🏻;kurt inimene: hele nahatoon;hele nahatoon|juurdepääs|kõrv|kurt|kurt inimene|kurt inimene: hele nahatoon|kuulmine
	🧏🏼;kurt inimene: keskmiselt hele nahatoon;juurdepääs|keskmiselt hele nahatoon|kõrv|kurt|kurt inimene|kurt inimene: keskmiselt hele nahatoon|kuulmine
	🧏🏽;kurt inimene: keskmine nahatoon;juurdepääs|keskmine nahatoon|kõrv|kurt|kurt inimene|kurt inimene: keskmine nahatoon|kuulmine
	🧏🏾;kurt inimene: keskmiselt tume nahatoon;juurdepääs|keskmiselt tume nahatoon|kõrv|kurt|kurt inimene|kurt inimene: keskmiselt tume nahatoon|kuulmine
	🧏🏿;kurt inimene: tume nahatoon;juurdepääs|kõrv|kurt|kurt inimene|kurt inimene: tume nahatoon|kuulmine|tume nahatoon
🧏‍♂️;kurt mees;kurt|mees
	🧏🏻‍♂️;kurt mees: hele nahatoon;hele nahatoon|kurt|kurt mees: hele nahatoon|mees
	🧏🏼‍♂️;kurt mees: keskmiselt hele nahatoon;keskmiselt hele nahatoon|kurt|kurt mees: keskmiselt hele nahatoon|mees
	🧏🏽‍♂️;kurt mees: keskmine nahatoon;keskmine nahatoon|kurt|kurt mees: keskmine nahatoon|mees
	🧏🏾‍♂️;kurt mees: keskmiselt tume nahatoon;keskmiselt tume nahatoon|kurt|kurt mees: keskmiselt tume nahatoon|mees
	🧏🏿‍♂️;kurt mees: tume nahatoon;kurt|kurt mees: tume nahatoon|mees|tume nahatoon
🧏‍♀️;kurt naine;kurt|naine
	🧏🏻‍♀️;kurt naine: hele nahatoon;hele nahatoon|kurt|kurt naine: hele nahatoon|naine
	🧏🏼‍♀️;kurt naine: keskmiselt hele nahatoon;keskmiselt hele nahatoon|kurt|kurt naine: keskmiselt hele nahatoon|naine
	🧏🏽‍♀️;kurt naine: keskmine nahatoon;keskmine nahatoon|kurt|kurt naine: keskmine nahatoon|naine
	🧏🏾‍♀️;kurt naine: keskmiselt tume nahatoon;keskmiselt tume nahatoon|kurt|kurt naine: keskmiselt tume nahatoon|naine
	🧏🏿‍♀️;kurt naine: tume nahatoon;kurt|kurt naine: tume nahatoon|naine|tume nahatoon
🙇;kummardav inimene;kummardav inimene|kummardus|vabandus|žest
	🙇🏻;kummardav inimene: hele nahatoon;hele nahatoon|kummardav inimene|kummardav inimene: hele nahatoon|kummardus|vabandus|žest
	🙇🏼;kummardav inimene: keskmiselt hele nahatoon;keskmiselt hele nahatoon|kummardav inimene|kummardav inimene: keskmiselt hele nahatoon|kummardus|vabandus|žest
	🙇🏽;kummardav inimene: keskmine nahatoon;keskmine nahatoon|kummardav inimene|kummardav inimene: keskmine nahatoon|kummardus|vabandus|žest
	🙇🏾;kummardav inimene: keskmiselt tume nahatoon;keskmiselt tume nahatoon|kummardav inimene|kummardav inimene: keskmiselt tume nahatoon|kummardus|vabandus|žest
	🙇🏿;kummardav inimene: tume nahatoon;kummardav inimene|kummardav inimene: tume nahatoon|kummardus|tume nahatoon|vabandus|žest
🙇‍♂️;sügavalt kummarduv mees;kummardus|mees|sügavalt kummarduv mees|vabandus|žest
	🙇🏻‍♂️;sügavalt kummarduv mees: hele nahatoon;hele nahatoon|kummardus|mees|sügavalt kummarduv mees|sügavalt kummarduv mees: hele nahatoon|vabandus|žest
	🙇🏼‍♂️;sügavalt kummarduv mees: keskmiselt hele nahatoon;keskmiselt hele nahatoon|kummardus|mees|sügavalt kummarduv mees|sügavalt kummarduv mees: keskmiselt hele nahatoon|vabandus|žest
	🙇🏽‍♂️;sügavalt kummarduv mees: keskmine nahatoon;keskmine nahatoon|kummardus|mees|sügavalt kummarduv mees|sügavalt kummarduv mees: keskmine nahatoon|vabandus|žest
	🙇🏾‍♂️;sügavalt kummarduv mees: keskmiselt tume nahatoon;keskmiselt tume nahatoon|kummardus|mees|sügavalt kummarduv mees|sügavalt kummarduv mees: keskmiselt tume nahatoon|vabandus|žest
	🙇🏿‍♂️;sügavalt kummarduv mees: tume nahatoon;kummardus|mees|sügavalt kummarduv mees|sügavalt kummarduv mees: tume nahatoon|tume nahatoon|vabandus|žest
🙇‍♀️;sügavalt kummarduv naine;kummardus|naine|sügavalt kummarduv naine|vabandus|žest
	🙇🏻‍♀️;sügavalt kummarduv naine: hele nahatoon;hele nahatoon|kummardus|naine|sügavalt kummarduv naine|sügavalt kummarduv naine: hele nahatoon|vabandus|žest
	🙇🏼‍♀️;sügavalt kummarduv naine: keskmiselt hele nahatoon;keskmiselt hele nahatoon|kummardus|naine|sügavalt kummarduv naine|sügavalt kummarduv naine: keskmiselt hele nahatoon|vabandus|žest
	🙇🏽‍♀️;sügavalt kummarduv naine: keskmine nahatoon;keskmine nahatoon|kummardus|naine|sügavalt kummarduv naine|sügavalt kummarduv naine: keskmine nahatoon|vabandus|žest
	🙇🏾‍♀️;sügavalt kummarduv naine: keskmiselt tume nahatoon;keskmiselt tume nahatoon|kummardus|naine|sügavalt kummarduv naine|sügavalt kummarduv naine: keskmiselt tume nahatoon|vabandus|žest
	🙇🏿‍♀️;sügavalt kummarduv naine: tume nahatoon;kummardus|naine|sügavalt kummarduv naine|sügavalt kummarduv naine: tume nahatoon|tume nahatoon|vabandus|žest
🤦;meeleheide;meeleheide|nägu|umbusk
	🤦🏻;meeleheide: hele nahatoon;hele nahatoon|meeleheide|meeleheide: hele nahatoon|nägu|umbusk
	🤦🏼;meeleheide: keskmiselt hele nahatoon;keskmiselt hele nahatoon|meeleheide|meeleheide: keskmiselt hele nahatoon|nägu|umbusk
	🤦🏽;meeleheide: keskmine nahatoon;keskmine nahatoon|meeleheide|meeleheide: keskmine nahatoon|nägu|umbusk
	🤦🏾;meeleheide: keskmiselt tume nahatoon;keskmiselt tume nahatoon|meeleheide|meeleheide: keskmiselt tume nahatoon|nägu|umbusk
	🤦🏿;meeleheide: tume nahatoon;meeleheide|meeleheide: tume nahatoon|nägu|tume nahatoon|umbusk
🤦‍♂️;käega vastu pead lööv mees;käega vastu pead lööv mees|meeleheide|mees|uskumatu
	🤦🏻‍♂️;käega vastu pead lööv mees: hele nahatoon;hele nahatoon|käega vastu pead lööv mees|käega vastu pead lööv mees: hele nahatoon|meeleheide|mees|uskumatu
	🤦🏼‍♂️;käega vastu pead lööv mees: keskmiselt hele nahatoon;käega vastu pead lööv mees|käega vastu pead lööv mees: keskmiselt hele nahatoon|keskmiselt hele nahatoon|meeleheide|mees|uskumatu
	🤦🏽‍♂️;käega vastu pead lööv mees: keskmine nahatoon;käega vastu pead lööv mees|käega vastu pead lööv mees: keskmine nahatoon|keskmine nahatoon|meeleheide|mees|uskumatu
	🤦🏾‍♂️;käega vastu pead lööv mees: keskmiselt tume nahatoon;käega vastu pead lööv mees|käega vastu pead lööv mees: keskmiselt tume nahatoon|keskmiselt tume nahatoon|meeleheide|mees|uskumatu
	🤦🏿‍♂️;käega vastu pead lööv mees: tume nahatoon;käega vastu pead lööv mees|käega vastu pead lööv mees: tume nahatoon|meeleheide|mees|tume nahatoon|uskumatu
🤦‍♀️;käega vastu pead lööv naine;käega vastu pead lööv naine|meeleheide|naine|uskumatu
	🤦🏻‍♀️;käega vastu pead lööv naine: hele nahatoon;hele nahatoon|käega vastu pead lööv naine|käega vastu pead lööv naine: hele nahatoon|meeleheide|naine|uskumatu
	🤦🏼‍♀️;käega vastu pead lööv naine: keskmiselt hele nahatoon;käega vastu pead lööv naine|käega vastu pead lööv naine: keskmiselt hele nahatoon|keskmiselt hele nahatoon|meeleheide|naine|uskumatu
	🤦🏽‍♀️;käega vastu pead lööv naine: keskmine nahatoon;käega vastu pead lööv naine|käega vastu pead lööv naine: keskmine nahatoon|keskmine nahatoon|meeleheide|naine|uskumatu
	🤦🏾‍♀️;käega vastu pead lööv naine: keskmiselt tume nahatoon;käega vastu pead lööv naine|käega vastu pead lööv naine: keskmiselt tume nahatoon|keskmiselt tume nahatoon|meeleheide|naine|uskumatu
	🤦🏿‍♀️;käega vastu pead lööv naine: tume nahatoon;käega vastu pead lööv naine|käega vastu pead lööv naine: tume nahatoon|meeleheide|naine|tume nahatoon|uskumatu
🤷;õlakehitus;kehitus|õlakehitus|õlg|ükskõiksus
	🤷🏻;õlakehitus: hele nahatoon;hele nahatoon|kehitus|õlakehitus|õlakehitus: hele nahatoon|õlg|ükskõiksus
	🤷🏼;õlakehitus: keskmiselt hele nahatoon;kehitus|keskmiselt hele nahatoon|õlakehitus|õlakehitus: keskmiselt hele nahatoon|õlg|ükskõiksus
	🤷🏽;õlakehitus: keskmine nahatoon;kehitus|keskmine nahatoon|õlakehitus|õlakehitus: keskmine nahatoon|õlg|ükskõiksus
	🤷🏾;õlakehitus: keskmiselt tume nahatoon;kehitus|keskmiselt tume nahatoon|õlakehitus|õlakehitus: keskmiselt tume nahatoon|õlg|ükskõiksus
	🤷🏿;õlakehitus: tume nahatoon;kehitus|õlakehitus|õlakehitus: tume nahatoon|õlg|tume nahatoon|ükskõiksus
🤷‍♂️;õlgu kehitav mees;kehitus|mees|õlakehitus|õlgu kehitav mees|ükskõiksus
	🤷🏻‍♂️;õlgu kehitav mees: hele nahatoon;hele nahatoon|kehitus|mees|õlakehitus|õlgu kehitav mees|õlgu kehitav mees: hele nahatoon|ükskõiksus
	🤷🏼‍♂️;õlgu kehitav mees: keskmiselt hele nahatoon;kehitus|keskmiselt hele nahatoon|mees|õlakehitus|õlgu kehitav mees|õlgu kehitav mees: keskmiselt hele nahatoon|ükskõiksus
	🤷🏽‍♂️;õlgu kehitav mees: keskmine nahatoon;kehitus|keskmine nahatoon|mees|õlakehitus|õlgu kehitav mees|õlgu kehitav mees: keskmine nahatoon|ükskõiksus
	🤷🏾‍♂️;õlgu kehitav mees: keskmiselt tume nahatoon;kehitus|keskmiselt tume nahatoon|mees|õlakehitus|õlgu kehitav mees|õlgu kehitav mees: keskmiselt tume nahatoon|ükskõiksus
	🤷🏿‍♂️;õlgu kehitav mees: tume nahatoon;kehitus|mees|õlakehitus|õlgu kehitav mees|õlgu kehitav mees: tume nahatoon|tume nahatoon|ükskõiksus
🤷‍♀️;õlgu kehitav naine;kehitus|naine|õlakehitus|õlgu kehitav naine|ükskõiksus
	🤷🏻‍♀️;õlgu kehitav naine: hele nahatoon;hele nahatoon|kehitus|naine|õlakehitus|õlgu kehitav naine|õlgu kehitav naine: hele nahatoon|ükskõiksus
	🤷🏼‍♀️;õlgu kehitav naine: keskmiselt hele nahatoon;kehitus|keskmiselt hele nahatoon|naine|õlakehitus|õlgu kehitav naine|õlgu kehitav naine: keskmiselt hele nahatoon|ükskõiksus
	🤷🏽‍♀️;õlgu kehitav naine: keskmine nahatoon;kehitus|keskmine nahatoon|naine|õlakehitus|õlgu kehitav naine|õlgu kehitav naine: keskmine nahatoon|ükskõiksus
	🤷🏾‍♀️;õlgu kehitav naine: keskmiselt tume nahatoon;kehitus|keskmiselt tume nahatoon|naine|õlakehitus|õlgu kehitav naine|õlgu kehitav naine: keskmiselt tume nahatoon|ükskõiksus
	🤷🏿‍♀️;õlgu kehitav naine: tume nahatoon;kehitus|naine|õlakehitus|õlgu kehitav naine|õlgu kehitav naine: tume nahatoon|tume nahatoon|ükskõiksus
🧑‍⚕️;tervishoiutöötaja;arst|meditsiiniõde|terapeut|tervishoid|tervishoiutöötaja
	🧑🏻‍⚕️;tervishoiutöötaja: hele nahatoon;arst|hele nahatoon|meditsiiniõde|terapeut|tervishoid|tervishoiutöötaja|tervishoiutöötaja: hele nahatoon
	🧑🏼‍⚕️;tervishoiutöötaja: keskmiselt hele nahatoon;arst|keskmiselt hele nahatoon|meditsiiniõde|terapeut|tervishoid|tervishoiutöötaja|tervishoiutöötaja: keskmiselt hele nahatoon
	🧑🏽‍⚕️;tervishoiutöötaja: keskmine nahatoon;arst|keskmine nahatoon|meditsiiniõde|terapeut|tervishoid|tervishoiutöötaja|tervishoiutöötaja: keskmine nahatoon
	🧑🏾‍⚕️;tervishoiutöötaja: keskmiselt tume nahatoon;arst|keskmiselt tume nahatoon|meditsiiniõde|terapeut|tervishoid|tervishoiutöötaja|tervishoiutöötaja: keskmiselt tume nahatoon
	🧑🏿‍⚕️;tervishoiutöötaja: tume nahatoon;arst|meditsiiniõde|terapeut|tervishoid|tervishoiutöötaja|tervishoiutöötaja: tume nahatoon|tume nahatoon
👨‍⚕️;meesarst;arst|meditsiin|meditsiiniõde|mees|meesarst
	👨🏻‍⚕️;meesarst: hele nahatoon;arst|hele nahatoon|meditsiin|meditsiiniõde|mees|meesarst|meesarst: hele nahatoon
	👨🏼‍⚕️;meesarst: keskmiselt hele nahatoon;arst|keskmiselt hele nahatoon|meditsiin|meditsiiniõde|mees|meesarst|meesarst: keskmiselt hele nahatoon
	👨🏽‍⚕️;meesarst: keskmine nahatoon;arst|keskmine nahatoon|meditsiin|meditsiiniõde|mees|meesarst|meesarst: keskmine nahatoon
	👨🏾‍⚕️;meesarst: keskmiselt tume nahatoon;arst|keskmiselt tume nahatoon|meditsiin|meditsiiniõde|mees|meesarst|meesarst: keskmiselt tume nahatoon
	👨🏿‍⚕️;meesarst: tume nahatoon;arst|meditsiin|meditsiiniõde|mees|meesarst|meesarst: tume nahatoon|tume nahatoon
👩‍⚕️;naisarst;arst|meditsiin|meditsiiniõde|naine|naisarst
	👩🏻‍⚕️;naisarst: hele nahatoon;arst|hele nahatoon|meditsiin|meditsiiniõde|naine|naisarst|naisarst: hele nahatoon
	👩🏼‍⚕️;naisarst: keskmiselt hele nahatoon;arst|keskmiselt hele nahatoon|meditsiin|meditsiiniõde|naine|naisarst|naisarst: keskmiselt hele nahatoon
	👩🏽‍⚕️;naisarst: keskmine nahatoon;arst|keskmine nahatoon|meditsiin|meditsiiniõde|naine|naisarst|naisarst: keskmine nahatoon
	👩🏾‍⚕️;naisarst: keskmiselt tume nahatoon;arst|keskmiselt tume nahatoon|meditsiin|meditsiiniõde|naine|naisarst|naisarst: keskmiselt tume nahatoon
	👩🏿‍⚕️;naisarst: tume nahatoon;arst|meditsiin|meditsiiniõde|naine|naisarst|naisarst: tume nahatoon|tume nahatoon
🧑‍🎓;õpilane;koolilõpetaja|õpilane
	🧑🏻‍🎓;õpilane: hele nahatoon;hele nahatoon|koolilõpetaja|õpilane|õpilane: hele nahatoon
	🧑🏼‍🎓;õpilane: keskmiselt hele nahatoon;keskmiselt hele nahatoon|koolilõpetaja|õpilane|õpilane: keskmiselt hele nahatoon
	🧑🏽‍🎓;õpilane: keskmine nahatoon;keskmine nahatoon|koolilõpetaja|õpilane|õpilane: keskmine nahatoon
	🧑🏾‍🎓;õpilane: keskmiselt tume nahatoon;keskmiselt tume nahatoon|koolilõpetaja|õpilane|õpilane: keskmiselt tume nahatoon
	🧑🏿‍🎓;õpilane: tume nahatoon;koolilõpetaja|õpilane|õpilane: tume nahatoon|tume nahatoon
👨‍🎓;meesõpilane;lõpetaja|mees|meesõpilane|õpilane
	👨🏻‍🎓;meesõpilane: hele nahatoon;hele nahatoon|lõpetaja|mees|meesõpilane|meesõpilane: hele nahatoon|õpilane
	👨🏼‍🎓;meesõpilane: keskmiselt hele nahatoon;keskmiselt hele nahatoon|lõpetaja|mees|meesõpilane|meesõpilane: keskmiselt hele nahatoon|õpilane
	👨🏽‍🎓;meesõpilane: keskmine nahatoon;keskmine nahatoon|lõpetaja|mees|meesõpilane|meesõpilane: keskmine nahatoon|õpilane
	👨🏾‍🎓;meesõpilane: keskmiselt tume nahatoon;keskmiselt tume nahatoon|lõpetaja|mees|meesõpilane|meesõpilane: keskmiselt tume nahatoon|õpilane
	👨🏿‍🎓;meesõpilane: tume nahatoon;lõpetaja|mees|meesõpilane|meesõpilane: tume nahatoon|õpilane|tume nahatoon
👩‍🎓;naisõpilane;lõpetaja|naine|naisõpilane|õpilane
	👩🏻‍🎓;naisõpilane: hele nahatoon;hele nahatoon|lõpetaja|naine|naisõpilane|naisõpilane: hele nahatoon|õpilane
	👩🏼‍🎓;naisõpilane: keskmiselt hele nahatoon;keskmiselt hele nahatoon|lõpetaja|naine|naisõpilane|naisõpilane: keskmiselt hele nahatoon|õpilane
	👩🏽‍🎓;naisõpilane: keskmine nahatoon;keskmine nahatoon|lõpetaja|naine|naisõpilane|naisõpilane: keskmine nahatoon|õpilane
	👩🏾‍🎓;naisõpilane: keskmiselt tume nahatoon;keskmiselt tume nahatoon|lõpetaja|naine|naisõpilane|naisõpilane: keskmiselt tume nahatoon|õpilane
	👩🏿‍🎓;naisõpilane: tume nahatoon;lõpetaja|naine|naisõpilane|naisõpilane: tume nahatoon|õpilane|tume nahatoon
🧑‍🏫;õpetaja;koolitaja|õpetaja|professor
	🧑🏻‍🏫;õpetaja: hele nahatoon;hele nahatoon|koolitaja|õpetaja|õpetaja: hele nahatoon|professor
	🧑🏼‍🏫;õpetaja: keskmiselt hele nahatoon;keskmiselt hele nahatoon|koolitaja|õpetaja|õpetaja: keskmiselt hele nahatoon|professor
	🧑🏽‍🏫;õpetaja: keskmine nahatoon;keskmine nahatoon|koolitaja|õpetaja|õpetaja: keskmine nahatoon|professor
	🧑🏾‍🏫;õpetaja: keskmiselt tume nahatoon;keskmiselt tume nahatoon|koolitaja|õpetaja|õpetaja: keskmiselt tume nahatoon|professor
	🧑🏿‍🏫;õpetaja: tume nahatoon;koolitaja|õpetaja|õpetaja: tume nahatoon|professor|tume nahatoon
👨‍🏫;meesõpetaja;juhendaja|mees|meesõpetaja|õpetaja|professor
	👨🏻‍🏫;meesõpetaja: hele nahatoon;hele nahatoon|juhendaja|mees|meesõpetaja|meesõpetaja: hele nahatoon|õpetaja|professor
	👨🏼‍🏫;meesõpetaja: keskmiselt hele nahatoon;juhendaja|keskmiselt hele nahatoon|mees|meesõpetaja|meesõpetaja: keskmiselt hele nahatoon|õpetaja|professor
	👨🏽‍🏫;meesõpetaja: keskmine nahatoon;juhendaja|keskmine nahatoon|mees|meesõpetaja|meesõpetaja: keskmine nahatoon|õpetaja|professor
	👨🏾‍🏫;meesõpetaja: keskmiselt tume nahatoon;juhendaja|keskmiselt tume nahatoon|mees|meesõpetaja|meesõpetaja: keskmiselt tume nahatoon|õpetaja|professor
	👨🏿‍🏫;meesõpetaja: tume nahatoon;juhendaja|mees|meesõpetaja|meesõpetaja: tume nahatoon|õpetaja|professor|tume nahatoon
👩‍🏫;naisõpetaja;juhendaja|naine|naisõpetaja|õpetaja|professor
	👩🏻‍🏫;naisõpetaja: hele nahatoon;hele nahatoon|juhendaja|naine|naisõpetaja|naisõpetaja: hele nahatoon|õpetaja|professor
	👩🏼‍🏫;naisõpetaja: keskmiselt hele nahatoon;juhendaja|keskmiselt hele nahatoon|naine|naisõpetaja|naisõpetaja: keskmiselt hele nahatoon|õpetaja|professor
	👩🏽‍🏫;naisõpetaja: keskmine nahatoon;juhendaja|keskmine nahatoon|naine|naisõpetaja|naisõpetaja: keskmine nahatoon|õpetaja|professor
	👩🏾‍🏫;naisõpetaja: keskmiselt tume nahatoon;juhendaja|keskmiselt tume nahatoon|naine|naisõpetaja|naisõpetaja: keskmiselt tume nahatoon|õpetaja|professor
	👩🏿‍🏫;naisõpetaja: tume nahatoon;juhendaja|naine|naisõpetaja|naisõpetaja: tume nahatoon|õpetaja|professor|tume nahatoon
🧑‍⚖️;kohtunik;kohtunik|kohus|õigusemõistmine
	🧑🏻‍⚖️;kohtunik: hele nahatoon;hele nahatoon|kohtunik|kohtunik: hele nahatoon|kohus|õigusemõistmine
	🧑🏼‍⚖️;kohtunik: keskmiselt hele nahatoon;keskmiselt hele nahatoon|kohtunik|kohtunik: keskmiselt hele nahatoon|kohus|õigusemõistmine
	🧑🏽‍⚖️;kohtunik: keskmine nahatoon;keskmine nahatoon|kohtunik|kohtunik: keskmine nahatoon|kohus|õigusemõistmine
	🧑🏾‍⚖️;kohtunik: keskmiselt tume nahatoon;keskmiselt tume nahatoon|kohtunik|kohtunik: keskmiselt tume nahatoon|kohus|õigusemõistmine
	🧑🏿‍⚖️;kohtunik: tume nahatoon;kohtunik|kohtunik: tume nahatoon|kohus|õigusemõistmine|tume nahatoon
👨‍⚖️;meeskohtunik;kohus|mees|meeskohtunik|õigusemõistmine
	👨🏻‍⚖️;meeskohtunik: hele nahatoon;hele nahatoon|kohus|mees|meeskohtunik|meeskohtunik: hele nahatoon|õigusemõistmine
	👨🏼‍⚖️;meeskohtunik: keskmiselt hele nahatoon;keskmiselt hele nahatoon|kohus|mees|meeskohtunik|meeskohtunik: keskmiselt hele nahatoon|õigusemõistmine
	👨🏽‍⚖️;meeskohtunik: keskmine nahatoon;keskmine nahatoon|kohus|mees|meeskohtunik|meeskohtunik: keskmine nahatoon|õigusemõistmine
	👨🏾‍⚖️;meeskohtunik: keskmiselt tume nahatoon;keskmiselt tume nahatoon|kohus|mees|meeskohtunik|meeskohtunik: keskmiselt tume nahatoon|õigusemõistmine
	👨🏿‍⚖️;meeskohtunik: tume nahatoon;kohus|mees|meeskohtunik|meeskohtunik: tume nahatoon|õigusemõistmine|tume nahatoon
👩‍⚖️;naiskohtunik;kohus|naine|naiskohtunik|õigusemõistmine
	👩🏻‍⚖️;naiskohtunik: hele nahatoon;hele nahatoon|kohus|naine|naiskohtunik|naiskohtunik: hele nahatoon|õigusemõistmine
	👩🏼‍⚖️;naiskohtunik: keskmiselt hele nahatoon;keskmiselt hele nahatoon|kohus|naine|naiskohtunik|naiskohtunik: keskmiselt hele nahatoon|õigusemõistmine
