# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خنده;خنده|صورت با لبخند|لبخند|نیش باز
	💪🏽;عضلهٔ بازو: پوست طلایی;بدن|پوست طلایی|عضلهٔ بازو|عضلهٔ بازو: پوست طلایی|ماهیچه|مصور|ورزیده
	💪🏾;عضلهٔ بازو: پوست گندمی;بدن|پوست گندمی|عضلهٔ بازو|عضلهٔ بازو: پوست گندمی|ماهیچه|مصور|ورزیده
	💪🏿;عضلهٔ بازو: پوست آبنوسی;بدن|پوست آبنوسی|عضلهٔ بازو|عضلهٔ بازو: پوست آبنوسی|ماهیچه|مصور|ورزیده
🦾;بازوی مکانیکی;اندام ساختگی|بازوی مکانیکی|دسترس‌پذیری
🦿;پای مکانیکی;اندام ساختگی|پای مکانیکی|دسترس‌پذیری
🦵;لنگ;پا|لگد|لنگ
	🦵🏻;لنگ: پوست سفید;پا|پوست سفید|لگد|لنگ|لنگ: پوست سفید
	🦵🏼;لنگ: پوست روشن;پا|پوست روشن|لگد|لنگ|لنگ: پوست روشن
	🦵🏽;لنگ: پوست طلایی;پا|پوست طلایی|لگد|لنگ|لنگ: پوست طلایی
	🦵🏾;لنگ: پوست گندمی;پا|پوست گندمی|لگد|لنگ|لنگ: پوست گندمی
	🦵🏿;لنگ: پوست آبنوسی;پا|پوست آبنوسی|لگد|لنگ|لنگ: پوست آبنوسی
🦶;پا;پا|پایکوبی
	🦶🏻;پا: پوست سفید;پا|پا: پوست سفید|پایکوبی|پوست سفید
	🦶🏼;پا: پوست روشن;پا|پا: پوست روشن|پایکوبی|پوست روشن
	🦶🏽;پا: پوست طلایی;پا|پا: پوست طلایی|پایکوبی|پوست طلایی
	🦶🏾;پا: پوست گندمی;پا|پا: پوست گندمی|پایکوبی|پوست گندمی
	🦶🏿;پا: پوست آبنوسی;پا|پا: پوست آبنوسی|پایکوبی|پوست آبنوسی
👂;گوش;بدن|گوش
	👂🏻;گوش: پوست سفید;بدن|پوست سفید|گوش|گوش: پوست سفید
	👂🏼;گوش: پوست روشن;بدن|پوست روشن|گوش|گوش: پوست روشن
	👂🏽;گوش: پوست طلایی;بدن|پوست طلایی|گوش|گوش: پوست طلایی
	👂🏾;گوش: پوست گندمی;بدن|پوست گندمی|گوش|گوش: پوست گندمی
	👂🏿;گوش: پوست آبنوسی;بدن|پوست آبنوسی|گوش|گوش: پوست آبنوسی
🦻;سمعک در گوش;دسترس‌پذیری|سمعک در گوش|کم‌شنوایی
	🦻🏻;سمعک در گوش: پوست سفید;پوست سفید|دسترس‌پذیری|سمعک در گوش|سمعک در گوش: پوست سفید|کم‌شنوایی
	🦻🏼;سمعک در گوش: پوست روشن;پوست روشن|دسترس‌پذیری|سمعک در گوش|سمعک در گوش: پوست روشن|کم‌شنوایی
	🦻🏽;سمعک در گوش: پوست طلایی;پوست طلایی|دسترس‌پذیری|سمعک در گوش|سمعک در گوش: پوست طلایی|کم‌شنوایی
	🦻🏾;سمعک در گوش: پوست گندمی;پوست گندمی|دسترس‌پذیری|سمعک در گوش|سمعک در گوش: پوست گندمی|کم‌شنوایی
	🦻🏿;سمعک در گوش: پوست آبنوسی;پوست آبنوسی|دسترس‌پذیری|سمعک در گوش|سمعک در گوش: پوست آبنوسی|کم‌شنوایی
👃;بینی;بدن|بینی
	👃🏻;بینی: پوست سفید;بدن|بینی|بینی: پوست سفید|پوست سفید
	👃🏼;بینی: پوست روشن;بدن|بینی|بینی: پوست روشن|پوست روشن
	👃🏽;بینی: پوست طلایی;بدن|بینی|بینی: پوست طلایی|پوست طلایی
	👃🏾;بینی: پوست گندمی;بدن|بینی|بینی: پوست گندمی|پوست گندمی
	👃🏿;بینی: پوست آبنوسی;بدن|بینی|بینی: پوست آبنوسی|پوست آبنوسی
🧠;مغز;باهوش|خردمند|زیرک|عاقل|مغز
🫀;قلب;اندام|ضربان قلب|قلب|مرکز|نبض
🫁;ریه;اندام|بازدم|تنفس|دم|ریه
🦷;دندان;دندان|دندانپزشک
🦴;استخوان;استخوان|اسکلت
👀;دو چشم;چشم|دو چشم|صورت
👁️;چشم;بدن|چشم
👅;زبان;بدن|زبان
👄;لب;بدن|دهان|لب
🫦;گازگرفتن لب;ترس|دلواپس|طنازی|عصبی|گازگرفتن لب|ناراحت|نگران
👶;نوزاد;خردسال|طفل|نوزاد
	👶🏻;نوزاد: پوست سفید;پوست سفید|خردسال|طفل|نوزاد|نوزاد: پوست سفید
	👶🏼;نوزاد: پوست روشن;پوست روشن|خردسال|طفل|نوزاد|نوزاد: پوست روشن
	👶🏽;نوزاد: پوست طلایی;پوست طلایی|خردسال|طفل|نوزاد|نوزاد: پوست طلایی
	👶🏾;نوزاد: پوست گندمی;پوست گندمی|خردسال|طفل|نوزاد|نوزاد: پوست گندمی
	👶🏿;نوزاد: پوست آبنوسی;پوست آبنوسی|خردسال|طفل|نوزاد|نوزاد: پوست آبنوسی
🧒;بچه;بچه|بی‌جنس|جنس خنثی|جوان
	🧒🏻;بچه: پوست سفید;بچه|بچه: پوست سفید|بی‌جنس|پوست سفید|جنس خنثی|جوان
	🧒🏼;بچه: پوست روشن;بچه|بچه: پوست روشن|بی‌جنس|پوست روشن|جنس خنثی|جوان
	🧒🏽;بچه: پوست طلایی;بچه|بچه: پوست طلایی|بی‌جنس|پوست طلایی|جنس خنثی|جوان
	🧒🏾;بچه: پوست گندمی;بچه|بچه: پوست گندمی|بی‌جنس|پوست گندمی|جنس خنثی|جوان
	🧒🏿;بچه: پوست آبنوسی;بچه|بچه: پوست آبنوسی|بی‌جنس|پوست آبنوسی|جنس خنثی|جوان
👦;پسر;پسر|پسربچه|جوان|مذکر
	👦🏻;پسر: پوست سفید;پسر|پسر: پوست سفید|پسربچه|پوست سفید|جوان|مذکر
	👦🏼;پسر: پوست روشن;پسر|پسر: پوست روشن|پسربچه|پوست روشن|جوان|مذکر
	👦🏽;پسر: پوست طلایی;پسر|پسر: پوست طلایی|پسربچه|پوست طلایی|جوان|مذکر
	👦🏾;پسر: پوست گندمی;پسر|پسر: پوست گندمی|پسربچه|پوست گندمی|جوان|مذکر
	👦🏿;پسر: پوست آبنوسی;پسر|پسر: پوست آبنوسی|پسربچه|پوست آبنوسی|جوان|مذکر
👧;دختر;باکره|دختر|دوشیزه
	👧🏻;دختر: پوست سفید;باکره|پوست سفید|دختر|دختر: پوست سفید|دوشیزه
	👧🏼;دختر: پوست روشن;باکره|پوست روشن|دختر|دختر: پوست روشن|دوشیزه
	👧🏽;دختر: پوست طلایی;باکره|پوست طلایی|دختر|دختر: پوست طلایی|دوشیزه
	👧🏾;دختر: پوست گندمی;باکره|پوست گندمی|دختر|دختر: پوست گندمی|دوشیزه
	👧🏿;دختر: پوست آبنوسی;باکره|پوست آبنوسی|دختر|دختر: پوست آبنوسی|دوشیزه
🧑;شخص;بزرگسال|جنس خنثی|جنس نامشخص|شخص
	🧑🏻;شخص: پوست سفید;بزرگسال|پوست سفید|جنس خنثی|جنس نامشخص|شخص|شخص: پوست سفید
	🧑🏼;شخص: پوست روشن;بزرگسال|پوست روشن|جنس خنثی|جنس نامشخص|شخص|شخص: پوست روشن
	🧑🏽;شخص: پوست طلایی;بزرگسال|پوست طلایی|جنس خنثی|جنس نامشخص|شخص|شخص: پوست طلایی
	🧑🏾;شخص: پوست گندمی;بزرگسال|پوست گندمی|جنس خنثی|جنس نامشخص|شخص|شخص: پوست گندمی
	🧑🏿;شخص: پوست آبنوسی;بزرگسال|پوست آبنوسی|جنس خنثی|جنس نامشخص|شخص|شخص: پوست آبنوسی
👱;آدم: موبلوند;آدم بلوند|آدم: موبلوند|بلوند|بور|طلایی
	👱🏻;آدم: پوست سفید،‏ موبلوند;آدم بلوند|آدم: پوست سفید،‏ موبلوند|آدم: موبلوند|بلوند|بور|پوست سفید|طلایی|موبلوند
	👱🏼;آدم: پوست روشن،‏ موبلوند;آدم بلوند|آدم: پوست روشن،‏ موبلوند|آدم: موبلوند|بلوند|بور|پوست روشن|طلایی|موبلوند
	👱🏽;آدم: پوست طلایی،‏ موبلوند;آدم بلوند|آدم: پوست طلایی،‏ موبلوند|آدم: موبلوند|بلوند|بور|پوست طلایی|طلایی|موبلوند
	👱🏾;آدم: پوست گندمی،‏ موبلوند;آدم بلوند|آدم: پوست گندمی،‏ موبلوند|آدم: موبلوند|بلوند|بور|پوست گندمی|طلایی|موبلوند
	👱🏿;آدم: پوست آبنوسی،‏ موبلوند;آدم بلوند|آدم: پوست آبنوسی،‏ موبلوند|آدم: موبلوند|بلوند|بور|پوست آبنوسی|طلایی|موبلوند
👨;مرد;آقا|مرد
	👨🏻;مرد: پوست سفید;آقا|پوست سفید|مرد|مرد: پوست سفید
	👨🏼;مرد: پوست روشن;آقا|پوست روشن|مرد|مرد: پوست روشن
	👨🏽;مرد: پوست طلایی;آقا|پوست طلایی|مرد|مرد: پوست طلایی
	👨🏾;مرد: پوست گندمی;آقا|پوست گندمی|مرد|مرد: پوست گندمی
	👨🏿;مرد: پوست آبنوسی;آقا|پوست آبنوسی|مرد|مرد: پوست آبنوسی
🧔;مرد: ریش‌دار;آدم|ریش‌دار|ریشو|مرد|مرد: ریش‌دار
	🧔🏻;مرد: پوست سفید،‏ ریش‌دار;آدم|پوست سفید|ریش‌دار|ریشو|مرد|مرد: پوست سفید،‏ ریش‌دار|مرد: ریش‌دار
	🧔🏼;مرد: پوست روشن،‏ ریش‌دار;آدم|پوست روشن|ریش‌دار|ریشو|مرد|مرد: پوست روشن،‏ ریش‌دار|مرد: ریش‌دار
	🧔🏽;مرد: پوست طلایی،‏ ریش‌دار;آدم|پوست طلایی|ریش‌دار|ریشو|مرد|مرد: پوست طلایی،‏ ریش‌دار|مرد: ریش‌دار
	🧔🏾;مرد: پوست گندمی،‏ ریش‌دار;آدم|پوست گندمی|ریش‌دار|ریشو|مرد|مرد: پوست گندمی،‏ ریش‌دار|مرد: ریش‌دار
	🧔🏿;مرد: پوست آبنوسی،‏ ریش‌دار;آدم|پوست آبنوسی|ریش‌دار|ریشو|مرد|مرد: پوست آبنوسی،‏ ریش‌دار|مرد: ریش‌دار
🧔‍♂️;مرد: ریش;ریش|مرد|مرد: ریش
	🧔🏻‍♂️;مرد: پوست سفید،‏ ریش;پوست سفید|ریش|مرد|مرد: پوست سفید،‏ ریش|مرد: ریش
	🧔🏼‍♂️;مرد: پوست روشن،‏ ریش;پوست روشن|ریش|مرد|مرد: پوست روشن،‏ ریش|مرد: ریش
	🧔🏽‍♂️;مرد: پوست طلایی،‏ ریش;پوست طلایی|ریش|مرد|مرد: پوست طلایی،‏ ریش|مرد: ریش
	🧔🏾‍♂️;مرد: پوست گندمی،‏ ریش;پوست گندمی|ریش|مرد|مرد: پوست گندمی،‏ ریش|مرد: ریش
	🧔🏿‍♂️;مرد: پوست آبنوسی،‏ ریش;پوست آبنوسی|ریش|مرد|مرد: پوست آبنوسی،‏ ریش|مرد: ریش
🧔‍♀️;زن: ریش;ریش|زن|زن: ریش
	🧔🏻‍♀️;زن: پوست سفید،‏ ریش;پوست سفید|ریش|زن|زن: پوست سفید،‏ ریش|زن: ریش
	🧔🏼‍♀️;زن: پوست روشن،‏ ریش;پوست روشن|ریش|زن|زن: پوست روشن،‏ ریش|زن: ریش
	🧔🏽‍♀️;زن: پوست طلایی،‏ ریش;پوست طلایی|ریش|زن|زن: پوست طلایی،‏ ریش|زن: ریش
	🧔🏾‍♀️;زن: پوست گندمی،‏ ریش;پوست گندمی|ریش|زن|زن: پوست گندمی،‏ ریش|زن: ریش
	🧔🏿‍♀️;زن: پوست آبنوسی،‏ ریش;پوست آبنوسی|ریش|زن|زن: پوست آبنوسی،‏ ریش|زن: ریش
👨‍🦰;مرد: موقرمز;آقا|مرد|مرد: موقرمز|موقرمز
	👨🏻‍🦰;مرد: پوست سفید،‏ موقرمز;آقا|پوست سفید|مرد|مرد: پوست سفید،‏ موقرمز|موقرمز
	👨🏼‍🦰;مرد: پوست روشن،‏ موقرمز;آقا|پوست روشن|مرد|مرد: پوست روشن،‏ موقرمز|موقرمز
	👨🏽‍🦰;مرد: پوست طلایی،‏ موقرمز;آقا|پوست طلایی|مرد|مرد: پوست طلایی،‏ موقرمز|موقرمز
	👨🏾‍🦰;مرد: پوست گندمی،‏ موقرمز;آقا|پوست گندمی|مرد|مرد: پوست گندمی،‏ موقرمز|موقرمز
	👨🏿‍🦰;مرد: پوست آبنوسی،‏ موقرمز;آقا|پوست آبنوسی|مرد|مرد: پوست آبنوسی،‏ موقرمز|موقرمز
👨‍🦱;مرد: موفرفری;آقا|مرد|مرد: موفرفری|موفرفری
	👨🏻‍🦱;مرد: پوست سفید،‏ موفرفری;آقا|پوست سفید|مرد|مرد: پوست سفید،‏ موفرفری|موفرفری
	👨🏼‍🦱;مرد: پوست روشن،‏ موفرفری;آقا|پوست روشن|مرد|مرد: پوست روشن،‏ موفرفری|موفرفری
	👨🏽‍🦱;مرد: پوست طلایی،‏ موفرفری;آقا|پوست طلایی|مرد|مرد: پوست طلایی،‏ موفرفری|موفرفری
	👨🏾‍🦱;مرد: پوست گندمی،‏ موفرفری;آقا|پوست گندمی|مرد|مرد: پوست گندمی،‏ موفرفری|موفرفری
	👨🏿‍🦱;مرد: پوست آبنوسی،‏ موفرفری;آقا|پوست آبنوسی|مرد|مرد: پوست آبنوسی،‏ موفرفری|موفرفری
👨‍🦳;مرد: موسفید;آقا|مرد|مرد: موسفید|موسفید
	👨🏻‍🦳;مرد: پوست سفید،‏ موسفید;آقا|پوست سفید|مرد|مرد: پوست سفید،‏ موسفید|موسفید
	👨🏼‍🦳;مرد: پوست روشن،‏ موسفید;آقا|پوست روشن|مرد|مرد: پوست روشن،‏ موسفید|موسفید
	👨🏽‍🦳;مرد: پوست طلایی،‏ موسفید;آقا|پوست طلایی|مرد|مرد: پوست طلایی،‏ موسفید|موسفید
	👨🏾‍🦳;مرد: پوست گندمی،‏ موسفید;آقا|پوست گندمی|مرد|مرد: پوست گندمی،‏ موسفید|موسفید
	👨🏿‍🦳;مرد: پوست آبنوسی،‏ موسفید;آقا|پوست آبنوسی|مرد|مرد: پوست آبنوسی،‏ موسفید|موسفید
👨‍🦲;مرد: تاس;آقا|تاس|مرد|مرد: تاس
	👨🏻‍🦲;مرد: پوست سفید،‏ تاس;آقا|پوست سفید|تاس|مرد|مرد: پوست سفید،‏ تاس
	👨🏼‍🦲;مرد: پوست روشن،‏ تاس;آقا|پوست روشن|تاس|مرد|مرد: پوست روشن،‏ تاس
	👨🏽‍🦲;مرد: پوست طلایی،‏ تاس;آقا|پوست طلایی|تاس|مرد|مرد: پوست طلایی،‏ تاس
	👨🏾‍🦲;مرد: پوست گندمی،‏ تاس;آقا|پوست گندمی|تاس|مرد|مرد: پوست گندمی،‏ تاس
	👨🏿‍🦲;مرد: پوست آبنوسی،‏ تاس;آقا|پوست آبنوسی|تاس|مرد|مرد: پوست آبنوسی،‏ تاس
👩;زن;خانم|زن
	👩🏻;زن: پوست سفید;پوست سفید|خانم|زن|زن: پوست سفید
	👩🏼;زن: پوست روشن;پوست روشن|خانم|زن|زن: پوست روشن
	👩🏽;زن: پوست طلایی;پوست طلایی|خانم|زن|زن: پوست طلایی
	👩🏾;زن: پوست گندمی;پوست گندمی|خانم|زن|زن: پوست گندمی
	👩🏿;زن: پوست آبنوسی;پوست آبنوسی|خانم|زن|زن: پوست آبنوسی
👩‍🦰;زن: موقرمز;خانم|زن|زن: موقرمز|موقرمز
	👩🏻‍🦰;زن: پوست سفید،‏ موقرمز;پوست سفید|خانم|زن|زن: پوست سفید،‏ موقرمز|موقرمز
	👩🏼‍🦰;زن: پوست روشن،‏ موقرمز;پوست روشن|خانم|زن|زن: پوست روشن،‏ موقرمز|موقرمز
	👩🏽‍🦰;زن: پوست طلایی،‏ موقرمز;پوست طلایی|خانم|زن|زن: پوست طلایی،‏ موقرمز|موقرمز
	👩🏾‍🦰;زن: پوست گندمی،‏ موقرمز;پوست گندمی|خانم|زن|زن: پوست گندمی،‏ موقرمز|موقرمز
	👩🏿‍🦰;زن: پوست آبنوسی،‏ موقرمز;پوست آبنوسی|خانم|زن|زن: پوست آبنوسی،‏ موقرمز|موقرمز
🧑‍🦰;شخص: موقرمز;بزرگسال|جنس خنثی|جنس نامشخص|شخص|شخص: موقرمز|موقرمز
	🧑🏻‍🦰;شخص: پوست سفید،‏ موقرمز;بزرگسال|پوست سفید|جنس خنثی|جنس نامشخص|شخص|شخص: پوست سفید،‏ موقرمز|موقرمز
	🧑🏼‍🦰;شخص: پوست روشن،‏ موقرمز;بزرگسال|پوست روشن|جنس خنثی|جنس نامشخص|شخص|شخص: پوست روشن،‏ موقرمز|موقرمز
	🧑🏽‍🦰;شخص: پوست طلایی،‏ موقرمز;بزرگسال|پوست طلایی|جنس خنثی|جنس نامشخص|شخص|شخص: پوست طلایی،‏ موقرمز|موقرمز
	🧑🏾‍🦰;شخص: پوست گندمی،‏ موقرمز;بزرگسال|پوست گندمی|جنس خنثی|جنس نامشخص|شخص|شخص: پوست گندمی،‏ موقرمز|موقرمز
	🧑🏿‍🦰;شخص: پوست آبنوسی،‏ موقرمز;بزرگسال|پوست آبنوسی|جنس خنثی|جنس نامشخص|شخص|شخص: پوست آبنوسی،‏ موقرمز|موقرمز
👩‍🦱;زن: موفرفری;خانم|زن|زن: موفرفری|موفرفری
	👩🏻‍🦱;زن: پوست سفید،‏ موفرفری;پوست سفید|خانم|زن|زن: پوست سفید،‏ موفرفری|موفرفری
	👩🏼‍🦱;زن: پوست روشن،‏ موفرفری;پوست روشن|خانم|زن|زن: پوست روشن،‏ موفرفری|موفرفری
	👩🏽‍🦱;زن: پوست طلایی،‏ موفرفری;پوست طلایی|خانم|زن|زن: پوست طلایی،‏ موفرفری|موفرفری
	👩🏾‍🦱;زن: پوست گندمی،‏ موفرفری;پوست گندمی|خانم|زن|زن: پوست گندمی،‏ موفرفری|موفرفری
	👩🏿‍🦱;زن: پوست آبنوسی،‏ موفرفری;پوست آبنوسی|خانم|زن|زن: پوست آبنوسی،‏ موفرفری|موفرفری
🧑‍🦱;شخص: موفرفری;بزرگسال|جنس خنثی|جنس نامشخص|شخص|شخص: موفرفری|موفرفری
	🧑🏻‍🦱;شخص: پوست سفید،‏ موفرفری;بزرگسال|پوست سفید|جنس خنثی|جنس نامشخص|شخص|شخص: پوست سفید،‏ موفرفری|موفرفری
	🧑🏼‍🦱;شخص: پوست روشن،‏ موفرفری;بزرگسال|پوست روشن|جنس خنثی|جنس نامشخص|شخص|شخص: پوست روشن،‏ موفرفری|موفرفری
	🧑🏽‍🦱;شخص: پوست طلایی،‏ موفرفری;بزرگسال|پوست طلایی|جنس خنثی|جنس نامشخص|شخص|شخص: پوست طلایی،‏ موفرفری|موفرفری
	🧑🏾‍🦱;شخص: پوست گندمی،‏ موفرفری;بزرگسال|پوست گندمی|جنس خنثی|جنس نامشخص|شخص|شخص: پوست گندمی،‏ موفرفری|موفرفری
	🧑🏿‍🦱;شخص: پوست آبنوسی،‏ موفرفری;بزرگسال|پوست آبنوسی|جنس خنثی|جنس نامشخص|شخص|شخص: پوست آبنوسی،‏ موفرفری|موفرفری
👩‍🦳;زن: موسفید;خانم|زن|زن: موسفید|موسفید
	👩🏻‍🦳;زن: پوست سفید،‏ موسفید;پوست سفید|خانم|زن|زن: پوست سفید،‏ موسفید|موسفید
	👩🏼‍🦳;زن: پوست روشن،‏ موسفید;پوست روشن|خانم|زن|زن: پوست روشن،‏ موسفید|موسفید
	👩🏽‍🦳;زن: پوست طلایی،‏ موسفید;پوست طلایی|خانم|زن|زن: پوست طلایی،‏ موسفید|موسفید
	👩🏾‍🦳;زن: پوست گندمی،‏ موسفید;پوست گندمی|خانم|زن|زن: پوست گندمی،‏ موسفید|موسفید
	👩🏿‍🦳;زن: پوست آبنوسی،‏ موسفید;پوست آبنوسی|خانم|زن|زن: پوست آبنوسی،‏ موسفید|موسفید
🧑‍🦳;شخص: موسفید;بزرگسال|جنس خنثی|جنس نامشخص|شخص|شخص: موسفید|موسفید
	🧑🏻‍🦳;شخص: پوست سفید،‏ موسفید;بزرگسال|پوست سفید|جنس خنثی|جنس نامشخص|شخص|شخص: پوست سفید،‏ موسفید|موسفید
	🧑🏼‍🦳;شخص: پوست روشن،‏ موسفید;بزرگسال|پوست روشن|جنس خنثی|جنس نامشخص|شخص|شخص: پوست روشن،‏ موسفید|موسفید
	🧑🏽‍🦳;شخص: پوست طلایی،‏ موسفید;بزرگسال|پوست طلایی|جنس خنثی|جنس نامشخص|شخص|شخص: پوست طلایی،‏ موسفید|موسفید
	🧑🏾‍🦳;شخص: پوست گندمی،‏ موسفید;بزرگسال|پوست گندمی|جنس خنثی|جنس نامشخص|شخص|شخص: پوست گندمی،‏ موسفید|موسفید
	🧑🏿‍🦳;شخص: پوست آبنوسی،‏ موسفید;بزرگسال|پوست آبنوسی|جنس خنثی|جنس نامشخص|شخص|شخص: پوست آبنوسی،‏ موسفید|موسفید
👩‍🦲;زن: تاس;تاس|خانم|زن|زن: تاس
	👩🏻‍🦲;زن: پوست سفید،‏ تاس;پوست سفید|تاس|خانم|زن|زن: پوست سفید،‏ تاس
	👩🏼‍🦲;زن: پوست روشن،‏ تاس;پوست روشن|تاس|خانم|زن|زن: پوست روشن،‏ تاس
	👩🏽‍🦲;زن: پوست طلایی،‏ تاس;پوست طلایی|تاس|خانم|زن|زن: پوست طلایی،‏ تاس
	👩🏾‍🦲;زن: پوست گندمی،‏ تاس;پوست گندمی|تاس|خانم|زن|زن: پوست گندمی،‏ تاس
	👩🏿‍🦲;زن: پوست آبنوسی،‏ تاس;پوست آبنوسی|تاس|خانم|زن|زن: پوست آبنوسی،‏ تاس
🧑‍🦲;شخص: تاس;بزرگسال|تاس|جنس خنثی|جنس نامشخص|شخص|شخص: تاس
	🧑🏻‍🦲;شخص: پوست سفید،‏ تاس;بزرگسال|پوست سفید|تاس|جنس خنثی|جنس نامشخص|شخص|شخص: پوست سفید،‏ تاس
	🧑🏼‍🦲;شخص: پوست روشن،‏ تاس;بزرگسال|پوست روشن|تاس|جنس خنثی|جنس نامشخص|شخص|شخص: پوست روشن،‏ تاس
	🧑🏽‍🦲;شخص: پوست طلایی،‏ تاس;بزرگسال|پوست طلایی|تاس|جنس خنثی|جنس نامشخص|شخص|شخص: پوست طلایی،‏ تاس
	🧑🏾‍🦲;شخص: پوست گندمی،‏ تاس;بزرگسال|پوست گندمی|تاس|جنس خنثی|جنس نامشخص|شخص|شخص: پوست گندمی،‏ تاس
	🧑🏿‍🦲;شخص: پوست آبنوسی،‏ تاس;بزرگسال|پوست آبنوسی|تاس|جنس خنثی|جنس نامشخص|شخص|شخص: پوست آبنوسی،‏ تاس
👱‍♀️;زن: موبور;بلوند|بور|زن بلوند|زن بور|زن: موبور|موطلایی
	👱🏻‍♀️;زن: پوست سفید،‏ موبور;بلوند|بور|پوست سفید|زن بلوند|زن بور|زن: پوست سفید،‏ موبور|زن: موبور|موبور|موطلایی
	👱🏼‍♀️;زن: پوست روشن،‏ موبور;بلوند|بور|پوست روشن|زن بلوند|زن بور|زن: پوست روشن،‏ موبور|زن: موبور|موبور|موطلایی
	👱🏽‍♀️;زن: پوست طلایی،‏ موبور;بلوند|بور|پوست طلایی|زن بلوند|زن بور|زن: پوست طلایی،‏ موبور|زن: موبور|موبور|موطلایی
	👱🏾‍♀️;زن: پوست گندمی،‏ موبور;بلوند|بور|پوست گندمی|زن بلوند|زن بور|زن: پوست گندمی،‏ موبور|زن: موبور|موبور|موطلایی
	👱🏿‍♀️;زن: پوست آبنوسی،‏ موبور;بلوند|بور|پوست آبنوسی|زن بلوند|زن بور|زن: پوست آبنوسی،‏ موبور|زن: موبور|موبور|موطلایی
👱‍♂️;مرد: مو بور;بلوند|بور|طلایی|مرد بلوند|مرد بور|مرد: مو بور
	👱🏻‍♂️;مرد: پوست سفید،‏ مو بور;بلوند|بور|پوست سفید|طلایی|مرد بلوند|مرد بور|مرد: پوست سفید،‏ مو بور|مرد: مو بور|مو بور
	👱🏼‍♂️;مرد: پوست روشن،‏ مو بور;بلوند|بور|پوست روشن|طلایی|مرد بلوند|مرد بور|مرد: پوست روشن،‏ مو بور|مرد: مو بور|مو بور
	👱🏽‍♂️;مرد: پوست طلایی،‏ مو بور;بلوند|بور|پوست طلایی|طلایی|مرد بلوند|مرد بور|مرد: پوست طلایی،‏ مو بور|مرد: مو بور|مو بور
	👱🏾‍♂️;مرد: پوست گندمی،‏ مو بور;بلوند|بور|پوست گندمی|طلایی|مرد بلوند|مرد بور|مرد: پوست گندمی،‏ مو بور|مرد: مو بور|مو بور
	👱🏿‍♂️;مرد: پوست آبنوسی،‏ مو بور;بلوند|بور|پوست آبنوسی|طلایی|مرد بلوند|مرد بور|مرد: پوست آبنوسی،‏ مو بور|مرد: مو بور|مو بور
🧓;میان‌سال;پیر|جنس خنثی|مسن|میان‌سال
	🧓🏻;میان‌سال: پوست سفید;پوست سفید|پیر|جنس خنثی|مسن|میان‌سال|میان‌سال: پوست سفید
	🧓🏼;میان‌سال: پوست روشن;پوست روشن|پیر|جنس خنثی|مسن|میان‌سال|میان‌سال: پوست روشن
	🧓🏽;میان‌سال: پوست طلایی;پوست طلایی|پیر|جنس خنثی|مسن|میان‌سال|میان‌سال: پوست طلایی
	🧓🏾;میان‌سال: پوست گندمی;پوست گندمی|پیر|جنس خنثی|مسن|میان‌سال|میان‌سال: پوست گندمی
	🧓🏿;میان‌سال: پوست آبنوسی;پوست آبنوسی|پیر|جنس خنثی|مسن|میان‌سال|میان‌سال: پوست آبنوسی
👴;پیرمرد;پیر|پیرمرد|مرد
	👴🏻;پیرمرد: پوست سفید;پوست سفید|پیر|پیرمرد|پیرمرد: پوست سفید|مرد
	👴🏼;پیرمرد: پوست روشن;پوست روشن|پیر|پیرمرد|پیرمرد: پوست روشن|مرد
	👴🏽;پیرمرد: پوست طلایی;پوست طلایی|پیر|پیرمرد|پیرمرد: پوست طلایی|مرد
	👴🏾;پیرمرد: پوست گندمی;پوست گندمی|پیر|پیرمرد|پیرمرد: پوست گندمی|مرد
	👴🏿;پیرمرد: پوست آبنوسی;پوست آبنوسی|پیر|پیرمرد|پیرمرد: پوست آبنوسی|مرد
👵;پیرزن;پیر|پیرزن|زن
	👵🏻;پیرزن: پوست سفید;پوست سفید|پیر|پیرزن|پیرزن: پوست سفید|زن
	👵🏼;پیرزن: پوست روشن;پوست روشن|پیر|پیرزن|پیرزن: پوست روشن|زن
	👵🏽;پیرزن: پوست طلایی;پوست طلایی|پیر|پیرزن|پیرزن: پوست طلایی|زن
	👵🏾;پیرزن: پوست گندمی;پوست گندمی|پیر|پیرزن|پیرزن: پوست گندمی|زن
	👵🏿;پیرزن: پوست آبنوسی;پوست آبنوسی|پیر|پیرزن|پیرزن: پوست آبنوسی|زن
🙍;آدم اخمو;آدم اخمو|اخم|اشاره
	🙍🏻;آدم اخمو: پوست سفید;آدم اخمو|آدم اخمو: پوست سفید|اخم|اشاره|پوست سفید
	🙍🏼;آدم اخمو: پوست روشن;آدم اخمو|آدم اخمو: پوست روشن|اخم|اشاره|پوست روشن
	🙍🏽;آدم اخمو: پوست طلایی;آدم اخمو|آدم اخمو: پوست طلایی|اخم|اشاره|پوست طلایی
	🙍🏾;آدم اخمو: پوست گندمی;آدم اخمو|آدم اخمو: پوست گندمی|اخم|اشاره|پوست گندمی
	🙍🏿;آدم اخمو: پوست آبنوسی;آدم اخمو|آدم اخمو: پوست آبنوسی|اخم|اشاره|پوست آبنوسی
🙍‍♂️;مرد اخم می‌کند;اخمو|مرد ابرو در هم می‌کشد|مرد اخم می‌کند|مرد عبوس|ناخشنود|ناراضی
