# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;დაკრეჭილი სახე;დაკრეჭა|დაკრეჭილი|სახე
	🧔🏽‍♂️;კაცი: კანის საშუალო ტონალობა, წვერი;კანის საშუალო ტონალობა|კაცი: კანის საშუალო ტონალობა, წვერი|კაცი: წვერი|მამაკაცი|მამაკაცი: წვერი|წვერი
	🧔🏾‍♂️;კაცი: საშუალოდან მუქამდე კანის ტონალობა, წვერი;კაცი: საშუალოდან მუქამდე კანის ტონალობა, წვერი|კაცი: წვერი|მამაკაცი|მამაკაცი: წვერი|საშუალოდან მუქამდე კანის ტონალობა|წვერი
	🧔🏿‍♂️;კაცი: კანის მუქი ტონალობა, წვერი;კანის მუქი ტონალობა|კაცი: კანის მუქი ტონალობა, წვერი|კაცი: წვერი|მამაკაცი|მამაკაცი: წვერი|წვერი
🧔‍♀️;ქალი: წვერი;ქალი|ქალი: წვერი|წვერი
	🧔🏻‍♀️;ქალი: კანის ღია ტონალობა, წვერი;კანის ღია ტონალობა|ქალი|ქალი: კანის ღია ტონალობა, წვერი|ქალი: წვერი|წვერი
	🧔🏼‍♀️;ქალი: ღიადან საშუალომდე კანის ტონალობა, წვერი;ქალი|ქალი: ღიადან საშუალომდე კანის ტონალობა, წვერი|ქალი: წვერი|ღიადან საშუალომდე კანის ტონალობა|წვერი
	🧔🏽‍♀️;ქალი: კანის საშუალო ტონალობა, წვერი;კანის საშუალო ტონალობა|ქალი|ქალი: კანის საშუალო ტონალობა, წვერი|ქალი: წვერი|წვერი
	🧔🏾‍♀️;ქალი: საშუალოდან მუქამდე კანის ტონალობა, წვერი;საშუალოდან მუქამდე კანის ტონალობა|ქალი|ქალი: საშუალოდან მუქამდე კანის ტონალობა, წვერი|ქალი: წვერი|წვერი
	🧔🏿‍♀️;ქალი: კანის მუქი ტონალობა, წვერი;კანის მუქი ტონალობა|ქალი|ქალი: კანის მუქი ტონალობა, წვერი|ქალი: წვერი|წვერი
👨‍🦰;კაცი: წითელი თმა;ზრდასრული|კაცი|კაცი: წითელი თმა|წითელი თმა
	👨🏻‍🦰;კაცი: კანის ღია ტონალობა, წითელი თმა;ზრდასრული|კანის ღია ტონალობა|კაცი|კაცი: კანის ღია ტონალობა, წითელი თმა|წითელი თმა
	👨🏼‍🦰;კაცი: ღიადან საშუალომდე კანის ტონალობა, წითელი თმა;ზრდასრული|კაცი|კაცი: ღიადან საშუალომდე კანის ტონალობა, წითელი თმა|ღიადან საშუალომდე კანის ტონალობა|წითელი თმა
	👨🏽‍🦰;კაცი: კანის საშუალო ტონალობა, წითელი თმა;ზრდასრული|კანის საშუალო ტონალობა|კაცი|კაცი: კანის საშუალო ტონალობა, წითელი თმა|წითელი თმა
	👨🏾‍🦰;კაცი: საშუალოდან მუქამდე კანის ტონალობა, წითელი თმა;ზრდასრული|კაცი|კაცი: საშუალოდან მუქამდე კანის ტონალობა, წითელი თმა|საშუალოდან მუქამდე კანის ტონალობა|წითელი თმა
	👨🏿‍🦰;კაცი: კანის მუქი ტონალობა, წითელი თმა;ზრდასრული|კანის მუქი ტონალობა|კაცი|კაცი: კანის მუქი ტონალობა, წითელი თმა|წითელი თმა
👨‍🦱;კაცი: ხვეული თმა;ზრდასრული|კაცი|კაცი: ხვეული თმა|ხვეული თმა
	👨🏻‍🦱;კაცი: კანის ღია ტონალობა, ხვეული თმა;ზრდასრული|კანის ღია ტონალობა|კაცი|კაცი: კანის ღია ტონალობა, ხვეული თმა|ხვეული თმა
	👨🏼‍🦱;კაცი: ღიადან საშუალომდე კანის ტონალობა, ხვეული თმა;ზრდასრული|კაცი|კაცი: ღიადან საშუალომდე კანის ტონალობა, ხვეული თმა|ღიადან საშუალომდე კანის ტონალობა|ხვეული თმა
	👨🏽‍🦱;კაცი: კანის საშუალო ტონალობა, ხვეული თმა;ზრდასრული|კანის საშუალო ტონალობა|კაცი|კაცი: კანის საშუალო ტონალობა, ხვეული თმა|ხვეული თმა
	👨🏾‍🦱;კაცი: საშუალოდან მუქამდე კანის ტონალობა, ხვეული თმა;ზრდასრული|კაცი|კაცი: საშუალოდან მუქამდე კანის ტონალობა, ხვეული თმა|საშუალოდან მუქამდე კანის ტონალობა|ხვეული თმა
	👨🏿‍🦱;კაცი: კანის მუქი ტონალობა, ხვეული თმა;ზრდასრული|კანის მუქი ტონალობა|კაცი|კაცი: კანის მუქი ტონალობა, ხვეული თმა|ხვეული თმა
👨‍🦳;კაცი: თეთრი თმა;ზრდასრული|თეთრი თმა|კაცი|კაცი: თეთრი თმა
	👨🏻‍🦳;კაცი: კანის ღია ტონალობა, თეთრი თმა;ზრდასრული|თეთრი თმა|კანის ღია ტონალობა|კაცი|კაცი: კანის ღია ტონალობა, თეთრი თმა
	👨🏼‍🦳;კაცი: ღიადან საშუალომდე კანის ტონალობა, თეთრი თმა;ზრდასრული|თეთრი თმა|კაცი|კაცი: ღიადან საშუალომდე კანის ტონალობა, თეთრი თმა|ღიადან საშუალომდე კანის ტონალობა
	👨🏽‍🦳;კაცი: კანის საშუალო ტონალობა, თეთრი თმა;ზრდასრული|თეთრი თმა|კანის საშუალო ტონალობა|კაცი|კაცი: კანის საშუალო ტონალობა, თეთრი თმა
	👨🏾‍🦳;კაცი: საშუალოდან მუქამდე კანის ტონალობა, თეთრი თმა;ზრდასრული|თეთრი თმა|კაცი|კაცი: საშუალოდან მუქამდე კანის ტონალობა, თეთრი თმა|საშუალოდან მუქამდე კანის ტონალობა
	👨🏿‍🦳;კაცი: კანის მუქი ტონალობა, თეთრი თმა;ზრდასრული|თეთრი თმა|კანის მუქი ტონალობა|კაცი|კაცი: კანის მუქი ტონალობა, თეთრი თმა
👨‍🦲;კაცი: მელოტი;ზრდასრული|კაცი|კაცი: მელოტი|მელოტი
	👨🏻‍🦲;კაცი: კანის ღია ტონალობა, მელოტი;ზრდასრული|კანის ღია ტონალობა|კაცი|კაცი: კანის ღია ტონალობა, მელოტი|მელოტი
	👨🏼‍🦲;კაცი: ღიადან საშუალომდე კანის ტონალობა, მელოტი;ზრდასრული|კაცი|კაცი: ღიადან საშუალომდე კანის ტონალობა, მელოტი|მელოტი|ღიადან საშუალომდე კანის ტონალობა
	👨🏽‍🦲;კაცი: კანის საშუალო ტონალობა, მელოტი;ზრდასრული|კანის საშუალო ტონალობა|კაცი|კაცი: კანის საშუალო ტონალობა, მელოტი|მელოტი
	👨🏾‍🦲;კაცი: საშუალოდან მუქამდე კანის ტონალობა, მელოტი;ზრდასრული|კაცი|კაცი: საშუალოდან მუქამდე კანის ტონალობა, მელოტი|მელოტი|საშუალოდან მუქამდე კანის ტონალობა
	👨🏿‍🦲;კაცი: კანის მუქი ტონალობა, მელოტი;ზრდასრული|კანის მუქი ტონალობა|კაცი|კაცი: კანის მუქი ტონალობა, მელოტი|მელოტი
👩;ქალი;ქალი
	👩🏻;ქალი: კანის ღია ტონალობა;კანის ღია ტონალობა|ქალი|ქალი: კანის ღია ტონალობა
	👩🏼;ქალი: ღიადან საშუალომდე კანის ტონალობა;ქალი|ქალი: ღიადან საშუალომდე კანის ტონალობა|ღიადან საშუალომდე კანის ტონალობა
	👩🏽;ქალი: კანის საშუალო ტონალობა;კანის საშუალო ტონალობა|ქალი|ქალი: კანის საშუალო ტონალობა
	👩🏾;ქალი: საშუალოდან მუქამდე კანის ტონალობა;საშუალოდან მუქამდე კანის ტონალობა|ქალი|ქალი: საშუალოდან მუქამდე კანის ტონალობა
	👩🏿;ქალი: კანის მუქი ტონალობა;კანის მუქი ტონალობა|ქალი|ქალი: კანის მუქი ტონალობა
👩‍🦰;ქალი: წითელი თმა;ქალი|ქალი: წითელი თმა|წითელი თმა
	👩🏻‍🦰;ქალი: კანის ღია ტონალობა, წითელი თმა;კანის ღია ტონალობა|ქალი|ქალი: კანის ღია ტონალობა, წითელი თმა|წითელი თმა
	👩🏼‍🦰;ქალი: ღიადან საშუალომდე კანის ტონალობა, წითელი თმა;ქალი|ქალი: ღიადან საშუალომდე კანის ტონალობა, წითელი თმა|ღიადან საშუალომდე კანის ტონალობა|წითელი თმა
	👩🏽‍🦰;ქალი: კანის საშუალო ტონალობა, წითელი თმა;კანის საშუალო ტონალობა|ქალი|ქალი: კანის საშუალო ტონალობა, წითელი თმა|წითელი თმა
	👩🏾‍🦰;ქალი: საშუალოდან მუქამდე კანის ტონალობა, წითელი თმა;საშუალოდან მუქამდე კანის ტონალობა|ქალი|ქალი: საშუალოდან მუქამდე კანის ტონალობა, წითელი თმა|წითელი თმა
	👩🏿‍🦰;ქალი: კანის მუქი ტონალობა, წითელი თმა;კანის მუქი ტონალობა|ქალი|ქალი: კანის მუქი ტონალობა, წითელი თმა|წითელი თმა
🧑‍🦰;სრულწლოვანი: წითელი თმა;გენდერ-ნეიტრალური|სრულწლოვანი|სრულწლოვანი: წითელი თმა|სქესის მიუთითებლად|წითელი თმა
	🧑🏻‍🦰;სრულწლოვანი: კანის ღია ტონალობა, წითელი თმა;გენდერ-ნეიტრალური|კანის ღია ტონალობა|სრულწლოვანი|სრულწლოვანი: კანის ღია ტონალობა, წითელი თმა|სქესის მიუთითებლად|წითელი თმა
	🧑🏼‍🦰;სრულწლოვანი: ღიადან საშუალომდე კანის ტონალობა, წითელი თმა;გენდერ-ნეიტრალური|სრულწლოვანი|სრულწლოვანი: ღიადან საშუალომდე კანის ტონალობა, წითელი თმა|სქესის მიუთითებლად|ღიადან საშუალომდე კანის ტონალობა|წითელი თმა
	🧑🏽‍🦰;სრულწლოვანი: კანის საშუალო ტონალობა, წითელი თმა;გენდერ-ნეიტრალური|კანის საშუალო ტონალობა|სრულწლოვანი|სრულწლოვანი: კანის საშუალო ტონალობა, წითელი თმა|სქესის მიუთითებლად|წითელი თმა
	🧑🏾‍🦰;სრულწლოვანი: საშუალოდან მუქამდე კანის ტონალობა, წითელი თმა;გენდერ-ნეიტრალური|საშუალოდან მუქამდე კანის ტონალობა|სრულწლოვანი|სრულწლოვანი: საშუალოდან მუქამდე კანის ტონალობა, წითელი თმა|სქესის მიუთითებლად|წითელი თმა
	🧑🏿‍🦰;სრულწლოვანი: კანის მუქი ტონალობა, წითელი თმა;გენდერ-ნეიტრალური|კანის მუქი ტონალობა|სრულწლოვანი|სრულწლოვანი: კანის მუქი ტონალობა, წითელი თმა|სქესის მიუთითებლად|წითელი თმა
👩‍🦱;ქალი: ხვეული თმა;ქალი|ქალი: ხვეული თმა|ხვეული თმა
	👩🏻‍🦱;ქალი: კანის ღია ტონალობა, ხვეული თმა;კანის ღია ტონალობა|ქალი|ქალი: კანის ღია ტონალობა, ხვეული თმა|ხვეული თმა
	👩🏼‍🦱;ქალი: ღიადან საშუალომდე კანის ტონალობა, ხვეული თმა;ქალი|ქალი: ღიადან საშუალომდე კანის ტონალობა, ხვეული თმა|ღიადან საშუალომდე კანის ტონალობა|ხვეული თმა
	👩🏽‍🦱;ქალი: კანის საშუალო ტონალობა, ხვეული თმა;კანის საშუალო ტონალობა|ქალი|ქალი: კანის საშუალო ტონალობა, ხვეული თმა|ხვეული თმა
	👩🏾‍🦱;ქალი: საშუალოდან მუქამდე კანის ტონალობა, ხვეული თმა;საშუალოდან მუქამდე კანის ტონალობა|ქალი|ქალი: საშუალოდან მუქამდე კანის ტონალობა, ხვეული თმა|ხვეული თმა
	👩🏿‍🦱;ქალი: კანის მუქი ტონალობა, ხვეული თმა;კანის მუქი ტონალობა|ქალი|ქალი: კანის მუქი ტონალობა, ხვეული თმა|ხვეული თმა
🧑‍🦱;სრულწლოვანი: ხვეული თმა;გენდერ-ნეიტრალური|სრულწლოვანი|სრულწლოვანი: ხვეული თმა|სქესის მიუთითებლად|ხვეული თმა
	🧑🏻‍🦱;სრულწლოვანი: კანის ღია ტონალობა, ხვეული თმა;გენდერ-ნეიტრალური|კანის ღია ტონალობა|სრულწლოვანი|სრულწლოვანი: კანის ღია ტონალობა, ხვეული თმა|სქესის მიუთითებლად|ხვეული თმა
	🧑🏼‍🦱;სრულწლოვანი: ღიადან საშუალომდე კანის ტონალობა, ხვეული თმა;გენდერ-ნეიტრალური|სრულწლოვანი|სრულწლოვანი: ღიადან საშუალომდე კანის ტონალობა, ხვეული თმა|სქესის მიუთითებლად|ღიადან საშუალომდე კანის ტონალობა|ხვეული თმა
	🧑🏽‍🦱;სრულწლოვანი: კანის საშუალო ტონალობა, ხვეული თმა;გენდერ-ნეიტრალური|კანის საშუალო ტონალობა|სრულწლოვანი|სრულწლოვანი: კანის საშუალო ტონალობა, ხვეული თმა|სქესის მიუთითებლად|ხვეული თმა
	🧑🏾‍🦱;სრულწლოვანი: საშუალოდან მუქამდე კანის ტონალობა, ხვეული თმა;გენდერ-ნეიტრალური|საშუალოდან მუქამდე კანის ტონალობა|სრულწლოვანი|სრულწლოვანი: საშუალოდან მუქამდე კანის ტონალობა, ხვეული თმა|სქესის მიუთითებლად|ხვეული თმა
	🧑🏿‍🦱;სრულწლოვანი: კანის მუქი ტონალობა, ხვეული თმა;გენდერ-ნეიტრალური|კანის მუქი ტონალობა|სრულწლოვანი|სრულწლოვანი: კანის მუქი ტონალობა, ხვეული თმა|სქესის მიუთითებლად|ხვეული თმა
👩‍🦳;ქალი: თეთრი თმა;თეთრი თმა|ქალი|ქალი: თეთრი თმა
	👩🏻‍🦳;ქალი: კანის ღია ტონალობა, თეთრი თმა;თეთრი თმა|კანის ღია ტონალობა|ქალი|ქალი: კანის ღია ტონალობა, თეთრი თმა
	👩🏼‍🦳;ქალი: ღიადან საშუალომდე კანის ტონალობა, თეთრი თმა;თეთრი თმა|ქალი|ქალი: ღიადან საშუალომდე კანის ტონალობა, თეთრი თმა|ღიადან საშუალომდე კანის ტონალობა
	👩🏽‍🦳;ქალი: კანის საშუალო ტონალობა, თეთრი თმა;თეთრი თმა|კანის საშუალო ტონალობა|ქალი|ქალი: კანის საშუალო ტონალობა, თეთრი თმა
	👩🏾‍🦳;ქალი: საშუალოდან მუქამდე კანის ტონალობა, თეთრი თმა;თეთრი თმა|საშუალოდან მუქამდე კანის ტონალობა|ქალი|ქალი: საშუალოდან მუქამდე კანის ტონალობა, თეთრი თმა
	👩🏿‍🦳;ქალი: კანის მუქი ტონალობა, თეთრი თმა;თეთრი თმა|კანის მუქი ტონალობა|ქალი|ქალი: კანის მუქი ტონალობა, თეთრი თმა
🧑‍🦳;სრულწლოვანი: თეთრი თმა;გენდერ-ნეიტრალური|თეთრი თმა|სრულწლოვანი|სრულწლოვანი: თეთრი თმა|სქესის მიუთითებლად
	🧑🏻‍🦳;სრულწლოვანი: კანის ღია ტონალობა, თეთრი თმა;გენდერ-ნეიტრალური|თეთრი თმა|კანის ღია ტონალობა|სრულწლოვანი|სრულწლოვანი: კანის ღია ტონალობა, თეთრი თმა|სქესის მიუთითებლად
	🧑🏼‍🦳;სრულწლოვანი: ღიადან საშუალომდე კანის ტონალობა, თეთრი თმა;გენდერ-ნეიტრალური|თეთრი თმა|სრულწლოვანი|სრულწლოვანი: ღიადან საშუალომდე კანის ტონალობა, თეთრი თმა|სქესის მიუთითებლად|ღიადან საშუალომდე კანის ტონალობა
	🧑🏽‍🦳;სრულწლოვანი: კანის საშუალო ტონალობა, თეთრი თმა;გენდერ-ნეიტრალური|თეთრი თმა|კანის საშუალო ტონალობა|სრულწლოვანი|სრულწლოვანი: კანის საშუალო ტონალობა, თეთრი თმა|სქესის მიუთითებლად
	🧑🏾‍🦳;სრულწლოვანი: საშუალოდან მუქამდე კანის ტონალობა, თეთრი თმა;გენდერ-ნეიტრალური|თეთრი თმა|საშუალოდან მუქამდე კანის ტონალობა|სრულწლოვანი|სრულწლოვანი: საშუალოდან მუქამდე კანის ტონალობა, თეთრი თმა|სქესის მიუთითებლად
	🧑🏿‍🦳;სრულწლოვანი: კანის მუქი ტონალობა, თეთრი თმა;გენდერ-ნეიტრალური|თეთრი თმა|კანის მუქი ტონალობა|სრულწლოვანი|სრულწლოვანი: კანის მუქი ტონალობა, თეთრი თმა|სქესის მიუთითებლად
👩‍🦲;ქალი: მელოტი;მელოტი|ქალი|ქალი: მელოტი
	👩🏻‍🦲;ქალი: კანის ღია ტონალობა, მელოტი;კანის ღია ტონალობა|მელოტი|ქალი|ქალი: კანის ღია ტონალობა, მელოტი
	👩🏼‍🦲;ქალი: ღიადან საშუალომდე კანის ტონალობა, მელოტი;მელოტი|ქალი|ქალი: ღიადან საშუალომდე კანის ტონალობა, მელოტი|ღიადან საშუალომდე კანის ტონალობა
	👩🏽‍🦲;ქალი: კანის საშუალო ტონალობა, მელოტი;კანის საშუალო ტონალობა|მელოტი|ქალი|ქალი: კანის საშუალო ტონალობა, მელოტი
	👩🏾‍🦲;ქალი: საშუალოდან მუქამდე კანის ტონალობა, მელოტი;მელოტი|საშუალოდან მუქამდე კანის ტონალობა|ქალი|ქალი: საშუალოდან მუქამდე კანის ტონალობა, მელოტი
	👩🏿‍🦲;ქალი: კანის მუქი ტონალობა, მელოტი;კანის მუქი ტონალობა|მელოტი|ქალი|ქალი: კანის მუქი ტონალობა, მელოტი
🧑‍🦲;სრულწლოვანი: მელოტი;გენდერ-ნეიტრალური|მელოტი|სრულწლოვანი|სრულწლოვანი: მელოტი|სქესის მიუთითებლად
	🧑🏻‍🦲;სრულწლოვანი: კანის ღია ტონალობა, მელოტი;გენდერ-ნეიტრალური|კანის ღია ტონალობა|მელოტი|სრულწლოვანი|სრულწლოვანი: კანის ღია ტონალობა, მელოტი|სქესის მიუთითებლად
	🧑🏼‍🦲;სრულწლოვანი: ღიადან საშუალომდე კანის ტონალობა, მელოტი;გენდერ-ნეიტრალური|მელოტი|სრულწლოვანი|სრულწლოვანი: ღიადან საშუალომდე კანის ტონალობა, მელოტი|სქესის მიუთითებლად|ღიადან საშუალომდე კანის ტონალობა
	🧑🏽‍🦲;სრულწლოვანი: კანის საშუალო ტონალობა, მელოტი;გენდერ-ნეიტრალური|კანის საშუალო ტონალობა|მელოტი|სრულწლოვანი|სრულწლოვანი: კანის საშუალო ტონალობა, მელოტი|სქესის მიუთითებლად
	🧑🏾‍🦲;სრულწლოვანი: საშუალოდან მუქამდე კანის ტონალობა, მელოტი;გენდერ-ნეიტრალური|მელოტი|საშუალოდან მუქამდე კანის ტონალობა|სრულწლოვანი|სრულწლოვანი: საშუალოდან მუქამდე კანის ტონალობა, მელოტი|სქესის მიუთითებლად
	🧑🏿‍🦲;სრულწლოვანი: კანის მუქი ტონალობა, მელოტი;გენდერ-ნეიტრალური|კანის მუქი ტონალობა|მელოტი|სრულწლოვანი|სრულწლოვანი: კანის მუქი ტონალობა, მელოტი|სქესის მიუთითებლად
👱‍♀️;ქერათმიანი ქალი;ქალი|ქერა|ქერათმიანი ქალი
	👱🏻‍♀️;ქერათმიანი ქალი: კანის ღია ტონალობა;კანის ღია ტონალობა|ქალი|ქერა|ქერათმიანი ქალი|ქერათმიანი ქალი: კანის ღია ტონალობა
	👱🏼‍♀️;ქერათმიანი ქალი: ღიადან საშუალომდე კანის ტონალობა;ქალი|ქერა|ქერათმიანი ქალი|ქერათმიანი ქალი: ღიადან საშუალომდე კანის ტონალობა|ღიადან საშუალომდე კანის ტონალობა
	👱🏽‍♀️;ქერათმიანი ქალი: კანის საშუალო ტონალობა;კანის საშუალო ტონალობა|ქალი|ქერა|ქერათმიანი ქალი|ქერათმიანი ქალი: კანის საშუალო ტონალობა
	👱🏾‍♀️;ქერათმიანი ქალი: საშუალოდან მუქამდე კანის ტონალობა;საშუალოდან მუქამდე კანის ტონალობა|ქალი|ქერა|ქერათმიანი ქალი|ქერათმიანი ქალი: საშუალოდან მუქამდე კანის ტონალობა
	👱🏿‍♀️;ქერათმიანი ქალი: კანის მუქი ტონალობა;კანის მუქი ტონალობა|ქალი|ქერა|ქერათმიანი ქალი|ქერათმიანი ქალი: კანის მუქი ტონალობა
👱‍♂️;ქერათმიანი კაცი;კაცი|ქერა|ქერათმიანი კაცი
	👱🏻‍♂️;ქერათმიანი კაცი: კანის ღია ტონალობა;კანის ღია ტონალობა|კაცი|ქერა|ქერათმიანი კაცი|ქერათმიანი კაცი: კანის ღია ტონალობა
	👱🏼‍♂️;ქერათმიანი კაცი: ღიადან საშუალომდე კანის ტონალობა;კაცი|ქერა|ქერათმიანი კაცი|ქერათმიანი კაცი: ღიადან საშუალომდე კანის ტონალობა|ღიადან საშუალომდე კანის ტონალობა
	👱🏽‍♂️;ქერათმიანი კაცი: კანის საშუალო ტონალობა;კანის საშუალო ტონალობა|კაცი|ქერა|ქერათმიანი კაცი|ქერათმიანი კაცი: კანის საშუალო ტონალობა
	👱🏾‍♂️;ქერათმიანი კაცი: საშუალოდან მუქამდე კანის ტონალობა;კაცი|საშუალოდან მუქამდე კანის ტონალობა|ქერა|ქერათმიანი კაცი|ქერათმიანი კაცი: საშუალოდან მუქამდე კანის ტონალობა
	👱🏿‍♂️;ქერათმიანი კაცი: კანის მუქი ტონალობა;კანის მუქი ტონალობა|კაცი|ქერა|ქერათმიანი კაცი|ქერათმიანი კაცი: კანის მუქი ტონალობა
🧓;ჭარმაგი;გენდერ-ნეიტრალური|ჭარმაგი
	🧓🏻;ჭარმაგი: კანის ღია ტონალობა;გენდერ-ნეიტრალური|კანის ღია ტონალობა|ჭარმაგი|ჭარმაგი: კანის ღია ტონალობა
	🧓🏼;ჭარმაგი: ღიადან საშუალომდე კანის ტონალობა;გენდერ-ნეიტრალური|ღიადან საშუალომდე კანის ტონალობა|ჭარმაგი|ჭარმაგი: ღიადან საშუალომდე კანის ტონალობა
	🧓🏽;ჭარმაგი: კანის საშუალო ტონალობა;გენდერ-ნეიტრალური|კანის საშუალო ტონალობა|ჭარმაგი|ჭარმაგი: კანის საშუალო ტონალობა
	🧓🏾;ჭარმაგი: საშუალოდან მუქამდე კანის ტონალობა;გენდერ-ნეიტრალური|საშუალოდან მუქამდე კანის ტონალობა|ჭარმაგი|ჭარმაგი: საშუალოდან მუქამდე კანის ტონალობა
	🧓🏿;ჭარმაგი: კანის მუქი ტონალობა;გენდერ-ნეიტრალური|კანის მუქი ტონალობა|ჭარმაგი|ჭარმაგი: კანის მუქი ტონალობა
👴;მოხუცი კაცი;კაცი|მოხუცი
	👴🏻;მოხუცი კაცი: კანის ღია ტონალობა;კანის ღია ტონალობა|კაცი|მოხუცი|მოხუცი კაცი: კანის ღია ტონალობა
	👴🏼;მოხუცი კაცი: ღიადან საშუალომდე კანის ტონალობა;კაცი|მოხუცი|მოხუცი კაცი: ღიადან საშუალომდე კანის ტონალობა|ღიადან საშუალომდე კანის ტონალობა
	👴🏽;მოხუცი კაცი: კანის საშუალო ტონალობა;კანის საშუალო ტონალობა|კაცი|მოხუცი|მოხუცი კაცი: კანის საშუალო ტონალობა
	👴🏾;მოხუცი კაცი: საშუალოდან მუქამდე კანის ტონალობა;კაცი|მოხუცი|მოხუცი კაცი: საშუალოდან მუქამდე კანის ტონალობა|საშუალოდან მუქამდე კანის ტონალობა
	👴🏿;მოხუცი კაცი: კანის მუქი ტონალობა;კანის მუქი ტონალობა|კაცი|მოხუცი|მოხუცი კაცი: კანის მუქი ტონალობა
👵;მოხუცი ქალი;მოხუცი|ქალი
	👵🏻;მოხუცი ქალი: კანის ღია ტონალობა;კანის ღია ტონალობა|მოხუცი|მოხუცი ქალი: კანის ღია ტონალობა|ქალი
	👵🏼;მოხუცი ქალი: ღიადან საშუალომდე კანის ტონალობა;მოხუცი|მოხუცი ქალი: ღიადან საშუალომდე კანის ტონალობა|ქალი|ღიადან საშუალომდე კანის ტონალობა
	👵🏽;მოხუცი ქალი: კანის საშუალო ტონალობა;კანის საშუალო ტონალობა|მოხუცი|მოხუცი ქალი: კანის საშუალო ტონალობა|ქალი
	👵🏾;მოხუცი ქალი: საშუალოდან მუქამდე კანის ტონალობა;მოხუცი|მოხუცი ქალი: საშუალოდან მუქამდე კანის ტონალობა|საშუალოდან მუქამდე კანის ტონალობა|ქალი
	👵🏿;მოხუცი ქალი: კანის მუქი ტონალობა;კანის მუქი ტონალობა|მოხუცი|მოხუცი ქალი: კანის მუქი ტონალობა|ქალი
🙍;შეჭმუხნილი პიროვნება;ჟესტი|შეკრული|შეჭმუხნილი|შეჭმუხნილი პიროვნება
	🙍🏻;შეჭმუხნილი პიროვნება: კანის ღია ტონალობა;კანის ღია ტონალობა|ჟესტი|შეკრული|შეჭმუხნილი|შეჭმუხნილი პიროვნება|შეჭმუხნილი პიროვნება: კანის ღია ტონალობა
	🙍🏼;შეჭმუხნილი პიროვნება: ღიადან საშუალომდე კანის ტონალობა;ჟესტი|ღიადან საშუალომდე კანის ტონალობა|შეკრული|შეჭმუხნილი|შეჭმუხნილი პიროვნება|შეჭმუხნილი პიროვნება: ღიადან საშუალომდე კანის ტონალობა
	🙍🏽;შეჭმუხნილი პიროვნება: კანის საშუალო ტონალობა;კანის საშუალო ტონალობა|ჟესტი|შეკრული|შეჭმუხნილი|შეჭმუხნილი პიროვნება|შეჭმუხნილი პიროვნება: კანის საშუალო ტონალობა
	🙍🏾;შეჭმუხნილი პიროვნება: საშუალოდან მუქამდე კანის ტონალობა;ჟესტი|საშუალოდან მუქამდე კანის ტონალობა|შეკრული|შეჭმუხნილი|შეჭმუხნილი პიროვნება|შეჭმუხნილი პიროვნება: საშუალოდან მუქამდე კანის ტონალობა
	🙍🏿;შეჭმუხნილი პიროვნება: კანის მუქი ტონალობა;კანის მუქი ტონალობა|ჟესტი|შეკრული|შეჭმუხნილი|შეჭმუხნილი პიროვნება|შეჭმუხნილი პიროვნება: კანის მუქი ტონალობა
🙍‍♂️;შეჭმუხნილი კაცი;კაცი|ჟესტი|შეჭმუხნილი
	🙍🏻‍♂️;შეჭმუხნილი კაცი: კანის ღია ტონალობა;კანის ღია ტონალობა|კაცი|ჟესტი|შეჭმუხნილი|შეჭმუხნილი კაცი: კანის ღია ტონალობა
	🙍🏼‍♂️;შეჭმუხნილი კაცი: ღიადან საშუალომდე კანის ტონალობა;კაცი|ჟესტი|ღიადან საშუალომდე კანის ტონალობა|შეჭმუხნილი|შეჭმუხნილი კაცი: ღიადან საშუალომდე კანის ტონალობა
	🙍🏽‍♂️;შეჭმუხნილი კაცი: კანის საშუალო ტონალობა;კანის საშუალო ტონალობა|კაცი|ჟესტი|შეჭმუხნილი|შეჭმუხნილი კაცი: კანის საშუალო ტონალობა
	🙍🏾‍♂️;შეჭმუხნილი კაცი: საშუალოდან მუქამდე კანის ტონალობა;კაცი|ჟესტი|საშუალოდან მუქამდე კანის ტონალობა|შეჭმუხნილი|შეჭმუხნილი კაცი: საშუალოდან მუქამდე კანის ტონალობა
