# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;režeči obraz;obraz|režanje|režeči obraz
	🧑🏽;odrasla oseba: srednji ten kože;odrasla oseba|odrasla oseba: srednji ten kože|srednji ten kože
	🧑🏾;odrasla oseba: srednje temen ten kože;odrasla oseba|odrasla oseba: srednje temen ten kože|srednje temen ten kože
	🧑🏿;odrasla oseba: temen ten kože;odrasla oseba|odrasla oseba: temen ten kože|temen ten kože
👱;oseba: svetli lasje;lasje|oseba: svetli lasje|svetli lasje|svetlolasa oseba
	👱🏻;oseba: svetel ten kože in svetli lasje;lasje|oseba: svetel ten kože in svetli lasje|oseba: svetli lasje|svetel ten kože|svetli lasje|svetlolasa oseba
	👱🏼;oseba: srednje svetel ten kože in svetli lasje;lasje|oseba: srednje svetel ten kože in svetli lasje|oseba: svetli lasje|srednje svetel ten kože|svetli lasje|svetlolasa oseba
	👱🏽;oseba: srednji ten kože in svetli lasje;lasje|oseba: srednji ten kože in svetli lasje|oseba: svetli lasje|srednji ten kože|svetli lasje|svetlolasa oseba
	👱🏾;oseba: srednje temen ten kože in svetli lasje;lasje|oseba: srednje temen ten kože in svetli lasje|oseba: svetli lasje|srednje temen ten kože|svetli lasje|svetlolasa oseba
	👱🏿;oseba: temen ten kože in svetli lasje;lasje|oseba: svetli lasje|oseba: temen ten kože in svetli lasje|svetli lasje|svetlolasa oseba|temen ten kože
👨;moški;fant|moški
	👨🏻;moški: svetel ten kože;fant|moški|moški: svetel ten kože|svetel ten kože
	👨🏼;moški: srednje svetel ten kože;fant|moški|moški: srednje svetel ten kože|srednje svetel ten kože
	👨🏽;moški: srednji ten kože;fant|moški|moški: srednji ten kože|srednji ten kože
	👨🏾;moški: srednje temen ten kože;fant|moški|moški: srednje temen ten kože|srednje temen ten kože
	👨🏿;moški: temen ten kože;fant|moški|moški: temen ten kože|temen ten kože
🧔;oseba: brada;brada|moški|moški: brada|oseba|oseba: brada
	🧔🏻;oseba: svetel ten kože in brada;brada|moški|moški: brada|oseba|oseba: brada|oseba: svetel ten kože in brada|svetel ten kože
	🧔🏼;oseba: srednje svetel ten kože in brada;brada|moški|moški: brada|oseba|oseba: brada|oseba: srednje svetel ten kože in brada|srednje svetel ten kože
	🧔🏽;oseba: srednji ten kože in brada;brada|moški|moški: brada|oseba|oseba: brada|oseba: srednji ten kože in brada|srednji ten kože
	🧔🏾;oseba: srednje temen ten kože in brada;brada|moški|moški: brada|oseba|oseba: brada|oseba: srednje temen ten kože in brada|srednje temen ten kože
	🧔🏿;oseba: temen ten kože in brada;brada|moški|moški: brada|oseba|oseba: brada|oseba: temen ten kože in brada|temen ten kože
🧔‍♂️;moški: brada;brada|moški|moški: brada
	🧔🏻‍♂️;moški: svetel ten kože in brada;brada|moški|moški: brada|moški: svetel ten kože in brada|svetel ten kože
	🧔🏼‍♂️;moški: srednje svetel ten kože in brada;brada|moški|moški: brada|moški: srednje svetel ten kože in brada|srednje svetel ten kože
	🧔🏽‍♂️;moški: srednji ten kože in brada;brada|moški|moški: brada|moški: srednji ten kože in brada|srednji ten kože
	🧔🏾‍♂️;moški: srednje temen ten kože in brada;brada|moški|moški: brada|moški: srednje temen ten kože in brada|srednje temen ten kože
	🧔🏿‍♂️;moški: temen ten kože in brada;brada|moški|moški: brada|moški: temen ten kože in brada|temen ten kože
🧔‍♀️;ženska: brada;brada|ženska|ženska: brada
	🧔🏻‍♀️;ženska: svetel ten kože in brada;brada|svetel ten kože|ženska|ženska: brada|ženska: svetel ten kože in brada
	🧔🏼‍♀️;ženska: srednje svetel ten kože in brada;brada|srednje svetel ten kože|ženska|ženska: brada|ženska: srednje svetel ten kože in brada
	🧔🏽‍♀️;ženska: srednji ten kože in brada;brada|srednji ten kože|ženska|ženska: brada|ženska: srednji ten kože in brada
	🧔🏾‍♀️;ženska: srednje temen ten kože in brada;brada|srednje temen ten kože|ženska|ženska: brada|ženska: srednje temen ten kože in brada
	🧔🏿‍♀️;ženska: temen ten kože in brada;brada|temen ten kože|ženska|ženska: brada|ženska: temen ten kože in brada
👨‍🦰;moški: rdeči lasje;fant|moški|moški: rdeči lasje|rdeči lasje
	👨🏻‍🦰;moški: svetel ten kože in rdeči lasje;fant|moški|moški: svetel ten kože in rdeči lasje|rdeči lasje|svetel ten kože
	👨🏼‍🦰;moški: srednje svetel ten kože in rdeči lasje;fant|moški|moški: srednje svetel ten kože in rdeči lasje|rdeči lasje|srednje svetel ten kože
	👨🏽‍🦰;moški: srednji ten kože in rdeči lasje;fant|moški|moški: srednji ten kože in rdeči lasje|rdeči lasje|srednji ten kože
	👨🏾‍🦰;moški: srednje temen ten kože in rdeči lasje;fant|moški|moški: srednje temen ten kože in rdeči lasje|rdeči lasje|srednje temen ten kože
	👨🏿‍🦰;moški: temen ten kože in rdeči lasje;fant|moški|moški: temen ten kože in rdeči lasje|rdeči lasje|temen ten kože
👨‍🦱;moški: kodrasti lasje;fant|kodrasti lasje|moški|moški: kodrasti lasje
	👨🏻‍🦱;moški: svetel ten kože in kodrasti lasje;fant|kodrasti lasje|moški|moški: svetel ten kože in kodrasti lasje|svetel ten kože
	👨🏼‍🦱;moški: srednje svetel ten kože in kodrasti lasje;fant|kodrasti lasje|moški|moški: srednje svetel ten kože in kodrasti lasje|srednje svetel ten kože
	👨🏽‍🦱;moški: srednji ten kože in kodrasti lasje;fant|kodrasti lasje|moški|moški: srednji ten kože in kodrasti lasje|srednji ten kože
	👨🏾‍🦱;moški: srednje temen ten kože in kodrasti lasje;fant|kodrasti lasje|moški|moški: srednje temen ten kože in kodrasti lasje|srednje temen ten kože
	👨🏿‍🦱;moški: temen ten kože in kodrasti lasje;fant|kodrasti lasje|moški|moški: temen ten kože in kodrasti lasje|temen ten kože
👨‍🦳;moški: sivi lasje;fant|moški|moški: sivi lasje|sivi lasje
	👨🏻‍🦳;moški: svetel ten kože in sivi lasje;fant|moški|moški: svetel ten kože in sivi lasje|sivi lasje|svetel ten kože
	👨🏼‍🦳;moški: srednje svetel ten kože in sivi lasje;fant|moški|moški: srednje svetel ten kože in sivi lasje|sivi lasje|srednje svetel ten kože
	👨🏽‍🦳;moški: srednji ten kože in sivi lasje;fant|moški|moški: srednji ten kože in sivi lasje|sivi lasje|srednji ten kože
	👨🏾‍🦳;moški: srednje temen ten kože in sivi lasje;fant|moški|moški: srednje temen ten kože in sivi lasje|sivi lasje|srednje temen ten kože
	👨🏿‍🦳;moški: temen ten kože in sivi lasje;fant|moški|moški: temen ten kože in sivi lasje|sivi lasje|temen ten kože
👨‍🦲;moški: plešast;fant|moški|moški: plešast|plešast
	👨🏻‍🦲;moški: svetel ten kože in plešast;fant|moški|moški: svetel ten kože in plešast|plešast|svetel ten kože
	👨🏼‍🦲;moški: srednje svetel ten kože in plešast;fant|moški|moški: srednje svetel ten kože in plešast|plešast|srednje svetel ten kože
	👨🏽‍🦲;moški: srednji ten kože in plešast;fant|moški|moški: srednji ten kože in plešast|plešast|srednji ten kože
	👨🏾‍🦲;moški: srednje temen ten kože in plešast;fant|moški|moški: srednje temen ten kože in plešast|plešast|srednje temen ten kože
	👨🏿‍🦲;moški: temen ten kože in plešast;fant|moški|moški: temen ten kože in plešast|plešast|temen ten kože
👩;ženska;dekle|ženska
	👩🏻;ženska: svetel ten kože;dekle|svetel ten kože|ženska|ženska: svetel ten kože
	👩🏼;ženska: srednje svetel ten kože;dekle|srednje svetel ten kože|ženska|ženska: srednje svetel ten kože
	👩🏽;ženska: srednji ten kože;dekle|srednji ten kože|ženska|ženska: srednji ten kože
	👩🏾;ženska: srednje temen ten kože;dekle|srednje temen ten kože|ženska|ženska: srednje temen ten kože
	👩🏿;ženska: temen ten kože;dekle|temen ten kože|ženska|ženska: temen ten kože
👩‍🦰;ženska: rdeči lasje;dekle|rdeči lasje|ženska|ženska: rdeči lasje
	👩🏻‍🦰;ženska: svetel ten kože in rdeči lasje;dekle|rdeči lasje|svetel ten kože|ženska|ženska: svetel ten kože in rdeči lasje
	👩🏼‍🦰;ženska: srednje svetel ten kože in rdeči lasje;dekle|rdeči lasje|srednje svetel ten kože|ženska|ženska: srednje svetel ten kože in rdeči lasje
	👩🏽‍🦰;ženska: srednji ten kože in rdeči lasje;dekle|rdeči lasje|srednji ten kože|ženska|ženska: srednji ten kože in rdeči lasje
	👩🏾‍🦰;ženska: srednje temen ten kože in rdeči lasje;dekle|rdeči lasje|srednje temen ten kože|ženska|ženska: srednje temen ten kože in rdeči lasje
	👩🏿‍🦰;ženska: temen ten kože in rdeči lasje;dekle|rdeči lasje|temen ten kože|ženska|ženska: temen ten kože in rdeči lasje
🧑‍🦰;odrasla oseba: rdeči lasje;odrasla oseba|odrasla oseba: rdeči lasje|rdeči lasje
	🧑🏻‍🦰;odrasla oseba: svetel ten kože in rdeči lasje;odrasla oseba|odrasla oseba: svetel ten kože in rdeči lasje|rdeči lasje|svetel ten kože
	🧑🏼‍🦰;odrasla oseba: srednje svetel ten kože in rdeči lasje;odrasla oseba|odrasla oseba: srednje svetel ten kože in rdeči lasje|rdeči lasje|srednje svetel ten kože
	🧑🏽‍🦰;odrasla oseba: srednji ten kože in rdeči lasje;odrasla oseba|odrasla oseba: srednji ten kože in rdeči lasje|rdeči lasje|srednji ten kože
	🧑🏾‍🦰;odrasla oseba: srednje temen ten kože in rdeči lasje;odrasla oseba|odrasla oseba: srednje temen ten kože in rdeči lasje|rdeči lasje|srednje temen ten kože
	🧑🏿‍🦰;odrasla oseba: temen ten kože in rdeči lasje;odrasla oseba|odrasla oseba: temen ten kože in rdeči lasje|rdeči lasje|temen ten kože
👩‍🦱;ženska: kodrasti lasje;dekle|kodrasti lasje|ženska|ženska: kodrasti lasje
	👩🏻‍🦱;ženska: svetel ten kože in kodrasti lasje;dekle|kodrasti lasje|svetel ten kože|ženska|ženska: svetel ten kože in kodrasti lasje
	👩🏼‍🦱;ženska: srednje svetel ten kože in kodrasti lasje;dekle|kodrasti lasje|srednje svetel ten kože|ženska|ženska: srednje svetel ten kože in kodrasti lasje
	👩🏽‍🦱;ženska: srednji ten kože in kodrasti lasje;dekle|kodrasti lasje|srednji ten kože|ženska|ženska: srednji ten kože in kodrasti lasje
	👩🏾‍🦱;ženska: srednje temen ten kože in kodrasti lasje;dekle|kodrasti lasje|srednje temen ten kože|ženska|ženska: srednje temen ten kože in kodrasti lasje
	👩🏿‍🦱;ženska: temen ten kože in kodrasti lasje;dekle|kodrasti lasje|temen ten kože|ženska|ženska: temen ten kože in kodrasti lasje
🧑‍🦱;odrasla oseba: kodrasti lasje;kodrasti lasje|odrasla oseba|odrasla oseba: kodrasti lasje
	🧑🏻‍🦱;odrasla oseba: svetel ten kože in kodrasti lasje;kodrasti lasje|odrasla oseba|odrasla oseba: svetel ten kože in kodrasti lasje|svetel ten kože
	🧑🏼‍🦱;odrasla oseba: srednje svetel ten kože in kodrasti lasje;kodrasti lasje|odrasla oseba|odrasla oseba: srednje svetel ten kože in kodrasti lasje|srednje svetel ten kože
	🧑🏽‍🦱;odrasla oseba: srednji ten kože in kodrasti lasje;kodrasti lasje|odrasla oseba|odrasla oseba: srednji ten kože in kodrasti lasje|srednji ten kože
	🧑🏾‍🦱;odrasla oseba: srednje temen ten kože in kodrasti lasje;kodrasti lasje|odrasla oseba|odrasla oseba: srednje temen ten kože in kodrasti lasje|srednje temen ten kože
	🧑🏿‍🦱;odrasla oseba: temen ten kože in kodrasti lasje;kodrasti lasje|odrasla oseba|odrasla oseba: temen ten kože in kodrasti lasje|temen ten kože
👩‍🦳;ženska: sivi lasje;dekle|sivi lasje|ženska|ženska: sivi lasje
	👩🏻‍🦳;ženska: svetel ten kože in sivi lasje;dekle|sivi lasje|svetel ten kože|ženska|ženska: svetel ten kože in sivi lasje
	👩🏼‍🦳;ženska: srednje svetel ten kože in sivi lasje;dekle|sivi lasje|srednje svetel ten kože|ženska|ženska: srednje svetel ten kože in sivi lasje
	👩🏽‍🦳;ženska: srednji ten kože in sivi lasje;dekle|sivi lasje|srednji ten kože|ženska|ženska: srednji ten kože in sivi lasje
	👩🏾‍🦳;ženska: srednje temen ten kože in sivi lasje;dekle|sivi lasje|srednje temen ten kože|ženska|ženska: srednje temen ten kože in sivi lasje
	👩🏿‍🦳;ženska: temen ten kože in sivi lasje;dekle|sivi lasje|temen ten kože|ženska|ženska: temen ten kože in sivi lasje
🧑‍🦳;odrasla oseba: sivi lasje;odrasla oseba|odrasla oseba: sivi lasje|sivi lasje
	🧑🏻‍🦳;odrasla oseba: svetel ten kože in sivi lasje;odrasla oseba|odrasla oseba: svetel ten kože in sivi lasje|sivi lasje|svetel ten kože
	🧑🏼‍🦳;odrasla oseba: srednje svetel ten kože in sivi lasje;odrasla oseba|odrasla oseba: srednje svetel ten kože in sivi lasje|sivi lasje|srednje svetel ten kože
	🧑🏽‍🦳;odrasla oseba: srednji ten kože in sivi lasje;odrasla oseba|odrasla oseba: srednji ten kože in sivi lasje|sivi lasje|srednji ten kože
	🧑🏾‍🦳;odrasla oseba: srednje temen ten kože in sivi lasje;odrasla oseba|odrasla oseba: srednje temen ten kože in sivi lasje|sivi lasje|srednje temen ten kože
	🧑🏿‍🦳;odrasla oseba: temen ten kože in sivi lasje;odrasla oseba|odrasla oseba: temen ten kože in sivi lasje|sivi lasje|temen ten kože
👩‍🦲;ženska: plešast;dekle|plešast|ženska|ženska: plešast
	👩🏻‍🦲;ženska: svetel ten kože in plešast;dekle|plešast|svetel ten kože|ženska|ženska: svetel ten kože in plešast
	👩🏼‍🦲;ženska: srednje svetel ten kože in plešast;dekle|plešast|srednje svetel ten kože|ženska|ženska: srednje svetel ten kože in plešast
	👩🏽‍🦲;ženska: srednji ten kože in plešast;dekle|plešast|srednji ten kože|ženska|ženska: srednji ten kože in plešast
	👩🏾‍🦲;ženska: srednje temen ten kože in plešast;dekle|plešast|srednje temen ten kože|ženska|ženska: srednje temen ten kože in plešast
	👩🏿‍🦲;ženska: temen ten kože in plešast;dekle|plešast|temen ten kože|ženska|ženska: temen ten kože in plešast
🧑‍🦲;odrasla oseba: plešast;odrasla oseba|odrasla oseba: plešast|plešast
	🧑🏻‍🦲;odrasla oseba: svetel ten kože in plešast;odrasla oseba|odrasla oseba: svetel ten kože in plešast|plešast|svetel ten kože
	🧑🏼‍🦲;odrasla oseba: srednje svetel ten kože in plešast;odrasla oseba|odrasla oseba: srednje svetel ten kože in plešast|plešast|srednje svetel ten kože
	🧑🏽‍🦲;odrasla oseba: srednji ten kože in plešast;odrasla oseba|odrasla oseba: srednji ten kože in plešast|plešast|srednji ten kože
	🧑🏾‍🦲;odrasla oseba: srednje temen ten kože in plešast;odrasla oseba|odrasla oseba: srednje temen ten kože in plešast|plešast|srednje temen ten kože
	🧑🏿‍🦲;odrasla oseba: temen ten kože in plešast;odrasla oseba|odrasla oseba: temen ten kože in plešast|plešast|temen ten kože
👱‍♀️;ženska: blondinka;blondinka|dekle|lasje|ženska|ženska: blondinka
	👱🏻‍♀️;ženska: svetel ten kože in blondinka;blondinka|dekle|lasje|svetel ten kože|ženska|ženska: blondinka|ženska: svetel ten kože in blondinka
	👱🏼‍♀️;ženska: srednje svetel ten kože in blondinka;blondinka|dekle|lasje|srednje svetel ten kože|ženska|ženska: blondinka|ženska: srednje svetel ten kože in blondinka
	👱🏽‍♀️;ženska: srednji ten kože in blondinka;blondinka|dekle|lasje|srednji ten kože|ženska|ženska: blondinka|ženska: srednji ten kože in blondinka
	👱🏾‍♀️;ženska: srednje temen ten kože in blondinka;blondinka|dekle|lasje|srednje temen ten kože|ženska|ženska: blondinka|ženska: srednje temen ten kože in blondinka
	👱🏿‍♀️;ženska: temen ten kože in blondinka;blondinka|dekle|lasje|temen ten kože|ženska|ženska: blondinka|ženska: temen ten kože in blondinka
👱‍♂️;moški: blondinec;blondinec|fant|lasje|moški|moški: blondinec
	👱🏻‍♂️;moški: svetel ten kože in blondinec;blondinec|fant|lasje|moški|moški: blondinec|moški: svetel ten kože in blondinec|svetel ten kože
	👱🏼‍♂️;moški: srednje svetel ten kože in blondinec;blondinec|fant|lasje|moški|moški: blondinec|moški: srednje svetel ten kože in blondinec|srednje svetel ten kože
	👱🏽‍♂️;moški: srednji ten kože in blondinec;blondinec|fant|lasje|moški|moški: blondinec|moški: srednji ten kože in blondinec|srednji ten kože
	👱🏾‍♂️;moški: srednje temen ten kože in blondinec;blondinec|fant|lasje|moški|moški: blondinec|moški: srednje temen ten kože in blondinec|srednje temen ten kože
	👱🏿‍♂️;moški: temen ten kože in blondinec;blondinec|fant|lasje|moški|moški: blondinec|moški: temen ten kože in blondinec|temen ten kože
🧓;starejši odrasli;spolno nevtralen|starejši|starejši odrasli
	🧓🏻;starejši odrasli: svetel ten kože;spolno nevtralen|starejši|starejši odrasli|starejši odrasli: svetel ten kože|svetel ten kože
	🧓🏼;starejši odrasli: srednje svetel ten kože;spolno nevtralen|srednje svetel ten kože|starejši|starejši odrasli|starejši odrasli: srednje svetel ten kože
	🧓🏽;starejši odrasli: srednji ten kože;spolno nevtralen|srednji ten kože|starejši|starejši odrasli|starejši odrasli: srednji ten kože
	🧓🏾;starejši odrasli: srednje temen ten kože;spolno nevtralen|srednje temen ten kože|starejši|starejši odrasli|starejši odrasli: srednje temen ten kože
	🧓🏿;starejši odrasli: temen ten kože;spolno nevtralen|starejši|starejši odrasli|starejši odrasli: temen ten kože|temen ten kože
👴;starec;moški|starec|staro
	👴🏻;starec: svetel ten kože;moški|starec|starec: svetel ten kože|staro|svetel ten kože
	👴🏼;starec: srednje svetel ten kože;moški|srednje svetel ten kože|starec|starec: srednje svetel ten kože|staro
	👴🏽;starec: srednji ten kože;moški|srednji ten kože|starec|starec: srednji ten kože|staro
	👴🏾;starec: srednje temen ten kože;moški|srednje temen ten kože|starec|starec: srednje temen ten kože|staro
	👴🏿;starec: temen ten kože;moški|starec|starec: temen ten kože|staro|temen ten kože
👵;starka;starka|staro|ženska
	👵🏻;starka: svetel ten kože;starka|starka: svetel ten kože|staro|svetel ten kože|ženska
	👵🏼;starka: srednje svetel ten kože;srednje svetel ten kože|starka|starka: srednje svetel ten kože|staro|ženska
	👵🏽;starka: srednji ten kože;srednji ten kože|starka|starka: srednji ten kože|staro|ženska
	👵🏾;starka: srednje temen ten kože;srednje temen ten kože|starka|starka: srednje temen ten kože|staro|ženska
	👵🏿;starka: temen ten kože;starka|starka: temen ten kože|staro|temen ten kože|ženska
🙍;oseba, ki se mršči;gesta|ki se mršči|mrščenje|oseba|oseba, ki se mršči
	🙍🏻;oseba, ki se mršči: svetel ten kože;gesta|ki se mršči|mrščenje|oseba|oseba, ki se mršči|oseba, ki se mršči: svetel ten kože|svetel ten kože
	🙍🏼;oseba, ki se mršči: srednje svetel ten kože;gesta|ki se mršči|mrščenje|oseba|oseba, ki se mršči|oseba, ki se mršči: srednje svetel ten kože|srednje svetel ten kože
	🙍🏽;oseba, ki se mršči: srednji ten kože;gesta|ki se mršči|mrščenje|oseba|oseba, ki se mršči|oseba, ki se mršči: srednji ten kože|srednji ten kože
	🙍🏾;oseba, ki se mršči: srednje temen ten kože;gesta|ki se mršči|mrščenje|oseba|oseba, ki se mršči|oseba, ki se mršči: srednje temen ten kože|srednje temen ten kože
	🙍🏿;oseba, ki se mršči: temen ten kože;gesta|ki se mršči|mrščenje|oseba|oseba, ki se mršči|oseba, ki se mršči: temen ten kože|temen ten kože
🙍‍♂️;moški z namrščenim obrazom;fant|moški|moški z namrščenim obrazom|mrščiti se|neodobravanje|obraz|obrazna mimika
	🙍🏻‍♂️;moški z namrščenim obrazom: svetel ten kože;fant|moški|moški z namrščenim obrazom|moški z namrščenim obrazom: svetel ten kože|mrščiti se|neodobravanje|obraz|obrazna mimika|svetel ten kože
	🙍🏼‍♂️;moški z namrščenim obrazom: srednje svetel ten kože;fant|moški|moški z namrščenim obrazom|moški z namrščenim obrazom: srednje svetel ten kože|mrščiti se|neodobravanje|obraz|obrazna mimika|srednje svetel ten kože
	🙍🏽‍♂️;moški z namrščenim obrazom: srednji ten kože;fant|moški|moški z namrščenim obrazom|moški z namrščenim obrazom: srednji ten kože|mrščiti se|neodobravanje|obraz|obrazna mimika|srednji ten kože
	🙍🏾‍♂️;moški z namrščenim obrazom: srednje temen ten kože;fant|moški|moški z namrščenim obrazom|moški z namrščenim obrazom: srednje temen ten kože|mrščiti se|neodobravanje|obraz|obrazna mimika|srednje temen ten kože
	🙍🏿‍♂️;moški z namrščenim obrazom: temen ten kože;fant|moški|moški z namrščenim obrazom|moški z namrščenim obrazom: temen ten kože|mrščiti se|neodobravanje|obraz|obrazna mimika|temen ten kože
🙍‍♀️;ženska z namrščenim obrazom;dekle|mrščiti se|neodobravanje|obraz|obrazna mimika|ženska|ženska z namrščenim obrazom
	🙍🏻‍♀️;ženska z namrščenim obrazom: svetel ten kože;dekle|mrščiti se|neodobravanje|obraz|obrazna mimika|svetel ten kože|ženska|ženska z namrščenim obrazom|ženska z namrščenim obrazom: svetel ten kože
	🙍🏼‍♀️;ženska z namrščenim obrazom: srednje svetel ten kože;dekle|mrščiti se|neodobravanje|obraz|obrazna mimika|srednje svetel ten kože|ženska|ženska z namrščenim obrazom|ženska z namrščenim obrazom: srednje svetel ten kože
	🙍🏽‍♀️;ženska z namrščenim obrazom: srednji ten kože;dekle|mrščiti se|neodobravanje|obraz|obrazna mimika|srednji ten kože|ženska|ženska z namrščenim obrazom|ženska z namrščenim obrazom: srednji ten kože
	🙍🏾‍♀️;ženska z namrščenim obrazom: srednje temen ten kože;dekle|mrščiti se|neodobravanje|obraz|obrazna mimika|srednje temen ten kože|ženska|ženska z namrščenim obrazom|ženska z namrščenim obrazom: srednje temen ten kože
	🙍🏿‍♀️;ženska z namrščenim obrazom: temen ten kože;dekle|mrščiti se|neodobravanje|obraz|obrazna mimika|temen ten kože|ženska|ženska z namrščenim obrazom|ženska z namrščenim obrazom: temen ten kože
🙎;oseba, ki kuha mulo;gesta|ki kuha mulo|kujanje|oseba|oseba, ki kuha mulo
	🙎🏻;oseba, ki kuha mulo: svetel ten kože;gesta|ki kuha mulo|kujanje|oseba|oseba, ki kuha mulo|oseba, ki kuha mulo: svetel ten kože|svetel ten kože
	🙎🏼;oseba, ki kuha mulo: srednje svetel ten kože;gesta|ki kuha mulo|kujanje|oseba|oseba, ki kuha mulo|oseba, ki kuha mulo: srednje svetel ten kože|srednje svetel ten kože
	🙎🏽;oseba, ki kuha mulo: srednji ten kože;gesta|ki kuha mulo|kujanje|oseba|oseba, ki kuha mulo|oseba, ki kuha mulo: srednji ten kože|srednji ten kože
	🙎🏾;oseba, ki kuha mulo: srednje temen ten kože;gesta|ki kuha mulo|kujanje|oseba|oseba, ki kuha mulo|oseba, ki kuha mulo: srednje temen ten kože|srednje temen ten kože
	🙎🏿;oseba, ki kuha mulo: temen ten kože;gesta|ki kuha mulo|kujanje|oseba|oseba, ki kuha mulo|oseba, ki kuha mulo: temen ten kože|temen ten kože
🙎‍♂️;moški, ki kuha mulo;fant|ki kuha mulo|kujanje|moški|moški, ki kuha mulo|obrazna mimika
	🙎🏻‍♂️;moški, ki kuha mulo: svetel ten kože;fant|ki kuha mulo|kujanje|moški|moški, ki kuha mulo|moški, ki kuha mulo: svetel ten kože|obrazna mimika|svetel ten kože
	🙎🏼‍♂️;moški, ki kuha mulo: srednje svetel ten kože;fant|ki kuha mulo|kujanje|moški|moški, ki kuha mulo|moški, ki kuha mulo: srednje svetel ten kože|obrazna mimika|srednje svetel ten kože
	🙎🏽‍♂️;moški, ki kuha mulo: srednji ten kože;fant|ki kuha mulo|kujanje|moški|moški, ki kuha mulo|moški, ki kuha mulo: srednji ten kože|obrazna mimika|srednji ten kože
	🙎🏾‍♂️;moški, ki kuha mulo: srednje temen ten kože;fant|ki kuha mulo|kujanje|moški|moški, ki kuha mulo|moški, ki kuha mulo: srednje temen ten kože|obrazna mimika|srednje temen ten kože
	🙎🏿‍♂️;moški, ki kuha mulo: temen ten kože;fant|ki kuha mulo|kujanje|moški|moški, ki kuha mulo|moški, ki kuha mulo: temen ten kože|obrazna mimika|temen ten kože
🙎‍♀️;ženska, ki kuha mulo;dekle|ki kuha mulo|kujanje|obrazna mimika|ženska|ženska, ki kuha mulo
	🙎🏻‍♀️;ženska, ki kuha mulo: svetel ten kože;dekle|ki kuha mulo|kujanje|obrazna mimika|svetel ten kože|ženska|ženska, ki kuha mulo|ženska, ki kuha mulo: svetel ten kože
	🙎🏼‍♀️;ženska, ki kuha mulo: srednje svetel ten kože;dekle|ki kuha mulo|kujanje|obrazna mimika|srednje svetel ten kože|ženska|ženska, ki kuha mulo|ženska, ki kuha mulo: srednje svetel ten kože
	🙎🏽‍♀️;ženska, ki kuha mulo: srednji ten kože;dekle|ki kuha mulo|kujanje|obrazna mimika|srednji ten kože|ženska|ženska, ki kuha mulo|ženska, ki kuha mulo: srednji ten kože
	🙎🏾‍♀️;ženska, ki kuha mulo: srednje temen ten kože;dekle|ki kuha mulo|kujanje|obrazna mimika|srednje temen ten kože|ženska|ženska, ki kuha mulo|ženska, ki kuha mulo: srednje temen ten kože
	🙎🏿‍♀️;ženska, ki kuha mulo: temen ten kože;dekle|ki kuha mulo|kujanje|obrazna mimika|temen ten kože|ženska|ženska, ki kuha mulo|ženska, ki kuha mulo: temen ten kože
🙅;oseba, ki kaže NE;gesta|ki kaže NE|ne|ni dovoljeno|oseba|oseba, ki kaže NE|prepovedano|roka
	🙅🏻;oseba, ki kaže NE: svetel ten kože;gesta|ki kaže NE|ne|ni dovoljeno|oseba|oseba, ki kaže NE|oseba, ki kaže NE: svetel ten kože|prepovedano|roka|svetel ten kože
	🙅🏼;oseba, ki kaže NE: srednje svetel ten kože;gesta|ki kaže NE|ne|ni dovoljeno|oseba|oseba, ki kaže NE|oseba, ki kaže NE: srednje svetel ten kože|prepovedano|roka|srednje svetel ten kože
	🙅🏽;oseba, ki kaže NE: srednji ten kože;gesta|ki kaže NE|ne|ni dovoljeno|oseba|oseba, ki kaže NE|oseba, ki kaže NE: srednji ten kože|prepovedano|roka|srednji ten kože
	🙅🏾;oseba, ki kaže NE: srednje temen ten kože;gesta|ki kaže NE|ne|ni dovoljeno|oseba|oseba, ki kaže NE|oseba, ki kaže NE: srednje temen ten kože|prepovedano|roka|srednje temen ten kože
	🙅🏿;oseba, ki kaže NE: temen ten kože;gesta|ki kaže NE|ne|ni dovoljeno|oseba|oseba, ki kaže NE|oseba, ki kaže NE: temen ten kože|prepovedano|roka|temen ten kože
🙅‍♂️;moški, ki s kretnjo izraža prepoved;fant|ki s kretnjo izraža prepoved|kretnja|moški|moški, ki s kretnjo izraža prepoved|ne|neodobravanje|ni dovoljeno|ni v redu|prepovedano|roka
	🙅🏻‍♂️;moški, ki s kretnjo izraža prepoved: svetel ten kože;fant|ki s kretnjo izraža prepoved|kretnja|moški|moški, ki s kretnjo izraža prepoved|moški, ki s kretnjo izraža prepoved: svetel ten kože|ne|neodobravanje|ni dovoljeno|ni v redu|prepovedano|roka|svetel ten kože
	🙅🏼‍♂️;moški, ki s kretnjo izraža prepoved: srednje svetel ten kože;fant|ki s kretnjo izraža prepoved|kretnja|moški|moški, ki s kretnjo izraža prepoved|moški, ki s kretnjo izraža prepoved: srednje svetel ten kože|ne|neodobravanje|ni dovoljeno|ni v redu|prepovedano|roka|srednje svetel ten kože
	🙅🏽‍♂️;moški, ki s kretnjo izraža prepoved: srednji ten kože;fant|ki s kretnjo izraža prepoved|kretnja|moški|moški, ki s kretnjo izraža prepoved|moški, ki s kretnjo izraža prepoved: srednji ten kože|ne|neodobravanje|ni dovoljeno|ni v redu|prepovedano|roka|srednji ten kože
