# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;πλατύ χαμόγελο;πλατύ χαμόγελο|πρόσωπο|σαρκασμός
	💪🏽;σφιχτός δικέφαλος: μεσαίος τόνος δέρματος;δικέφαλος|επίδειξη|κόμικ|μεσαίος τόνος δέρματος|μυς|σφιχτός δικέφαλος|σφιχτός δικέφαλος: μεσαίος τόνος δέρματος|σώμα
	💪🏾;σφιχτός δικέφαλος: μεσαίος-σκούρος τόνος δέρματος;δικέφαλος|επίδειξη|κόμικ|μεσαίος-σκούρος τόνος δέρματος|μυς|σφιχτός δικέφαλος|σφιχτός δικέφαλος: μεσαίος-σκούρος τόνος δέρματος|σώμα
	💪🏿;σφιχτός δικέφαλος: σκούρος τόνος δέρματος;δικέφαλος|επίδειξη|κόμικ|μυς|σκούρος τόνος δέρματος|σφιχτός δικέφαλος|σφιχτός δικέφαλος: σκούρος τόνος δέρματος|σώμα
🦾;μηχανικό χέρι;μηχανικό χέρι|προσβασιμότητα|προσθετικό μέλος
🦿;μηχανικό πόδι;μηχανικό πόδι|προσβασιμότητα|προσθετικό μέλος
🦵;πόδι;άκρο|κλωτσιά|πόδι
	🦵🏻;πόδι: ανοιχτόχρωμος τόνος δέρματος;άκρο|ανοιχτόχρωμος τόνος δέρματος|κλωτσιά|πόδι|πόδι: ανοιχτόχρωμος τόνος δέρματος
	🦵🏼;πόδι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;άκρο|κλωτσιά|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|πόδι|πόδι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	🦵🏽;πόδι: μεσαίος τόνος δέρματος;άκρο|κλωτσιά|μεσαίος τόνος δέρματος|πόδι|πόδι: μεσαίος τόνος δέρματος
	🦵🏾;πόδι: μεσαίος-σκούρος τόνος δέρματος;άκρο|κλωτσιά|μεσαίος-σκούρος τόνος δέρματος|πόδι|πόδι: μεσαίος-σκούρος τόνος δέρματος
	🦵🏿;πόδι: σκούρος τόνος δέρματος;άκρο|κλωτσιά|πόδι|πόδι: σκούρος τόνος δέρματος|σκούρος τόνος δέρματος
🦶;κάτω άκρο;κάτω άκρο|κλωτσάω|κλωτσιά|πόδι
	🦶🏻;κάτω άκρο: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|κάτω άκρο|κάτω άκρο: ανοιχτόχρωμος τόνος δέρματος|κλωτσάω|κλωτσιά|πόδι
	🦶🏼;κάτω άκρο: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;κάτω άκρο|κάτω άκρο: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|κλωτσάω|κλωτσιά|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|πόδι
	🦶🏽;κάτω άκρο: μεσαίος τόνος δέρματος;κάτω άκρο|κάτω άκρο: μεσαίος τόνος δέρματος|κλωτσάω|κλωτσιά|μεσαίος τόνος δέρματος|πόδι
	🦶🏾;κάτω άκρο: μεσαίος-σκούρος τόνος δέρματος;κάτω άκρο|κάτω άκρο: μεσαίος-σκούρος τόνος δέρματος|κλωτσάω|κλωτσιά|μεσαίος-σκούρος τόνος δέρματος|πόδι
	🦶🏿;κάτω άκρο: σκούρος τόνος δέρματος;κάτω άκρο|κάτω άκρο: σκούρος τόνος δέρματος|κλωτσάω|κλωτσιά|πόδι|σκούρος τόνος δέρματος
👂;αυτί;αυτί|σώμα
	👂🏻;αυτί: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|αυτί|αυτί: ανοιχτόχρωμος τόνος δέρματος|σώμα
	👂🏼;αυτί: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;αυτί|αυτί: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|σώμα
	👂🏽;αυτί: μεσαίος τόνος δέρματος;αυτί|αυτί: μεσαίος τόνος δέρματος|μεσαίος τόνος δέρματος|σώμα
	👂🏾;αυτί: μεσαίος-σκούρος τόνος δέρματος;αυτί|αυτί: μεσαίος-σκούρος τόνος δέρματος|μεσαίος-σκούρος τόνος δέρματος|σώμα
	👂🏿;αυτί: σκούρος τόνος δέρματος;αυτί|αυτί: σκούρος τόνος δέρματος|σκούρος τόνος δέρματος|σώμα
🦻;αυτί με ακουστικό βαρηκοΐας;αυτί με ακουστικό βαρηκοΐας|βαρήκοος|προσβασιμότητα
	🦻🏻;αυτί με ακουστικό βαρηκοΐας: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|αυτί με ακουστικό βαρηκοΐας|αυτί με ακουστικό βαρηκοΐας: ανοιχτόχρωμος τόνος δέρματος|βαρήκοος|προσβασιμότητα
	🦻🏼;αυτί με ακουστικό βαρηκοΐας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;αυτί με ακουστικό βαρηκοΐας|αυτί με ακουστικό βαρηκοΐας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|βαρήκοος|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|προσβασιμότητα
	🦻🏽;αυτί με ακουστικό βαρηκοΐας: μεσαίος τόνος δέρματος;αυτί με ακουστικό βαρηκοΐας|αυτί με ακουστικό βαρηκοΐας: μεσαίος τόνος δέρματος|βαρήκοος|μεσαίος τόνος δέρματος|προσβασιμότητα
	🦻🏾;αυτί με ακουστικό βαρηκοΐας: μεσαίος-σκούρος τόνος δέρματος;αυτί με ακουστικό βαρηκοΐας|αυτί με ακουστικό βαρηκοΐας: μεσαίος-σκούρος τόνος δέρματος|βαρήκοος|μεσαίος-σκούρος τόνος δέρματος|προσβασιμότητα
	🦻🏿;αυτί με ακουστικό βαρηκοΐας: σκούρος τόνος δέρματος;αυτί με ακουστικό βαρηκοΐας|αυτί με ακουστικό βαρηκοΐας: σκούρος τόνος δέρματος|βαρήκοος|προσβασιμότητα|σκούρος τόνος δέρματος
👃;μύτη;μύτη|σώμα
	👃🏻;μύτη: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|μύτη|μύτη: ανοιχτόχρωμος τόνος δέρματος|σώμα
	👃🏼;μύτη: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;μεσαίος-ανοιχτόχρωμος τόνος δέρματος|μύτη|μύτη: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|σώμα
	👃🏽;μύτη: μεσαίος τόνος δέρματος;μεσαίος τόνος δέρματος|μύτη|μύτη: μεσαίος τόνος δέρματος|σώμα
	👃🏾;μύτη: μεσαίος-σκούρος τόνος δέρματος;μεσαίος-σκούρος τόνος δέρματος|μύτη|μύτη: μεσαίος-σκούρος τόνος δέρματος|σώμα
	👃🏿;μύτη: σκούρος τόνος δέρματος;μύτη|μύτη: σκούρος τόνος δέρματος|σκούρος τόνος δέρματος|σώμα
🧠;μυαλό;έξυπνος|μυαλό
🫀;καρδιά;ανατομία|καρδιά|καρδιολογία|όργανο|παλμοί|σφυγμός
🫁;πνεύμονες;αναπνοή|ανάσα|εισπνοή|εκπνοή|όργανο|πνεύμονες
🦷;δόντι;δόντι|οδοντίατρος
🦴;κόκαλο;κόκαλο|σκελετός
👀;μάτια;μάτι|μάτια|πρόσωπο|σώμα
👁️;μάτι;μάτι|σώμα
👅;γλώσσα;γλώσσα|σώμα
👄;στόμα;στόμα|σώμα|χείλη
🫦;δάγκωμα χειλιών;άβολα|ανησυχία|δάγκωμα χειλιών|φλερτ|φόβος
👶;μωρό;μωρό
	👶🏻;μωρό: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|μωρό|μωρό: ανοιχτόχρωμος τόνος δέρματος
	👶🏼;μωρό: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;μεσαίος-ανοιχτόχρωμος τόνος δέρματος|μωρό|μωρό: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	👶🏽;μωρό: μεσαίος τόνος δέρματος;μεσαίος τόνος δέρματος|μωρό|μωρό: μεσαίος τόνος δέρματος
	👶🏾;μωρό: μεσαίος-σκούρος τόνος δέρματος;μεσαίος-σκούρος τόνος δέρματος|μωρό|μωρό: μεσαίος-σκούρος τόνος δέρματος
	👶🏿;μωρό: σκούρος τόνος δέρματος;μωρό|μωρό: σκούρος τόνος δέρματος|σκούρος τόνος δέρματος
🧒;παιδί;άφυλος|νέος|παιδί
	🧒🏻;παιδί: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|άφυλος|νέος|παιδί|παιδί: ανοιχτόχρωμος τόνος δέρματος
	🧒🏼;παιδί: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;άφυλος|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|νέος|παιδί|παιδί: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	🧒🏽;παιδί: μεσαίος τόνος δέρματος;άφυλος|μεσαίος τόνος δέρματος|νέος|παιδί|παιδί: μεσαίος τόνος δέρματος
	🧒🏾;παιδί: μεσαίος-σκούρος τόνος δέρματος;άφυλος|μεσαίος-σκούρος τόνος δέρματος|νέος|παιδί|παιδί: μεσαίος-σκούρος τόνος δέρματος
	🧒🏿;παιδί: σκούρος τόνος δέρματος;άφυλος|νέος|παιδί|παιδί: σκούρος τόνος δέρματος|σκούρος τόνος δέρματος
👦;αγόρι;αγόρι
	👦🏻;αγόρι: ανοιχτόχρωμος τόνος δέρματος;αγόρι|αγόρι: ανοιχτόχρωμος τόνος δέρματος|ανοιχτόχρωμος τόνος δέρματος
	👦🏼;αγόρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;αγόρι|αγόρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	👦🏽;αγόρι: μεσαίος τόνος δέρματος;αγόρι|αγόρι: μεσαίος τόνος δέρματος|μεσαίος τόνος δέρματος
	👦🏾;αγόρι: μεσαίος-σκούρος τόνος δέρματος;αγόρι|αγόρι: μεσαίος-σκούρος τόνος δέρματος|μεσαίος-σκούρος τόνος δέρματος
	👦🏿;αγόρι: σκούρος τόνος δέρματος;αγόρι|αγόρι: σκούρος τόνος δέρματος|σκούρος τόνος δέρματος
👧;κορίτσι;ζώδιο|κορίτσι|νεαρή|παρθένος
	👧🏻;κορίτσι: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|ζώδιο|κορίτσι|κορίτσι: ανοιχτόχρωμος τόνος δέρματος|νεαρή|παρθένος
	👧🏼;κορίτσι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;ζώδιο|κορίτσι|κορίτσι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|νεαρή|παρθένος
	👧🏽;κορίτσι: μεσαίος τόνος δέρματος;ζώδιο|κορίτσι|κορίτσι: μεσαίος τόνος δέρματος|μεσαίος τόνος δέρματος|νεαρή|παρθένος
	👧🏾;κορίτσι: μεσαίος-σκούρος τόνος δέρματος;ζώδιο|κορίτσι|κορίτσι: μεσαίος-σκούρος τόνος δέρματος|μεσαίος-σκούρος τόνος δέρματος|νεαρή|παρθένος
	👧🏿;κορίτσι: σκούρος τόνος δέρματος;ζώδιο|κορίτσι|κορίτσι: σκούρος τόνος δέρματος|νεαρή|παρθένος|σκούρος τόνος δέρματος
🧑;ενήλικας;άφυλος|ενήλικας
	🧑🏻;ενήλικας: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|άφυλος|ενήλικας|ενήλικας: ανοιχτόχρωμος τόνος δέρματος
	🧑🏼;ενήλικας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;άφυλος|ενήλικας|ενήλικας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	🧑🏽;ενήλικας: μεσαίος τόνος δέρματος;άφυλος|ενήλικας|ενήλικας: μεσαίος τόνος δέρματος|μεσαίος τόνος δέρματος
	🧑🏾;ενήλικας: μεσαίος-σκούρος τόνος δέρματος;άφυλος|ενήλικας|ενήλικας: μεσαίος-σκούρος τόνος δέρματος|μεσαίος-σκούρος τόνος δέρματος
	🧑🏿;ενήλικας: σκούρος τόνος δέρματος;άφυλος|ενήλικας|ενήλικας: σκούρος τόνος δέρματος|σκούρος τόνος δέρματος
👱;άτομο: ξανθά μαλλιά;άτομο: ξανθά μαλλιά|μαλλιά|ξανθός|ξανθός άνθρωπος
	👱🏻;άτομο: ανοιχτόχρωμος τόνος δέρματος, ξανθά μαλλιά;ανοιχτόχρωμος τόνος δέρματος|άτομο: ανοιχτόχρωμος τόνος δέρματος, ξανθά μαλλιά|άτομο: ξανθά μαλλιά|μαλλιά|ξανθά μαλλιά|ξανθός|ξανθός άνθρωπος
	👱🏼;άτομο: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ξανθά μαλλιά;άτομο: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ξανθά μαλλιά|άτομο: ξανθά μαλλιά|μαλλιά|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ξανθά μαλλιά|ξανθός|ξανθός άνθρωπος
	👱🏽;άτομο: μεσαίος τόνος δέρματος, ξανθά μαλλιά;άτομο: μεσαίος τόνος δέρματος, ξανθά μαλλιά|άτομο: ξανθά μαλλιά|μαλλιά|μεσαίος τόνος δέρματος|ξανθά μαλλιά|ξανθός|ξανθός άνθρωπος
	👱🏾;άτομο: μεσαίος-σκούρος τόνος δέρματος, ξανθά μαλλιά;άτομο: μεσαίος-σκούρος τόνος δέρματος, ξανθά μαλλιά|άτομο: ξανθά μαλλιά|μαλλιά|μεσαίος-σκούρος τόνος δέρματος|ξανθά μαλλιά|ξανθός|ξανθός άνθρωπος
	👱🏿;άτομο: σκούρος τόνος δέρματος, ξανθά μαλλιά;άτομο: ξανθά μαλλιά|άτομο: σκούρος τόνος δέρματος, ξανθά μαλλιά|μαλλιά|ξανθά μαλλιά|ξανθός|ξανθός άνθρωπος|σκούρος τόνος δέρματος
👨;άντρας;άντρας|ενήλικας
	👨🏻;άντρας: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|άντρας|άντρας: ανοιχτόχρωμος τόνος δέρματος|ενήλικας
	👨🏼;άντρας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;άντρας|άντρας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ενήλικας|μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	👨🏽;άντρας: μεσαίος τόνος δέρματος;άντρας|άντρας: μεσαίος τόνος δέρματος|ενήλικας|μεσαίος τόνος δέρματος
	👨🏾;άντρας: μεσαίος-σκούρος τόνος δέρματος;άντρας|άντρας: μεσαίος-σκούρος τόνος δέρματος|ενήλικας|μεσαίος-σκούρος τόνος δέρματος
	👨🏿;άντρας: σκούρος τόνος δέρματος;άντρας|άντρας: σκούρος τόνος δέρματος|ενήλικας|σκούρος τόνος δέρματος
🧔;άτομο: μούσι;άτομο|άτομο: μούσι|μούσι
	🧔🏻;άτομο: ανοιχτόχρωμος τόνος δέρματος, μούσι;ανοιχτόχρωμος τόνος δέρματος|άτομο|άτομο: ανοιχτόχρωμος τόνος δέρματος, μούσι|άτομο: μούσι|μούσι
	🧔🏼;άτομο: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μούσι;άτομο|άτομο: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μούσι|άτομο: μούσι|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|μούσι
	🧔🏽;άτομο: μεσαίος τόνος δέρματος, μούσι;άτομο|άτομο: μεσαίος τόνος δέρματος, μούσι|άτομο: μούσι|μεσαίος τόνος δέρματος|μούσι
	🧔🏾;άτομο: μεσαίος-σκούρος τόνος δέρματος, μούσι;άτομο|άτομο: μεσαίος-σκούρος τόνος δέρματος, μούσι|άτομο: μούσι|μεσαίος-σκούρος τόνος δέρματος|μούσι
	🧔🏿;άτομο: σκούρος τόνος δέρματος, μούσι;άτομο|άτομο: μούσι|άτομο: σκούρος τόνος δέρματος, μούσι|μούσι|σκούρος τόνος δέρματος
🧔‍♂️;άντρας: μούσι;άντρας|άντρας: μούσι|μούσι
	🧔🏻‍♂️;άντρας: ανοιχτόχρωμος τόνος δέρματος, μούσι;ανοιχτόχρωμος τόνος δέρματος|άντρας|άντρας: ανοιχτόχρωμος τόνος δέρματος, μούσι|άντρας: μούσι|μούσι
	🧔🏼‍♂️;άντρας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μούσι;άντρας|άντρας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μούσι|άντρας: μούσι|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|μούσι
	🧔🏽‍♂️;άντρας: μεσαίος τόνος δέρματος, μούσι;άντρας|άντρας: μεσαίος τόνος δέρματος, μούσι|άντρας: μούσι|μεσαίος τόνος δέρματος|μούσι
	🧔🏾‍♂️;άντρας: μεσαίος-σκούρος τόνος δέρματος, μούσι;άντρας|άντρας: μεσαίος-σκούρος τόνος δέρματος, μούσι|άντρας: μούσι|μεσαίος-σκούρος τόνος δέρματος|μούσι
	🧔🏿‍♂️;άντρας: σκούρος τόνος δέρματος, μούσι;άντρας|άντρας: μούσι|άντρας: σκούρος τόνος δέρματος, μούσι|μούσι|σκούρος τόνος δέρματος
🧔‍♀️;γυναίκα: μούσι;γυναίκα|γυναίκα: μούσι|μούσι
	🧔🏻‍♀️;γυναίκα: ανοιχτόχρωμος τόνος δέρματος, μούσι;ανοιχτόχρωμος τόνος δέρματος|γυναίκα|γυναίκα: ανοιχτόχρωμος τόνος δέρματος, μούσι|γυναίκα: μούσι|μούσι
	🧔🏼‍♀️;γυναίκα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μούσι;γυναίκα|γυναίκα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μούσι|γυναίκα: μούσι|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|μούσι
	🧔🏽‍♀️;γυναίκα: μεσαίος τόνος δέρματος, μούσι;γυναίκα|γυναίκα: μεσαίος τόνος δέρματος, μούσι|γυναίκα: μούσι|μεσαίος τόνος δέρματος|μούσι
	🧔🏾‍♀️;γυναίκα: μεσαίος-σκούρος τόνος δέρματος, μούσι;γυναίκα|γυναίκα: μεσαίος-σκούρος τόνος δέρματος, μούσι|γυναίκα: μούσι|μεσαίος-σκούρος τόνος δέρματος|μούσι
	🧔🏿‍♀️;γυναίκα: σκούρος τόνος δέρματος, μούσι;γυναίκα|γυναίκα: μούσι|γυναίκα: σκούρος τόνος δέρματος, μούσι|μούσι|σκούρος τόνος δέρματος
👨‍🦰;άντρας: κόκκινα μαλλιά;άντρας|άντρας: κόκκινα μαλλιά|ενήλικας|κόκκινα μαλλιά
	👨🏻‍🦰;άντρας: ανοιχτόχρωμος τόνος δέρματος, κόκκινα μαλλιά;ανοιχτόχρωμος τόνος δέρματος|άντρας|άντρας: ανοιχτόχρωμος τόνος δέρματος, κόκκινα μαλλιά|ενήλικας|κόκκινα μαλλιά
	👨🏼‍🦰;άντρας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, κόκκινα μαλλιά;άντρας|άντρας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, κόκκινα μαλλιά|ενήλικας|κόκκινα μαλλιά|μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	👨🏽‍🦰;άντρας: μεσαίος τόνος δέρματος, κόκκινα μαλλιά;άντρας|άντρας: μεσαίος τόνος δέρματος, κόκκινα μαλλιά|ενήλικας|κόκκινα μαλλιά|μεσαίος τόνος δέρματος
	👨🏾‍🦰;άντρας: μεσαίος-σκούρος τόνος δέρματος, κόκκινα μαλλιά;άντρας|άντρας: μεσαίος-σκούρος τόνος δέρματος, κόκκινα μαλλιά|ενήλικας|κόκκινα μαλλιά|μεσαίος-σκούρος τόνος δέρματος
	👨🏿‍🦰;άντρας: σκούρος τόνος δέρματος, κόκκινα μαλλιά;άντρας|άντρας: σκούρος τόνος δέρματος, κόκκινα μαλλιά|ενήλικας|κόκκινα μαλλιά|σκούρος τόνος δέρματος
👨‍🦱;άντρας: σγουρά μαλλιά;άντρας|άντρας: σγουρά μαλλιά|ενήλικας|σγουρά μαλλιά
	👨🏻‍🦱;άντρας: ανοιχτόχρωμος τόνος δέρματος, σγουρά μαλλιά;ανοιχτόχρωμος τόνος δέρματος|άντρας|άντρας: ανοιχτόχρωμος τόνος δέρματος, σγουρά μαλλιά|ενήλικας|σγουρά μαλλιά
	👨🏼‍🦱;άντρας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σγουρά μαλλιά;άντρας|άντρας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σγουρά μαλλιά|ενήλικας|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|σγουρά μαλλιά
	👨🏽‍🦱;άντρας: μεσαίος τόνος δέρματος, σγουρά μαλλιά;άντρας|άντρας: μεσαίος τόνος δέρματος, σγουρά μαλλιά|ενήλικας|μεσαίος τόνος δέρματος|σγουρά μαλλιά
	👨🏾‍🦱;άντρας: μεσαίος-σκούρος τόνος δέρματος, σγουρά μαλλιά;άντρας|άντρας: μεσαίος-σκούρος τόνος δέρματος, σγουρά μαλλιά|ενήλικας|μεσαίος-σκούρος τόνος δέρματος|σγουρά μαλλιά
	👨🏿‍🦱;άντρας: σκούρος τόνος δέρματος, σγουρά μαλλιά;άντρας|άντρας: σκούρος τόνος δέρματος, σγουρά μαλλιά|ενήλικας|σγουρά μαλλιά|σκούρος τόνος δέρματος
👨‍🦳;άντρας: άσπρα μαλλιά;άντρας|άντρας: άσπρα μαλλιά|άσπρα μαλλιά|ενήλικας
	👨🏻‍🦳;άντρας: ανοιχτόχρωμος τόνος δέρματος, άσπρα μαλλιά;ανοιχτόχρωμος τόνος δέρματος|άντρας|άντρας: ανοιχτόχρωμος τόνος δέρματος, άσπρα μαλλιά|άσπρα μαλλιά|ενήλικας
	👨🏼‍🦳;άντρας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, άσπρα μαλλιά;άντρας|άντρας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, άσπρα μαλλιά|άσπρα μαλλιά|ενήλικας|μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	👨🏽‍🦳;άντρας: μεσαίος τόνος δέρματος, άσπρα μαλλιά;άντρας|άντρας: μεσαίος τόνος δέρματος, άσπρα μαλλιά|άσπρα μαλλιά|ενήλικας|μεσαίος τόνος δέρματος
	👨🏾‍🦳;άντρας: μεσαίος-σκούρος τόνος δέρματος, άσπρα μαλλιά;άντρας|άντρας: μεσαίος-σκούρος τόνος δέρματος, άσπρα μαλλιά|άσπρα μαλλιά|ενήλικας|μεσαίος-σκούρος τόνος δέρματος
	👨🏿‍🦳;άντρας: σκούρος τόνος δέρματος, άσπρα μαλλιά;άντρας|άντρας: σκούρος τόνος δέρματος, άσπρα μαλλιά|άσπρα μαλλιά|ενήλικας|σκούρος τόνος δέρματος
👨‍🦲;άντρας: καραφλός;άντρας|άντρας: καραφλός|ενήλικας|καραφλός
	👨🏻‍🦲;άντρας: ανοιχτόχρωμος τόνος δέρματος, καραφλός;ανοιχτόχρωμος τόνος δέρματος|άντρας|άντρας: ανοιχτόχρωμος τόνος δέρματος, καραφλός|ενήλικας|καραφλός
	👨🏼‍🦲;άντρας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, καραφλός;άντρας|άντρας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, καραφλός|ενήλικας|καραφλός|μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	👨🏽‍🦲;άντρας: μεσαίος τόνος δέρματος, καραφλός;άντρας|άντρας: μεσαίος τόνος δέρματος, καραφλός|ενήλικας|καραφλός|μεσαίος τόνος δέρματος
	👨🏾‍🦲;άντρας: μεσαίος-σκούρος τόνος δέρματος, καραφλός;άντρας|άντρας: μεσαίος-σκούρος τόνος δέρματος, καραφλός|ενήλικας|καραφλός|μεσαίος-σκούρος τόνος δέρματος
	👨🏿‍🦲;άντρας: σκούρος τόνος δέρματος, καραφλός;άντρας|άντρας: σκούρος τόνος δέρματος, καραφλός|ενήλικας|καραφλός|σκούρος τόνος δέρματος
👩;γυναίκα;γυναίκα|ενήλικας
	👩🏻;γυναίκα: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|γυναίκα|γυναίκα: ανοιχτόχρωμος τόνος δέρματος|ενήλικας
	👩🏼;γυναίκα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;γυναίκα|γυναίκα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ενήλικας|μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	👩🏽;γυναίκα: μεσαίος τόνος δέρματος;γυναίκα|γυναίκα: μεσαίος τόνος δέρματος|ενήλικας|μεσαίος τόνος δέρματος
	👩🏾;γυναίκα: μεσαίος-σκούρος τόνος δέρματος;γυναίκα|γυναίκα: μεσαίος-σκούρος τόνος δέρματος|ενήλικας|μεσαίος-σκούρος τόνος δέρματος
	👩🏿;γυναίκα: σκούρος τόνος δέρματος;γυναίκα|γυναίκα: σκούρος τόνος δέρματος|ενήλικας|σκούρος τόνος δέρματος
👩‍🦰;γυναίκα: κόκκινα μαλλιά;γυναίκα|γυναίκα: κόκκινα μαλλιά|ενήλικας|κόκκινα μαλλιά
	👩🏻‍🦰;γυναίκα: ανοιχτόχρωμος τόνος δέρματος, κόκκινα μαλλιά;ανοιχτόχρωμος τόνος δέρματος|γυναίκα|γυναίκα: ανοιχτόχρωμος τόνος δέρματος, κόκκινα μαλλιά|ενήλικας|κόκκινα μαλλιά
	👩🏼‍🦰;γυναίκα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, κόκκινα μαλλιά;γυναίκα|γυναίκα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, κόκκινα μαλλιά|ενήλικας|κόκκινα μαλλιά|μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	👩🏽‍🦰;γυναίκα: μεσαίος τόνος δέρματος, κόκκινα μαλλιά;γυναίκα|γυναίκα: μεσαίος τόνος δέρματος, κόκκινα μαλλιά|ενήλικας|κόκκινα μαλλιά|μεσαίος τόνος δέρματος
	👩🏾‍🦰;γυναίκα: μεσαίος-σκούρος τόνος δέρματος, κόκκινα μαλλιά;γυναίκα|γυναίκα: μεσαίος-σκούρος τόνος δέρματος, κόκκινα μαλλιά|ενήλικας|κόκκινα μαλλιά|μεσαίος-σκούρος τόνος δέρματος
	👩🏿‍🦰;γυναίκα: σκούρος τόνος δέρματος, κόκκινα μαλλιά;γυναίκα|γυναίκα: σκούρος τόνος δέρματος, κόκκινα μαλλιά|ενήλικας|κόκκινα μαλλιά|σκούρος τόνος δέρματος
🧑‍🦰;ενήλικας: κόκκινα μαλλιά;άφυλος|ενήλικας|ενήλικας: κόκκινα μαλλιά|κόκκινα μαλλιά
	🧑🏻‍🦰;ενήλικας: ανοιχτόχρωμος τόνος δέρματος, κόκκινα μαλλιά;ανοιχτόχρωμος τόνος δέρματος|άφυλος|ενήλικας|ενήλικας: ανοιχτόχρωμος τόνος δέρματος, κόκκινα μαλλιά|κόκκινα μαλλιά
	🧑🏼‍🦰;ενήλικας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, κόκκινα μαλλιά;άφυλος|ενήλικας|ενήλικας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, κόκκινα μαλλιά|κόκκινα μαλλιά|μεσαίος-ανοιχτόχρωμος τόνος δέρματος
