# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;Широко усмихнато лице;лице|ухилване|широка усмивка|Широко усмихнато лице
	🙋🏽‍♀️;щастлива жена, вдигнала ръка: средна на цвят кожа;вдигнала ръка|вдигната ръка|жест с ръка|средна на цвят кожа|щастлива|щастлива жена|щастлива жена, вдигнала ръка|щастлива жена, вдигнала ръка: средна на цвят кожа
	🙋🏾‍♀️;щастлива жена, вдигнала ръка: средно тъмна кожа;вдигнала ръка|вдигната ръка|жест с ръка|средно тъмна кожа|щастлива|щастлива жена|щастлива жена, вдигнала ръка|щастлива жена, вдигнала ръка: средно тъмна кожа
	🙋🏿‍♀️;щастлива жена, вдигнала ръка: тъмна кожа;вдигнала ръка|вдигната ръка|жест с ръка|тъмна кожа|щастлива|щастлива жена|щастлива жена, вдигнала ръка|щастлива жена, вдигнала ръка: тъмна кожа
🧏;глух човек;глух човек|глухота|достъпна среда|слух|ухо
	🧏🏻;глух човек: светла кожа;глух човек|глух човек: светла кожа|глухота|достъпна среда|светла кожа|слух|ухо
	🧏🏼;глух човек: средно светла кожа;глух човек|глух човек: средно светла кожа|глухота|достъпна среда|слух|средно светла кожа|ухо
	🧏🏽;глух човек: средна на цвят кожа;глух човек|глух човек: средна на цвят кожа|глухота|достъпна среда|слух|средна на цвят кожа|ухо
	🧏🏾;глух човек: средно тъмна кожа;глух човек|глух човек: средно тъмна кожа|глухота|достъпна среда|слух|средно тъмна кожа|ухо
	🧏🏿;глух човек: тъмна кожа;глух човек|глух човек: тъмна кожа|глухота|достъпна среда|слух|тъмна кожа|ухо
🧏‍♂️;глух мъж;глух|мъж
	🧏🏻‍♂️;глух мъж: светла кожа;глух|глух мъж: светла кожа|мъж|светла кожа
	🧏🏼‍♂️;глух мъж: средно светла кожа;глух|глух мъж: средно светла кожа|мъж|средно светла кожа
	🧏🏽‍♂️;глух мъж: средна на цвят кожа;глух|глух мъж: средна на цвят кожа|мъж|средна на цвят кожа
	🧏🏾‍♂️;глух мъж: средно тъмна кожа;глух|глух мъж: средно тъмна кожа|мъж|средно тъмна кожа
	🧏🏿‍♂️;глух мъж: тъмна кожа;глух|глух мъж: тъмна кожа|мъж|тъмна кожа
🧏‍♀️;глуха жена;глуха|жена
	🧏🏻‍♀️;глуха жена: светла кожа;глуха|глуха жена: светла кожа|жена|светла кожа
	🧏🏼‍♀️;глуха жена: средно светла кожа;глуха|глуха жена: средно светла кожа|жена|средно светла кожа
	🧏🏽‍♀️;глуха жена: средна на цвят кожа;глуха|глуха жена: средна на цвят кожа|жена|средна на цвят кожа
	🧏🏾‍♀️;глуха жена: средно тъмна кожа;глуха|глуха жена: средно тъмна кожа|жена|средно тъмна кожа
	🧏🏿‍♀️;глуха жена: тъмна кожа;глуха|глуха жена: тъмна кожа|жена|тъмна кожа
🙇;Покланящ се човек;жест|извинение|Покланящ се човек|поклон|съжалявам
	🙇🏻;Покланящ се човек: светла кожа;жест|извинение|Покланящ се човек|Покланящ се човек: светла кожа|поклон|светла кожа|съжалявам
	🙇🏼;Покланящ се човек: средно светла кожа;жест|извинение|Покланящ се човек|Покланящ се човек: средно светла кожа|поклон|средно светла кожа|съжалявам
	🙇🏽;Покланящ се човек: средна на цвят кожа;жест|извинение|Покланящ се човек|Покланящ се човек: средна на цвят кожа|поклон|средна на цвят кожа|съжалявам
	🙇🏾;Покланящ се човек: средно тъмна кожа;жест|извинение|Покланящ се човек|Покланящ се човек: средно тъмна кожа|поклон|средно тъмна кожа|съжалявам
	🙇🏿;Покланящ се човек: тъмна кожа;жест|извинение|Покланящ се човек|Покланящ се човек: тъмна кожа|поклон|съжалявам|тъмна кожа
🙇‍♂️;покланящ се мъж;жест|извинение|покланящ се мъж|поклон
	🙇🏻‍♂️;покланящ се мъж: светла кожа;жест|извинение|покланящ се мъж|покланящ се мъж: светла кожа|поклон|светла кожа
	🙇🏼‍♂️;покланящ се мъж: средно светла кожа;жест|извинение|покланящ се мъж|покланящ се мъж: средно светла кожа|поклон|средно светла кожа
	🙇🏽‍♂️;покланящ се мъж: средна на цвят кожа;жест|извинение|покланящ се мъж|покланящ се мъж: средна на цвят кожа|поклон|средна на цвят кожа
	🙇🏾‍♂️;покланящ се мъж: средно тъмна кожа;жест|извинение|покланящ се мъж|покланящ се мъж: средно тъмна кожа|поклон|средно тъмна кожа
	🙇🏿‍♂️;покланящ се мъж: тъмна кожа;жест|извинение|покланящ се мъж|покланящ се мъж: тъмна кожа|поклон|тъмна кожа
🙇‍♀️;покланяща се жена;жест|извинение|покланяща се жена|поклон
	🙇🏻‍♀️;покланяща се жена: светла кожа;жест|извинение|покланяща се жена|покланяща се жена: светла кожа|поклон|светла кожа
	🙇🏼‍♀️;покланяща се жена: средно светла кожа;жест|извинение|покланяща се жена|покланяща се жена: средно светла кожа|поклон|средно светла кожа
	🙇🏽‍♀️;покланяща се жена: средна на цвят кожа;жест|извинение|покланяща се жена|покланяща се жена: средна на цвят кожа|поклон|средна на цвят кожа
	🙇🏾‍♀️;покланяща се жена: средно тъмна кожа;жест|извинение|покланяща се жена|покланяща се жена: средно тъмна кожа|поклон|средно тъмна кожа
	🙇🏿‍♀️;покланяща се жена: тъмна кожа;жест|извинение|покланяща се жена|покланяща се жена: тъмна кожа|поклон|тъмна кожа
🤦;ръка върху лице;лице|невярване|отчаяние|ръка|ръка върху лице
	🤦🏻;ръка върху лице: светла кожа;лице|невярване|отчаяние|ръка|ръка върху лице|ръка върху лице: светла кожа|светла кожа
	🤦🏼;ръка върху лице: средно светла кожа;лице|невярване|отчаяние|ръка|ръка върху лице|ръка върху лице: средно светла кожа|средно светла кожа
	🤦🏽;ръка върху лице: средна на цвят кожа;лице|невярване|отчаяние|ръка|ръка върху лице|ръка върху лице: средна на цвят кожа|средна на цвят кожа
	🤦🏾;ръка върху лице: средно тъмна кожа;лице|невярване|отчаяние|ръка|ръка върху лице|ръка върху лице: средно тъмна кожа|средно тъмна кожа
	🤦🏿;ръка върху лице: тъмна кожа;лице|невярване|отчаяние|ръка|ръка върху лице|ръка върху лице: тъмна кожа|тъмна кожа
🤦‍♂️;мъж с ръка върху лицето;жест с ръка|мъж с ръка върху лицето|невярване|отчаяние
	🤦🏻‍♂️;мъж с ръка върху лицето: светла кожа;жест с ръка|мъж с ръка върху лицето|мъж с ръка върху лицето: светла кожа|невярване|отчаяние|светла кожа
	🤦🏼‍♂️;мъж с ръка върху лицето: средно светла кожа;жест с ръка|мъж с ръка върху лицето|мъж с ръка върху лицето: средно светла кожа|невярване|отчаяние|средно светла кожа
	🤦🏽‍♂️;мъж с ръка върху лицето: средна на цвят кожа;жест с ръка|мъж с ръка върху лицето|мъж с ръка върху лицето: средна на цвят кожа|невярване|отчаяние|средна на цвят кожа
	🤦🏾‍♂️;мъж с ръка върху лицето: средно тъмна кожа;жест с ръка|мъж с ръка върху лицето|мъж с ръка върху лицето: средно тъмна кожа|невярване|отчаяние|средно тъмна кожа
	🤦🏿‍♂️;мъж с ръка върху лицето: тъмна кожа;жест с ръка|мъж с ръка върху лицето|мъж с ръка върху лицето: тъмна кожа|невярване|отчаяние|тъмна кожа
🤦‍♀️;жена с ръка върху лицето;жена с ръка върху лицето|жест с ръка|невярване|отчаяние
	🤦🏻‍♀️;жена с ръка върху лицето: светла кожа;жена с ръка върху лицето|жена с ръка върху лицето: светла кожа|жест с ръка|невярване|отчаяние|светла кожа
	🤦🏼‍♀️;жена с ръка върху лицето: средно светла кожа;жена с ръка върху лицето|жена с ръка върху лицето: средно светла кожа|жест с ръка|невярване|отчаяние|средно светла кожа
	🤦🏽‍♀️;жена с ръка върху лицето: средна на цвят кожа;жена с ръка върху лицето|жена с ръка върху лицето: средна на цвят кожа|жест с ръка|невярване|отчаяние|средна на цвят кожа
	🤦🏾‍♀️;жена с ръка върху лицето: средно тъмна кожа;жена с ръка върху лицето|жена с ръка върху лицето: средно тъмна кожа|жест с ръка|невярване|отчаяние|средно тъмна кожа
	🤦🏿‍♀️;жена с ръка върху лицето: тъмна кожа;жена с ръка върху лицето|жена с ръка върху лицето: тъмна кожа|жест с ръка|невярване|отчаяние|тъмна кожа
🤷;свиване на рамене;безразличие|рамене|свиване|свиване на рамене|съмнение
	🤷🏻;свиване на рамене: светла кожа;безразличие|рамене|светла кожа|свиване|свиване на рамене|свиване на рамене: светла кожа|съмнение
	🤷🏼;свиване на рамене: средно светла кожа;безразличие|рамене|свиване|свиване на рамене|свиване на рамене: средно светла кожа|средно светла кожа|съмнение
	🤷🏽;свиване на рамене: средна на цвят кожа;безразличие|рамене|свиване|свиване на рамене|свиване на рамене: средна на цвят кожа|средна на цвят кожа|съмнение
	🤷🏾;свиване на рамене: средно тъмна кожа;безразличие|рамене|свиване|свиване на рамене|свиване на рамене: средно тъмна кожа|средно тъмна кожа|съмнение
	🤷🏿;свиване на рамене: тъмна кожа;безразличие|рамене|свиване|свиване на рамене|свиване на рамене: тъмна кожа|съмнение|тъмна кожа
🤷‍♂️;мъж свива рамене;безразличие|жест с рамене|мъж свива рамене|съмнение
	🤷🏻‍♂️;мъж свива рамене: светла кожа;безразличие|жест с рамене|мъж свива рамене|мъж свива рамене: светла кожа|светла кожа|съмнение
	🤷🏼‍♂️;мъж свива рамене: средно светла кожа;безразличие|жест с рамене|мъж свива рамене|мъж свива рамене: средно светла кожа|средно светла кожа|съмнение
	🤷🏽‍♂️;мъж свива рамене: средна на цвят кожа;безразличие|жест с рамене|мъж свива рамене|мъж свива рамене: средна на цвят кожа|средна на цвят кожа|съмнение
	🤷🏾‍♂️;мъж свива рамене: средно тъмна кожа;безразличие|жест с рамене|мъж свива рамене|мъж свива рамене: средно тъмна кожа|средно тъмна кожа|съмнение
	🤷🏿‍♂️;мъж свива рамене: тъмна кожа;безразличие|жест с рамене|мъж свива рамене|мъж свива рамене: тъмна кожа|съмнение|тъмна кожа
🤷‍♀️;жена свива рамене;безразличие|жена свива рамене|жест с рамене|съмнение
	🤷🏻‍♀️;жена свива рамене: светла кожа;безразличие|жена свива рамене|жена свива рамене: светла кожа|жест с рамене|светла кожа|съмнение
	🤷🏼‍♀️;жена свива рамене: средно светла кожа;безразличие|жена свива рамене|жена свива рамене: средно светла кожа|жест с рамене|средно светла кожа|съмнение
	🤷🏽‍♀️;жена свива рамене: средна на цвят кожа;безразличие|жена свива рамене|жена свива рамене: средна на цвят кожа|жест с рамене|средна на цвят кожа|съмнение
	🤷🏾‍♀️;жена свива рамене: средно тъмна кожа;безразличие|жена свива рамене|жена свива рамене: средно тъмна кожа|жест с рамене|средно тъмна кожа|съмнение
	🤷🏿‍♀️;жена свива рамене: тъмна кожа;безразличие|жена свива рамене|жена свива рамене: тъмна кожа|жест с рамене|съмнение|тъмна кожа
🧑‍⚕️;здравен служител;здравен служител|здравеопазване|лекар|медицинска сестра|терапевт
	🧑🏻‍⚕️;здравен служител: светла кожа;здравен служител|здравен служител: светла кожа|здравеопазване|лекар|медицинска сестра|светла кожа|терапевт
	🧑🏼‍⚕️;здравен служител: средно светла кожа;здравен служител|здравен служител: средно светла кожа|здравеопазване|лекар|медицинска сестра|средно светла кожа|терапевт
	🧑🏽‍⚕️;здравен служител: средна на цвят кожа;здравен служител|здравен служител: средна на цвят кожа|здравеопазване|лекар|медицинска сестра|средна на цвят кожа|терапевт
	🧑🏾‍⚕️;здравен служител: средно тъмна кожа;здравен служител|здравен служител: средно тъмна кожа|здравеопазване|лекар|медицинска сестра|средно тъмна кожа|терапевт
	🧑🏿‍⚕️;здравен служител: тъмна кожа;здравен служител|здравен служител: тъмна кожа|здравеопазване|лекар|медицинска сестра|терапевт|тъмна кожа
👨‍⚕️;здравен работник;доктор|здравен работник|здравна система|лекар|мъж
	👨🏻‍⚕️;здравен работник: светла кожа;доктор|здравен работник|здравен работник: светла кожа|здравна система|лекар|мъж|светла кожа
	👨🏼‍⚕️;здравен работник: средно светла кожа;доктор|здравен работник|здравен работник: средно светла кожа|здравна система|лекар|мъж|средно светла кожа
	👨🏽‍⚕️;здравен работник: средна на цвят кожа;доктор|здравен работник|здравен работник: средна на цвят кожа|здравна система|лекар|мъж|средна на цвят кожа
	👨🏾‍⚕️;здравен работник: средно тъмна кожа;доктор|здравен работник|здравен работник: средно тъмна кожа|здравна система|лекар|мъж|средно тъмна кожа
	👨🏿‍⚕️;здравен работник: тъмна кожа;доктор|здравен работник|здравен работник: тъмна кожа|здравна система|лекар|мъж|тъмна кожа
👩‍⚕️;здравна работничка;жена|здравна работничка|здравна система|лекарка|медицинска сестра
	👩🏻‍⚕️;здравна работничка: светла кожа;жена|здравна работничка|здравна работничка: светла кожа|здравна система|лекарка|медицинска сестра|светла кожа
	👩🏼‍⚕️;здравна работничка: средно светла кожа;жена|здравна работничка|здравна работничка: средно светла кожа|здравна система|лекарка|медицинска сестра|средно светла кожа
	👩🏽‍⚕️;здравна работничка: средна на цвят кожа;жена|здравна работничка|здравна работничка: средна на цвят кожа|здравна система|лекарка|медицинска сестра|средна на цвят кожа
	👩🏾‍⚕️;здравна работничка: средно тъмна кожа;жена|здравна работничка|здравна работничка: средно тъмна кожа|здравна система|лекарка|медицинска сестра|средно тъмна кожа
	👩🏿‍⚕️;здравна работничка: тъмна кожа;жена|здравна работничка|здравна работничка: тъмна кожа|здравна система|лекарка|медицинска сестра|тъмна кожа
🧑‍🎓;учащ;завършил|студент|учащ
	🧑🏻‍🎓;учащ: светла кожа;завършил|светла кожа|студент|учащ|учащ: светла кожа
	🧑🏼‍🎓;учащ: средно светла кожа;завършил|средно светла кожа|студент|учащ|учащ: средно светла кожа
	🧑🏽‍🎓;учащ: средна на цвят кожа;завършил|средна на цвят кожа|студент|учащ|учащ: средна на цвят кожа
	🧑🏾‍🎓;учащ: средно тъмна кожа;завършил|средно тъмна кожа|студент|учащ|учащ: средно тъмна кожа
	🧑🏿‍🎓;учащ: тъмна кожа;завършил|студент|тъмна кожа|учащ|учащ: тъмна кожа
👨‍🎓;студент;висше образование|дипломиран младеж|студент|учащ
	👨🏻‍🎓;студент: светла кожа;висше образование|дипломиран младеж|светла кожа|студент|студент: светла кожа|учащ
	👨🏼‍🎓;студент: средно светла кожа;висше образование|дипломиран младеж|средно светла кожа|студент|студент: средно светла кожа|учащ
	👨🏽‍🎓;студент: средна на цвят кожа;висше образование|дипломиран младеж|средна на цвят кожа|студент|студент: средна на цвят кожа|учащ
	👨🏾‍🎓;студент: средно тъмна кожа;висше образование|дипломиран младеж|средно тъмна кожа|студент|студент: средно тъмна кожа|учащ
	👨🏿‍🎓;студент: тъмна кожа;висше образование|дипломиран младеж|студент|студент: тъмна кожа|тъмна кожа|учащ
👩‍🎓;студентка;висше образование|жена|студентка|учаща
	👩🏻‍🎓;студентка: светла кожа;висше образование|жена|светла кожа|студентка|студентка: светла кожа|учаща
	👩🏼‍🎓;студентка: средно светла кожа;висше образование|жена|средно светла кожа|студентка|студентка: средно светла кожа|учаща
	👩🏽‍🎓;студентка: средна на цвят кожа;висше образование|жена|средна на цвят кожа|студентка|студентка: средна на цвят кожа|учаща
	👩🏾‍🎓;студентка: средно тъмна кожа;висше образование|жена|средно тъмна кожа|студентка|студентка: средно тъмна кожа|учаща
	👩🏿‍🎓;студентка: тъмна кожа;висше образование|жена|студентка|студентка: тъмна кожа|тъмна кожа|учаща
🧑‍🏫;преподавател;инструктор|лектор|преподавател|учител
	🧑🏻‍🏫;преподавател: светла кожа;инструктор|лектор|преподавател|преподавател: светла кожа|светла кожа|учител
	🧑🏼‍🏫;преподавател: средно светла кожа;инструктор|лектор|преподавател|преподавател: средно светла кожа|средно светла кожа|учител
	🧑🏽‍🏫;преподавател: средна на цвят кожа;инструктор|лектор|преподавател|преподавател: средна на цвят кожа|средна на цвят кожа|учител
	🧑🏾‍🏫;преподавател: средно тъмна кожа;инструктор|лектор|преподавател|преподавател: средно тъмна кожа|средно тъмна кожа|учител
	🧑🏿‍🏫;преподавател: тъмна кожа;инструктор|лектор|преподавател|преподавател: тъмна кожа|тъмна кожа|учител
👨‍🏫;учител;инструктор|лектор|преподавател|учител
	👨🏻‍🏫;учител: светла кожа;инструктор|лектор|преподавател|светла кожа|учител|учител: светла кожа
	👨🏼‍🏫;учител: средно светла кожа;инструктор|лектор|преподавател|средно светла кожа|учител|учител: средно светла кожа
	👨🏽‍🏫;учител: средна на цвят кожа;инструктор|лектор|преподавател|средна на цвят кожа|учител|учител: средна на цвят кожа
	👨🏾‍🏫;учител: средно тъмна кожа;инструктор|лектор|преподавател|средно тъмна кожа|учител|учител: средно тъмна кожа
	👨🏿‍🏫;учител: тъмна кожа;инструктор|лектор|преподавател|тъмна кожа|учител|учител: тъмна кожа
👩‍🏫;учителка;инструкторка|лектор|преподавателка|учителка
	👩🏻‍🏫;учителка: светла кожа;инструкторка|лектор|преподавателка|светла кожа|учителка|учителка: светла кожа
	👩🏼‍🏫;учителка: средно светла кожа;инструкторка|лектор|преподавателка|средно светла кожа|учителка|учителка: средно светла кожа
	👩🏽‍🏫;учителка: средна на цвят кожа;инструкторка|лектор|преподавателка|средна на цвят кожа|учителка|учителка: средна на цвят кожа
	👩🏾‍🏫;учителка: средно тъмна кожа;инструкторка|лектор|преподавателка|средно тъмна кожа|учителка|учителка: средно тъмна кожа
	👩🏿‍🏫;учителка: тъмна кожа;инструкторка|лектор|преподавателка|тъмна кожа|учителка|учителка: тъмна кожа
🧑‍⚖️;съдия;везни|съдия
	🧑🏻‍⚖️;съдия: светла кожа;везни|светла кожа|съдия|съдия: светла кожа
	🧑🏼‍⚖️;съдия: средно светла кожа;везни|средно светла кожа|съдия|съдия: средно светла кожа
	🧑🏽‍⚖️;съдия: средна на цвят кожа;везни|средна на цвят кожа|съдия|съдия: средна на цвят кожа
	🧑🏾‍⚖️;съдия: средно тъмна кожа;везни|средно тъмна кожа|съдия|съдия: средно тъмна кожа
	🧑🏿‍⚖️;съдия: тъмна кожа;везни|съдия|съдия: тъмна кожа|тъмна кожа
👨‍⚖️;мъж съдия;везни|мъж съдия|правосъдие|съдия
	👨🏻‍⚖️;мъж съдия: светла кожа;везни|мъж съдия|мъж съдия: светла кожа|правосъдие|светла кожа|съдия
	👨🏼‍⚖️;мъж съдия: средно светла кожа;везни|мъж съдия|мъж съдия: средно светла кожа|правосъдие|средно светла кожа|съдия
	👨🏽‍⚖️;мъж съдия: средна на цвят кожа;везни|мъж съдия|мъж съдия: средна на цвят кожа|правосъдие|средна на цвят кожа|съдия
	👨🏾‍⚖️;мъж съдия: средно тъмна кожа;везни|мъж съдия|мъж съдия: средно тъмна кожа|правосъдие|средно тъмна кожа|съдия
	👨🏿‍⚖️;мъж съдия: тъмна кожа;везни|мъж съдия|мъж съдия: тъмна кожа|правосъдие|съдия|тъмна кожа
👩‍⚖️;съдийка;везни|правосъдие|служителка на правосъдието|съдийка
	👩🏻‍⚖️;съдийка: светла кожа;везни|правосъдие|светла кожа|служителка на правосъдието|съдийка|съдийка: светла кожа
	👩🏼‍⚖️;съдийка: средно светла кожа;везни|правосъдие|служителка на правосъдието|средно светла кожа|съдийка|съдийка: средно светла кожа
	👩🏽‍⚖️;съдийка: средна на цвят кожа;везни|правосъдие|служителка на правосъдието|средна на цвят кожа|съдийка|съдийка: средна на цвят кожа
	👩🏾‍⚖️;съдийка: средно тъмна кожа;везни|правосъдие|служителка на правосъдието|средно тъмна кожа|съдийка|съдийка: средно тъмна кожа
	👩🏿‍⚖️;съдийка: тъмна кожа;везни|правосъдие|служителка на правосъдието|съдийка|съдийка: тъмна кожа|тъмна кожа
🧑‍🌾;земеделец;градинар|земеделец|собственик на ранчо
	🧑🏻‍🌾;земеделец: светла кожа;градинар|земеделец|земеделец: светла кожа|светла кожа|собственик на ранчо
	🧑🏼‍🌾;земеделец: средно светла кожа;градинар|земеделец|земеделец: средно светла кожа|собственик на ранчо|средно светла кожа
	🧑🏽‍🌾;земеделец: средна на цвят кожа;градинар|земеделец|земеделец: средна на цвят кожа|собственик на ранчо|средна на цвят кожа
	🧑🏾‍🌾;земеделец: средно тъмна кожа;градинар|земеделец|земеделец: средно тъмна кожа|собственик на ранчо|средно тъмна кожа
	🧑🏿‍🌾;земеделец: тъмна кожа;градинар|земеделец|земеделец: тъмна кожа|собственик на ранчо|тъмна кожа
👨‍🌾;фермер;градинар|производител|селскостопански работник|фермер
	👨🏻‍🌾;фермер: светла кожа;градинар|производител|светла кожа|селскостопански работник|фермер|фермер: светла кожа
	👨🏼‍🌾;фермер: средно светла кожа;градинар|производител|селскостопански работник|средно светла кожа|фермер|фермер: средно светла кожа
	👨🏽‍🌾;фермер: средна на цвят кожа;градинар|производител|селскостопански работник|средна на цвят кожа|фермер|фермер: средна на цвят кожа
	👨🏾‍🌾;фермер: средно тъмна кожа;градинар|производител|селскостопански работник|средно тъмна кожа|фермер|фермер: средно тъмна кожа
	👨🏿‍🌾;фермер: тъмна кожа;градинар|производител|селскостопански работник|тъмна кожа|фермер|фермер: тъмна кожа
👩‍🌾;фермерка;градинарка|производителка|селско стопанство|фермерка
	👩🏻‍🌾;фермерка: светла кожа;градинарка|производителка|светла кожа|селско стопанство|фермерка|фермерка: светла кожа
	👩🏼‍🌾;фермерка: средно светла кожа;градинарка|производителка|селско стопанство|средно светла кожа|фермерка|фермерка: средно светла кожа
	👩🏽‍🌾;фермерка: средна на цвят кожа;градинарка|производителка|селско стопанство|средна на цвят кожа|фермерка|фермерка: средна на цвят кожа
	👩🏾‍🌾;фермерка: средно тъмна кожа;градинарка|производителка|селско стопанство|средно тъмна кожа|фермерка|фермерка: средно тъмна кожа
	👩🏿‍🌾;фермерка: тъмна кожа;градинарка|производителка|селско стопанство|тъмна кожа|фермерка|фермерка: тъмна кожа
🧑‍🍳;готвач;готвач|майстор-готвач
	🧑🏻‍🍳;готвач: светла кожа;готвач|готвач: светла кожа|майстор-готвач|светла кожа
	🧑🏼‍🍳;готвач: средно светла кожа;готвач|готвач: средно светла кожа|майстор-готвач|средно светла кожа
	🧑🏽‍🍳;готвач: средна на цвят кожа;готвач|готвач: средна на цвят кожа|майстор-готвач|средна на цвят кожа
	🧑🏾‍🍳;готвач: средно тъмна кожа;готвач|готвач: средно тъмна кожа|майстор-готвач|средно тъмна кожа
	🧑🏿‍🍳;готвач: тъмна кожа;готвач|готвач: тъмна кожа|майстор-готвач|тъмна кожа
👨‍🍳;мъж готвач;готвач|готвещ мъж|мъж готвач
	👨🏻‍🍳;мъж готвач: светла кожа;готвач|готвещ мъж|мъж готвач|мъж готвач: светла кожа|светла кожа
	👨🏼‍🍳;мъж готвач: средно светла кожа;готвач|готвещ мъж|мъж готвач|мъж готвач: средно светла кожа|средно светла кожа
	👨🏽‍🍳;мъж готвач: средна на цвят кожа;готвач|готвещ мъж|мъж готвач|мъж готвач: средна на цвят кожа|средна на цвят кожа
	👨🏾‍🍳;мъж готвач: средно тъмна кожа;готвач|готвещ мъж|мъж готвач|мъж готвач: средно тъмна кожа|средно тъмна кожа
	👨🏿‍🍳;мъж готвач: тъмна кожа;готвач|готвещ мъж|мъж готвач|мъж готвач: тъмна кожа|тъмна кожа
👩‍🍳;готвачка;готвачка|готвеща жена
	👩🏻‍🍳;готвачка: светла кожа;готвачка|готвачка: светла кожа|готвеща жена|светла кожа
	👩🏼‍🍳;готвачка: средно светла кожа;готвачка|готвачка: средно светла кожа|готвеща жена|средно светла кожа
	👩🏽‍🍳;готвачка: средна на цвят кожа;готвачка|готвачка: средна на цвят кожа|готвеща жена|средна на цвят кожа
	👩🏾‍🍳;готвачка: средно тъмна кожа;готвачка|готвачка: средно тъмна кожа|готвеща жена|средно тъмна кожа
	👩🏿‍🍳;готвачка: тъмна кожа;готвачка|готвачка: тъмна кожа|готвеща жена|тъмна кожа
🧑‍🔧;механик;водопроводчик|електротехник|механик
	🧑🏻‍🔧;механик: светла кожа;водопроводчик|електротехник|механик|механик: светла кожа|светла кожа
	🧑🏼‍🔧;механик: средно светла кожа;водопроводчик|електротехник|механик|механик: средно светла кожа|средно светла кожа
	🧑🏽‍🔧;механик: средна на цвят кожа;водопроводчик|електротехник|механик|механик: средна на цвят кожа|средна на цвят кожа
	🧑🏾‍🔧;механик: средно тъмна кожа;водопроводчик|електротехник|механик|механик: средно тъмна кожа|средно тъмна кожа
	🧑🏿‍🔧;механик: тъмна кожа;водопроводчик|електротехник|механик|механик: тъмна кожа|тъмна кожа
👨‍🔧;мъж механик;водопроводчик|електротехник|майстор|механик|мъж|специалист
	👨🏻‍🔧;мъж механик: светла кожа;водопроводчик|електротехник|майстор|механик|мъж|мъж механик: светла кожа|светла кожа|специалист
	👨🏼‍🔧;мъж механик: средно светла кожа;водопроводчик|електротехник|майстор|механик|мъж|мъж механик: средно светла кожа|специалист|средно светла кожа
	👨🏽‍🔧;мъж механик: средна на цвят кожа;водопроводчик|електротехник|майстор|механик|мъж|мъж механик: средна на цвят кожа|специалист|средна на цвят кожа
	👨🏾‍🔧;мъж механик: средно тъмна кожа;водопроводчик|електротехник|майстор|механик|мъж|мъж механик: средно тъмна кожа|специалист|средно тъмна кожа
	👨🏿‍🔧;мъж механик: тъмна кожа;водопроводчик|електротехник|майстор|механик|мъж|мъж механик: тъмна кожа|специалист|тъмна кожа
👩‍🔧;жена механик;жена механик|майсторка|специалистка|техник
	👩🏻‍🔧;жена механик: светла кожа;жена механик|жена механик: светла кожа|майсторка|светла кожа|специалистка|техник
	👩🏼‍🔧;жена механик: средно светла кожа;жена механик|жена механик: средно светла кожа|майсторка|специалистка|средно светла кожа|техник
	👩🏽‍🔧;жена механик: средна на цвят кожа;жена механик|жена механик: средна на цвят кожа|майсторка|специалистка|средна на цвят кожа|техник
	👩🏾‍🔧;жена механик: средно тъмна кожа;жена механик|жена механик: средно тъмна кожа|майсторка|специалистка|средно тъмна кожа|техник
	👩🏿‍🔧;жена механик: тъмна кожа;жена механик|жена механик: тъмна кожа|майсторка|специалистка|техник|тъмна кожа
🧑‍🏭;работник във фабрика;завод|индустрия|производство|промишленост|работник|работник във фабрика|фабрика
	🧑🏻‍🏭;работник във фабрика: светла кожа;завод|индустрия|производство|промишленост|работник|работник във фабрика|работник във фабрика: светла кожа|светла кожа|фабрика
	🧑🏼‍🏭;работник във фабрика: средно светла кожа;завод|индустрия|производство|промишленост|работник|работник във фабрика|работник във фабрика: средно светла кожа|средно светла кожа|фабрика
	🧑🏽‍🏭;работник във фабрика: средна на цвят кожа;завод|индустрия|производство|промишленост|работник|работник във фабрика|работник във фабрика: средна на цвят кожа|средна на цвят кожа|фабрика
	🧑🏾‍🏭;работник във фабрика: средно тъмна кожа;завод|индустрия|производство|промишленост|работник|работник във фабрика|работник във фабрика: средно тъмна кожа|средно тъмна кожа|фабрика
	🧑🏿‍🏭;работник във фабрика: тъмна кожа;завод|индустрия|производство|промишленост|работник|работник във фабрика|работник във фабрика: тъмна кожа|тъмна кожа|фабрика
👨‍🏭;работник в завод;мъж|производство|работник в завод|фабрика
	👨🏻‍🏭;работник в завод: светла кожа;мъж|производство|работник в завод|работник в завод: светла кожа|светла кожа|фабрика
