# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ပြုံးဖြဲဖြဲ မျက်နှာ;ပြုံးဖြဲဖြဲ|မျက်နှာ
	🤞🏾;ကံကောင်းပါစေပြ လက်ဟန် − အသားညိုရောင်;ကံကောင်းပါစေပြ လက်ဟန်|ကံတရား|လက်ချောင်း|လက်ချောင်းချင်းချိတ်|အသားညိုရောင်
	🤞🏿;ကံကောင်းပါစေပြ လက်ဟန် − အသားမည်းရောင်;ကံကောင်းပါစေပြ လက်ဟန်|ကံတရား|လက်ချောင်း|လက်ချောင်းချင်းချိတ်|အသားမည်းရောင်
🫰;လက်မနှင့် လက်ညှိုး ထပ်ထားခြင်း;ချစ်ခြင်း|ငွေ|ဈေးကြီး|နှလုံးသား|လက်မနှင့် လက်ညှိုး ထပ်ထားခြင်း|လျှပ်တစ်ပြက်
	🫰🏻;လက်မနှင့် လက်ညှိုး ထပ်ထားခြင်း − အသားဖြူရောင်;ချစ်ခြင်း|ငွေ|ဈေးကြီး|နှလုံးသား|လက်မနှင့် လက်ညှိုး ထပ်ထားခြင်း|လျှပ်တစ်ပြက်|အသားဖြူရောင်
	🫰🏼;လက်မနှင့် လက်ညှိုး ထပ်ထားခြင်း − အသားနုရောင်;ချစ်ခြင်း|ငွေ|ဈေးကြီး|နှလုံးသား|လက်မနှင့် လက်ညှိုး ထပ်ထားခြင်း|လျှပ်တစ်ပြက်|အသားနုရောင်
	🫰🏽;လက်မနှင့် လက်ညှိုး ထပ်ထားခြင်း − အသားလတ်ရောင်;ချစ်ခြင်း|ငွေ|ဈေးကြီး|နှလုံးသား|လက်မနှင့် လက်ညှိုး ထပ်ထားခြင်း|လျှပ်တစ်ပြက်|အသားလတ်ရောင်
	🫰🏾;လက်မနှင့် လက်ညှိုး ထပ်ထားခြင်း − အသားညိုရောင်;ချစ်ခြင်း|ငွေ|ဈေးကြီး|နှလုံးသား|လက်မနှင့် လက်ညှိုး ထပ်ထားခြင်း|လျှပ်တစ်ပြက်|အသားညိုရောင်
	🫰🏿;လက်မနှင့် လက်ညှိုး ထပ်ထားခြင်း − အသားမည်းရောင်;ချစ်ခြင်း|ငွေ|ဈေးကြီး|နှလုံးသား|လက်မနှင့် လက်ညှိုး ထပ်ထားခြင်း|လျှပ်တစ်ပြက်|အသားမည်းရောင်
🤟;ချစ်တယ်လို့ပြောတဲ့ အမူအရာ;ချစ်တယ်လို့ပြောတဲ့ အမူအရာ|ချစ်တယ်ဟု လက်ချောင်းများဖြင့် ပြေနေပုံ|လက်
	🤟🏻;ချစ်တယ်လို့ပြောတဲ့ အမူအရာ − အသားဖြူရောင်;ချစ်တယ်လို့ပြောတဲ့ အမူအရာ|ချစ်တယ်ဟု လက်ချောင်းများဖြင့် ပြေနေပုံ|လက်|အသားဖြူရောင်
	🤟🏼;ချစ်တယ်လို့ပြောတဲ့ အမူအရာ − အသားနုရောင်;ချစ်တယ်လို့ပြောတဲ့ အမူအရာ|ချစ်တယ်ဟု လက်ချောင်းများဖြင့် ပြေနေပုံ|လက်|အသားနုရောင်
	🤟🏽;ချစ်တယ်လို့ပြောတဲ့ အမူအရာ − အသားလတ်ရောင်;ချစ်တယ်လို့ပြောတဲ့ အမူအရာ|ချစ်တယ်ဟု လက်ချောင်းများဖြင့် ပြေနေပုံ|လက်|အသားလတ်ရောင်
	🤟🏾;ချစ်တယ်လို့ပြောတဲ့ အမူအရာ − အသားညိုရောင်;ချစ်တယ်လို့ပြောတဲ့ အမူအရာ|ချစ်တယ်ဟု လက်ချောင်းများဖြင့် ပြေနေပုံ|လက်|အသားညိုရောင်
	🤟🏿;ချစ်တယ်လို့ပြောတဲ့ အမူအရာ − အသားမည်းရောင်;ချစ်တယ်လို့ပြောတဲ့ အမူအရာ|ချစ်တယ်ဟု လက်ချောင်းများဖြင့် ပြေနေပုံ|လက်|အသားမည်းရောင်
🤘;ဦးချိုများ၏ သင်္ကေတ;လက်|လက်ချောင်း|ဦးချို|ဦးချိုပုံစံ လက်ဟန် သင်္ကေတ|ဦးချိုများ၏ သင်္ကေတ
	🤘🏻;ဦးချိုများ၏ သင်္ကေတ − အသားဖြူရောင်;လက်|လက်ချောင်း|အသားဖြူရောင်|ဦးချို|ဦးချိုပုံစံ လက်ဟန် သင်္ကေတ|ဦးချိုများ၏ သင်္ကေတ
	🤘🏼;ဦးချိုများ၏ သင်္ကေတ − အသားနုရောင်;လက်|လက်ချောင်း|အသားနုရောင်|ဦးချို|ဦးချိုပုံစံ လက်ဟန် သင်္ကေတ|ဦးချိုများ၏ သင်္ကေတ
	🤘🏽;ဦးချိုများ၏ သင်္ကေတ − အသားလတ်ရောင်;လက်|လက်ချောင်း|အသားလတ်ရောင်|ဦးချို|ဦးချိုပုံစံ လက်ဟန် သင်္ကေတ|ဦးချိုများ၏ သင်္ကေတ
	🤘🏾;ဦးချိုများ၏ သင်္ကေတ − အသားညိုရောင်;လက်|လက်ချောင်း|အသားညိုရောင်|ဦးချို|ဦးချိုပုံစံ လက်ဟန် သင်္ကေတ|ဦးချိုများ၏ သင်္ကေတ
	🤘🏿;ဦးချိုများ၏ သင်္ကေတ − အသားမည်းရောင်;လက်|လက်ချောင်း|အသားမည်းရောင်|ဦးချို|ဦးချိုပုံစံ လက်ဟန် သင်္ကေတ|ဦးချိုများ၏ သင်္ကေတ
🤙;ဖုန်းခေါ်ပါပြ လက်ဟန်;ခေါ်ဆိုသည်|ဖုန်းခေါ်ပါပြ လက်ဟန်|လက်
	🤙🏻;ဖုန်းခေါ်ပါပြ လက်ဟန် − အသားဖြူရောင်;ခေါ်ဆိုသည်|ဖုန်းခေါ်ပါပြ လက်ဟန်|လက်|အသားဖြူရောင်
	🤙🏼;ဖုန်းခေါ်ပါပြ လက်ဟန် − အသားနုရောင်;ခေါ်ဆိုသည်|ဖုန်းခေါ်ပါပြ လက်ဟန်|လက်|အသားနုရောင်
	🤙🏽;ဖုန်းခေါ်ပါပြ လက်ဟန် − အသားလတ်ရောင်;ခေါ်ဆိုသည်|ဖုန်းခေါ်ပါပြ လက်ဟန်|လက်|အသားလတ်ရောင်
	🤙🏾;ဖုန်းခေါ်ပါပြ လက်ဟန် − အသားညိုရောင်;ခေါ်ဆိုသည်|ဖုန်းခေါ်ပါပြ လက်ဟန်|လက်|အသားညိုရောင်
	🤙🏿;ဖုန်းခေါ်ပါပြ လက်ဟန် − အသားမည်းရောင်;ခေါ်ဆိုသည်|ဖုန်းခေါ်ပါပြ လက်ဟန်|လက်|အသားမည်းရောင်
👈;ဘယ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း;ဘယ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း|ဘယ်သို့ လက်ပြန် လက်ညှိုးညွှန်ခြင်း|လက်ချောင်း|လက်ညှိုး|လက်ညှိုးညွှန်ခြင်း|လက်ပြန်
	👈🏻;ဘယ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း − အသားဖြူရောင်;ဘယ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း|ဘယ်သို့ လက်ပြန် လက်ညှိုးညွှန်ခြင်း|လက်ချောင်း|လက်ညှိုး|လက်ညှိုးညွှန်ခြင်း|လက်ပြန်|အသားဖြူရောင်
	👈🏼;ဘယ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း − အသားနုရောင်;ဘယ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း|ဘယ်သို့ လက်ပြန် လက်ညှိုးညွှန်ခြင်း|လက်ချောင်း|လက်ညှိုး|လက်ညှိုးညွှန်ခြင်း|လက်ပြန်|အသားနုရောင်
	👈🏽;ဘယ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း − အသားလတ်ရောင်;ဘယ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း|ဘယ်သို့ လက်ပြန် လက်ညှိုးညွှန်ခြင်း|လက်ချောင်း|လက်ညှိုး|လက်ညှိုးညွှန်ခြင်း|လက်ပြန်|အသားလတ်ရောင်
	👈🏾;ဘယ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း − အသားညိုရောင်;ဘယ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း|ဘယ်သို့ လက်ပြန် လက်ညှိုးညွှန်ခြင်း|လက်ချောင်း|လက်ညှိုး|လက်ညှိုးညွှန်ခြင်း|လက်ပြန်|အသားညိုရောင်
	👈🏿;ဘယ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း − အသားမည်းရောင်;ဘယ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း|ဘယ်သို့ လက်ပြန် လက်ညှိုးညွှန်ခြင်း|လက်ချောင်း|လက်ညှိုး|လက်ညှိုးညွှန်ခြင်း|လက်ပြန်|အသားမည်းရောင်
👉;ညာသို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း;ညာသို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း|ညာသို့ လက်ပြန် လက်ညှိုးညွှန်ခြင်း|လက်ချောင်း|လက်ညှိုး|လက်ညှိုးညွှန်ခြင်း|လက်ပြန်
	👉🏻;ညာသို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း − အသားဖြူရောင်;ညာသို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း|ညာသို့ လက်ပြန် လက်ညှိုးညွှန်ခြင်း|လက်ချောင်း|လက်ညှိုး|လက်ညှိုးညွှန်ခြင်း|လက်ပြန်|အသားဖြူရောင်
	👉🏼;ညာသို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း − အသားနုရောင်;ညာသို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း|ညာသို့ လက်ပြန် လက်ညှိုးညွှန်ခြင်း|လက်ချောင်း|လက်ညှိုး|လက်ညှိုးညွှန်ခြင်း|လက်ပြန်|အသားနုရောင်
	👉🏽;ညာသို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း − အသားလတ်ရောင်;ညာသို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း|ညာသို့ လက်ပြန် လက်ညှိုးညွှန်ခြင်း|လက်ချောင်း|လက်ညှိုး|လက်ညှိုးညွှန်ခြင်း|လက်ပြန်|အသားလတ်ရောင်
	👉🏾;ညာသို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း − အသားညိုရောင်;ညာသို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း|ညာသို့ လက်ပြန် လက်ညှိုးညွှန်ခြင်း|လက်ချောင်း|လက်ညှိုး|လက်ညှိုးညွှန်ခြင်း|လက်ပြန်|အသားညိုရောင်
	👉🏿;ညာသို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း − အသားမည်းရောင်;ညာသို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း|ညာသို့ လက်ပြန် လက်ညှိုးညွှန်ခြင်း|လက်ချောင်း|လက်ညှိုး|လက်ညှိုးညွှန်ခြင်း|လက်ပြန်|အသားမည်းရောင်
👆;အပေါ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း;ညွှန်ပြ|လက်|လက်ချောင်း|လက်ပြန်|အပေါ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း|အပေါ်သို့ လက်ပြန် လက်ညှိုးညွှန်နေပုံ
	👆🏻;အပေါ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း − အသားဖြူရောင်;ညွှန်ပြ|လက်|လက်ချောင်း|လက်ပြန်|အပေါ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း|အပေါ်သို့ လက်ပြန် လက်ညှိုးညွှန်နေပုံ|အသားဖြူရောင်
	👆🏼;အပေါ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း − အသားနုရောင်;ညွှန်ပြ|လက်|လက်ချောင်း|လက်ပြန်|အပေါ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း|အပေါ်သို့ လက်ပြန် လက်ညှိုးညွှန်နေပုံ|အသားနုရောင်
	👆🏽;အပေါ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း − အသားလတ်ရောင်;ညွှန်ပြ|လက်|လက်ချောင်း|လက်ပြန်|အပေါ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း|အပေါ်သို့ လက်ပြန် လက်ညှိုးညွှန်နေပုံ|အသားလတ်ရောင်
	👆🏾;အပေါ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း − အသားညိုရောင်;ညွှန်ပြ|လက်|လက်ချောင်း|လက်ပြန်|အပေါ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း|အပေါ်သို့ လက်ပြန် လက်ညှိုးညွှန်နေပုံ|အသားညိုရောင်
	👆🏿;အပေါ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း − အသားမည်းရောင်;ညွှန်ပြ|လက်|လက်ချောင်း|လက်ပြန်|အပေါ်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း|အပေါ်သို့ လက်ပြန် လက်ညှိုးညွှန်နေပုံ|အသားမည်းရောင်
🖕;လက်ခလယ်;လက်|လက်ချောင်း|လက်ခလယ်
	🖕🏻;လက်ခလယ် − အသားဖြူရောင်;လက်|လက်ချောင်း|လက်ခလယ်|အသားဖြူရောင်
	🖕🏼;လက်ခလယ် − အသားနုရောင်;လက်|လက်ချောင်း|လက်ခလယ်|အသားနုရောင်
	🖕🏽;လက်ခလယ် − အသားလတ်ရောင်;လက်|လက်ချောင်း|လက်ခလယ်|အသားလတ်ရောင်
	🖕🏾;လက်ခလယ် − အသားညိုရောင်;လက်|လက်ချောင်း|လက်ခလယ်|အသားညိုရောင်
	🖕🏿;လက်ခလယ် − အသားမည်းရောင်;လက်|လက်ချောင်း|လက်ခလယ်|အသားမည်းရောင်
👇;အောက်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း;လက်|လက်ချောင်း|လက်ပြန်|လက်ပြန် အောက်သို့ လိုက်ညှိုးထိုးနေပုံ|အောက်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း
	👇🏻;အောက်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း − အသားဖြူရောင်;လက်|လက်ချောင်း|လက်ပြန်|လက်ပြန် အောက်သို့ လိုက်ညှိုးထိုးနေပုံ|အသားဖြူရောင်|အောက်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း
	👇🏼;အောက်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း − အသားနုရောင်;လက်|လက်ချောင်း|လက်ပြန်|လက်ပြန် အောက်သို့ လိုက်ညှိုးထိုးနေပုံ|အသားနုရောင်|အောက်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း
	👇🏽;အောက်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း − အသားလတ်ရောင်;လက်|လက်ချောင်း|လက်ပြန်|လက်ပြန် အောက်သို့ လိုက်ညှိုးထိုးနေပုံ|အသားလတ်ရောင်|အောက်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း
	👇🏾;အောက်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း − အသားညိုရောင်;လက်|လက်ချောင်း|လက်ပြန်|လက်ပြန် အောက်သို့ လိုက်ညှိုးထိုးနေပုံ|အသားညိုရောင်|အောက်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း
	👇🏿;အောက်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း − အသားမည်းရောင်;လက်|လက်ချောင်း|လက်ပြန်|လက်ပြန် အောက်သို့ လိုက်ညှိုးထိုးနေပုံ|အသားမည်းရောင်|အောက်သို့ ညွှန်ပြနေသည့် လက်ပြန် အညွှန်း
☝️;အပေါ်သို့ ညွှန်ပြနေသည့် အညွှန်း;လက်|လက်ချောင်း|လက်ညှိုး|လက်ညှိုးထောင်ခြင်း|အပေါ်သို့ ညွှန်ပြနေသည့် အညွှန်း
	☝🏻;အပေါ်သို့ ညွှန်ပြနေသည့် အညွှန်း − အသားဖြူရောင်;လက်|လက်ချောင်း|လက်ညှိုး|လက်ညှိုးထောင်ခြင်း|အပေါ်သို့ ညွှန်ပြနေသည့် အညွှန်း|အသားဖြူရောင်
	☝🏼;အပေါ်သို့ ညွှန်ပြနေသည့် အညွှန်း − အသားနုရောင်;လက်|လက်ချောင်း|လက်ညှိုး|လက်ညှိုးထောင်ခြင်း|အပေါ်သို့ ညွှန်ပြနေသည့် အညွှန်း|အသားနုရောင်
	☝🏽;အပေါ်သို့ ညွှန်ပြနေသည့် အညွှန်း − အသားလတ်ရောင်;လက်|လက်ချောင်း|လက်ညှိုး|လက်ညှိုးထောင်ခြင်း|အပေါ်သို့ ညွှန်ပြနေသည့် အညွှန်း|အသားလတ်ရောင်
	☝🏾;အပေါ်သို့ ညွှန်ပြနေသည့် အညွှန်း − အသားညိုရောင်;လက်|လက်ချောင်း|လက်ညှိုး|လက်ညှိုးထောင်ခြင်း|အပေါ်သို့ ညွှန်ပြနေသည့် အညွှန်း|အသားညိုရောင်
	☝🏿;အပေါ်သို့ ညွှန်ပြနေသည့် အညွှန်း − အသားမည်းရောင်;လက်|လက်ချောင်း|လက်ညှိုး|လက်ညှိုးထောင်ခြင်း|အပေါ်သို့ ညွှန်ပြနေသည့် အညွှန်း|အသားမည်းရောင်
🫵;ကြည့်သူဘက်လှည့်ပြီး လက်ညှိုးထိုးခြင်း;ကြည့်သူဘက်လှည့်ပြီး လက်ညှိုးထိုးခြင်း|ညွှန်ပြ|သင်
	🫵🏻;ကြည့်သူဘက်လှည့်ပြီး လက်ညှိုးထိုးခြင်း − အသားဖြူရောင်;ကြည့်သူဘက်လှည့်ပြီး လက်ညှိုးထိုးခြင်း|ညွှန်ပြ|သင်|အသားဖြူရောင်
	🫵🏼;ကြည့်သူဘက်လှည့်ပြီး လက်ညှိုးထိုးခြင်း − အသားနုရောင်;ကြည့်သူဘက်လှည့်ပြီး လက်ညှိုးထိုးခြင်း|ညွှန်ပြ|သင်|အသားနုရောင်
	🫵🏽;ကြည့်သူဘက်လှည့်ပြီး လက်ညှိုးထိုးခြင်း − အသားလတ်ရောင်;ကြည့်သူဘက်လှည့်ပြီး လက်ညှိုးထိုးခြင်း|ညွှန်ပြ|သင်|အသားလတ်ရောင်
	🫵🏾;ကြည့်သူဘက်လှည့်ပြီး လက်ညှိုးထိုးခြင်း − အသားညိုရောင်;ကြည့်သူဘက်လှည့်ပြီး လက်ညှိုးထိုးခြင်း|ညွှန်ပြ|သင်|အသားညိုရောင်
	🫵🏿;ကြည့်သူဘက်လှည့်ပြီး လက်ညှိုးထိုးခြင်း − အသားမည်းရောင်;ကြည့်သူဘက်လှည့်ပြီး လက်ညှိုးထိုးခြင်း|ညွှန်ပြ|သင်|အသားမည်းရောင်
👍;ထောင်ပြထားသည့် လက်မ;ထောင်ပြထားသည့် လက်မ|လက်|လက်မ|လက်မထောင်ပြနေသည့် လက်ဟန်
	👍🏻;ထောင်ပြထားသည့် လက်မ − အသားဖြူရောင်;ထောင်ပြထားသည့် လက်မ|လက်|လက်မ|လက်မထောင်ပြနေသည့် လက်ဟန်|အသားဖြူရောင်
	👍🏼;ထောင်ပြထားသည့် လက်မ − အသားနုရောင်;ထောင်ပြထားသည့် လက်မ|လက်|လက်မ|လက်မထောင်ပြနေသည့် လက်ဟန်|အသားနုရောင်
	👍🏽;ထောင်ပြထားသည့် လက်မ − အသားလတ်ရောင်;ထောင်ပြထားသည့် လက်မ|လက်|လက်မ|လက်မထောင်ပြနေသည့် လက်ဟန်|အသားလတ်ရောင်
	👍🏾;ထောင်ပြထားသည့် လက်မ − အသားညိုရောင်;ထောင်ပြထားသည့် လက်မ|လက်|လက်မ|လက်မထောင်ပြနေသည့် လက်ဟန်|အသားညိုရောင်
	👍🏿;ထောင်ပြထားသည့် လက်မ − အသားမည်းရောင်;ထောင်ပြထားသည့် လက်မ|လက်|လက်မ|လက်မထောင်ပြနေသည့် လက်ဟန်|အသားမည်းရောင်
👎;အောက်သို့ပြနေသည့် လက်မ;လက်|လက်မ|လက်မ အောက်စိုက်ပြနေသည့် လက်ဟန်|အောက်သို့ပြနေသည့် လက်မ
	👎🏻;အောက်သို့ပြနေသည့် လက်မ − အသားဖြူရောင်;လက်|လက်မ|လက်မ အောက်စိုက်ပြနေသည့် လက်ဟန်|အသားဖြူရောင်|အောက်သို့ပြနေသည့် လက်မ
	👎🏼;အောက်သို့ပြနေသည့် လက်မ − အသားနုရောင်;လက်|လက်မ|လက်မ အောက်စိုက်ပြနေသည့် လက်ဟန်|အသားနုရောင်|အောက်သို့ပြနေသည့် လက်မ
	👎🏽;အောက်သို့ပြနေသည့် လက်မ − အသားလတ်ရောင်;လက်|လက်မ|လက်မ အောက်စိုက်ပြနေသည့် လက်ဟန်|အသားလတ်ရောင်|အောက်သို့ပြနေသည့် လက်မ
	👎🏾;အောက်သို့ပြနေသည့် လက်မ − အသားညိုရောင်;လက်|လက်မ|လက်မ အောက်စိုက်ပြနေသည့် လက်ဟန်|အသားညိုရောင်|အောက်သို့ပြနေသည့် လက်မ
	👎🏿;အောက်သို့ပြနေသည့် လက်မ − အသားမည်းရောင်;လက်|လက်မ|လက်မ အောက်စိုက်ပြနေသည့် လက်ဟန်|အသားမည်းရောင်|အောက်သို့ပြနေသည့် လက်မ
✊;မြှောက်ပြထားသည့် လက်သီး;မြှောက်ပြထားသည့် လက်သီး|လက်|လက်သီးဆုပ်|လက်သီးဆုပ် မြှောက်ပြနေသည့်ဟန်
	✊🏻;မြှောက်ပြထားသည့် လက်သီး − အသားဖြူရောင်;မြှောက်ပြထားသည့် လက်သီး|လက်|လက်သီးဆုပ်|လက်သီးဆုပ် မြှောက်ပြနေသည့်ဟန်|အသားဖြူရောင်
	✊🏼;မြှောက်ပြထားသည့် လက်သီး − အသားနုရောင်;မြှောက်ပြထားသည့် လက်သီး|လက်|လက်သီးဆုပ်|လက်သီးဆုပ် မြှောက်ပြနေသည့်ဟန်|အသားနုရောင်
	✊🏽;မြှောက်ပြထားသည့် လက်သီး − အသားလတ်ရောင်;မြှောက်ပြထားသည့် လက်သီး|လက်|လက်သီးဆုပ်|လက်သီးဆုပ် မြှောက်ပြနေသည့်ဟန်|အသားလတ်ရောင်
	✊🏾;မြှောက်ပြထားသည့် လက်သီး − အသားညိုရောင်;မြှောက်ပြထားသည့် လက်သီး|လက်|လက်သီးဆုပ်|လက်သီးဆုပ် မြှောက်ပြနေသည့်ဟန်|အသားညိုရောင်
	✊🏿;မြှောက်ပြထားသည့် လက်သီး − အသားမည်းရောင်;မြှောက်ပြထားသည့် လက်သီး|လက်|လက်သီးဆုပ်|လက်သီးဆုပ် မြှောက်ပြနေသည့်ဟန်|အသားမည်းရောင်
👊;ရင်ဆိုင်ရတော့မည့် လက်သီး;ရင်ဆိုင်ရတော့မည့် လက်သီး|လက်|လက်သီး|လက်သီးဆုပ်|လက်သီးထိုးဟန်
	👊🏻;ရင်ဆိုင်ရတော့မည့် လက်သီး − အသားဖြူရောင်;ရင်ဆိုင်ရတော့မည့် လက်သီး|လက်|လက်သီး|လက်သီးဆုပ်|လက်သီးထိုးဟန်|အသားဖြူရောင်
	👊🏼;ရင်ဆိုင်ရတော့မည့် လက်သီး − အသားနုရောင်;ရင်ဆိုင်ရတော့မည့် လက်သီး|လက်|လက်သီး|လက်သီးဆုပ်|လက်သီးထိုးဟန်|အသားနုရောင်
	👊🏽;ရင်ဆိုင်ရတော့မည့် လက်သီး − အသားလတ်ရောင်;ရင်ဆိုင်ရတော့မည့် လက်သီး|လက်|လက်သီး|လက်သီးဆုပ်|လက်သီးထိုးဟန်|အသားလတ်ရောင်
	👊🏾;ရင်ဆိုင်ရတော့မည့် လက်သီး − အသားညိုရောင်;ရင်ဆိုင်ရတော့မည့် လက်သီး|လက်|လက်သီး|လက်သီးဆုပ်|လက်သီးထိုးဟန်|အသားညိုရောင်
	👊🏿;ရင်ဆိုင်ရတော့မည့် လက်သီး − အသားမည်းရောင်;ရင်ဆိုင်ရတော့မည့် လက်သီး|လက်|လက်သီး|လက်သီးဆုပ်|လက်သီးထိုးဟန်|အသားမည်းရောင်
🤛;ဘယ်ပြ ညာလက်သီး;ဘယ်ပြ ညာလက်သီး|ဘယ်ဝိုက်|လက်သီး
	🤛🏻;ဘယ်ပြ ညာလက်သီး − အသားဖြူရောင်;ဘယ်ပြ ညာလက်သီး|ဘယ်ဝိုက်|လက်သီး|အသားဖြူရောင်
	🤛🏼;ဘယ်ပြ ညာလက်သီး − အသားနုရောင်;ဘယ်ပြ ညာလက်သီး|ဘယ်ဝိုက်|လက်သီး|အသားနုရောင်
	🤛🏽;ဘယ်ပြ ညာလက်သီး − အသားလတ်ရောင်;ဘယ်ပြ ညာလက်သီး|ဘယ်ဝိုက်|လက်သီး|အသားလတ်ရောင်
	🤛🏾;ဘယ်ပြ ညာလက်သီး − အသားညိုရောင်;ဘယ်ပြ ညာလက်သီး|ဘယ်ဝိုက်|လက်သီး|အသားညိုရောင်
	🤛🏿;ဘယ်ပြ ညာလက်သီး − အသားမည်းရောင်;ဘယ်ပြ ညာလက်သီး|ဘယ်ဝိုက်|လက်သီး|အသားမည်းရောင်
🤜;ညာပြ ဘယ်လက်သီး;ညာပြ ဘယ်လက်သီး|ညာဝိုက်|လက်သီး
	🤜🏻;ညာပြ ဘယ်လက်သီး − အသားဖြူရောင်;ညာပြ ဘယ်လက်သီး|ညာဝိုက်|လက်သီး|အသားဖြူရောင်
	🤜🏼;ညာပြ ဘယ်လက်သီး − အသားနုရောင်;ညာပြ ဘယ်လက်သီး|ညာဝိုက်|လက်သီး|အသားနုရောင်
	🤜🏽;ညာပြ ဘယ်လက်သီး − အသားလတ်ရောင်;ညာပြ ဘယ်လက်သီး|ညာဝိုက်|လက်သီး|အသားလတ်ရောင်
	🤜🏾;ညာပြ ဘယ်လက်သီး − အသားညိုရောင်;ညာပြ ဘယ်လက်သီး|ညာဝိုက်|လက်သီး|အသားညိုရောင်
	🤜🏿;ညာပြ ဘယ်လက်သီး − အသားမည်းရောင်;ညာပြ ဘယ်လက်သီး|ညာဝိုက်|လက်သီး|အသားမည်းရောင်
👏;လက်ခုပ်တီးနေသည့် လက်များ;လက်|လက်ခုပ်|လက်ခုပ်တီး|လက်ခုပ်တီးနေသည့် လက်များ
	👏🏻;လက်ခုပ်တီးနေသည့် လက်များ − အသားဖြူရောင်;လက်|လက်ခုပ်|လက်ခုပ်တီး|လက်ခုပ်တီးနေသည့် လက်များ|အသားဖြူရောင်
	👏🏼;လက်ခုပ်တီးနေသည့် လက်များ − အသားနုရောင်;လက်|လက်ခုပ်|လက်ခုပ်တီး|လက်ခုပ်တီးနေသည့် လက်များ|အသားနုရောင်
	👏🏽;လက်ခုပ်တီးနေသည့် လက်များ − အသားလတ်ရောင်;လက်|လက်ခုပ်|လက်ခုပ်တီး|လက်ခုပ်တီးနေသည့် လက်များ|အသားလတ်ရောင်
	👏🏾;လက်ခုပ်တီးနေသည့် လက်များ − အသားညိုရောင်;လက်|လက်ခုပ်|လက်ခုပ်တီး|လက်ခုပ်တီးနေသည့် လက်များ|အသားညိုရောင်
	👏🏿;လက်ခုပ်တီးနေသည့် လက်များ − အသားမည်းရောင်;လက်|လက်ခုပ်|လက်ခုပ်တီး|လက်ခုပ်တီးနေသည့် လက်များ|အသားမည်းရောင်
