# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;दाँत दिखाता चेहरा;खीस|खुश|चेहरा|दाँत दिखाता चेहरा|मजाकिया
	🙎🏿‍♂️;होठ निकाला हुआ पुरुष: साँवली त्वचा;आदमी|इशारा|इशारे|पुरुष|साँवली त्वचा|होठ निकाला|होठ निकाला हुआ पुरुष
🙎‍♀️;होठ निकली हुई महिला;इशारा|औरत|महिला|होठ निकली हुई महिला|होठ निकाला
	🙎🏻‍♀️;होठ निकली हुई महिला: गोरी त्वचा;इशारा|औरत|गोरी त्वचा|महिला|होठ निकली हुई महिला|होठ निकाला
	🙎🏼‍♀️;होठ निकली हुई महिला: हल्की गोरी त्वचा;इशारा|औरत|महिला|हल्की गोरी त्वचा|होठ निकली हुई महिला|होठ निकाला
	🙎🏽‍♀️;होठ निकली हुई महिला: गेहुँआ त्वचा;इशारा|औरत|गेहुँआ त्वचा|महिला|होठ निकली हुई महिला|होठ निकाला
	🙎🏾‍♀️;होठ निकली हुई महिला: हल्की साँवली त्वचा;इशारा|औरत|महिला|हल्की साँवली त्वचा|होठ निकली हुई महिला|होठ निकाला
	🙎🏿‍♀️;होठ निकली हुई महिला: साँवली त्वचा;इशारा|औरत|महिला|साँवली त्वचा|होठ निकली हुई महिला|होठ निकाला
🙅;नहीं कहता हुआ व्यक्ति;कुछ अच्छा नहीं है भाव|कुछ ठीक नहीं|चेहरा|नहीं|नहीं कहता हुआ व्यक्ति|निषिद्ध|बिल्कुल नहीं|मना करने का इशारा|हाथ|हावभाव
	🙅🏻;नहीं कहता हुआ व्यक्ति: गोरी त्वचा;कुछ अच्छा नहीं है भाव|कुछ ठीक नहीं|गोरी त्वचा|चेहरा|नहीं|नहीं कहता हुआ व्यक्ति|निषिद्ध|बिल्कुल नहीं|मना करने का इशारा|हाथ|हावभाव
	🙅🏼;नहीं कहता हुआ व्यक्ति: हल्की गोरी त्वचा;कुछ अच्छा नहीं है भाव|कुछ ठीक नहीं|चेहरा|नहीं|नहीं कहता हुआ व्यक्ति|निषिद्ध|बिल्कुल नहीं|मना करने का इशारा|हल्की गोरी त्वचा|हाथ|हावभाव
	🙅🏽;नहीं कहता हुआ व्यक्ति: गेहुँआ त्वचा;कुछ अच्छा नहीं है भाव|कुछ ठीक नहीं|गेहुँआ त्वचा|चेहरा|नहीं|नहीं कहता हुआ व्यक्ति|निषिद्ध|बिल्कुल नहीं|मना करने का इशारा|हाथ|हावभाव
	🙅🏾;नहीं कहता हुआ व्यक्ति: हल्की साँवली त्वचा;कुछ अच्छा नहीं है भाव|कुछ ठीक नहीं|चेहरा|नहीं|नहीं कहता हुआ व्यक्ति|निषिद्ध|बिल्कुल नहीं|मना करने का इशारा|हल्की साँवली त्वचा|हाथ|हावभाव
	🙅🏿;नहीं कहता हुआ व्यक्ति: साँवली त्वचा;कुछ अच्छा नहीं है भाव|कुछ ठीक नहीं|चेहरा|नहीं|नहीं कहता हुआ व्यक्ति|निषिद्ध|बिल्कुल नहीं|मना करने का इशारा|साँवली त्वचा|हाथ|हावभाव
🙅‍♂️;नहीं कहता हुआ पुरुष;आदमी|इशारा|कोई|ठीक नहीं|नहीं|नहीं कहता हुआ पुरुष|ना|निषिद्ध|पुरुष|मना करना|मना किया|हाथ
	🙅🏻‍♂️;नहीं कहता हुआ पुरुष: गोरी त्वचा;आदमी|इशारा|कोई|गोरी त्वचा|ठीक नहीं|नहीं|नहीं कहता हुआ पुरुष|ना|निषिद्ध|पुरुष|मना करना|मना किया|हाथ
	🙅🏼‍♂️;नहीं कहता हुआ पुरुष: हल्की गोरी त्वचा;आदमी|इशारा|कोई|ठीक नहीं|नहीं|नहीं कहता हुआ पुरुष|ना|निषिद्ध|पुरुष|मना करना|मना किया|हल्की गोरी त्वचा|हाथ
	🙅🏽‍♂️;नहीं कहता हुआ पुरुष: गेहुँआ त्वचा;आदमी|इशारा|कोई|गेहुँआ त्वचा|ठीक नहीं|नहीं|नहीं कहता हुआ पुरुष|ना|निषिद्ध|पुरुष|मना करना|मना किया|हाथ
	🙅🏾‍♂️;नहीं कहता हुआ पुरुष: हल्की साँवली त्वचा;आदमी|इशारा|कोई|ठीक नहीं|नहीं|नहीं कहता हुआ पुरुष|ना|निषिद्ध|पुरुष|मना करना|मना किया|हल्की साँवली त्वचा|हाथ
	🙅🏿‍♂️;नहीं कहता हुआ पुरुष: साँवली त्वचा;आदमी|इशारा|कोई|ठीक नहीं|नहीं|नहीं कहता हुआ पुरुष|ना|निषिद्ध|पुरुष|मना करना|मना किया|साँवली त्वचा|हाथ
🙅‍♀️;नहीं कहती हुई महिला;इशारा|कोई|ठीक नहीं|नहीं कहती हुई महिला|निषिद्ध|मना किया|महिला|हाथ
	🙅🏻‍♀️;नहीं कहती हुई महिला: गोरी त्वचा;इशारा|कोई|गोरी त्वचा|ठीक नहीं|नहीं कहती हुई महिला|निषिद्ध|मना किया|महिला|हाथ
	🙅🏼‍♀️;नहीं कहती हुई महिला: हल्की गोरी त्वचा;इशारा|कोई|ठीक नहीं|नहीं कहती हुई महिला|निषिद्ध|मना किया|महिला|हल्की गोरी त्वचा|हाथ
	🙅🏽‍♀️;नहीं कहती हुई महिला: गेहुँआ त्वचा;इशारा|कोई|गेहुँआ त्वचा|ठीक नहीं|नहीं कहती हुई महिला|निषिद्ध|मना किया|महिला|हाथ
	🙅🏾‍♀️;नहीं कहती हुई महिला: हल्की साँवली त्वचा;इशारा|कोई|ठीक नहीं|नहीं कहती हुई महिला|निषिद्ध|मना किया|महिला|हल्की साँवली त्वचा|हाथ
	🙅🏿‍♀️;नहीं कहती हुई महिला: साँवली त्वचा;इशारा|कोई|ठीक नहीं|नहीं कहती हुई महिला|निषिद्ध|मना किया|महिला|साँवली त्वचा|हाथ
🙆;ठीक है कहता हुआ व्यक्ति;इशारा|एक्सरसाइज़|ओके|चेहरा|ठीक भाव|ठीक है|ठीक है कहता हुआ व्यक्ति|व्यायाम|सिर पर हाथ|हाथ|हावभाव
	🙆🏻;ठीक है कहता हुआ व्यक्ति: गोरी त्वचा;इशारा|एक्सरसाइज़|ओके|गोरी त्वचा|चेहरा|ठीक भाव|ठीक है|ठीक है कहता हुआ व्यक्ति|व्यायाम|सिर पर हाथ|हाथ|हावभाव
	🙆🏼;ठीक है कहता हुआ व्यक्ति: हल्की गोरी त्वचा;इशारा|एक्सरसाइज़|ओके|चेहरा|ठीक भाव|ठीक है|ठीक है कहता हुआ व्यक्ति|व्यायाम|सिर पर हाथ|हल्की गोरी त्वचा|हाथ|हावभाव
	🙆🏽;ठीक है कहता हुआ व्यक्ति: गेहुँआ त्वचा;इशारा|एक्सरसाइज़|ओके|गेहुँआ त्वचा|चेहरा|ठीक भाव|ठीक है|ठीक है कहता हुआ व्यक्ति|व्यायाम|सिर पर हाथ|हाथ|हावभाव
	🙆🏾;ठीक है कहता हुआ व्यक्ति: हल्की साँवली त्वचा;इशारा|एक्सरसाइज़|ओके|चेहरा|ठीक भाव|ठीक है|ठीक है कहता हुआ व्यक्ति|व्यायाम|सिर पर हाथ|हल्की साँवली त्वचा|हाथ|हावभाव
	🙆🏿;ठीक है कहता हुआ व्यक्ति: साँवली त्वचा;इशारा|एक्सरसाइज़|ओके|चेहरा|ठीक भाव|ठीक है|ठीक है कहता हुआ व्यक्ति|व्यायाम|साँवली त्वचा|सिर पर हाथ|हाथ|हावभाव
🙆‍♂️;ठीक है कहता हुआ पुरुष;आदमी|इशारा|ठीक|ठीक है|ठीक है कहता हुआ पुरुष|ठीक है का संकेत देता पुरुष|पुरुष|व्यायाम|हाथ
	🙆🏻‍♂️;ठीक है कहता हुआ पुरुष: गोरी त्वचा;आदमी|इशारा|गोरी त्वचा|ठीक|ठीक है|ठीक है कहता हुआ पुरुष|ठीक है का संकेत देता पुरुष|पुरुष|व्यायाम|हाथ
	🙆🏼‍♂️;ठीक है कहता हुआ पुरुष: हल्की गोरी त्वचा;आदमी|इशारा|ठीक|ठीक है|ठीक है कहता हुआ पुरुष|ठीक है का संकेत देता पुरुष|पुरुष|व्यायाम|हल्की गोरी त्वचा|हाथ
	🙆🏽‍♂️;ठीक है कहता हुआ पुरुष: गेहुँआ त्वचा;आदमी|इशारा|गेहुँआ त्वचा|ठीक|ठीक है|ठीक है कहता हुआ पुरुष|ठीक है का संकेत देता पुरुष|पुरुष|व्यायाम|हाथ
	🙆🏾‍♂️;ठीक है कहता हुआ पुरुष: हल्की साँवली त्वचा;आदमी|इशारा|ठीक|ठीक है|ठीक है कहता हुआ पुरुष|ठीक है का संकेत देता पुरुष|पुरुष|व्यायाम|हल्की साँवली त्वचा|हाथ
	🙆🏿‍♂️;ठीक है कहता हुआ पुरुष: साँवली त्वचा;आदमी|इशारा|ठीक|ठीक है|ठीक है कहता हुआ पुरुष|ठीक है का संकेत देता पुरुष|पुरुष|व्यायाम|साँवली त्वचा|हाथ
🙆‍♀️;ठीक है कहती हुई महिला;इशारा|ठीक|ठीक है कहती हुई महिला|महिला|हाथ
	🙆🏻‍♀️;ठीक है कहती हुई महिला: गोरी त्वचा;इशारा|गोरी त्वचा|ठीक|ठीक है कहती हुई महिला|महिला|हाथ
	🙆🏼‍♀️;ठीक है कहती हुई महिला: हल्की गोरी त्वचा;इशारा|ठीक|ठीक है कहती हुई महिला|महिला|हल्की गोरी त्वचा|हाथ
	🙆🏽‍♀️;ठीक है कहती हुई महिला: गेहुँआ त्वचा;इशारा|गेहुँआ त्वचा|ठीक|ठीक है कहती हुई महिला|महिला|हाथ
	🙆🏾‍♀️;ठीक है कहती हुई महिला: हल्की साँवली त्वचा;इशारा|ठीक|ठीक है कहती हुई महिला|महिला|हल्की साँवली त्वचा|हाथ
	🙆🏿‍♀️;ठीक है कहती हुई महिला: साँवली त्वचा;इशारा|ठीक|ठीक है कहती हुई महिला|महिला|साँवली त्वचा|हाथ
💁;सूचना केंद्र का व्यक्ति;मज़ाक|लोग|व्यंग्य|सहायता|सूचना|सूचना केंद्र|सूचना केंद्र का व्यक्ति|हाथ|हाथ से इशारा|हाथ हिलाती महिला
	💁🏻;सूचना केंद्र का व्यक्ति: गोरी त्वचा;गोरी त्वचा|मज़ाक|लोग|व्यंग्य|सहायता|सूचना|सूचना केंद्र|सूचना केंद्र का व्यक्ति|हाथ|हाथ से इशारा|हाथ हिलाती महिला
	💁🏼;सूचना केंद्र का व्यक्ति: हल्की गोरी त्वचा;मज़ाक|लोग|व्यंग्य|सहायता|सूचना|सूचना केंद्र|सूचना केंद्र का व्यक्ति|हल्की गोरी त्वचा|हाथ|हाथ से इशारा|हाथ हिलाती महिला
	💁🏽;सूचना केंद्र का व्यक्ति: गेहुँआ त्वचा;गेहुँआ त्वचा|मज़ाक|लोग|व्यंग्य|सहायता|सूचना|सूचना केंद्र|सूचना केंद्र का व्यक्ति|हाथ|हाथ से इशारा|हाथ हिलाती महिला
	💁🏾;सूचना केंद्र का व्यक्ति: हल्की साँवली त्वचा;मज़ाक|लोग|व्यंग्य|सहायता|सूचना|सूचना केंद्र|सूचना केंद्र का व्यक्ति|हल्की साँवली त्वचा|हाथ|हाथ से इशारा|हाथ हिलाती महिला
	💁🏿;सूचना केंद्र का व्यक्ति: साँवली त्वचा;मज़ाक|लोग|व्यंग्य|सहायता|साँवली त्वचा|सूचना|सूचना केंद्र|सूचना केंद्र का व्यक्ति|हाथ|हाथ से इशारा|हाथ हिलाती महिला
💁‍♂️;सूचना देता पुरुष;जानकारी|टिपिंग|पुरुष|व्यंग्य|व्यंग्यात्मक|सूचना|सूचना देता पुरुष|सॅसी|हाथ
	💁🏻‍♂️;सूचना देता पुरुष: गोरी त्वचा;गोरी त्वचा|जानकारी|टिपिंग|पुरुष|व्यंग्य|व्यंग्यात्मक|सूचना|सूचना देता पुरुष|सॅसी|हाथ
	💁🏼‍♂️;सूचना देता पुरुष: हल्की गोरी त्वचा;जानकारी|टिपिंग|पुरुष|व्यंग्य|व्यंग्यात्मक|सूचना|सूचना देता पुरुष|सॅसी|हल्की गोरी त्वचा|हाथ
	💁🏽‍♂️;सूचना देता पुरुष: गेहुँआ त्वचा;गेहुँआ त्वचा|जानकारी|टिपिंग|पुरुष|व्यंग्य|व्यंग्यात्मक|सूचना|सूचना देता पुरुष|सॅसी|हाथ
	💁🏾‍♂️;सूचना देता पुरुष: हल्की साँवली त्वचा;जानकारी|टिपिंग|पुरुष|व्यंग्य|व्यंग्यात्मक|सूचना|सूचना देता पुरुष|सॅसी|हल्की साँवली त्वचा|हाथ
	💁🏿‍♂️;सूचना देता पुरुष: साँवली त्वचा;जानकारी|टिपिंग|पुरुष|व्यंग्य|व्यंग्यात्मक|साँवली त्वचा|सूचना|सूचना देता पुरुष|सॅसी|हाथ
💁‍♀️;सूचना देती महिला;औरत|टिपिंग|महिला|सूचना देती महिला|सॅसी
	💁🏻‍♀️;सूचना देती महिला: गोरी त्वचा;औरत|गोरी त्वचा|टिपिंग|महिला|सूचना देती महिला|सॅसी
	💁🏼‍♀️;सूचना देती महिला: हल्की गोरी त्वचा;औरत|टिपिंग|महिला|सूचना देती महिला|सॅसी|हल्की गोरी त्वचा
	💁🏽‍♀️;सूचना देती महिला: गेहुँआ त्वचा;औरत|गेहुँआ त्वचा|टिपिंग|महिला|सूचना देती महिला|सॅसी
	💁🏾‍♀️;सूचना देती महिला: हल्की साँवली त्वचा;औरत|टिपिंग|महिला|सूचना देती महिला|सॅसी|हल्की साँवली त्वचा
	💁🏿‍♀️;सूचना देती महिला: साँवली त्वचा;औरत|टिपिंग|महिला|साँवली त्वचा|सूचना देती महिला|सॅसी
🙋;हाथ उठाता खुश व्यक्ति;खुश|खुशी|मैं इधर हूँ|व्यक्ति|सवाल|हाथ|हाथ उठाता खुश व्यक्ति|हाथ उठाता व्यक्ति|हाथ उठाती महिला|हाथ उठाना|हाथ से इशारा|हावभाव
	🙋🏻;हाथ उठाता खुश व्यक्ति: गोरी त्वचा;खुश|खुशी|गोरी त्वचा|मैं इधर हूँ|व्यक्ति|सवाल|हाथ|हाथ उठाता खुश व्यक्ति|हाथ उठाता व्यक्ति|हाथ उठाती महिला|हाथ उठाना|हाथ से इशारा|हावभाव
	🙋🏼;हाथ उठाता खुश व्यक्ति: हल्की गोरी त्वचा;खुश|खुशी|मैं इधर हूँ|व्यक्ति|सवाल|हल्की गोरी त्वचा|हाथ|हाथ उठाता खुश व्यक्ति|हाथ उठाता व्यक्ति|हाथ उठाती महिला|हाथ उठाना|हाथ से इशारा|हावभाव
	🙋🏽;हाथ उठाता खुश व्यक्ति: गेहुँआ त्वचा;खुश|खुशी|गेहुँआ त्वचा|मैं इधर हूँ|व्यक्ति|सवाल|हाथ|हाथ उठाता खुश व्यक्ति|हाथ उठाता व्यक्ति|हाथ उठाती महिला|हाथ उठाना|हाथ से इशारा|हावभाव
	🙋🏾;हाथ उठाता खुश व्यक्ति: हल्की साँवली त्वचा;खुश|खुशी|मैं इधर हूँ|व्यक्ति|सवाल|हल्की साँवली त्वचा|हाथ|हाथ उठाता खुश व्यक्ति|हाथ उठाता व्यक्ति|हाथ उठाती महिला|हाथ उठाना|हाथ से इशारा|हावभाव
	🙋🏿;हाथ उठाता खुश व्यक्ति: साँवली त्वचा;खुश|खुशी|मैं इधर हूँ|व्यक्ति|सवाल|साँवली त्वचा|हाथ|हाथ उठाता खुश व्यक्ति|हाथ उठाता व्यक्ति|हाथ उठाती महिला|हाथ उठाना|हाथ से इशारा|हावभाव
🙋‍♂️;हाथ उठाया हुआ पुरुष;आदमी|इशारा|ऊपर उठा हाथ|पुरुष|प्रश्न|हाथ|हाथ उठाया हुआ पुरुष|हाथ ऊपर उठाना
	🙋🏻‍♂️;हाथ उठाया हुआ पुरुष: गोरी त्वचा;आदमी|इशारा|ऊपर उठा हाथ|गोरी त्वचा|पुरुष|प्रश्न|हाथ|हाथ उठाया हुआ पुरुष|हाथ ऊपर उठाना
	🙋🏼‍♂️;हाथ उठाया हुआ पुरुष: हल्की गोरी त्वचा;आदमी|इशारा|ऊपर उठा हाथ|पुरुष|प्रश्न|हल्की गोरी त्वचा|हाथ|हाथ उठाया हुआ पुरुष|हाथ ऊपर उठाना
	🙋🏽‍♂️;हाथ उठाया हुआ पुरुष: गेहुँआ त्वचा;आदमी|इशारा|ऊपर उठा हाथ|गेहुँआ त्वचा|पुरुष|प्रश्न|हाथ|हाथ उठाया हुआ पुरुष|हाथ ऊपर उठाना
	🙋🏾‍♂️;हाथ उठाया हुआ पुरुष: हल्की साँवली त्वचा;आदमी|इशारा|ऊपर उठा हाथ|पुरुष|प्रश्न|हल्की साँवली त्वचा|हाथ|हाथ उठाया हुआ पुरुष|हाथ ऊपर उठाना
	🙋🏿‍♂️;हाथ उठाया हुआ पुरुष: साँवली त्वचा;आदमी|इशारा|ऊपर उठा हाथ|पुरुष|प्रश्न|साँवली त्वचा|हाथ|हाथ उठाया हुआ पुरुष|हाथ ऊपर उठाना
🙋‍♀️;हाथ उठाई हुई महिला;इशारा|महिला|हाथ उठाई हुई महिला|हाथ उठाने
	🙋🏻‍♀️;हाथ उठाई हुई महिला: गोरी त्वचा;इशारा|गोरी त्वचा|महिला|हाथ उठाई हुई महिला|हाथ उठाने
	🙋🏼‍♀️;हाथ उठाई हुई महिला: हल्की गोरी त्वचा;इशारा|महिला|हल्की गोरी त्वचा|हाथ उठाई हुई महिला|हाथ उठाने
	🙋🏽‍♀️;हाथ उठाई हुई महिला: गेहुँआ त्वचा;इशारा|गेहुँआ त्वचा|महिला|हाथ उठाई हुई महिला|हाथ उठाने
	🙋🏾‍♀️;हाथ उठाई हुई महिला: हल्की साँवली त्वचा;इशारा|महिला|हल्की साँवली त्वचा|हाथ उठाई हुई महिला|हाथ उठाने
	🙋🏿‍♀️;हाथ उठाई हुई महिला: साँवली त्वचा;इशारा|महिला|साँवली त्वचा|हाथ उठाई हुई महिला|हाथ उठाने
🧏;बहरा व्यक्ति;कान|कान से सुनना|दिव्यांग|दिव्यांग व्यक्ति|न सुनना|बहरा|बहरा व्यक्ति|बहरापन|सुनना|सुनाई नहीं देता
	🧏🏻;बहरा व्यक्ति: गोरी त्वचा;कान|कान से सुनना|गोरी त्वचा|दिव्यांग|दिव्यांग व्यक्ति|न सुनना|बहरा|बहरा व्यक्ति|बहरापन|सुनना|सुनाई नहीं देता
	🧏🏼;बहरा व्यक्ति: हल्की गोरी त्वचा;कान|कान से सुनना|दिव्यांग|दिव्यांग व्यक्ति|न सुनना|बहरा|बहरा व्यक्ति|बहरापन|सुनना|सुनाई नहीं देता|हल्की गोरी त्वचा
	🧏🏽;बहरा व्यक्ति: गेहुँआ त्वचा;कान|कान से सुनना|गेहुँआ त्वचा|दिव्यांग|दिव्यांग व्यक्ति|न सुनना|बहरा|बहरा व्यक्ति|बहरापन|सुनना|सुनाई नहीं देता
	🧏🏾;बहरा व्यक्ति: हल्की साँवली त्वचा;कान|कान से सुनना|दिव्यांग|दिव्यांग व्यक्ति|न सुनना|बहरा|बहरा व्यक्ति|बहरापन|सुनना|सुनाई नहीं देता|हल्की साँवली त्वचा
	🧏🏿;बहरा व्यक्ति: साँवली त्वचा;कान|कान से सुनना|दिव्यांग|दिव्यांग व्यक्ति|न सुनना|बहरा|बहरा व्यक्ति|बहरापन|साँवली त्वचा|सुनना|सुनाई नहीं देता
🧏‍♂️;बहरा आदमी;कान|कान से सुनना|न सुनना|बहरा|बहरा आदमी|सुनना
	🧏🏻‍♂️;बहरा आदमी: गोरी त्वचा;कान|कान से सुनना|गोरी त्वचा|न सुनना|बहरा|बहरा आदमी|सुनना
	🧏🏼‍♂️;बहरा आदमी: हल्की गोरी त्वचा;कान|कान से सुनना|न सुनना|बहरा|बहरा आदमी|सुनना|हल्की गोरी त्वचा
	🧏🏽‍♂️;बहरा आदमी: गेहुँआ त्वचा;कान|कान से सुनना|गेहुँआ त्वचा|न सुनना|बहरा|बहरा आदमी|सुनना
	🧏🏾‍♂️;बहरा आदमी: हल्की साँवली त्वचा;कान|कान से सुनना|न सुनना|बहरा|बहरा आदमी|सुनना|हल्की साँवली त्वचा
	🧏🏿‍♂️;बहरा आदमी: साँवली त्वचा;कान|कान से सुनना|न सुनना|बहरा|बहरा आदमी|साँवली त्वचा|सुनना
🧏‍♀️;बहरी औरत;कान|कान से सुनना|न सुनना|बहरा|बहरी औरत|सुनना
	🧏🏻‍♀️;बहरी औरत: गोरी त्वचा;कान|कान से सुनना|गोरी त्वचा|न सुनना|बहरा|बहरी औरत|सुनना
	🧏🏼‍♀️;बहरी औरत: हल्की गोरी त्वचा;कान|कान से सुनना|न सुनना|बहरा|बहरी औरत|सुनना|हल्की गोरी त्वचा
	🧏🏽‍♀️;बहरी औरत: गेहुँआ त्वचा;कान|कान से सुनना|गेहुँआ त्वचा|न सुनना|बहरा|बहरी औरत|सुनना
	🧏🏾‍♀️;बहरी औरत: हल्की साँवली त्वचा;कान|कान से सुनना|न सुनना|बहरा|बहरी औरत|सुनना|हल्की साँवली त्वचा
	🧏🏿‍♀️;बहरी औरत: साँवली त्वचा;कान|कान से सुनना|न सुनना|बहरा|बहरी औरत|साँवली त्वचा|सुनना
🙇;झुका हुआ व्यक्ति;क्षमा करें|घुटनों पर बैठना|झुका हुआ व्यक्ति|ध्यान|पछतावा|पूरी तरह झुकना|माफ़ करें|माफ़ी|मुझे क्षमा करें|व्यक्ति|सिर झुकाना|सॉरी|हावभाव
	🙇🏻;झुका हुआ व्यक्ति: गोरी त्वचा;क्षमा करें|गोरी त्वचा|घुटनों पर बैठना|झुका हुआ व्यक्ति|ध्यान|पछतावा|पूरी तरह झुकना|माफ़ करें|माफ़ी|मुझे क्षमा करें|व्यक्ति|सिर झुकाना|सॉरी|हावभाव
	🙇🏼;झुका हुआ व्यक्ति: हल्की गोरी त्वचा;क्षमा करें|घुटनों पर बैठना|झुका हुआ व्यक्ति|ध्यान|पछतावा|पूरी तरह झुकना|माफ़ करें|माफ़ी|मुझे क्षमा करें|व्यक्ति|सिर झुकाना|सॉरी|हल्की गोरी त्वचा|हावभाव
	🙇🏽;झुका हुआ व्यक्ति: गेहुँआ त्वचा;क्षमा करें|गेहुँआ त्वचा|घुटनों पर बैठना|झुका हुआ व्यक्ति|ध्यान|पछतावा|पूरी तरह झुकना|माफ़ करें|माफ़ी|मुझे क्षमा करें|व्यक्ति|सिर झुकाना|सॉरी|हावभाव
	🙇🏾;झुका हुआ व्यक्ति: हल्की साँवली त्वचा;क्षमा करें|घुटनों पर बैठना|झुका हुआ व्यक्ति|ध्यान|पछतावा|पूरी तरह झुकना|माफ़ करें|माफ़ी|मुझे क्षमा करें|व्यक्ति|सिर झुकाना|सॉरी|हल्की साँवली त्वचा|हावभाव
	🙇🏿;झुका हुआ व्यक्ति: साँवली त्वचा;क्षमा करें|घुटनों पर बैठना|झुका हुआ व्यक्ति|ध्यान|पछतावा|पूरी तरह झुकना|माफ़ करें|माफ़ी|मुझे क्षमा करें|व्यक्ति|साँवली त्वचा|सिर झुकाना|सॉरी|हावभाव
🙇‍♂️;सर झुकाता पुरुष;आदमी|इशारा|एहसान|झुकने|पुरुष|माफ़ कीजिये|माफी|सर झुकाता पुरुष
	🙇🏻‍♂️;सर झुकाता पुरुष: गोरी त्वचा;आदमी|इशारा|एहसान|गोरी त्वचा|झुकने|पुरुष|माफ़ कीजिये|माफी|सर झुकाता पुरुष
	🙇🏼‍♂️;सर झुकाता पुरुष: हल्की गोरी त्वचा;आदमी|इशारा|एहसान|झुकने|पुरुष|माफ़ कीजिये|माफी|सर झुकाता पुरुष|हल्की गोरी त्वचा
	🙇🏽‍♂️;सर झुकाता पुरुष: गेहुँआ त्वचा;आदमी|इशारा|एहसान|गेहुँआ त्वचा|झुकने|पुरुष|माफ़ कीजिये|माफी|सर झुकाता पुरुष
	🙇🏾‍♂️;सर झुकाता पुरुष: हल्की साँवली त्वचा;आदमी|इशारा|एहसान|झुकने|पुरुष|माफ़ कीजिये|माफी|सर झुकाता पुरुष|हल्की साँवली त्वचा
	🙇🏿‍♂️;सर झुकाता पुरुष: साँवली त्वचा;आदमी|इशारा|एहसान|झुकने|पुरुष|माफ़ कीजिये|माफी|सर झुकाता पुरुष|साँवली त्वचा
🙇‍♀️;सर झुकाती महिला;इशारा|एहसान|क्षमा करें|झुकने|महिला|माफी|सर झुकाती महिला
	🙇🏻‍♀️;सर झुकाती महिला: गोरी त्वचा;इशारा|एहसान|क्षमा करें|गोरी त्वचा|झुकने|महिला|माफी|सर झुकाती महिला
	🙇🏼‍♀️;सर झुकाती महिला: हल्की गोरी त्वचा;इशारा|एहसान|क्षमा करें|झुकने|महिला|माफी|सर झुकाती महिला|हल्की गोरी त्वचा
	🙇🏽‍♀️;सर झुकाती महिला: गेहुँआ त्वचा;इशारा|एहसान|क्षमा करें|गेहुँआ त्वचा|झुकने|महिला|माफी|सर झुकाती महिला
	🙇🏾‍♀️;सर झुकाती महिला: हल्की साँवली त्वचा;इशारा|एहसान|क्षमा करें|झुकने|महिला|माफी|सर झुकाती महिला|हल्की साँवली त्वचा
	🙇🏿‍♀️;सर झुकाती महिला: साँवली त्वचा;इशारा|एहसान|क्षमा करें|झुकने|महिला|माफी|सर झुकाती महिला|साँवली त्वचा
🤦;माथे पर हाथ;अविश्वास|ओह माय गॉड|चेहरा|झुंझलाहट|पछतावा|फिर से नहीं|माथे पर हाथ|यकीन न करना|शॉक|हथेली
	🤦🏻;माथे पर हाथ: गोरी त्वचा;अविश्वास|ओह माय गॉड|गोरी त्वचा|चेहरा|झुंझलाहट|पछतावा|फिर से नहीं|माथे पर हाथ|यकीन न करना|शॉक|हथेली
	🤦🏼;माथे पर हाथ: हल्की गोरी त्वचा;अविश्वास|ओह माय गॉड|चेहरा|झुंझलाहट|पछतावा|फिर से नहीं|माथे पर हाथ|यकीन न करना|शॉक|हथेली|हल्की गोरी त्वचा
	🤦🏽;माथे पर हाथ: गेहुँआ त्वचा;अविश्वास|ओह माय गॉड|गेहुँआ त्वचा|चेहरा|झुंझलाहट|पछतावा|फिर से नहीं|माथे पर हाथ|यकीन न करना|शॉक|हथेली
	🤦🏾;माथे पर हाथ: हल्की साँवली त्वचा;अविश्वास|ओह माय गॉड|चेहरा|झुंझलाहट|पछतावा|फिर से नहीं|माथे पर हाथ|यकीन न करना|शॉक|हथेली|हल्की साँवली त्वचा
	🤦🏿;माथे पर हाथ: साँवली त्वचा;अविश्वास|ओह माय गॉड|चेहरा|झुंझलाहट|पछतावा|फिर से नहीं|माथे पर हाथ|यकीन न करना|शॉक|साँवली त्वचा|हथेली
🤦‍♂️;माथे पर हाथ रखा हुआ पुरुष;अविश्वास|आदमी|ओह माय गॉड|क्रोध|परेशान आदमी|पुरुष|माथे पर हाथ|माथे पर हाथ रखा हुआ पुरुष|माथे पे हाथ|शॉक
	🤦🏻‍♂️;माथे पर हाथ रखा हुआ पुरुष: गोरी त्वचा;अविश्वास|आदमी|ओह माय गॉड|क्रोध|गोरी त्वचा|परेशान आदमी|पुरुष|माथे पर हाथ|माथे पर हाथ रखा हुआ पुरुष|माथे पे हाथ|शॉक
	🤦🏼‍♂️;माथे पर हाथ रखा हुआ पुरुष: हल्की गोरी त्वचा;अविश्वास|आदमी|ओह माय गॉड|क्रोध|परेशान आदमी|पुरुष|माथे पर हाथ|माथे पर हाथ रखा हुआ पुरुष|माथे पे हाथ|शॉक|हल्की गोरी त्वचा
	🤦🏽‍♂️;माथे पर हाथ रखा हुआ पुरुष: गेहुँआ त्वचा;अविश्वास|आदमी|ओह माय गॉड|क्रोध|गेहुँआ त्वचा|परेशान आदमी|पुरुष|माथे पर हाथ|माथे पर हाथ रखा हुआ पुरुष|माथे पे हाथ|शॉक
