# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;חיוך רחב;חיוך|חיוך רחב|מחייך|פרצוף|שמח
	👩🏽‍⚖️;שופטת: גוון עור בינוני;אדם|אישה|בית משפט|גוון עור בינוני|מאזניים|משפט|צדק|שופטת
	👩🏾‍⚖️;שופטת: גוון עור כהה בינוני;אדם|אישה|בית משפט|גוון עור כהה בינוני|מאזניים|משפט|צדק|שופטת
	👩🏿‍⚖️;שופטת: גוון עור כהה;אדם|אישה|בית משפט|גוון עור כהה|מאזניים|משפט|צדק|שופטת
🧑‍🌾;חקלאי/ת;גנן|גננת|חווה|חקלאות|חקלאי|חקלאי/ת|חקלאית
	🧑🏻‍🌾;חקלאי/ת: גוון עור בהיר;גוון עור בהיר|גנן|גננת|חווה|חקלאות|חקלאי|חקלאי/ת|חקלאית
	🧑🏼‍🌾;חקלאי/ת: גוון עור בהיר בינוני;גוון עור בהיר בינוני|גנן|גננת|חווה|חקלאות|חקלאי|חקלאי/ת|חקלאית
	🧑🏽‍🌾;חקלאי/ת: גוון עור בינוני;גוון עור בינוני|גנן|גננת|חווה|חקלאות|חקלאי|חקלאי/ת|חקלאית
	🧑🏾‍🌾;חקלאי/ת: גוון עור כהה בינוני;גוון עור כהה בינוני|גנן|גננת|חווה|חקלאות|חקלאי|חקלאי/ת|חקלאית
	🧑🏿‍🌾;חקלאי/ת: גוון עור כהה;גוון עור כהה|גנן|גננת|חווה|חקלאות|חקלאי|חקלאי/ת|חקלאית
👨‍🌾;חקלאי;אדם|איש|גנן|חוואי|חקלאי
	👨🏻‍🌾;חקלאי: גוון עור בהיר;אדם|איש|גוון עור בהיר|גנן|חוואי|חקלאי
	👨🏼‍🌾;חקלאי: גוון עור בהיר בינוני;אדם|איש|גוון עור בהיר בינוני|גנן|חוואי|חקלאי
	👨🏽‍🌾;חקלאי: גוון עור בינוני;אדם|איש|גוון עור בינוני|גנן|חוואי|חקלאי
	👨🏾‍🌾;חקלאי: גוון עור כהה בינוני;אדם|איש|גוון עור כהה בינוני|גנן|חוואי|חקלאי
	👨🏿‍🌾;חקלאי: גוון עור כהה;אדם|איש|גוון עור כהה|גנן|חוואי|חקלאי
👩‍🌾;חקלאית;אישה|גננית|חוואית|חקלאית|עובדת משק
	👩🏻‍🌾;חקלאית: גוון עור בהיר;אישה|גוון עור בהיר|גננית|חוואית|חקלאית|עובדת משק
	👩🏼‍🌾;חקלאית: גוון עור בהיר בינוני;אישה|גוון עור בהיר בינוני|גננית|חוואית|חקלאית|עובדת משק
	👩🏽‍🌾;חקלאית: גוון עור בינוני;אישה|גוון עור בינוני|גננית|חוואית|חקלאית|עובדת משק
	👩🏾‍🌾;חקלאית: גוון עור כהה בינוני;אישה|גוון עור כהה בינוני|גננית|חוואית|חקלאית|עובדת משק
	👩🏿‍🌾;חקלאית: גוון עור כהה;אישה|גוון עור כהה|גננית|חוואית|חקלאית|עובדת משק
🧑‍🍳;טבח/ית;טבח|טבח/ית|טבחית|שף|שפית
	🧑🏻‍🍳;טבח/ית: גוון עור בהיר;גוון עור בהיר|טבח|טבח/ית|טבחית|שף|שפית
	🧑🏼‍🍳;טבח/ית: גוון עור בהיר בינוני;גוון עור בהיר בינוני|טבח|טבח/ית|טבחית|שף|שפית
	🧑🏽‍🍳;טבח/ית: גוון עור בינוני;גוון עור בינוני|טבח|טבח/ית|טבחית|שף|שפית
	🧑🏾‍🍳;טבח/ית: גוון עור כהה בינוני;גוון עור כהה בינוני|טבח|טבח/ית|טבחית|שף|שפית
	🧑🏿‍🍳;טבח/ית: גוון עור כהה;גוון עור כהה|טבח|טבח/ית|טבחית|שף|שפית
👨‍🍳;טבח;אדם|גבר|טבח|מבשל|מקצוע|שף
	👨🏻‍🍳;טבח: גוון עור בהיר;אדם|גבר|גוון עור בהיר|טבח|מבשל|מקצוע|שף
	👨🏼‍🍳;טבח: גוון עור בהיר בינוני;אדם|גבר|גוון עור בהיר בינוני|טבח|מבשל|מקצוע|שף
	👨🏽‍🍳;טבח: גוון עור בינוני;אדם|גבר|גוון עור בינוני|טבח|מבשל|מקצוע|שף
	👨🏾‍🍳;טבח: גוון עור כהה בינוני;אדם|גבר|גוון עור כהה בינוני|טבח|מבשל|מקצוע|שף
	👨🏿‍🍳;טבח: גוון עור כהה;אדם|גבר|גוון עור כהה|טבח|מבשל|מקצוע|שף
👩‍🍳;טבחית;אישה|טבחית|מבשלת|שפית
	👩🏻‍🍳;טבחית: גוון עור בהיר;אישה|גוון עור בהיר|טבחית|מבשלת|שפית
	👩🏼‍🍳;טבחית: גוון עור בהיר בינוני;אישה|גוון עור בהיר בינוני|טבחית|מבשלת|שפית
	👩🏽‍🍳;טבחית: גוון עור בינוני;אישה|גוון עור בינוני|טבחית|מבשלת|שפית
	👩🏾‍🍳;טבחית: גוון עור כהה בינוני;אישה|גוון עור כהה בינוני|טבחית|מבשלת|שפית
	👩🏿‍🍳;טבחית: גוון עור כהה;אישה|גוון עור כהה|טבחית|מבשלת|שפית
🧑‍🔧;מכונאי/ת;אינסטלטור|אינסטלטורית|חשמלאי|חשמלאית|מכונאי|מכונאי/ת|מכונאית|שרברב
	🧑🏻‍🔧;מכונאי/ת: גוון עור בהיר;אינסטלטור|אינסטלטורית|גוון עור בהיר|חשמלאי|חשמלאית|מכונאי|מכונאי/ת|מכונאית|שרברב
	🧑🏼‍🔧;מכונאי/ת: גוון עור בהיר בינוני;אינסטלטור|אינסטלטורית|גוון עור בהיר בינוני|חשמלאי|חשמלאית|מכונאי|מכונאי/ת|מכונאית|שרברב
	🧑🏽‍🔧;מכונאי/ת: גוון עור בינוני;אינסטלטור|אינסטלטורית|גוון עור בינוני|חשמלאי|חשמלאית|מכונאי|מכונאי/ת|מכונאית|שרברב
	🧑🏾‍🔧;מכונאי/ת: גוון עור כהה בינוני;אינסטלטור|אינסטלטורית|גוון עור כהה בינוני|חשמלאי|חשמלאית|מכונאי|מכונאי/ת|מכונאית|שרברב
	🧑🏿‍🔧;מכונאי/ת: גוון עור כהה;אינסטלטור|אינסטלטורית|גוון עור כהה|חשמלאי|חשמלאית|מכונאי|מכונאי/ת|מכונאית|שרברב
👨‍🔧;מכונאי;אינסטלטור|איש|איש מקצוע|גבר|חשמלאי|טכנאי|מכונאי|שיפוצניק|שרברב
	👨🏻‍🔧;מכונאי: גוון עור בהיר;אינסטלטור|איש|איש מקצוע|גבר|גוון עור בהיר|חשמלאי|טכנאי|מכונאי|שיפוצניק|שרברב
	👨🏼‍🔧;מכונאי: גוון עור בהיר בינוני;אינסטלטור|איש|איש מקצוע|גבר|גוון עור בהיר בינוני|חשמלאי|טכנאי|מכונאי|שיפוצניק|שרברב
	👨🏽‍🔧;מכונאי: גוון עור בינוני;אינסטלטור|איש|איש מקצוע|גבר|גוון עור בינוני|חשמלאי|טכנאי|מכונאי|שיפוצניק|שרברב
	👨🏾‍🔧;מכונאי: גוון עור כהה בינוני;אינסטלטור|איש|איש מקצוע|גבר|גוון עור כהה בינוני|חשמלאי|טכנאי|מכונאי|שיפוצניק|שרברב
	👨🏿‍🔧;מכונאי: גוון עור כהה;אינסטלטור|איש|איש מקצוע|גבר|גוון עור כהה|חשמלאי|טכנאי|מכונאי|שיפוצניק|שרברב
👩‍🔧;מכונאית;אינסטלטורית|אישה|אשת מקצוע|חשמלאית|טכנאית|מכונאית|שרברבית
	👩🏻‍🔧;מכונאית: גוון עור בהיר;אינסטלטורית|אישה|אשת מקצוע|גוון עור בהיר|חשמלאית|טכנאית|מכונאית|שרברבית
	👩🏼‍🔧;מכונאית: גוון עור בהיר בינוני;אינסטלטורית|אישה|אשת מקצוע|גוון עור בהיר בינוני|חשמלאית|טכנאית|מכונאית|שרברבית
	👩🏽‍🔧;מכונאית: גוון עור בינוני;אינסטלטורית|אישה|אשת מקצוע|גוון עור בינוני|חשמלאית|טכנאית|מכונאית|שרברבית
	👩🏾‍🔧;מכונאית: גוון עור כהה בינוני;אינסטלטורית|אישה|אשת מקצוע|גוון עור כהה בינוני|חשמלאית|טכנאית|מכונאית|שרברבית
	👩🏿‍🔧;מכונאית: גוון עור כהה;אינסטלטורית|אישה|אשת מקצוע|גוון עור כהה|חשמלאית|טכנאית|מכונאית|שרברבית
🧑‍🏭;פועל/ת;בית חרושת|מפעל|פועל|פועל/ת|פועלת|תעשייה
	🧑🏻‍🏭;פועל/ת: גוון עור בהיר;בית חרושת|גוון עור בהיר|מפעל|פועל|פועל/ת|פועלת|תעשייה
	🧑🏼‍🏭;פועל/ת: גוון עור בהיר בינוני;בית חרושת|גוון עור בהיר בינוני|מפעל|פועל|פועל/ת|פועלת|תעשייה
	🧑🏽‍🏭;פועל/ת: גוון עור בינוני;בית חרושת|גוון עור בינוני|מפעל|פועל|פועל/ת|פועלת|תעשייה
	🧑🏾‍🏭;פועל/ת: גוון עור כהה בינוני;בית חרושת|גוון עור כהה בינוני|מפעל|פועל|פועל/ת|פועלת|תעשייה
	🧑🏿‍🏭;פועל/ת: גוון עור כהה;בית חרושת|גוון עור כהה|מפעל|פועל|פועל/ת|פועלת|תעשייה
👨‍🏭;פועל;איש|גבר|מפעיל|עובד מפעל|עובד תעשייה|פועל
	👨🏻‍🏭;פועל: גוון עור בהיר;איש|גבר|גוון עור בהיר|מפעיל|עובד מפעל|עובד תעשייה|פועל
	👨🏼‍🏭;פועל: גוון עור בהיר בינוני;איש|גבר|גוון עור בהיר בינוני|מפעיל|עובד מפעל|עובד תעשייה|פועל
	👨🏽‍🏭;פועל: גוון עור בינוני;איש|גבר|גוון עור בינוני|מפעיל|עובד מפעל|עובד תעשייה|פועל
	👨🏾‍🏭;פועל: גוון עור כהה בינוני;איש|גבר|גוון עור כהה בינוני|מפעיל|עובד מפעל|עובד תעשייה|פועל
	👨🏿‍🏭;פועל: גוון עור כהה;איש|גבר|גוון עור כהה|מפעיל|עובד מפעל|עובד תעשייה|פועל
👩‍🏭;פועלת;אישה|מפעילה|מפעל|מרכיבה|עובדת|עובדת תעשייה|פועלת
	👩🏻‍🏭;פועלת: גוון עור בהיר;אישה|גוון עור בהיר|מפעילה|מפעל|מרכיבה|עובדת|עובדת תעשייה|פועלת
	👩🏼‍🏭;פועלת: גוון עור בהיר בינוני;אישה|גוון עור בהיר בינוני|מפעילה|מפעל|מרכיבה|עובדת|עובדת תעשייה|פועלת
	👩🏽‍🏭;פועלת: גוון עור בינוני;אישה|גוון עור בינוני|מפעילה|מפעל|מרכיבה|עובדת|עובדת תעשייה|פועלת
	👩🏾‍🏭;פועלת: גוון עור כהה בינוני;אישה|גוון עור כהה בינוני|מפעילה|מפעל|מרכיבה|עובדת|עובדת תעשייה|פועלת
	👩🏿‍🏭;פועלת: גוון עור כהה;אישה|גוון עור כהה|מפעילה|מפעל|מרכיבה|עובדת|עובדת תעשייה|פועלת
🧑‍💼;עובד/ת משרד;אדריכל|אדריכלית|מנהל|מנהלת|עבודה משרדית|עובד/ת משרד|עסק|צווארון לבן
	🧑🏻‍💼;עובד/ת משרד: גוון עור בהיר;אדריכל|אדריכלית|גוון עור בהיר|מנהל|מנהלת|עבודה משרדית|עובד/ת משרד|עסק|צווארון לבן
	🧑🏼‍💼;עובד/ת משרד: גוון עור בהיר בינוני;אדריכל|אדריכלית|גוון עור בהיר בינוני|מנהל|מנהלת|עבודה משרדית|עובד/ת משרד|עסק|צווארון לבן
	🧑🏽‍💼;עובד/ת משרד: גוון עור בינוני;אדריכל|אדריכלית|גוון עור בינוני|מנהל|מנהלת|עבודה משרדית|עובד/ת משרד|עסק|צווארון לבן
	🧑🏾‍💼;עובד/ת משרד: גוון עור כהה בינוני;אדריכל|אדריכלית|גוון עור כהה בינוני|מנהל|מנהלת|עבודה משרדית|עובד/ת משרד|עסק|צווארון לבן
	🧑🏿‍💼;עובד/ת משרד: גוון עור כהה;אדריכל|אדריכלית|גוון עור כהה|מנהל|מנהלת|עבודה משרדית|עובד/ת משרד|עסק|צווארון לבן
👨‍💼;עובד משרד;אדריכל|איש עסקים|גבר|מנהל|משרד|עובד משרד|פקיד|צווארון לבן
	👨🏻‍💼;עובד משרד: גוון עור בהיר;אדריכל|איש עסקים|גבר|גוון עור בהיר|מנהל|משרד|עובד משרד|פקיד|צווארון לבן
	👨🏼‍💼;עובד משרד: גוון עור בהיר בינוני;אדריכל|איש עסקים|גבר|גוון עור בהיר בינוני|מנהל|משרד|עובד משרד|פקיד|צווארון לבן
	👨🏽‍💼;עובד משרד: גוון עור בינוני;אדריכל|איש עסקים|גבר|גוון עור בינוני|מנהל|משרד|עובד משרד|פקיד|צווארון לבן
	👨🏾‍💼;עובד משרד: גוון עור כהה בינוני;אדריכל|איש עסקים|גבר|גוון עור כהה בינוני|מנהל|משרד|עובד משרד|פקיד|צווארון לבן
	👨🏿‍💼;עובד משרד: גוון עור כהה;אדריכל|איש עסקים|גבר|גוון עור כהה|מנהל|משרד|עובד משרד|פקיד|צווארון לבן
👩‍💼;עובדת משרד;אדריכלית|אישה|אשת עסקים|מנהלת|משרד|עובדת משרד|פקידה|צווארון לבן
	👩🏻‍💼;עובדת משרד: גוון עור בהיר;אדריכלית|אישה|אשת עסקים|גוון עור בהיר|מנהלת|משרד|עובדת משרד|פקידה|צווארון לבן
	👩🏼‍💼;עובדת משרד: גוון עור בהיר בינוני;אדריכלית|אישה|אשת עסקים|גוון עור בהיר בינוני|מנהלת|משרד|עובדת משרד|פקידה|צווארון לבן
	👩🏽‍💼;עובדת משרד: גוון עור בינוני;אדריכלית|אישה|אשת עסקים|גוון עור בינוני|מנהלת|משרד|עובדת משרד|פקידה|צווארון לבן
	👩🏾‍💼;עובדת משרד: גוון עור כהה בינוני;אדריכלית|אישה|אשת עסקים|גוון עור כהה בינוני|מנהלת|משרד|עובדת משרד|פקידה|צווארון לבן
	👩🏿‍💼;עובדת משרד: גוון עור כהה;אדריכלית|אישה|אשת עסקים|גוון עור כהה|מנהלת|משרד|עובדת משרד|פקידה|צווארון לבן
🧑‍🔬;מדען/ית;ביולוג|ביולוגית|מדען|מדען/ית|מדענית|מהנדס|מהנדסת
	🧑🏻‍🔬;מדען/ית: גוון עור בהיר;ביולוג|ביולוגית|גוון עור בהיר|מדען|מדען/ית|מדענית|מהנדס|מהנדסת
	🧑🏼‍🔬;מדען/ית: גוון עור בהיר בינוני;ביולוג|ביולוגית|גוון עור בהיר בינוני|מדען|מדען/ית|מדענית|מהנדס|מהנדסת
	🧑🏽‍🔬;מדען/ית: גוון עור בינוני;ביולוג|ביולוגית|גוון עור בינוני|מדען|מדען/ית|מדענית|מהנדס|מהנדסת
	🧑🏾‍🔬;מדען/ית: גוון עור כהה בינוני;ביולוג|ביולוגית|גוון עור כהה בינוני|מדען|מדען/ית|מדענית|מהנדס|מהנדסת
	🧑🏿‍🔬;מדען/ית: גוון עור כהה;ביולוג|ביולוגית|גוון עור כהה|מדען|מדען/ית|מדענית|מהנדס|מהנדסת
👨‍🔬;מדען;איש|ביולוג|גבר|כימאי|מדען|מהנדס|מעבדה|ניסוי|פיזיקאי
	👨🏻‍🔬;מדען: גוון עור בהיר;איש|ביולוג|גבר|גוון עור בהיר|כימאי|מדען|מהנדס|מעבדה|ניסוי|פיזיקאי
	👨🏼‍🔬;מדען: גוון עור בהיר בינוני;איש|ביולוג|גבר|גוון עור בהיר בינוני|כימאי|מדען|מהנדס|מעבדה|ניסוי|פיזיקאי
	👨🏽‍🔬;מדען: גוון עור בינוני;איש|ביולוג|גבר|גוון עור בינוני|כימאי|מדען|מהנדס|מעבדה|ניסוי|פיזיקאי
	👨🏾‍🔬;מדען: גוון עור כהה בינוני;איש|ביולוג|גבר|גוון עור כהה בינוני|כימאי|מדען|מהנדס|מעבדה|ניסוי|פיזיקאי
	👨🏿‍🔬;מדען: גוון עור כהה;איש|ביולוג|גבר|גוון עור כהה|כימאי|מדען|מהנדס|מעבדה|ניסוי|פיזיקאי
👩‍🔬;מדענית;אישה|ביולוגית|כימאית|מדענית|מהנדסת|מקצוע|ניסוי|פיזיקאית
	👩🏻‍🔬;מדענית: גוון עור בהיר;אישה|ביולוגית|גוון עור בהיר|כימאית|מדענית|מהנדסת|מקצוע|ניסוי|פיזיקאית
	👩🏼‍🔬;מדענית: גוון עור בהיר בינוני;אישה|ביולוגית|גוון עור בהיר בינוני|כימאית|מדענית|מהנדסת|מקצוע|ניסוי|פיזיקאית
	👩🏽‍🔬;מדענית: גוון עור בינוני;אישה|ביולוגית|גוון עור בינוני|כימאית|מדענית|מהנדסת|מקצוע|ניסוי|פיזיקאית
	👩🏾‍🔬;מדענית: גוון עור כהה בינוני;אישה|ביולוגית|גוון עור כהה בינוני|כימאית|מדענית|מהנדסת|מקצוע|ניסוי|פיזיקאית
	👩🏿‍🔬;מדענית: גוון עור כהה;אישה|ביולוגית|גוון עור כהה|כימאית|מדענית|מהנדסת|מקצוע|ניסוי|פיזיקאית
🧑‍💻;טכנולוג/ית;טכנולוג|טכנולוג/ית|טכנולוגית|ממציא|מפתח|מפתחת|מתכנת|מתכנתת
	🧑🏻‍💻;טכנולוג/ית: גוון עור בהיר;גוון עור בהיר|טכנולוג|טכנולוג/ית|טכנולוגית|ממציא|מפתח|מפתחת|מתכנת|מתכנתת
	🧑🏼‍💻;טכנולוג/ית: גוון עור בהיר בינוני;גוון עור בהיר בינוני|טכנולוג|טכנולוג/ית|טכנולוגית|ממציא|מפתח|מפתחת|מתכנת|מתכנתת
	🧑🏽‍💻;טכנולוג/ית: גוון עור בינוני;גוון עור בינוני|טכנולוג|טכנולוג/ית|טכנולוגית|ממציא|מפתח|מפתחת|מתכנת|מתכנתת
	🧑🏾‍💻;טכנולוג/ית: גוון עור כהה בינוני;גוון עור כהה בינוני|טכנולוג|טכנולוג/ית|טכנולוגית|ממציא|מפתח|מפתחת|מתכנת|מתכנתת
	🧑🏿‍💻;טכנולוג/ית: גוון עור כהה;גוון עור כהה|טכנולוג|טכנולוג/ית|טכנולוגית|ממציא|מפתח|מפתחת|מתכנת|מתכנתת
👨‍💻;טכנולוג;איש|גבר|הייטק|חוקר|טכנולוג|מפתח|מתכנת|תוכנה
	👨🏻‍💻;טכנולוג: גוון עור בהיר;איש|גבר|גוון עור בהיר|הייטק|חוקר|טכנולוג|מפתח|מתכנת|תוכנה
	👨🏼‍💻;טכנולוג: גוון עור בהיר בינוני;איש|גבר|גוון עור בהיר בינוני|הייטק|חוקר|טכנולוג|מפתח|מתכנת|תוכנה
	👨🏽‍💻;טכנולוג: גוון עור בינוני;איש|גבר|גוון עור בינוני|הייטק|חוקר|טכנולוג|מפתח|מתכנת|תוכנה
	👨🏾‍💻;טכנולוג: גוון עור כהה בינוני;איש|גבר|גוון עור כהה בינוני|הייטק|חוקר|טכנולוג|מפתח|מתכנת|תוכנה
	👨🏿‍💻;טכנולוג: גוון עור כהה;איש|גבר|גוון עור כהה|הייטק|חוקר|טכנולוג|מפתח|מתכנת|תוכנה
👩‍💻;טכנולוגית;אישה|חוקרת|טכנולוגית|מפתחת|מתכנתת|תוכנה
	👩🏻‍💻;טכנולוגית: גוון עור בהיר;אישה|גוון עור בהיר|חוקרת|טכנולוגית|מפתחת|מתכנתת|תוכנה
	👩🏼‍💻;טכנולוגית: גוון עור בהיר בינוני;אישה|גוון עור בהיר בינוני|חוקרת|טכנולוגית|מפתחת|מתכנתת|תוכנה
	👩🏽‍💻;טכנולוגית: גוון עור בינוני;אישה|גוון עור בינוני|חוקרת|טכנולוגית|מפתחת|מתכנתת|תוכנה
	👩🏾‍💻;טכנולוגית: גוון עור כהה בינוני;אישה|גוון עור כהה בינוני|חוקרת|טכנולוגית|מפתחת|מתכנתת|תוכנה
	👩🏿‍💻;טכנולוגית: גוון עור כהה;אישה|גוון עור כהה|חוקרת|טכנולוגית|מפתחת|מתכנתת|תוכנה
🧑‍🎤;זמר/ת;אומן|אמן|אמנית|זמר|זמר/ת|זמרת|שחקן|שחקנית
	🧑🏻‍🎤;זמר/ת: גוון עור בהיר;אומן|אמן|אמנית|גוון עור בהיר|זמר|זמר/ת|זמרת|שחקן|שחקנית
	🧑🏼‍🎤;זמר/ת: גוון עור בהיר בינוני;אומן|אמן|אמנית|גוון עור בהיר בינוני|זמר|זמר/ת|זמרת|שחקן|שחקנית
	🧑🏽‍🎤;זמר/ת: גוון עור בינוני;אומן|אמן|אמנית|גוון עור בינוני|זמר|זמר/ת|זמרת|שחקן|שחקנית
	🧑🏾‍🎤;זמר/ת: גוון עור כהה בינוני;אומן|אמן|אמנית|גוון עור כהה בינוני|זמר|זמר/ת|זמרת|שחקן|שחקנית
	🧑🏿‍🎤;זמר/ת: גוון עור כהה;אומן|אמן|אמנית|גוון עור כהה|זמר|זמר/ת|זמרת|שחקן|שחקנית
👨‍🎤;זמר;איש|בדרן|גבר|זמר|כוכב|רוק|שחקן
	👨🏻‍🎤;זמר: גוון עור בהיר;איש|בדרן|גבר|גוון עור בהיר|זמר|כוכב|רוק|שחקן
	👨🏼‍🎤;זמר: גוון עור בהיר בינוני;איש|בדרן|גבר|גוון עור בהיר בינוני|זמר|כוכב|רוק|שחקן
	👨🏽‍🎤;זמר: גוון עור בינוני;איש|בדרן|גבר|גוון עור בינוני|זמר|כוכב|רוק|שחקן
	👨🏾‍🎤;זמר: גוון עור כהה בינוני;איש|בדרן|גבר|גוון עור כהה בינוני|זמר|כוכב|רוק|שחקן
	👨🏿‍🎤;זמר: גוון עור כהה;איש|בדרן|גבר|גוון עור כהה|זמר|כוכב|רוק|שחקן
👩‍🎤;זמרת;אישה|בדרנית|זמרת|כוכבת|רוק|שחקנית
	👩🏻‍🎤;זמרת: גוון עור בהיר;אישה|בדרנית|גוון עור בהיר|זמרת|כוכבת|רוק|שחקנית
	👩🏼‍🎤;זמרת: גוון עור בהיר בינוני;אישה|בדרנית|גוון עור בהיר בינוני|זמרת|כוכבת|רוק|שחקנית
	👩🏽‍🎤;זמרת: גוון עור בינוני;אישה|בדרנית|גוון עור בינוני|זמרת|כוכבת|רוק|שחקנית
	👩🏾‍🎤;זמרת: גוון עור כהה בינוני;אישה|בדרנית|גוון עור כהה בינוני|זמרת|כוכבת|רוק|שחקנית
	👩🏿‍🎤;זמרת: גוון עור כהה;אישה|בדרנית|גוון עור כהה|זמרת|כוכבת|רוק|שחקנית
🧑‍🎨;אומן/ית;אומן|אומן/ית|אומנות|אומנית|אמן|אמנות|אמנית|צבעים
	🧑🏻‍🎨;אומן/ית: גוון עור בהיר;אומן|אומן/ית|אומנות|אומנית|אמן|אמנות|אמנית|גוון עור בהיר|צבעים
	🧑🏼‍🎨;אומן/ית: גוון עור בהיר בינוני;אומן|אומן/ית|אומנות|אומנית|אמן|אמנות|אמנית|גוון עור בהיר בינוני|צבעים
	🧑🏽‍🎨;אומן/ית: גוון עור בינוני;אומן|אומן/ית|אומנות|אומנית|אמן|אמנות|אמנית|גוון עור בינוני|צבעים
	🧑🏾‍🎨;אומן/ית: גוון עור כהה בינוני;אומן|אומן/ית|אומנות|אומנית|אמן|אמנות|אמנית|גוון עור כהה בינוני|צבעים
	🧑🏿‍🎨;אומן/ית: גוון עור כהה;אומן|אומן/ית|אומנות|אומנית|אמן|אמנות|אמנית|גוון עור כהה|צבעים
👨‍🎨;אמן;איש|אמן|גבר|צבעים|צייר
	👨🏻‍🎨;אמן: גוון עור בהיר;איש|אמן|גבר|גוון עור בהיר|צבעים|צייר
	👨🏼‍🎨;אמן: גוון עור בהיר בינוני;איש|אמן|גבר|גוון עור בהיר בינוני|צבעים|צייר
	👨🏽‍🎨;אמן: גוון עור בינוני;איש|אמן|גבר|גוון עור בינוני|צבעים|צייר
	👨🏾‍🎨;אמן: גוון עור כהה בינוני;איש|אמן|גבר|גוון עור כהה בינוני|צבעים|צייר
	👨🏿‍🎨;אמן: גוון עור כהה;איש|אמן|גבר|גוון עור כהה|צבעים|צייר
👩‍🎨;אמנית;אישה|אמנית|מקצוע|צבעים|ציירת
	👩🏻‍🎨;אמנית: גוון עור בהיר;אישה|אמנית|גוון עור בהיר|מקצוע|צבעים|ציירת
	👩🏼‍🎨;אמנית: גוון עור בהיר בינוני;אישה|אמנית|גוון עור בהיר בינוני|מקצוע|צבעים|ציירת
	👩🏽‍🎨;אמנית: גוון עור בינוני;אישה|אמנית|גוון עור בינוני|מקצוע|צבעים|ציירת
	👩🏾‍🎨;אמנית: גוון עור כהה בינוני;אישה|אמנית|גוון עור כהה בינוני|מקצוע|צבעים|ציירת
	👩🏿‍🎨;אמנית: גוון עור כהה;אישה|אמנית|גוון עור כהה|מקצוע|צבעים|ציירת
🧑‍✈️;טייס/ת;טייס|טייס/ת|טייסת|טיסה|מטוס
	🧑🏻‍✈️;טייס/ת: גוון עור בהיר;גוון עור בהיר|טייס|טייס/ת|טייסת|טיסה|מטוס
	🧑🏼‍✈️;טייס/ת: גוון עור בהיר בינוני;גוון עור בהיר בינוני|טייס|טייס/ת|טייסת|טיסה|מטוס
	🧑🏽‍✈️;טייס/ת: גוון עור בינוני;גוון עור בינוני|טייס|טייס/ת|טייסת|טיסה|מטוס
	🧑🏾‍✈️;טייס/ת: גוון עור כהה בינוני;גוון עור כהה בינוני|טייס|טייס/ת|טייסת|טיסה|מטוס
	🧑🏿‍✈️;טייס/ת: גוון עור כהה;גוון עור כהה|טייס|טייס/ת|טייסת|טיסה|מטוס
👨‍✈️;טייס;אדם|איש|גבר|טייס|מטוס
	👨🏻‍✈️;טייס: גוון עור בהיר;אדם|איש|גבר|גוון עור בהיר|טייס|מטוס
	👨🏼‍✈️;טייס: גוון עור בהיר בינוני;אדם|איש|גבר|גוון עור בהיר בינוני|טייס|מטוס
	👨🏽‍✈️;טייס: גוון עור בינוני;אדם|איש|גבר|גוון עור בינוני|טייס|מטוס
	👨🏾‍✈️;טייס: גוון עור כהה בינוני;אדם|איש|גבר|גוון עור כהה בינוני|טייס|מטוס
	👨🏿‍✈️;טייס: גוון עור כהה;אדם|איש|גבר|גוון עור כהה|טייס|מטוס
👩‍✈️;טייסת;אדם|אישה|טייסת|מטוס
	👩🏻‍✈️;טייסת: גוון עור בהיר;אדם|אישה|גוון עור בהיר|טייסת|מטוס
	👩🏼‍✈️;טייסת: גוון עור בהיר בינוני;אדם|אישה|גוון עור בהיר בינוני|טייסת|מטוס
	👩🏽‍✈️;טייסת: גוון עור בינוני;אדם|אישה|גוון עור בינוני|טייסת|מטוס
	👩🏾‍✈️;טייסת: גוון עור כהה בינוני;אדם|אישה|גוון עור כהה בינוני|טייסת|מטוס
	👩🏿‍✈️;טייסת: גוון עור כהה;אדם|אישה|גוון עור כהה|טייסת|מטוס
🧑‍🚀;אסטרונאוט/ית;אסטרונאוט|אסטרונאוט/ית|אסטרונאוטית|חלל|חללית
	🧑🏻‍🚀;אסטרונאוט/ית: גוון עור בהיר;אסטרונאוט|אסטרונאוט/ית|אסטרונאוטית|גוון עור בהיר|חלל|חללית
	🧑🏼‍🚀;אסטרונאוט/ית: גוון עור בהיר בינוני;אסטרונאוט|אסטרונאוט/ית|אסטרונאוטית|גוון עור בהיר בינוני|חלל|חללית
	🧑🏽‍🚀;אסטרונאוט/ית: גוון עור בינוני;אסטרונאוט|אסטרונאוט/ית|אסטרונאוטית|גוון עור בינוני|חלל|חללית
	🧑🏾‍🚀;אסטרונאוט/ית: גוון עור כהה בינוני;אסטרונאוט|אסטרונאוט/ית|אסטרונאוטית|גוון עור כהה בינוני|חלל|חללית
	🧑🏿‍🚀;אסטרונאוט/ית: גוון עור כהה;אסטרונאוט|אסטרונאוט/ית|אסטרונאוטית|גוון עור כהה|חלל|חללית
👨‍🚀;אסטרונאוט;איש|אסטרונאוט|גבר|חלל|חללית|משימת חלל
