# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خنده;خنده|صورت|صورت با لبخند|لبخند|نیش باز
	👵🏿;پیرزن: پوست آبنوسی;پوست آبنوسی|پیر|پیرزن|زن
🙍;آدم اخمو;آدم|آدم اخمو|اخم|اشاره|بدن|دلخور|رنجیده|زن|ناامید|ناراحت|ناراضی
	🙍🏻;آدم اخمو: پوست سفید;آدم|آدم اخمو|اخم|اشاره|بدن|پوست سفید|دلخور|رنجیده|زن|ناامید|ناراحت|ناراضی
	🙍🏼;آدم اخمو: پوست روشن;آدم|آدم اخمو|اخم|اشاره|بدن|پوست روشن|دلخور|رنجیده|زن|ناامید|ناراحت|ناراضی
	🙍🏽;آدم اخمو: پوست طلایی;آدم|آدم اخمو|اخم|اشاره|بدن|پوست طلایی|دلخور|رنجیده|زن|ناامید|ناراحت|ناراضی
	🙍🏾;آدم اخمو: پوست گندمی;آدم|آدم اخمو|اخم|اشاره|بدن|پوست گندمی|دلخور|رنجیده|زن|ناامید|ناراحت|ناراضی
	🙍🏿;آدم اخمو: پوست آبنوسی;آدم|آدم اخمو|اخم|اشاره|بدن|پوست آبنوسی|دلخور|رنجیده|زن|ناامید|ناراحت|ناراضی
🙍‍♂️;مرد اخم می‌کند;اخمو|مرد ابرو در هم می‌کشد|مرد اخم می‌کند|مرد عبوس|ناخشنود|ناراضی
	🙍🏻‍♂️;مرد اخم می‌کند: پوست سفید;اخمو|پوست سفید|مرد ابرو در هم می‌کشد|مرد اخم می‌کند|مرد عبوس|ناخشنود|ناراضی
	🙍🏼‍♂️;مرد اخم می‌کند: پوست روشن;اخمو|پوست روشن|مرد ابرو در هم می‌کشد|مرد اخم می‌کند|مرد عبوس|ناخشنود|ناراضی
	🙍🏽‍♂️;مرد اخم می‌کند: پوست طلایی;اخمو|پوست طلایی|مرد ابرو در هم می‌کشد|مرد اخم می‌کند|مرد عبوس|ناخشنود|ناراضی
	🙍🏾‍♂️;مرد اخم می‌کند: پوست گندمی;اخمو|پوست گندمی|مرد ابرو در هم می‌کشد|مرد اخم می‌کند|مرد عبوس|ناخشنود|ناراضی
	🙍🏿‍♂️;مرد اخم می‌کند: پوست آبنوسی;اخمو|پوست آبنوسی|مرد ابرو در هم می‌کشد|مرد اخم می‌کند|مرد عبوس|ناخشنود|ناراضی
🙍‍♀️;زن اخم می‌کند;اخمو|زن ابرو در هم می‌کشد|زن اخم می‌کند|مرد عبوس|ناخشنود|ناراضی
	🙍🏻‍♀️;زن اخم می‌کند: پوست سفید;اخمو|پوست سفید|زن ابرو در هم می‌کشد|زن اخم می‌کند|مرد عبوس|ناخشنود|ناراضی
	🙍🏼‍♀️;زن اخم می‌کند: پوست روشن;اخمو|پوست روشن|زن ابرو در هم می‌کشد|زن اخم می‌کند|مرد عبوس|ناخشنود|ناراضی
	🙍🏽‍♀️;زن اخم می‌کند: پوست طلایی;اخمو|پوست طلایی|زن ابرو در هم می‌کشد|زن اخم می‌کند|مرد عبوس|ناخشنود|ناراضی
	🙍🏾‍♀️;زن اخم می‌کند: پوست گندمی;اخمو|پوست گندمی|زن ابرو در هم می‌کشد|زن اخم می‌کند|مرد عبوس|ناخشنود|ناراضی
	🙍🏿‍♀️;زن اخم می‌کند: پوست آبنوسی;اخمو|پوست آبنوسی|زن ابرو در هم می‌کشد|زن اخم می‌کند|مرد عبوس|ناخشنود|ناراضی
🙎;آدم ناراضی;آدم|اخم|جمع کردن لب|زن|ژست|عنق|قهر|قیافه گرفتن|ناامید|ناراحت|ناراضی|نق زدن
	🙎🏻;آدم ناراضی: پوست سفید;آدم|اخم|پوست سفید|جمع کردن لب|زن|ژست|عنق|قهر|قیافه گرفتن|ناامید|ناراحت|ناراضی|نق زدن
	🙎🏼;آدم ناراضی: پوست روشن;آدم|اخم|پوست روشن|جمع کردن لب|زن|ژست|عنق|قهر|قیافه گرفتن|ناامید|ناراحت|ناراضی|نق زدن
	🙎🏽;آدم ناراضی: پوست طلایی;آدم|اخم|پوست طلایی|جمع کردن لب|زن|ژست|عنق|قهر|قیافه گرفتن|ناامید|ناراحت|ناراضی|نق زدن
	🙎🏾;آدم ناراضی: پوست گندمی;آدم|اخم|پوست گندمی|جمع کردن لب|زن|ژست|عنق|قهر|قیافه گرفتن|ناامید|ناراحت|ناراضی|نق زدن
	🙎🏿;آدم ناراضی: پوست آبنوسی;آدم|اخم|پوست آبنوسی|جمع کردن لب|زن|ژست|عنق|قهر|قیافه گرفتن|ناامید|ناراحت|ناراضی|نق زدن
🙎‍♂️;مرد اخم‌وتخم می‌کند;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|ترش‌رویی|عبوس|لب‌ولوچه آویزان|مرد اخم‌وتخم می‌کند
	🙎🏻‍♂️;مرد اخم‌وتخم می‌کند: پوست سفید;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|پوست سفید|ترش‌رویی|عبوس|لب‌ولوچه آویزان|مرد اخم‌وتخم می‌کند
	🙎🏼‍♂️;مرد اخم‌وتخم می‌کند: پوست روشن;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|پوست روشن|ترش‌رویی|عبوس|لب‌ولوچه آویزان|مرد اخم‌وتخم می‌کند
	🙎🏽‍♂️;مرد اخم‌وتخم می‌کند: پوست طلایی;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|پوست طلایی|ترش‌رویی|عبوس|لب‌ولوچه آویزان|مرد اخم‌وتخم می‌کند
	🙎🏾‍♂️;مرد اخم‌وتخم می‌کند: پوست گندمی;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|پوست گندمی|ترش‌رویی|عبوس|لب‌ولوچه آویزان|مرد اخم‌وتخم می‌کند
	🙎🏿‍♂️;مرد اخم‌وتخم می‌کند: پوست آبنوسی;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|پوست آبنوسی|ترش‌رویی|عبوس|لب‌ولوچه آویزان|مرد اخم‌وتخم می‌کند
🙎‍♀️;زن اخم‌وتخم می‌کند;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|ترش‌رویی|زن اخم‌وتخم می‌کند|عبوس|لب‌ولوچه آویزان
	🙎🏻‍♀️;زن اخم‌وتخم می‌کند: پوست سفید;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|پوست سفید|ترش‌رویی|زن اخم‌وتخم می‌کند|عبوس|لب‌ولوچه آویزان
	🙎🏼‍♀️;زن اخم‌وتخم می‌کند: پوست روشن;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|پوست روشن|ترش‌رویی|زن اخم‌وتخم می‌کند|عبوس|لب‌ولوچه آویزان
	🙎🏽‍♀️;زن اخم‌وتخم می‌کند: پوست طلایی;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|پوست طلایی|ترش‌رویی|زن اخم‌وتخم می‌کند|عبوس|لب‌ولوچه آویزان
	🙎🏾‍♀️;زن اخم‌وتخم می‌کند: پوست گندمی;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|پوست گندمی|ترش‌رویی|زن اخم‌وتخم می‌کند|عبوس|لب‌ولوچه آویزان
	🙎🏿‍♀️;زن اخم‌وتخم می‌کند: پوست آبنوسی;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|پوست آبنوسی|ترش‌رویی|زن اخم‌وتخم می‌کند|عبوس|لب‌ولوچه آویزان
🙅;ابداً نه;ابداً نه|جلوگیری|خیر|دست|زن|ژست|قبول نمی کنم|ممنوع|نه|هرگز
	🙅🏻;ابداً نه: پوست سفید;ابداً نه|پوست سفید|جلوگیری|خیر|دست|زن|ژست|قبول نمی کنم|ممنوع|نه|هرگز
	🙅🏼;ابداً نه: پوست روشن;ابداً نه|پوست روشن|جلوگیری|خیر|دست|زن|ژست|قبول نمی کنم|ممنوع|نه|هرگز
	🙅🏽;ابداً نه: پوست طلایی;ابداً نه|پوست طلایی|جلوگیری|خیر|دست|زن|ژست|قبول نمی کنم|ممنوع|نه|هرگز
	🙅🏾;ابداً نه: پوست گندمی;ابداً نه|پوست گندمی|جلوگیری|خیر|دست|زن|ژست|قبول نمی کنم|ممنوع|نه|هرگز
	🙅🏿;ابداً نه: پوست آبنوسی;ابداً نه|پوست آبنوسی|جلوگیری|خیر|دست|زن|ژست|قبول نمی کنم|ممنوع|نه|هرگز
🙅‍♂️;مرد نمی‌پذیرد;ابداً نه|رد|ژست مخالفت|مخالف بودن|مرد نمی‌پذیرد|ممنوع|نه
	🙅🏻‍♂️;مرد نمی‌پذیرد: پوست سفید;ابداً نه|پوست سفید|رد|ژست مخالفت|مخالف بودن|مرد نمی‌پذیرد|ممنوع|نه
	🙅🏼‍♂️;مرد نمی‌پذیرد: پوست روشن;ابداً نه|پوست روشن|رد|ژست مخالفت|مخالف بودن|مرد نمی‌پذیرد|ممنوع|نه
	🙅🏽‍♂️;مرد نمی‌پذیرد: پوست طلایی;ابداً نه|پوست طلایی|رد|ژست مخالفت|مخالف بودن|مرد نمی‌پذیرد|ممنوع|نه
	🙅🏾‍♂️;مرد نمی‌پذیرد: پوست گندمی;ابداً نه|پوست گندمی|رد|ژست مخالفت|مخالف بودن|مرد نمی‌پذیرد|ممنوع|نه
	🙅🏿‍♂️;مرد نمی‌پذیرد: پوست آبنوسی;ابداً نه|پوست آبنوسی|رد|ژست مخالفت|مخالف بودن|مرد نمی‌پذیرد|ممنوع|نه
🙅‍♀️;زن نمی‌پذیرد;ابداً نه|رد|زن نمی‌پذیرد|ژست مخالفت|مخالف بودن|ممنوع|نه
	🙅🏻‍♀️;زن نمی‌پذیرد: پوست سفید;ابداً نه|پوست سفید|رد|زن نمی‌پذیرد|ژست مخالفت|مخالف بودن|ممنوع|نه
	🙅🏼‍♀️;زن نمی‌پذیرد: پوست روشن;ابداً نه|پوست روشن|رد|زن نمی‌پذیرد|ژست مخالفت|مخالف بودن|ممنوع|نه
	🙅🏽‍♀️;زن نمی‌پذیرد: پوست طلایی;ابداً نه|پوست طلایی|رد|زن نمی‌پذیرد|ژست مخالفت|مخالف بودن|ممنوع|نه
	🙅🏾‍♀️;زن نمی‌پذیرد: پوست گندمی;ابداً نه|پوست گندمی|رد|زن نمی‌پذیرد|ژست مخالفت|مخالف بودن|ممنوع|نه
	🙅🏿‍♀️;زن نمی‌پذیرد: پوست آبنوسی;ابداً نه|پوست آبنوسی|رد|زن نمی‌پذیرد|ژست مخالفت|مخالف بودن|ممنوع|نه
🙆;باشه;آه خدای من|اوکی|باشه|تأیید|تایید|خانم|دست|زن|ژست|قبول|ورزش کردن
	🙆🏻;باشه: پوست سفید;آه خدای من|اوکی|باشه|پوست سفید|تأیید|تایید|خانم|دست|زن|ژست|قبول|ورزش کردن
	🙆🏼;باشه: پوست روشن;آه خدای من|اوکی|باشه|پوست روشن|تأیید|تایید|خانم|دست|زن|ژست|قبول|ورزش کردن
	🙆🏽;باشه: پوست طلایی;آه خدای من|اوکی|باشه|پوست طلایی|تأیید|تایید|خانم|دست|زن|ژست|قبول|ورزش کردن
	🙆🏾;باشه: پوست گندمی;آه خدای من|اوکی|باشه|پوست گندمی|تأیید|تایید|خانم|دست|زن|ژست|قبول|ورزش کردن
	🙆🏿;باشه: پوست آبنوسی;آه خدای من|اوکی|باشه|پوست آبنوسی|تأیید|تایید|خانم|دست|زن|ژست|قبول|ورزش کردن
🙆‍♂️;مرد می‌پذیرد;اوکی|باشه|تأیید|درست|ژشت موافقت|مرد می‌پذیرد
	🙆🏻‍♂️;مرد می‌پذیرد: پوست سفید;اوکی|باشه|پوست سفید|تأیید|درست|ژشت موافقت|مرد می‌پذیرد
	🙆🏼‍♂️;مرد می‌پذیرد: پوست روشن;اوکی|باشه|پوست روشن|تأیید|درست|ژشت موافقت|مرد می‌پذیرد
	🙆🏽‍♂️;مرد می‌پذیرد: پوست طلایی;اوکی|باشه|پوست طلایی|تأیید|درست|ژشت موافقت|مرد می‌پذیرد
	🙆🏾‍♂️;مرد می‌پذیرد: پوست گندمی;اوکی|باشه|پوست گندمی|تأیید|درست|ژشت موافقت|مرد می‌پذیرد
	🙆🏿‍♂️;مرد می‌پذیرد: پوست آبنوسی;اوکی|باشه|پوست آبنوسی|تأیید|درست|ژشت موافقت|مرد می‌پذیرد
🙆‍♀️;زن می‌پذیرد;اوکی|باشه|تأیید|درست|زن می‌پذیرد|ژشت موافقت
	🙆🏻‍♀️;زن می‌پذیرد: پوست سفید;اوکی|باشه|پوست سفید|تأیید|درست|زن می‌پذیرد|ژشت موافقت
	🙆🏼‍♀️;زن می‌پذیرد: پوست روشن;اوکی|باشه|پوست روشن|تأیید|درست|زن می‌پذیرد|ژشت موافقت
	🙆🏽‍♀️;زن می‌پذیرد: پوست طلایی;اوکی|باشه|پوست طلایی|تأیید|درست|زن می‌پذیرد|ژشت موافقت
	🙆🏾‍♀️;زن می‌پذیرد: پوست گندمی;اوکی|باشه|پوست گندمی|تأیید|درست|زن می‌پذیرد|ژشت موافقت
	🙆🏿‍♀️;زن می‌پذیرد: پوست آبنوسی;اوکی|باشه|پوست آبنوسی|تأیید|درست|زن می‌پذیرد|ژشت موافقت
💁;آماده کمک;آماده کمک|اشاره|اطلاعات|بدن|تکان دادن مو|دست|زن|سرزنده|طعنه|غیبت|کمک|واقعا؟
	💁🏻;آماده کمک: پوست سفید;آماده کمک|اشاره|اطلاعات|بدن|پوست سفید|تکان دادن مو|دست|زن|سرزنده|طعنه|غیبت|کمک|واقعا؟
	💁🏼;آماده کمک: پوست روشن;آماده کمک|اشاره|اطلاعات|بدن|پوست روشن|تکان دادن مو|دست|زن|سرزنده|طعنه|غیبت|کمک|واقعا؟
	💁🏽;آماده کمک: پوست طلایی;آماده کمک|اشاره|اطلاعات|بدن|پوست طلایی|تکان دادن مو|دست|زن|سرزنده|طعنه|غیبت|کمک|واقعا؟
	💁🏾;آماده کمک: پوست گندمی;آماده کمک|اشاره|اطلاعات|بدن|پوست گندمی|تکان دادن مو|دست|زن|سرزنده|طعنه|غیبت|کمک|واقعا؟
	💁🏿;آماده کمک: پوست آبنوسی;آماده کمک|اشاره|اطلاعات|بدن|پوست آبنوسی|تکان دادن مو|دست|زن|سرزنده|طعنه|غیبت|کمک|واقعا؟
💁‍♂️;مرد کمک می‌کند;اطلاعات|انعام دادن|انعام گرفتن|رو کردن|غیبت کردن|کمک|کمک کردن|مرد دستش را رو می‌کند|مرد کمک می‌کند
	💁🏻‍♂️;مرد کمک می‌کند: پوست سفید;اطلاعات|انعام دادن|انعام گرفتن|پوست سفید|رو کردن|غیبت کردن|کمک|کمک کردن|مرد دستش را رو می‌کند|مرد کمک می‌کند
	💁🏼‍♂️;مرد کمک می‌کند: پوست روشن;اطلاعات|انعام دادن|انعام گرفتن|پوست روشن|رو کردن|غیبت کردن|کمک|کمک کردن|مرد دستش را رو می‌کند|مرد کمک می‌کند
	💁🏽‍♂️;مرد کمک می‌کند: پوست طلایی;اطلاعات|انعام دادن|انعام گرفتن|پوست طلایی|رو کردن|غیبت کردن|کمک|کمک کردن|مرد دستش را رو می‌کند|مرد کمک می‌کند
	💁🏾‍♂️;مرد کمک می‌کند: پوست گندمی;اطلاعات|انعام دادن|انعام گرفتن|پوست گندمی|رو کردن|غیبت کردن|کمک|کمک کردن|مرد دستش را رو می‌کند|مرد کمک می‌کند
	💁🏿‍♂️;مرد کمک می‌کند: پوست آبنوسی;اطلاعات|انعام دادن|انعام گرفتن|پوست آبنوسی|رو کردن|غیبت کردن|کمک|کمک کردن|مرد دستش را رو می‌کند|مرد کمک می‌کند
💁‍♀️;زن کمک می‌کند;انعام دادن|انعام گرفتن|رو کردن|زن دستش را رو می‌کند|زن کمک می‌کند|کمک کردن
	💁🏻‍♀️;زن کمک می‌کند: پوست سفید;انعام دادن|انعام گرفتن|پوست سفید|رو کردن|زن دستش را رو می‌کند|زن کمک می‌کند|کمک کردن
	💁🏼‍♀️;زن کمک می‌کند: پوست روشن;انعام دادن|انعام گرفتن|پوست روشن|رو کردن|زن دستش را رو می‌کند|زن کمک می‌کند|کمک کردن
	💁🏽‍♀️;زن کمک می‌کند: پوست طلایی;انعام دادن|انعام گرفتن|پوست طلایی|رو کردن|زن دستش را رو می‌کند|زن کمک می‌کند|کمک کردن
	💁🏾‍♀️;زن کمک می‌کند: پوست گندمی;انعام دادن|انعام گرفتن|پوست گندمی|رو کردن|زن دستش را رو می‌کند|زن کمک می‌کند|کمک کردن
	💁🏿‍♀️;زن کمک می‌کند: پوست آبنوسی;انعام دادن|انعام گرفتن|پوست آبنوسی|رو کردن|زن دستش را رو می‌کند|زن کمک می‌کند|کمک کردن
🙋;ای ول;اجازه|ای ول|بالا|بیا اینجا|دست|زن|ژست|سوال|شاد|من|من را انتخاب کن|می دانم|می‌توانم کمک کنم
	🙋🏻;ای ول: پوست سفید;اجازه|ای ول|بالا|بیا اینجا|پوست سفید|دست|زن|ژست|سوال|شاد|من|من را انتخاب کن|می دانم|می‌توانم کمک کنم
	🙋🏼;ای ول: پوست روشن;اجازه|ای ول|بالا|بیا اینجا|پوست روشن|دست|زن|ژست|سوال|شاد|من|من را انتخاب کن|می دانم|می‌توانم کمک کنم
	🙋🏽;ای ول: پوست طلایی;اجازه|ای ول|بالا|بیا اینجا|پوست طلایی|دست|زن|ژست|سوال|شاد|من|من را انتخاب کن|می دانم|می‌توانم کمک کنم
	🙋🏾;ای ول: پوست گندمی;اجازه|ای ول|بالا|بیا اینجا|پوست گندمی|دست|زن|ژست|سوال|شاد|من|من را انتخاب کن|می دانم|می‌توانم کمک کنم
	🙋🏿;ای ول: پوست آبنوسی;اجازه|ای ول|بالا|بیا اینجا|پوست آبنوسی|دست|زن|ژست|سوال|شاد|من|من را انتخاب کن|می دانم|می‌توانم کمک کنم
🙋‍♂️;مرد دستش را بالا می‌برد;احترام|سلام دادن|سلام کردن|مرد دستش را بالا می‌برد
	🙋🏻‍♂️;مرد دستش را بالا می‌برد: پوست سفید;احترام|پوست سفید|سلام دادن|سلام کردن|مرد دستش را بالا می‌برد
	🙋🏼‍♂️;مرد دستش را بالا می‌برد: پوست روشن;احترام|پوست روشن|سلام دادن|سلام کردن|مرد دستش را بالا می‌برد
	🙋🏽‍♂️;مرد دستش را بالا می‌برد: پوست طلایی;احترام|پوست طلایی|سلام دادن|سلام کردن|مرد دستش را بالا می‌برد
	🙋🏾‍♂️;مرد دستش را بالا می‌برد: پوست گندمی;احترام|پوست گندمی|سلام دادن|سلام کردن|مرد دستش را بالا می‌برد
	🙋🏿‍♂️;مرد دستش را بالا می‌برد: پوست آبنوسی;احترام|پوست آبنوسی|سلام دادن|سلام کردن|مرد دستش را بالا می‌برد
🙋‍♀️;زن دستش را بالا می‌برد;احترام|زن دستش را بالا می‌برد|سلام دادن|سلام کردن
	🙋🏻‍♀️;زن دستش را بالا می‌برد: پوست سفید;احترام|پوست سفید|زن دستش را بالا می‌برد|سلام دادن|سلام کردن
	🙋🏼‍♀️;زن دستش را بالا می‌برد: پوست روشن;احترام|پوست روشن|زن دستش را بالا می‌برد|سلام دادن|سلام کردن
	🙋🏽‍♀️;زن دستش را بالا می‌برد: پوست طلایی;احترام|پوست طلایی|زن دستش را بالا می‌برد|سلام دادن|سلام کردن
	🙋🏾‍♀️;زن دستش را بالا می‌برد: پوست گندمی;احترام|پوست گندمی|زن دستش را بالا می‌برد|سلام دادن|سلام کردن
	🙋🏿‍♀️;زن دستش را بالا می‌برد: پوست آبنوسی;احترام|پوست آبنوسی|زن دستش را بالا می‌برد|سلام دادن|سلام کردن
🧏;آدم ناشنوا;آدم ناشنوا|دسترس‌پذیری|شنیدن|قابلیت دسترسی|کر|گوش|ناشنوا
	🧏🏻;آدم ناشنوا: پوست سفید;آدم ناشنوا|پوست سفید|دسترس‌پذیری|شنیدن|قابلیت دسترسی|کر|گوش|ناشنوا
	🧏🏼;آدم ناشنوا: پوست روشن;آدم ناشنوا|پوست روشن|دسترس‌پذیری|شنیدن|قابلیت دسترسی|کر|گوش|ناشنوا
	🧏🏽;آدم ناشنوا: پوست طلایی;آدم ناشنوا|پوست طلایی|دسترس‌پذیری|شنیدن|قابلیت دسترسی|کر|گوش|ناشنوا
	🧏🏾;آدم ناشنوا: پوست گندمی;آدم ناشنوا|پوست گندمی|دسترس‌پذیری|شنیدن|قابلیت دسترسی|کر|گوش|ناشنوا
	🧏🏿;آدم ناشنوا: پوست آبنوسی;آدم ناشنوا|پوست آبنوسی|دسترس‌پذیری|شنیدن|قابلیت دسترسی|کر|گوش|ناشنوا
🧏‍♂️;مرد ناشنوا;مرد|ناشنوا
	🧏🏻‍♂️;مرد ناشنوا: پوست سفید;پوست سفید|مرد|ناشنوا
	🧏🏼‍♂️;مرد ناشنوا: پوست روشن;پوست روشن|مرد|ناشنوا
	🧏🏽‍♂️;مرد ناشنوا: پوست طلایی;پوست طلایی|مرد|ناشنوا
	🧏🏾‍♂️;مرد ناشنوا: پوست گندمی;پوست گندمی|مرد|ناشنوا
	🧏🏿‍♂️;مرد ناشنوا: پوست آبنوسی;پوست آبنوسی|مرد|ناشنوا
🧏‍♀️;زن ناشنوا;زن|ناشنوا
	🧏🏻‍♀️;زن ناشنوا: پوست سفید;پوست سفید|زن|ناشنوا
	🧏🏼‍♀️;زن ناشنوا: پوست روشن;پوست روشن|زن|ناشنوا
	🧏🏽‍♀️;زن ناشنوا: پوست طلایی;پوست طلایی|زن|ناشنوا
	🧏🏾‍♀️;زن ناشنوا: پوست گندمی;پوست گندمی|زن|ناشنوا
	🧏🏿‍♀️;زن ناشنوا: پوست آبنوسی;پوست آبنوسی|زن|ناشنوا
🙇;عذرخواهی;آدم|التماس|ببخشید|پشیمانی|تعظیم|ژست|شرمنده|عبادت|عذرخواهی|متأسف|متاسفم|مدیتیشن|مرد
	🙇🏻;عذرخواهی: پوست سفید;آدم|التماس|ببخشید|پشیمانی|پوست سفید|تعظیم|ژست|شرمنده|عبادت|عذرخواهی|متأسف|متاسفم|مدیتیشن|مرد
	🙇🏼;عذرخواهی: پوست روشن;آدم|التماس|ببخشید|پشیمانی|پوست روشن|تعظیم|ژست|شرمنده|عبادت|عذرخواهی|متأسف|متاسفم|مدیتیشن|مرد
	🙇🏽;عذرخواهی: پوست طلایی;آدم|التماس|ببخشید|پشیمانی|پوست طلایی|تعظیم|ژست|شرمنده|عبادت|عذرخواهی|متأسف|متاسفم|مدیتیشن|مرد
	🙇🏾;عذرخواهی: پوست گندمی;آدم|التماس|ببخشید|پشیمانی|پوست گندمی|تعظیم|ژست|شرمنده|عبادت|عذرخواهی|متأسف|متاسفم|مدیتیشن|مرد
	🙇🏿;عذرخواهی: پوست آبنوسی;آدم|التماس|ببخشید|پشیمانی|پوست آبنوسی|تعظیم|ژست|شرمنده|عبادت|عذرخواهی|متأسف|متاسفم|مدیتیشن|مرد
🙇‍♂️;مرد تعظیم می‌کند;خواهش داشتن|درخواست کردن|عذرخواهی|عذرخواهی کردن|متأسف|مرد تعظیم می‌کند
	🙇🏻‍♂️;مرد تعظیم می‌کند: پوست سفید;پوست سفید|خواهش داشتن|درخواست کردن|عذرخواهی|عذرخواهی کردن|متأسف|مرد تعظیم می‌کند
	🙇🏼‍♂️;مرد تعظیم می‌کند: پوست روشن;پوست روشن|خواهش داشتن|درخواست کردن|عذرخواهی|عذرخواهی کردن|متأسف|مرد تعظیم می‌کند
	🙇🏽‍♂️;مرد تعظیم می‌کند: پوست طلایی;پوست طلایی|خواهش داشتن|درخواست کردن|عذرخواهی|عذرخواهی کردن|متأسف|مرد تعظیم می‌کند
	🙇🏾‍♂️;مرد تعظیم می‌کند: پوست گندمی;پوست گندمی|خواهش داشتن|درخواست کردن|عذرخواهی|عذرخواهی کردن|متأسف|مرد تعظیم می‌کند
	🙇🏿‍♂️;مرد تعظیم می‌کند: پوست آبنوسی;پوست آبنوسی|خواهش داشتن|درخواست کردن|عذرخواهی|عذرخواهی کردن|متأسف|مرد تعظیم می‌کند
🙇‍♀️;زن تعظیم می‌کند;خواهش داشتن|درخواست کردن|زن تعظیم می‌کند|عذرخواهی|عذرخواهی کردن|متأسف
	🙇🏻‍♀️;زن تعظیم می‌کند: پوست سفید;پوست سفید|خواهش داشتن|درخواست کردن|زن تعظیم می‌کند|عذرخواهی|عذرخواهی کردن|متأسف
	🙇🏼‍♀️;زن تعظیم می‌کند: پوست روشن;پوست روشن|خواهش داشتن|درخواست کردن|زن تعظیم می‌کند|عذرخواهی|عذرخواهی کردن|متأسف
	🙇🏽‍♀️;زن تعظیم می‌کند: پوست طلایی;پوست طلایی|خواهش داشتن|درخواست کردن|زن تعظیم می‌کند|عذرخواهی|عذرخواهی کردن|متأسف
	🙇🏾‍♀️;زن تعظیم می‌کند: پوست گندمی;پوست گندمی|خواهش داشتن|درخواست کردن|زن تعظیم می‌کند|عذرخواهی|عذرخواهی کردن|متأسف
	🙇🏿‍♀️;زن تعظیم می‌کند: پوست آبنوسی;پوست آبنوسی|خواهش داشتن|درخواست کردن|زن تعظیم می‌کند|عذرخواهی|عذرخواهی کردن|متأسف
🤦;با کف دست به پیشانی زدن;با کف دست به پیشانی زدن|تعجب|رنجش|زن|شوک|صورت|عصبانیت|کف دست|گذاشتن دست ها روی صورت|ناامیدی|ناباوری|وای نه
	🤦🏻;با کف دست به پیشانی زدن: پوست سفید;با کف دست به پیشانی زدن|پوست سفید|تعجب|رنجش|زن|شوک|صورت|عصبانیت|کف دست|گذاشتن دست ها روی صورت|ناامیدی|ناباوری|وای نه
	🤦🏼;با کف دست به پیشانی زدن: پوست روشن;با کف دست به پیشانی زدن|پوست روشن|تعجب|رنجش|زن|شوک|صورت|عصبانیت|کف دست|گذاشتن دست ها روی صورت|ناامیدی|ناباوری|وای نه
	🤦🏽;با کف دست به پیشانی زدن: پوست طلایی;با کف دست به پیشانی زدن|پوست طلایی|تعجب|رنجش|زن|شوک|صورت|عصبانیت|کف دست|گذاشتن دست ها روی صورت|ناامیدی|ناباوری|وای نه
	🤦🏾;با کف دست به پیشانی زدن: پوست گندمی;با کف دست به پیشانی زدن|پوست گندمی|تعجب|رنجش|زن|شوک|صورت|عصبانیت|کف دست|گذاشتن دست ها روی صورت|ناامیدی|ناباوری|وای نه
	🤦🏿;با کف دست به پیشانی زدن: پوست آبنوسی;با کف دست به پیشانی زدن|پوست آبنوسی|تعجب|رنجش|زن|شوک|صورت|عصبانیت|کف دست|گذاشتن دست ها روی صورت|ناامیدی|ناباوری|وای نه
🤦‍♂️;مرد با کف دست به پیشانی می‌زند;افتضاح|ای وای|با کف دست به پیشانی زدن|باورم نمیشه|باورم نمی‌شود|خجالت دارد|دست|شوک|صورت|کف دست|گذاشتن دست ها روی صورت|مرد|مرد با کف دست به پیشانی می‌زند|مرد مستأصل|مرد ناراحت|ناامیدی
	🤦🏻‍♂️;مرد با کف دست به پیشانی می‌زند: پوست سفید;افتضاح|ای وای|با کف دست به پیشانی زدن|باورم نمیشه|باورم نمی‌شود|پوست سفید|خجالت دارد|دست|شوک|صورت|کف دست|گذاشتن دست ها روی صورت|مرد|مرد با کف دست به پیشانی می‌زند|مرد مستأصل|مرد ناراحت|ناامیدی
	🤦🏼‍♂️;مرد با کف دست به پیشانی می‌زند: پوست روشن;افتضاح|ای وای|با کف دست به پیشانی زدن|باورم نمیشه|باورم نمی‌شود|پوست روشن|خجالت دارد|دست|شوک|صورت|کف دست|گذاشتن دست ها روی صورت|مرد|مرد با کف دست به پیشانی می‌زند|مرد مستأصل|مرد ناراحت|ناامیدی
