# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;рӯи хандон;рӯи хандон|рӯй|фарох табассум кардан
	💁🏾;шахсе, ки бо дасташ ишора карда истодааст: ранги торики миёнаи пӯст;густох|даст|ки бо дасташ ишора карда истодааст|кӯмак|маълумот|ранги торики миёнаи пӯст|чаппакунӣ|шахсе|шахсе, ки бо дасташ ишора карда истодааст
	💁🏿;шахсе, ки бо дасташ ишора карда истодааст: ранги торики пӯст;густох|даст|ки бо дасташ ишора карда истодааст|кӯмак|маълумот|ранги торики пӯст|чаппакунӣ|шахсе|шахсе, ки бо дасташ ишора карда истодааст
💁‍♂️;марде, ки бо дасташ ишора карда истодааст;густох|дасти ишоракунанда|ки бо дасташ ишора карда истодааст|мард|марде|марде, ки бо дасташ ишора карда истодааст
	💁🏻‍♂️;марде, ки бо дасташ ишора карда истодааст: ранги равшани пӯст;густох|дасти ишоракунанда|ки бо дасташ ишора карда истодааст|мард|марде|марде, ки бо дасташ ишора карда истодааст|ранги равшани пӯст
	💁🏼‍♂️;марде, ки бо дасташ ишора карда истодааст: ранги равшании миёнаи пӯст;густох|дасти ишоракунанда|ки бо дасташ ишора карда истодааст|мард|марде|марде, ки бо дасташ ишора карда истодааст|ранги равшании миёнаи пӯст
	💁🏽‍♂️;марде, ки бо дасташ ишора карда истодааст: ранги миёнаи пӯст;густох|дасти ишоракунанда|ки бо дасташ ишора карда истодааст|мард|марде|марде, ки бо дасташ ишора карда истодааст|ранги миёнаи пӯст
	💁🏾‍♂️;марде, ки бо дасташ ишора карда истодааст: ранги торики миёнаи пӯст;густох|дасти ишоракунанда|ки бо дасташ ишора карда истодааст|мард|марде|марде, ки бо дасташ ишора карда истодааст|ранги торики миёнаи пӯст
	💁🏿‍♂️;марде, ки бо дасташ ишора карда истодааст: ранги торики пӯст;густох|дасти ишоракунанда|ки бо дасташ ишора карда истодааст|мард|марде|марде, ки бо дасташ ишора карда истодааст|ранги торики пӯст
💁‍♀️;зане, ки бо дасташ ишора карда истодааст;густох|дасти ишоракунанда|зан|зане|зане, ки бо дасташ ишора карда истодааст|ки бо дасташ ишора карда истодааст
	💁🏻‍♀️;зане, ки бо дасташ ишора карда истодааст: ранги равшани пӯст;густох|дасти ишоракунанда|зан|зане|зане, ки бо дасташ ишора карда истодааст|ки бо дасташ ишора карда истодааст|ранги равшани пӯст
	💁🏼‍♀️;зане, ки бо дасташ ишора карда истодааст: ранги равшании миёнаи пӯст;густох|дасти ишоракунанда|зан|зане|зане, ки бо дасташ ишора карда истодааст|ки бо дасташ ишора карда истодааст|ранги равшании миёнаи пӯст
	💁🏽‍♀️;зане, ки бо дасташ ишора карда истодааст: ранги миёнаи пӯст;густох|дасти ишоракунанда|зан|зане|зане, ки бо дасташ ишора карда истодааст|ки бо дасташ ишора карда истодааст|ранги миёнаи пӯст
	💁🏾‍♀️;зане, ки бо дасташ ишора карда истодааст: ранги торики миёнаи пӯст;густох|дасти ишоракунанда|зан|зане|зане, ки бо дасташ ишора карда истодааст|ки бо дасташ ишора карда истодааст|ранги торики миёнаи пӯст
	💁🏿‍♀️;зане, ки бо дасташ ишора карда истодааст: ранги торики пӯст;густох|дасти ишоракунанда|зан|зане|зане, ки бо дасташ ишора карда истодааст|ки бо дасташ ишора карда истодааст|ранги торики пӯст
🙋;шахсе, ки дасташро бардошта истодааст;бардошта|даст|имову ишора|ки дасташро бардошта истодааст|хурсанд|шахсе|шахсе, ки дасташро бардошта истодааст
	🙋🏻;шахсе, ки дасташро бардошта истодааст: ранги равшани пӯст;бардошта|даст|имову ишора|ки дасташро бардошта истодааст|ранги равшани пӯст|хурсанд|шахсе|шахсе, ки дасташро бардошта истодааст
	🙋🏼;шахсе, ки дасташро бардошта истодааст: ранги равшании миёнаи пӯст;бардошта|даст|имову ишора|ки дасташро бардошта истодааст|ранги равшании миёнаи пӯст|хурсанд|шахсе|шахсе, ки дасташро бардошта истодааст
	🙋🏽;шахсе, ки дасташро бардошта истодааст: ранги миёнаи пӯст;бардошта|даст|имову ишора|ки дасташро бардошта истодааст|ранги миёнаи пӯст|хурсанд|шахсе|шахсе, ки дасташро бардошта истодааст
	🙋🏾;шахсе, ки дасташро бардошта истодааст: ранги торики миёнаи пӯст;бардошта|даст|имову ишора|ки дасташро бардошта истодааст|ранги торики миёнаи пӯст|хурсанд|шахсе|шахсе, ки дасташро бардошта истодааст
	🙋🏿;шахсе, ки дасташро бардошта истодааст: ранги торики пӯст;бардошта|даст|имову ишора|ки дасташро бардошта истодааст|ранги торики пӯст|хурсанд|шахсе|шахсе, ки дасташро бардошта истодааст
🙋‍♂️;марде, ки дасташро бардошта истодааст;дасти бардошта|имову ишора|ки дасташро бардошта истодааст|мард|марде|марде, ки дасташро бардошта истодааст
	🙋🏻‍♂️;марде, ки дасташро бардошта истодааст: ранги равшани пӯст;дасти бардошта|имову ишора|ки дасташро бардошта истодааст|мард|марде|марде, ки дасташро бардошта истодааст|ранги равшани пӯст
	🙋🏼‍♂️;марде, ки дасташро бардошта истодааст: ранги равшании миёнаи пӯст;дасти бардошта|имову ишора|ки дасташро бардошта истодааст|мард|марде|марде, ки дасташро бардошта истодааст|ранги равшании миёнаи пӯст
	🙋🏽‍♂️;марде, ки дасташро бардошта истодааст: ранги миёнаи пӯст;дасти бардошта|имову ишора|ки дасташро бардошта истодааст|мард|марде|марде, ки дасташро бардошта истодааст|ранги миёнаи пӯст
	🙋🏾‍♂️;марде, ки дасташро бардошта истодааст: ранги торики миёнаи пӯст;дасти бардошта|имову ишора|ки дасташро бардошта истодааст|мард|марде|марде, ки дасташро бардошта истодааст|ранги торики миёнаи пӯст
	🙋🏿‍♂️;марде, ки дасташро бардошта истодааст: ранги торики пӯст;дасти бардошта|имову ишора|ки дасташро бардошта истодааст|мард|марде|марде, ки дасташро бардошта истодааст|ранги торики пӯст
🙋‍♀️;зане, ки дасташро бардошта истодааст;дасти бардошта|зан|зане|зане, ки дасташро бардошта истодааст|имову ишора|ки дасташро бардошта истодааст
	🙋🏻‍♀️;зане, ки дасташро бардошта истодааст: ранги равшани пӯст;дасти бардошта|зан|зане|зане, ки дасташро бардошта истодааст|имову ишора|ки дасташро бардошта истодааст|ранги равшани пӯст
	🙋🏼‍♀️;зане, ки дасташро бардошта истодааст: ранги равшании миёнаи пӯст;дасти бардошта|зан|зане|зане, ки дасташро бардошта истодааст|имову ишора|ки дасташро бардошта истодааст|ранги равшании миёнаи пӯст
	🙋🏽‍♀️;зане, ки дасташро бардошта истодааст: ранги миёнаи пӯст;дасти бардошта|зан|зане|зане, ки дасташро бардошта истодааст|имову ишора|ки дасташро бардошта истодааст|ранги миёнаи пӯст
	🙋🏾‍♀️;зане, ки дасташро бардошта истодааст: ранги торики миёнаи пӯст;дасти бардошта|зан|зане|зане, ки дасташро бардошта истодааст|имову ишора|ки дасташро бардошта истодааст|ранги торики миёнаи пӯст
	🙋🏿‍♀️;зане, ки дасташро бардошта истодааст: ранги торики пӯст;дасти бардошта|зан|зане|зане, ки дасташро бардошта истодааст|имову ишора|ки дасташро бардошта истодааст|ранги торики пӯст
🧏;;
	🧏🏻;;
	🧏🏼;;
	🧏🏽;;
	🧏🏾;;
	🧏🏿;;
🧏‍♂️;;
	🧏🏻‍♂️;;
	🧏🏼‍♂️;;
	🧏🏽‍♂️;;
	🧏🏾‍♂️;;
	🧏🏿‍♂️;;
🧏‍♀️;;
	🧏🏻‍♀️;;
	🧏🏼‍♀️;;
	🧏🏽‍♀️;;
	🧏🏾‍♀️;;
	🧏🏿‍♀️;;
🙇;шахсе, ки хам шуда истодааст;бахшиш|имову ишора|ки хам шуда истодааст|узр|хам шудан|шахсе|шахсе, ки хам шуда истодааст
	🙇🏻;шахсе, ки хам шуда истодааст: ранги равшани пӯст;бахшиш|имову ишора|ки хам шуда истодааст|ранги равшани пӯст|узр|хам шудан|шахсе|шахсе, ки хам шуда истодааст
	🙇🏼;шахсе, ки хам шуда истодааст: ранги равшании миёнаи пӯст;бахшиш|имову ишора|ки хам шуда истодааст|ранги равшании миёнаи пӯст|узр|хам шудан|шахсе|шахсе, ки хам шуда истодааст
	🙇🏽;шахсе, ки хам шуда истодааст: ранги миёнаи пӯст;бахшиш|имову ишора|ки хам шуда истодааст|ранги миёнаи пӯст|узр|хам шудан|шахсе|шахсе, ки хам шуда истодааст
	🙇🏾;шахсе, ки хам шуда истодааст: ранги торики миёнаи пӯст;бахшиш|имову ишора|ки хам шуда истодааст|ранги торики миёнаи пӯст|узр|хам шудан|шахсе|шахсе, ки хам шуда истодааст
	🙇🏿;шахсе, ки хам шуда истодааст: ранги торики пӯст;бахшиш|имову ишора|ки хам шуда истодааст|ранги торики пӯст|узр|хам шудан|шахсе|шахсе, ки хам шуда истодааст
🙇‍♂️;марде, ки хам шуда истодааст;бахшиш|имову ишора|ки хам шуда истодааст|лутф|мард|марде|марде, ки хам шуда истодааст|узр|хам шуда истода
	🙇🏻‍♂️;марде, ки хам шуда истодааст: ранги равшани пӯст;бахшиш|имову ишора|ки хам шуда истодааст|лутф|мард|марде|марде, ки хам шуда истодааст|ранги равшани пӯст|узр|хам шуда истода
	🙇🏼‍♂️;марде, ки хам шуда истодааст: ранги равшании миёнаи пӯст;бахшиш|имову ишора|ки хам шуда истодааст|лутф|мард|марде|марде, ки хам шуда истодааст|ранги равшании миёнаи пӯст|узр|хам шуда истода
	🙇🏽‍♂️;марде, ки хам шуда истодааст: ранги миёнаи пӯст;бахшиш|имову ишора|ки хам шуда истодааст|лутф|мард|марде|марде, ки хам шуда истодааст|ранги миёнаи пӯст|узр|хам шуда истода
	🙇🏾‍♂️;марде, ки хам шуда истодааст: ранги торики миёнаи пӯст;бахшиш|имову ишора|ки хам шуда истодааст|лутф|мард|марде|марде, ки хам шуда истодааст|ранги торики миёнаи пӯст|узр|хам шуда истода
	🙇🏿‍♂️;марде, ки хам шуда истодааст: ранги торики пӯст;бахшиш|имову ишора|ки хам шуда истодааст|лутф|мард|марде|марде, ки хам шуда истодааст|ранги торики пӯст|узр|хам шуда истода
🙇‍♀️;зане, ки хам шуда истодааст;бахшиш|зан|зане|зане, ки хам шуда истодааст|имову ишора|ки хам шуда истодааст|лутф|узр|хам шуда истода
	🙇🏻‍♀️;зане, ки хам шуда истодааст: ранги равшани пӯст;бахшиш|зан|зане|зане, ки хам шуда истодааст|имову ишора|ки хам шуда истодааст|лутф|ранги равшани пӯст|узр|хам шуда истода
	🙇🏼‍♀️;зане, ки хам шуда истодааст: ранги равшании миёнаи пӯст;бахшиш|зан|зане|зане, ки хам шуда истодааст|имову ишора|ки хам шуда истодааст|лутф|ранги равшании миёнаи пӯст|узр|хам шуда истода
	🙇🏽‍♀️;зане, ки хам шуда истодааст: ранги миёнаи пӯст;бахшиш|зан|зане|зане, ки хам шуда истодааст|имову ишора|ки хам шуда истодааст|лутф|ранги миёнаи пӯст|узр|хам шуда истода
	🙇🏾‍♀️;зане, ки хам шуда истодааст: ранги торики миёнаи пӯст;бахшиш|зан|зане|зане, ки хам шуда истодааст|имову ишора|ки хам шуда истодааст|лутф|ранги торики миёнаи пӯст|узр|хам шуда истода
	🙇🏿‍♀️;зане, ки хам шуда истодааст: ранги торики пӯст;бахшиш|зан|зане|зане, ки хам шуда истодааст|имову ишора|ки хам шуда истодааст|лутф|ранги торики пӯст|узр|хам шуда истода
🤦;шахсе, ки рӯяшро бо дастонаш пӯшида истодааст;кафи даст|ки рӯяшро бо дастонаш пӯшида истодааст|нобоварӣ|рӯй|хашмгинӣ|шахсе|шахсе, ки рӯяшро бо дастонаш пӯшида истодааст
	🤦🏻;шахсе, ки рӯяшро бо дастонаш пӯшида истодааст: ранги равшани пӯст;кафи даст|ки рӯяшро бо дастонаш пӯшида истодааст|нобоварӣ|ранги равшани пӯст|рӯй|хашмгинӣ|шахсе|шахсе, ки рӯяшро бо дастонаш пӯшида истодааст
	🤦🏼;шахсе, ки рӯяшро бо дастонаш пӯшида истодааст: ранги равшании миёнаи пӯст;кафи даст|ки рӯяшро бо дастонаш пӯшида истодааст|нобоварӣ|ранги равшании миёнаи пӯст|рӯй|хашмгинӣ|шахсе|шахсе, ки рӯяшро бо дастонаш пӯшида истодааст
	🤦🏽;шахсе, ки рӯяшро бо дастонаш пӯшида истодааст: ранги миёнаи пӯст;кафи даст|ки рӯяшро бо дастонаш пӯшида истодааст|нобоварӣ|ранги миёнаи пӯст|рӯй|хашмгинӣ|шахсе|шахсе, ки рӯяшро бо дастонаш пӯшида истодааст
	🤦🏾;шахсе, ки рӯяшро бо дастонаш пӯшида истодааст: ранги торики миёнаи пӯст;кафи даст|ки рӯяшро бо дастонаш пӯшида истодааст|нобоварӣ|ранги торики миёнаи пӯст|рӯй|хашмгинӣ|шахсе|шахсе, ки рӯяшро бо дастонаш пӯшида истодааст
	🤦🏿;шахсе, ки рӯяшро бо дастонаш пӯшида истодааст: ранги торики пӯст;кафи даст|ки рӯяшро бо дастонаш пӯшида истодааст|нобоварӣ|ранги торики пӯст|рӯй|хашмгинӣ|шахсе|шахсе, ки рӯяшро бо дастонаш пӯшида истодааст
🤦‍♂️;марде, ки рӯяшро бо дастонаш пӯшида истодааст;ки рӯяшро бо дастонаш пӯшида истодааст|мард|марде|марде, ки рӯяшро бо дастонаш пӯшида истодааст|нобоварӣ|пӯшидани рӯй бо дастон|хашмгинӣ
	🤦🏻‍♂️;марде, ки рӯяшро бо дастонаш пӯшида истодааст: ранги равшани пӯст;ки рӯяшро бо дастонаш пӯшида истодааст|мард|марде|марде, ки рӯяшро бо дастонаш пӯшида истодааст|нобоварӣ|пӯшидани рӯй бо дастон|ранги равшани пӯст|хашмгинӣ
	🤦🏼‍♂️;марде, ки рӯяшро бо дастонаш пӯшида истодааст: ранги равшании миёнаи пӯст;ки рӯяшро бо дастонаш пӯшида истодааст|мард|марде|марде, ки рӯяшро бо дастонаш пӯшида истодааст|нобоварӣ|пӯшидани рӯй бо дастон|ранги равшании миёнаи пӯст|хашмгинӣ
	🤦🏽‍♂️;марде, ки рӯяшро бо дастонаш пӯшида истодааст: ранги миёнаи пӯст;ки рӯяшро бо дастонаш пӯшида истодааст|мард|марде|марде, ки рӯяшро бо дастонаш пӯшида истодааст|нобоварӣ|пӯшидани рӯй бо дастон|ранги миёнаи пӯст|хашмгинӣ
	🤦🏾‍♂️;марде, ки рӯяшро бо дастонаш пӯшида истодааст: ранги торики миёнаи пӯст;ки рӯяшро бо дастонаш пӯшида истодааст|мард|марде|марде, ки рӯяшро бо дастонаш пӯшида истодааст|нобоварӣ|пӯшидани рӯй бо дастон|ранги торики миёнаи пӯст|хашмгинӣ
	🤦🏿‍♂️;марде, ки рӯяшро бо дастонаш пӯшида истодааст: ранги торики пӯст;ки рӯяшро бо дастонаш пӯшида истодааст|мард|марде|марде, ки рӯяшро бо дастонаш пӯшида истодааст|нобоварӣ|пӯшидани рӯй бо дастон|ранги торики пӯст|хашмгинӣ
🤦‍♀️;зане, ки рӯяшро бо дастонаш пӯшида истодааст;зан|зане|зане, ки рӯяшро бо дастонаш пӯшида истодааст|ки рӯяшро бо дастонаш пӯшида истодааст|нобоварӣ|пӯшидани рӯй бо дастон|хашмгинӣ
	🤦🏻‍♀️;зане, ки рӯяшро бо дастонаш пӯшида истодааст: ранги равшани пӯст;зан|зане|зане, ки рӯяшро бо дастонаш пӯшида истодааст|ки рӯяшро бо дастонаш пӯшида истодааст|нобоварӣ|пӯшидани рӯй бо дастон|ранги равшани пӯст|хашмгинӣ
	🤦🏼‍♀️;зане, ки рӯяшро бо дастонаш пӯшида истодааст: ранги равшании миёнаи пӯст;зан|зане|зане, ки рӯяшро бо дастонаш пӯшида истодааст|ки рӯяшро бо дастонаш пӯшида истодааст|нобоварӣ|пӯшидани рӯй бо дастон|ранги равшании миёнаи пӯст|хашмгинӣ
	🤦🏽‍♀️;зане, ки рӯяшро бо дастонаш пӯшида истодааст: ранги миёнаи пӯст;зан|зане|зане, ки рӯяшро бо дастонаш пӯшида истодааст|ки рӯяшро бо дастонаш пӯшида истодааст|нобоварӣ|пӯшидани рӯй бо дастон|ранги миёнаи пӯст|хашмгинӣ
	🤦🏾‍♀️;зане, ки рӯяшро бо дастонаш пӯшида истодааст: ранги торики миёнаи пӯст;зан|зане|зане, ки рӯяшро бо дастонаш пӯшида истодааст|ки рӯяшро бо дастонаш пӯшида истодааст|нобоварӣ|пӯшидани рӯй бо дастон|ранги торики миёнаи пӯст|хашмгинӣ
	🤦🏿‍♀️;зане, ки рӯяшро бо дастонаш пӯшида истодааст: ранги торики пӯст;зан|зане|зане, ки рӯяшро бо дастонаш пӯшида истодааст|ки рӯяшро бо дастонаш пӯшида истодааст|нобоварӣ|пӯшидани рӯй бо дастон|ранги торики пӯст|хашмгинӣ
🤷;шахсе, ки китф афшонда истодааст;бепарвоӣ|ки китф афшонда истодааст|китф афшондан|нодонӣ|шахсе|шахсе, ки китф афшонда истодааст|шубҳа
	🤷🏻;шахсе, ки китф афшонда истодааст: ранги равшани пӯст;бепарвоӣ|ки китф афшонда истодааст|китф афшондан|нодонӣ|ранги равшани пӯст|шахсе|шахсе, ки китф афшонда истодааст|шубҳа
	🤷🏼;шахсе, ки китф афшонда истодааст: ранги равшании миёнаи пӯст;бепарвоӣ|ки китф афшонда истодааст|китф афшондан|нодонӣ|ранги равшании миёнаи пӯст|шахсе|шахсе, ки китф афшонда истодааст|шубҳа
	🤷🏽;шахсе, ки китф афшонда истодааст: ранги миёнаи пӯст;бепарвоӣ|ки китф афшонда истодааст|китф афшондан|нодонӣ|ранги миёнаи пӯст|шахсе|шахсе, ки китф афшонда истодааст|шубҳа
	🤷🏾;шахсе, ки китф афшонда истодааст: ранги торики миёнаи пӯст;бепарвоӣ|ки китф афшонда истодааст|китф афшондан|нодонӣ|ранги торики миёнаи пӯст|шахсе|шахсе, ки китф афшонда истодааст|шубҳа
	🤷🏿;шахсе, ки китф афшонда истодааст: ранги торики пӯст;бепарвоӣ|ки китф афшонда истодааст|китф афшондан|нодонӣ|ранги торики пӯст|шахсе|шахсе, ки китф афшонда истодааст|шубҳа
🤷‍♂️;марде, ки китф афшонда истодааст;бепарвоӣ|ки китф афшонда истодааст|китф афшондан|мард|марде|марде, ки китф афшонда истодааст|нодонӣ|шубҳа
	🤷🏻‍♂️;марде, ки китф афшонда истодааст: ранги равшани пӯст;бепарвоӣ|ки китф афшонда истодааст|китф афшондан|мард|марде|марде, ки китф афшонда истодааст|нодонӣ|ранги равшани пӯст|шубҳа
	🤷🏼‍♂️;марде, ки китф афшонда истодааст: ранги равшании миёнаи пӯст;бепарвоӣ|ки китф афшонда истодааст|китф афшондан|мард|марде|марде, ки китф афшонда истодааст|нодонӣ|ранги равшании миёнаи пӯст|шубҳа
	🤷🏽‍♂️;марде, ки китф афшонда истодааст: ранги миёнаи пӯст;бепарвоӣ|ки китф афшонда истодааст|китф афшондан|мард|марде|марде, ки китф афшонда истодааст|нодонӣ|ранги миёнаи пӯст|шубҳа
	🤷🏾‍♂️;марде, ки китф афшонда истодааст: ранги торики миёнаи пӯст;бепарвоӣ|ки китф афшонда истодааст|китф афшондан|мард|марде|марде, ки китф афшонда истодааст|нодонӣ|ранги торики миёнаи пӯст|шубҳа
	🤷🏿‍♂️;марде, ки китф афшонда истодааст: ранги торики пӯст;бепарвоӣ|ки китф афшонда истодааст|китф афшондан|мард|марде|марде, ки китф афшонда истодааст|нодонӣ|ранги торики пӯст|шубҳа
🤷‍♀️;зане, ки китф афшонда истодааст;бепарвоӣ|зан|зане|зане, ки китф афшонда истодааст|ки китф афшонда истодааст|китф афшондан|нодонӣ|шубҳа
	🤷🏻‍♀️;зане, ки китф афшонда истодааст: ранги равшани пӯст;бепарвоӣ|зан|зане|зане, ки китф афшонда истодааст|ки китф афшонда истодааст|китф афшондан|нодонӣ|ранги равшани пӯст|шубҳа
	🤷🏼‍♀️;зане, ки китф афшонда истодааст: ранги равшании миёнаи пӯст;бепарвоӣ|зан|зане|зане, ки китф афшонда истодааст|ки китф афшонда истодааст|китф афшондан|нодонӣ|ранги равшании миёнаи пӯст|шубҳа
	🤷🏽‍♀️;зане, ки китф афшонда истодааст: ранги миёнаи пӯст;бепарвоӣ|зан|зане|зане, ки китф афшонда истодааст|ки китф афшонда истодааст|китф афшондан|нодонӣ|ранги миёнаи пӯст|шубҳа
	🤷🏾‍♀️;зане, ки китф афшонда истодааст: ранги торики миёнаи пӯст;бепарвоӣ|зан|зане|зане, ки китф афшонда истодааст|ки китф афшонда истодааст|китф афшондан|нодонӣ|ранги торики миёнаи пӯст|шубҳа
	🤷🏿‍♀️;зане, ки китф афшонда истодааст: ранги торики пӯст;бепарвоӣ|зан|зане|зане, ки китф афшонда истодааст|ки китф афшонда истодааст|китф афшондан|нодонӣ|ранги торики пӯст|шубҳа
🧑‍⚕️;;
	🧑🏻‍⚕️;;
	🧑🏼‍⚕️;;
	🧑🏽‍⚕️;;
	🧑🏾‍⚕️;;
	🧑🏿‍⚕️;;
👨‍⚕️;марди корманди тандурустӣ;духтур|мард|марди корманди тандурустӣ|нигоҳдории тандурустӣ|терапевт|ҳамшираи шавқат
	👨🏻‍⚕️;марди корманди тандурустӣ: ранги равшани пӯст;духтур|мард|марди корманди тандурустӣ|нигоҳдории тандурустӣ|ранги равшани пӯст|терапевт|ҳамшираи шавқат
	👨🏼‍⚕️;марди корманди тандурустӣ: ранги равшании миёнаи пӯст;духтур|мард|марди корманди тандурустӣ|нигоҳдории тандурустӣ|ранги равшании миёнаи пӯст|терапевт|ҳамшираи шавқат
	👨🏽‍⚕️;марди корманди тандурустӣ: ранги миёнаи пӯст;духтур|мард|марди корманди тандурустӣ|нигоҳдории тандурустӣ|ранги миёнаи пӯст|терапевт|ҳамшираи шавқат
	👨🏾‍⚕️;марди корманди тандурустӣ: ранги торики миёнаи пӯст;духтур|мард|марди корманди тандурустӣ|нигоҳдории тандурустӣ|ранги торики миёнаи пӯст|терапевт|ҳамшираи шавқат
	👨🏿‍⚕️;марди корманди тандурустӣ: ранги торики пӯст;духтур|мард|марди корманди тандурустӣ|нигоҳдории тандурустӣ|ранги торики пӯст|терапевт|ҳамшираи шавқат
👩‍⚕️;зани корманди тандурустӣ;духтур|зан|зани корманди тандурустӣ|нигоҳдории тандурустӣ|терапевт|ҳамшираи шавқат
	👩🏻‍⚕️;зани корманди тандурустӣ: ранги равшани пӯст;духтур|зан|зани корманди тандурустӣ|нигоҳдории тандурустӣ|ранги равшани пӯст|терапевт|ҳамшираи шавқат
	👩🏼‍⚕️;зани корманди тандурустӣ: ранги равшании миёнаи пӯст;духтур|зан|зани корманди тандурустӣ|нигоҳдории тандурустӣ|ранги равшании миёнаи пӯст|терапевт|ҳамшираи шавқат
	👩🏽‍⚕️;зани корманди тандурустӣ: ранги миёнаи пӯст;духтур|зан|зани корманди тандурустӣ|нигоҳдории тандурустӣ|ранги миёнаи пӯст|терапевт|ҳамшираи шавқат
	👩🏾‍⚕️;зани корманди тандурустӣ: ранги торики миёнаи пӯст;духтур|зан|зани корманди тандурустӣ|нигоҳдории тандурустӣ|ранги торики миёнаи пӯст|терапевт|ҳамшираи шавқат
	👩🏿‍⚕️;зани корманди тандурустӣ: ранги торики пӯст;духтур|зан|зани корманди тандурустӣ|нигоҳдории тандурустӣ|ранги торики пӯст|терапевт|ҳамшираи шавқат
🧑‍🎓;;
	🧑🏻‍🎓;;
	🧑🏼‍🎓;;
	🧑🏽‍🎓;;
	🧑🏾‍🎓;;
	🧑🏿‍🎓;;
👨‍🎓;марди донишҷӯ;донишҷӯ|мард|марди донишҷӯ|хатмкунанда
	👨🏻‍🎓;марди донишҷӯ: ранги равшани пӯст;донишҷӯ|мард|марди донишҷӯ|ранги равшани пӯст|хатмкунанда
	👨🏼‍🎓;марди донишҷӯ: ранги равшании миёнаи пӯст;донишҷӯ|мард|марди донишҷӯ|ранги равшании миёнаи пӯст|хатмкунанда
	👨🏽‍🎓;марди донишҷӯ: ранги миёнаи пӯст;донишҷӯ|мард|марди донишҷӯ|ранги миёнаи пӯст|хатмкунанда
	👨🏾‍🎓;марди донишҷӯ: ранги торики миёнаи пӯст;донишҷӯ|мард|марди донишҷӯ|ранги торики миёнаи пӯст|хатмкунанда
	👨🏿‍🎓;марди донишҷӯ: ранги торики пӯст;донишҷӯ|мард|марди донишҷӯ|ранги торики пӯст|хатмкунанда
👩‍🎓;зани донишҷӯ;донишҷӯ|зан|зани донишҷӯ|хатмкунанда
	👩🏻‍🎓;зани донишҷӯ: ранги равшани пӯст;донишҷӯ|зан|зани донишҷӯ|ранги равшани пӯст|хатмкунанда
	👩🏼‍🎓;зани донишҷӯ: ранги равшании миёнаи пӯст;донишҷӯ|зан|зани донишҷӯ|ранги равшании миёнаи пӯст|хатмкунанда
	👩🏽‍🎓;зани донишҷӯ: ранги миёнаи пӯст;донишҷӯ|зан|зани донишҷӯ|ранги миёнаи пӯст|хатмкунанда
	👩🏾‍🎓;зани донишҷӯ: ранги торики миёнаи пӯст;донишҷӯ|зан|зани донишҷӯ|ранги торики миёнаи пӯст|хатмкунанда
	👩🏿‍🎓;зани донишҷӯ: ранги торики пӯст;донишҷӯ|зан|зани донишҷӯ|ранги торики пӯст|хатмкунанда
🧑‍🏫;;
	🧑🏻‍🏫;;
	🧑🏼‍🏫;;
	🧑🏽‍🏫;;
	🧑🏾‍🏫;;
	🧑🏿‍🏫;;
👨‍🏫;марди муаллим;дастурдиҳанда|мард|марди муаллим|муаллим|профессор
	👨🏻‍🏫;марди муаллим: ранги равшани пӯст;дастурдиҳанда|мард|марди муаллим|муаллим|профессор|ранги равшани пӯст
	👨🏼‍🏫;марди муаллим: ранги равшании миёнаи пӯст;дастурдиҳанда|мард|марди муаллим|муаллим|профессор|ранги равшании миёнаи пӯст
	👨🏽‍🏫;марди муаллим: ранги миёнаи пӯст;дастурдиҳанда|мард|марди муаллим|муаллим|профессор|ранги миёнаи пӯст
	👨🏾‍🏫;марди муаллим: ранги торики миёнаи пӯст;дастурдиҳанда|мард|марди муаллим|муаллим|профессор|ранги торики миёнаи пӯст
	👨🏿‍🏫;марди муаллим: ранги торики пӯст;дастурдиҳанда|мард|марди муаллим|муаллим|профессор|ранги торики пӯст
👩‍🏫;зани муаллим;дастурдиҳанда|зан|зани муаллим|муаллим|профессор
	👩🏻‍🏫;зани муаллим: ранги равшани пӯст;дастурдиҳанда|зан|зани муаллим|муаллим|профессор|ранги равшани пӯст
	👩🏼‍🏫;зани муаллим: ранги равшании миёнаи пӯст;дастурдиҳанда|зан|зани муаллим|муаллим|профессор|ранги равшании миёнаи пӯст
	👩🏽‍🏫;зани муаллим: ранги миёнаи пӯст;дастурдиҳанда|зан|зани муаллим|муаллим|профессор|ранги миёнаи пӯст
	👩🏾‍🏫;зани муаллим: ранги торики миёнаи пӯст;дастурдиҳанда|зан|зани муаллим|муаллим|профессор|ранги торики миёнаи пӯст
	👩🏿‍🏫;зани муаллим: ранги торики пӯст;дастурдиҳанда|зан|зани муаллим|муаллим|профессор|ранги торики пӯст
🧑‍⚖️;;
	🧑🏻‍⚖️;;
	🧑🏼‍⚖️;;
	🧑🏽‍⚖️;;
	🧑🏾‍⚖️;;
	🧑🏿‍⚖️;;
👨‍⚖️;марди судя;адолат|мард|марди судя|тарозу
	👨🏻‍⚖️;марди судя: ранги равшани пӯст;адолат|мард|марди судя|ранги равшани пӯст|тарозу
	👨🏼‍⚖️;марди судя: ранги равшании миёнаи пӯст;адолат|мард|марди судя|ранги равшании миёнаи пӯст|тарозу
	👨🏽‍⚖️;марди судя: ранги миёнаи пӯст;адолат|мард|марди судя|ранги миёнаи пӯст|тарозу
