# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ansikte med stort leende;ansikte|glad|kul|leende|roligt|skratt
	🧑🏾‍💼;kontorist: mellanmörk hy;affärsman|ämbetsman|arkitekt|kontorist|mellanmörk hy|tjänsteman
	🧑🏿‍💼;kontorist: mörk hy;affärsman|ämbetsman|arkitekt|kontorist|mörk hy|tjänsteman
👨‍💼;kontorstjänsteman;chef|kontor|kontorstjänsteman|man|näringsliv
	👨🏻‍💼;kontorstjänsteman: ljus hy;chef|kontor|kontorstjänsteman|ljus hy|man|näringsliv
	👨🏼‍💼;kontorstjänsteman: mellanljus hy;chef|kontor|kontorstjänsteman|man|mellanljus hy|näringsliv
	👨🏽‍💼;kontorstjänsteman: mellanfärgad hy;chef|kontor|kontorstjänsteman|man|mellanfärgad hy|näringsliv
	👨🏾‍💼;kontorstjänsteman: mellanmörk hy;chef|kontor|kontorstjänsteman|man|mellanmörk hy|näringsliv
	👨🏿‍💼;kontorstjänsteman: mörk hy;chef|kontor|kontorstjänsteman|man|mörk hy|näringsliv
👩‍💼;kontorstjänstekvinna;chef|kontor|kontorstjänstekvinna|kvinna|näringsliv
	👩🏻‍💼;kontorstjänstekvinna: ljus hy;chef|kontor|kontorstjänstekvinna|kvinna|ljus hy|näringsliv
	👩🏼‍💼;kontorstjänstekvinna: mellanljus hy;chef|kontor|kontorstjänstekvinna|kvinna|mellanljus hy|näringsliv
	👩🏽‍💼;kontorstjänstekvinna: mellanfärgad hy;chef|kontor|kontorstjänstekvinna|kvinna|mellanfärgad hy|näringsliv
	👩🏾‍💼;kontorstjänstekvinna: mellanmörk hy;chef|kontor|kontorstjänstekvinna|kvinna|mellanmörk hy|näringsliv
	👩🏿‍💼;kontorstjänstekvinna: mörk hy;chef|kontor|kontorstjänstekvinna|kvinna|mörk hy|näringsliv
🧑‍🔬;forskare;biolog|forskare|fysiker|kemist|vetenskapsman
	🧑🏻‍🔬;forskare: ljus hy;biolog|forskare|fysiker|kemist|ljus hy|vetenskapsman
	🧑🏼‍🔬;forskare: mellanljus hy;biolog|forskare|fysiker|kemist|mellanljus hy|vetenskapsman
	🧑🏽‍🔬;forskare: mellanfärgad hy;biolog|forskare|fysiker|kemist|mellanfärgad hy|vetenskapsman
	🧑🏾‍🔬;forskare: mellanmörk hy;biolog|forskare|fysiker|kemist|mellanmörk hy|vetenskapsman
	🧑🏿‍🔬;forskare: mörk hy;biolog|forskare|fysiker|kemist|mörk hy|vetenskapsman
👨‍🔬;manlig forskare;kemi|laboratorium|man|manlig forskare|vetenskap|vetenskapsman
	👨🏻‍🔬;manlig forskare: ljus hy;kemi|laboratorium|ljus hy|man|manlig forskare|vetenskap|vetenskapsman
	👨🏼‍🔬;manlig forskare: mellanljus hy;kemi|laboratorium|man|manlig forskare|mellanljus hy|vetenskap|vetenskapsman
	👨🏽‍🔬;manlig forskare: mellanfärgad hy;kemi|laboratorium|man|manlig forskare|mellanfärgad hy|vetenskap|vetenskapsman
	👨🏾‍🔬;manlig forskare: mellanmörk hy;kemi|laboratorium|man|manlig forskare|mellanmörk hy|vetenskap|vetenskapsman
	👨🏿‍🔬;manlig forskare: mörk hy;kemi|laboratorium|man|manlig forskare|mörk hy|vetenskap|vetenskapsman
👩‍🔬;kvinnlig forskare;kemi|kvinna|kvinnlig forskare|laboratorium|vetenskap
	👩🏻‍🔬;kvinnlig forskare: ljus hy;kemi|kvinna|kvinnlig forskare|laboratorium|ljus hy|vetenskap
	👩🏼‍🔬;kvinnlig forskare: mellanljus hy;kemi|kvinna|kvinnlig forskare|laboratorium|mellanljus hy|vetenskap
	👩🏽‍🔬;kvinnlig forskare: mellanfärgad hy;kemi|kvinna|kvinnlig forskare|laboratorium|mellanfärgad hy|vetenskap
	👩🏾‍🔬;kvinnlig forskare: mellanmörk hy;kemi|kvinna|kvinnlig forskare|laboratorium|mellanmörk hy|vetenskap
	👩🏿‍🔬;kvinnlig forskare: mörk hy;kemi|kvinna|kvinnlig forskare|laboratorium|mörk hy|vetenskap
🧑‍💻;IT-tekniker;ingenjör|IT-tekniker|mjukvarutekniker|uppfinnare|utvecklare
	🧑🏻‍💻;IT-tekniker: ljus hy;ingenjör|IT-tekniker|ljus hy|mjukvarutekniker|uppfinnare|utvecklare
	🧑🏼‍💻;IT-tekniker: mellanljus hy;ingenjör|IT-tekniker|mellanljus hy|mjukvarutekniker|uppfinnare|utvecklare
	🧑🏽‍💻;IT-tekniker: mellanfärgad hy;ingenjör|IT-tekniker|mellanfärgad hy|mjukvarutekniker|uppfinnare|utvecklare
	🧑🏾‍💻;IT-tekniker: mellanmörk hy;ingenjör|IT-tekniker|mellanmörk hy|mjukvarutekniker|uppfinnare|utvecklare
	🧑🏿‍💻;IT-tekniker: mörk hy;ingenjör|IT-tekniker|mjukvarutekniker|mörk hy|uppfinnare|utvecklare
👨‍💻;manlig IT-expert;data|IT|man|manlig IT-expert|teknologi
	👨🏻‍💻;manlig IT-expert: ljus hy;data|IT|ljus hy|man|manlig IT-expert|teknologi
	👨🏼‍💻;manlig IT-expert: mellanljus hy;data|IT|man|manlig IT-expert|mellanljus hy|teknologi
	👨🏽‍💻;manlig IT-expert: mellanfärgad hy;data|IT|man|manlig IT-expert|mellanfärgad hy|teknologi
	👨🏾‍💻;manlig IT-expert: mellanmörk hy;data|IT|man|manlig IT-expert|mellanmörk hy|teknologi
	👨🏿‍💻;manlig IT-expert: mörk hy;data|IT|man|manlig IT-expert|mörk hy|teknologi
👩‍💻;kvinnlig IT-expert;data|IT|kvinna|kvinnlig IT-expert|teknologi
	👩🏻‍💻;kvinnlig IT-expert: ljus hy;data|IT|kvinna|kvinnlig IT-expert|ljus hy|teknologi
	👩🏼‍💻;kvinnlig IT-expert: mellanljus hy;data|IT|kvinna|kvinnlig IT-expert|mellanljus hy|teknologi
	👩🏽‍💻;kvinnlig IT-expert: mellanfärgad hy;data|IT|kvinna|kvinnlig IT-expert|mellanfärgad hy|teknologi
	👩🏾‍💻;kvinnlig IT-expert: mellanmörk hy;data|IT|kvinna|kvinnlig IT-expert|mellanmörk hy|teknologi
	👩🏿‍💻;kvinnlig IT-expert: mörk hy;data|IT|kvinna|kvinnlig IT-expert|mörk hy|teknologi
🧑‍🎤;sångare;artist|rockstjärna|sångare|underhållare|vokalist
	🧑🏻‍🎤;sångare: ljus hy;artist|ljus hy|rockstjärna|sångare|underhållare|vokalist
	🧑🏼‍🎤;sångare: mellanljus hy;artist|mellanljus hy|rockstjärna|sångare|underhållare|vokalist
	🧑🏽‍🎤;sångare: mellanfärgad hy;artist|mellanfärgad hy|rockstjärna|sångare|underhållare|vokalist
	🧑🏾‍🎤;sångare: mellanmörk hy;artist|mellanmörk hy|rockstjärna|sångare|underhållare|vokalist
	🧑🏿‍🎤;sångare: mörk hy;artist|mörk hy|rockstjärna|sångare|underhållare|vokalist
👨‍🎤;manlig sångare;artist|kändis|konsert|man|manlig sångare|stjärna
	👨🏻‍🎤;manlig sångare: ljus hy;artist|kändis|konsert|ljus hy|man|manlig sångare|stjärna
	👨🏼‍🎤;manlig sångare: mellanljus hy;artist|kändis|konsert|man|manlig sångare|mellanljus hy|stjärna
	👨🏽‍🎤;manlig sångare: mellanfärgad hy;artist|kändis|konsert|man|manlig sångare|mellanfärgad hy|stjärna
	👨🏾‍🎤;manlig sångare: mellanmörk hy;artist|kändis|konsert|man|manlig sångare|mellanmörk hy|stjärna
	👨🏿‍🎤;manlig sångare: mörk hy;artist|kändis|konsert|man|manlig sångare|mörk hy|stjärna
👩‍🎤;kvinnlig sångare;artist|kändis|konsert|kvinna|kvinnlig sångare|stjärna
	👩🏻‍🎤;kvinnlig sångare: ljus hy;artist|kändis|konsert|kvinna|kvinnlig sångare|ljus hy|stjärna
	👩🏼‍🎤;kvinnlig sångare: mellanljus hy;artist|kändis|konsert|kvinna|kvinnlig sångare|mellanljus hy|stjärna
	👩🏽‍🎤;kvinnlig sångare: mellanfärgad hy;artist|kändis|konsert|kvinna|kvinnlig sångare|mellanfärgad hy|stjärna
	👩🏾‍🎤;kvinnlig sångare: mellanmörk hy;artist|kändis|konsert|kvinna|kvinnlig sångare|mellanmörk hy|stjärna
	👩🏿‍🎤;kvinnlig sångare: mörk hy;artist|kändis|konsert|kvinna|kvinnlig sångare|mörk hy|stjärna
🧑‍🎨;konstnär;konstnär|palett
	🧑🏻‍🎨;konstnär: ljus hy;konstnär|ljus hy|palett
	🧑🏼‍🎨;konstnär: mellanljus hy;konstnär|mellanljus hy|palett
	🧑🏽‍🎨;konstnär: mellanfärgad hy;konstnär|mellanfärgad hy|palett
	🧑🏾‍🎨;konstnär: mellanmörk hy;konstnär|mellanmörk hy|palett
	🧑🏿‍🎨;konstnär: mörk hy;konstnär|mörk hy|palett
👨‍🎨;manlig konstnär;målare|man|manlig konstnär|palett
	👨🏻‍🎨;manlig konstnär: ljus hy;ljus hy|målare|man|manlig konstnär|palett
	👨🏼‍🎨;manlig konstnär: mellanljus hy;målare|man|manlig konstnär|mellanljus hy|palett
	👨🏽‍🎨;manlig konstnär: mellanfärgad hy;målare|man|manlig konstnär|mellanfärgad hy|palett
	👨🏾‍🎨;manlig konstnär: mellanmörk hy;målare|man|manlig konstnär|mellanmörk hy|palett
	👨🏿‍🎨;manlig konstnär: mörk hy;målare|man|manlig konstnär|mörk hy|palett
👩‍🎨;kvinnlig konstnär;kvinna|kvinnlig konstnär|målare|palett
	👩🏻‍🎨;kvinnlig konstnär: ljus hy;kvinna|kvinnlig konstnär|ljus hy|målare|palett
	👩🏼‍🎨;kvinnlig konstnär: mellanljus hy;kvinna|kvinnlig konstnär|målare|mellanljus hy|palett
	👩🏽‍🎨;kvinnlig konstnär: mellanfärgad hy;kvinna|kvinnlig konstnär|målare|mellanfärgad hy|palett
	👩🏾‍🎨;kvinnlig konstnär: mellanmörk hy;kvinna|kvinnlig konstnär|målare|mellanmörk hy|palett
	👩🏿‍🎨;kvinnlig konstnär: mörk hy;kvinna|kvinnlig konstnär|målare|mörk hy|palett
🧑‍✈️;pilot;flygkapten|pilot
	🧑🏻‍✈️;pilot: ljus hy;flygkapten|ljus hy|pilot
	🧑🏼‍✈️;pilot: mellanljus hy;flygkapten|mellanljus hy|pilot
	🧑🏽‍✈️;pilot: mellanfärgad hy;flygkapten|mellanfärgad hy|pilot
	🧑🏾‍✈️;pilot: mellanmörk hy;flygkapten|mellanmörk hy|pilot
	🧑🏿‍✈️;pilot: mörk hy;flygkapten|mörk hy|pilot
👨‍✈️;manlig pilot;flyga|man|manlig pilot|pilot
	👨🏻‍✈️;manlig pilot: ljus hy;flyga|ljus hy|man|manlig pilot|pilot
	👨🏼‍✈️;manlig pilot: mellanljus hy;flyga|man|manlig pilot|mellanljus hy|pilot
	👨🏽‍✈️;manlig pilot: mellanfärgad hy;flyga|man|manlig pilot|mellanfärgad hy|pilot
	👨🏾‍✈️;manlig pilot: mellanmörk hy;flyga|man|manlig pilot|mellanmörk hy|pilot
	👨🏿‍✈️;manlig pilot: mörk hy;flyga|man|manlig pilot|mörk hy|pilot
👩‍✈️;kvinnlig pilot;flyga|kvinna|kvinnlig pilot|pilot
	👩🏻‍✈️;kvinnlig pilot: ljus hy;flyga|kvinna|kvinnlig pilot|ljus hy|pilot
	👩🏼‍✈️;kvinnlig pilot: mellanljus hy;flyga|kvinna|kvinnlig pilot|mellanljus hy|pilot
	👩🏽‍✈️;kvinnlig pilot: mellanfärgad hy;flyga|kvinna|kvinnlig pilot|mellanfärgad hy|pilot
	👩🏾‍✈️;kvinnlig pilot: mellanmörk hy;flyga|kvinna|kvinnlig pilot|mellanmörk hy|pilot
	👩🏿‍✈️;kvinnlig pilot: mörk hy;flyga|kvinna|kvinnlig pilot|mörk hy|pilot
🧑‍🚀;astronaut;astronaut|kosmonaut
	🧑🏻‍🚀;astronaut: ljus hy;astronaut|kosmonaut|ljus hy
	🧑🏼‍🚀;astronaut: mellanljus hy;astronaut|kosmonaut|mellanljus hy
	🧑🏽‍🚀;astronaut: mellanfärgad hy;astronaut|kosmonaut|mellanfärgad hy
	🧑🏾‍🚀;astronaut: mellanmörk hy;astronaut|kosmonaut|mellanmörk hy
	🧑🏿‍🚀;astronaut: mörk hy;astronaut|kosmonaut|mörk hy
👨‍🚀;manlig astronaut;astronaut|man|manlig astronaut|raket|rymden
	👨🏻‍🚀;manlig astronaut: ljus hy;astronaut|ljus hy|man|manlig astronaut|raket|rymden
	👨🏼‍🚀;manlig astronaut: mellanljus hy;astronaut|man|manlig astronaut|mellanljus hy|raket|rymden
	👨🏽‍🚀;manlig astronaut: mellanfärgad hy;astronaut|man|manlig astronaut|mellanfärgad hy|raket|rymden
	👨🏾‍🚀;manlig astronaut: mellanmörk hy;astronaut|man|manlig astronaut|mellanmörk hy|raket|rymden
	👨🏿‍🚀;manlig astronaut: mörk hy;astronaut|man|manlig astronaut|mörk hy|raket|rymden
👩‍🚀;kvinnlig astronaut;astronaut|kvinna|kvinnlig astronaut|raket|rymden
	👩🏻‍🚀;kvinnlig astronaut: ljus hy;astronaut|kvinna|kvinnlig astronaut|ljus hy|raket|rymden
	👩🏼‍🚀;kvinnlig astronaut: mellanljus hy;astronaut|kvinna|kvinnlig astronaut|mellanljus hy|raket|rymden
	👩🏽‍🚀;kvinnlig astronaut: mellanfärgad hy;astronaut|kvinna|kvinnlig astronaut|mellanfärgad hy|raket|rymden
	👩🏾‍🚀;kvinnlig astronaut: mellanmörk hy;astronaut|kvinna|kvinnlig astronaut|mellanmörk hy|raket|rymden
	👩🏿‍🚀;kvinnlig astronaut: mörk hy;astronaut|kvinna|kvinnlig astronaut|mörk hy|raket|rymden
🧑‍🚒;brandman;brandbil|brandman
	🧑🏻‍🚒;brandman: ljus hy;brandbil|brandman|ljus hy
	🧑🏼‍🚒;brandman: mellanljus hy;brandbil|brandman|mellanljus hy
	🧑🏽‍🚒;brandman: mellanfärgad hy;brandbil|brandman|mellanfärgad hy
	🧑🏾‍🚒;brandman: mellanmörk hy;brandbil|brandman|mellanmörk hy
	🧑🏿‍🚒;brandman: mörk hy;brandbil|brandman|mörk hy
👨‍🚒;manlig brandman;brandbil|brandman|brandväsendet|man|manlig brandman
	👨🏻‍🚒;manlig brandman: ljus hy;brandbil|brandman|brandväsendet|ljus hy|man|manlig brandman
	👨🏼‍🚒;manlig brandman: mellanljus hy;brandbil|brandman|brandväsendet|man|manlig brandman|mellanljus hy
	👨🏽‍🚒;manlig brandman: mellanfärgad hy;brandbil|brandman|brandväsendet|man|manlig brandman|mellanfärgad hy
	👨🏾‍🚒;manlig brandman: mellanmörk hy;brandbil|brandman|brandväsendet|man|manlig brandman|mellanmörk hy
	👨🏿‍🚒;manlig brandman: mörk hy;brandbil|brandman|brandväsendet|man|manlig brandman|mörk hy
👩‍🚒;kvinnlig brandman;brandbil|brandväsendet|kvinna|kvinnlig brandman
	👩🏻‍🚒;kvinnlig brandman: ljus hy;brandbil|brandväsendet|kvinna|kvinnlig brandman|ljus hy
	👩🏼‍🚒;kvinnlig brandman: mellanljus hy;brandbil|brandväsendet|kvinna|kvinnlig brandman|mellanljus hy
	👩🏽‍🚒;kvinnlig brandman: mellanfärgad hy;brandbil|brandväsendet|kvinna|kvinnlig brandman|mellanfärgad hy
	👩🏾‍🚒;kvinnlig brandman: mellanmörk hy;brandbil|brandväsendet|kvinna|kvinnlig brandman|mellanmörk hy
	👩🏿‍🚒;kvinnlig brandman: mörk hy;brandbil|brandväsendet|kvinna|kvinnlig brandman|mörk hy
👮;polis;aina|arrestera|bötfälla|farbror blå|gripa|konstapel|lagen|snut
	👮🏻;polis: ljus hy;aina|arrestera|bötfälla|farbror blå|gripa|konstapel|lagen|ljus hy|snut
	👮🏼;polis: mellanljus hy;aina|arrestera|bötfälla|farbror blå|gripa|konstapel|lagen|mellanljus hy|snut
	👮🏽;polis: mellanfärgad hy;aina|arrestera|bötfälla|farbror blå|gripa|konstapel|lagen|mellanfärgad hy|snut
	👮🏾;polis: mellanmörk hy;aina|arrestera|bötfälla|farbror blå|gripa|konstapel|lagen|mellanmörk hy|snut
	👮🏿;polis: mörk hy;aina|arrestera|bötfälla|farbror blå|gripa|konstapel|lagen|mörk hy|snut
👮‍♂️;manlig polis;konstapel|lagen|man|manlig polis|polisman
	👮🏻‍♂️;manlig polis: ljus hy;konstapel|lagen|ljus hy|man|manlig polis|polisman
	👮🏼‍♂️;manlig polis: mellanljus hy;konstapel|lagen|man|manlig polis|mellanljus hy|polisman
	👮🏽‍♂️;manlig polis: mellanfärgad hy;konstapel|lagen|man|manlig polis|mellanfärgad hy|polisman
	👮🏾‍♂️;manlig polis: mellanmörk hy;konstapel|lagen|man|manlig polis|mellanmörk hy|polisman
	👮🏿‍♂️;manlig polis: mörk hy;konstapel|lagen|man|manlig polis|mörk hy|polisman
👮‍♀️;kvinnlig polis;aina|arrestera|bötfälla|farbror blå|gripa|konstapel|kvinna|lagen|snut
	👮🏻‍♀️;kvinnlig polis: ljus hy;aina|arrestera|bötfälla|farbror blå|gripa|konstapel|kvinna|lagen|ljus hy|snut
	👮🏼‍♀️;kvinnlig polis: mellanljus hy;aina|arrestera|bötfälla|farbror blå|gripa|konstapel|kvinna|lagen|mellanljus hy|snut
	👮🏽‍♀️;kvinnlig polis: mellanfärgad hy;aina|arrestera|bötfälla|farbror blå|gripa|konstapel|kvinna|lagen|mellanfärgad hy|snut
	👮🏾‍♀️;kvinnlig polis: mellanmörk hy;aina|arrestera|bötfälla|farbror blå|gripa|konstapel|kvinna|lagen|mellanmörk hy|snut
	👮🏿‍♀️;kvinnlig polis: mörk hy;aina|arrestera|bötfälla|farbror blå|gripa|konstapel|kvinna|lagen|mörk hy|snut
🕵️;detektiv;detektiv|spion
	🕵🏻;detektiv: ljus hy;detektiv|ljus hy|spion
	🕵🏼;detektiv: mellanljus hy;detektiv|mellanljus hy|spion
	🕵🏽;detektiv: mellanfärgad hy;detektiv|mellanfärgad hy|spion
	🕵🏾;detektiv: mellanmörk hy;detektiv|mellanmörk hy|spion
	🕵🏿;detektiv: mörk hy;detektiv|mörk hy|spion
🕵️‍♂️;manlig detektiv;kommissarie|man|manlig detektiv|privatdetektiv|spanare|spion
	🕵🏻‍♂️;manlig detektiv: ljus hy;kommissarie|ljus hy|man|manlig detektiv|privatdetektiv|spanare|spion
	🕵🏼‍♂️;manlig detektiv: mellanljus hy;kommissarie|man|manlig detektiv|mellanljus hy|privatdetektiv|spanare|spion
	🕵🏽‍♂️;manlig detektiv: mellanfärgad hy;kommissarie|man|manlig detektiv|mellanfärgad hy|privatdetektiv|spanare|spion
	🕵🏾‍♂️;manlig detektiv: mellanmörk hy;kommissarie|man|manlig detektiv|mellanmörk hy|privatdetektiv|spanare|spion
	🕵🏿‍♂️;manlig detektiv: mörk hy;kommissarie|man|manlig detektiv|mörk hy|privatdetektiv|spanare|spion
🕵️‍♀️;kvinnlig detektiv;
	🕵🏻‍♀️;kvinnlig detektiv: ljus hy;detektiv|kommissarie|kvinna|kvinnlig detektiv|ljus hy|privatdetektiv|spanare|spion
	🕵🏼‍♀️;kvinnlig detektiv: mellanljus hy;detektiv|kommissarie|kvinna|kvinnlig detektiv|mellanljus hy|privatdetektiv|spanare|spion
	🕵🏽‍♀️;kvinnlig detektiv: mellanfärgad hy;detektiv|kommissarie|kvinna|kvinnlig detektiv|mellanfärgad hy|privatdetektiv|spanare|spion
	🕵🏾‍♀️;kvinnlig detektiv: mellanmörk hy;detektiv|kommissarie|kvinna|kvinnlig detektiv|mellanmörk hy|privatdetektiv|spanare|spion
	🕵🏿‍♀️;kvinnlig detektiv: mörk hy;detektiv|kommissarie|kvinna|kvinnlig detektiv|mörk hy|privatdetektiv|spanare|spion
💂;vakt;grenadjär|vakt
	💂🏻;vakt: ljus hy;grenadjär|ljus hy|vakt
	💂🏼;vakt: mellanljus hy;grenadjär|mellanljus hy|vakt
	💂🏽;vakt: mellanfärgad hy;grenadjär|mellanfärgad hy|vakt
	💂🏾;vakt: mellanmörk hy;grenadjär|mellanmörk hy|vakt
	💂🏿;vakt: mörk hy;grenadjär|mörk hy|vakt
💂‍♂️;manlig grenadjär;grenadjär|man|manlig grenadjär|manlig vakt|vaktbyte|vaktparad
	💂🏻‍♂️;manlig grenadjär: ljus hy;grenadjär|ljus hy|man|manlig grenadjär|manlig vakt|vaktbyte|vaktparad
	💂🏼‍♂️;manlig grenadjär: mellanljus hy;grenadjär|man|manlig grenadjär|manlig vakt|mellanljus hy|vaktbyte|vaktparad
	💂🏽‍♂️;manlig grenadjär: mellanfärgad hy;grenadjär|man|manlig grenadjär|manlig vakt|mellanfärgad hy|vaktbyte|vaktparad
	💂🏾‍♂️;manlig grenadjär: mellanmörk hy;grenadjär|man|manlig grenadjär|manlig vakt|mellanmörk hy|vaktbyte|vaktparad
	💂🏿‍♂️;manlig grenadjär: mörk hy;grenadjär|man|manlig grenadjär|manlig vakt|mörk hy|vaktbyte|vaktparad
💂‍♀️;kvinnlig grenadjär;grenadjär|kvinna|kvinnlig grenadjär|kvinnlig vakt|vaktbyte|vaktparad
	💂🏻‍♀️;kvinnlig grenadjär: ljus hy;grenadjär|kvinna|kvinnlig grenadjär|kvinnlig vakt|ljus hy|vaktbyte|vaktparad
	💂🏼‍♀️;kvinnlig grenadjär: mellanljus hy;grenadjär|kvinna|kvinnlig grenadjär|kvinnlig vakt|mellanljus hy|vaktbyte|vaktparad
	💂🏽‍♀️;kvinnlig grenadjär: mellanfärgad hy;grenadjär|kvinna|kvinnlig grenadjär|kvinnlig vakt|mellanfärgad hy|vaktbyte|vaktparad
	💂🏾‍♀️;kvinnlig grenadjär: mellanmörk hy;grenadjär|kvinna|kvinnlig grenadjär|kvinnlig vakt|mellanmörk hy|vaktbyte|vaktparad
	💂🏿‍♀️;kvinnlig grenadjär: mörk hy;grenadjär|kvinna|kvinnlig grenadjär|kvinnlig vakt|mörk hy|vaktbyte|vaktparad
🥷;ninja;gömd|hemlig|lönnmördare|ninja
	🥷🏻;ninja: ljus hy;gömd|hemlig|ljus hy|lönnmördare|ninja
	🥷🏼;ninja: mellanljus hy;gömd|hemlig|lönnmördare|mellanljus hy|ninja
	🥷🏽;ninja: mellanfärgad hy;gömd|hemlig|lönnmördare|mellanfärgad hy|ninja
	🥷🏾;ninja: mellanmörk hy;gömd|hemlig|lönnmördare|mellanmörk hy|ninja
	🥷🏿;ninja: mörk hy;gömd|hemlig|lönnmördare|mörk hy|ninja
👷;byggarbetare;arbetare|byggarbetare|hatt
	👷🏻;byggarbetare: ljus hy;arbetare|byggarbetare|hatt|ljus hy
	👷🏼;byggarbetare: mellanljus hy;arbetare|byggarbetare|hatt|mellanljus hy
	👷🏽;byggarbetare: mellanfärgad hy;arbetare|byggarbetare|hatt|mellanfärgad hy
	👷🏾;byggarbetare: mellanmörk hy;arbetare|byggarbetare|hatt|mellanmörk hy
	👷🏿;byggarbetare: mörk hy;arbetare|byggarbetare|hatt|mörk hy
👷‍♂️;manlig byggarbetare;arbetare|bygge|man|manlig byggarbetare
	👷🏻‍♂️;manlig byggarbetare: ljus hy;arbetare|bygge|ljus hy|man|manlig byggarbetare
	👷🏼‍♂️;manlig byggarbetare: mellanljus hy;arbetare|bygge|man|manlig byggarbetare|mellanljus hy
	👷🏽‍♂️;manlig byggarbetare: mellanfärgad hy;arbetare|bygge|man|manlig byggarbetare|mellanfärgad hy
	👷🏾‍♂️;manlig byggarbetare: mellanmörk hy;arbetare|bygge|man|manlig byggarbetare|mellanmörk hy
	👷🏿‍♂️;manlig byggarbetare: mörk hy;arbetare|bygge|man|manlig byggarbetare|mörk hy
👷‍♀️;kvinnlig byggarbetare;arbetare|bygge|kvinna|kvinnlig byggarbetare
	👷🏻‍♀️;kvinnlig byggarbetare: ljus hy;arbetare|bygge|kvinna|kvinnlig byggarbetare|ljus hy
	👷🏼‍♀️;kvinnlig byggarbetare: mellanljus hy;arbetare|bygge|kvinna|kvinnlig byggarbetare|mellanljus hy
	👷🏽‍♀️;kvinnlig byggarbetare: mellanfärgad hy;arbetare|bygge|kvinna|kvinnlig byggarbetare|mellanfärgad hy
	👷🏾‍♀️;kvinnlig byggarbetare: mellanmörk hy;arbetare|bygge|kvinna|kvinnlig byggarbetare|mellanmörk hy
	👷🏿‍♀️;kvinnlig byggarbetare: mörk hy;arbetare|bygge|kvinna|kvinnlig byggarbetare|mörk hy
🫅;person med krona;ädling|kung|kunglighet|monark|person med krona
	🫅🏻;person med krona: ljus hy;ädling|kung|kunglighet|ljus hy|monark|person med krona
	🫅🏼;person med krona: mellanljus hy;ädling|kung|kunglighet|mellanljus hy|monark|person med krona
	🫅🏽;person med krona: mellanfärgad hy;ädling|kung|kunglighet|mellanfärgad hy|monark|person med krona
	🫅🏾;person med krona: mellanmörk hy;ädling|kung|kunglighet|mellanmörk hy|monark|person med krona
	🫅🏿;person med krona: mörk hy;ädling|kung|kunglighet|monark|mörk hy|person med krona
🤴;prins;prins
	🤴🏻;prins: ljus hy;ljus hy|prins
	🤴🏼;prins: mellanljus hy;mellanljus hy|prins
	🤴🏽;prins: mellanfärgad hy;mellanfärgad hy|prins
	🤴🏾;prins: mellanmörk hy;mellanmörk hy|prins
	🤴🏿;prins: mörk hy;mörk hy|prins
👸;prinsessa;prinsessa|saga
	👸🏻;prinsessa: ljus hy;ljus hy|prinsessa|saga
	👸🏼;prinsessa: mellanljus hy;mellanljus hy|prinsessa|saga
	👸🏽;prinsessa: mellanfärgad hy;mellanfärgad hy|prinsessa|saga
	👸🏾;prinsessa: mellanmörk hy;mellanmörk hy|prinsessa|saga
	👸🏿;prinsessa: mörk hy;mörk hy|prinsessa|saga
👳;man med turban;man med turban|person med turban|turban
	👳🏻;man med turban: ljus hy;ljus hy|man med turban|person med turban|turban
	👳🏼;man med turban: mellanljus hy;man med turban|mellanljus hy|person med turban|turban
	👳🏽;man med turban: mellanfärgad hy;man med turban|mellanfärgad hy|person med turban|turban
	👳🏾;man med turban: mellanmörk hy;man med turban|mellanmörk hy|person med turban|turban
	👳🏿;man med turban: mörk hy;man med turban|mörk hy|person med turban|turban
👳‍♂️;man i turban;man|man i turban|turban
	👳🏻‍♂️;man i turban: ljus hy;ljus hy|man|man i turban|turban
	👳🏼‍♂️;man i turban: mellanljus hy;man|man i turban|mellanljus hy|turban
	👳🏽‍♂️;man i turban: mellanfärgad hy;man|man i turban|mellanfärgad hy|turban
	👳🏾‍♂️;man i turban: mellanmörk hy;man|man i turban|mellanmörk hy|turban
	👳🏿‍♂️;man i turban: mörk hy;man|man i turban|mörk hy|turban
👳‍♀️;kvinna i turban;kvinna|kvinna i turban|turban
	👳🏻‍♀️;kvinna i turban: ljus hy;kvinna|kvinna i turban|ljus hy|turban
	👳🏼‍♀️;kvinna i turban: mellanljus hy;kvinna|kvinna i turban|mellanljus hy|turban
	👳🏽‍♀️;kvinna i turban: mellanfärgad hy;kvinna|kvinna i turban|mellanfärgad hy|turban
	👳🏾‍♀️;kvinna i turban: mellanmörk hy;kvinna|kvinna i turban|mellanmörk hy|turban
	👳🏿‍♀️;kvinna i turban: mörk hy;kvinna|kvinna i turban|mörk hy|turban
👲;man med kinesisk hatt;hatt|kinesisk hatt|man|man med hatt|man med kinesisk hatt
	👲🏻;man med kinesisk hatt: ljus hy;hatt|kinesisk hatt|ljus hy|man|man med hatt|man med kinesisk hatt
	👲🏼;man med kinesisk hatt: mellanljus hy;hatt|kinesisk hatt|man|man med hatt|man med kinesisk hatt|mellanljus hy
	👲🏽;man med kinesisk hatt: mellanfärgad hy;hatt|kinesisk hatt|man|man med hatt|man med kinesisk hatt|mellanfärgad hy
