# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|মুখে দেঁতো হাসি|হাসি
	👍🏿;ভালো করেছো: কালো ত্বকের রঙ;+1|উর্দ্ধমুখী|একদম ঠিক|কালো ত্বকের রঙ|ঠিক আছে|থাম্বস আপ|দারুন|পছন্দ হয়েছে|বুড়ো আঙ্গুল|ভালো করেছো|হাতের ভঙ্গি
👎;ভালো করতে পারোনি;1|থাম্বস ডাউন|না কখনই না|নিম্নমুখী|ভালো করতে পারোনি
	👎🏻;ভালো করতে পারোনি: হালকা ত্বকের রঙ;1|থাম্বস ডাউন|না কখনই না|নিম্নমুখী|ভালো করতে পারোনি|হালকা ত্বকের রঙ
	👎🏼;ভালো করতে পারোনি: মাঝারি-হালকা ত্বকের রঙ;1|থাম্বস ডাউন|না কখনই না|নিম্নমুখী|ভালো করতে পারোনি|মাঝারি-হালকা ত্বকের রঙ
	👎🏽;ভালো করতে পারোনি: মাঝারি ত্বকের রঙ;1|থাম্বস ডাউন|না কখনই না|নিম্নমুখী|ভালো করতে পারোনি|মাঝারি ত্বকের রঙ
	👎🏾;ভালো করতে পারোনি: মাঝারি-কালো ত্বকের রঙ;1|থাম্বস ডাউন|না কখনই না|নিম্নমুখী|ভালো করতে পারোনি|মাঝারি-কালো ত্বকের রঙ
	👎🏿;ভালো করতে পারোনি: কালো ত্বকের রঙ;1|কালো ত্বকের রঙ|থাম্বস ডাউন|না কখনই না|নিম্নমুখী|ভালো করতে পারোনি
✊;আঙ্গুল সামনের দিকে করে মুড়ে রাখা;আঙ্গুল সামনের দিকে করে মুড়ে রাখা|কিল|ঘুসি|মুষ্টাঘাত|মুষ্টিবদ্ধ|শরীর|হাত
	✊🏻;আঙ্গুল সামনের দিকে করে মুড়ে রাখা: হালকা ত্বকের রঙ;আঙ্গুল সামনের দিকে করে মুড়ে রাখা|কিল|ঘুসি|মুষ্টাঘাত|মুষ্টিবদ্ধ|শরীর|হাত|হালকা ত্বকের রঙ
	✊🏼;আঙ্গুল সামনের দিকে করে মুড়ে রাখা: মাঝারি-হালকা ত্বকের রঙ;আঙ্গুল সামনের দিকে করে মুড়ে রাখা|কিল|ঘুসি|মাঝারি-হালকা ত্বকের রঙ|মুষ্টাঘাত|মুষ্টিবদ্ধ|শরীর|হাত
	✊🏽;আঙ্গুল সামনের দিকে করে মুড়ে রাখা: মাঝারি ত্বকের রঙ;আঙ্গুল সামনের দিকে করে মুড়ে রাখা|কিল|ঘুসি|মাঝারি ত্বকের রঙ|মুষ্টাঘাত|মুষ্টিবদ্ধ|শরীর|হাত
	✊🏾;আঙ্গুল সামনের দিকে করে মুড়ে রাখা: মাঝারি-কালো ত্বকের রঙ;আঙ্গুল সামনের দিকে করে মুড়ে রাখা|কিল|ঘুসি|মাঝারি-কালো ত্বকের রঙ|মুষ্টাঘাত|মুষ্টিবদ্ধ|শরীর|হাত
	✊🏿;আঙ্গুল সামনের দিকে করে মুড়ে রাখা: কালো ত্বকের রঙ;আঙ্গুল সামনের দিকে করে মুড়ে রাখা|কালো ত্বকের রঙ|কিল|ঘুসি|মুষ্টাঘাত|মুষ্টিবদ্ধ|শরীর|হাত
👊;ঘুঁসি;কিল|ঘুঁসি|ঘুঁসি মারা|মুষ্টাঘাত|মুষ্টিবদ্ধ|শরীর|হাত
	👊🏻;ঘুঁসি: হালকা ত্বকের রঙ;কিল|ঘুঁসি|ঘুঁসি মারা|মুষ্টাঘাত|মুষ্টিবদ্ধ|শরীর|হাত|হালকা ত্বকের রঙ
	👊🏼;ঘুঁসি: মাঝারি-হালকা ত্বকের রঙ;কিল|ঘুঁসি|ঘুঁসি মারা|মাঝারি-হালকা ত্বকের রঙ|মুষ্টাঘাত|মুষ্টিবদ্ধ|শরীর|হাত
	👊🏽;ঘুঁসি: মাঝারি ত্বকের রঙ;কিল|ঘুঁসি|ঘুঁসি মারা|মাঝারি ত্বকের রঙ|মুষ্টাঘাত|মুষ্টিবদ্ধ|শরীর|হাত
	👊🏾;ঘুঁসি: মাঝারি-কালো ত্বকের রঙ;কিল|ঘুঁসি|ঘুঁসি মারা|মাঝারি-কালো ত্বকের রঙ|মুষ্টাঘাত|মুষ্টিবদ্ধ|শরীর|হাত
	👊🏿;ঘুঁসি: কালো ত্বকের রঙ;কালো ত্বকের রঙ|কিল|ঘুঁসি|ঘুঁসি মারা|মুষ্টাঘাত|মুষ্টিবদ্ধ|শরীর|হাত
🤛;বাঁদিকে ঘুঁষি মারা;ঘুঁষি|ঘুসি|বাঁদিকে|বাঁদিকে ঘুঁষি মারা
	🤛🏻;বাঁদিকে ঘুঁষি মারা: হালকা ত্বকের রঙ;ঘুঁষি|ঘুসি|বাঁদিকে|বাঁদিকে ঘুঁষি মারা|হালকা ত্বকের রঙ
	🤛🏼;বাঁদিকে ঘুঁষি মারা: মাঝারি-হালকা ত্বকের রঙ;ঘুঁষি|ঘুসি|বাঁদিকে|বাঁদিকে ঘুঁষি মারা|মাঝারি-হালকা ত্বকের রঙ
	🤛🏽;বাঁদিকে ঘুঁষি মারা: মাঝারি ত্বকের রঙ;ঘুঁষি|ঘুসি|বাঁদিকে|বাঁদিকে ঘুঁষি মারা|মাঝারি ত্বকের রঙ
	🤛🏾;বাঁদিকে ঘুঁষি মারা: মাঝারি-কালো ত্বকের রঙ;ঘুঁষি|ঘুসি|বাঁদিকে|বাঁদিকে ঘুঁষি মারা|মাঝারি-কালো ত্বকের রঙ
	🤛🏿;বাঁদিকে ঘুঁষি মারা: কালো ত্বকের রঙ;কালো ত্বকের রঙ|ঘুঁষি|ঘুসি|বাঁদিকে|বাঁদিকে ঘুঁষি মারা
🤜;ডানদিকে ঘঁষি মারা;ঘুঁষি|ঘুঁষি মারা|ঘুসি|ডানদিকে|ডানদিকে ঘঁষি মারা|হাত
	🤜🏻;ডানদিকে ঘঁষি মারা: হালকা ত্বকের রঙ;ঘুঁষি|ঘুঁষি মারা|ঘুসি|ডানদিকে|ডানদিকে ঘঁষি মারা|হাত|হালকা ত্বকের রঙ
	🤜🏼;ডানদিকে ঘঁষি মারা: মাঝারি-হালকা ত্বকের রঙ;ঘুঁষি|ঘুঁষি মারা|ঘুসি|ডানদিকে|ডানদিকে ঘঁষি মারা|মাঝারি-হালকা ত্বকের রঙ|হাত
	🤜🏽;ডানদিকে ঘঁষি মারা: মাঝারি ত্বকের রঙ;ঘুঁষি|ঘুঁষি মারা|ঘুসি|ডানদিকে|ডানদিকে ঘঁষি মারা|মাঝারি ত্বকের রঙ|হাত
	🤜🏾;ডানদিকে ঘঁষি মারা: মাঝারি-কালো ত্বকের রঙ;ঘুঁষি|ঘুঁষি মারা|ঘুসি|ডানদিকে|ডানদিকে ঘঁষি মারা|মাঝারি-কালো ত্বকের রঙ|হাত
	🤜🏿;ডানদিকে ঘঁষি মারা: কালো ত্বকের রঙ;কালো ত্বকের রঙ|ঘুঁষি|ঘুঁষি মারা|ঘুসি|ডানদিকে|ডানদিকে ঘঁষি মারা|হাত
👏;হাত জোড় করে তালি বাজানো;শরীর|হাত|হাত জোড় করে তালি বাজানো|হাততালি
	👏🏻;হাত জোড় করে তালি বাজানো: হালকা ত্বকের রঙ;শরীর|হাত|হাত জোড় করে তালি বাজানো|হাততালি|হালকা ত্বকের রঙ
	👏🏼;হাত জোড় করে তালি বাজানো: মাঝারি-হালকা ত্বকের রঙ;মাঝারি-হালকা ত্বকের রঙ|শরীর|হাত|হাত জোড় করে তালি বাজানো|হাততালি
	👏🏽;হাত জোড় করে তালি বাজানো: মাঝারি ত্বকের রঙ;মাঝারি ত্বকের রঙ|শরীর|হাত|হাত জোড় করে তালি বাজানো|হাততালি
	👏🏾;হাত জোড় করে তালি বাজানো: মাঝারি-কালো ত্বকের রঙ;মাঝারি-কালো ত্বকের রঙ|শরীর|হাত|হাত জোড় করে তালি বাজানো|হাততালি
	👏🏿;হাত জোড় করে তালি বাজানো: কালো ত্বকের রঙ;কালো ত্বকের রঙ|শরীর|হাত|হাত জোড় করে তালি বাজানো|হাততালি
🙌;ব্যক্তি হাত তুলে আছে;অঙ্গভঙ্গি|আনন্দ ধ্বনি করা|উত্থিত|উদযাপন করা|ব্যক্তি হাত তুলে আছে|শরীর|হাত
	🙌🏻;ব্যক্তি হাত তুলে আছে: হালকা ত্বকের রঙ;অঙ্গভঙ্গি|আনন্দ ধ্বনি করা|উত্থিত|উদযাপন করা|ব্যক্তি হাত তুলে আছে|শরীর|হাত|হালকা ত্বকের রঙ
	🙌🏼;ব্যক্তি হাত তুলে আছে: মাঝারি-হালকা ত্বকের রঙ;অঙ্গভঙ্গি|আনন্দ ধ্বনি করা|উত্থিত|উদযাপন করা|ব্যক্তি হাত তুলে আছে|মাঝারি-হালকা ত্বকের রঙ|শরীর|হাত
	🙌🏽;ব্যক্তি হাত তুলে আছে: মাঝারি ত্বকের রঙ;অঙ্গভঙ্গি|আনন্দ ধ্বনি করা|উত্থিত|উদযাপন করা|ব্যক্তি হাত তুলে আছে|মাঝারি ত্বকের রঙ|শরীর|হাত
	🙌🏾;ব্যক্তি হাত তুলে আছে: মাঝারি-কালো ত্বকের রঙ;অঙ্গভঙ্গি|আনন্দ ধ্বনি করা|উত্থিত|উদযাপন করা|ব্যক্তি হাত তুলে আছে|মাঝারি-কালো ত্বকের রঙ|শরীর|হাত
	🙌🏿;ব্যক্তি হাত তুলে আছে: কালো ত্বকের রঙ;অঙ্গভঙ্গি|আনন্দ ধ্বনি করা|উত্থিত|উদযাপন করা|কালো ত্বকের রঙ|ব্যক্তি হাত তুলে আছে|শরীর|হাত
🫶;হৃদয়াকৃতির হাত;প্রেম|ভালোবাসা|হৃদয়াকৃতির হাত
	🫶🏻;হৃদয়াকৃতির হাত: হালকা ত্বকের রঙ;প্রেম|ভালোবাসা|হালকা ত্বকের রঙ|হৃদয়াকৃতির হাত
	🫶🏼;হৃদয়াকৃতির হাত: মাঝারি-হালকা ত্বকের রঙ;প্রেম|ভালোবাসা|মাঝারি-হালকা ত্বকের রঙ|হৃদয়াকৃতির হাত
	🫶🏽;হৃদয়াকৃতির হাত: মাঝারি ত্বকের রঙ;প্রেম|ভালোবাসা|মাঝারি ত্বকের রঙ|হৃদয়াকৃতির হাত
	🫶🏾;হৃদয়াকৃতির হাত: মাঝারি-কালো ত্বকের রঙ;প্রেম|ভালোবাসা|মাঝারি-কালো ত্বকের রঙ|হৃদয়াকৃতির হাত
	🫶🏿;হৃদয়াকৃতির হাত: কালো ত্বকের রঙ;কালো ত্বকের রঙ|প্রেম|ভালোবাসা|হৃদয়াকৃতির হাত
👐;খোলা হাত;খোলা|জড়িয়ে ধরতে|শরীর|হাত
	👐🏻;খোলা হাত: হালকা ত্বকের রঙ;খোলা|জড়িয়ে ধরতে|শরীর|হাত|হালকা ত্বকের রঙ
	👐🏼;খোলা হাত: মাঝারি-হালকা ত্বকের রঙ;খোলা|জড়িয়ে ধরতে|মাঝারি-হালকা ত্বকের রঙ|শরীর|হাত
	👐🏽;খোলা হাত: মাঝারি ত্বকের রঙ;খোলা|জড়িয়ে ধরতে|মাঝারি ত্বকের রঙ|শরীর|হাত
	👐🏾;খোলা হাত: মাঝারি-কালো ত্বকের রঙ;খোলা|জড়িয়ে ধরতে|মাঝারি-কালো ত্বকের রঙ|শরীর|হাত
	👐🏿;খোলা হাত: কালো ত্বকের রঙ;কালো ত্বকের রঙ|খোলা|জড়িয়ে ধরতে|শরীর|হাত
🤲;হাতের তালু একসাথে ওপরের দিকে;আঁজলা|দুই হাত একসাথে|দোয়া|প্রার্থনা|স্মাইলি|হাতের তালু একসাথে ওপরের দিকে
	🤲🏻;হাতের তালু একসাথে ওপরের দিকে: হালকা ত্বকের রঙ;আঁজলা|দুই হাত একসাথে|দোয়া|প্রার্থনা|স্মাইলি|হাতের তালু একসাথে ওপরের দিকে|হালকা ত্বকের রঙ
	🤲🏼;হাতের তালু একসাথে ওপরের দিকে: মাঝারি-হালকা ত্বকের রঙ;আঁজলা|দুই হাত একসাথে|দোয়া|প্রার্থনা|মাঝারি-হালকা ত্বকের রঙ|স্মাইলি|হাতের তালু একসাথে ওপরের দিকে
	🤲🏽;হাতের তালু একসাথে ওপরের দিকে: মাঝারি ত্বকের রঙ;আঁজলা|দুই হাত একসাথে|দোয়া|প্রার্থনা|মাঝারি ত্বকের রঙ|স্মাইলি|হাতের তালু একসাথে ওপরের দিকে
	🤲🏾;হাতের তালু একসাথে ওপরের দিকে: মাঝারি-কালো ত্বকের রঙ;আঁজলা|দুই হাত একসাথে|দোয়া|প্রার্থনা|মাঝারি-কালো ত্বকের রঙ|স্মাইলি|হাতের তালু একসাথে ওপরের দিকে
	🤲🏿;হাতের তালু একসাথে ওপরের দিকে: কালো ত্বকের রঙ;আঁজলা|কালো ত্বকের রঙ|দুই হাত একসাথে|দোয়া|প্রার্থনা|স্মাইলি|হাতের তালু একসাথে ওপরের দিকে
🤝;করমর্দন;করমর্দন|মিট করা|রাজি|হাত|হাত মেলানো
	🤝🏻;করমর্দন: হালকা ত্বকের রঙ;করমর্দন|মিট করা|রাজি|হাত|হাত মেলানো|হালকা ত্বকের রঙ
	🤝🏼;করমর্দন: মাঝারি-হালকা ত্বকের রঙ;করমর্দন|মাঝারি-হালকা ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো
	🤝🏽;করমর্দন: মাঝারি ত্বকের রঙ;করমর্দন|মাঝারি ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো
	🤝🏾;করমর্দন: মাঝারি-কালো ত্বকের রঙ;করমর্দন|মাঝারি-কালো ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো
	🤝🏿;করমর্দন: কালো ত্বকের রঙ;করমর্দন|কালো ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো
	🫱🏻‍🫲🏼;করমর্দন: হালকা ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;করমর্দন|মাঝারি-হালকা ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো|হালকা ত্বকের রঙ
	🫱🏻‍🫲🏽;করমর্দন: হালকা ত্বকের রঙ, মাঝারি ত্বকের রঙ;করমর্দন|মাঝারি ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো|হালকা ত্বকের রঙ
	🫱🏻‍🫲🏾;করমর্দন: হালকা ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;করমর্দন|মাঝারি-কালো ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো|হালকা ত্বকের রঙ
	🫱🏻‍🫲🏿;করমর্দন: হালকা ত্বকের রঙ, কালো ত্বকের রঙ;করমর্দন|কালো ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো|হালকা ত্বকের রঙ
	🫱🏼‍🫲🏻;করমর্দন: মাঝারি-হালকা ত্বকের রঙ, হালকা ত্বকের রঙ;করমর্দন|মাঝারি-হালকা ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো|হালকা ত্বকের রঙ
	🫱🏼‍🫲🏽;করমর্দন: মাঝারি-হালকা ত্বকের রঙ, মাঝারি ত্বকের রঙ;করমর্দন|মাঝারি ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো
	🫱🏼‍🫲🏾;করমর্দন: মাঝারি-হালকা ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;করমর্দন|মাঝারি-কালো ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো
	🫱🏼‍🫲🏿;করমর্দন: মাঝারি-হালকা ত্বকের রঙ, কালো ত্বকের রঙ;করমর্দন|কালো ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো
	🫱🏽‍🫲🏻;করমর্দন: মাঝারি ত্বকের রঙ, হালকা ত্বকের রঙ;করমর্দন|মাঝারি ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো|হালকা ত্বকের রঙ
	🫱🏽‍🫲🏼;করমর্দন: মাঝারি ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;করমর্দন|মাঝারি ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো
	🫱🏽‍🫲🏾;করমর্দন: মাঝারি ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;করমর্দন|মাঝারি ত্বকের রঙ|মাঝারি-কালো ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো
	🫱🏽‍🫲🏿;করমর্দন: মাঝারি ত্বকের রঙ, কালো ত্বকের রঙ;করমর্দন|কালো ত্বকের রঙ|মাঝারি ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো
	🫱🏾‍🫲🏻;করমর্দন: মাঝারি-কালো ত্বকের রঙ, হালকা ত্বকের রঙ;করমর্দন|মাঝারি-কালো ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো|হালকা ত্বকের রঙ
	🫱🏾‍🫲🏼;করমর্দন: মাঝারি-কালো ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;করমর্দন|মাঝারি-কালো ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো
	🫱🏾‍🫲🏽;করমর্দন: মাঝারি-কালো ত্বকের রঙ, মাঝারি ত্বকের রঙ;করমর্দন|মাঝারি ত্বকের রঙ|মাঝারি-কালো ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো
	🫱🏾‍🫲🏿;করমর্দন: মাঝারি-কালো ত্বকের রঙ, কালো ত্বকের রঙ;করমর্দন|কালো ত্বকের রঙ|মাঝারি-কালো ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো
	🫱🏿‍🫲🏻;করমর্দন: কালো ত্বকের রঙ, হালকা ত্বকের রঙ;করমর্দন|কালো ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো|হালকা ত্বকের রঙ
	🫱🏿‍🫲🏼;করমর্দন: কালো ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;করমর্দন|কালো ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো
	🫱🏿‍🫲🏽;করমর্দন: কালো ত্বকের রঙ, মাঝারি ত্বকের রঙ;করমর্দন|কালো ত্বকের রঙ|মাঝারি ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো
	🫱🏿‍🫲🏾;করমর্দন: কালো ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;করমর্দন|কালো ত্বকের রঙ|মাঝারি-কালো ত্বকের রঙ|মিট করা|রাজি|হাত|হাত মেলানো
🙏;নমস্কার;অঙ্গভঙ্গি|অনুগ্রহ করে|জানতে চাওয়া|ধন্যবাদ|নমস্কার|মাথা নত|শরীর|হাত|হাত জোড় করা
	🙏🏻;নমস্কার: হালকা ত্বকের রঙ;অঙ্গভঙ্গি|অনুগ্রহ করে|জানতে চাওয়া|ধন্যবাদ|নমস্কার|মাথা নত|শরীর|হাত|হাত জোড় করা|হালকা ত্বকের রঙ
	🙏🏼;নমস্কার: মাঝারি-হালকা ত্বকের রঙ;অঙ্গভঙ্গি|অনুগ্রহ করে|জানতে চাওয়া|ধন্যবাদ|নমস্কার|মাঝারি-হালকা ত্বকের রঙ|মাথা নত|শরীর|হাত|হাত জোড় করা
	🙏🏽;নমস্কার: মাঝারি ত্বকের রঙ;অঙ্গভঙ্গি|অনুগ্রহ করে|জানতে চাওয়া|ধন্যবাদ|নমস্কার|মাঝারি ত্বকের রঙ|মাথা নত|শরীর|হাত|হাত জোড় করা
	🙏🏾;নমস্কার: মাঝারি-কালো ত্বকের রঙ;অঙ্গভঙ্গি|অনুগ্রহ করে|জানতে চাওয়া|ধন্যবাদ|নমস্কার|মাঝারি-কালো ত্বকের রঙ|মাথা নত|শরীর|হাত|হাত জোড় করা
	🙏🏿;নমস্কার: কালো ত্বকের রঙ;অঙ্গভঙ্গি|অনুগ্রহ করে|কালো ত্বকের রঙ|জানতে চাওয়া|ধন্যবাদ|নমস্কার|মাথা নত|শরীর|হাত|হাত জোড় করা
✍️;লেখার হাত;লেখা|লেখার হাত|শরীর|হাত|হাতে লেখা
	✍🏻;লেখার হাত: হালকা ত্বকের রঙ;লেখা|লেখার হাত|শরীর|হাত|হাতে লেখা|হালকা ত্বকের রঙ
	✍🏼;লেখার হাত: মাঝারি-হালকা ত্বকের রঙ;মাঝারি-হালকা ত্বকের রঙ|লেখা|লেখার হাত|শরীর|হাত|হাতে লেখা
	✍🏽;লেখার হাত: মাঝারি ত্বকের রঙ;মাঝারি ত্বকের রঙ|লেখা|লেখার হাত|শরীর|হাত|হাতে লেখা
	✍🏾;লেখার হাত: মাঝারি-কালো ত্বকের রঙ;মাঝারি-কালো ত্বকের রঙ|লেখা|লেখার হাত|শরীর|হাত|হাতে লেখা
	✍🏿;লেখার হাত: কালো ত্বকের রঙ;কালো ত্বকের রঙ|লেখা|লেখার হাত|শরীর|হাত|হাতে লেখা
💅;নেল পলিশ;নখ|নেইল পলিশ|নেল পলিশ|পালিশ|প্রসাধনী|ম্যানিকিউর|যত্ন|শরীর
	💅🏻;নেল পলিশ: হালকা ত্বকের রঙ;নখ|নেইল পলিশ|নেল পলিশ|পালিশ|প্রসাধনী|ম্যানিকিউর|যত্ন|শরীর|হালকা ত্বকের রঙ
	💅🏼;নেল পলিশ: মাঝারি-হালকা ত্বকের রঙ;নখ|নেইল পলিশ|নেল পলিশ|পালিশ|প্রসাধনী|মাঝারি-হালকা ত্বকের রঙ|ম্যানিকিউর|যত্ন|শরীর
	💅🏽;নেল পলিশ: মাঝারি ত্বকের রঙ;নখ|নেইল পলিশ|নেল পলিশ|পালিশ|প্রসাধনী|মাঝারি ত্বকের রঙ|ম্যানিকিউর|যত্ন|শরীর
	💅🏾;নেল পলিশ: মাঝারি-কালো ত্বকের রঙ;নখ|নেইল পলিশ|নেল পলিশ|পালিশ|প্রসাধনী|মাঝারি-কালো ত্বকের রঙ|ম্যানিকিউর|যত্ন|শরীর
	💅🏿;নেল পলিশ: কালো ত্বকের রঙ;কালো ত্বকের রঙ|নখ|নেইল পলিশ|নেল পলিশ|পালিশ|প্রসাধনী|ম্যানিকিউর|যত্ন|শরীর
🤳;সেলফি;ক্যামেরা|ফোন|সেলফি
	🤳🏻;সেলফি: হালকা ত্বকের রঙ;ক্যামেরা|ফোন|সেলফি|হালকা ত্বকের রঙ
	🤳🏼;সেলফি: মাঝারি-হালকা ত্বকের রঙ;ক্যামেরা|ফোন|মাঝারি-হালকা ত্বকের রঙ|সেলফি
	🤳🏽;সেলফি: মাঝারি ত্বকের রঙ;ক্যামেরা|ফোন|মাঝারি ত্বকের রঙ|সেলফি
	🤳🏾;সেলফি: মাঝারি-কালো ত্বকের রঙ;ক্যামেরা|ফোন|মাঝারি-কালো ত্বকের রঙ|সেলফি
	🤳🏿;সেলফি: কালো ত্বকের রঙ;কালো ত্বকের রঙ|ক্যামেরা|ফোন|সেলফি
💪;বাঁকানো বাইসেপস;কমিক|পেশী|বাইসেপ|বাঁকানো বাইসেপস|ব্যায়াম|মার্শেল|শরীর
	💪🏻;বাঁকানো বাইসেপস: হালকা ত্বকের রঙ;কমিক|পেশী|বাইসেপ|বাঁকানো বাইসেপস|ব্যায়াম|মার্শেল|শরীর|হালকা ত্বকের রঙ
	💪🏼;বাঁকানো বাইসেপস: মাঝারি-হালকা ত্বকের রঙ;কমিক|পেশী|বাইসেপ|বাঁকানো বাইসেপস|ব্যায়াম|মাঝারি-হালকা ত্বকের রঙ|মার্শেল|শরীর
	💪🏽;বাঁকানো বাইসেপস: মাঝারি ত্বকের রঙ;কমিক|পেশী|বাইসেপ|বাঁকানো বাইসেপস|ব্যায়াম|মাঝারি ত্বকের রঙ|মার্শেল|শরীর
	💪🏾;বাঁকানো বাইসেপস: মাঝারি-কালো ত্বকের রঙ;কমিক|পেশী|বাইসেপ|বাঁকানো বাইসেপস|ব্যায়াম|মাঝারি-কালো ত্বকের রঙ|মার্শেল|শরীর
	💪🏿;বাঁকানো বাইসেপস: কালো ত্বকের রঙ;কমিক|কালো ত্বকের রঙ|পেশী|বাইসেপ|বাঁকানো বাইসেপস|ব্যায়াম|মার্শেল|শরীর
🦾;যান্ত্রিক হাত;অ্যাক্সেসিবিলিটি|কৃত্রিম|যান্ত্রিক হাত|রোবটের হাত|হাত
🦿;যান্ত্রিক পা;অ্যাক্সেসিবিলিটি|কৃত্রিম|পা|যান্ত্রিক পা
🦵;পা;অঙ্গ|পদক্ষেপ|পা|বাঁকানো পা|লাথি|হাঁটু
	🦵🏻;পা: হালকা ত্বকের রঙ;অঙ্গ|পদক্ষেপ|পা|বাঁকানো পা|লাথি|হাঁটু|হালকা ত্বকের রঙ
	🦵🏼;পা: মাঝারি-হালকা ত্বকের রঙ;অঙ্গ|পদক্ষেপ|পা|বাঁকানো পা|মাঝারি-হালকা ত্বকের রঙ|লাথি|হাঁটু
	🦵🏽;পা: মাঝারি ত্বকের রঙ;অঙ্গ|পদক্ষেপ|পা|বাঁকানো পা|মাঝারি ত্বকের রঙ|লাথি|হাঁটু
	🦵🏾;পা: মাঝারি-কালো ত্বকের রঙ;অঙ্গ|পদক্ষেপ|পা|বাঁকানো পা|মাঝারি-কালো ত্বকের রঙ|লাথি|হাঁটু
	🦵🏿;পা: কালো ত্বকের রঙ;অঙ্গ|কালো ত্বকের রঙ|পদক্ষেপ|পা|বাঁকানো পা|লাথি|হাঁটু
🦶;পায়ের পাথা;গোড়ালি|চরণ|চলাচল|পা|পায়ের পাতা|পায়ের পাথা|রেগে পা ছোঁড়া|লাথি|হাঁটা
	🦶🏻;পায়ের পাথা: হালকা ত্বকের রঙ;গোড়ালি|চরণ|চলাচল|পা|পায়ের পাতা|পায়ের পাথা|রেগে পা ছোঁড়া|লাথি|হাঁটা|হালকা ত্বকের রঙ
	🦶🏼;পায়ের পাথা: মাঝারি-হালকা ত্বকের রঙ;গোড়ালি|চরণ|চলাচল|পা|পায়ের পাতা|পায়ের পাথা|মাঝারি-হালকা ত্বকের রঙ|রেগে পা ছোঁড়া|লাথি|হাঁটা
	🦶🏽;পায়ের পাথা: মাঝারি ত্বকের রঙ;গোড়ালি|চরণ|চলাচল|পা|পায়ের পাতা|পায়ের পাথা|মাঝারি ত্বকের রঙ|রেগে পা ছোঁড়া|লাথি|হাঁটা
	🦶🏾;পায়ের পাথা: মাঝারি-কালো ত্বকের রঙ;গোড়ালি|চরণ|চলাচল|পা|পায়ের পাতা|পায়ের পাথা|মাঝারি-কালো ত্বকের রঙ|রেগে পা ছোঁড়া|লাথি|হাঁটা
	🦶🏿;পায়ের পাথা: কালো ত্বকের রঙ;কালো ত্বকের রঙ|গোড়ালি|চরণ|চলাচল|পা|পায়ের পাতা|পায়ের পাথা|রেগে পা ছোঁড়া|লাথি|হাঁটা
👂;কান;কান|শরীর
	👂🏻;কান: হালকা ত্বকের রঙ;কান|শরীর|হালকা ত্বকের রঙ
	👂🏼;কান: মাঝারি-হালকা ত্বকের রঙ;কান|মাঝারি-হালকা ত্বকের রঙ|শরীর
	👂🏽;কান: মাঝারি ত্বকের রঙ;কান|মাঝারি ত্বকের রঙ|শরীর
	👂🏾;কান: মাঝারি-কালো ত্বকের রঙ;কান|মাঝারি-কালো ত্বকের রঙ|শরীর
	👂🏿;কান: কালো ত্বকের রঙ;কান|কালো ত্বকের রঙ|শরীর
