# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;широко улыбается;лицо|радость|смех|счастье|улыбка
👨‍🦰;мужчина: рыжие волосы;брат|взрослый|друг|мужчина|рыжие волосы|усы|человек
	👨🏻‍🦰;мужчина: очень светлый тон кожи рыжие волосы;брат|взрослый|друг|мужчина|очень светлый тон кожи|рыжие волосы|усы|человек
	👨🏼‍🦰;мужчина: светлый тон кожи рыжие волосы;брат|взрослый|друг|мужчина|рыжие волосы|светлый тон кожи|усы|человек
	👨🏽‍🦰;мужчина: средний тон кожи рыжие волосы;брат|взрослый|друг|мужчина|рыжие волосы|средний тон кожи|усы|человек
	👨🏾‍🦰;мужчина: темный тон кожи рыжие волосы;брат|взрослый|друг|мужчина|рыжие волосы|темный тон кожи|усы|человек
	👨🏿‍🦰;мужчина: очень темный тон кожи рыжие волосы;брат|взрослый|друг|мужчина|очень темный тон кожи|рыжие волосы|усы|человек
👨‍🦱;мужчина: кудрявые волосы;брат|взрослый|друг|кудрявые волосы|мужчина|усы|человек
	👨🏻‍🦱;мужчина: очень светлый тон кожи кудрявые волосы;брат|взрослый|друг|кудрявые волосы|мужчина|очень светлый тон кожи|усы|человек
	👨🏼‍🦱;мужчина: светлый тон кожи кудрявые волосы;брат|взрослый|друг|кудрявые волосы|мужчина|светлый тон кожи|усы|человек
	👨🏽‍🦱;мужчина: средний тон кожи кудрявые волосы;брат|взрослый|друг|кудрявые волосы|мужчина|средний тон кожи|усы|человек
	👨🏾‍🦱;мужчина: темный тон кожи кудрявые волосы;брат|взрослый|друг|кудрявые волосы|мужчина|темный тон кожи|усы|человек
	👨🏿‍🦱;мужчина: очень темный тон кожи кудрявые волосы;брат|взрослый|друг|кудрявые волосы|мужчина|очень темный тон кожи|усы|человек
👨‍🦳;мужчина: седые волосы;брат|взрослый|друг|мужчина|седые волосы|усы|человек
	👨🏻‍🦳;мужчина: очень светлый тон кожи седые волосы;брат|взрослый|друг|мужчина|очень светлый тон кожи|седые волосы|усы|человек
	👨🏼‍🦳;мужчина: светлый тон кожи седые волосы;брат|взрослый|друг|мужчина|светлый тон кожи|седые волосы|усы|человек
	👨🏽‍🦳;мужчина: средний тон кожи седые волосы;брат|взрослый|друг|мужчина|седые волосы|средний тон кожи|усы|человек
	👨🏾‍🦳;мужчина: темный тон кожи седые волосы;брат|взрослый|друг|мужчина|седые волосы|темный тон кожи|усы|человек
	👨🏿‍🦳;мужчина: очень темный тон кожи седые волосы;брат|взрослый|друг|мужчина|очень темный тон кожи|седые волосы|усы|человек
👨‍🦲;мужчина: без волос;без волос|брат|взрослый|друг|мужчина|усы|человек
	👨🏻‍🦲;мужчина: очень светлый тон кожи без волос;без волос|брат|взрослый|друг|мужчина|очень светлый тон кожи|усы|человек
	👨🏼‍🦲;мужчина: светлый тон кожи без волос;без волос|брат|взрослый|друг|мужчина|светлый тон кожи|усы|человек
	👨🏽‍🦲;мужчина: средний тон кожи без волос;без волос|брат|взрослый|друг|мужчина|средний тон кожи|усы|человек
	👨🏾‍🦲;мужчина: темный тон кожи без волос;без волос|брат|взрослый|друг|мужчина|темный тон кожи|усы|человек
	👨🏿‍🦲;мужчина: очень темный тон кожи без волос;без волос|брат|взрослый|друг|мужчина|очень темный тон кожи|усы|человек
👩;женщина;взрослая|волосы|девушка|длинные|женщина|леди|человек
	👩🏻;женщина: очень светлый тон кожи;взрослая|волосы|девушка|длинные|женщина|леди|очень светлый тон кожи|человек
	👩🏼;женщина: светлый тон кожи;взрослая|волосы|девушка|длинные|женщина|леди|светлый тон кожи|человек
	👩🏽;женщина: средний тон кожи;взрослая|волосы|девушка|длинные|женщина|леди|средний тон кожи|человек
	👩🏾;женщина: темный тон кожи;взрослая|волосы|девушка|длинные|женщина|леди|темный тон кожи|человек
	👩🏿;женщина: очень темный тон кожи;взрослая|волосы|девушка|длинные|женщина|леди|очень темный тон кожи|человек
👩‍🦰;женщина: рыжие волосы;взрослая|волосы|девушка|длинные|женщина|леди|рыжие волосы|человек
	👩🏻‍🦰;женщина: очень светлый тон кожи рыжие волосы;взрослая|волосы|девушка|длинные|женщина|леди|очень светлый тон кожи|рыжие волосы|человек
	👩🏼‍🦰;женщина: светлый тон кожи рыжие волосы;взрослая|волосы|девушка|длинные|женщина|леди|рыжие волосы|светлый тон кожи|человек
	👩🏽‍🦰;женщина: средний тон кожи рыжие волосы;взрослая|волосы|девушка|длинные|женщина|леди|рыжие волосы|средний тон кожи|человек
	👩🏾‍🦰;женщина: темный тон кожи рыжие волосы;взрослая|волосы|девушка|длинные|женщина|леди|рыжие волосы|темный тон кожи|человек
	👩🏿‍🦰;женщина: очень темный тон кожи рыжие волосы;взрослая|волосы|девушка|длинные|женщина|леди|очень темный тон кожи|рыжие волосы|человек
🧑‍🦰;взрослый: рыжие волосы;взрослый|гендерно нейтральный|рыжие волосы|совершеннолетний
	🧑🏻‍🦰;взрослый: очень светлый тон кожи рыжие волосы;взрослый|гендерно нейтральный|очень светлый тон кожи|рыжие волосы|совершеннолетний
	🧑🏼‍🦰;взрослый: светлый тон кожи рыжие волосы;взрослый|гендерно нейтральный|рыжие волосы|светлый тон кожи|совершеннолетний
	🧑🏽‍🦰;взрослый: средний тон кожи рыжие волосы;взрослый|гендерно нейтральный|рыжие волосы|совершеннолетний|средний тон кожи
	🧑🏾‍🦰;взрослый: темный тон кожи рыжие волосы;взрослый|гендерно нейтральный|рыжие волосы|совершеннолетний|темный тон кожи
	🧑🏿‍🦰;взрослый: очень темный тон кожи рыжие волосы;взрослый|гендерно нейтральный|очень темный тон кожи|рыжие волосы|совершеннолетний
👩‍🦱;женщина: кудрявые волосы;взрослая|волосы|девушка|длинные|женщина|кудрявые волосы|леди|человек
	👩🏻‍🦱;женщина: очень светлый тон кожи кудрявые волосы;взрослая|волосы|девушка|длинные|женщина|кудрявые волосы|леди|очень светлый тон кожи|человек
	👩🏼‍🦱;женщина: светлый тон кожи кудрявые волосы;взрослая|волосы|девушка|длинные|женщина|кудрявые волосы|леди|светлый тон кожи|человек
	👩🏽‍🦱;женщина: средний тон кожи кудрявые волосы;взрослая|волосы|девушка|длинные|женщина|кудрявые волосы|леди|средний тон кожи|человек
	👩🏾‍🦱;женщина: темный тон кожи кудрявые волосы;взрослая|волосы|девушка|длинные|женщина|кудрявые волосы|леди|темный тон кожи|человек
	👩🏿‍🦱;женщина: очень темный тон кожи кудрявые волосы;взрослая|волосы|девушка|длинные|женщина|кудрявые волосы|леди|очень темный тон кожи|человек
🧑‍🦱;взрослый: кудрявые волосы;взрослый|гендерно нейтральный|кудрявые волосы|совершеннолетний
	🧑🏻‍🦱;взрослый: очень светлый тон кожи кудрявые волосы;взрослый|гендерно нейтральный|кудрявые волосы|очень светлый тон кожи|совершеннолетний
	🧑🏼‍🦱;взрослый: светлый тон кожи кудрявые волосы;взрослый|гендерно нейтральный|кудрявые волосы|светлый тон кожи|совершеннолетний
	🧑🏽‍🦱;взрослый: средний тон кожи кудрявые волосы;взрослый|гендерно нейтральный|кудрявые волосы|совершеннолетний|средний тон кожи
	🧑🏾‍🦱;взрослый: темный тон кожи кудрявые волосы;взрослый|гендерно нейтральный|кудрявые волосы|совершеннолетний|темный тон кожи
	🧑🏿‍🦱;взрослый: очень темный тон кожи кудрявые волосы;взрослый|гендерно нейтральный|кудрявые волосы|очень темный тон кожи|совершеннолетний
👩‍🦳;женщина: седые волосы;взрослая|волосы|девушка|длинные|женщина|леди|седые волосы|человек
	👩🏻‍🦳;женщина: очень светлый тон кожи седые волосы;взрослая|волосы|девушка|длинные|женщина|леди|очень светлый тон кожи|седые волосы|человек
	👩🏼‍🦳;женщина: светлый тон кожи седые волосы;взрослая|волосы|девушка|длинные|женщина|леди|светлый тон кожи|седые волосы|человек
	👩🏽‍🦳;женщина: средний тон кожи седые волосы;взрослая|волосы|девушка|длинные|женщина|леди|седые волосы|средний тон кожи|человек
	👩🏾‍🦳;женщина: темный тон кожи седые волосы;взрослая|волосы|девушка|длинные|женщина|леди|седые волосы|темный тон кожи|человек
	👩🏿‍🦳;женщина: очень темный тон кожи седые волосы;взрослая|волосы|девушка|длинные|женщина|леди|очень темный тон кожи|седые волосы|человек
🧑‍🦳;взрослый: седые волосы;взрослый|гендерно нейтральный|седые волосы|совершеннолетний
	🧑🏻‍🦳;взрослый: очень светлый тон кожи седые волосы;взрослый|гендерно нейтральный|очень светлый тон кожи|седые волосы|совершеннолетний
	🧑🏼‍🦳;взрослый: светлый тон кожи седые волосы;взрослый|гендерно нейтральный|светлый тон кожи|седые волосы|совершеннолетний
	🧑🏽‍🦳;взрослый: средний тон кожи седые волосы;взрослый|гендерно нейтральный|седые волосы|совершеннолетний|средний тон кожи
	🧑🏾‍🦳;взрослый: темный тон кожи седые волосы;взрослый|гендерно нейтральный|седые волосы|совершеннолетний|темный тон кожи
	🧑🏿‍🦳;взрослый: очень темный тон кожи седые волосы;взрослый|гендерно нейтральный|очень темный тон кожи|седые волосы|совершеннолетний
👩‍🦲;женщина: без волос;без волос|взрослая|волосы|девушка|длинные|женщина|леди|человек
	👩🏻‍🦲;женщина: очень светлый тон кожи без волос;без волос|взрослая|волосы|девушка|длинные|женщина|леди|очень светлый тон кожи|человек
	👩🏼‍🦲;женщина: светлый тон кожи без волос;без волос|взрослая|волосы|девушка|длинные|женщина|леди|светлый тон кожи|человек
	👩🏽‍🦲;женщина: средний тон кожи без волос;без волос|взрослая|волосы|девушка|длинные|женщина|леди|средний тон кожи|человек
	👩🏾‍🦲;женщина: темный тон кожи без волос;без волос|взрослая|волосы|девушка|длинные|женщина|леди|темный тон кожи|человек
	👩🏿‍🦲;женщина: очень темный тон кожи без волос;без волос|взрослая|волосы|девушка|длинные|женщина|леди|очень темный тон кожи|человек
🧑‍🦲;взрослый: без волос;без волос|взрослый|гендерно нейтральный|совершеннолетний
	🧑🏻‍🦲;взрослый: очень светлый тон кожи без волос;без волос|взрослый|гендерно нейтральный|очень светлый тон кожи|совершеннолетний
	🧑🏼‍🦲;взрослый: светлый тон кожи без волос;без волос|взрослый|гендерно нейтральный|светлый тон кожи|совершеннолетний
	🧑🏽‍🦲;взрослый: средний тон кожи без волос;без волос|взрослый|гендерно нейтральный|совершеннолетний|средний тон кожи
	🧑🏾‍🦲;взрослый: темный тон кожи без волос;без волос|взрослый|гендерно нейтральный|совершеннолетний|темный тон кожи
	🧑🏿‍🦲;взрослый: очень темный тон кожи без волос;без волос|взрослый|гендерно нейтральный|очень темный тон кожи|совершеннолетний
👱‍♀️;блондинка;блондинка|женщина|женщина со светлыми волосами|светлые волосы|человек со светлыми волосами
	👱🏻‍♀️;блондинка: очень светлый тон кожи;блондинка|женщина|женщина со светлыми волосами|очень светлый тон кожи|светлые волосы|человек со светлыми волосами
	👱🏼‍♀️;блондинка: светлый тон кожи;блондинка|женщина|женщина со светлыми волосами|светлые волосы|светлый тон кожи|человек со светлыми волосами
	👱🏽‍♀️;блондинка: средний тон кожи;блондинка|женщина|женщина со светлыми волосами|светлые волосы|средний тон кожи|человек со светлыми волосами
	👱🏾‍♀️;блондинка: темный тон кожи;блондинка|женщина|женщина со светлыми волосами|светлые волосы|темный тон кожи|человек со светлыми волосами
	👱🏿‍♀️;блондинка: очень темный тон кожи;блондинка|женщина|женщина со светлыми волосами|очень темный тон кожи|светлые волосы|человек со светлыми волосами
👱‍♂️;блондин;блондин|мужчина|мужчина со светлыми волосами|светлые волосы|человек со светлыми волосами
	👱🏻‍♂️;блондин: очень светлый тон кожи;блондин|мужчина|мужчина со светлыми волосами|очень светлый тон кожи|светлые волосы|человек со светлыми волосами
	👱🏼‍♂️;блондин: светлый тон кожи;блондин|мужчина|мужчина со светлыми волосами|светлые волосы|светлый тон кожи|человек со светлыми волосами
	👱🏽‍♂️;блондин: средний тон кожи;блондин|мужчина|мужчина со светлыми волосами|светлые волосы|средний тон кожи|человек со светлыми волосами
	👱🏾‍♂️;блондин: темный тон кожи;блондин|мужчина|мужчина со светлыми волосами|светлые волосы|темный тон кожи|человек со светлыми волосами
	👱🏿‍♂️;блондин: очень темный тон кожи;блондин|мужчина|мужчина со светлыми волосами|очень темный тон кожи|светлые волосы|человек со светлыми волосами
🧓;пожилой человек;в возрасте|гендерно нейтральный|пожилой|пожилой человек|старый
	🧓🏻;пожилой человек: очень светлый тон кожи;в возрасте|гендерно нейтральный|очень светлый тон кожи|пожилой|пожилой человек|старый
	🧓🏼;пожилой человек: светлый тон кожи;в возрасте|гендерно нейтральный|пожилой|пожилой человек|светлый тон кожи|старый
	🧓🏽;пожилой человек: средний тон кожи;в возрасте|гендерно нейтральный|пожилой|пожилой человек|средний тон кожи|старый
	🧓🏾;пожилой человек: темный тон кожи;в возрасте|гендерно нейтральный|пожилой|пожилой человек|старый|темный тон кожи
	🧓🏿;пожилой человек: очень темный тон кожи;в возрасте|гендерно нейтральный|очень темный тон кожи|пожилой|пожилой человек|старый
👴;пожилой мужчина;возраст|годы|дедушка|мужчина|пожилой|старик|старый|человек
	👴🏻;пожилой мужчина: очень светлый тон кожи;возраст|годы|дедушка|мужчина|очень светлый тон кожи|пожилой|старик|старый|человек
	👴🏼;пожилой мужчина: светлый тон кожи;возраст|годы|дедушка|мужчина|пожилой|светлый тон кожи|старик|старый|человек
	👴🏽;пожилой мужчина: средний тон кожи;возраст|годы|дедушка|мужчина|пожилой|средний тон кожи|старик|старый|человек
	👴🏾;пожилой мужчина: темный тон кожи;возраст|годы|дедушка|мужчина|пожилой|старик|старый|темный тон кожи|человек
	👴🏿;пожилой мужчина: очень темный тон кожи;возраст|годы|дедушка|мужчина|очень темный тон кожи|пожилой|старик|старый|человек
👵;пожилая женщина;бабушка|женщина|пожилая|старая|старуха|старушка|человек
	👵🏻;пожилая женщина: очень светлый тон кожи;бабушка|женщина|очень светлый тон кожи|пожилая|старая|старуха|старушка|человек
	👵🏼;пожилая женщина: светлый тон кожи;бабушка|женщина|пожилая|светлый тон кожи|старая|старуха|старушка|человек
	👵🏽;пожилая женщина: средний тон кожи;бабушка|женщина|пожилая|средний тон кожи|старая|старуха|старушка|человек
	👵🏾;пожилая женщина: темный тон кожи;бабушка|женщина|пожилая|старая|старуха|старушка|темный тон кожи|человек
	👵🏿;пожилая женщина: очень темный тон кожи;бабушка|женщина|очень темный тон кожи|пожилая|старая|старуха|старушка|человек
🙍;нахмурившийся человек;грустит|грусть|грущу|лицо|нахмурившийся человек|обида|печаль|расстроен|хмурый|человек
	🙍🏻;нахмурившийся человек: очень светлый тон кожи;грустит|грусть|грущу|лицо|нахмурившийся человек|обида|очень светлый тон кожи|печаль|расстроен|хмурый|человек
	🙍🏼;нахмурившийся человек: светлый тон кожи;грустит|грусть|грущу|лицо|нахмурившийся человек|обида|печаль|расстроен|светлый тон кожи|хмурый|человек
	🙍🏽;нахмурившийся человек: средний тон кожи;грустит|грусть|грущу|лицо|нахмурившийся человек|обида|печаль|расстроен|средний тон кожи|хмурый|человек
	🙍🏾;нахмурившийся человек: темный тон кожи;грустит|грусть|грущу|лицо|нахмурившийся человек|обида|печаль|расстроен|темный тон кожи|хмурый|человек
	🙍🏿;нахмурившийся человек: очень темный тон кожи;грустит|грусть|грущу|лицо|нахмурившийся человек|обида|очень темный тон кожи|печаль|расстроен|хмурый|человек
🙍‍♂️;нахмурившийся мужчина;мужчина|нахмурившийся мужчина|расстроен|хмурый|человек
	🙍🏻‍♂️;нахмурившийся мужчина: очень светлый тон кожи;мужчина|нахмурившийся мужчина|очень светлый тон кожи|расстроен|хмурый|человек
	🙍🏼‍♂️;нахмурившийся мужчина: светлый тон кожи;мужчина|нахмурившийся мужчина|расстроен|светлый тон кожи|хмурый|человек
	🙍🏽‍♂️;нахмурившийся мужчина: средний тон кожи;мужчина|нахмурившийся мужчина|расстроен|средний тон кожи|хмурый|человек
	🙍🏾‍♂️;нахмурившийся мужчина: темный тон кожи;мужчина|нахмурившийся мужчина|расстроен|темный тон кожи|хмурый|человек
	🙍🏿‍♂️;нахмурившийся мужчина: очень темный тон кожи;мужчина|нахмурившийся мужчина|очень темный тон кожи|расстроен|хмурый|человек
🙍‍♀️;нахмурившаяся женщина;женщина|нахмурившаяся женщина|расстроена|хмурая|человек
	🙍🏻‍♀️;нахмурившаяся женщина: очень светлый тон кожи;женщина|нахмурившаяся женщина|очень светлый тон кожи|расстроена|хмурая|человек
	🙍🏼‍♀️;нахмурившаяся женщина: светлый тон кожи;женщина|нахмурившаяся женщина|расстроена|светлый тон кожи|хмурая|человек
	🙍🏽‍♀️;нахмурившаяся женщина: средний тон кожи;женщина|нахмурившаяся женщина|расстроена|средний тон кожи|хмурая|человек
	🙍🏾‍♀️;нахмурившаяся женщина: темный тон кожи;женщина|нахмурившаяся женщина|расстроена|темный тон кожи|хмурая|человек
	🙍🏿‍♀️;нахмурившаяся женщина: очень темный тон кожи;женщина|нахмурившаяся женщина|очень темный тон кожи|расстроена|хмурая|человек
🙎;обиженный человек;губы|зла|зол|надоело|надуть|обижен|огорчен|раздражение|разочарование|расстроен
	🙎🏻;обиженный человек: очень светлый тон кожи;губы|зла|зол|надоело|надуть|обижен|огорчен|очень светлый тон кожи|раздражение|разочарование|расстроен
	🙎🏼;обиженный человек: светлый тон кожи;губы|зла|зол|надоело|надуть|обижен|огорчен|раздражение|разочарование|расстроен|светлый тон кожи
	🙎🏽;обиженный человек: средний тон кожи;губы|зла|зол|надоело|надуть|обижен|огорчен|раздражение|разочарование|расстроен|средний тон кожи
	🙎🏾;обиженный человек: темный тон кожи;губы|зла|зол|надоело|надуть|обижен|огорчен|раздражение|разочарование|расстроен|темный тон кожи
	🙎🏿;обиженный человек: очень темный тон кожи;губы|зла|зол|надоело|надуть|обижен|огорчен|очень темный тон кожи|раздражение|разочарование|расстроен
🙎‍♂️;обиженный мужчина;губы|зол|надуть|обида|обижен|огорчен|разочарован|расстроен|хмурый
	🙎🏻‍♂️;обиженный мужчина: очень светлый тон кожи;губы|зол|надуть|обида|обижен|огорчен|очень светлый тон кожи|разочарован|расстроен|хмурый
	🙎🏼‍♂️;обиженный мужчина: светлый тон кожи;губы|зол|надуть|обида|обижен|огорчен|разочарован|расстроен|светлый тон кожи|хмурый
	🙎🏽‍♂️;обиженный мужчина: средний тон кожи;губы|зол|надуть|обида|обижен|огорчен|разочарован|расстроен|средний тон кожи|хмурый
	🙎🏾‍♂️;обиженный мужчина: темный тон кожи;губы|зол|надуть|обида|обижен|огорчен|разочарован|расстроен|темный тон кожи|хмурый
	🙎🏿‍♂️;обиженный мужчина: очень темный тон кожи;губы|зол|надуть|обида|обижен|огорчен|очень темный тон кожи|разочарован|расстроен|хмурый
🙎‍♀️;обиженная женщина;недовольство|обида|обиженная|обиженная женщина
	🙎🏻‍♀️;обиженная женщина: очень светлый тон кожи;недовольство|обида|обиженная|обиженная женщина|очень светлый тон кожи
	🙎🏼‍♀️;обиженная женщина: светлый тон кожи;недовольство|обида|обиженная|обиженная женщина|светлый тон кожи
	🙎🏽‍♀️;обиженная женщина: средний тон кожи;недовольство|обида|обиженная|обиженная женщина|средний тон кожи
	🙎🏾‍♀️;обиженная женщина: темный тон кожи;недовольство|обида|обиженная|обиженная женщина|темный тон кожи
	🙎🏿‍♀️;обиженная женщина: очень темный тон кожи;недовольство|обида|обиженная|обиженная женщина|очень темный тон кожи
🙅;человек против;возражаю|жест|запрет|нельзя|нет|отказ|против|хватит
	🙅🏻;человек против: очень светлый тон кожи;возражаю|жест|запрет|нельзя|нет|отказ|очень светлый тон кожи|против|хватит
	🙅🏼;человек против: светлый тон кожи;возражаю|жест|запрет|нельзя|нет|отказ|против|светлый тон кожи|хватит
	🙅🏽;человек против: средний тон кожи;возражаю|жест|запрет|нельзя|нет|отказ|против|средний тон кожи|хватит
	🙅🏾;человек против: темный тон кожи;возражаю|жест|запрет|нельзя|нет|отказ|против|темный тон кожи|хватит
	🙅🏿;человек против: очень темный тон кожи;возражаю|жест|запрет|нельзя|нет|отказ|очень темный тон кожи|против|хватит
🙅‍♂️;мужчина против;возражение|жест|запрет|мужчина|нельзя|нет|отказ|против|хватит
	🙅🏻‍♂️;мужчина против: очень светлый тон кожи;возражение|жест|запрет|мужчина|нельзя|нет|отказ|очень светлый тон кожи|против|хватит
	🙅🏼‍♂️;мужчина против: светлый тон кожи;возражение|жест|запрет|мужчина|нельзя|нет|отказ|против|светлый тон кожи|хватит
	🙅🏽‍♂️;мужчина против: средний тон кожи;возражение|жест|запрет|мужчина|нельзя|нет|отказ|против|средний тон кожи|хватит
	🙅🏾‍♂️;мужчина против: темный тон кожи;возражение|жест|запрет|мужчина|нельзя|нет|отказ|против|темный тон кожи|хватит
	🙅🏿‍♂️;мужчина против: очень темный тон кожи;возражение|жест|запрет|мужчина|нельзя|нет|отказ|очень темный тон кожи|против|хватит
🙅‍♀️;женщина против;женщина|женщина против|жест|запрещено|нельзя|руки
	🙅🏻‍♀️;женщина против: очень светлый тон кожи;женщина|женщина против|жест|запрещено|нельзя|очень светлый тон кожи|руки
	🙅🏼‍♀️;женщина против: светлый тон кожи;женщина|женщина против|жест|запрещено|нельзя|руки|светлый тон кожи
	🙅🏽‍♀️;женщина против: средний тон кожи;женщина|женщина против|жест|запрещено|нельзя|руки|средний тон кожи
	🙅🏾‍♀️;женщина против: темный тон кожи;женщина|женщина против|жест|запрещено|нельзя|руки|темный тон кожи
	🙅🏿‍♀️;женщина против: очень темный тон кожи;женщина|женщина против|жест|запрещено|нельзя|очень темный тон кожи|руки
🙆;человек за;вверх|домик|за|зарядка|окей|омг|отлично|руки|хорошо
	🙆🏻;человек за: очень светлый тон кожи;вверх|домик|за|зарядка|окей|омг|отлично|очень светлый тон кожи|руки|хорошо
	🙆🏼;человек за: светлый тон кожи;вверх|домик|за|зарядка|окей|омг|отлично|руки|светлый тон кожи|хорошо
	🙆🏽;человек за: средний тон кожи;вверх|домик|за|зарядка|окей|омг|отлично|руки|средний тон кожи|хорошо
	🙆🏾;человек за: темный тон кожи;вверх|домик|за|зарядка|окей|омг|отлично|руки|темный тон кожи|хорошо
	🙆🏿;человек за: очень темный тон кожи;вверх|домик|за|зарядка|окей|омг|отлично|очень темный тон кожи|руки|хорошо
🙆‍♂️;мужчина за;вверх|жест|за|зарядка|мужчина|окей|омг|отлично|руки|хорошо
	🙆🏻‍♂️;мужчина за: очень светлый тон кожи;вверх|жест|за|зарядка|мужчина|окей|омг|отлично|очень светлый тон кожи|руки|хорошо
	🙆🏼‍♂️;мужчина за: светлый тон кожи;вверх|жест|за|зарядка|мужчина|окей|омг|отлично|руки|светлый тон кожи|хорошо
	🙆🏽‍♂️;мужчина за: средний тон кожи;вверх|жест|за|зарядка|мужчина|окей|омг|отлично|руки|средний тон кожи|хорошо
	🙆🏾‍♂️;мужчина за: темный тон кожи;вверх|жест|за|зарядка|мужчина|окей|омг|отлично|руки|темный тон кожи|хорошо
	🙆🏿‍♂️;мужчина за: очень темный тон кожи;вверх|жест|за|зарядка|мужчина|окей|омг|отлично|очень темный тон кожи|руки|хорошо
🙆‍♀️;женщина за;женщина|женщина за|жест|ок|окей|отлично|руки
	🙆🏻‍♀️;женщина за: очень светлый тон кожи;женщина|женщина за|жест|ок|окей|отлично|очень светлый тон кожи|руки
	🙆🏼‍♀️;женщина за: светлый тон кожи;женщина|женщина за|жест|ок|окей|отлично|руки|светлый тон кожи
	🙆🏽‍♀️;женщина за: средний тон кожи;женщина|женщина за|жест|ок|окей|отлично|руки|средний тон кожи
	🙆🏾‍♀️;женщина за: темный тон кожи;женщина|женщина за|жест|ок|окей|отлично|руки|темный тон кожи
	🙆🏿‍♀️;женщина за: очень темный тон кожи;женщина|женщина за|жест|ок|окей|отлично|очень темный тон кожи|руки
💁;человек тянет руку;выдать|жест|знаю|информацию|не|себе|секрет|сплетни|так
	💁🏻;человек тянет руку: очень светлый тон кожи;выдать|жест|знаю|информацию|не|очень светлый тон кожи|себе|секрет|сплетни|так
	💁🏼;человек тянет руку: светлый тон кожи;выдать|жест|знаю|информацию|не|светлый тон кожи|себе|секрет|сплетни|так
	💁🏽;человек тянет руку: средний тон кожи;выдать|жест|знаю|информацию|не|себе|секрет|сплетни|средний тон кожи|так
	💁🏾;человек тянет руку: темный тон кожи;выдать|жест|знаю|информацию|не|себе|секрет|сплетни|так|темный тон кожи
	💁🏿;человек тянет руку: очень темный тон кожи;выдать|жест|знаю|информацию|не|очень темный тон кожи|себе|секрет|сплетни|так
💁‍♂️;мужчина тянет руку;выдать|жест|знаю|информацию|мужчина|не|себе|секрет|сплетни|так
	💁🏻‍♂️;мужчина тянет руку: очень светлый тон кожи;выдать|жест|знаю|информацию|мужчина|не|очень светлый тон кожи|себе|секрет|сплетни|так
	💁🏼‍♂️;мужчина тянет руку: светлый тон кожи;выдать|жест|знаю|информацию|мужчина|не|светлый тон кожи|себе|секрет|сплетни|так
	💁🏽‍♂️;мужчина тянет руку: средний тон кожи;выдать|жест|знаю|информацию|мужчина|не|себе|секрет|сплетни|средний тон кожи|так
	💁🏾‍♂️;мужчина тянет руку: темный тон кожи;выдать|жест|знаю|информацию|мужчина|не|себе|секрет|сплетни|так|темный тон кожи
	💁🏿‍♂️;мужчина тянет руку: очень темный тон кожи;выдать|жест|знаю|информацию|мужчина|не|очень темный тон кожи|себе|секрет|сплетни|так
💁‍♀️;женщина тянет руку;женщина тянет руку|информация|помощь|рука
	💁🏻‍♀️;женщина тянет руку: очень светлый тон кожи;женщина тянет руку|информация|очень светлый тон кожи|помощь|рука
	💁🏼‍♀️;женщина тянет руку: светлый тон кожи;женщина тянет руку|информация|помощь|рука|светлый тон кожи
	💁🏽‍♀️;женщина тянет руку: средний тон кожи;женщина тянет руку|информация|помощь|рука|средний тон кожи
	💁🏾‍♀️;женщина тянет руку: темный тон кожи;женщина тянет руку|информация|помощь|рука|темный тон кожи
	💁🏿‍♀️;женщина тянет руку: очень темный тон кожи;женщина тянет руку|информация|очень темный тон кожи|помощь|рука
🙋;человек с поднятой рукой;вопрос|задать|знаю|ответить|поднять|руку|сказать|спросить|хочу
	🙋🏻;человек с поднятой рукой: очень светлый тон кожи;вопрос|задать|знаю|ответить|очень светлый тон кожи|поднять|руку|сказать|спросить|хочу
	🙋🏼;человек с поднятой рукой: светлый тон кожи;вопрос|задать|знаю|ответить|поднять|руку|светлый тон кожи|сказать|спросить|хочу
	🙋🏽;человек с поднятой рукой: средний тон кожи;вопрос|задать|знаю|ответить|поднять|руку|сказать|спросить|средний тон кожи|хочу
	🙋🏾;человек с поднятой рукой: темный тон кожи;вопрос|задать|знаю|ответить|поднять|руку|сказать|спросить|темный тон кожи|хочу
	🙋🏿;человек с поднятой рукой: очень темный тон кожи;вопрос|задать|знаю|ответить|очень темный тон кожи|поднять|руку|сказать|спросить|хочу
🙋‍♂️;мужчина с поднятой рукой;вопрос|задать|знаю|ответить|поднять|руку|сказать|спросить|хочу
	🙋🏻‍♂️;мужчина с поднятой рукой: очень светлый тон кожи;вопрос|задать|знаю|ответить|очень светлый тон кожи|поднять|руку|сказать|спросить|хочу
