# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;cerenje;cerenje|lice
	🤷🏽;slijeganje ramenima: umjerena boja kože;nezainteresiranost|neznanje|slijeganje ramenima|sumnja|umjerena boja kože
	🤷🏾;slijeganje ramenima: umjereno tamna boja kože;nezainteresiranost|neznanje|slijeganje ramenima|sumnja|umjereno tamna boja kože
	🤷🏿;slijeganje ramenima: tamna boja kože;nezainteresiranost|neznanje|slijeganje ramenima|sumnja|tamna boja kože
🤷‍♂️;muškarac sliježe ramenima;gestikulacija|muškarac|muškarac sliježe ramenima|neznanje|ravnodušnost
	🤷🏻‍♂️;muškarac sliježe ramenima: svijetla boja kože;gestikulacija|muškarac|muškarac sliježe ramenima|neznanje|ravnodušnost|svijetla boja kože
	🤷🏼‍♂️;muškarac sliježe ramenima: umjereno svijetla boja kože;gestikulacija|muškarac|muškarac sliježe ramenima|neznanje|ravnodušnost|umjereno svijetla boja kože
	🤷🏽‍♂️;muškarac sliježe ramenima: umjerena boja kože;gestikulacija|muškarac|muškarac sliježe ramenima|neznanje|ravnodušnost|umjerena boja kože
	🤷🏾‍♂️;muškarac sliježe ramenima: umjereno tamna boja kože;gestikulacija|muškarac|muškarac sliježe ramenima|neznanje|ravnodušnost|umjereno tamna boja kože
	🤷🏿‍♂️;muškarac sliježe ramenima: tamna boja kože;gestikulacija|muškarac|muškarac sliježe ramenima|neznanje|ravnodušnost|tamna boja kože
🤷‍♀️;žena sliježe ramenima;gestikulacija|neznanje|ravnodušnost|žena|žena sliježe ramenima
	🤷🏻‍♀️;žena sliježe ramenima: svijetla boja kože;gestikulacija|neznanje|ravnodušnost|svijetla boja kože|žena|žena sliježe ramenima
	🤷🏼‍♀️;žena sliježe ramenima: umjereno svijetla boja kože;gestikulacija|neznanje|ravnodušnost|umjereno svijetla boja kože|žena|žena sliježe ramenima
	🤷🏽‍♀️;žena sliježe ramenima: umjerena boja kože;gestikulacija|neznanje|ravnodušnost|umjerena boja kože|žena|žena sliježe ramenima
	🤷🏾‍♀️;žena sliježe ramenima: umjereno tamna boja kože;gestikulacija|neznanje|ravnodušnost|umjereno tamna boja kože|žena|žena sliježe ramenima
	🤷🏿‍♀️;žena sliježe ramenima: tamna boja kože;gestikulacija|neznanje|ravnodušnost|tamna boja kože|žena|žena sliježe ramenima
🧑‍⚕️;zdravstveni radnik;doktor|medicinska sestra|terapeut|zdravstvena njega|zdravstveni radnik
	🧑🏻‍⚕️;zdravstveni radnik: svijetla boja kože;doktor|medicinska sestra|svijetla boja kože|terapeut|zdravstvena njega|zdravstveni radnik
	🧑🏼‍⚕️;zdravstveni radnik: umjereno svijetla boja kože;doktor|medicinska sestra|terapeut|umjereno svijetla boja kože|zdravstvena njega|zdravstveni radnik
	🧑🏽‍⚕️;zdravstveni radnik: umjerena boja kože;doktor|medicinska sestra|terapeut|umjerena boja kože|zdravstvena njega|zdravstveni radnik
	🧑🏾‍⚕️;zdravstveni radnik: umjereno tamna boja kože;doktor|medicinska sestra|terapeut|umjereno tamna boja kože|zdravstvena njega|zdravstveni radnik
	🧑🏿‍⚕️;zdravstveni radnik: tamna boja kože;doktor|medicinska sestra|tamna boja kože|terapeut|zdravstvena njega|zdravstveni radnik
👨‍⚕️;zdravstveni radnik muškarac;doktor|liječnik|ljekar|medicinski tehničar|zdravstveni radnik|zdravstveni radnik muškarac
	👨🏻‍⚕️;zdravstveni radnik muškarac: svijetla boja kože;doktor|liječnik|ljekar|medicinski tehničar|svijetla boja kože|zdravstveni radnik|zdravstveni radnik muškarac
	👨🏼‍⚕️;zdravstveni radnik muškarac: umjereno svijetla boja kože;doktor|liječnik|ljekar|medicinski tehničar|umjereno svijetla boja kože|zdravstveni radnik|zdravstveni radnik muškarac
	👨🏽‍⚕️;zdravstveni radnik muškarac: umjerena boja kože;doktor|liječnik|ljekar|medicinski tehničar|umjerena boja kože|zdravstveni radnik|zdravstveni radnik muškarac
	👨🏾‍⚕️;zdravstveni radnik muškarac: umjereno tamna boja kože;doktor|liječnik|ljekar|medicinski tehničar|umjereno tamna boja kože|zdravstveni radnik|zdravstveni radnik muškarac
	👨🏿‍⚕️;zdravstveni radnik muškarac: tamna boja kože;doktor|liječnik|ljekar|medicinski tehničar|tamna boja kože|zdravstveni radnik|zdravstveni radnik muškarac
👩‍⚕️;zdravstvena radnica;doktorica|liječnica|ljekarka|medicinska sestra|zdravstvena radnica
	👩🏻‍⚕️;zdravstvena radnica: svijetla boja kože;doktorica|liječnica|ljekarka|medicinska sestra|svijetla boja kože|zdravstvena radnica
	👩🏼‍⚕️;zdravstvena radnica: umjereno svijetla boja kože;doktorica|liječnica|ljekarka|medicinska sestra|umjereno svijetla boja kože|zdravstvena radnica
	👩🏽‍⚕️;zdravstvena radnica: umjerena boja kože;doktorica|liječnica|ljekarka|medicinska sestra|umjerena boja kože|zdravstvena radnica
	👩🏾‍⚕️;zdravstvena radnica: umjereno tamna boja kože;doktorica|liječnica|ljekarka|medicinska sestra|umjereno tamna boja kože|zdravstvena radnica
	👩🏿‍⚕️;zdravstvena radnica: tamna boja kože;doktorica|liječnica|ljekarka|medicinska sestra|tamna boja kože|zdravstvena radnica
🧑‍🎓;student;diplomirani|student
	🧑🏻‍🎓;student: svijetla boja kože;diplomirani|student|svijetla boja kože
	🧑🏼‍🎓;student: umjereno svijetla boja kože;diplomirani|student|umjereno svijetla boja kože
	🧑🏽‍🎓;student: umjerena boja kože;diplomirani|student|umjerena boja kože
	🧑🏾‍🎓;student: umjereno tamna boja kože;diplomirani|student|umjereno tamna boja kože
	🧑🏿‍🎓;student: tamna boja kože;diplomirani|student|tamna boja kože
👨‍🎓;student muškarac;diplomirani|muškarac|student
	👨🏻‍🎓;student muškarac: svijetla boja kože;diplomirani|muškarac|student|svijetla boja kože
	👨🏼‍🎓;student muškarac: umjereno svijetla boja kože;diplomirani|muškarac|student|umjereno svijetla boja kože
	👨🏽‍🎓;student muškarac: umjerena boja kože;diplomirani|muškarac|student|umjerena boja kože
	👨🏾‍🎓;student muškarac: umjereno tamna boja kože;diplomirani|muškarac|student|umjereno tamna boja kože
	👨🏿‍🎓;student muškarac: tamna boja kože;diplomirani|muškarac|student|tamna boja kože
👩‍🎓;studentica;diplomirani|student|studentica|žena
	👩🏻‍🎓;studentica: svijetla boja kože;diplomirani|student|studentica|svijetla boja kože|žena
	👩🏼‍🎓;studentica: umjereno svijetla boja kože;diplomirani|student|studentica|umjereno svijetla boja kože|žena
	👩🏽‍🎓;studentica: umjerena boja kože;diplomirani|student|studentica|umjerena boja kože|žena
	👩🏾‍🎓;studentica: umjereno tamna boja kože;diplomirani|student|studentica|umjereno tamna boja kože|žena
	👩🏿‍🎓;studentica: tamna boja kože;diplomirani|student|studentica|tamna boja kože|žena
🧑‍🏫;učitelj;instruktor|profesor|učitelj
	🧑🏻‍🏫;učitelj: svijetla boja kože;instruktor|profesor|svijetla boja kože|učitelj
	🧑🏼‍🏫;učitelj: umjereno svijetla boja kože;instruktor|profesor|učitelj|umjereno svijetla boja kože
	🧑🏽‍🏫;učitelj: umjerena boja kože;instruktor|profesor|učitelj|umjerena boja kože
	🧑🏾‍🏫;učitelj: umjereno tamna boja kože;instruktor|profesor|učitelj|umjereno tamna boja kože
	🧑🏿‍🏫;učitelj: tamna boja kože;instruktor|profesor|tamna boja kože|učitelj
👨‍🏫;profesor;muškarac|nastavnik|profesor|učitelj
	👨🏻‍🏫;profesor: svijetla boja kože;muškarac|nastavnik|profesor|svijetla boja kože|učitelj
	👨🏼‍🏫;profesor: umjereno svijetla boja kože;muškarac|nastavnik|profesor|učitelj|umjereno svijetla boja kože
	👨🏽‍🏫;profesor: umjerena boja kože;muškarac|nastavnik|profesor|učitelj|umjerena boja kože
	👨🏾‍🏫;profesor: umjereno tamna boja kože;muškarac|nastavnik|profesor|učitelj|umjereno tamna boja kože
	👨🏿‍🏫;profesor: tamna boja kože;muškarac|nastavnik|profesor|tamna boja kože|učitelj
👩‍🏫;profesorica;nastavnik|profesor|profesorica|učitelj|žena
	👩🏻‍🏫;profesorica: svijetla boja kože;nastavnik|profesor|profesorica|svijetla boja kože|učitelj|žena
	👩🏼‍🏫;profesorica: umjereno svijetla boja kože;nastavnik|profesor|profesorica|učitelj|umjereno svijetla boja kože|žena
	👩🏽‍🏫;profesorica: umjerena boja kože;nastavnik|profesor|profesorica|učitelj|umjerena boja kože|žena
	👩🏾‍🏫;profesorica: umjereno tamna boja kože;nastavnik|profesor|profesorica|učitelj|umjereno tamna boja kože|žena
	👩🏿‍🏫;profesorica: tamna boja kože;nastavnik|profesor|profesorica|tamna boja kože|učitelj|žena
🧑‍⚖️;sudija;sudija|vaga s dva tasa
	🧑🏻‍⚖️;sudija: svijetla boja kože;sudija|svijetla boja kože|vaga s dva tasa
	🧑🏼‍⚖️;sudija: umjereno svijetla boja kože;sudija|umjereno svijetla boja kože|vaga s dva tasa
	🧑🏽‍⚖️;sudija: umjerena boja kože;sudija|umjerena boja kože|vaga s dva tasa
	🧑🏾‍⚖️;sudija: umjereno tamna boja kože;sudija|umjereno tamna boja kože|vaga s dva tasa
	🧑🏿‍⚖️;sudija: tamna boja kože;sudija|tamna boja kože|vaga s dva tasa
👨‍⚖️;muškarac sudija;muškarac|pravda|sudija|vaga
	👨🏻‍⚖️;muškarac sudija: svijetla boja kože;muškarac|pravda|sudija|svijetla boja kože|vaga
	👨🏼‍⚖️;muškarac sudija: umjereno svijetla boja kože;muškarac|pravda|sudija|umjereno svijetla boja kože|vaga
	👨🏽‍⚖️;muškarac sudija: umjerena boja kože;muškarac|pravda|sudija|umjerena boja kože|vaga
	👨🏾‍⚖️;muškarac sudija: umjereno tamna boja kože;muškarac|pravda|sudija|umjereno tamna boja kože|vaga
	👨🏿‍⚖️;muškarac sudija: tamna boja kože;muškarac|pravda|sudija|tamna boja kože|vaga
👩‍⚖️;žena sudija;sudija|vaga|žena
	👩🏻‍⚖️;žena sudija: svijetla boja kože;sudija|svijetla boja kože|vaga|žena
	👩🏼‍⚖️;žena sudija: umjereno svijetla boja kože;sudija|umjereno svijetla boja kože|vaga|žena
	👩🏽‍⚖️;žena sudija: umjerena boja kože;sudija|umjerena boja kože|vaga|žena
	👩🏾‍⚖️;žena sudija: umjereno tamna boja kože;sudija|umjereno tamna boja kože|vaga|žena
	👩🏿‍⚖️;žena sudija: tamna boja kože;sudija|tamna boja kože|vaga|žena
🧑‍🌾;farmer;farmer|poljoprivrednik|vrtlar
	🧑🏻‍🌾;farmer: svijetla boja kože;farmer|poljoprivrednik|svijetla boja kože|vrtlar
	🧑🏼‍🌾;farmer: umjereno svijetla boja kože;farmer|poljoprivrednik|umjereno svijetla boja kože|vrtlar
	🧑🏽‍🌾;farmer: umjerena boja kože;farmer|poljoprivrednik|umjerena boja kože|vrtlar
	🧑🏾‍🌾;farmer: umjereno tamna boja kože;farmer|poljoprivrednik|umjereno tamna boja kože|vrtlar
	🧑🏿‍🌾;farmer: tamna boja kože;farmer|poljoprivrednik|tamna boja kože|vrtlar
👨‍🌾;poljoprivrednik;farmer|muškarac|poljoprivrednik|rančer
	👨🏻‍🌾;poljoprivrednik: svijetla boja kože;farmer|muškarac|poljoprivrednik|rančer|svijetla boja kože
	👨🏼‍🌾;poljoprivrednik: umjereno svijetla boja kože;farmer|muškarac|poljoprivrednik|rančer|umjereno svijetla boja kože
	👨🏽‍🌾;poljoprivrednik: umjerena boja kože;farmer|muškarac|poljoprivrednik|rančer|umjerena boja kože
	👨🏾‍🌾;poljoprivrednik: umjereno tamna boja kože;farmer|muškarac|poljoprivrednik|rančer|umjereno tamna boja kože
	👨🏿‍🌾;poljoprivrednik: tamna boja kože;farmer|muškarac|poljoprivrednik|rančer|tamna boja kože
👩‍🌾;poljoprivrednica;farmer|poljoprivrednica|poljoprivrednik|rančerica|žena
	👩🏻‍🌾;poljoprivrednica: svijetla boja kože;farmer|poljoprivrednica|poljoprivrednik|rančerica|svijetla boja kože|žena
	👩🏼‍🌾;poljoprivrednica: umjereno svijetla boja kože;farmer|poljoprivrednica|poljoprivrednik|rančerica|umjereno svijetla boja kože|žena
	👩🏽‍🌾;poljoprivrednica: umjerena boja kože;farmer|poljoprivrednica|poljoprivrednik|rančerica|umjerena boja kože|žena
	👩🏾‍🌾;poljoprivrednica: umjereno tamna boja kože;farmer|poljoprivrednica|poljoprivrednik|rančerica|umjereno tamna boja kože|žena
	👩🏿‍🌾;poljoprivrednica: tamna boja kože;farmer|poljoprivrednica|poljoprivrednik|rančerica|tamna boja kože|žena
🧑‍🍳;kuhar;kuhar|šef kuhinje
	🧑🏻‍🍳;kuhar: svijetla boja kože;kuhar|šef kuhinje|svijetla boja kože
	🧑🏼‍🍳;kuhar: umjereno svijetla boja kože;kuhar|šef kuhinje|umjereno svijetla boja kože
	🧑🏽‍🍳;kuhar: umjerena boja kože;kuhar|šef kuhinje|umjerena boja kože
	🧑🏾‍🍳;kuhar: umjereno tamna boja kože;kuhar|šef kuhinje|umjereno tamna boja kože
	🧑🏿‍🍳;kuhar: tamna boja kože;kuhar|šef kuhinje|tamna boja kože
👨‍🍳;kuhar muškarac;kuhar|muškarac|šef kuhinje
	👨🏻‍🍳;kuhar muškarac: svijetla boja kože;kuhar|muškarac|šef kuhinje|svijetla boja kože
	👨🏼‍🍳;kuhar muškarac: umjereno svijetla boja kože;kuhar|muškarac|šef kuhinje|umjereno svijetla boja kože
	👨🏽‍🍳;kuhar muškarac: umjerena boja kože;kuhar|muškarac|šef kuhinje|umjerena boja kože
	👨🏾‍🍳;kuhar muškarac: umjereno tamna boja kože;kuhar|muškarac|šef kuhinje|umjereno tamna boja kože
	👨🏿‍🍳;kuhar muškarac: tamna boja kože;kuhar|muškarac|šef kuhinje|tamna boja kože
👩‍🍳;kuharica;kuhar|kuharica|šef kuhinje
	👩🏻‍🍳;kuharica: svijetla boja kože;kuhar|kuharica|šef kuhinje|svijetla boja kože
	👩🏼‍🍳;kuharica: umjereno svijetla boja kože;kuhar|kuharica|šef kuhinje|umjereno svijetla boja kože
	👩🏽‍🍳;kuharica: umjerena boja kože;kuhar|kuharica|šef kuhinje|umjerena boja kože
	👩🏾‍🍳;kuharica: umjereno tamna boja kože;kuhar|kuharica|šef kuhinje|umjereno tamna boja kože
	👩🏿‍🍳;kuharica: tamna boja kože;kuhar|kuharica|šef kuhinje|tamna boja kože
🧑‍🔧;mehaničar;električar|fizički radnik|mehaničar|vodoinstalater
	🧑🏻‍🔧;mehaničar: svijetla boja kože;električar|fizički radnik|mehaničar|svijetla boja kože|vodoinstalater
	🧑🏼‍🔧;mehaničar: umjereno svijetla boja kože;električar|fizički radnik|mehaničar|umjereno svijetla boja kože|vodoinstalater
	🧑🏽‍🔧;mehaničar: umjerena boja kože;električar|fizički radnik|mehaničar|umjerena boja kože|vodoinstalater
	🧑🏾‍🔧;mehaničar: umjereno tamna boja kože;električar|fizički radnik|mehaničar|umjereno tamna boja kože|vodoinstalater
	🧑🏿‍🔧;mehaničar: tamna boja kože;električar|fizički radnik|mehaničar|tamna boja kože|vodoinstalater
👨‍🔧;mehaničar muškarac;električar|mehaničar|muškarac|trgovac|vodoinstalater
	👨🏻‍🔧;mehaničar muškarac: svijetla boja kože;električar|mehaničar|muškarac|svijetla boja kože|trgovac|vodoinstalater
	👨🏼‍🔧;mehaničar muškarac: umjereno svijetla boja kože;električar|mehaničar|muškarac|trgovac|umjereno svijetla boja kože|vodoinstalater
	👨🏽‍🔧;mehaničar muškarac: umjerena boja kože;električar|mehaničar|muškarac|trgovac|umjerena boja kože|vodoinstalater
	👨🏾‍🔧;mehaničar muškarac: umjereno tamna boja kože;električar|mehaničar|muškarac|trgovac|umjereno tamna boja kože|vodoinstalater
	👨🏿‍🔧;mehaničar muškarac: tamna boja kože;električar|mehaničar|muškarac|tamna boja kože|trgovac|vodoinstalater
👩‍🔧;mehaničarka;električarka|mehaničarka|trgovkinja|vodoinstalaterka|žena
	👩🏻‍🔧;mehaničarka: svijetla boja kože;električarka|mehaničarka|svijetla boja kože|trgovkinja|vodoinstalaterka|žena
	👩🏼‍🔧;mehaničarka: umjereno svijetla boja kože;električarka|mehaničarka|trgovkinja|umjereno svijetla boja kože|vodoinstalaterka|žena
	👩🏽‍🔧;mehaničarka: umjerena boja kože;električarka|mehaničarka|trgovkinja|umjerena boja kože|vodoinstalaterka|žena
	👩🏾‍🔧;mehaničarka: umjereno tamna boja kože;električarka|mehaničarka|trgovkinja|umjereno tamna boja kože|vodoinstalaterka|žena
	👩🏿‍🔧;mehaničarka: tamna boja kože;električarka|mehaničarka|tamna boja kože|trgovkinja|vodoinstalaterka|žena
🧑‍🏭;radnik u fabrici;fabrika|industrija|montaža|radnik|radnik u fabrici
	🧑🏻‍🏭;radnik u fabrici: svijetla boja kože;fabrika|industrija|montaža|radnik|radnik u fabrici|svijetla boja kože
	🧑🏼‍🏭;radnik u fabrici: umjereno svijetla boja kože;fabrika|industrija|montaža|radnik|radnik u fabrici|umjereno svijetla boja kože
	🧑🏽‍🏭;radnik u fabrici: umjerena boja kože;fabrika|industrija|montaža|radnik|radnik u fabrici|umjerena boja kože
	🧑🏾‍🏭;radnik u fabrici: umjereno tamna boja kože;fabrika|industrija|montaža|radnik|radnik u fabrici|umjereno tamna boja kože
	🧑🏿‍🏭;radnik u fabrici: tamna boja kože;fabrika|industrija|montaža|radnik|radnik u fabrici|tamna boja kože
👨‍🏭;radnik u fabrici muškarac;fabrika|industrija|montaža|muškarac|radnik|radnik u fabrici|radnik u fabrici muškarac
	👨🏻‍🏭;radnik u fabrici muškarac: svijetla boja kože;fabrika|industrija|montaža|muškarac|radnik|radnik u fabrici|radnik u fabrici muškarac|svijetla boja kože
	👨🏼‍🏭;radnik u fabrici muškarac: umjereno svijetla boja kože;fabrika|industrija|montaža|muškarac|radnik|radnik u fabrici|radnik u fabrici muškarac|umjereno svijetla boja kože
	👨🏽‍🏭;radnik u fabrici muškarac: umjerena boja kože;fabrika|industrija|montaža|muškarac|radnik|radnik u fabrici|radnik u fabrici muškarac|umjerena boja kože
	👨🏾‍🏭;radnik u fabrici muškarac: umjereno tamna boja kože;fabrika|industrija|montaža|muškarac|radnik|radnik u fabrici|radnik u fabrici muškarac|umjereno tamna boja kože
	👨🏿‍🏭;radnik u fabrici muškarac: tamna boja kože;fabrika|industrija|montaža|muškarac|radnik|radnik u fabrici|radnik u fabrici muškarac|tamna boja kože
👩‍🏭;radnica u fabrici;fabrika|industrija|montaža|radnica u fabrici|radnik|žena
	👩🏻‍🏭;radnica u fabrici: svijetla boja kože;fabrika|industrija|montaža|radnica u fabrici|radnik|svijetla boja kože|žena
	👩🏼‍🏭;radnica u fabrici: umjereno svijetla boja kože;fabrika|industrija|montaža|radnica u fabrici|radnik|umjereno svijetla boja kože|žena
	👩🏽‍🏭;radnica u fabrici: umjerena boja kože;fabrika|industrija|montaža|radnica u fabrici|radnik|umjerena boja kože|žena
	👩🏾‍🏭;radnica u fabrici: umjereno tamna boja kože;fabrika|industrija|montaža|radnica u fabrici|radnik|umjereno tamna boja kože|žena
	👩🏿‍🏭;radnica u fabrici: tamna boja kože;fabrika|industrija|montaža|radnica u fabrici|radnik|tamna boja kože|žena
🧑‍💼;radnik u kancelariji;arhitekta|bijela kragna|menadžer|poslovanje|radnik u kancelariji
	🧑🏻‍💼;radnik u kancelariji: svijetla boja kože;arhitekta|bijela kragna|menadžer|poslovanje|radnik u kancelariji|svijetla boja kože
	🧑🏼‍💼;radnik u kancelariji: umjereno svijetla boja kože;arhitekta|bijela kragna|menadžer|poslovanje|radnik u kancelariji|umjereno svijetla boja kože
	🧑🏽‍💼;radnik u kancelariji: umjerena boja kože;arhitekta|bijela kragna|menadžer|poslovanje|radnik u kancelariji|umjerena boja kože
	🧑🏾‍💼;radnik u kancelariji: umjereno tamna boja kože;arhitekta|bijela kragna|menadžer|poslovanje|radnik u kancelariji|umjereno tamna boja kože
	🧑🏿‍💼;radnik u kancelariji: tamna boja kože;arhitekta|bijela kragna|menadžer|poslovanje|radnik u kancelariji|tamna boja kože
👨‍💼;muškarac u kancelariji;bijela kragna|menadžer|muškarac u kancelariji|posao
	👨🏻‍💼;muškarac u kancelariji: svijetla boja kože;bijela kragna|menadžer|muškarac u kancelariji|posao|svijetla boja kože
	👨🏼‍💼;muškarac u kancelariji: umjereno svijetla boja kože;bijela kragna|menadžer|muškarac u kancelariji|posao|umjereno svijetla boja kože
	👨🏽‍💼;muškarac u kancelariji: umjerena boja kože;bijela kragna|menadžer|muškarac u kancelariji|posao|umjerena boja kože
	👨🏾‍💼;muškarac u kancelariji: umjereno tamna boja kože;bijela kragna|menadžer|muškarac u kancelariji|posao|umjereno tamna boja kože
	👨🏿‍💼;muškarac u kancelariji: tamna boja kože;bijela kragna|menadžer|muškarac u kancelariji|posao|tamna boja kože
👩‍💼;žena u kancelariji;arhitekta|bijela kragna|menadžer|posao|žena|žena u kancelariji
	👩🏻‍💼;žena u kancelariji: svijetla boja kože;arhitekta|bijela kragna|menadžer|posao|svijetla boja kože|žena|žena u kancelariji
	👩🏼‍💼;žena u kancelariji: umjereno svijetla boja kože;arhitekta|bijela kragna|menadžer|posao|umjereno svijetla boja kože|žena|žena u kancelariji
	👩🏽‍💼;žena u kancelariji: umjerena boja kože;arhitekta|bijela kragna|menadžer|posao|umjerena boja kože|žena|žena u kancelariji
	👩🏾‍💼;žena u kancelariji: umjereno tamna boja kože;arhitekta|bijela kragna|menadžer|posao|umjereno tamna boja kože|žena|žena u kancelariji
	👩🏿‍💼;žena u kancelariji: tamna boja kože;arhitekta|bijela kragna|menadžer|posao|tamna boja kože|žena|žena u kancelariji
🧑‍🔬;naučnik;biolog|fizičar|hemičar|inžinjer|naučnik
	🧑🏻‍🔬;naučnik: svijetla boja kože;biolog|fizičar|hemičar|inžinjer|naučnik|svijetla boja kože
	🧑🏼‍🔬;naučnik: umjereno svijetla boja kože;biolog|fizičar|hemičar|inžinjer|naučnik|umjereno svijetla boja kože
	🧑🏽‍🔬;naučnik: umjerena boja kože;biolog|fizičar|hemičar|inžinjer|naučnik|umjerena boja kože
	🧑🏾‍🔬;naučnik: umjereno tamna boja kože;biolog|fizičar|hemičar|inžinjer|naučnik|umjereno tamna boja kože
	🧑🏿‍🔬;naučnik: tamna boja kože;biolog|fizičar|hemičar|inžinjer|naučnik|tamna boja kože
👨‍🔬;naučnik muškarac;biolog|fizičar|hemičar|inžinjer|naučnik|naučnik muškarac
	👨🏻‍🔬;naučnik muškarac: svijetla boja kože;biolog|fizičar|hemičar|inžinjer|naučnik|naučnik muškarac|svijetla boja kože
	👨🏼‍🔬;naučnik muškarac: umjereno svijetla boja kože;biolog|fizičar|hemičar|inžinjer|naučnik|naučnik muškarac|umjereno svijetla boja kože
	👨🏽‍🔬;naučnik muškarac: umjerena boja kože;biolog|fizičar|hemičar|inžinjer|naučnik|naučnik muškarac|umjerena boja kože
	👨🏾‍🔬;naučnik muškarac: umjereno tamna boja kože;biolog|fizičar|hemičar|inžinjer|naučnik|naučnik muškarac|umjereno tamna boja kože
	👨🏿‍🔬;naučnik muškarac: tamna boja kože;biolog|fizičar|hemičar|inžinjer|naučnik|naučnik muškarac|tamna boja kože
👩‍🔬;naučnica;biologinja|fizičarka|hemičarka|inžinjerka|naučnica
	👩🏻‍🔬;naučnica: svijetla boja kože;biologinja|fizičarka|hemičarka|inžinjerka|naučnica|svijetla boja kože
	👩🏼‍🔬;naučnica: umjereno svijetla boja kože;biologinja|fizičarka|hemičarka|inžinjerka|naučnica|umjereno svijetla boja kože
	👩🏽‍🔬;naučnica: umjerena boja kože;biologinja|fizičarka|hemičarka|inžinjerka|naučnica|umjerena boja kože
	👩🏾‍🔬;naučnica: umjereno tamna boja kože;biologinja|fizičarka|hemičarka|inžinjerka|naučnica|umjereno tamna boja kože
	👩🏿‍🔬;naučnica: tamna boja kože;biologinja|fizičarka|hemičarka|inžinjerka|naučnica|tamna boja kože
🧑‍💻;tehnolog;inovator|koder|programer|softver|tehnolog|tehnologija
	🧑🏻‍💻;tehnolog: svijetla boja kože;inovator|koder|programer|softver|svijetla boja kože|tehnolog|tehnologija
	🧑🏼‍💻;tehnolog: umjereno svijetla boja kože;inovator|koder|programer|softver|tehnolog|tehnologija|umjereno svijetla boja kože
	🧑🏽‍💻;tehnolog: umjerena boja kože;inovator|koder|programer|softver|tehnolog|tehnologija|umjerena boja kože
	🧑🏾‍💻;tehnolog: umjereno tamna boja kože;inovator|koder|programer|softver|tehnolog|tehnologija|umjereno tamna boja kože
	🧑🏿‍💻;tehnolog: tamna boja kože;inovator|koder|programer|softver|tamna boja kože|tehnolog|tehnologija
👨‍💻;tehnolog muškarac;koder|muškarac|programer|pronalazač|softver|tehnolog
	👨🏻‍💻;tehnolog muškarac: svijetla boja kože;koder|muškarac|programer|pronalazač|softver|svijetla boja kože|tehnolog
	👨🏼‍💻;tehnolog muškarac: umjereno svijetla boja kože;koder|muškarac|programer|pronalazač|softver|tehnolog|umjereno svijetla boja kože
	👨🏽‍💻;tehnolog muškarac: umjerena boja kože;koder|muškarac|programer|pronalazač|softver|tehnolog|umjerena boja kože
	👨🏾‍💻;tehnolog muškarac: umjereno tamna boja kože;koder|muškarac|programer|pronalazač|softver|tehnolog|umjereno tamna boja kože
	👨🏿‍💻;tehnolog muškarac: tamna boja kože;koder|muškarac|programer|pronalazač|softver|tamna boja kože|tehnolog
👩‍💻;žena tehnolog;koderka|programerka|pronalazačica|softver|žena|žena tehnolog
	👩🏻‍💻;žena tehnolog: svijetla boja kože;koderka|programerka|pronalazačica|softver|svijetla boja kože|žena|žena tehnolog
	👩🏼‍💻;žena tehnolog: umjereno svijetla boja kože;koderka|programerka|pronalazačica|softver|umjereno svijetla boja kože|žena|žena tehnolog
	👩🏽‍💻;žena tehnolog: umjerena boja kože;koderka|programerka|pronalazačica|softver|umjerena boja kože|žena|žena tehnolog
	👩🏾‍💻;žena tehnolog: umjereno tamna boja kože;koderka|programerka|pronalazačica|softver|umjereno tamna boja kože|žena|žena tehnolog
	👩🏿‍💻;žena tehnolog: tamna boja kože;koderka|programerka|pronalazačica|softver|tamna boja kože|žena|žena tehnolog
🧑‍🎤;pjevač;glumac|pjevač|rocker|zabavljač|zvijezda
	🧑🏻‍🎤;pjevač: svijetla boja kože;glumac|pjevač|rocker|svijetla boja kože|zabavljač|zvijezda
	🧑🏼‍🎤;pjevač: umjereno svijetla boja kože;glumac|pjevač|rocker|umjereno svijetla boja kože|zabavljač|zvijezda
	🧑🏽‍🎤;pjevač: umjerena boja kože;glumac|pjevač|rocker|umjerena boja kože|zabavljač|zvijezda
	🧑🏾‍🎤;pjevač: umjereno tamna boja kože;glumac|pjevač|rocker|umjereno tamna boja kože|zabavljač|zvijezda
	🧑🏿‍🎤;pjevač: tamna boja kože;glumac|pjevač|rocker|tamna boja kože|zabavljač|zvijezda
👨‍🎤;pjevač muškarac;izvođač|pjevač|pjevač muškarac|roker|zabavljač|zvijezda
	👨🏻‍🎤;pjevač muškarac: svijetla boja kože;izvođač|pjevač|pjevač muškarac|roker|svijetla boja kože|zabavljač|zvijezda
	👨🏼‍🎤;pjevač muškarac: umjereno svijetla boja kože;izvođač|pjevač|pjevač muškarac|roker|umjereno svijetla boja kože|zabavljač|zvijezda
	👨🏽‍🎤;pjevač muškarac: umjerena boja kože;izvođač|pjevač|pjevač muškarac|roker|umjerena boja kože|zabavljač|zvijezda
	👨🏾‍🎤;pjevač muškarac: umjereno tamna boja kože;izvođač|pjevač|pjevač muškarac|roker|umjereno tamna boja kože|zabavljač|zvijezda
