# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;gülən üz;gülən üz|gülmək|üz
	👶🏽;körpə: orta dəri tonu;cavan|körpə|orta dəri tonu|yeni doğulmuş uşaq
	👶🏾;körpə: orta-tünd dəri tonu;cavan|körpə|orta-tünd dəri tonu|yeni doğulmuş uşaq
	👶🏿;körpə: tünd dəri tonu;cavan|körpə|tünd dəri tonu|yeni doğulmuş uşaq
🧒;uşaq;cavan|gender-neytral|gənc|uşaq
	🧒🏻;uşaq: açıq dəri tonu;açıq dəri tonu|cavan|gender-neytral|gənc|uşaq
	🧒🏼;uşaq: orta-açıq dəri tonu;cavan|gender-neytral|gənc|orta-açıq dəri tonu|uşaq
	🧒🏽;uşaq: orta dəri tonu;cavan|gender-neytral|gənc|orta dəri tonu|uşaq
	🧒🏾;uşaq: orta-tünd dəri tonu;cavan|gender-neytral|gənc|orta-tünd dəri tonu|uşaq
	🧒🏿;uşaq: tünd dəri tonu;cavan|gender-neytral|gənc|tünd dəri tonu|uşaq
👦;oğlan;cavan|kişi|oğlan|oğlan uşağı
	👦🏻;oğlan: açıq dəri tonu;açıq dəri tonu|cavan|kişi|oğlan|oğlan uşağı
	👦🏼;oğlan: orta-açıq dəri tonu;cavan|kişi|oğlan|oğlan uşağı|orta-açıq dəri tonu
	👦🏽;oğlan: orta dəri tonu;cavan|kişi|oğlan|oğlan uşağı|orta dəri tonu
	👦🏾;oğlan: orta-tünd dəri tonu;cavan|kişi|oğlan|oğlan uşağı|orta-tünd dəri tonu
	👦🏿;oğlan: tünd dəri tonu;cavan|kişi|oğlan|oğlan uşağı|tünd dəri tonu
👧;qız uşağı;cavan|keçi saç yığımı|qız bürcü|qız uşağı|zodiak
	👧🏻;qız uşağı: açıq dəri tonu;açıq dəri tonu|cavan|keçi saç yığımı|qız bürcü|qız uşağı|zodiak
	👧🏼;qız uşağı: orta-açıq dəri tonu;cavan|keçi saç yığımı|orta-açıq dəri tonu|qız bürcü|qız uşağı|zodiak
	👧🏽;qız uşağı: orta dəri tonu;cavan|keçi saç yığımı|orta dəri tonu|qız bürcü|qız uşağı|zodiak
	👧🏾;qız uşağı: orta-tünd dəri tonu;cavan|keçi saç yığımı|orta-tünd dəri tonu|qız bürcü|qız uşağı|zodiak
	👧🏿;qız uşağı: tünd dəri tonu;cavan|keçi saç yığımı|qız bürcü|qız uşağı|tünd dəri tonu|zodiak
🧑;böyük;böyük|gender-neytral
	🧑🏻;böyük: açıq dəri tonu;açıq dəri tonu|böyük|gender-neytral
	🧑🏼;böyük: orta-açıq dəri tonu;böyük|gender-neytral|orta-açıq dəri tonu
	🧑🏽;böyük: orta dəri tonu;böyük|gender-neytral|orta dəri tonu
	🧑🏾;böyük: orta-tünd dəri tonu;böyük|gender-neytral|orta-tünd dəri tonu
	🧑🏿;böyük: tünd dəri tonu;böyük|gender-neytral|tünd dəri tonu
👱;sarı saçlı adam;adam|sarı saçlı adam|sarısaçlı şəxs|sarışın|sarışın kişi|üz
	👱🏻;sarı saçlı adam: açıq dəri tonu;açıq dəri tonu|adam|sarı saçlı adam|sarısaçlı şəxs|sarışın|sarışın kişi|üz
	👱🏼;sarı saçlı adam: orta-açıq dəri tonu;adam|orta-açıq dəri tonu|sarı saçlı adam|sarısaçlı şəxs|sarışın|sarışın kişi|üz
	👱🏽;sarı saçlı adam: orta dəri tonu;adam|orta dəri tonu|sarı saçlı adam|sarısaçlı şəxs|sarışın|sarışın kişi|üz
	👱🏾;sarı saçlı adam: orta-tünd dəri tonu;adam|orta-tünd dəri tonu|sarı saçlı adam|sarısaçlı şəxs|sarışın|sarışın kişi|üz
	👱🏿;sarı saçlı adam: tünd dəri tonu;adam|sarı saçlı adam|sarısaçlı şəxs|sarışın|sarışın kişi|tünd dəri tonu|üz
👨;kişi;dost|kişi|oğlan
	👨🏻;kişi: açıq dəri tonu;açıq dəri tonu|dost|kişi|oğlan
	👨🏼;kişi: orta-açıq dəri tonu;dost|kişi|oğlan|orta-açıq dəri tonu
	👨🏽;kişi: orta dəri tonu;dost|kişi|oğlan|orta dəri tonu
	👨🏾;kişi: orta-tünd dəri tonu;dost|kişi|oğlan|orta-tünd dəri tonu
	👨🏿;kişi: tünd dəri tonu;dost|kişi|oğlan|tünd dəri tonu
🧔;saqqallı şəxs;saqqal|saqqallı şəxs
	🧔🏻;saqqallı şəxs: açıq dəri tonu;açıq dəri tonu|saqqal|saqqallı şəxs
	🧔🏼;saqqallı şəxs: orta-açıq dəri tonu;orta-açıq dəri tonu|saqqal|saqqallı şəxs
	🧔🏽;saqqallı şəxs: orta dəri tonu;orta dəri tonu|saqqal|saqqallı şəxs
	🧔🏾;saqqallı şəxs: orta-tünd dəri tonu;orta-tünd dəri tonu|saqqal|saqqallı şəxs
	🧔🏿;saqqallı şəxs: tünd dəri tonu;saqqal|saqqallı şəxs|tünd dəri tonu
🧔‍♂️;kişi; saqqal;kişi|kişi; saqqal|kişi: saqqal|saqqal
	🧔🏻‍♂️;kişi; saqqal: açıq dəri tonu;açıq dəri tonu|kişi|kişi: saqqal|saqqal
	🧔🏼‍♂️;kişi; saqqal: orta-açıq dəri tonu;kişi|kişi: saqqal|orta-açıq dəri tonu|saqqal
	🧔🏽‍♂️;kişi; saqqal: orta dəri tonu;kişi|kişi: saqqal|orta dəri tonu|saqqal
	🧔🏾‍♂️;kişi; saqqal: orta-tünd dəri tonu;kişi|kişi: saqqal|orta-tünd dəri tonu|saqqal
	🧔🏿‍♂️;kişi; saqqal: tünd dəri tonu;kişi|kişi: saqqal|saqqal|tünd dəri tonu
🧔‍♀️;qadın: saqqal;kişi|kişi: saqqal|qadın: saqqal|saqqal
	🧔🏻‍♀️;qadın: açıq dəri tonu, saqqal;açıq dəri tonu|kişi|kişi: saqqal|qadın: saqqal|saqqal
	🧔🏼‍♀️;qadın: orta-açıq dəri tonu, saqqal;kişi|kişi: saqqal|orta-açıq dəri tonu|qadın: saqqal|saqqal
	🧔🏽‍♀️;qadın: orta dəri tonu, saqqal;kişi|kişi: saqqal|orta dəri tonu|qadın: saqqal|saqqal
	🧔🏾‍♀️;qadın: orta-tünd dəri tonu, saqqal;kişi|kişi: saqqal|orta-tünd dəri tonu|qadın: saqqal|saqqal
	🧔🏿‍♀️;qadın: tünd dəri tonu, saqqal;kişi|kişi: saqqal|qadın: saqqal|saqqal|tünd dəri tonu
👨‍🦰;kişi: qırmızı saç;dost|kişi|oğlan|qırmızı saç
	👨🏻‍🦰;kişi: açıq dəri tonu, qırmızı saç;açıq dəri tonu|dost|kişi|oğlan|qırmızı saç
	👨🏼‍🦰;kişi: orta-açıq dəri tonu, qırmızı saç;dost|kişi|oğlan|orta-açıq dəri tonu|qırmızı saç
	👨🏽‍🦰;kişi: orta dəri tonu, qırmızı saç;dost|kişi|oğlan|orta dəri tonu|qırmızı saç
	👨🏾‍🦰;kişi: orta-tünd dəri tonu, qırmızı saç;dost|kişi|oğlan|orta-tünd dəri tonu|qırmızı saç
	👨🏿‍🦰;kişi: tünd dəri tonu, qırmızı saç;dost|kişi|oğlan|qırmızı saç|tünd dəri tonu
👨‍🦱;kişi: buruq saç;buruq saç|dost|kişi|oğlan
	👨🏻‍🦱;kişi: açıq dəri tonu, buruq saç;açıq dəri tonu|buruq saç|dost|kişi|oğlan
	👨🏼‍🦱;kişi: orta-açıq dəri tonu, buruq saç;buruq saç|dost|kişi|oğlan|orta-açıq dəri tonu
	👨🏽‍🦱;kişi: orta dəri tonu, buruq saç;buruq saç|dost|kişi|oğlan|orta dəri tonu
	👨🏾‍🦱;kişi: orta-tünd dəri tonu, buruq saç;buruq saç|dost|kişi|oğlan|orta-tünd dəri tonu
	👨🏿‍🦱;kişi: tünd dəri tonu, buruq saç;buruq saç|dost|kişi|oğlan|tünd dəri tonu
👨‍🦳;kişi: ağ saç;ağ saç|dost|kişi|oğlan
	👨🏻‍🦳;kişi: açıq dəri tonu, ağ saç;açıq dəri tonu|ağ saç|dost|kişi|oğlan
	👨🏼‍🦳;kişi: orta-açıq dəri tonu, ağ saç;ağ saç|dost|kişi|oğlan|orta-açıq dəri tonu
	👨🏽‍🦳;kişi: orta dəri tonu, ağ saç;ağ saç|dost|kişi|oğlan|orta dəri tonu
	👨🏾‍🦳;kişi: orta-tünd dəri tonu, ağ saç;ağ saç|dost|kişi|oğlan|orta-tünd dəri tonu
	👨🏿‍🦳;kişi: tünd dəri tonu, ağ saç;ağ saç|dost|kişi|oğlan|tünd dəri tonu
👨‍🦲;kişi: keçəl;dost|keçəl|kişi|oğlan
	👨🏻‍🦲;kişi: açıq dəri tonu, keçəl;açıq dəri tonu|dost|keçəl|kişi|oğlan
	👨🏼‍🦲;kişi: orta-açıq dəri tonu, keçəl;dost|keçəl|kişi|oğlan|orta-açıq dəri tonu
	👨🏽‍🦲;kişi: orta dəri tonu, keçəl;dost|keçəl|kişi|oğlan|orta dəri tonu
	👨🏾‍🦲;kişi: orta-tünd dəri tonu, keçəl;dost|keçəl|kişi|oğlan|orta-tünd dəri tonu
	👨🏿‍🦲;kişi: tünd dəri tonu, keçəl;dost|keçəl|kişi|oğlan|tünd dəri tonu
👩;qadın;qadın|sarışın|xanım
	👩🏻;qadın: açıq dəri tonu;açıq dəri tonu|qadın|sarışın|xanım
	👩🏼;qadın: orta-açıq dəri tonu;orta-açıq dəri tonu|qadın|sarışın|xanım
	👩🏽;qadın: orta dəri tonu;orta dəri tonu|qadın|sarışın|xanım
	👩🏾;qadın: orta-tünd dəri tonu;orta-tünd dəri tonu|qadın|sarışın|xanım
	👩🏿;qadın: tünd dəri tonu;qadın|sarışın|tünd dəri tonu|xanım
👩‍🦰;qadın: qırmızı saç;qadın|qırmızı saç|sarışın|xanım
	👩🏻‍🦰;qadın: açıq dəri tonu, qırmızı saç;açıq dəri tonu|qadın|qırmızı saç|sarışın|xanım
	👩🏼‍🦰;qadın: orta-açıq dəri tonu, qırmızı saç;orta-açıq dəri tonu|qadın|qırmızı saç|sarışın|xanım
	👩🏽‍🦰;qadın: orta dəri tonu, qırmızı saç;orta dəri tonu|qadın|qırmızı saç|sarışın|xanım
	👩🏾‍🦰;qadın: orta-tünd dəri tonu, qırmızı saç;orta-tünd dəri tonu|qadın|qırmızı saç|sarışın|xanım
	👩🏿‍🦰;qadın: tünd dəri tonu, qırmızı saç;qadın|qırmızı saç|sarışın|tünd dəri tonu|xanım
🧑‍🦰;böyük: qırmızı saç;böyük|gender-neytral|qırmızı saç
	🧑🏻‍🦰;böyük: açıq dəri tonu, qırmızı saç;açıq dəri tonu|böyük|gender-neytral|qırmızı saç
	🧑🏼‍🦰;böyük: orta-açıq dəri tonu, qırmızı saç;böyük|gender-neytral|orta-açıq dəri tonu|qırmızı saç
	🧑🏽‍🦰;böyük: orta dəri tonu, qırmızı saç;böyük|gender-neytral|orta dəri tonu|qırmızı saç
	🧑🏾‍🦰;böyük: orta-tünd dəri tonu, qırmızı saç;böyük|gender-neytral|orta-tünd dəri tonu|qırmızı saç
	🧑🏿‍🦰;böyük: tünd dəri tonu, qırmızı saç;böyük|gender-neytral|qırmızı saç|tünd dəri tonu
👩‍🦱;qadın: buruq saç;buruq saç|qadın|sarışın|xanım
	👩🏻‍🦱;qadın: açıq dəri tonu, buruq saç;açıq dəri tonu|buruq saç|qadın|sarışın|xanım
	👩🏼‍🦱;qadın: orta-açıq dəri tonu, buruq saç;buruq saç|orta-açıq dəri tonu|qadın|sarışın|xanım
	👩🏽‍🦱;qadın: orta dəri tonu, buruq saç;buruq saç|orta dəri tonu|qadın|sarışın|xanım
	👩🏾‍🦱;qadın: orta-tünd dəri tonu, buruq saç;buruq saç|orta-tünd dəri tonu|qadın|sarışın|xanım
	👩🏿‍🦱;qadın: tünd dəri tonu, buruq saç;buruq saç|qadın|sarışın|tünd dəri tonu|xanım
🧑‍🦱;böyük: buruq saç;böyük|buruq saç|gender-neytral
	🧑🏻‍🦱;böyük: açıq dəri tonu, buruq saç;açıq dəri tonu|böyük|buruq saç|gender-neytral
	🧑🏼‍🦱;böyük: orta-açıq dəri tonu, buruq saç;böyük|buruq saç|gender-neytral|orta-açıq dəri tonu
	🧑🏽‍🦱;böyük: orta dəri tonu, buruq saç;böyük|buruq saç|gender-neytral|orta dəri tonu
	🧑🏾‍🦱;böyük: orta-tünd dəri tonu, buruq saç;böyük|buruq saç|gender-neytral|orta-tünd dəri tonu
	🧑🏿‍🦱;böyük: tünd dəri tonu, buruq saç;böyük|buruq saç|gender-neytral|tünd dəri tonu
👩‍🦳;qadın: ağ saç;ağ saç|qadın|sarışın|xanım
	👩🏻‍🦳;qadın: açıq dəri tonu, ağ saç;açıq dəri tonu|ağ saç|qadın|sarışın|xanım
	👩🏼‍🦳;qadın: orta-açıq dəri tonu, ağ saç;ağ saç|orta-açıq dəri tonu|qadın|sarışın|xanım
	👩🏽‍🦳;qadın: orta dəri tonu, ağ saç;ağ saç|orta dəri tonu|qadın|sarışın|xanım
	👩🏾‍🦳;qadın: orta-tünd dəri tonu, ağ saç;ağ saç|orta-tünd dəri tonu|qadın|sarışın|xanım
	👩🏿‍🦳;qadın: tünd dəri tonu, ağ saç;ağ saç|qadın|sarışın|tünd dəri tonu|xanım
🧑‍🦳;böyük: ağ saç;ağ saç|böyük|gender-neytral
	🧑🏻‍🦳;böyük: açıq dəri tonu, ağ saç;açıq dəri tonu|ağ saç|böyük|gender-neytral
	🧑🏼‍🦳;böyük: orta-açıq dəri tonu, ağ saç;ağ saç|böyük|gender-neytral|orta-açıq dəri tonu
	🧑🏽‍🦳;böyük: orta dəri tonu, ağ saç;ağ saç|böyük|gender-neytral|orta dəri tonu
	🧑🏾‍🦳;böyük: orta-tünd dəri tonu, ağ saç;ağ saç|böyük|gender-neytral|orta-tünd dəri tonu
	🧑🏿‍🦳;böyük: tünd dəri tonu, ağ saç;ağ saç|böyük|gender-neytral|tünd dəri tonu
👩‍🦲;qadın: keçəl;keçəl|qadın|sarışın|xanım
	👩🏻‍🦲;qadın: açıq dəri tonu, keçəl;açıq dəri tonu|keçəl|qadın|sarışın|xanım
	👩🏼‍🦲;qadın: orta-açıq dəri tonu, keçəl;keçəl|orta-açıq dəri tonu|qadın|sarışın|xanım
	👩🏽‍🦲;qadın: orta dəri tonu, keçəl;keçəl|orta dəri tonu|qadın|sarışın|xanım
	👩🏾‍🦲;qadın: orta-tünd dəri tonu, keçəl;keçəl|orta-tünd dəri tonu|qadın|sarışın|xanım
	👩🏿‍🦲;qadın: tünd dəri tonu, keçəl;keçəl|qadın|sarışın|tünd dəri tonu|xanım
🧑‍🦲;böyük: keçəl;böyük|gender-neytral|keçəl
	🧑🏻‍🦲;böyük: açıq dəri tonu, keçəl;açıq dəri tonu|böyük|gender-neytral|keçəl
	🧑🏼‍🦲;böyük: orta-açıq dəri tonu, keçəl;böyük|gender-neytral|keçəl|orta-açıq dəri tonu
	🧑🏽‍🦲;böyük: orta dəri tonu, keçəl;böyük|gender-neytral|keçəl|orta dəri tonu
	🧑🏾‍🦲;böyük: orta-tünd dəri tonu, keçəl;böyük|gender-neytral|keçəl|orta-tünd dəri tonu
	🧑🏿‍🦲;böyük: tünd dəri tonu, keçəl;böyük|gender-neytral|keçəl|tünd dəri tonu
👱‍♀️;sarışın qadın;qadın|sarışın
	👱🏻‍♀️;sarışın qadın: açıq dəri tonu;açıq dəri tonu|qadın|sarışın
	👱🏼‍♀️;sarışın qadın: orta-açıq dəri tonu;orta-açıq dəri tonu|qadın|sarışın
	👱🏽‍♀️;sarışın qadın: orta dəri tonu;orta dəri tonu|qadın|sarışın
	👱🏾‍♀️;sarışın qadın: orta-tünd dəri tonu;orta-tünd dəri tonu|qadın|sarışın
	👱🏿‍♀️;sarışın qadın: tünd dəri tonu;qadın|sarışın|tünd dəri tonu
👱‍♂️;sarışın kişi;kişi|sarışın
	👱🏻‍♂️;sarışın kişi: açıq dəri tonu;açıq dəri tonu|kişi|sarışın
	👱🏼‍♂️;sarışın kişi: orta-açıq dəri tonu;kişi|orta-açıq dəri tonu|sarışın
	👱🏽‍♂️;sarışın kişi: orta dəri tonu;kişi|orta dəri tonu|sarışın
	👱🏾‍♂️;sarışın kişi: orta-tünd dəri tonu;kişi|orta-tünd dəri tonu|sarışın
	👱🏿‍♂️;sarışın kişi: tünd dəri tonu;kişi|sarışın|tünd dəri tonu
🧓;yaşlı böyük;ağsaqqal|gender-neytral|qoca|yaşlı|yaşlı böyük
	🧓🏻;yaşlı böyük: açıq dəri tonu;açıq dəri tonu|ağsaqqal|gender-neytral|qoca|yaşlı|yaşlı böyük
	🧓🏼;yaşlı böyük: orta-açıq dəri tonu;ağsaqqal|gender-neytral|orta-açıq dəri tonu|qoca|yaşlı|yaşlı böyük
	🧓🏽;yaşlı böyük: orta dəri tonu;ağsaqqal|gender-neytral|orta dəri tonu|qoca|yaşlı|yaşlı böyük
	🧓🏾;yaşlı böyük: orta-tünd dəri tonu;ağsaqqal|gender-neytral|orta-tünd dəri tonu|qoca|yaşlı|yaşlı böyük
	🧓🏿;yaşlı böyük: tünd dəri tonu;ağsaqqal|gender-neytral|qoca|tünd dəri tonu|yaşlı|yaşlı böyük
👴;yaşlı kişi;baba|kişi|qoca|yaşlı
	👴🏻;yaşlı kişi: açıq dəri tonu;açıq dəri tonu|baba|kişi|qoca|yaşlı
	👴🏼;yaşlı kişi: orta-açıq dəri tonu;baba|kişi|orta-açıq dəri tonu|qoca|yaşlı
	👴🏽;yaşlı kişi: orta dəri tonu;baba|kişi|orta dəri tonu|qoca|yaşlı
	👴🏾;yaşlı kişi: orta-tünd dəri tonu;baba|kişi|orta-tünd dəri tonu|qoca|yaşlı
	👴🏿;yaşlı kişi: tünd dəri tonu;baba|kişi|qoca|tünd dəri tonu|yaşlı
👵;yaşlı qadın;nənə|qadın|sarışın|yaşlı
	👵🏻;yaşlı qadın: açıq dəri tonu;açıq dəri tonu|nənə|qadın|sarışın|yaşlı
	👵🏼;yaşlı qadın: orta-açıq dəri tonu;nənə|orta-açıq dəri tonu|qadın|sarışın|yaşlı
	👵🏽;yaşlı qadın: orta dəri tonu;nənə|orta dəri tonu|qadın|sarışın|yaşlı
	👵🏾;yaşlı qadın: orta-tünd dəri tonu;nənə|orta-tünd dəri tonu|qadın|sarışın|yaşlı
	👵🏿;yaşlı qadın: tünd dəri tonu;nənə|qadın|sarışın|tünd dəri tonu|yaşlı
🙍;qaşqabaqlı adam;hirsli|jest|məyus etmək|narahat|qaraqabaq|qaşlarını çatan qadın|qaşqabaqlı|qaşqabaqlı adam|qəmgin|qəzəbli|usanmış|xoşbəxt olmayan qadın
	🙍🏻;qaşqabaqlı adam: açıq dəri tonu;açıq dəri tonu|hirsli|jest|məyus etmək|narahat|qaraqabaq|qaşlarını çatan qadın|qaşqabaqlı|qaşqabaqlı adam|qəmgin|qəzəbli|usanmış|xoşbəxt olmayan qadın
	🙍🏼;qaşqabaqlı adam: orta-açıq dəri tonu;hirsli|jest|məyus etmək|narahat|orta-açıq dəri tonu|qaraqabaq|qaşlarını çatan qadın|qaşqabaqlı|qaşqabaqlı adam|qəmgin|qəzəbli|usanmış|xoşbəxt olmayan qadın
	🙍🏽;qaşqabaqlı adam: orta dəri tonu;hirsli|jest|məyus etmək|narahat|orta dəri tonu|qaraqabaq|qaşlarını çatan qadın|qaşqabaqlı|qaşqabaqlı adam|qəmgin|qəzəbli|usanmış|xoşbəxt olmayan qadın
	🙍🏾;qaşqabaqlı adam: orta-tünd dəri tonu;hirsli|jest|məyus etmək|narahat|orta-tünd dəri tonu|qaraqabaq|qaşlarını çatan qadın|qaşqabaqlı|qaşqabaqlı adam|qəmgin|qəzəbli|usanmış|xoşbəxt olmayan qadın
	🙍🏿;qaşqabaqlı adam: tünd dəri tonu;hirsli|jest|məyus etmək|narahat|qaraqabaq|qaşlarını çatan qadın|qaşqabaqlı|qaşqabaqlı adam|qəmgin|qəzəbli|tünd dəri tonu|usanmış|xoşbəxt olmayan qadın
🙍‍♂️;kefsiz kişi;jest|kefsiz kişi|kişi|qanıqara kişi|qaşqabaqlı
	🙍🏻‍♂️;kefsiz kişi: açıq dəri tonu;açıq dəri tonu|jest|kefsiz kişi|kişi|qanıqara kişi|qaşqabaqlı
	🙍🏼‍♂️;kefsiz kişi: orta-açıq dəri tonu;jest|kefsiz kişi|kişi|orta-açıq dəri tonu|qanıqara kişi|qaşqabaqlı
	🙍🏽‍♂️;kefsiz kişi: orta dəri tonu;jest|kefsiz kişi|kişi|orta dəri tonu|qanıqara kişi|qaşqabaqlı
	🙍🏾‍♂️;kefsiz kişi: orta-tünd dəri tonu;jest|kefsiz kişi|kişi|orta-tünd dəri tonu|qanıqara kişi|qaşqabaqlı
	🙍🏿‍♂️;kefsiz kişi: tünd dəri tonu;jest|kefsiz kişi|kişi|qanıqara kişi|qaşqabaqlı|tünd dəri tonu
🙍‍♀️;kefsiz qadın;jest|kefsiz qadın|qadın|qaşbaqlı
	🙍🏻‍♀️;kefsiz qadın: açıq dəri tonu;açıq dəri tonu|jest|kefsiz qadın|qadın|qaşbaqlı
	🙍🏼‍♀️;kefsiz qadın: orta-açıq dəri tonu;jest|kefsiz qadın|orta-açıq dəri tonu|qadın|qaşbaqlı
	🙍🏽‍♀️;kefsiz qadın: orta dəri tonu;jest|kefsiz qadın|orta dəri tonu|qadın|qaşbaqlı
	🙍🏾‍♀️;kefsiz qadın: orta-tünd dəri tonu;jest|kefsiz qadın|orta-tünd dəri tonu|qadın|qaşbaqlı
	🙍🏿‍♀️;kefsiz qadın: tünd dəri tonu;jest|kefsiz qadın|qadın|qaşbaqlı|tünd dəri tonu
🙎;acıq edən adam;acığı tutmaq|acıq edən adam|acıq etmək|acıqlı qız|ağlayıb-sızlamaq|jest|küsmüş qız|məyus|məyus etmək|məzlum|qaşlarını çatmaq|qaşqabağını tökmək|üz-gözünü turşutmaq
	🙎🏻;acıq edən adam: açıq dəri tonu;acığı tutmaq|açıq dəri tonu|acıq edən adam|acıq etmək|acıqlı qız|ağlayıb-sızlamaq|jest|küsmüş qız|məyus|məyus etmək|məzlum|qaşlarını çatmaq|qaşqabağını tökmək|üz-gözünü turşutmaq
	🙎🏼;acıq edən adam: orta-açıq dəri tonu;acığı tutmaq|acıq edən adam|acıq etmək|acıqlı qız|ağlayıb-sızlamaq|jest|küsmüş qız|məyus|məyus etmək|məzlum|orta-açıq dəri tonu|qaşlarını çatmaq|qaşqabağını tökmək|üz-gözünü turşutmaq
	🙎🏽;acıq edən adam: orta dəri tonu;acığı tutmaq|acıq edən adam|acıq etmək|acıqlı qız|ağlayıb-sızlamaq|jest|küsmüş qız|məyus|məyus etmək|məzlum|orta dəri tonu|qaşlarını çatmaq|qaşqabağını tökmək|üz-gözünü turşutmaq
	🙎🏾;acıq edən adam: orta-tünd dəri tonu;acığı tutmaq|acıq edən adam|acıq etmək|acıqlı qız|ağlayıb-sızlamaq|jest|küsmüş qız|məyus|məyus etmək|məzlum|orta-tünd dəri tonu|qaşlarını çatmaq|qaşqabağını tökmək|üz-gözünü turşutmaq
	🙎🏿;acıq edən adam: tünd dəri tonu;acığı tutmaq|acıq edən adam|acıq etmək|acıqlı qız|ağlayıb-sızlamaq|jest|küsmüş qız|məyus|məyus etmək|məzlum|qaşlarını çatmaq|qaşqabağını tökmək|tünd dəri tonu|üz-gözünü turşutmaq
🙎‍♂️;acıqlı kişi;acıqlı|jest|kişi|narazı kişi|qaşqabaqlı adam
	🙎🏻‍♂️;acıqlı kişi: açıq dəri tonu;açıq dəri tonu|acıqlı|jest|kişi|narazı kişi|qaşqabaqlı adam
	🙎🏼‍♂️;acıqlı kişi: orta-açıq dəri tonu;acıqlı|jest|kişi|narazı kişi|orta-açıq dəri tonu|qaşqabaqlı adam
	🙎🏽‍♂️;acıqlı kişi: orta dəri tonu;acıqlı|jest|kişi|narazı kişi|orta dəri tonu|qaşqabaqlı adam
	🙎🏾‍♂️;acıqlı kişi: orta-tünd dəri tonu;acıqlı|jest|kişi|narazı kişi|orta-tünd dəri tonu|qaşqabaqlı adam
	🙎🏿‍♂️;acıqlı kişi: tünd dəri tonu;acıqlı|jest|kişi|narazı kişi|qaşqabaqlı adam|tünd dəri tonu
🙎‍♀️;acıqlı qadın;acıqlı|jest|qadın
	🙎🏻‍♀️;acıqlı qadın: açıq dəri tonu;açıq dəri tonu|acıqlı|jest|qadın
	🙎🏼‍♀️;acıqlı qadın: orta-açıq dəri tonu;acıqlı|jest|orta-açıq dəri tonu|qadın
	🙎🏽‍♀️;acıqlı qadın: orta dəri tonu;acıqlı|jest|orta dəri tonu|qadın
	🙎🏾‍♀️;acıqlı qadın: orta-tünd dəri tonu;acıqlı|jest|orta-tünd dəri tonu|qadın
	🙎🏿‍♀️;acıqlı qadın: tünd dəri tonu;acıqlı|jest|qadın|tünd dəri tonu
🙅;yox jesti;&quot;olmaz&quot; işarəsi|&quot;qadağandır&quot; deyən qadın|&quot;qadağandır&quot; işarəsi|əl|əsla|istisna etmək|jest|qadağa|qadağan etmək|qadağan olunmuş|xeyr|yox|yox jesti
	🙅🏻;yox jesti: açıq dəri tonu;&quot;olmaz&quot; işarəsi|&quot;qadağandır&quot; deyən qadın|&quot;qadağandır&quot; işarəsi|açıq dəri tonu|əl|əsla|istisna etmək|jest|qadağa|qadağan etmək|qadağan olunmuş|xeyr|yox|yox jesti
	🙅🏼;yox jesti: orta-açıq dəri tonu;&quot;olmaz&quot; işarəsi|&quot;qadağandır&quot; deyən qadın|&quot;qadağandır&quot; işarəsi|əl|əsla|istisna etmək|jest|orta-açıq dəri tonu|qadağa|qadağan etmək|qadağan olunmuş|xeyr|yox|yox jesti
	🙅🏽;yox jesti: orta dəri tonu;&quot;olmaz&quot; işarəsi|&quot;qadağandır&quot; deyən qadın|&quot;qadağandır&quot; işarəsi|əl|əsla|istisna etmək|jest|orta dəri tonu|qadağa|qadağan etmək|qadağan olunmuş|xeyr|yox|yox jesti
	🙅🏾;yox jesti: orta-tünd dəri tonu;&quot;olmaz&quot; işarəsi|&quot;qadağandır&quot; deyən qadın|&quot;qadağandır&quot; işarəsi|əl|əsla|istisna etmək|jest|orta-tünd dəri tonu|qadağa|qadağan etmək|qadağan olunmuş|xeyr|yox|yox jesti
	🙅🏿;yox jesti: tünd dəri tonu;&quot;olmaz&quot; işarəsi|&quot;qadağandır&quot; deyən qadın|&quot;qadağandır&quot; işarəsi|əl|əsla|istisna etmək|jest|qadağa|qadağan etmək|qadağan olunmuş|tünd dəri tonu|xeyr|yox|yox jesti
🙅‍♂️;əleyhinə olan kişi;əl|əleyhinə|əleyhinə olan kişi|jest|kişi|qadağandır|yox
	🙅🏻‍♂️;əleyhinə olan kişi: açıq dəri tonu;açıq dəri tonu|əl|əleyhinə|əleyhinə olan kişi|jest|kişi|qadağandır|yox
	🙅🏼‍♂️;əleyhinə olan kişi: orta-açıq dəri tonu;əl|əleyhinə|əleyhinə olan kişi|jest|kişi|orta-açıq dəri tonu|qadağandır|yox
	🙅🏽‍♂️;əleyhinə olan kişi: orta dəri tonu;əl|əleyhinə|əleyhinə olan kişi|jest|kişi|orta dəri tonu|qadağandır|yox
	🙅🏾‍♂️;əleyhinə olan kişi: orta-tünd dəri tonu;əl|əleyhinə|əleyhinə olan kişi|jest|kişi|orta-tünd dəri tonu|qadağandır|yox
	🙅🏿‍♂️;əleyhinə olan kişi: tünd dəri tonu;əl|əleyhinə|əleyhinə olan kişi|jest|kişi|qadağandır|tünd dəri tonu|yox
🙅‍♀️;əleyhinə olan qadın;əl|əleyhinə|əleyhinə olan qadın|jest|qadağandır|qadın
