# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;にっこり笑う;スマイル|にっこり|にっこり笑う|笑う|笑顔|顔
	🦶🏼;足: やや薄い肌色;キック|ダンス|やや薄い肌色|足|足: やや薄い肌色|踏みつける
	🦶🏽;足: 中間の肌色;キック|ダンス|中間の肌色|足|足: 中間の肌色|踏みつける
	🦶🏾;足: やや濃い肌色;キック|ダンス|やや濃い肌色|足|足: やや濃い肌色|踏みつける
	🦶🏿;足: 濃い肌色;キック|ダンス|濃い肌色|足|足: 濃い肌色|踏みつける
👂;耳;からだ|耳
	👂🏻;耳: 薄い肌色;からだ|耳|耳: 薄い肌色|薄い肌色
	👂🏼;耳: やや薄い肌色;からだ|やや薄い肌色|耳|耳: やや薄い肌色
	👂🏽;耳: 中間の肌色;からだ|中間の肌色|耳|耳: 中間の肌色
	👂🏾;耳: やや濃い肌色;からだ|やや濃い肌色|耳|耳: やや濃い肌色
	👂🏿;耳: 濃い肌色;からだ|濃い肌色|耳|耳: 濃い肌色
🦻;補聴器を付けた耳;アクセシビリティ|耳|聴覚|補聴器を付けた耳
	🦻🏻;補聴器を付けた耳: 薄い肌色;アクセシビリティ|耳|聴覚|薄い肌色|補聴器を付けた耳|補聴器を付けた耳: 薄い肌色
	🦻🏼;補聴器を付けた耳: やや薄い肌色;アクセシビリティ|やや薄い肌色|耳|聴覚|補聴器を付けた耳|補聴器を付けた耳: やや薄い肌色
	🦻🏽;補聴器を付けた耳: 中間の肌色;アクセシビリティ|中間の肌色|耳|聴覚|補聴器を付けた耳|補聴器を付けた耳: 中間の肌色
	🦻🏾;補聴器を付けた耳: やや濃い肌色;アクセシビリティ|やや濃い肌色|耳|聴覚|補聴器を付けた耳|補聴器を付けた耳: やや濃い肌色
	🦻🏿;補聴器を付けた耳: 濃い肌色;アクセシビリティ|濃い肌色|耳|聴覚|補聴器を付けた耳|補聴器を付けた耳: 濃い肌色
👃;鼻;からだ|鼻
	👃🏻;鼻: 薄い肌色;からだ|薄い肌色|鼻|鼻: 薄い肌色
	👃🏼;鼻: やや薄い肌色;からだ|やや薄い肌色|鼻|鼻: やや薄い肌色
	👃🏽;鼻: 中間の肌色;からだ|中間の肌色|鼻|鼻: 中間の肌色
	👃🏾;鼻: やや濃い肌色;からだ|やや濃い肌色|鼻|鼻: やや濃い肌色
	👃🏿;鼻: 濃い肌色;からだ|濃い肌色|鼻|鼻: 濃い肌色
🧠;脳;知識|脳|脳みそ|頭
🫀;心臓;心拍|心臓|脈|臓器|鼓動
🫁;肺;呼吸|肺|臓器
🦷;歯;歯|歯医者
🦴;骨;骨|骨格
👀;目;からだ|両目|目
👁️;片目;一つ目|片目|目
👅;舌;べー|べろ|舌
👄;口;キス|口|唇
🫦;唇を咬んでいる口;口|口惜しさ|唇を咬んでいる口|誘惑
👶;赤ん坊;ベビー|赤ちゃん|赤ん坊|顔
	👶🏻;赤ん坊: 薄い肌色;ベビー|薄い肌色|赤ちゃん|赤ん坊|赤ん坊: 薄い肌色|顔
	👶🏼;赤ん坊: やや薄い肌色;ベビー|やや薄い肌色|赤ちゃん|赤ん坊|赤ん坊: やや薄い肌色|顔
	👶🏽;赤ん坊: 中間の肌色;ベビー|中間の肌色|赤ちゃん|赤ん坊|赤ん坊: 中間の肌色|顔
	👶🏾;赤ん坊: やや濃い肌色;ベビー|やや濃い肌色|赤ちゃん|赤ん坊|赤ん坊: やや濃い肌色|顔
	👶🏿;赤ん坊: 濃い肌色;ベビー|濃い肌色|赤ちゃん|赤ん坊|赤ん坊: 濃い肌色|顔
🧒;子供;子供|顔
	🧒🏻;子供: 薄い肌色;子供|子供: 薄い肌色|薄い肌色|顔
	🧒🏼;子供: やや薄い肌色;やや薄い肌色|子供|子供: やや薄い肌色|顔
	🧒🏽;子供: 中間の肌色;中間の肌色|子供|子供: 中間の肌色|顔
	🧒🏾;子供: やや濃い肌色;やや濃い肌色|子供|子供: やや濃い肌色|顔
	🧒🏿;子供: 濃い肌色;子供|子供: 濃い肌色|濃い肌色|顔
👦;男の子;子供|少年|男の子|顔
	👦🏻;男の子: 薄い肌色;子供|少年|男の子|男の子: 薄い肌色|薄い肌色|顔
	👦🏼;男の子: やや薄い肌色;やや薄い肌色|子供|少年|男の子|男の子: やや薄い肌色|顔
	👦🏽;男の子: 中間の肌色;中間の肌色|子供|少年|男の子|男の子: 中間の肌色|顔
	👦🏾;男の子: やや濃い肌色;やや濃い肌色|子供|少年|男の子|男の子: やや濃い肌色|顔
	👦🏿;男の子: 濃い肌色;子供|少年|濃い肌色|男の子|男の子: 濃い肌色|顔
👧;女の子;女|女の子|子供|少女|顔
	👧🏻;女の子: 薄い肌色;女|女の子|女の子: 薄い肌色|子供|少女|薄い肌色|顔
	👧🏼;女の子: やや薄い肌色;やや薄い肌色|女|女の子|女の子: やや薄い肌色|子供|少女|顔
	👧🏽;女の子: 中間の肌色;中間の肌色|女|女の子|女の子: 中間の肌色|子供|少女|顔
	👧🏾;女の子: やや濃い肌色;やや濃い肌色|女|女の子|女の子: やや濃い肌色|子供|少女|顔
	👧🏿;女の子: 濃い肌色;女|女の子|女の子: 濃い肌色|子供|少女|濃い肌色|顔
🧑;大人;大人|成人|顔
	🧑🏻;大人: 薄い肌色;大人|大人: 薄い肌色|成人|薄い肌色|顔
	🧑🏼;大人: やや薄い肌色;やや薄い肌色|大人|大人: やや薄い肌色|成人|顔
	🧑🏽;大人: 中間の肌色;中間の肌色|大人|大人: 中間の肌色|成人|顔
	🧑🏾;大人: やや濃い肌色;やや濃い肌色|大人|大人: やや濃い肌色|成人|顔
	🧑🏿;大人: 濃い肌色;大人|大人: 濃い肌色|成人|濃い肌色|顔
👱;金髪の人;ブロンド|人|金髪|金髪の人|顔
	👱🏻;金髪の人: 薄い肌色;ブロンド|人|薄い肌色|金髪|金髪の人|金髪の人: 薄い肌色|顔
	👱🏼;金髪の人: やや薄い肌色;ブロンド|やや薄い肌色|人|金髪|金髪の人|金髪の人: やや薄い肌色|顔
	👱🏽;金髪の人: 中間の肌色;ブロンド|中間の肌色|人|金髪|金髪の人|金髪の人: 中間の肌色|顔
	👱🏾;金髪の人: やや濃い肌色;ブロンド|やや濃い肌色|人|金髪|金髪の人|金髪の人: やや濃い肌色|顔
	👱🏿;金髪の人: 濃い肌色;ブロンド|人|濃い肌色|金髪|金髪の人|金髪の人: 濃い肌色|顔
👨;男性;大人|男|男性|顔
	👨🏻;男性: 薄い肌色;大人|男|男性|男性: 薄い肌色|薄い肌色|顔
	👨🏼;男性: やや薄い肌色;やや薄い肌色|大人|男|男性|男性: やや薄い肌色|顔
	👨🏽;男性: 中間の肌色;中間の肌色|大人|男|男性|男性: 中間の肌色|顔
	👨🏾;男性: やや濃い肌色;やや濃い肌色|大人|男|男性|男性: やや濃い肌色|顔
	👨🏿;男性: 濃い肌色;大人|濃い肌色|男|男性|男性: 濃い肌色|顔
🧔;あごひげの人;あごひげ|あごひげの人|ひげ|人|顔
	🧔🏻;あごひげの人: 薄い肌色;あごひげ|あごひげの人|あごひげの人: 薄い肌色|ひげ|人|薄い肌色|顔
	🧔🏼;あごひげの人: やや薄い肌色;あごひげ|あごひげの人|あごひげの人: やや薄い肌色|ひげ|やや薄い肌色|人|顔
	🧔🏽;あごひげの人: 中間の肌色;あごひげ|あごひげの人|あごひげの人: 中間の肌色|ひげ|中間の肌色|人|顔
	🧔🏾;あごひげの人: やや濃い肌色;あごひげ|あごひげの人|あごひげの人: やや濃い肌色|ひげ|やや濃い肌色|人|顔
	🧔🏿;あごひげの人: 濃い肌色;あごひげ|あごひげの人|あごひげの人: 濃い肌色|ひげ|人|濃い肌色|顔
🧔‍♂️;あごひげの男性;あごひげ|あごひげの男性|ひげ|男|顔
	🧔🏻‍♂️;あごひげの男性: 薄い肌色;あごひげ|あごひげの男性|あごひげの男性: 薄い肌色|ひげ|男|薄い肌色|顔
	🧔🏼‍♂️;あごひげの男性: やや薄い肌色;あごひげ|あごひげの男性|あごひげの男性: やや薄い肌色|ひげ|やや薄い肌色|男|顔
	🧔🏽‍♂️;あごひげの男性: 中間の肌色;あごひげ|あごひげの男性|あごひげの男性: 中間の肌色|ひげ|中間の肌色|男|顔
	🧔🏾‍♂️;あごひげの男性: やや濃い肌色;あごひげ|あごひげの男性|あごひげの男性: やや濃い肌色|ひげ|やや濃い肌色|男|顔
	🧔🏿‍♂️;あごひげの男性: 濃い肌色;あごひげ|あごひげの男性|あごひげの男性: 濃い肌色|ひげ|濃い肌色|男|顔
🧔‍♀️;あごひげの女性;あごひげ|あごひげの女性|ひげ|女|顔
	🧔🏻‍♀️;あごひげの女性: 薄い肌色;あごひげ|あごひげの女性|あごひげの女性: 薄い肌色|ひげ|女|薄い肌色|顔
	🧔🏼‍♀️;あごひげの女性: やや薄い肌色;あごひげ|あごひげの女性|あごひげの女性: やや薄い肌色|ひげ|やや薄い肌色|女|顔
	🧔🏽‍♀️;あごひげの女性: 中間の肌色;あごひげ|あごひげの女性|あごひげの女性: 中間の肌色|ひげ|中間の肌色|女|顔
	🧔🏾‍♀️;あごひげの女性: やや濃い肌色;あごひげ|あごひげの女性|あごひげの女性: やや濃い肌色|ひげ|やや濃い肌色|女|顔
	🧔🏿‍♀️;あごひげの女性: 濃い肌色;あごひげ|あごひげの女性|あごひげの女性: 濃い肌色|ひげ|女|濃い肌色|顔
👨‍🦰;男性: 赤毛;大人|男|男性|男性: 赤毛|赤毛|顔
	👨🏻‍🦰;男性: 薄い肌色 赤毛;大人|男|男性|男性: 薄い肌色 赤毛|薄い肌色|赤毛|顔
	👨🏼‍🦰;男性: やや薄い肌色 赤毛;やや薄い肌色|大人|男|男性|男性: やや薄い肌色 赤毛|赤毛|顔
	👨🏽‍🦰;男性: 中間の肌色 赤毛;中間の肌色|大人|男|男性|男性: 中間の肌色 赤毛|赤毛|顔
	👨🏾‍🦰;男性: やや濃い肌色 赤毛;やや濃い肌色|大人|男|男性|男性: やや濃い肌色 赤毛|赤毛|顔
	👨🏿‍🦰;男性: 濃い肌色 赤毛;大人|濃い肌色|男|男性|男性: 濃い肌色 赤毛|赤毛|顔
👨‍🦱;男性: 巻き毛;大人|巻き毛|男|男性|男性: 巻き毛|顔
	👨🏻‍🦱;男性: 薄い肌色 巻き毛;大人|巻き毛|男|男性|男性: 薄い肌色 巻き毛|薄い肌色|顔
	👨🏼‍🦱;男性: やや薄い肌色 巻き毛;やや薄い肌色|大人|巻き毛|男|男性|男性: やや薄い肌色 巻き毛|顔
	👨🏽‍🦱;男性: 中間の肌色 巻き毛;中間の肌色|大人|巻き毛|男|男性|男性: 中間の肌色 巻き毛|顔
	👨🏾‍🦱;男性: やや濃い肌色 巻き毛;やや濃い肌色|大人|巻き毛|男|男性|男性: やや濃い肌色 巻き毛|顔
	👨🏿‍🦱;男性: 濃い肌色 巻き毛;大人|巻き毛|濃い肌色|男|男性|男性: 濃い肌色 巻き毛|顔
👨‍🦳;男性: 白髪;大人|男|男性|男性: 白髪|白髪|顔
	👨🏻‍🦳;男性: 薄い肌色 白髪;大人|男|男性|男性: 薄い肌色 白髪|白髪|薄い肌色|顔
	👨🏼‍🦳;男性: やや薄い肌色 白髪;やや薄い肌色|大人|男|男性|男性: やや薄い肌色 白髪|白髪|顔
	👨🏽‍🦳;男性: 中間の肌色 白髪;中間の肌色|大人|男|男性|男性: 中間の肌色 白髪|白髪|顔
	👨🏾‍🦳;男性: やや濃い肌色 白髪;やや濃い肌色|大人|男|男性|男性: やや濃い肌色 白髪|白髪|顔
	👨🏿‍🦳;男性: 濃い肌色 白髪;大人|濃い肌色|男|男性|男性: 濃い肌色 白髪|白髪|顔
👨‍🦲;男性: はげ頭;はげ頭|大人|男|男性|男性: はげ頭|顔
	👨🏻‍🦲;男性: 薄い肌色 はげ頭;はげ頭|大人|男|男性|男性: 薄い肌色 はげ頭|薄い肌色|顔
	👨🏼‍🦲;男性: やや薄い肌色 はげ頭;はげ頭|やや薄い肌色|大人|男|男性|男性: やや薄い肌色 はげ頭|顔
	👨🏽‍🦲;男性: 中間の肌色 はげ頭;はげ頭|中間の肌色|大人|男|男性|男性: 中間の肌色 はげ頭|顔
	👨🏾‍🦲;男性: やや濃い肌色 はげ頭;はげ頭|やや濃い肌色|大人|男|男性|男性: やや濃い肌色 はげ頭|顔
	👨🏿‍🦲;男性: 濃い肌色 はげ頭;はげ頭|大人|濃い肌色|男|男性|男性: 濃い肌色 はげ頭|顔
👩;女性;大人|女|女性|顔
	👩🏻;女性: 薄い肌色;大人|女|女性|女性: 薄い肌色|薄い肌色|顔
	👩🏼;女性: やや薄い肌色;やや薄い肌色|大人|女|女性|女性: やや薄い肌色|顔
	👩🏽;女性: 中間の肌色;中間の肌色|大人|女|女性|女性: 中間の肌色|顔
	👩🏾;女性: やや濃い肌色;やや濃い肌色|大人|女|女性|女性: やや濃い肌色|顔
	👩🏿;女性: 濃い肌色;大人|女|女性|女性: 濃い肌色|濃い肌色|顔
👩‍🦰;女性: 赤毛;大人|女|女性|女性: 赤毛|赤毛|顔
	👩🏻‍🦰;女性: 薄い肌色 赤毛;大人|女|女性|女性: 薄い肌色 赤毛|薄い肌色|赤毛|顔
	👩🏼‍🦰;女性: やや薄い肌色 赤毛;やや薄い肌色|大人|女|女性|女性: やや薄い肌色 赤毛|赤毛|顔
	👩🏽‍🦰;女性: 中間の肌色 赤毛;中間の肌色|大人|女|女性|女性: 中間の肌色 赤毛|赤毛|顔
	👩🏾‍🦰;女性: やや濃い肌色 赤毛;やや濃い肌色|大人|女|女性|女性: やや濃い肌色 赤毛|赤毛|顔
	👩🏿‍🦰;女性: 濃い肌色 赤毛;大人|女|女性|女性: 濃い肌色 赤毛|濃い肌色|赤毛|顔
🧑‍🦰;大人: 赤毛;大人|大人: 赤毛|成人|赤毛|顔
	🧑🏻‍🦰;大人: 薄い肌色 赤毛;大人|大人: 薄い肌色 赤毛|成人|薄い肌色|赤毛|顔
	🧑🏼‍🦰;大人: やや薄い肌色 赤毛;やや薄い肌色|大人|大人: やや薄い肌色 赤毛|成人|赤毛|顔
	🧑🏽‍🦰;大人: 中間の肌色 赤毛;中間の肌色|大人|大人: 中間の肌色 赤毛|成人|赤毛|顔
	🧑🏾‍🦰;大人: やや濃い肌色 赤毛;やや濃い肌色|大人|大人: やや濃い肌色 赤毛|成人|赤毛|顔
	🧑🏿‍🦰;大人: 濃い肌色 赤毛;大人|大人: 濃い肌色 赤毛|成人|濃い肌色|赤毛|顔
👩‍🦱;女性: 巻き毛;大人|女|女性|女性: 巻き毛|巻き毛|顔
	👩🏻‍🦱;女性: 薄い肌色 巻き毛;大人|女|女性|女性: 薄い肌色 巻き毛|巻き毛|薄い肌色|顔
	👩🏼‍🦱;女性: やや薄い肌色 巻き毛;やや薄い肌色|大人|女|女性|女性: やや薄い肌色 巻き毛|巻き毛|顔
	👩🏽‍🦱;女性: 中間の肌色 巻き毛;中間の肌色|大人|女|女性|女性: 中間の肌色 巻き毛|巻き毛|顔
	👩🏾‍🦱;女性: やや濃い肌色 巻き毛;やや濃い肌色|大人|女|女性|女性: やや濃い肌色 巻き毛|巻き毛|顔
	👩🏿‍🦱;女性: 濃い肌色 巻き毛;大人|女|女性|女性: 濃い肌色 巻き毛|巻き毛|濃い肌色|顔
🧑‍🦱;大人: 巻き毛;大人|大人: 巻き毛|巻き毛|成人|顔
	🧑🏻‍🦱;大人: 薄い肌色 巻き毛;大人|大人: 薄い肌色 巻き毛|巻き毛|成人|薄い肌色|顔
	🧑🏼‍🦱;大人: やや薄い肌色 巻き毛;やや薄い肌色|大人|大人: やや薄い肌色 巻き毛|巻き毛|成人|顔
	🧑🏽‍🦱;大人: 中間の肌色 巻き毛;中間の肌色|大人|大人: 中間の肌色 巻き毛|巻き毛|成人|顔
	🧑🏾‍🦱;大人: やや濃い肌色 巻き毛;やや濃い肌色|大人|大人: やや濃い肌色 巻き毛|巻き毛|成人|顔
	🧑🏿‍🦱;大人: 濃い肌色 巻き毛;大人|大人: 濃い肌色 巻き毛|巻き毛|成人|濃い肌色|顔
👩‍🦳;女性: 白髪;大人|女|女性|女性: 白髪|白髪|顔
	👩🏻‍🦳;女性: 薄い肌色 白髪;大人|女|女性|女性: 薄い肌色 白髪|白髪|薄い肌色|顔
	👩🏼‍🦳;女性: やや薄い肌色 白髪;やや薄い肌色|大人|女|女性|女性: やや薄い肌色 白髪|白髪|顔
	👩🏽‍🦳;女性: 中間の肌色 白髪;中間の肌色|大人|女|女性|女性: 中間の肌色 白髪|白髪|顔
	👩🏾‍🦳;女性: やや濃い肌色 白髪;やや濃い肌色|大人|女|女性|女性: やや濃い肌色 白髪|白髪|顔
	👩🏿‍🦳;女性: 濃い肌色 白髪;大人|女|女性|女性: 濃い肌色 白髪|濃い肌色|白髪|顔
🧑‍🦳;大人: 白髪;大人|大人: 白髪|成人|白髪|顔
	🧑🏻‍🦳;大人: 薄い肌色 白髪;大人|大人: 薄い肌色 白髪|成人|白髪|薄い肌色|顔
	🧑🏼‍🦳;大人: やや薄い肌色 白髪;やや薄い肌色|大人|大人: やや薄い肌色 白髪|成人|白髪|顔
	🧑🏽‍🦳;大人: 中間の肌色 白髪;中間の肌色|大人|大人: 中間の肌色 白髪|成人|白髪|顔
	🧑🏾‍🦳;大人: やや濃い肌色 白髪;やや濃い肌色|大人|大人: やや濃い肌色 白髪|成人|白髪|顔
	🧑🏿‍🦳;大人: 濃い肌色 白髪;大人|大人: 濃い肌色 白髪|成人|濃い肌色|白髪|顔
👩‍🦲;女性: はげ頭;はげ頭|大人|女|女性|女性: はげ頭|顔
	👩🏻‍🦲;女性: 薄い肌色 はげ頭;はげ頭|大人|女|女性|女性: 薄い肌色 はげ頭|薄い肌色|顔
	👩🏼‍🦲;女性: やや薄い肌色 はげ頭;はげ頭|やや薄い肌色|大人|女|女性|女性: やや薄い肌色 はげ頭|顔
	👩🏽‍🦲;女性: 中間の肌色 はげ頭;はげ頭|中間の肌色|大人|女|女性|女性: 中間の肌色 はげ頭|顔
	👩🏾‍🦲;女性: やや濃い肌色 はげ頭;はげ頭|やや濃い肌色|大人|女|女性|女性: やや濃い肌色 はげ頭|顔
	👩🏿‍🦲;女性: 濃い肌色 はげ頭;はげ頭|大人|女|女性|女性: 濃い肌色 はげ頭|濃い肌色|顔
🧑‍🦲;大人: はげ頭;はげ頭|大人|大人: はげ頭|成人|顔
	🧑🏻‍🦲;大人: 薄い肌色 はげ頭;はげ頭|大人|大人: 薄い肌色 はげ頭|成人|薄い肌色|顔
	🧑🏼‍🦲;大人: やや薄い肌色 はげ頭;はげ頭|やや薄い肌色|大人|大人: やや薄い肌色 はげ頭|成人|顔
	🧑🏽‍🦲;大人: 中間の肌色 はげ頭;はげ頭|中間の肌色|大人|大人: 中間の肌色 はげ頭|成人|顔
	🧑🏾‍🦲;大人: やや濃い肌色 はげ頭;はげ頭|やや濃い肌色|大人|大人: やや濃い肌色 はげ頭|成人|顔
	🧑🏿‍🦲;大人: 濃い肌色 はげ頭;はげ頭|大人|大人: 濃い肌色 はげ頭|成人|濃い肌色|顔
👱‍♀️;金髪の女性;ブロンド|女|女性|金髪|金髪の女性
	👱🏻‍♀️;金髪の女性: 薄い肌色;ブロンド|女|女性|薄い肌色|金髪|金髪の女性|金髪の女性: 薄い肌色
	👱🏼‍♀️;金髪の女性: やや薄い肌色;ブロンド|やや薄い肌色|女|女性|金髪|金髪の女性|金髪の女性: やや薄い肌色
	👱🏽‍♀️;金髪の女性: 中間の肌色;ブロンド|中間の肌色|女|女性|金髪|金髪の女性|金髪の女性: 中間の肌色
	👱🏾‍♀️;金髪の女性: やや濃い肌色;ブロンド|やや濃い肌色|女|女性|金髪|金髪の女性|金髪の女性: やや濃い肌色
	👱🏿‍♀️;金髪の女性: 濃い肌色;ブロンド|女|女性|濃い肌色|金髪|金髪の女性|金髪の女性: 濃い肌色
👱‍♂️;金髪の男性;ブロンド|男|男性|金髪|金髪の男性
	👱🏻‍♂️;金髪の男性: 薄い肌色;ブロンド|男|男性|薄い肌色|金髪|金髪の男性|金髪の男性: 薄い肌色
	👱🏼‍♂️;金髪の男性: やや薄い肌色;ブロンド|やや薄い肌色|男|男性|金髪|金髪の男性|金髪の男性: やや薄い肌色
	👱🏽‍♂️;金髪の男性: 中間の肌色;ブロンド|中間の肌色|男|男性|金髪|金髪の男性|金髪の男性: 中間の肌色
	👱🏾‍♂️;金髪の男性: やや濃い肌色;ブロンド|やや濃い肌色|男|男性|金髪|金髪の男性|金髪の男性: やや濃い肌色
	👱🏿‍♂️;金髪の男性: 濃い肌色;ブロンド|濃い肌色|男|男性|金髪|金髪の男性|金髪の男性: 濃い肌色
🧓;お年寄り;お年寄り|老人|顔|高齢者
	🧓🏻;お年寄り: 薄い肌色;お年寄り|お年寄り: 薄い肌色|老人|薄い肌色|顔|高齢者
	🧓🏼;お年寄り: やや薄い肌色;お年寄り|お年寄り: やや薄い肌色|やや薄い肌色|老人|顔|高齢者
	🧓🏽;お年寄り: 中間の肌色;お年寄り|お年寄り: 中間の肌色|中間の肌色|老人|顔|高齢者
	🧓🏾;お年寄り: やや濃い肌色;お年寄り|お年寄り: やや濃い肌色|やや濃い肌色|老人|顔|高齢者
	🧓🏿;お年寄り: 濃い肌色;お年寄り|お年寄り: 濃い肌色|濃い肌色|老人|顔|高齢者
👴;おじいさん;おじいさん|お年寄り|男性|老人|顔|高齢者
	👴🏻;おじいさん: 薄い肌色;おじいさん|おじいさん: 薄い肌色|お年寄り|男性|老人|薄い肌色|顔|高齢者
	👴🏼;おじいさん: やや薄い肌色;おじいさん|おじいさん: やや薄い肌色|お年寄り|やや薄い肌色|男性|老人|顔|高齢者
	👴🏽;おじいさん: 中間の肌色;おじいさん|おじいさん: 中間の肌色|お年寄り|中間の肌色|男性|老人|顔|高齢者
	👴🏾;おじいさん: やや濃い肌色;おじいさん|おじいさん: やや濃い肌色|お年寄り|やや濃い肌色|男性|老人|顔|高齢者
	👴🏿;おじいさん: 濃い肌色;おじいさん|おじいさん: 濃い肌色|お年寄り|濃い肌色|男性|老人|顔|高齢者
👵;おばあさん;おばあさん|お年寄り|女性|老人|顔|高齢者
	👵🏻;おばあさん: 薄い肌色;おばあさん|おばあさん: 薄い肌色|お年寄り|女性|老人|薄い肌色|顔|高齢者
	👵🏼;おばあさん: やや薄い肌色;おばあさん|おばあさん: やや薄い肌色|お年寄り|やや薄い肌色|女性|老人|顔|高齢者
	👵🏽;おばあさん: 中間の肌色;おばあさん|おばあさん: 中間の肌色|お年寄り|中間の肌色|女性|老人|顔|高齢者
	👵🏾;おばあさん: やや濃い肌色;おばあさん|おばあさん: やや濃い肌色|お年寄り|やや濃い肌色|女性|老人|顔|高齢者
	👵🏿;おばあさん: 濃い肌色;おばあさん|おばあさん: 濃い肌色|お年寄り|女性|濃い肌色|老人|顔|高齢者
🙍;しかめ面の人;しかめっ面|しかめ面|しかめ面の人|しかめ顔
	🙍🏻;しかめ面の人: 薄い肌色;しかめっ面|しかめ面|しかめ面の人|しかめ面の人: 薄い肌色|しかめ顔|薄い肌色
	🙍🏼;しかめ面の人: やや薄い肌色;しかめっ面|しかめ面|しかめ面の人|しかめ面の人: やや薄い肌色|しかめ顔|やや薄い肌色
	🙍🏽;しかめ面の人: 中間の肌色;しかめっ面|しかめ面|しかめ面の人|しかめ面の人: 中間の肌色|しかめ顔|中間の肌色
	🙍🏾;しかめ面の人: やや濃い肌色;しかめっ面|しかめ面|しかめ面の人|しかめ面の人: やや濃い肌色|しかめ顔|やや濃い肌色
	🙍🏿;しかめ面の人: 濃い肌色;しかめっ面|しかめ面|しかめ面の人|しかめ面の人: 濃い肌色|しかめ顔|濃い肌色
🙍‍♂️;しかめ面の男;しかめっ面|しかめ面の男|しかめ顔|男|男性
	🙍🏻‍♂️;しかめ面の男: 薄い肌色;しかめっ面|しかめ面の男|しかめ面の男: 薄い肌色|しかめ顔|男|男性|薄い肌色
	🙍🏼‍♂️;しかめ面の男: やや薄い肌色;しかめっ面|しかめ面の男|しかめ面の男: やや薄い肌色|しかめ顔|やや薄い肌色|男|男性
	🙍🏽‍♂️;しかめ面の男: 中間の肌色;しかめっ面|しかめ面の男|しかめ面の男: 中間の肌色|しかめ顔|中間の肌色|男|男性
	🙍🏾‍♂️;しかめ面の男: やや濃い肌色;しかめっ面|しかめ面の男|しかめ面の男: やや濃い肌色|しかめ顔|やや濃い肌色|男|男性
	🙍🏿‍♂️;しかめ面の男: 濃い肌色;しかめっ面|しかめ面の男|しかめ面の男: 濃い肌色|しかめ顔|濃い肌色|男|男性
🙍‍♀️;しかめ面の女;しかめっ面|しかめ面の女|しかめ顔|女|女性
	🙍🏻‍♀️;しかめ面の女: 薄い肌色;しかめっ面|しかめ面の女|しかめ面の女: 薄い肌色|しかめ顔|女|女性|薄い肌色
	🙍🏼‍♀️;しかめ面の女: やや薄い肌色;しかめっ面|しかめ面の女|しかめ面の女: やや薄い肌色|しかめ顔|やや薄い肌色|女|女性
	🙍🏽‍♀️;しかめ面の女: 中間の肌色;しかめっ面|しかめ面の女|しかめ面の女: 中間の肌色|しかめ顔|中間の肌色|女|女性
	🙍🏾‍♀️;しかめ面の女: やや濃い肌色;しかめっ面|しかめ面の女|しかめ面の女: やや濃い肌色|しかめ顔|やや濃い肌色|女|女性
	🙍🏿‍♀️;しかめ面の女: 濃い肌色;しかめっ面|しかめ面の女|しかめ面の女: 濃い肌色|しかめ顔|女|女性|濃い肌色
🙎;不機嫌な人;ぷんぷん|不機嫌|不機嫌な人|人
	🙎🏻;不機嫌な人: 薄い肌色;ぷんぷん|不機嫌|不機嫌な人|不機嫌な人: 薄い肌色|人|薄い肌色
	🙎🏼;不機嫌な人: やや薄い肌色;ぷんぷん|やや薄い肌色|不機嫌|不機嫌な人|不機嫌な人: やや薄い肌色|人
	🙎🏽;不機嫌な人: 中間の肌色;ぷんぷん|不機嫌|不機嫌な人|不機嫌な人: 中間の肌色|中間の肌色|人
	🙎🏾;不機嫌な人: やや濃い肌色;ぷんぷん|やや濃い肌色|不機嫌|不機嫌な人|不機嫌な人: やや濃い肌色|人
	🙎🏿;不機嫌な人: 濃い肌色;ぷんぷん|不機嫌|不機嫌な人|不機嫌な人: 濃い肌色|人|濃い肌色
🙎‍♂️;不機嫌な男;ぷんぷん|不機嫌|不機嫌な男|男|男性
	🙎🏻‍♂️;不機嫌な男: 薄い肌色;ぷんぷん|不機嫌|不機嫌な男|不機嫌な男: 薄い肌色|男|男性|薄い肌色
	🙎🏼‍♂️;不機嫌な男: やや薄い肌色;ぷんぷん|やや薄い肌色|不機嫌|不機嫌な男|不機嫌な男: やや薄い肌色|男|男性
	🙎🏽‍♂️;不機嫌な男: 中間の肌色;ぷんぷん|不機嫌|不機嫌な男|不機嫌な男: 中間の肌色|中間の肌色|男|男性
	🙎🏾‍♂️;不機嫌な男: やや濃い肌色;ぷんぷん|やや濃い肌色|不機嫌|不機嫌な男|不機嫌な男: やや濃い肌色|男|男性
	🙎🏿‍♂️;不機嫌な男: 濃い肌色;ぷんぷん|不機嫌|不機嫌な男|不機嫌な男: 濃い肌色|濃い肌色|男|男性
🙎‍♀️;不機嫌な女;ぷんぷん|不機嫌|不機嫌な女|女|女性
	🙎🏻‍♀️;不機嫌な女: 薄い肌色;ぷんぷん|不機嫌|不機嫌な女|不機嫌な女: 薄い肌色|女|女性|薄い肌色
	🙎🏼‍♀️;不機嫌な女: やや薄い肌色;ぷんぷん|やや薄い肌色|不機嫌|不機嫌な女|不機嫌な女: やや薄い肌色|女|女性
	🙎🏽‍♀️;不機嫌な女: 中間の肌色;ぷんぷん|不機嫌|不機嫌な女|不機嫌な女: 中間の肌色|中間の肌色|女|女性
