[smileys_emotion]
😀;gülən üz;gülən üz|gülmək|üz
	🙏🏿;qatlanmış əllər: tünd dəri tonu;dua etmək|əl|jest|orqan|qatlanmış|qatlanmış əllər|qatlanmış əllər: tünd dəri tonu|tünd dəri tonu
✍️;yazı əli;əl|orqan|yazı əli|yazmaq
	✍🏻;yazı əli: açıq dəri tonu;açıq dəri tonu|əl|orqan|yazı əli|yazı əli: açıq dəri tonu|yazmaq
	✍🏼;yazı əli: orta-açıq dəri tonu;əl|orqan|orta-açıq dəri tonu|yazı əli|yazı əli: orta-açıq dəri tonu|yazmaq
	✍🏽;yazı əli: orta dəri tonu;əl|orqan|orta dəri tonu|yazı əli|yazı əli: orta dəri tonu|yazmaq
	✍🏾;yazı əli: orta-tünd dəri tonu;əl|orqan|orta-tünd dəri tonu|yazı əli|yazı əli: orta-tünd dəri tonu|yazmaq
	✍🏿;yazı əli: tünd dəri tonu;əl|orqan|tünd dəri tonu|yazı əli|yazı əli: tünd dəri tonu|yazmaq
💅;dırnaq laklamaq;dırnaq|dırnaq laklamaq|kosmetika|lak|manikür|orqan|qulluq
	💅🏻;dırnaq laklamaq: açıq dəri tonu;açıq dəri tonu|dırnaq|dırnaq laklamaq|dırnaq laklamaq: açıq dəri tonu|kosmetika|lak|manikür|orqan|qulluq
	💅🏼;dırnaq laklamaq: orta-açıq dəri tonu;dırnaq|dırnaq laklamaq|dırnaq laklamaq: orta-açıq dəri tonu|kosmetika|lak|manikür|orqan|orta-açıq dəri tonu|qulluq
	💅🏽;dırnaq laklamaq: orta dəri tonu;dırnaq|dırnaq laklamaq|dırnaq laklamaq: orta dəri tonu|kosmetika|lak|manikür|orqan|orta dəri tonu|qulluq
	💅🏾;dırnaq laklamaq: orta-tünd dəri tonu;dırnaq|dırnaq laklamaq|dırnaq laklamaq: orta-tünd dəri tonu|kosmetika|lak|manikür|orqan|orta-tünd dəri tonu|qulluq
	💅🏿;dırnaq laklamaq: tünd dəri tonu;dırnaq|dırnaq laklamaq|dırnaq laklamaq: tünd dəri tonu|kosmetika|lak|manikür|orqan|qulluq|tünd dəri tonu
🤳;özçəkim;foto|özçəkim|selfi|şəkil
	🤳🏻;özçəkim: açıq dəri tonu;açıq dəri tonu|foto|özçəkim|özçəkim: açıq dəri tonu|selfi|şəkil
	🤳🏼;özçəkim: orta-açıq dəri tonu;foto|orta-açıq dəri tonu|özçəkim|özçəkim: orta-açıq dəri tonu|selfi|şəkil
	🤳🏽;özçəkim: orta dəri tonu;foto|orta dəri tonu|özçəkim|özçəkim: orta dəri tonu|selfi|şəkil
	🤳🏾;özçəkim: orta-tünd dəri tonu;foto|orta-tünd dəri tonu|özçəkim|özçəkim: orta-tünd dəri tonu|selfi|şəkil
	🤳🏿;özçəkim: tünd dəri tonu;foto|özçəkim|özçəkim: tünd dəri tonu|selfi|şəkil|tünd dəri tonu
💪;qatlanmış əzələ;biseps|əymək|əzələ|komik|qatlanmış əzələ
	💪🏻;qatlanmış əzələ: açıq dəri tonu;açıq dəri tonu|biseps|əymək|əzələ|komik|qatlanmış əzələ|qatlanmış əzələ: açıq dəri tonu
	💪🏼;qatlanmış əzələ: orta-açıq dəri tonu;biseps|əymək|əzələ|komik|orta-açıq dəri tonu|qatlanmış əzələ|qatlanmış əzələ: orta-açıq dəri tonu
	💪🏽;qatlanmış əzələ: orta dəri tonu;biseps|əymək|əzələ|komik|orta dəri tonu|qatlanmış əzələ|qatlanmış əzələ: orta dəri tonu
	💪🏾;qatlanmış əzələ: orta-tünd dəri tonu;biseps|əymək|əzələ|komik|orta-tünd dəri tonu|qatlanmış əzələ|qatlanmış əzələ: orta-tünd dəri tonu
	💪🏿;qatlanmış əzələ: tünd dəri tonu;biseps|əymək|əzələ|komik|qatlanmış əzələ|qatlanmış əzələ: tünd dəri tonu|tünd dəri tonu
🦾;mexaniki əl;mexaniki əl|protez
🦿;mexaniki ayaq;mexaniki ayaq|protez
🦵;qıç;əza|qıç|təpik
	🦵🏻;qıç: açıq dəri tonu;açıq dəri tonu|əza|qıç|qıç: açıq dəri tonu|təpik
	🦵🏼;qıç: orta-açıq dəri tonu;əza|orta-açıq dəri tonu|qıç|qıç: orta-açıq dəri tonu|təpik
	🦵🏽;qıç: orta dəri tonu;əza|orta dəri tonu|qıç|qıç: orta dəri tonu|təpik
	🦵🏾;qıç: orta-tünd dəri tonu;əza|orta-tünd dəri tonu|qıç|qıç: orta-tünd dəri tonu|təpik
	🦵🏿;qıç: tünd dəri tonu;əza|qıç|qıç: tünd dəri tonu|təpik|tünd dəri tonu
🦶;ayaq;ayaq|pəncə|təpik
	🦶🏻;ayaq: açıq dəri tonu;açıq dəri tonu|ayaq|ayaq: açıq dəri tonu|pəncə|təpik
	🦶🏼;ayaq: orta-açıq dəri tonu;ayaq|ayaq: orta-açıq dəri tonu|orta-açıq dəri tonu|pəncə|təpik
	🦶🏽;ayaq: orta dəri tonu;ayaq|ayaq: orta dəri tonu|orta dəri tonu|pəncə|təpik
	🦶🏾;ayaq: orta-tünd dəri tonu;ayaq|ayaq: orta-tünd dəri tonu|orta-tünd dəri tonu|pəncə|təpik
	🦶🏿;ayaq: tünd dəri tonu;ayaq|ayaq: tünd dəri tonu|pəncə|təpik|tünd dəri tonu
👂;qulaq;bədən|qulaq
	👂🏻;qulaq: açıq dəri tonu;açıq dəri tonu|bədən|qulaq|qulaq: açıq dəri tonu
	👂🏼;qulaq: orta-açıq dəri tonu;bədən|orta-açıq dəri tonu|qulaq|qulaq: orta-açıq dəri tonu
	👂🏽;qulaq: orta dəri tonu;bədən|orta dəri tonu|qulaq|qulaq: orta dəri tonu
	👂🏾;qulaq: orta-tünd dəri tonu;bədən|orta-tünd dəri tonu|qulaq|qulaq: orta-tünd dəri tonu
	👂🏿;qulaq: tünd dəri tonu;bədən|qulaq|qulaq: tünd dəri tonu|tünd dəri tonu
🦻;eşitmə cihazlı qulaq;eşitmə cihazlı qulaq|eşitmə problemi
	🦻🏻;eşitmə cihazlı qulaq: açıq dəri tonu;açıq dəri tonu|eşitmə cihazlı qulaq|eşitmə cihazlı qulaq: açıq dəri tonu|eşitmə problemi
	🦻🏼;eşitmə cihazlı qulaq: orta-açıq dəri tonu;eşitmə cihazlı qulaq|eşitmə cihazlı qulaq: orta-açıq dəri tonu|eşitmə problemi|orta-açıq dəri tonu
	🦻🏽;eşitmə cihazlı qulaq: orta dəri tonu;eşitmə cihazlı qulaq|eşitmə cihazlı qulaq: orta dəri tonu|eşitmə problemi|orta dəri tonu
	🦻🏾;eşitmə cihazlı qulaq: orta-tünd dəri tonu;eşitmə cihazlı qulaq|eşitmə cihazlı qulaq: orta-tünd dəri tonu|eşitmə problemi|orta-tünd dəri tonu
	🦻🏿;eşitmə cihazlı qulaq: tünd dəri tonu;eşitmə cihazlı qulaq|eşitmə cihazlı qulaq: tünd dəri tonu|eşitmə problemi|tünd dəri tonu
👃;burun;bədən|burun
	👃🏻;burun: açıq dəri tonu;açıq dəri tonu|bədən|burun|burun: açıq dəri tonu
	👃🏼;burun: orta-açıq dəri tonu;bədən|burun|burun: orta-açıq dəri tonu|orta-açıq dəri tonu
	👃🏽;burun: orta dəri tonu;bədən|burun|burun: orta dəri tonu|orta dəri tonu
	👃🏾;burun: orta-tünd dəri tonu;bədən|burun|burun: orta-tünd dəri tonu|orta-tünd dəri tonu
	👃🏿;burun: tünd dəri tonu;bədən|burun|burun: tünd dəri tonu|tünd dəri tonu
🧠;beyin;beyin|intelligent
🫀;ürək;mərkəz|orqan|puls|ürək|ürək döyüntüsü
🫁;ağciyərlər;ağciyərlər|nəfəs|nəfəsalma|nəfəsvermə|orqan|tərləmə
🦷;diş;diş|stomatoloq
🦴;sümük;skelet|sümük
👀;gözlər;göz|gözlər|üz
👁️;göz;göz|orqan
👅;dil;bədən|dil
👄;ağız;ağız|dodaqlar
🫦;dişlənən dodaq;dişlənən dodaq|əsəbi|flört|narahat|qorxu
👶;körpə;cavan|körpə
	👶🏻;körpə: açıq dəri tonu;açıq dəri tonu|cavan|körpə|körpə: açıq dəri tonu
	👶🏼;körpə: orta-açıq dəri tonu;cavan|körpə|körpə: orta-açıq dəri tonu|orta-açıq dəri tonu
	👶🏽;körpə: orta dəri tonu;cavan|körpə|körpə: orta dəri tonu|orta dəri tonu
	👶🏾;körpə: orta-tünd dəri tonu;cavan|körpə|körpə: orta-tünd dəri tonu|orta-tünd dəri tonu
	👶🏿;körpə: tünd dəri tonu;cavan|körpə|körpə: tünd dəri tonu|tünd dəri tonu
🧒;uşaq;cavan|gender-neytral|uşaq
	🧒🏻;uşaq: açıq dəri tonu;açıq dəri tonu|cavan|gender-neytral|uşaq|uşaq: açıq dəri tonu
	🧒🏼;uşaq: orta-açıq dəri tonu;cavan|gender-neytral|orta-açıq dəri tonu|uşaq|uşaq: orta-açıq dəri tonu
	🧒🏽;uşaq: orta dəri tonu;cavan|gender-neytral|orta dəri tonu|uşaq|uşaq: orta dəri tonu
	🧒🏾;uşaq: orta-tünd dəri tonu;cavan|gender-neytral|orta-tünd dəri tonu|uşaq|uşaq: orta-tünd dəri tonu
	🧒🏿;uşaq: tünd dəri tonu;cavan|gender-neytral|tünd dəri tonu|uşaq|uşaq: tünd dəri tonu
👦;oğlan;kişi|oğlan
	👦🏻;oğlan: açıq dəri tonu;açıq dəri tonu|kişi|oğlan|oğlan: açıq dəri tonu
	👦🏼;oğlan: orta-açıq dəri tonu;kişi|oğlan|oğlan: orta-açıq dəri tonu|orta-açıq dəri tonu
	👦🏽;oğlan: orta dəri tonu;kişi|oğlan|oğlan: orta dəri tonu|orta dəri tonu
	👦🏾;oğlan: orta-tünd dəri tonu;kişi|oğlan|oğlan: orta-tünd dəri tonu|orta-tünd dəri tonu
	👦🏿;oğlan: tünd dəri tonu;kişi|oğlan|oğlan: tünd dəri tonu|tünd dəri tonu
👧;qız uşağı;cavan|qız bürcü|qız uşağı|zodiak
	👧🏻;qız uşağı: açıq dəri tonu;açıq dəri tonu|cavan|qız bürcü|qız uşağı|qız uşağı: açıq dəri tonu|zodiak
	👧🏼;qız uşağı: orta-açıq dəri tonu;cavan|orta-açıq dəri tonu|qız bürcü|qız uşağı|qız uşağı: orta-açıq dəri tonu|zodiak
	👧🏽;qız uşağı: orta dəri tonu;cavan|orta dəri tonu|qız bürcü|qız uşağı|qız uşağı: orta dəri tonu|zodiak
	👧🏾;qız uşağı: orta-tünd dəri tonu;cavan|orta-tünd dəri tonu|qız bürcü|qız uşağı|qız uşağı: orta-tünd dəri tonu|zodiak
	👧🏿;qız uşağı: tünd dəri tonu;cavan|qız bürcü|qız uşağı|qız uşağı: tünd dəri tonu|tünd dəri tonu|zodiak
🧑;böyük;böyük|gender-neytral
	🧑🏻;böyük: açıq dəri tonu;açıq dəri tonu|böyük|böyük: açıq dəri tonu|gender-neytral
	🧑🏼;böyük: orta-açıq dəri tonu;böyük|böyük: orta-açıq dəri tonu|gender-neytral|orta-açıq dəri tonu
	🧑🏽;böyük: orta dəri tonu;böyük|böyük: orta dəri tonu|gender-neytral|orta dəri tonu
	🧑🏾;böyük: orta-tünd dəri tonu;böyük|böyük: orta-tünd dəri tonu|gender-neytral|orta-tünd dəri tonu
	🧑🏿;böyük: tünd dəri tonu;böyük|böyük: tünd dəri tonu|gender-neytral|tünd dəri tonu
👱;sarı saçlı adam;sarı saçlı adam|sarışın
	👱🏻;sarı saçlı adam: açıq dəri tonu;açıq dəri tonu|sarı saçlı adam|sarı saçlı adam: açıq dəri tonu|sarışın
	👱🏼;sarı saçlı adam: orta-açıq dəri tonu;orta-açıq dəri tonu|sarı saçlı adam|sarı saçlı adam: orta-açıq dəri tonu|sarışın
	👱🏽;sarı saçlı adam: orta dəri tonu;orta dəri tonu|sarı saçlı adam|sarı saçlı adam: orta dəri tonu|sarışın
	👱🏾;sarı saçlı adam: orta-tünd dəri tonu;orta-tünd dəri tonu|sarı saçlı adam|sarı saçlı adam: orta-tünd dəri tonu|sarışın
	👱🏿;sarı saçlı adam: tünd dəri tonu;sarı saçlı adam|sarı saçlı adam: tünd dəri tonu|sarışın|tünd dəri tonu
👨;kişi;kişi
	👨🏻;kişi: açıq dəri tonu;açıq dəri tonu|kişi|kişi: açıq dəri tonu
	👨🏼;kişi: orta-açıq dəri tonu;kişi|kişi: orta-açıq dəri tonu|orta-açıq dəri tonu
	👨🏽;kişi: orta dəri tonu;kişi|kişi: orta dəri tonu|orta dəri tonu
	👨🏾;kişi: orta-tünd dəri tonu;kişi|kişi: orta-tünd dəri tonu|orta-tünd dəri tonu
	👨🏿;kişi: tünd dəri tonu;kişi|kişi: tünd dəri tonu|tünd dəri tonu
🧔;saqqallı şəxs;saqqal|saqqallı şəxs
	🧔🏻;saqqallı şəxs: açıq dəri tonu;açıq dəri tonu|saqqal|saqqallı şəxs|saqqallı şəxs: açıq dəri tonu
	🧔🏼;saqqallı şəxs: orta-açıq dəri tonu;orta-açıq dəri tonu|saqqal|saqqallı şəxs|saqqallı şəxs: orta-açıq dəri tonu
	🧔🏽;saqqallı şəxs: orta dəri tonu;orta dəri tonu|saqqal|saqqallı şəxs|saqqallı şəxs: orta dəri tonu
	🧔🏾;saqqallı şəxs: orta-tünd dəri tonu;orta-tünd dəri tonu|saqqal|saqqallı şəxs|saqqallı şəxs: orta-tünd dəri tonu
	🧔🏿;saqqallı şəxs: tünd dəri tonu;saqqal|saqqallı şəxs|saqqallı şəxs: tünd dəri tonu|tünd dəri tonu
🧔‍♂️;kişi; saqqal;kişi|kişi; saqqal|kişi: saqqal|saqqal
	🧔🏻‍♂️;kişi; saqqal: açıq dəri tonu;açıq dəri tonu|kişi|kişi; saqqal: açıq dəri tonu|kişi: saqqal|saqqal|saqqal: açıq dəri tonu
	🧔🏼‍♂️;kişi; saqqal: orta-açıq dəri tonu;kişi|kişi; saqqal: orta-açıq dəri tonu|kişi: saqqal|orta-açıq dəri tonu|saqqal|saqqal: orta-açıq dəri tonu
	🧔🏽‍♂️;kişi; saqqal: orta dəri tonu;kişi|kişi; saqqal: orta dəri tonu|kişi: saqqal|orta dəri tonu|saqqal|saqqal: orta dəri tonu
	🧔🏾‍♂️;kişi; saqqal: orta-tünd dəri tonu;kişi|kişi; saqqal: orta-tünd dəri tonu|kişi: saqqal|orta-tünd dəri tonu|saqqal|saqqal: orta-tünd dəri tonu
	🧔🏿‍♂️;kişi; saqqal: tünd dəri tonu;kişi|kişi; saqqal: tünd dəri tonu|kişi: saqqal|saqqal|saqqal: tünd dəri tonu|tünd dəri tonu
🧔‍♀️;qadın: saqqal;kişi|kişi: saqqal|qadın: saqqal|saqqal
	🧔🏻‍♀️;qadın: açıq dəri tonu, saqqal;açıq dəri tonu|kişi|kişi: saqqal|qadın: açıq dəri tonu, saqqal|qadın: saqqal|saqqal
	🧔🏼‍♀️;qadın: orta-açıq dəri tonu, saqqal;kişi|kişi: saqqal|orta-açıq dəri tonu|qadın: orta-açıq dəri tonu, saqqal|qadın: saqqal|saqqal
	🧔🏽‍♀️;qadın: orta dəri tonu, saqqal;kişi|kişi: saqqal|orta dəri tonu|qadın: orta dəri tonu, saqqal|qadın: saqqal|saqqal
	🧔🏾‍♀️;qadın: orta-tünd dəri tonu, saqqal;kişi|kişi: saqqal|orta-tünd dəri tonu|qadın: orta-tünd dəri tonu, saqqal|qadın: saqqal|saqqal
	🧔🏿‍♀️;qadın: tünd dəri tonu, saqqal;kişi|kişi: saqqal|qadın: saqqal|qadın: tünd dəri tonu, saqqal|saqqal|tünd dəri tonu
👨‍🦰;kişi: qırmızı saç;kişi|kişi: qırmızı saç|qırmızı saç
	👨🏻‍🦰;kişi: açıq dəri tonu, qırmızı saç;açıq dəri tonu|kişi|kişi: açıq dəri tonu, qırmızı saç|qırmızı saç
	👨🏼‍🦰;kişi: orta-açıq dəri tonu, qırmızı saç;kişi|kişi: orta-açıq dəri tonu, qırmızı saç|orta-açıq dəri tonu|qırmızı saç
	👨🏽‍🦰;kişi: orta dəri tonu, qırmızı saç;kişi|kişi: orta dəri tonu, qırmızı saç|orta dəri tonu|qırmızı saç
	👨🏾‍🦰;kişi: orta-tünd dəri tonu, qırmızı saç;kişi|kişi: orta-tünd dəri tonu, qırmızı saç|orta-tünd dəri tonu|qırmızı saç
	👨🏿‍🦰;kişi: tünd dəri tonu, qırmızı saç;kişi|kişi: tünd dəri tonu, qırmızı saç|qırmızı saç|tünd dəri tonu
👨‍🦱;kişi: buruq saç;buruq saç|kişi|kişi: buruq saç
	👨🏻‍🦱;kişi: açıq dəri tonu, buruq saç;açıq dəri tonu|buruq saç|kişi|kişi: açıq dəri tonu, buruq saç
	👨🏼‍🦱;kişi: orta-açıq dəri tonu, buruq saç;buruq saç|kişi|kişi: orta-açıq dəri tonu, buruq saç|orta-açıq dəri tonu
	👨🏽‍🦱;kişi: orta dəri tonu, buruq saç;buruq saç|kişi|kişi: orta dəri tonu, buruq saç|orta dəri tonu
	👨🏾‍🦱;kişi: orta-tünd dəri tonu, buruq saç;buruq saç|kişi|kişi: orta-tünd dəri tonu, buruq saç|orta-tünd dəri tonu
	👨🏿‍🦱;kişi: tünd dəri tonu, buruq saç;buruq saç|kişi|kişi: tünd dəri tonu, buruq saç|tünd dəri tonu
👨‍🦳;kişi: ağ saç;ağ saç|kişi|kişi: ağ saç
	👨🏻‍🦳;kişi: açıq dəri tonu, ağ saç;açıq dəri tonu|ağ saç|kişi|kişi: açıq dəri tonu, ağ saç
	👨🏼‍🦳;kişi: orta-açıq dəri tonu, ağ saç;ağ saç|kişi|kişi: orta-açıq dəri tonu, ağ saç|orta-açıq dəri tonu
	👨🏽‍🦳;kişi: orta dəri tonu, ağ saç;ağ saç|kişi|kişi: orta dəri tonu, ağ saç|orta dəri tonu
	👨🏾‍🦳;kişi: orta-tünd dəri tonu, ağ saç;ağ saç|kişi|kişi: orta-tünd dəri tonu, ağ saç|orta-tünd dəri tonu
	👨🏿‍🦳;kişi: tünd dəri tonu, ağ saç;ağ saç|kişi|kişi: tünd dəri tonu, ağ saç|tünd dəri tonu
👨‍🦲;kişi: keçəl;keçəl|kişi|kişi: keçəl
	👨🏻‍🦲;kişi: açıq dəri tonu, keçəl;açıq dəri tonu|keçəl|kişi|kişi: açıq dəri tonu, keçəl
	👨🏼‍🦲;kişi: orta-açıq dəri tonu, keçəl;keçəl|kişi|kişi: orta-açıq dəri tonu, keçəl|orta-açıq dəri tonu
	👨🏽‍🦲;kişi: orta dəri tonu, keçəl;keçəl|kişi|kişi: orta dəri tonu, keçəl|orta dəri tonu
	👨🏾‍🦲;kişi: orta-tünd dəri tonu, keçəl;keçəl|kişi|kişi: orta-tünd dəri tonu, keçəl|orta-tünd dəri tonu
	👨🏿‍🦲;kişi: tünd dəri tonu, keçəl;keçəl|kişi|kişi: tünd dəri tonu, keçəl|tünd dəri tonu
👩;qadın;qadın
	👩🏻;qadın: açıq dəri tonu;açıq dəri tonu|qadın|qadın: açıq dəri tonu
	👩🏼;qadın: orta-açıq dəri tonu;orta-açıq dəri tonu|qadın|qadın: orta-açıq dəri tonu
	👩🏽;qadın: orta dəri tonu;orta dəri tonu|qadın|qadın: orta dəri tonu
	👩🏾;qadın: orta-tünd dəri tonu;orta-tünd dəri tonu|qadın|qadın: orta-tünd dəri tonu
	👩🏿;qadın: tünd dəri tonu;qadın|qadın: tünd dəri tonu|tünd dəri tonu
👩‍🦰;qadın: qırmızı saç;qadın|qadın: qırmızı saç|qırmızı saç
	👩🏻‍🦰;qadın: açıq dəri tonu, qırmızı saç;açıq dəri tonu|qadın|qadın: açıq dəri tonu, qırmızı saç|qırmızı saç
	👩🏼‍🦰;qadın: orta-açıq dəri tonu, qırmızı saç;orta-açıq dəri tonu|qadın|qadın: orta-açıq dəri tonu, qırmızı saç|qırmızı saç
	👩🏽‍🦰;qadın: orta dəri tonu, qırmızı saç;orta dəri tonu|qadın|qadın: orta dəri tonu, qırmızı saç|qırmızı saç
	👩🏾‍🦰;qadın: orta-tünd dəri tonu, qırmızı saç;orta-tünd dəri tonu|qadın|qadın: orta-tünd dəri tonu, qırmızı saç|qırmızı saç
	👩🏿‍🦰;qadın: tünd dəri tonu, qırmızı saç;qadın|qadın: tünd dəri tonu, qırmızı saç|qırmızı saç|tünd dəri tonu
🧑‍🦰;böyük: qırmızı saç;böyük|böyük: qırmızı saç|gender-neytral|qırmızı saç
	🧑🏻‍🦰;böyük: açıq dəri tonu, qırmızı saç;açıq dəri tonu|böyük|böyük: açıq dəri tonu, qırmızı saç|gender-neytral|qırmızı saç
	🧑🏼‍🦰;böyük: orta-açıq dəri tonu, qırmızı saç;böyük|böyük: orta-açıq dəri tonu, qırmızı saç|gender-neytral|orta-açıq dəri tonu|qırmızı saç
	🧑🏽‍🦰;böyük: orta dəri tonu, qırmızı saç;böyük|böyük: orta dəri tonu, qırmızı saç|gender-neytral|orta dəri tonu|qırmızı saç
	🧑🏾‍🦰;böyük: orta-tünd dəri tonu, qırmızı saç;böyük|böyük: orta-tünd dəri tonu, qırmızı saç|gender-neytral|orta-tünd dəri tonu|qırmızı saç
	🧑🏿‍🦰;böyük: tünd dəri tonu, qırmızı saç;böyük|böyük: tünd dəri tonu, qırmızı saç|gender-neytral|qırmızı saç|tünd dəri tonu
👩‍🦱;qadın: buruq saç;buruq saç|qadın|qadın: buruq saç
	👩🏻‍🦱;qadın: açıq dəri tonu, buruq saç;açıq dəri tonu|buruq saç|qadın|qadın: açıq dəri tonu, buruq saç
	👩🏼‍🦱;qadın: orta-açıq dəri tonu, buruq saç;buruq saç|orta-açıq dəri tonu|qadın|qadın: orta-açıq dəri tonu, buruq saç
	👩🏽‍🦱;qadın: orta dəri tonu, buruq saç;buruq saç|orta dəri tonu|qadın|qadın: orta dəri tonu, buruq saç
	👩🏾‍🦱;qadın: orta-tünd dəri tonu, buruq saç;buruq saç|orta-tünd dəri tonu|qadın|qadın: orta-tünd dəri tonu, buruq saç
	👩🏿‍🦱;qadın: tünd dəri tonu, buruq saç;buruq saç|qadın|qadın: tünd dəri tonu, buruq saç|tünd dəri tonu
🧑‍🦱;böyük: buruq saç;böyük|böyük: buruq saç|buruq saç|gender-neytral
	🧑🏻‍🦱;böyük: açıq dəri tonu, buruq saç;açıq dəri tonu|böyük|böyük: açıq dəri tonu, buruq saç|buruq saç|gender-neytral
	🧑🏼‍🦱;böyük: orta-açıq dəri tonu, buruq saç;böyük|böyük: orta-açıq dəri tonu, buruq saç|buruq saç|gender-neytral|orta-açıq dəri tonu
	🧑🏽‍🦱;böyük: orta dəri tonu, buruq saç;böyük|böyük: orta dəri tonu, buruq saç|buruq saç|gender-neytral|orta dəri tonu
	🧑🏾‍🦱;böyük: orta-tünd dəri tonu, buruq saç;böyük|böyük: orta-tünd dəri tonu, buruq saç|buruq saç|gender-neytral|orta-tünd dəri tonu
	🧑🏿‍🦱;böyük: tünd dəri tonu, buruq saç;böyük|böyük: tünd dəri tonu, buruq saç|buruq saç|gender-neytral|tünd dəri tonu
👩‍🦳;qadın: ağ saç;ağ saç|qadın|qadın: ağ saç
	👩🏻‍🦳;qadın: açıq dəri tonu, ağ saç;açıq dəri tonu|ağ saç|qadın|qadın: açıq dəri tonu, ağ saç
	👩🏼‍🦳;qadın: orta-açıq dəri tonu, ağ saç;ağ saç|orta-açıq dəri tonu|qadın|qadın: orta-açıq dəri tonu, ağ saç
	👩🏽‍🦳;qadın: orta dəri tonu, ağ saç;ağ saç|orta dəri tonu|qadın|qadın: orta dəri tonu, ağ saç
	👩🏾‍🦳;qadın: orta-tünd dəri tonu, ağ saç;ağ saç|orta-tünd dəri tonu|qadın|qadın: orta-tünd dəri tonu, ağ saç
	👩🏿‍🦳;qadın: tünd dəri tonu, ağ saç;ağ saç|qadın|qadın: tünd dəri tonu, ağ saç|tünd dəri tonu
🧑‍🦳;böyük: ağ saç;ağ saç|böyük|böyük: ağ saç|gender-neytral
	🧑🏻‍🦳;böyük: açıq dəri tonu, ağ saç;açıq dəri tonu|ağ saç|böyük|böyük: açıq dəri tonu, ağ saç|gender-neytral
	🧑🏼‍🦳;böyük: orta-açıq dəri tonu, ağ saç;ağ saç|böyük|böyük: orta-açıq dəri tonu, ağ saç|gender-neytral|orta-açıq dəri tonu
	🧑🏽‍🦳;böyük: orta dəri tonu, ağ saç;ağ saç|böyük|böyük: orta dəri tonu, ağ saç|gender-neytral|orta dəri tonu
	🧑🏾‍🦳;böyük: orta-tünd dəri tonu, ağ saç;ağ saç|böyük|böyük: orta-tünd dəri tonu, ağ saç|gender-neytral|orta-tünd dəri tonu
	🧑🏿‍🦳;böyük: tünd dəri tonu, ağ saç;ağ saç|böyük|böyük: tünd dəri tonu, ağ saç|gender-neytral|tünd dəri tonu
👩‍🦲;qadın: keçəl;keçəl|qadın|qadın: keçəl
	👩🏻‍🦲;qadın: açıq dəri tonu, keçəl;açıq dəri tonu|keçəl|qadın|qadın: açıq dəri tonu, keçəl
	👩🏼‍🦲;qadın: orta-açıq dəri tonu, keçəl;keçəl|orta-açıq dəri tonu|qadın|qadın: orta-açıq dəri tonu, keçəl
	👩🏽‍🦲;qadın: orta dəri tonu, keçəl;keçəl|orta dəri tonu|qadın|qadın: orta dəri tonu, keçəl
	👩🏾‍🦲;qadın: orta-tünd dəri tonu, keçəl;keçəl|orta-tünd dəri tonu|qadın|qadın: orta-tünd dəri tonu, keçəl
	👩🏿‍🦲;qadın: tünd dəri tonu, keçəl;keçəl|qadın|qadın: tünd dəri tonu, keçəl|tünd dəri tonu
🧑‍🦲;böyük: keçəl;böyük|böyük: keçəl|gender-neytral|keçəl
	🧑🏻‍🦲;böyük: açıq dəri tonu, keçəl;açıq dəri tonu|böyük|böyük: açıq dəri tonu, keçəl|gender-neytral|keçəl
	🧑🏼‍🦲;böyük: orta-açıq dəri tonu, keçəl;böyük|böyük: orta-açıq dəri tonu, keçəl|gender-neytral|keçəl|orta-açıq dəri tonu
	🧑🏽‍🦲;böyük: orta dəri tonu, keçəl;böyük|böyük: orta dəri tonu, keçəl|gender-neytral|keçəl|orta dəri tonu
	🧑🏾‍🦲;böyük: orta-tünd dəri tonu, keçəl;böyük|böyük: orta-tünd dəri tonu, keçəl|gender-neytral|keçəl|orta-tünd dəri tonu
	🧑🏿‍🦲;böyük: tünd dəri tonu, keçəl;böyük|böyük: tünd dəri tonu, keçəl|gender-neytral|keçəl|tünd dəri tonu
👱‍♀️;sarışın qadın;qadın|sarışın
	👱🏻‍♀️;sarışın qadın: açıq dəri tonu;açıq dəri tonu|qadın|sarışın|sarışın qadın: açıq dəri tonu
	👱🏼‍♀️;sarışın qadın: orta-açıq dəri tonu;orta-açıq dəri tonu|qadın|sarışın|sarışın qadın: orta-açıq dəri tonu
	👱🏽‍♀️;sarışın qadın: orta dəri tonu;orta dəri tonu|qadın|sarışın|sarışın qadın: orta dəri tonu
	👱🏾‍♀️;sarışın qadın: orta-tünd dəri tonu;orta-tünd dəri tonu|qadın|sarışın|sarışın qadın: orta-tünd dəri tonu
	👱🏿‍♀️;sarışın qadın: tünd dəri tonu;qadın|sarışın|sarışın qadın: tünd dəri tonu|tünd dəri tonu
👱‍♂️;sarışın kişi;kişi|sarışın
	👱🏻‍♂️;sarışın kişi: açıq dəri tonu;açıq dəri tonu|kişi|sarışın|sarışın kişi: açıq dəri tonu
	👱🏼‍♂️;sarışın kişi: orta-açıq dəri tonu;kişi|orta-açıq dəri tonu|sarışın|sarışın kişi: orta-açıq dəri tonu
	👱🏽‍♂️;sarışın kişi: orta dəri tonu;kişi|orta dəri tonu|sarışın|sarışın kişi: orta dəri tonu
	👱🏾‍♂️;sarışın kişi: orta-tünd dəri tonu;kişi|orta-tünd dəri tonu|sarışın|sarışın kişi: orta-tünd dəri tonu
