[smileys_emotion]
😀;mặt cười toe toét;cười toe toét|mặt|mặt cười toe toét
	🙋🏿‍♂️;người đàn ông giơ cao tay: màu da tối;cử chỉ|giơ tay|màu da tối|nam|người đàn ông|người đàn ông giơ cao tay|người đàn ông giơ cao tay: màu da tối
🙋‍♀️;người phụ nữ giơ cao tay;cử chỉ|giơ tay|người phụ nữ giơ cao tay|nữ
	🙋🏻‍♀️;người phụ nữ giơ cao tay: màu da sáng;cử chỉ|giơ tay|màu da sáng|người phụ nữ giơ cao tay|người phụ nữ giơ cao tay: màu da sáng|nữ
	🙋🏼‍♀️;người phụ nữ giơ cao tay: màu da sáng trung bình;cử chỉ|giơ tay|màu da sáng trung bình|người phụ nữ giơ cao tay|người phụ nữ giơ cao tay: màu da sáng trung bình|nữ
	🙋🏽‍♀️;người phụ nữ giơ cao tay: màu da trung bình;cử chỉ|giơ tay|màu da trung bình|người phụ nữ giơ cao tay|người phụ nữ giơ cao tay: màu da trung bình|nữ
	🙋🏾‍♀️;người phụ nữ giơ cao tay: màu da tối trung bình;cử chỉ|giơ tay|màu da tối trung bình|người phụ nữ giơ cao tay|người phụ nữ giơ cao tay: màu da tối trung bình|nữ
	🙋🏿‍♀️;người phụ nữ giơ cao tay: màu da tối;cử chỉ|giơ tay|màu da tối|người phụ nữ giơ cao tay|người phụ nữ giơ cao tay: màu da tối|nữ
🧏;người khiếm thính;điếc|hỗ trợ tiếp cận|khiếm thính|nghe|người khiếm thính|tai
	🧏🏻;người khiếm thính: màu da sáng;điếc|hỗ trợ tiếp cận|khiếm thính|màu da sáng|nghe|người khiếm thính|người khiếm thính: màu da sáng|tai
	🧏🏼;người khiếm thính: màu da sáng trung bình;điếc|hỗ trợ tiếp cận|khiếm thính|màu da sáng trung bình|nghe|người khiếm thính|người khiếm thính: màu da sáng trung bình|tai
	🧏🏽;người khiếm thính: màu da trung bình;điếc|hỗ trợ tiếp cận|khiếm thính|màu da trung bình|nghe|người khiếm thính|người khiếm thính: màu da trung bình|tai
	🧏🏾;người khiếm thính: màu da tối trung bình;điếc|hỗ trợ tiếp cận|khiếm thính|màu da tối trung bình|nghe|người khiếm thính|người khiếm thính: màu da tối trung bình|tai
	🧏🏿;người khiếm thính: màu da tối;điếc|hỗ trợ tiếp cận|khiếm thính|màu da tối|nghe|người khiếm thính|người khiếm thính: màu da tối|tai
🧏‍♂️;người đàn ông khiếm thính;điếc|khiếm thính|người đàn ông|người đàn ông khiếm thính
	🧏🏻‍♂️;người đàn ông khiếm thính: màu da sáng;điếc|khiếm thính|màu da sáng|người đàn ông|người đàn ông khiếm thính|người đàn ông khiếm thính: màu da sáng
	🧏🏼‍♂️;người đàn ông khiếm thính: màu da sáng trung bình;điếc|khiếm thính|màu da sáng trung bình|người đàn ông|người đàn ông khiếm thính|người đàn ông khiếm thính: màu da sáng trung bình
	🧏🏽‍♂️;người đàn ông khiếm thính: màu da trung bình;điếc|khiếm thính|màu da trung bình|người đàn ông|người đàn ông khiếm thính|người đàn ông khiếm thính: màu da trung bình
	🧏🏾‍♂️;người đàn ông khiếm thính: màu da tối trung bình;điếc|khiếm thính|màu da tối trung bình|người đàn ông|người đàn ông khiếm thính|người đàn ông khiếm thính: màu da tối trung bình
	🧏🏿‍♂️;người đàn ông khiếm thính: màu da tối;điếc|khiếm thính|màu da tối|người đàn ông|người đàn ông khiếm thính|người đàn ông khiếm thính: màu da tối
🧏‍♀️;người phụ nữ khiếm thính;điếc|khiếm thính|người phụ nữ|người phụ nữ khiếm thính
	🧏🏻‍♀️;người phụ nữ khiếm thính: màu da sáng;điếc|khiếm thính|màu da sáng|người phụ nữ|người phụ nữ khiếm thính|người phụ nữ khiếm thính: màu da sáng
	🧏🏼‍♀️;người phụ nữ khiếm thính: màu da sáng trung bình;điếc|khiếm thính|màu da sáng trung bình|người phụ nữ|người phụ nữ khiếm thính|người phụ nữ khiếm thính: màu da sáng trung bình
	🧏🏽‍♀️;người phụ nữ khiếm thính: màu da trung bình;điếc|khiếm thính|màu da trung bình|người phụ nữ|người phụ nữ khiếm thính|người phụ nữ khiếm thính: màu da trung bình
	🧏🏾‍♀️;người phụ nữ khiếm thính: màu da tối trung bình;điếc|khiếm thính|màu da tối trung bình|người phụ nữ|người phụ nữ khiếm thính|người phụ nữ khiếm thính: màu da tối trung bình
	🧏🏿‍♀️;người phụ nữ khiếm thính: màu da tối;điếc|khiếm thính|màu da tối|người phụ nữ|người phụ nữ khiếm thính|người phụ nữ khiếm thính: màu da tối
🙇;người đang cúi đầu;cử chỉ|cúi người|lấy làm tiếc|lời xin lỗi|người đang cúi đầu
	🙇🏻;người đang cúi đầu: màu da sáng;cử chỉ|cúi người|lấy làm tiếc|lời xin lỗi|màu da sáng|người đang cúi đầu|người đang cúi đầu: màu da sáng
	🙇🏼;người đang cúi đầu: màu da sáng trung bình;cử chỉ|cúi người|lấy làm tiếc|lời xin lỗi|màu da sáng trung bình|người đang cúi đầu|người đang cúi đầu: màu da sáng trung bình
	🙇🏽;người đang cúi đầu: màu da trung bình;cử chỉ|cúi người|lấy làm tiếc|lời xin lỗi|màu da trung bình|người đang cúi đầu|người đang cúi đầu: màu da trung bình
	🙇🏾;người đang cúi đầu: màu da tối trung bình;cử chỉ|cúi người|lấy làm tiếc|lời xin lỗi|màu da tối trung bình|người đang cúi đầu|người đang cúi đầu: màu da tối trung bình
	🙇🏿;người đang cúi đầu: màu da tối;cử chỉ|cúi người|lấy làm tiếc|lời xin lỗi|màu da tối|người đang cúi đầu|người đang cúi đầu: màu da tối
🙇‍♂️;người đàn ông cúi đầu;cử chỉ|cúi đầu|người đàn ông|người đàn ông cúi đầu|ủng hộ|xin lỗi
	🙇🏻‍♂️;người đàn ông cúi đầu: màu da sáng;cử chỉ|cúi đầu|màu da sáng|người đàn ông|người đàn ông cúi đầu|người đàn ông cúi đầu: màu da sáng|ủng hộ|xin lỗi
	🙇🏼‍♂️;người đàn ông cúi đầu: màu da sáng trung bình;cử chỉ|cúi đầu|màu da sáng trung bình|người đàn ông|người đàn ông cúi đầu|người đàn ông cúi đầu: màu da sáng trung bình|ủng hộ|xin lỗi
	🙇🏽‍♂️;người đàn ông cúi đầu: màu da trung bình;cử chỉ|cúi đầu|màu da trung bình|người đàn ông|người đàn ông cúi đầu|người đàn ông cúi đầu: màu da trung bình|ủng hộ|xin lỗi
	🙇🏾‍♂️;người đàn ông cúi đầu: màu da tối trung bình;cử chỉ|cúi đầu|màu da tối trung bình|người đàn ông|người đàn ông cúi đầu|người đàn ông cúi đầu: màu da tối trung bình|ủng hộ|xin lỗi
	🙇🏿‍♂️;người đàn ông cúi đầu: màu da tối;cử chỉ|cúi đầu|màu da tối|người đàn ông|người đàn ông cúi đầu|người đàn ông cúi đầu: màu da tối|ủng hộ|xin lỗi
🙇‍♀️;người phụ nữ cúi đầu;cử chỉ|cúi đầu|người phụ nữ|người phụ nữ cúi đầu|ủng hộ|xin lỗi
	🙇🏻‍♀️;người phụ nữ cúi đầu: màu da sáng;cử chỉ|cúi đầu|màu da sáng|người phụ nữ|người phụ nữ cúi đầu|người phụ nữ cúi đầu: màu da sáng|ủng hộ|xin lỗi
	🙇🏼‍♀️;người phụ nữ cúi đầu: màu da sáng trung bình;cử chỉ|cúi đầu|màu da sáng trung bình|người phụ nữ|người phụ nữ cúi đầu|người phụ nữ cúi đầu: màu da sáng trung bình|ủng hộ|xin lỗi
	🙇🏽‍♀️;người phụ nữ cúi đầu: màu da trung bình;cử chỉ|cúi đầu|màu da trung bình|người phụ nữ|người phụ nữ cúi đầu|người phụ nữ cúi đầu: màu da trung bình|ủng hộ|xin lỗi
	🙇🏾‍♀️;người phụ nữ cúi đầu: màu da tối trung bình;cử chỉ|cúi đầu|màu da tối trung bình|người phụ nữ|người phụ nữ cúi đầu|người phụ nữ cúi đầu: màu da tối trung bình|ủng hộ|xin lỗi
	🙇🏿‍♀️;người phụ nữ cúi đầu: màu da tối;cử chỉ|cúi đầu|màu da tối|người phụ nữ|người phụ nữ cúi đầu|người phụ nữ cúi đầu: màu da tối|ủng hộ|xin lỗi
🤦;người lấy tay che mặt;hoài nghi|lòng bàn tay|mặt|người lấy tay che mặt|tức giận
	🤦🏻;người lấy tay che mặt: màu da sáng;hoài nghi|lòng bàn tay|mặt|màu da sáng|người lấy tay che mặt|người lấy tay che mặt: màu da sáng|tức giận
	🤦🏼;người lấy tay che mặt: màu da sáng trung bình;hoài nghi|lòng bàn tay|mặt|màu da sáng trung bình|người lấy tay che mặt|người lấy tay che mặt: màu da sáng trung bình|tức giận
	🤦🏽;người lấy tay che mặt: màu da trung bình;hoài nghi|lòng bàn tay|mặt|màu da trung bình|người lấy tay che mặt|người lấy tay che mặt: màu da trung bình|tức giận
	🤦🏾;người lấy tay che mặt: màu da tối trung bình;hoài nghi|lòng bàn tay|mặt|màu da tối trung bình|người lấy tay che mặt|người lấy tay che mặt: màu da tối trung bình|tức giận
	🤦🏿;người lấy tay che mặt: màu da tối;hoài nghi|lòng bàn tay|mặt|màu da tối|người lấy tay che mặt|người lấy tay che mặt: màu da tối|tức giận
🤦‍♂️;người đàn ông lấy tay che mặt;hoài nghi|nam|người đàn ông lấy tay che mặt|người lấy tay che mặt|tay che mặt|tức giận
	🤦🏻‍♂️;người đàn ông lấy tay che mặt: màu da sáng;hoài nghi|màu da sáng|nam|người đàn ông lấy tay che mặt|người đàn ông lấy tay che mặt: màu da sáng|người lấy tay che mặt|tay che mặt|tức giận
	🤦🏼‍♂️;người đàn ông lấy tay che mặt: màu da sáng trung bình;hoài nghi|màu da sáng trung bình|nam|người đàn ông lấy tay che mặt|người đàn ông lấy tay che mặt: màu da sáng trung bình|người lấy tay che mặt|tay che mặt|tức giận
	🤦🏽‍♂️;người đàn ông lấy tay che mặt: màu da trung bình;hoài nghi|màu da trung bình|nam|người đàn ông lấy tay che mặt|người đàn ông lấy tay che mặt: màu da trung bình|người lấy tay che mặt|tay che mặt|tức giận
	🤦🏾‍♂️;người đàn ông lấy tay che mặt: màu da tối trung bình;hoài nghi|màu da tối trung bình|nam|người đàn ông lấy tay che mặt|người đàn ông lấy tay che mặt: màu da tối trung bình|người lấy tay che mặt|tay che mặt|tức giận
	🤦🏿‍♂️;người đàn ông lấy tay che mặt: màu da tối;hoài nghi|màu da tối|nam|người đàn ông lấy tay che mặt|người đàn ông lấy tay che mặt: màu da tối|người lấy tay che mặt|tay che mặt|tức giận
🤦‍♀️;người phụ nữ lấy tay che mặt;hoài nghi|người lấy tay che mặt|người phụ nữ lấy tay che mặt|nữ|tay che mặt|tức giận
	🤦🏻‍♀️;người phụ nữ lấy tay che mặt: màu da sáng;hoài nghi|màu da sáng|người lấy tay che mặt|người phụ nữ lấy tay che mặt|người phụ nữ lấy tay che mặt: màu da sáng|nữ|tay che mặt|tức giận
	🤦🏼‍♀️;người phụ nữ lấy tay che mặt: màu da sáng trung bình;hoài nghi|màu da sáng trung bình|người lấy tay che mặt|người phụ nữ lấy tay che mặt|người phụ nữ lấy tay che mặt: màu da sáng trung bình|nữ|tay che mặt|tức giận
	🤦🏽‍♀️;người phụ nữ lấy tay che mặt: màu da trung bình;hoài nghi|màu da trung bình|người lấy tay che mặt|người phụ nữ lấy tay che mặt|người phụ nữ lấy tay che mặt: màu da trung bình|nữ|tay che mặt|tức giận
	🤦🏾‍♀️;người phụ nữ lấy tay che mặt: màu da tối trung bình;hoài nghi|màu da tối trung bình|người lấy tay che mặt|người phụ nữ lấy tay che mặt|người phụ nữ lấy tay che mặt: màu da tối trung bình|nữ|tay che mặt|tức giận
	🤦🏿‍♀️;người phụ nữ lấy tay che mặt: màu da tối;hoài nghi|màu da tối|người lấy tay che mặt|người phụ nữ lấy tay che mặt|người phụ nữ lấy tay che mặt: màu da tối|nữ|tay che mặt|tức giận
🤷;người nhún vai;hững hờ|nghi ngờ|người nhún vai|nhún vai|thờ ơ
	🤷🏻;người nhún vai: màu da sáng;hững hờ|màu da sáng|nghi ngờ|người nhún vai|người nhún vai: màu da sáng|nhún vai|thờ ơ
	🤷🏼;người nhún vai: màu da sáng trung bình;hững hờ|màu da sáng trung bình|nghi ngờ|người nhún vai|người nhún vai: màu da sáng trung bình|nhún vai|thờ ơ
	🤷🏽;người nhún vai: màu da trung bình;hững hờ|màu da trung bình|nghi ngờ|người nhún vai|người nhún vai: màu da trung bình|nhún vai|thờ ơ
	🤷🏾;người nhún vai: màu da tối trung bình;hững hờ|màu da tối trung bình|nghi ngờ|người nhún vai|người nhún vai: màu da tối trung bình|nhún vai|thờ ơ
	🤷🏿;người nhún vai: màu da tối;hững hờ|màu da tối|nghi ngờ|người nhún vai|người nhún vai: màu da tối|nhún vai|thờ ơ
🤷‍♂️;người đàn ông nhún vai;nam|nghi ngờ|người đàn ông|người đàn ông nhún vai|nhún vai|sự thờ ơ|vô minh
	🤷🏻‍♂️;người đàn ông nhún vai: màu da sáng;màu da sáng|nam|nghi ngờ|người đàn ông|người đàn ông nhún vai|người đàn ông nhún vai: màu da sáng|nhún vai|sự thờ ơ|vô minh
	🤷🏼‍♂️;người đàn ông nhún vai: màu da sáng trung bình;màu da sáng trung bình|nam|nghi ngờ|người đàn ông|người đàn ông nhún vai|người đàn ông nhún vai: màu da sáng trung bình|nhún vai|sự thờ ơ|vô minh
	🤷🏽‍♂️;người đàn ông nhún vai: màu da trung bình;màu da trung bình|nam|nghi ngờ|người đàn ông|người đàn ông nhún vai|người đàn ông nhún vai: màu da trung bình|nhún vai|sự thờ ơ|vô minh
	🤷🏾‍♂️;người đàn ông nhún vai: màu da tối trung bình;màu da tối trung bình|nam|nghi ngờ|người đàn ông|người đàn ông nhún vai|người đàn ông nhún vai: màu da tối trung bình|nhún vai|sự thờ ơ|vô minh
	🤷🏿‍♂️;người đàn ông nhún vai: màu da tối;màu da tối|nam|nghi ngờ|người đàn ông|người đàn ông nhún vai|người đàn ông nhún vai: màu da tối|nhún vai|sự thờ ơ|vô minh
🤷‍♀️;người phụ nữ nhún vai;nghi ngờ|người phụ nữ nhún vai|nhún vai|nữ|phụ nữ|sự thờ ơ|vô minh
	🤷🏻‍♀️;người phụ nữ nhún vai: màu da sáng;màu da sáng|nghi ngờ|người phụ nữ nhún vai|người phụ nữ nhún vai: màu da sáng|nhún vai|nữ|phụ nữ|sự thờ ơ|vô minh
	🤷🏼‍♀️;người phụ nữ nhún vai: màu da sáng trung bình;màu da sáng trung bình|nghi ngờ|người phụ nữ nhún vai|người phụ nữ nhún vai: màu da sáng trung bình|nhún vai|nữ|phụ nữ|sự thờ ơ|vô minh
	🤷🏽‍♀️;người phụ nữ nhún vai: màu da trung bình;màu da trung bình|nghi ngờ|người phụ nữ nhún vai|người phụ nữ nhún vai: màu da trung bình|nhún vai|nữ|phụ nữ|sự thờ ơ|vô minh
	🤷🏾‍♀️;người phụ nữ nhún vai: màu da tối trung bình;màu da tối trung bình|nghi ngờ|người phụ nữ nhún vai|người phụ nữ nhún vai: màu da tối trung bình|nhún vai|nữ|phụ nữ|sự thờ ơ|vô minh
	🤷🏿‍♀️;người phụ nữ nhún vai: màu da tối;màu da tối|nghi ngờ|người phụ nữ nhún vai|người phụ nữ nhún vai: màu da tối|nhún vai|nữ|phụ nữ|sự thờ ơ|vô minh
🧑‍⚕️;nhân viên y tế;bác sĩ|chăm sóc sức khỏe|nhà trị liệu|nhân viên y tế|y tá
	🧑🏻‍⚕️;nhân viên y tế: màu da sáng;bác sĩ|chăm sóc sức khỏe|màu da sáng|nhà trị liệu|nhân viên y tế|nhân viên y tế: màu da sáng|y tá
	🧑🏼‍⚕️;nhân viên y tế: màu da sáng trung bình;bác sĩ|chăm sóc sức khỏe|màu da sáng trung bình|nhà trị liệu|nhân viên y tế|nhân viên y tế: màu da sáng trung bình|y tá
	🧑🏽‍⚕️;nhân viên y tế: màu da trung bình;bác sĩ|chăm sóc sức khỏe|màu da trung bình|nhà trị liệu|nhân viên y tế|nhân viên y tế: màu da trung bình|y tá
	🧑🏾‍⚕️;nhân viên y tế: màu da tối trung bình;bác sĩ|chăm sóc sức khỏe|màu da tối trung bình|nhà trị liệu|nhân viên y tế|nhân viên y tế: màu da tối trung bình|y tá
	🧑🏿‍⚕️;nhân viên y tế: màu da tối;bác sĩ|chăm sóc sức khỏe|màu da tối|nhà trị liệu|nhân viên y tế|nhân viên y tế: màu da tối|y tá
👨‍⚕️;nhân viên y tế nam;bác sĩ|chăm sóc sức khỏe|nam|nhân viên y tế nam|trị liệu|y tá
	👨🏻‍⚕️;nhân viên y tế nam: màu da sáng;bác sĩ|chăm sóc sức khỏe|màu da sáng|nam|nhân viên y tế nam|nhân viên y tế nam: màu da sáng|trị liệu|y tá
	👨🏼‍⚕️;nhân viên y tế nam: màu da sáng trung bình;bác sĩ|chăm sóc sức khỏe|màu da sáng trung bình|nam|nhân viên y tế nam|nhân viên y tế nam: màu da sáng trung bình|trị liệu|y tá
	👨🏽‍⚕️;nhân viên y tế nam: màu da trung bình;bác sĩ|chăm sóc sức khỏe|màu da trung bình|nam|nhân viên y tế nam|nhân viên y tế nam: màu da trung bình|trị liệu|y tá
	👨🏾‍⚕️;nhân viên y tế nam: màu da tối trung bình;bác sĩ|chăm sóc sức khỏe|màu da tối trung bình|nam|nhân viên y tế nam|nhân viên y tế nam: màu da tối trung bình|trị liệu|y tá
	👨🏿‍⚕️;nhân viên y tế nam: màu da tối;bác sĩ|chăm sóc sức khỏe|màu da tối|nam|nhân viên y tế nam|nhân viên y tế nam: màu da tối|trị liệu|y tá
👩‍⚕️;nhân viên y tế nữ;bác sĩ|chăm sóc sức khỏe|nhân viên y tế nữ|nữ|trị liệu|y tá
	👩🏻‍⚕️;nhân viên y tế nữ: màu da sáng;bác sĩ|chăm sóc sức khỏe|màu da sáng|nhân viên y tế nữ|nhân viên y tế nữ: màu da sáng|nữ|trị liệu|y tá
	👩🏼‍⚕️;nhân viên y tế nữ: màu da sáng trung bình;bác sĩ|chăm sóc sức khỏe|màu da sáng trung bình|nhân viên y tế nữ|nhân viên y tế nữ: màu da sáng trung bình|nữ|trị liệu|y tá
	👩🏽‍⚕️;nhân viên y tế nữ: màu da trung bình;bác sĩ|chăm sóc sức khỏe|màu da trung bình|nhân viên y tế nữ|nhân viên y tế nữ: màu da trung bình|nữ|trị liệu|y tá
	👩🏾‍⚕️;nhân viên y tế nữ: màu da tối trung bình;bác sĩ|chăm sóc sức khỏe|màu da tối trung bình|nhân viên y tế nữ|nhân viên y tế nữ: màu da tối trung bình|nữ|trị liệu|y tá
	👩🏿‍⚕️;nhân viên y tế nữ: màu da tối;bác sĩ|chăm sóc sức khỏe|màu da tối|nhân viên y tế nữ|nhân viên y tế nữ: màu da tối|nữ|trị liệu|y tá
🧑‍🎓;sinh viên;sinh viên|tốt nghiệp
	🧑🏻‍🎓;sinh viên: màu da sáng;màu da sáng|sinh viên|sinh viên: màu da sáng|tốt nghiệp
	🧑🏼‍🎓;sinh viên: màu da sáng trung bình;màu da sáng trung bình|sinh viên|sinh viên: màu da sáng trung bình|tốt nghiệp
	🧑🏽‍🎓;sinh viên: màu da trung bình;màu da trung bình|sinh viên|sinh viên: màu da trung bình|tốt nghiệp
	🧑🏾‍🎓;sinh viên: màu da tối trung bình;màu da tối trung bình|sinh viên|sinh viên: màu da tối trung bình|tốt nghiệp
	🧑🏿‍🎓;sinh viên: màu da tối;màu da tối|sinh viên|sinh viên: màu da tối|tốt nghiệp
👨‍🎓;sinh viên nam;nam|sinh viên|sinh viên nam|tốt nghiệp
	👨🏻‍🎓;sinh viên nam: màu da sáng;màu da sáng|nam|sinh viên|sinh viên nam|sinh viên nam: màu da sáng|tốt nghiệp
	👨🏼‍🎓;sinh viên nam: màu da sáng trung bình;màu da sáng trung bình|nam|sinh viên|sinh viên nam|sinh viên nam: màu da sáng trung bình|tốt nghiệp
	👨🏽‍🎓;sinh viên nam: màu da trung bình;màu da trung bình|nam|sinh viên|sinh viên nam|sinh viên nam: màu da trung bình|tốt nghiệp
	👨🏾‍🎓;sinh viên nam: màu da tối trung bình;màu da tối trung bình|nam|sinh viên|sinh viên nam|sinh viên nam: màu da tối trung bình|tốt nghiệp
	👨🏿‍🎓;sinh viên nam: màu da tối;màu da tối|nam|sinh viên|sinh viên nam|sinh viên nam: màu da tối|tốt nghiệp
👩‍🎓;sinh viên nữ;nữ|sinh viên|sinh viên nữ|tốt nghiệp
	👩🏻‍🎓;sinh viên nữ: màu da sáng;màu da sáng|nữ|sinh viên|sinh viên nữ|sinh viên nữ: màu da sáng|tốt nghiệp
	👩🏼‍🎓;sinh viên nữ: màu da sáng trung bình;màu da sáng trung bình|nữ|sinh viên|sinh viên nữ|sinh viên nữ: màu da sáng trung bình|tốt nghiệp
	👩🏽‍🎓;sinh viên nữ: màu da trung bình;màu da trung bình|nữ|sinh viên|sinh viên nữ|sinh viên nữ: màu da trung bình|tốt nghiệp
	👩🏾‍🎓;sinh viên nữ: màu da tối trung bình;màu da tối trung bình|nữ|sinh viên|sinh viên nữ|sinh viên nữ: màu da tối trung bình|tốt nghiệp
	👩🏿‍🎓;sinh viên nữ: màu da tối;màu da tối|nữ|sinh viên|sinh viên nữ|sinh viên nữ: màu da tối|tốt nghiệp
🧑‍🏫;giáo viên;giáo sư|giáo viên|người hướng dẫn
	🧑🏻‍🏫;giáo viên: màu da sáng;giáo sư|giáo viên|giáo viên: màu da sáng|màu da sáng|người hướng dẫn
	🧑🏼‍🏫;giáo viên: màu da sáng trung bình;giáo sư|giáo viên|giáo viên: màu da sáng trung bình|màu da sáng trung bình|người hướng dẫn
	🧑🏽‍🏫;giáo viên: màu da trung bình;giáo sư|giáo viên|giáo viên: màu da trung bình|màu da trung bình|người hướng dẫn
	🧑🏾‍🏫;giáo viên: màu da tối trung bình;giáo sư|giáo viên|giáo viên: màu da tối trung bình|màu da tối trung bình|người hướng dẫn
	🧑🏿‍🏫;giáo viên: màu da tối;giáo sư|giáo viên|giáo viên: màu da tối|màu da tối|người hướng dẫn
👨‍🏫;giáo viên nam;giáo sư|giáo viên|giáo viên nam|nam|người hướng dẫn
	👨🏻‍🏫;giáo viên nam: màu da sáng;giáo sư|giáo viên|giáo viên nam|giáo viên nam: màu da sáng|màu da sáng|nam|người hướng dẫn
	👨🏼‍🏫;giáo viên nam: màu da sáng trung bình;giáo sư|giáo viên|giáo viên nam|giáo viên nam: màu da sáng trung bình|màu da sáng trung bình|nam|người hướng dẫn
	👨🏽‍🏫;giáo viên nam: màu da trung bình;giáo sư|giáo viên|giáo viên nam|giáo viên nam: màu da trung bình|màu da trung bình|nam|người hướng dẫn
	👨🏾‍🏫;giáo viên nam: màu da tối trung bình;giáo sư|giáo viên|giáo viên nam|giáo viên nam: màu da tối trung bình|màu da tối trung bình|nam|người hướng dẫn
	👨🏿‍🏫;giáo viên nam: màu da tối;giáo sư|giáo viên|giáo viên nam|giáo viên nam: màu da tối|màu da tối|nam|người hướng dẫn
👩‍🏫;giáo viên nữ;giáo sư|giáo viên|giáo viên nữ|người hướng dẫn|phụ nữ
	👩🏻‍🏫;giáo viên nữ: màu da sáng;giáo sư|giáo viên|giáo viên nữ|giáo viên nữ: màu da sáng|màu da sáng|người hướng dẫn|phụ nữ
	👩🏼‍🏫;giáo viên nữ: màu da sáng trung bình;giáo sư|giáo viên|giáo viên nữ|giáo viên nữ: màu da sáng trung bình|màu da sáng trung bình|người hướng dẫn|phụ nữ
	👩🏽‍🏫;giáo viên nữ: màu da trung bình;giáo sư|giáo viên|giáo viên nữ|giáo viên nữ: màu da trung bình|màu da trung bình|người hướng dẫn|phụ nữ
	👩🏾‍🏫;giáo viên nữ: màu da tối trung bình;giáo sư|giáo viên|giáo viên nữ|giáo viên nữ: màu da tối trung bình|màu da tối trung bình|người hướng dẫn|phụ nữ
	👩🏿‍🏫;giáo viên nữ: màu da tối;giáo sư|giáo viên|giáo viên nữ|giáo viên nữ: màu da tối|màu da tối|người hướng dẫn|phụ nữ
🧑‍⚖️;thẩm phán;cầm cân nảy mực|thẩm phán
	🧑🏻‍⚖️;thẩm phán: màu da sáng;cầm cân nảy mực|màu da sáng|thẩm phán|thẩm phán: màu da sáng
	🧑🏼‍⚖️;thẩm phán: màu da sáng trung bình;cầm cân nảy mực|màu da sáng trung bình|thẩm phán|thẩm phán: màu da sáng trung bình
	🧑🏽‍⚖️;thẩm phán: màu da trung bình;cầm cân nảy mực|màu da trung bình|thẩm phán|thẩm phán: màu da trung bình
	🧑🏾‍⚖️;thẩm phán: màu da tối trung bình;cầm cân nảy mực|màu da tối trung bình|thẩm phán|thẩm phán: màu da tối trung bình
	🧑🏿‍⚖️;thẩm phán: màu da tối;cầm cân nảy mực|màu da tối|thẩm phán|thẩm phán: màu da tối
👨‍⚖️;thẩm phán nam;cầm cân nảy mực|công lý|nam|thẩm phán nam
	👨🏻‍⚖️;thẩm phán nam: màu da sáng;cầm cân nảy mực|công lý|màu da sáng|nam|thẩm phán nam|thẩm phán nam: màu da sáng
	👨🏼‍⚖️;thẩm phán nam: màu da sáng trung bình;cầm cân nảy mực|công lý|màu da sáng trung bình|nam|thẩm phán nam|thẩm phán nam: màu da sáng trung bình
	👨🏽‍⚖️;thẩm phán nam: màu da trung bình;cầm cân nảy mực|công lý|màu da trung bình|nam|thẩm phán nam|thẩm phán nam: màu da trung bình
	👨🏾‍⚖️;thẩm phán nam: màu da tối trung bình;cầm cân nảy mực|công lý|màu da tối trung bình|nam|thẩm phán nam|thẩm phán nam: màu da tối trung bình
	👨🏿‍⚖️;thẩm phán nam: màu da tối;cầm cân nảy mực|công lý|màu da tối|nam|thẩm phán nam|thẩm phán nam: màu da tối
👩‍⚖️;thẩm phán nữ;cầm cân nảy mực|nữ|thẩm phán|thẩm phán nữ
	👩🏻‍⚖️;thẩm phán nữ: màu da sáng;cầm cân nảy mực|màu da sáng|nữ|thẩm phán|thẩm phán nữ|thẩm phán nữ: màu da sáng
	👩🏼‍⚖️;thẩm phán nữ: màu da sáng trung bình;cầm cân nảy mực|màu da sáng trung bình|nữ|thẩm phán|thẩm phán nữ|thẩm phán nữ: màu da sáng trung bình
	👩🏽‍⚖️;thẩm phán nữ: màu da trung bình;cầm cân nảy mực|màu da trung bình|nữ|thẩm phán|thẩm phán nữ|thẩm phán nữ: màu da trung bình
	👩🏾‍⚖️;thẩm phán nữ: màu da tối trung bình;cầm cân nảy mực|màu da tối trung bình|nữ|thẩm phán|thẩm phán nữ|thẩm phán nữ: màu da tối trung bình
	👩🏿‍⚖️;thẩm phán nữ: màu da tối;cầm cân nảy mực|màu da tối|nữ|thẩm phán|thẩm phán nữ|thẩm phán nữ: màu da tối
🧑‍🌾;nông dân;chủ trang trại|người làm vườn|nông dân
	🧑🏻‍🌾;nông dân: màu da sáng;chủ trang trại|màu da sáng|người làm vườn|nông dân|nông dân: màu da sáng
	🧑🏼‍🌾;nông dân: màu da sáng trung bình;chủ trang trại|màu da sáng trung bình|người làm vườn|nông dân|nông dân: màu da sáng trung bình
	🧑🏽‍🌾;nông dân: màu da trung bình;chủ trang trại|màu da trung bình|người làm vườn|nông dân|nông dân: màu da trung bình
	🧑🏾‍🌾;nông dân: màu da tối trung bình;chủ trang trại|màu da tối trung bình|người làm vườn|nông dân|nông dân: màu da tối trung bình
	🧑🏿‍🌾;nông dân: màu da tối;chủ trang trại|màu da tối|người làm vườn|nông dân|nông dân: màu da tối
👨‍🌾;nông dân nam;nam|người làm vườn|người nuôi súc vật|nông dân|nông dân nam
	👨🏻‍🌾;nông dân nam: màu da sáng;màu da sáng|nam|người làm vườn|người nuôi súc vật|nông dân|nông dân nam|nông dân nam: màu da sáng
