# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;cara moi riseira;cara|cara moi riseira|sorriso
	💁🏿‍♂️;home coa man medio levantada: ton de pel moi escuro;asistencia|axuda levantada|home coa man medio levantada|home coa man medio levantada: ton de pel moi escuro|información|man|medio levantada|ton de pel moi escuro
💁‍♀️;muller coa man medio levantada;asistencia|axuda|información|man|medio levantada|muller coa man medio levantada
	💁🏻‍♀️;muller coa man medio levantada: ton de pel moi claro;asistencia|axuda|información|man|medio levantada|muller coa man medio levantada|muller coa man medio levantada: ton de pel moi claro|ton de pel moi claro
	💁🏼‍♀️;muller coa man medio levantada: ton de pel claro;asistencia|axuda|información|man|medio levantada|muller coa man medio levantada|muller coa man medio levantada: ton de pel claro|ton de pel claro
	💁🏽‍♀️;muller coa man medio levantada: ton de pel medio;asistencia|axuda|información|man|medio levantada|muller coa man medio levantada|muller coa man medio levantada: ton de pel medio|ton de pel medio
	💁🏾‍♀️;muller coa man medio levantada: ton de pel escuro;asistencia|axuda|información|man|medio levantada|muller coa man medio levantada|muller coa man medio levantada: ton de pel escuro|ton de pel escuro
	💁🏿‍♀️;muller coa man medio levantada: ton de pel moi escuro;asistencia|axuda|información|man|medio levantada|muller coa man medio levantada|muller coa man medio levantada: ton de pel moi escuro|ton de pel moi escuro
🙋;levantar a man;levantar a man|man levantada|xesto
	🙋🏻;levantar a man: ton de pel moi claro;levantar a man|levantar a man: ton de pel moi claro|man levantada|ton de pel moi claro|xesto
	🙋🏼;levantar a man: ton de pel claro;levantar a man|levantar a man: ton de pel claro|man levantada|ton de pel claro|xesto
	🙋🏽;levantar a man: ton de pel medio;levantar a man|levantar a man: ton de pel medio|man levantada|ton de pel medio|xesto
	🙋🏾;levantar a man: ton de pel escuro;levantar a man|levantar a man: ton de pel escuro|man levantada|ton de pel escuro|xesto
	🙋🏿;levantar a man: ton de pel moi escuro;levantar a man|levantar a man: ton de pel moi escuro|man levantada|ton de pel moi escuro|xesto
🙋‍♂️;home levantando a man;home|home levantando a man|man levantada|xesto
	🙋🏻‍♂️;home levantando a man: ton de pel moi claro;home|home levantando a man|home levantando a man: ton de pel moi claro|man levantada|ton de pel moi claro|xesto
	🙋🏼‍♂️;home levantando a man: ton de pel claro;home|home levantando a man|home levantando a man: ton de pel claro|man levantada|ton de pel claro|xesto
	🙋🏽‍♂️;home levantando a man: ton de pel medio;home|home levantando a man|home levantando a man: ton de pel medio|man levantada|ton de pel medio|xesto
	🙋🏾‍♂️;home levantando a man: ton de pel escuro;home|home levantando a man|home levantando a man: ton de pel escuro|man levantada|ton de pel escuro|xesto
	🙋🏿‍♂️;home levantando a man: ton de pel moi escuro;home|home levantando a man|home levantando a man: ton de pel moi escuro|man levantada|ton de pel moi escuro|xesto
🙋‍♀️;muller levantando a man;man levantada|muller|muller levantando a man|xesto
	🙋🏻‍♀️;muller levantando a man: ton de pel moi claro;man levantada|muller|muller levantando a man|muller levantando a man: ton de pel moi claro|ton de pel moi claro|xesto
	🙋🏼‍♀️;muller levantando a man: ton de pel claro;man levantada|muller|muller levantando a man|muller levantando a man: ton de pel claro|ton de pel claro|xesto
	🙋🏽‍♀️;muller levantando a man: ton de pel medio;man levantada|muller|muller levantando a man|muller levantando a man: ton de pel medio|ton de pel medio|xesto
	🙋🏾‍♀️;muller levantando a man: ton de pel escuro;man levantada|muller|muller levantando a man|muller levantando a man: ton de pel escuro|ton de pel escuro|xesto
	🙋🏿‍♀️;muller levantando a man: ton de pel moi escuro;man levantada|muller|muller levantando a man|muller levantando a man: ton de pel moi escuro|ton de pel moi escuro|xesto
🧏;persoa xorda;discapacidade|linguaxe de signos|persoa xorda|xordo
	🧏🏻;persoa xorda: ton de pel moi claro;discapacidade|linguaxe de signos|persoa xorda|persoa xorda: ton de pel moi claro|ton de pel moi claro|xordo
	🧏🏼;persoa xorda: ton de pel claro;discapacidade|linguaxe de signos|persoa xorda|persoa xorda: ton de pel claro|ton de pel claro|xordo
	🧏🏽;persoa xorda: ton de pel medio;discapacidade|linguaxe de signos|persoa xorda|persoa xorda: ton de pel medio|ton de pel medio|xordo
	🧏🏾;persoa xorda: ton de pel escuro;discapacidade|linguaxe de signos|persoa xorda|persoa xorda: ton de pel escuro|ton de pel escuro|xordo
	🧏🏿;persoa xorda: ton de pel moi escuro;discapacidade|linguaxe de signos|persoa xorda|persoa xorda: ton de pel moi escuro|ton de pel moi escuro|xordo
🧏‍♂️;home xordo;discapacidade|home xordo|linguaxe de signos|xordo
	🧏🏻‍♂️;home xordo: ton de pel moi claro;discapacidade|home xordo|home xordo: ton de pel moi claro|linguaxe de signos|ton de pel moi claro|xordo
	🧏🏼‍♂️;home xordo: ton de pel claro;discapacidade|home xordo|home xordo: ton de pel claro|linguaxe de signos|ton de pel claro|xordo
	🧏🏽‍♂️;home xordo: ton de pel medio;discapacidade|home xordo|home xordo: ton de pel medio|linguaxe de signos|ton de pel medio|xordo
	🧏🏾‍♂️;home xordo: ton de pel escuro;discapacidade|home xordo|home xordo: ton de pel escuro|linguaxe de signos|ton de pel escuro|xordo
	🧏🏿‍♂️;home xordo: ton de pel moi escuro;discapacidade|home xordo|home xordo: ton de pel moi escuro|linguaxe de signos|ton de pel moi escuro|xordo
🧏‍♀️;muller xorda;discapacidade|linguaxe de signos|muller xorda|xorda
	🧏🏻‍♀️;muller xorda: ton de pel moi claro;discapacidade|linguaxe de signos|muller xorda|muller xorda: ton de pel moi claro|ton de pel moi claro|xorda
	🧏🏼‍♀️;muller xorda: ton de pel claro;discapacidade|linguaxe de signos|muller xorda|muller xorda: ton de pel claro|ton de pel claro|xorda
	🧏🏽‍♀️;muller xorda: ton de pel medio;discapacidade|linguaxe de signos|muller xorda|muller xorda: ton de pel medio|ton de pel medio|xorda
	🧏🏾‍♀️;muller xorda: ton de pel escuro;discapacidade|linguaxe de signos|muller xorda|muller xorda: ton de pel escuro|ton de pel escuro|xorda
	🧏🏿‍♀️;muller xorda: ton de pel moi escuro;discapacidade|linguaxe de signos|muller xorda|muller xorda: ton de pel moi escuro|ton de pel moi escuro|xorda
🙇;reverencia;desculpas|reverencia|xesto
	🙇🏻;reverencia: ton de pel moi claro;desculpas|reverencia|reverencia: ton de pel moi claro|ton de pel moi claro|xesto
	🙇🏼;reverencia: ton de pel claro;desculpas|reverencia|reverencia: ton de pel claro|ton de pel claro|xesto
	🙇🏽;reverencia: ton de pel medio;desculpas|reverencia|reverencia: ton de pel medio|ton de pel medio|xesto
	🙇🏾;reverencia: ton de pel escuro;desculpas|reverencia|reverencia: ton de pel escuro|ton de pel escuro|xesto
	🙇🏿;reverencia: ton de pel moi escuro;desculpas|reverencia|reverencia: ton de pel moi escuro|ton de pel moi escuro|xesto
🙇‍♂️;home facendo unha reverencia;desculpas|home|home facendo unha reverencia|reverencia|xesto
	🙇🏻‍♂️;home facendo unha reverencia: ton de pel moi claro;desculpas|home|home facendo unha reverencia|home facendo unha reverencia: ton de pel moi claro|reverencia|ton de pel moi claro|xesto
	🙇🏼‍♂️;home facendo unha reverencia: ton de pel claro;desculpas|home|home facendo unha reverencia|home facendo unha reverencia: ton de pel claro|reverencia|ton de pel claro|xesto
	🙇🏽‍♂️;home facendo unha reverencia: ton de pel medio;desculpas|home|home facendo unha reverencia|home facendo unha reverencia: ton de pel medio|reverencia|ton de pel medio|xesto
	🙇🏾‍♂️;home facendo unha reverencia: ton de pel escuro;desculpas|home|home facendo unha reverencia|home facendo unha reverencia: ton de pel escuro|reverencia|ton de pel escuro|xesto
	🙇🏿‍♂️;home facendo unha reverencia: ton de pel moi escuro;desculpas|home|home facendo unha reverencia|home facendo unha reverencia: ton de pel moi escuro|reverencia|ton de pel moi escuro|xesto
🙇‍♀️;muller facendo unha reverencia;desculpas|muller|muller facendo unha reverencia|reverencia|xesto
	🙇🏻‍♀️;muller facendo unha reverencia: ton de pel moi claro;desculpas|muller|muller facendo unha reverencia|muller facendo unha reverencia: ton de pel moi claro|reverencia|ton de pel moi claro|xesto
	🙇🏼‍♀️;muller facendo unha reverencia: ton de pel claro;desculpas|muller|muller facendo unha reverencia|muller facendo unha reverencia: ton de pel claro|reverencia|ton de pel claro|xesto
	🙇🏽‍♀️;muller facendo unha reverencia: ton de pel medio;desculpas|muller|muller facendo unha reverencia|muller facendo unha reverencia: ton de pel medio|reverencia|ton de pel medio|xesto
	🙇🏾‍♀️;muller facendo unha reverencia: ton de pel escuro;desculpas|muller|muller facendo unha reverencia|muller facendo unha reverencia: ton de pel escuro|reverencia|ton de pel escuro|xesto
	🙇🏿‍♀️;muller facendo unha reverencia: ton de pel moi escuro;desculpas|muller|muller facendo unha reverencia|muller facendo unha reverencia: ton de pel moi escuro|reverencia|ton de pel moi escuro|xesto
🤦;incredulidade;cara|exasperación|incredulidade
	🤦🏻;incredulidade: ton de pel moi claro;cara|exasperación|incredulidade|incredulidade: ton de pel moi claro|ton de pel moi claro
	🤦🏼;incredulidade: ton de pel claro;cara|exasperación|incredulidade|incredulidade: ton de pel claro|ton de pel claro
	🤦🏽;incredulidade: ton de pel medio;cara|exasperación|incredulidade|incredulidade: ton de pel medio|ton de pel medio
	🤦🏾;incredulidade: ton de pel escuro;cara|exasperación|incredulidade|incredulidade: ton de pel escuro|ton de pel escuro
	🤦🏿;incredulidade: ton de pel moi escuro;cara|exasperación|incredulidade|incredulidade: ton de pel moi escuro|ton de pel moi escuro
🤦‍♂️;home facendo xesto de incredulidade;exasperación|fronte|home|home facendo xesto de incredulidade|xesto
	🤦🏻‍♂️;home facendo xesto de incredulidade: ton de pel moi claro;exasperación|fronte|home|home facendo xesto de incredulidade|home facendo xesto de incredulidade: ton de pel moi claro|ton de pel moi claro|xesto
	🤦🏼‍♂️;home facendo xesto de incredulidade: ton de pel claro;exasperación|fronte|home|home facendo xesto de incredulidade|home facendo xesto de incredulidade: ton de pel claro|ton de pel claro|xesto
	🤦🏽‍♂️;home facendo xesto de incredulidade: ton de pel medio;exasperación|fronte|home|home facendo xesto de incredulidade|home facendo xesto de incredulidade: ton de pel medio|ton de pel medio|xesto
	🤦🏾‍♂️;home facendo xesto de incredulidade: ton de pel escuro;exasperación|fronte|home|home facendo xesto de incredulidade|home facendo xesto de incredulidade: ton de pel escuro|ton de pel escuro|xesto
	🤦🏿‍♂️;home facendo xesto de incredulidade: ton de pel moi escuro;exasperación|fronte|home|home facendo xesto de incredulidade|home facendo xesto de incredulidade: ton de pel moi escuro|ton de pel moi escuro|xesto
🤦‍♀️;muller facendo xesto de incredulidade;exasperación|fronte|muller|muller facendo xesto de incredulidade|xesto
	🤦🏻‍♀️;muller facendo xesto de incredulidade: ton de pel moi claro;exasperación|fronte|muller|muller facendo xesto de incredulidade|muller facendo xesto de incredulidade: ton de pel moi claro|ton de pel moi claro|xesto
	🤦🏼‍♀️;muller facendo xesto de incredulidade: ton de pel claro;exasperación|fronte|muller|muller facendo xesto de incredulidade|muller facendo xesto de incredulidade: ton de pel claro|ton de pel claro|xesto
	🤦🏽‍♀️;muller facendo xesto de incredulidade: ton de pel medio;exasperación|fronte|muller|muller facendo xesto de incredulidade|muller facendo xesto de incredulidade: ton de pel medio|ton de pel medio|xesto
	🤦🏾‍♀️;muller facendo xesto de incredulidade: ton de pel escuro;exasperación|fronte|muller|muller facendo xesto de incredulidade|muller facendo xesto de incredulidade: ton de pel escuro|ton de pel escuro|xesto
	🤦🏿‍♀️;muller facendo xesto de incredulidade: ton de pel moi escuro;exasperación|fronte|muller|muller facendo xesto de incredulidade|muller facendo xesto de incredulidade: ton de pel moi escuro|ton de pel moi escuro|xesto
🤷;xesto de &quot;nin idea&quot;;cara|dúbida|ignorancia|indiferenza|xesto de &quot;nin idea&quot;
	🤷🏻;xesto de &quot;nin idea&quot;: ton de pel moi claro;cara|dúbida|ignorancia|indiferenza|ton de pel moi claro|xesto de &quot;nin idea&quot;|xesto de &quot;nin idea&quot;: ton de pel moi claro
	🤷🏼;xesto de &quot;nin idea&quot;: ton de pel claro;cara|dúbida|ignorancia|indiferenza|ton de pel claro|xesto de &quot;nin idea&quot;|xesto de &quot;nin idea&quot;: ton de pel claro
	🤷🏽;xesto de &quot;nin idea&quot;: ton de pel medio;cara|dúbida|ignorancia|indiferenza|ton de pel medio|xesto de &quot;nin idea&quot;|xesto de &quot;nin idea&quot;: ton de pel medio
	🤷🏾;xesto de &quot;nin idea&quot;: ton de pel escuro;cara|dúbida|ignorancia|indiferenza|ton de pel escuro|xesto de &quot;nin idea&quot;|xesto de &quot;nin idea&quot;: ton de pel escuro
	🤷🏿;xesto de &quot;nin idea&quot;: ton de pel moi escuro;cara|dúbida|ignorancia|indiferenza|ton de pel moi escuro|xesto de &quot;nin idea&quot;|xesto de &quot;nin idea&quot;: ton de pel moi escuro
🤷‍♂️;home facendo xesto de “nin idea”;dúbida|home|home facendo xesto de “nin idea”|ignorancia|xesto
	🤷🏻‍♂️;home facendo xesto de “nin idea”: ton de pel moi claro;dúbida|home|home facendo xesto de “nin idea”|home facendo xesto de “nin idea”: ton de pel moi claro|ignorancia|ton de pel moi claro|xesto
	🤷🏼‍♂️;home facendo xesto de “nin idea”: ton de pel claro;dúbida|home|home facendo xesto de “nin idea”|home facendo xesto de “nin idea”: ton de pel claro|ignorancia|ton de pel claro|xesto
	🤷🏽‍♂️;home facendo xesto de “nin idea”: ton de pel medio;dúbida|home|home facendo xesto de “nin idea”|home facendo xesto de “nin idea”: ton de pel medio|ignorancia|ton de pel medio|xesto
	🤷🏾‍♂️;home facendo xesto de “nin idea”: ton de pel escuro;dúbida|home|home facendo xesto de “nin idea”|home facendo xesto de “nin idea”: ton de pel escuro|ignorancia|ton de pel escuro|xesto
	🤷🏿‍♂️;home facendo xesto de “nin idea”: ton de pel moi escuro;dúbida|home|home facendo xesto de “nin idea”|home facendo xesto de “nin idea”: ton de pel moi escuro|ignorancia|ton de pel moi escuro|xesto
🤷‍♀️;muller facendo xesto de “nin idea”;dúbida|ignorancia|muller|muller facendo xesto de “nin idea”|xesto
	🤷🏻‍♀️;muller facendo xesto de “nin idea”: ton de pel moi claro;dúbida|ignorancia|muller|muller facendo xesto de “nin idea”|muller facendo xesto de “nin idea”: ton de pel moi claro|ton de pel moi claro|xesto
	🤷🏼‍♀️;muller facendo xesto de “nin idea”: ton de pel claro;dúbida|ignorancia|muller|muller facendo xesto de “nin idea”|muller facendo xesto de “nin idea”: ton de pel claro|ton de pel claro|xesto
	🤷🏽‍♀️;muller facendo xesto de “nin idea”: ton de pel medio;dúbida|ignorancia|muller|muller facendo xesto de “nin idea”|muller facendo xesto de “nin idea”: ton de pel medio|ton de pel medio|xesto
	🤷🏾‍♀️;muller facendo xesto de “nin idea”: ton de pel escuro;dúbida|ignorancia|muller|muller facendo xesto de “nin idea”|muller facendo xesto de “nin idea”: ton de pel escuro|ton de pel escuro|xesto
	🤷🏿‍♀️;muller facendo xesto de “nin idea”: ton de pel moi escuro;dúbida|ignorancia|muller|muller facendo xesto de “nin idea”|muller facendo xesto de “nin idea”: ton de pel moi escuro|ton de pel moi escuro|xesto
🧑‍⚕️;persoa sanitaria;enfermeiro|home|médico|persoa sanitaria|sanitario
	🧑🏻‍⚕️;persoa sanitaria: ton de pel moi claro;enfermeiro|home|médico|persoa sanitaria|persoa sanitaria: ton de pel moi claro|sanitario|ton de pel moi claro
	🧑🏼‍⚕️;persoa sanitaria: ton de pel claro;enfermeiro|home|médico|persoa sanitaria|persoa sanitaria: ton de pel claro|sanitario|ton de pel claro
	🧑🏽‍⚕️;persoa sanitaria: ton de pel medio;enfermeiro|home|médico|persoa sanitaria|persoa sanitaria: ton de pel medio|sanitario|ton de pel medio
	🧑🏾‍⚕️;persoa sanitaria: ton de pel escuro;enfermeiro|home|médico|persoa sanitaria|persoa sanitaria: ton de pel escuro|sanitario|ton de pel escuro
	🧑🏿‍⚕️;persoa sanitaria: ton de pel moi escuro;enfermeiro|home|médico|persoa sanitaria|persoa sanitaria: ton de pel moi escuro|sanitario|ton de pel moi escuro
👨‍⚕️;traballador sanitario;enfermeiro|home|médico|traballador sanitario
	👨🏻‍⚕️;traballador sanitario: ton de pel moi claro;enfermeiro|home|médico|ton de pel moi claro|traballador sanitario|traballador sanitario: ton de pel moi claro
	👨🏼‍⚕️;traballador sanitario: ton de pel claro;enfermeiro|home|médico|ton de pel claro|traballador sanitario|traballador sanitario: ton de pel claro
	👨🏽‍⚕️;traballador sanitario: ton de pel medio;enfermeiro|home|médico|ton de pel medio|traballador sanitario|traballador sanitario: ton de pel medio
	👨🏾‍⚕️;traballador sanitario: ton de pel escuro;enfermeiro|home|médico|ton de pel escuro|traballador sanitario|traballador sanitario: ton de pel escuro
	👨🏿‍⚕️;traballador sanitario: ton de pel moi escuro;enfermeiro|home|médico|ton de pel moi escuro|traballador sanitario|traballador sanitario: ton de pel moi escuro
👩‍⚕️;traballadora sanitaria;enfermeira|médica|muller|traballadora sanitaria
	👩🏻‍⚕️;traballadora sanitaria: ton de pel moi claro;enfermeira|médica|muller|ton de pel moi claro|traballadora sanitaria|traballadora sanitaria: ton de pel moi claro
	👩🏼‍⚕️;traballadora sanitaria: ton de pel claro;enfermeira|médica|muller|ton de pel claro|traballadora sanitaria|traballadora sanitaria: ton de pel claro
	👩🏽‍⚕️;traballadora sanitaria: ton de pel medio;enfermeira|médica|muller|ton de pel medio|traballadora sanitaria|traballadora sanitaria: ton de pel medio
	👩🏾‍⚕️;traballadora sanitaria: ton de pel escuro;enfermeira|médica|muller|ton de pel escuro|traballadora sanitaria|traballadora sanitaria: ton de pel escuro
	👩🏿‍⚕️;traballadora sanitaria: ton de pel moi escuro;enfermeira|médica|muller|ton de pel moi escuro|traballadora sanitaria|traballadora sanitaria: ton de pel moi escuro
🧑‍🎓;estudante;estudante|graduado|universitario
	🧑🏻‍🎓;estudante: ton de pel moi claro;estudante|estudante: ton de pel moi claro|graduado|ton de pel moi claro|universitario
	🧑🏼‍🎓;estudante: ton de pel claro;estudante|estudante: ton de pel claro|graduado|ton de pel claro|universitario
	🧑🏽‍🎓;estudante: ton de pel medio;estudante|estudante: ton de pel medio|graduado|ton de pel medio|universitario
	🧑🏾‍🎓;estudante: ton de pel escuro;estudante|estudante: ton de pel escuro|graduado|ton de pel escuro|universitario
	🧑🏿‍🎓;estudante: ton de pel moi escuro;estudante|estudante: ton de pel moi escuro|graduado|ton de pel moi escuro|universitario
👨‍🎓;estudante de sexo masculino;estudante|estudante de sexo masculino|graduado|home|universitario
	👨🏻‍🎓;estudante de sexo masculino: ton de pel moi claro;estudante|estudante de sexo masculino|estudante de sexo masculino: ton de pel moi claro|graduado|home|ton de pel moi claro|universitario
	👨🏼‍🎓;estudante de sexo masculino: ton de pel claro;estudante|estudante de sexo masculino|estudante de sexo masculino: ton de pel claro|graduado|home|ton de pel claro|universitario
	👨🏽‍🎓;estudante de sexo masculino: ton de pel medio;estudante|estudante de sexo masculino|estudante de sexo masculino: ton de pel medio|graduado|home|ton de pel medio|universitario
	👨🏾‍🎓;estudante de sexo masculino: ton de pel escuro;estudante|estudante de sexo masculino|estudante de sexo masculino: ton de pel escuro|graduado|home|ton de pel escuro|universitario
	👨🏿‍🎓;estudante de sexo masculino: ton de pel moi escuro;estudante|estudante de sexo masculino|estudante de sexo masculino: ton de pel moi escuro|graduado|home|ton de pel moi escuro|universitario
👩‍🎓;estudante de sexo feminino;estudante|estudante de sexo feminino|graduada|muller|universitaria
	👩🏻‍🎓;estudante de sexo feminino: ton de pel moi claro;estudante|estudante de sexo feminino|estudante de sexo feminino: ton de pel moi claro|graduada|muller|ton de pel moi claro|universitaria
	👩🏼‍🎓;estudante de sexo feminino: ton de pel claro;estudante|estudante de sexo feminino|estudante de sexo feminino: ton de pel claro|graduada|muller|ton de pel claro|universitaria
	👩🏽‍🎓;estudante de sexo feminino: ton de pel medio;estudante|estudante de sexo feminino|estudante de sexo feminino: ton de pel medio|graduada|muller|ton de pel medio|universitaria
	👩🏾‍🎓;estudante de sexo feminino: ton de pel escuro;estudante|estudante de sexo feminino|estudante de sexo feminino: ton de pel escuro|graduada|muller|ton de pel escuro|universitaria
	👩🏿‍🎓;estudante de sexo feminino: ton de pel moi escuro;estudante|estudante de sexo feminino|estudante de sexo feminino: ton de pel moi escuro|graduada|muller|ton de pel moi escuro|universitaria
🧑‍🏫;ensinante;ensinante|escola|mestre|profesor
	🧑🏻‍🏫;ensinante: ton de pel moi claro;ensinante|ensinante: ton de pel moi claro|escola|mestre|profesor|ton de pel moi claro
	🧑🏼‍🏫;ensinante: ton de pel claro;ensinante|ensinante: ton de pel claro|escola|mestre|profesor|ton de pel claro
	🧑🏽‍🏫;ensinante: ton de pel medio;ensinante|ensinante: ton de pel medio|escola|mestre|profesor|ton de pel medio
	🧑🏾‍🏫;ensinante: ton de pel escuro;ensinante|ensinante: ton de pel escuro|escola|mestre|profesor|ton de pel escuro
	🧑🏿‍🏫;ensinante: ton de pel moi escuro;ensinante|ensinante: ton de pel moi escuro|escola|mestre|profesor|ton de pel moi escuro
👨‍🏫;profesor;escola|home|mestre|profesor
	👨🏻‍🏫;profesor: ton de pel moi claro;escola|home|mestre|profesor|profesor: ton de pel moi claro|ton de pel moi claro
	👨🏼‍🏫;profesor: ton de pel claro;escola|home|mestre|profesor|profesor: ton de pel claro|ton de pel claro
	👨🏽‍🏫;profesor: ton de pel medio;escola|home|mestre|profesor|profesor: ton de pel medio|ton de pel medio
	👨🏾‍🏫;profesor: ton de pel escuro;escola|home|mestre|profesor|profesor: ton de pel escuro|ton de pel escuro
	👨🏿‍🏫;profesor: ton de pel moi escuro;escola|home|mestre|profesor|profesor: ton de pel moi escuro|ton de pel moi escuro
👩‍🏫;profesora;colexio|escola|mestra|muller|profesora
	👩🏻‍🏫;profesora: ton de pel moi claro;colexio|escola|mestra|muller|profesora|profesora: ton de pel moi claro|ton de pel moi claro
	👩🏼‍🏫;profesora: ton de pel claro;colexio|escola|mestra|muller|profesora|profesora: ton de pel claro|ton de pel claro
	👩🏽‍🏫;profesora: ton de pel medio;colexio|escola|mestra|muller|profesora|profesora: ton de pel medio|ton de pel medio
	👩🏾‍🏫;profesora: ton de pel escuro;colexio|escola|mestra|muller|profesora|profesora: ton de pel escuro|ton de pel escuro
	👩🏿‍🏫;profesora: ton de pel moi escuro;colexio|escola|mestra|muller|profesora|profesora: ton de pel moi escuro|ton de pel moi escuro
🧑‍⚖️;membro da xudicatura;balanza|membro da xudicatura|xudicatura|xuíz|xustiza
	🧑🏻‍⚖️;membro da xudicatura: ton de pel moi claro;balanza|membro da xudicatura|membro da xudicatura: ton de pel moi claro|ton de pel moi claro|xudicatura|xuíz|xustiza
	🧑🏼‍⚖️;membro da xudicatura: ton de pel claro;balanza|membro da xudicatura|membro da xudicatura: ton de pel claro|ton de pel claro|xudicatura|xuíz|xustiza
	🧑🏽‍⚖️;membro da xudicatura: ton de pel medio;balanza|membro da xudicatura|membro da xudicatura: ton de pel medio|ton de pel medio|xudicatura|xuíz|xustiza
	🧑🏾‍⚖️;membro da xudicatura: ton de pel escuro;balanza|membro da xudicatura|membro da xudicatura: ton de pel escuro|ton de pel escuro|xudicatura|xuíz|xustiza
	🧑🏿‍⚖️;membro da xudicatura: ton de pel moi escuro;balanza|membro da xudicatura|membro da xudicatura: ton de pel moi escuro|ton de pel moi escuro|xudicatura|xuíz|xustiza
👨‍⚖️;xuíz;balanza|home|xuíz|xustiza
	👨🏻‍⚖️;xuíz: ton de pel moi claro;balanza|home|ton de pel moi claro|xuíz|xuíz: ton de pel moi claro|xustiza
	👨🏼‍⚖️;xuíz: ton de pel claro;balanza|home|ton de pel claro|xuíz|xuíz: ton de pel claro|xustiza
	👨🏽‍⚖️;xuíz: ton de pel medio;balanza|home|ton de pel medio|xuíz|xuíz: ton de pel medio|xustiza
	👨🏾‍⚖️;xuíz: ton de pel escuro;balanza|home|ton de pel escuro|xuíz|xuíz: ton de pel escuro|xustiza
	👨🏿‍⚖️;xuíz: ton de pel moi escuro;balanza|home|ton de pel moi escuro|xuíz|xuíz: ton de pel moi escuro|xustiza
👩‍⚖️;xuíza;balanza|muller|xuíza|xustiza
	👩🏻‍⚖️;xuíza: ton de pel moi claro;balanza|muller|ton de pel moi claro|xuíza|xuíza: ton de pel moi claro|xustiza
	👩🏼‍⚖️;xuíza: ton de pel claro;balanza|muller|ton de pel claro|xuíza|xuíza: ton de pel claro|xustiza
	👩🏽‍⚖️;xuíza: ton de pel medio;balanza|muller|ton de pel medio|xuíza|xuíza: ton de pel medio|xustiza
	👩🏾‍⚖️;xuíza: ton de pel escuro;balanza|muller|ton de pel escuro|xuíza|xuíza: ton de pel escuro|xustiza
	👩🏿‍⚖️;xuíza: ton de pel moi escuro;balanza|muller|ton de pel moi escuro|xuíza|xuíza: ton de pel moi escuro|xustiza
🧑‍🌾;persoa dedicada á agricultura;agricultor|cultivo|gando|granxeiro|persoa dedicada á agricultura
	🧑🏻‍🌾;persoa dedicada á agricultura: ton de pel moi claro;agricultor|cultivo|gando|granxeiro|persoa dedicada á agricultura|persoa dedicada á agricultura: ton de pel moi claro|ton de pel moi claro
	🧑🏼‍🌾;persoa dedicada á agricultura: ton de pel claro;agricultor|cultivo|gando|granxeiro|persoa dedicada á agricultura|persoa dedicada á agricultura: ton de pel claro|ton de pel claro
	🧑🏽‍🌾;persoa dedicada á agricultura: ton de pel medio;agricultor|cultivo|gando|granxeiro|persoa dedicada á agricultura|persoa dedicada á agricultura: ton de pel medio|ton de pel medio
	🧑🏾‍🌾;persoa dedicada á agricultura: ton de pel escuro;agricultor|cultivo|gando|granxeiro|persoa dedicada á agricultura|persoa dedicada á agricultura: ton de pel escuro|ton de pel escuro
	🧑🏿‍🌾;persoa dedicada á agricultura: ton de pel moi escuro;agricultor|cultivo|gando|granxeiro|persoa dedicada á agricultura|persoa dedicada á agricultura: ton de pel moi escuro|ton de pel moi escuro
👨‍🌾;agricultor;agricultor|cultivo|gando|granxeiro|home
	👨🏻‍🌾;agricultor: ton de pel moi claro;agricultor|agricultor: ton de pel moi claro|cultivo|gando|granxeiro|home|ton de pel moi claro
	👨🏼‍🌾;agricultor: ton de pel claro;agricultor|agricultor: ton de pel claro|cultivo|gando|granxeiro|home|ton de pel claro
	👨🏽‍🌾;agricultor: ton de pel medio;agricultor|agricultor: ton de pel medio|cultivo|gando|granxeiro|home|ton de pel medio
	👨🏾‍🌾;agricultor: ton de pel escuro;agricultor|agricultor: ton de pel escuro|cultivo|gando|granxeiro|home|ton de pel escuro
	👨🏿‍🌾;agricultor: ton de pel moi escuro;agricultor|agricultor: ton de pel moi escuro|cultivo|gando|granxeiro|home|ton de pel moi escuro
👩‍🌾;agricultora;agricultora|cultivo|gando|granxeira|muller
	👩🏻‍🌾;agricultora: ton de pel moi claro;agricultora|agricultora: ton de pel moi claro|cultivo|gando|granxeira|muller|ton de pel moi claro
	👩🏼‍🌾;agricultora: ton de pel claro;agricultora|agricultora: ton de pel claro|cultivo|gando|granxeira|muller|ton de pel claro
	👩🏽‍🌾;agricultora: ton de pel medio;agricultora|agricultora: ton de pel medio|cultivo|gando|granxeira|muller|ton de pel medio
	👩🏾‍🌾;agricultora: ton de pel escuro;agricultora|agricultora: ton de pel escuro|cultivo|gando|granxeira|muller|ton de pel escuro
	👩🏿‍🌾;agricultora: ton de pel moi escuro;agricultora|agricultora: ton de pel moi escuro|cultivo|gando|granxeira|muller|ton de pel moi escuro
🧑‍🍳;profesional da cociña;cociña|profesional da cociña|xefe de cociña
	🧑🏻‍🍳;profesional da cociña: ton de pel moi claro;cociña|profesional da cociña|profesional da cociña: ton de pel moi claro|ton de pel moi claro|xefe de cociña
