# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;嘿嘿;嘿嘿|笑脸|脸
🧑‍⚕️;卫生工作者;医生|卫生工作者|护士|治疗师
	🧑🏻‍⚕️;卫生工作者: 较浅肤色;医生|卫生工作者|卫生工作者: 较浅肤色|护士|治疗师|较浅肤色
	🧑🏼‍⚕️;卫生工作者: 中等-浅肤色;中等-浅肤色|医生|卫生工作者|卫生工作者: 中等-浅肤色|护士|治疗师
	🧑🏽‍⚕️;卫生工作者: 中等肤色;中等肤色|医生|卫生工作者|卫生工作者: 中等肤色|护士|治疗师
	🧑🏾‍⚕️;卫生工作者: 中等-深肤色;中等-深肤色|医生|卫生工作者|卫生工作者: 中等-深肤色|护士|治疗师
	🧑🏿‍⚕️;卫生工作者: 较深肤色;医生|卫生工作者|卫生工作者: 较深肤色|护士|治疗师|较深肤色
👨‍⚕️;男医生;医护人员|医生|护士|治疗师|男人|男医生
	👨🏻‍⚕️;男医生: 较浅肤色;医护人员|医生|护士|治疗师|男人|男医生|男医生: 较浅肤色|较浅肤色
	👨🏼‍⚕️;男医生: 中等-浅肤色;中等-浅肤色|医护人员|医生|护士|治疗师|男人|男医生|男医生: 中等-浅肤色
	👨🏽‍⚕️;男医生: 中等肤色;中等肤色|医护人员|医生|护士|治疗师|男人|男医生|男医生: 中等肤色
	👨🏾‍⚕️;男医生: 中等-深肤色;中等-深肤色|医护人员|医生|护士|治疗师|男人|男医生|男医生: 中等-深肤色
	👨🏿‍⚕️;男医生: 较深肤色;医护人员|医生|护士|治疗师|男人|男医生|男医生: 较深肤色|较深肤色
👩‍⚕️;女医生;医护人员|医生|女人|女医生|护士|治疗师
	👩🏻‍⚕️;女医生: 较浅肤色;医护人员|医生|女人|女医生|女医生: 较浅肤色|护士|治疗师|较浅肤色
	👩🏼‍⚕️;女医生: 中等-浅肤色;中等-浅肤色|医护人员|医生|女人|女医生|女医生: 中等-浅肤色|护士|治疗师
	👩🏽‍⚕️;女医生: 中等肤色;中等肤色|医护人员|医生|女人|女医生|女医生: 中等肤色|护士|治疗师
	👩🏾‍⚕️;女医生: 中等-深肤色;中等-深肤色|医护人员|医生|女人|女医生|女医生: 中等-深肤色|护士|治疗师
	👩🏿‍⚕️;女医生: 较深肤色;医护人员|医生|女人|女医生|女医生: 较深肤色|护士|治疗师|较深肤色
🧑‍🎓;学生;学生|毕业|毕业生
	🧑🏻‍🎓;学生: 较浅肤色;学生|学生: 较浅肤色|毕业|毕业生|较浅肤色
	🧑🏼‍🎓;学生: 中等-浅肤色;中等-浅肤色|学生|学生: 中等-浅肤色|毕业|毕业生
	🧑🏽‍🎓;学生: 中等肤色;中等肤色|学生|学生: 中等肤色|毕业|毕业生
	🧑🏾‍🎓;学生: 中等-深肤色;中等-深肤色|学生|学生: 中等-深肤色|毕业|毕业生
	🧑🏿‍🎓;学生: 较深肤色;学生|学生: 较深肤色|毕业|毕业生|较深肤色
👨‍🎓;男学生;学生|毕业|男|男学生
	👨🏻‍🎓;男学生: 较浅肤色;学生|毕业|男|男学生|男学生: 较浅肤色|较浅肤色
	👨🏼‍🎓;男学生: 中等-浅肤色;中等-浅肤色|学生|毕业|男|男学生|男学生: 中等-浅肤色
	👨🏽‍🎓;男学生: 中等肤色;中等肤色|学生|毕业|男|男学生|男学生: 中等肤色
	👨🏾‍🎓;男学生: 中等-深肤色;中等-深肤色|学生|毕业|男|男学生|男学生: 中等-深肤色
	👨🏿‍🎓;男学生: 较深肤色;学生|毕业|男|男学生|男学生: 较深肤色|较深肤色
👩‍🎓;女学生;女|女学生|学生|毕业
	👩🏻‍🎓;女学生: 较浅肤色;女|女学生|女学生: 较浅肤色|学生|毕业|较浅肤色
	👩🏼‍🎓;女学生: 中等-浅肤色;中等-浅肤色|女|女学生|女学生: 中等-浅肤色|学生|毕业
	👩🏽‍🎓;女学生: 中等肤色;中等肤色|女|女学生|女学生: 中等肤色|学生|毕业
	👩🏾‍🎓;女学生: 中等-深肤色;中等-深肤色|女|女学生|女学生: 中等-深肤色|学生|毕业
	👩🏿‍🎓;女学生: 较深肤色;女|女学生|女学生: 较深肤色|学生|毕业|较深肤色
🧑‍🏫;老师;教师|教授|老师
	🧑🏻‍🏫;老师: 较浅肤色;教师|教授|老师|老师: 较浅肤色|较浅肤色
	🧑🏼‍🏫;老师: 中等-浅肤色;中等-浅肤色|教师|教授|老师|老师: 中等-浅肤色
	🧑🏽‍🏫;老师: 中等肤色;中等肤色|教师|教授|老师|老师: 中等肤色
	🧑🏾‍🏫;老师: 中等-深肤色;中等-深肤色|教师|教授|老师|老师: 中等-深肤色
	🧑🏿‍🏫;老师: 较深肤色;教师|教授|老师|老师: 较深肤色|较深肤色
👨‍🏫;男老师;教师|教授|男|男老师|老师
	👨🏻‍🏫;男老师: 较浅肤色;教师|教授|男|男老师|男老师: 较浅肤色|老师|较浅肤色
	👨🏼‍🏫;男老师: 中等-浅肤色;中等-浅肤色|教师|教授|男|男老师|男老师: 中等-浅肤色|老师
	👨🏽‍🏫;男老师: 中等肤色;中等肤色|教师|教授|男|男老师|男老师: 中等肤色|老师
	👨🏾‍🏫;男老师: 中等-深肤色;中等-深肤色|教师|教授|男|男老师|男老师: 中等-深肤色|老师
	👨🏿‍🏫;男老师: 较深肤色;教师|教授|男|男老师|男老师: 较深肤色|老师|较深肤色
👩‍🏫;女老师;女|女老师|教师|教授|老师
	👩🏻‍🏫;女老师: 较浅肤色;女|女老师|女老师: 较浅肤色|教师|教授|老师|较浅肤色
	👩🏼‍🏫;女老师: 中等-浅肤色;中等-浅肤色|女|女老师|女老师: 中等-浅肤色|教师|教授|老师
	👩🏽‍🏫;女老师: 中等肤色;中等肤色|女|女老师|女老师: 中等肤色|教师|教授|老师
	👩🏾‍🏫;女老师: 中等-深肤色;中等-深肤色|女|女老师|女老师: 中等-深肤色|教师|教授|老师
	👩🏿‍🏫;女老师: 较深肤色;女|女老师|女老师: 较深肤色|教师|教授|老师|较深肤色
🧑‍⚖️;法官;法官|法律
	🧑🏻‍⚖️;法官: 较浅肤色;法官|法官: 较浅肤色|法律|较浅肤色
	🧑🏼‍⚖️;法官: 中等-浅肤色;中等-浅肤色|法官|法官: 中等-浅肤色|法律
	🧑🏽‍⚖️;法官: 中等肤色;中等肤色|法官|法官: 中等肤色|法律
	🧑🏾‍⚖️;法官: 中等-深肤色;中等-深肤色|法官|法官: 中等-深肤色|法律
	🧑🏿‍⚖️;法官: 较深肤色;法官|法官: 较深肤色|法律|较深肤色
👨‍⚖️;男法官;正义|法官|法律|男|男法官
	👨🏻‍⚖️;男法官: 较浅肤色;正义|法官|法律|男|男法官|男法官: 较浅肤色|较浅肤色
	👨🏼‍⚖️;男法官: 中等-浅肤色;中等-浅肤色|正义|法官|法律|男|男法官|男法官: 中等-浅肤色
	👨🏽‍⚖️;男法官: 中等肤色;中等肤色|正义|法官|法律|男|男法官|男法官: 中等肤色
	👨🏾‍⚖️;男法官: 中等-深肤色;中等-深肤色|正义|法官|法律|男|男法官|男法官: 中等-深肤色
	👨🏿‍⚖️;男法官: 较深肤色;正义|法官|法律|男|男法官|男法官: 较深肤色|较深肤色
👩‍⚖️;女法官;女|女法官|正义|法官|法律
	👩🏻‍⚖️;女法官: 较浅肤色;女|女法官|女法官: 较浅肤色|正义|法官|法律|较浅肤色
	👩🏼‍⚖️;女法官: 中等-浅肤色;中等-浅肤色|女|女法官|女法官: 中等-浅肤色|正义|法官|法律
	👩🏽‍⚖️;女法官: 中等肤色;中等肤色|女|女法官|女法官: 中等肤色|正义|法官|法律
	👩🏾‍⚖️;女法官: 中等-深肤色;中等-深肤色|女|女法官|女法官: 中等-深肤色|正义|法官|法律
	👩🏿‍⚖️;女法官: 较深肤色;女|女法官|女法官: 较深肤色|正义|法官|法律|较深肤色
🧑‍🌾;农民;农民|园丁
	🧑🏻‍🌾;农民: 较浅肤色;农民|农民: 较浅肤色|园丁|较浅肤色
	🧑🏼‍🌾;农民: 中等-浅肤色;中等-浅肤色|农民|农民: 中等-浅肤色|园丁
	🧑🏽‍🌾;农民: 中等肤色;中等肤色|农民|农民: 中等肤色|园丁
	🧑🏾‍🌾;农民: 中等-深肤色;中等-深肤色|农民|农民: 中等-深肤色|园丁
	🧑🏿‍🌾;农民: 较深肤色;农民|农民: 较深肤色|园丁|较深肤色
👨‍🌾;农夫;农夫|农民|园丁|男
	👨🏻‍🌾;农夫: 较浅肤色;农夫|农夫: 较浅肤色|农民|园丁|男|较浅肤色
	👨🏼‍🌾;农夫: 中等-浅肤色;中等-浅肤色|农夫|农夫: 中等-浅肤色|农民|园丁|男
	👨🏽‍🌾;农夫: 中等肤色;中等肤色|农夫|农夫: 中等肤色|农民|园丁|男
	👨🏾‍🌾;农夫: 中等-深肤色;中等-深肤色|农夫|农夫: 中等-深肤色|农民|园丁|男
	👨🏿‍🌾;农夫: 较深肤色;农夫|农夫: 较深肤色|农民|园丁|男|较深肤色
👩‍🌾;农妇;农妇|农民|园丁|女
	👩🏻‍🌾;农妇: 较浅肤色;农妇|农妇: 较浅肤色|农民|园丁|女|较浅肤色
	👩🏼‍🌾;农妇: 中等-浅肤色;中等-浅肤色|农妇|农妇: 中等-浅肤色|农民|园丁|女
	👩🏽‍🌾;农妇: 中等肤色;中等肤色|农妇|农妇: 中等肤色|农民|园丁|女
	👩🏾‍🌾;农妇: 中等-深肤色;中等-深肤色|农妇|农妇: 中等-深肤色|农民|园丁|女
	👩🏿‍🌾;农妇: 较深肤色;农妇|农妇: 较深肤色|农民|园丁|女|较深肤色
🧑‍🍳;厨师;做饭|厨师|大厨
	🧑🏻‍🍳;厨师: 较浅肤色;做饭|厨师|厨师: 较浅肤色|大厨|较浅肤色
	🧑🏼‍🍳;厨师: 中等-浅肤色;中等-浅肤色|做饭|厨师|厨师: 中等-浅肤色|大厨
	🧑🏽‍🍳;厨师: 中等肤色;中等肤色|做饭|厨师|厨师: 中等肤色|大厨
	🧑🏾‍🍳;厨师: 中等-深肤色;中等-深肤色|做饭|厨师|厨师: 中等-深肤色|大厨
	🧑🏿‍🍳;厨师: 较深肤色;做饭|厨师|厨师: 较深肤色|大厨|较深肤色
👨‍🍳;男厨师;做饭|厨师|大厨|男|男厨师
	👨🏻‍🍳;男厨师: 较浅肤色;做饭|厨师|大厨|男|男厨师|男厨师: 较浅肤色|较浅肤色
	👨🏼‍🍳;男厨师: 中等-浅肤色;中等-浅肤色|做饭|厨师|大厨|男|男厨师|男厨师: 中等-浅肤色
	👨🏽‍🍳;男厨师: 中等肤色;中等肤色|做饭|厨师|大厨|男|男厨师|男厨师: 中等肤色
	👨🏾‍🍳;男厨师: 中等-深肤色;中等-深肤色|做饭|厨师|大厨|男|男厨师|男厨师: 中等-深肤色
	👨🏿‍🍳;男厨师: 较深肤色;做饭|厨师|大厨|男|男厨师|男厨师: 较深肤色|较深肤色
👩‍🍳;女厨师;做饭|厨师|大厨|女|女厨师
	👩🏻‍🍳;女厨师: 较浅肤色;做饭|厨师|大厨|女|女厨师|女厨师: 较浅肤色|较浅肤色
	👩🏼‍🍳;女厨师: 中等-浅肤色;中等-浅肤色|做饭|厨师|大厨|女|女厨师|女厨师: 中等-浅肤色
	👩🏽‍🍳;女厨师: 中等肤色;中等肤色|做饭|厨师|大厨|女|女厨师|女厨师: 中等肤色
	👩🏾‍🍳;女厨师: 中等-深肤色;中等-深肤色|做饭|厨师|大厨|女|女厨师|女厨师: 中等-深肤色
	👩🏿‍🍳;女厨师: 较深肤色;做饭|厨师|大厨|女|女厨师|女厨师: 较深肤色|较深肤色
🧑‍🔧;技工;技工|水管工|电工
	🧑🏻‍🔧;技工: 较浅肤色;技工|技工: 较浅肤色|水管工|电工|较浅肤色
	🧑🏼‍🔧;技工: 中等-浅肤色;中等-浅肤色|技工|技工: 中等-浅肤色|水管工|电工
	🧑🏽‍🔧;技工: 中等肤色;中等肤色|技工|技工: 中等肤色|水管工|电工
	🧑🏾‍🔧;技工: 中等-深肤色;中等-深肤色|技工|技工: 中等-深肤色|水管工|电工
	🧑🏿‍🔧;技工: 较深肤色;技工|技工: 较深肤色|水管工|电工|较深肤色
👨‍🔧;男技工;技工|水管工|电工|男|男技工
	👨🏻‍🔧;男技工: 较浅肤色;技工|水管工|电工|男|男技工|男技工: 较浅肤色|较浅肤色
	👨🏼‍🔧;男技工: 中等-浅肤色;中等-浅肤色|技工|水管工|电工|男|男技工|男技工: 中等-浅肤色
	👨🏽‍🔧;男技工: 中等肤色;中等肤色|技工|水管工|电工|男|男技工|男技工: 中等肤色
	👨🏾‍🔧;男技工: 中等-深肤色;中等-深肤色|技工|水管工|电工|男|男技工|男技工: 中等-深肤色
	👨🏿‍🔧;男技工: 较深肤色;技工|水管工|电工|男|男技工|男技工: 较深肤色|较深肤色
👩‍🔧;女技工;女|女技工|技工|水管工|电工
	👩🏻‍🔧;女技工: 较浅肤色;女|女技工|女技工: 较浅肤色|技工|水管工|电工|较浅肤色
	👩🏼‍🔧;女技工: 中等-浅肤色;中等-浅肤色|女|女技工|女技工: 中等-浅肤色|技工|水管工|电工
	👩🏽‍🔧;女技工: 中等肤色;中等肤色|女|女技工|女技工: 中等肤色|技工|水管工|电工
	👩🏾‍🔧;女技工: 中等-深肤色;中等-深肤色|女|女技工|女技工: 中等-深肤色|技工|水管工|电工
	👩🏿‍🔧;女技工: 较深肤色;女|女技工|女技工: 较深肤色|技工|水管工|电工|较深肤色
🧑‍🏭;工人;工业|工人|工厂|装配
	🧑🏻‍🏭;工人: 较浅肤色;工业|工人|工人: 较浅肤色|工厂|装配|较浅肤色
	🧑🏼‍🏭;工人: 中等-浅肤色;中等-浅肤色|工业|工人|工人: 中等-浅肤色|工厂|装配
	🧑🏽‍🏭;工人: 中等肤色;中等肤色|工业|工人|工人: 中等肤色|工厂|装配
	🧑🏾‍🏭;工人: 中等-深肤色;中等-深肤色|工业|工人|工人: 中等-深肤色|工厂|装配
	🧑🏿‍🏭;工人: 较深肤色;工业|工人|工人: 较深肤色|工厂|装配|较深肤色
👨‍🏭;男工人;工业|工厂|男工人|装配
	👨🏻‍🏭;男工人: 较浅肤色;工业|工厂|男工人|男工人: 较浅肤色|装配|较浅肤色
	👨🏼‍🏭;男工人: 中等-浅肤色;中等-浅肤色|工业|工厂|男工人|男工人: 中等-浅肤色|装配
	👨🏽‍🏭;男工人: 中等肤色;中等肤色|工业|工厂|男工人|男工人: 中等肤色|装配
	👨🏾‍🏭;男工人: 中等-深肤色;中等-深肤色|工业|工厂|男工人|男工人: 中等-深肤色|装配
	👨🏿‍🏭;男工人: 较深肤色;工业|工厂|男工人|男工人: 较深肤色|装配|较深肤色
👩‍🏭;女工人;女工人|工业|工厂|装配
	👩🏻‍🏭;女工人: 较浅肤色;女工人|女工人: 较浅肤色|工业|工厂|装配|较浅肤色
	👩🏼‍🏭;女工人: 中等-浅肤色;中等-浅肤色|女工人|女工人: 中等-浅肤色|工业|工厂|装配
	👩🏽‍🏭;女工人: 中等肤色;中等肤色|女工人|女工人: 中等肤色|工业|工厂|装配
	👩🏾‍🏭;女工人: 中等-深肤色;中等-深肤色|女工人|女工人: 中等-深肤色|工业|工厂|装配
	👩🏿‍🏭;女工人: 较深肤色;女工人|女工人: 较深肤色|工业|工厂|装配|较深肤色
🧑‍💼;白领;商人|建筑师|白领|经理
	🧑🏻‍💼;白领: 较浅肤色;商人|建筑师|白领|白领: 较浅肤色|经理|较浅肤色
	🧑🏼‍💼;白领: 中等-浅肤色;中等-浅肤色|商人|建筑师|白领|白领: 中等-浅肤色|经理
	🧑🏽‍💼;白领: 中等肤色;中等肤色|商人|建筑师|白领|白领: 中等肤色|经理
	🧑🏾‍💼;白领: 中等-深肤色;中等-深肤色|商人|建筑师|白领|白领: 中等-深肤色|经理
	🧑🏿‍💼;白领: 较深肤色;商人|建筑师|白领|白领: 较深肤色|经理|较深肤色
👨‍💼;男白领;商人|建筑师|男白领|经理
	👨🏻‍💼;男白领: 较浅肤色;商人|建筑师|男白领|男白领: 较浅肤色|经理|较浅肤色
	👨🏼‍💼;男白领: 中等-浅肤色;中等-浅肤色|商人|建筑师|男白领|男白领: 中等-浅肤色|经理
	👨🏽‍💼;男白领: 中等肤色;中等肤色|商人|建筑师|男白领|男白领: 中等肤色|经理
	👨🏾‍💼;男白领: 中等-深肤色;中等-深肤色|商人|建筑师|男白领|男白领: 中等-深肤色|经理
	👨🏿‍💼;男白领: 较深肤色;商人|建筑师|男白领|男白领: 较深肤色|经理|较深肤色
👩‍💼;女白领;商人|女白领|建筑师|经理
	👩🏻‍💼;女白领: 较浅肤色;商人|女白领|女白领: 较浅肤色|建筑师|经理|较浅肤色
	👩🏼‍💼;女白领: 中等-浅肤色;中等-浅肤色|商人|女白领|女白领: 中等-浅肤色|建筑师|经理
	👩🏽‍💼;女白领: 中等肤色;中等肤色|商人|女白领|女白领: 中等肤色|建筑师|经理
	👩🏾‍💼;女白领: 中等-深肤色;中等-深肤色|商人|女白领|女白领: 中等-深肤色|建筑师|经理
	👩🏿‍💼;女白领: 较深肤色;商人|女白领|女白领: 较深肤色|建筑师|经理|较深肤色
🧑‍🔬;科学家;化学家|工程学家|物理学家|生物学家|科学家
	🧑🏻‍🔬;科学家: 较浅肤色;化学家|工程学家|物理学家|生物学家|科学家|科学家: 较浅肤色|较浅肤色
	🧑🏼‍🔬;科学家: 中等-浅肤色;中等-浅肤色|化学家|工程学家|物理学家|生物学家|科学家|科学家: 中等-浅肤色
	🧑🏽‍🔬;科学家: 中等肤色;中等肤色|化学家|工程学家|物理学家|生物学家|科学家|科学家: 中等肤色
	🧑🏾‍🔬;科学家: 中等-深肤色;中等-深肤色|化学家|工程学家|物理学家|生物学家|科学家|科学家: 中等-深肤色
	🧑🏿‍🔬;科学家: 较深肤色;化学家|工程学家|物理学家|生物学家|科学家|科学家: 较深肤色|较深肤色
👨‍🔬;男科学家;化学家|工程学家|物理学家|生物学家|男|男科学家|科学家
	👨🏻‍🔬;男科学家: 较浅肤色;化学家|工程学家|物理学家|生物学家|男|男科学家|男科学家: 较浅肤色|科学家|较浅肤色
	👨🏼‍🔬;男科学家: 中等-浅肤色;中等-浅肤色|化学家|工程学家|物理学家|生物学家|男|男科学家|男科学家: 中等-浅肤色|科学家
	👨🏽‍🔬;男科学家: 中等肤色;中等肤色|化学家|工程学家|物理学家|生物学家|男|男科学家|男科学家: 中等肤色|科学家
	👨🏾‍🔬;男科学家: 中等-深肤色;中等-深肤色|化学家|工程学家|物理学家|生物学家|男|男科学家|男科学家: 中等-深肤色|科学家
	👨🏿‍🔬;男科学家: 较深肤色;化学家|工程学家|物理学家|生物学家|男|男科学家|男科学家: 较深肤色|科学家|较深肤色
👩‍🔬;女科学家;化学家|女|女科学家|工程学家|物理学家|生物学家|科学家
	👩🏻‍🔬;女科学家: 较浅肤色;化学家|女|女科学家|女科学家: 较浅肤色|工程学家|物理学家|生物学家|科学家|较浅肤色
	👩🏼‍🔬;女科学家: 中等-浅肤色;中等-浅肤色|化学家|女|女科学家|女科学家: 中等-浅肤色|工程学家|物理学家|生物学家|科学家
	👩🏽‍🔬;女科学家: 中等肤色;中等肤色|化学家|女|女科学家|女科学家: 中等肤色|工程学家|物理学家|生物学家|科学家
	👩🏾‍🔬;女科学家: 中等-深肤色;中等-深肤色|化学家|女|女科学家|女科学家: 中等-深肤色|工程学家|物理学家|生物学家|科学家
	👩🏿‍🔬;女科学家: 较深肤色;化学家|女|女科学家|女科学家: 较深肤色|工程学家|物理学家|生物学家|科学家|较深肤色
🧑‍💻;程序员;发明|开发人员|码农|程序员|软件
	🧑🏻‍💻;程序员: 较浅肤色;发明|开发人员|码农|程序员|程序员: 较浅肤色|软件|较浅肤色
	🧑🏼‍💻;程序员: 中等-浅肤色;中等-浅肤色|发明|开发人员|码农|程序员|程序员: 中等-浅肤色|软件
	🧑🏽‍💻;程序员: 中等肤色;中等肤色|发明|开发人员|码农|程序员|程序员: 中等肤色|软件
	🧑🏾‍💻;程序员: 中等-深肤色;中等-深肤色|发明|开发人员|码农|程序员|程序员: 中等-深肤色|软件
	🧑🏿‍💻;程序员: 较深肤色;发明|开发人员|码农|程序员|程序员: 较深肤色|软件|较深肤色
👨‍💻;男程序员;发明家|开发人员|男|男程序员|码农|程序员|软件
	👨🏻‍💻;男程序员: 较浅肤色;发明家|开发人员|男|男程序员|男程序员: 较浅肤色|码农|程序员|软件|较浅肤色
	👨🏼‍💻;男程序员: 中等-浅肤色;中等-浅肤色|发明家|开发人员|男|男程序员|男程序员: 中等-浅肤色|码农|程序员|软件
	👨🏽‍💻;男程序员: 中等肤色;中等肤色|发明家|开发人员|男|男程序员|男程序员: 中等肤色|码农|程序员|软件
	👨🏾‍💻;男程序员: 中等-深肤色;中等-深肤色|发明家|开发人员|男|男程序员|男程序员: 中等-深肤色|码农|程序员|软件
	👨🏿‍💻;男程序员: 较深肤色;发明家|开发人员|男|男程序员|男程序员: 较深肤色|码农|程序员|软件|较深肤色
👩‍💻;女程序员;发明家|女|女程序员|开发人员|码农|程序员|软件
	👩🏻‍💻;女程序员: 较浅肤色;发明家|女|女程序员|女程序员: 较浅肤色|开发人员|码农|程序员|软件|较浅肤色
	👩🏼‍💻;女程序员: 中等-浅肤色;中等-浅肤色|发明家|女|女程序员|女程序员: 中等-浅肤色|开发人员|码农|程序员|软件
	👩🏽‍💻;女程序员: 中等肤色;中等肤色|发明家|女|女程序员|女程序员: 中等肤色|开发人员|码农|程序员|软件
	👩🏾‍💻;女程序员: 中等-深肤色;中等-深肤色|发明家|女|女程序员|女程序员: 中等-深肤色|开发人员|码农|程序员|软件
	👩🏿‍💻;女程序员: 较深肤色;发明家|女|女程序员|女程序员: 较深肤色|开发人员|码农|程序员|软件|较深肤色
🧑‍🎤;歌手;摇滚歌手|明星|歌手|演员|艺人
	🧑🏻‍🎤;歌手: 较浅肤色;摇滚歌手|明星|歌手|歌手: 较浅肤色|演员|艺人|较浅肤色
	🧑🏼‍🎤;歌手: 中等-浅肤色;中等-浅肤色|摇滚歌手|明星|歌手|歌手: 中等-浅肤色|演员|艺人
	🧑🏽‍🎤;歌手: 中等肤色;中等肤色|摇滚歌手|明星|歌手|歌手: 中等肤色|演员|艺人
	🧑🏾‍🎤;歌手: 中等-深肤色;中等-深肤色|摇滚歌手|明星|歌手|歌手: 中等-深肤色|演员|艺人
	🧑🏿‍🎤;歌手: 较深肤色;摇滚歌手|明星|歌手|歌手: 较深肤色|演员|艺人|较深肤色
👨‍🎤;男歌手;摇滚歌手|明星|男|男歌手|男演员|艺人
	👨🏻‍🎤;男歌手: 较浅肤色;摇滚歌手|明星|男|男歌手|男歌手: 较浅肤色|男演员|艺人|较浅肤色
	👨🏼‍🎤;男歌手: 中等-浅肤色;中等-浅肤色|摇滚歌手|明星|男|男歌手|男歌手: 中等-浅肤色|男演员|艺人
	👨🏽‍🎤;男歌手: 中等肤色;中等肤色|摇滚歌手|明星|男|男歌手|男歌手: 中等肤色|男演员|艺人
	👨🏾‍🎤;男歌手: 中等-深肤色;中等-深肤色|摇滚歌手|明星|男|男歌手|男歌手: 中等-深肤色|男演员|艺人
	👨🏿‍🎤;男歌手: 较深肤色;摇滚歌手|明星|男|男歌手|男歌手: 较深肤色|男演员|艺人|较深肤色
👩‍🎤;女歌手;女|女歌手|摇滚歌手|明星|演员|艺人
	👩🏻‍🎤;女歌手: 较浅肤色;女|女歌手|女歌手: 较浅肤色|摇滚歌手|明星|演员|艺人|较浅肤色
	👩🏼‍🎤;女歌手: 中等-浅肤色;中等-浅肤色|女|女歌手|女歌手: 中等-浅肤色|摇滚歌手|明星|演员|艺人
	👩🏽‍🎤;女歌手: 中等肤色;中等肤色|女|女歌手|女歌手: 中等肤色|摇滚歌手|明星|演员|艺人
	👩🏾‍🎤;女歌手: 中等-深肤色;中等-深肤色|女|女歌手|女歌手: 中等-深肤色|摇滚歌手|明星|演员|艺人
	👩🏿‍🎤;女歌手: 较深肤色;女|女歌手|女歌手: 较深肤色|摇滚歌手|明星|演员|艺人|较深肤色
🧑‍🎨;艺术家;画家|艺术家
	🧑🏻‍🎨;艺术家: 较浅肤色;画家|艺术家|艺术家: 较浅肤色|较浅肤色
	🧑🏼‍🎨;艺术家: 中等-浅肤色;中等-浅肤色|画家|艺术家|艺术家: 中等-浅肤色
	🧑🏽‍🎨;艺术家: 中等肤色;中等肤色|画家|艺术家|艺术家: 中等肤色
	🧑🏾‍🎨;艺术家: 中等-深肤色;中等-深肤色|画家|艺术家|艺术家: 中等-深肤色
	🧑🏿‍🎨;艺术家: 较深肤色;画家|艺术家|艺术家: 较深肤色|较深肤色
👨‍🎨;男艺术家;男|男艺术家|画家
	👨🏻‍🎨;男艺术家: 较浅肤色;男|男艺术家|男艺术家: 较浅肤色|画家|较浅肤色
	👨🏼‍🎨;男艺术家: 中等-浅肤色;中等-浅肤色|男|男艺术家|男艺术家: 中等-浅肤色|画家
	👨🏽‍🎨;男艺术家: 中等肤色;中等肤色|男|男艺术家|男艺术家: 中等肤色|画家
	👨🏾‍🎨;男艺术家: 中等-深肤色;中等-深肤色|男|男艺术家|男艺术家: 中等-深肤色|画家
	👨🏿‍🎨;男艺术家: 较深肤色;男|男艺术家|男艺术家: 较深肤色|画家|较深肤色
👩‍🎨;女艺术家;女|女艺术家|画家
	👩🏻‍🎨;女艺术家: 较浅肤色;女|女艺术家|女艺术家: 较浅肤色|画家|较浅肤色
	👩🏼‍🎨;女艺术家: 中等-浅肤色;中等-浅肤色|女|女艺术家|女艺术家: 中等-浅肤色|画家
	👩🏽‍🎨;女艺术家: 中等肤色;中等肤色|女|女艺术家|女艺术家: 中等肤色|画家
	👩🏾‍🎨;女艺术家: 中等-深肤色;中等-深肤色|女|女艺术家|女艺术家: 中等-深肤色|画家
	👩🏿‍🎨;女艺术家: 较深肤色;女|女艺术家|女艺术家: 较深肤色|画家|较深肤色
🧑‍✈️;飞行员;飞机|飞行员
	🧑🏻‍✈️;飞行员: 较浅肤色;较浅肤色|飞机|飞行员|飞行员: 较浅肤色
	🧑🏼‍✈️;飞行员: 中等-浅肤色;中等-浅肤色|飞机|飞行员|飞行员: 中等-浅肤色
	🧑🏽‍✈️;飞行员: 中等肤色;中等肤色|飞机|飞行员|飞行员: 中等肤色
	🧑🏾‍✈️;飞行员: 中等-深肤色;中等-深肤色|飞机|飞行员|飞行员: 中等-深肤色
	🧑🏿‍✈️;飞行员: 较深肤色;较深肤色|飞机|飞行员|飞行员: 较深肤色
👨‍✈️;男飞行员;男|男飞行员|飞机
	👨🏻‍✈️;男飞行员: 较浅肤色;男|男飞行员|男飞行员: 较浅肤色|较浅肤色|飞机
	👨🏼‍✈️;男飞行员: 中等-浅肤色;中等-浅肤色|男|男飞行员|男飞行员: 中等-浅肤色|飞机
	👨🏽‍✈️;男飞行员: 中等肤色;中等肤色|男|男飞行员|男飞行员: 中等肤色|飞机
	👨🏾‍✈️;男飞行员: 中等-深肤色;中等-深肤色|男|男飞行员|男飞行员: 中等-深肤色|飞机
	👨🏿‍✈️;男飞行员: 较深肤色;男|男飞行员|男飞行员: 较深肤色|较深肤色|飞机
👩‍✈️;女飞行员;女|女飞行员|飞机
	👩🏻‍✈️;女飞行员: 较浅肤色;女|女飞行员|女飞行员: 较浅肤色|较浅肤色|飞机
	👩🏼‍✈️;女飞行员: 中等-浅肤色;中等-浅肤色|女|女飞行员|女飞行员: 中等-浅肤色|飞机
	👩🏽‍✈️;女飞行员: 中等肤色;中等肤色|女|女飞行员|女飞行员: 中等肤色|飞机
	👩🏾‍✈️;女飞行员: 中等-深肤色;中等-深肤色|女|女飞行员|女飞行员: 中等-深肤色|飞机
