[smileys_emotion]
😀;활짝 웃는 얼굴;미소|스마일|얼굴|웃음|활짝 웃는 얼굴
	💁🏼‍♂️;손바닥 꺾은 남자: 연한 갈색 피부;손 꺾음|손바닥|손바닥 꺾은 남자|손바닥 꺾은 남자: 연한 갈색 피부|연한 갈색 피부|젖힌 손
	💁🏽‍♂️;손바닥 꺾은 남자: 갈색 피부;갈색 피부|손 꺾음|손바닥|손바닥 꺾은 남자|손바닥 꺾은 남자: 갈색 피부|젖힌 손
	💁🏾‍♂️;손바닥 꺾은 남자: 진한 갈색 피부;손 꺾음|손바닥|손바닥 꺾은 남자|손바닥 꺾은 남자: 진한 갈색 피부|젖힌 손|진한 갈색 피부
	💁🏿‍♂️;손바닥 꺾은 남자: 검은색 피부;검은색 피부|손 꺾음|손바닥|손바닥 꺾은 남자|손바닥 꺾은 남자: 검은색 피부|젖힌 손
💁‍♀️;손바닥 꺾은 여자;손 꺾음|손바닥|손바닥 꺾은 여자|젖힌 손
	💁🏻‍♀️;손바닥 꺾은 여자: 하얀 피부;손 꺾음|손바닥|손바닥 꺾은 여자|손바닥 꺾은 여자: 하얀 피부|젖힌 손|하얀 피부
	💁🏼‍♀️;손바닥 꺾은 여자: 연한 갈색 피부;손 꺾음|손바닥|손바닥 꺾은 여자|손바닥 꺾은 여자: 연한 갈색 피부|연한 갈색 피부|젖힌 손
	💁🏽‍♀️;손바닥 꺾은 여자: 갈색 피부;갈색 피부|손 꺾음|손바닥|손바닥 꺾은 여자|손바닥 꺾은 여자: 갈색 피부|젖힌 손
	💁🏾‍♀️;손바닥 꺾은 여자: 진한 갈색 피부;손 꺾음|손바닥|손바닥 꺾은 여자|손바닥 꺾은 여자: 진한 갈색 피부|젖힌 손|진한 갈색 피부
	💁🏿‍♀️;손바닥 꺾은 여자: 검은색 피부;검은색 피부|손 꺾음|손바닥|손바닥 꺾은 여자|손바닥 꺾은 여자: 검은색 피부|젖힌 손
🙋;한 손 든 사람;즐거워하는 사람|한 손 든 사람|한 손을 든 사람|한 손을 들고 즐거워하는 사람
	🙋🏻;한 손 든 사람: 하얀 피부;즐거워하는 사람|하얀 피부|한 손 든 사람|한 손 든 사람: 하얀 피부|한 손을 든 사람|한 손을 들고 즐거워하는 사람
	🙋🏼;한 손 든 사람: 연한 갈색 피부;연한 갈색 피부|즐거워하는 사람|한 손 든 사람|한 손 든 사람: 연한 갈색 피부|한 손을 든 사람|한 손을 들고 즐거워하는 사람
	🙋🏽;한 손 든 사람: 갈색 피부;갈색 피부|즐거워하는 사람|한 손 든 사람|한 손 든 사람: 갈색 피부|한 손을 든 사람|한 손을 들고 즐거워하는 사람
	🙋🏾;한 손 든 사람: 진한 갈색 피부;즐거워하는 사람|진한 갈색 피부|한 손 든 사람|한 손 든 사람: 진한 갈색 피부|한 손을 든 사람|한 손을 들고 즐거워하는 사람
	🙋🏿;한 손 든 사람: 검은색 피부;검은색 피부|즐거워하는 사람|한 손 든 사람|한 손 든 사람: 검은색 피부|한 손을 든 사람|한 손을 들고 즐거워하는 사람
🙋‍♂️;한 손 든 남자;손들기|여기요|저요|한 손 든 남자|한손
	🙋🏻‍♂️;한 손 든 남자: 하얀 피부;손들기|여기요|저요|하얀 피부|한 손 든 남자|한 손 든 남자: 하얀 피부|한손
	🙋🏼‍♂️;한 손 든 남자: 연한 갈색 피부;손들기|여기요|연한 갈색 피부|저요|한 손 든 남자|한 손 든 남자: 연한 갈색 피부|한손
	🙋🏽‍♂️;한 손 든 남자: 갈색 피부;갈색 피부|손들기|여기요|저요|한 손 든 남자|한 손 든 남자: 갈색 피부|한손
	🙋🏾‍♂️;한 손 든 남자: 진한 갈색 피부;손들기|여기요|저요|진한 갈색 피부|한 손 든 남자|한 손 든 남자: 진한 갈색 피부|한손
	🙋🏿‍♂️;한 손 든 남자: 검은색 피부;검은색 피부|손들기|여기요|저요|한 손 든 남자|한 손 든 남자: 검은색 피부|한손
🙋‍♀️;한 손 든 여자;손들기|여기요|저요|한 손 든 여자|한손
	🙋🏻‍♀️;한 손 든 여자: 하얀 피부;손들기|여기요|저요|하얀 피부|한 손 든 여자|한 손 든 여자: 하얀 피부|한손
	🙋🏼‍♀️;한 손 든 여자: 연한 갈색 피부;손들기|여기요|연한 갈색 피부|저요|한 손 든 여자|한 손 든 여자: 연한 갈색 피부|한손
	🙋🏽‍♀️;한 손 든 여자: 갈색 피부;갈색 피부|손들기|여기요|저요|한 손 든 여자|한 손 든 여자: 갈색 피부|한손
	🙋🏾‍♀️;한 손 든 여자: 진한 갈색 피부;손들기|여기요|저요|진한 갈색 피부|한 손 든 여자|한 손 든 여자: 진한 갈색 피부|한손
	🙋🏿‍♀️;한 손 든 여자: 검은색 피부;검은색 피부|손들기|여기요|저요|한 손 든 여자|한 손 든 여자: 검은색 피부|한손
🧏;청각 장애가 있는 사람;귀|접근성|청각 장애가 있는 사람|청각장애|청력
	🧏🏻;청각 장애가 있는 사람: 하얀 피부;귀|접근성|청각 장애가 있는 사람|청각 장애가 있는 사람: 하얀 피부|청각장애|청력|하얀 피부
	🧏🏼;청각 장애가 있는 사람: 연한 갈색 피부;귀|연한 갈색 피부|접근성|청각 장애가 있는 사람|청각 장애가 있는 사람: 연한 갈색 피부|청각장애|청력
	🧏🏽;청각 장애가 있는 사람: 갈색 피부;갈색 피부|귀|접근성|청각 장애가 있는 사람|청각 장애가 있는 사람: 갈색 피부|청각장애|청력
	🧏🏾;청각 장애가 있는 사람: 진한 갈색 피부;귀|접근성|진한 갈색 피부|청각 장애가 있는 사람|청각 장애가 있는 사람: 진한 갈색 피부|청각장애|청력
	🧏🏿;청각 장애가 있는 사람: 검은색 피부;검은색 피부|귀|접근성|청각 장애가 있는 사람|청각 장애가 있는 사람: 검은색 피부|청각장애|청력
🧏‍♂️;청각장애가 있는 남자;남자|청각장애|청각장애가 있는 남자
	🧏🏻‍♂️;청각장애가 있는 남자: 하얀 피부;남자|청각장애|청각장애가 있는 남자|청각장애가 있는 남자: 하얀 피부|하얀 피부
	🧏🏼‍♂️;청각장애가 있는 남자: 연한 갈색 피부;남자|연한 갈색 피부|청각장애|청각장애가 있는 남자|청각장애가 있는 남자: 연한 갈색 피부
	🧏🏽‍♂️;청각장애가 있는 남자: 갈색 피부;갈색 피부|남자|청각장애|청각장애가 있는 남자|청각장애가 있는 남자: 갈색 피부
	🧏🏾‍♂️;청각장애가 있는 남자: 진한 갈색 피부;남자|진한 갈색 피부|청각장애|청각장애가 있는 남자|청각장애가 있는 남자: 진한 갈색 피부
	🧏🏿‍♂️;청각장애가 있는 남자: 검은색 피부;검은색 피부|남자|청각장애|청각장애가 있는 남자|청각장애가 있는 남자: 검은색 피부
🧏‍♀️;청각장애가 있는 여자;여자|청각장애|청각장애가 있는 여자
	🧏🏻‍♀️;청각장애가 있는 여자: 하얀 피부;여자|청각장애|청각장애가 있는 여자|청각장애가 있는 여자: 하얀 피부|하얀 피부
	🧏🏼‍♀️;청각장애가 있는 여자: 연한 갈색 피부;여자|연한 갈색 피부|청각장애|청각장애가 있는 여자|청각장애가 있는 여자: 연한 갈색 피부
	🧏🏽‍♀️;청각장애가 있는 여자: 갈색 피부;갈색 피부|여자|청각장애|청각장애가 있는 여자|청각장애가 있는 여자: 갈색 피부
	🧏🏾‍♀️;청각장애가 있는 여자: 진한 갈색 피부;여자|진한 갈색 피부|청각장애|청각장애가 있는 여자|청각장애가 있는 여자: 진한 갈색 피부
	🧏🏿‍♀️;청각장애가 있는 여자: 검은색 피부;검은색 피부|여자|청각장애|청각장애가 있는 여자|청각장애가 있는 여자: 검은색 피부
🙇;절하는 사람;사과하는 사람|사과하며 절하는 사람|절하는 사람
	🙇🏻;절하는 사람: 하얀 피부;사과하는 사람|사과하며 절하는 사람|절하는 사람|절하는 사람: 하얀 피부|하얀 피부
	🙇🏼;절하는 사람: 연한 갈색 피부;사과하는 사람|사과하며 절하는 사람|연한 갈색 피부|절하는 사람|절하는 사람: 연한 갈색 피부
	🙇🏽;절하는 사람: 갈색 피부;갈색 피부|사과하는 사람|사과하며 절하는 사람|절하는 사람|절하는 사람: 갈색 피부
	🙇🏾;절하는 사람: 진한 갈색 피부;사과하는 사람|사과하며 절하는 사람|절하는 사람|절하는 사람: 진한 갈색 피부|진한 갈색 피부
	🙇🏿;절하는 사람: 검은색 피부;검은색 피부|사과하는 사람|사과하며 절하는 사람|절하는 사람|절하는 사람: 검은색 피부
🙇‍♂️;절하는 남자;넙죽|사과|절하는 남자|정중함|큰절
	🙇🏻‍♂️;절하는 남자: 하얀 피부;넙죽|사과|절하는 남자|절하는 남자: 하얀 피부|정중함|큰절|하얀 피부
	🙇🏼‍♂️;절하는 남자: 연한 갈색 피부;넙죽|사과|연한 갈색 피부|절하는 남자|절하는 남자: 연한 갈색 피부|정중함|큰절
	🙇🏽‍♂️;절하는 남자: 갈색 피부;갈색 피부|넙죽|사과|절하는 남자|절하는 남자: 갈색 피부|정중함|큰절
	🙇🏾‍♂️;절하는 남자: 진한 갈색 피부;넙죽|사과|절하는 남자|절하는 남자: 진한 갈색 피부|정중함|진한 갈색 피부|큰절
	🙇🏿‍♂️;절하는 남자: 검은색 피부;검은색 피부|넙죽|사과|절하는 남자|절하는 남자: 검은색 피부|정중함|큰절
🙇‍♀️;절하는 여자;넙죽|사과|절하는 여자|정중함|큰절
	🙇🏻‍♀️;절하는 여자: 하얀 피부;넙죽|사과|절하는 여자|절하는 여자: 하얀 피부|정중함|큰절|하얀 피부
	🙇🏼‍♀️;절하는 여자: 연한 갈색 피부;넙죽|사과|연한 갈색 피부|절하는 여자|절하는 여자: 연한 갈색 피부|정중함|큰절
	🙇🏽‍♀️;절하는 여자: 갈색 피부;갈색 피부|넙죽|사과|절하는 여자|절하는 여자: 갈색 피부|정중함|큰절
	🙇🏾‍♀️;절하는 여자: 진한 갈색 피부;넙죽|사과|절하는 여자|절하는 여자: 진한 갈색 피부|정중함|진한 갈색 피부|큰절
	🙇🏿‍♀️;절하는 여자: 검은색 피부;검은색 피부|넙죽|사과|절하는 여자|절하는 여자: 검은색 피부|정중함|큰절
🤦;골치 아파하는 사람;골치 아파하는 사람|맙소사|손바닥|얼굴|이럴 수가
	🤦🏻;골치 아파하는 사람: 하얀 피부;골치 아파하는 사람|골치 아파하는 사람: 하얀 피부|맙소사|손바닥|얼굴|이럴 수가|하얀 피부
	🤦🏼;골치 아파하는 사람: 연한 갈색 피부;골치 아파하는 사람|골치 아파하는 사람: 연한 갈색 피부|맙소사|손바닥|얼굴|연한 갈색 피부|이럴 수가
	🤦🏽;골치 아파하는 사람: 갈색 피부;갈색 피부|골치 아파하는 사람|골치 아파하는 사람: 갈색 피부|맙소사|손바닥|얼굴|이럴 수가
	🤦🏾;골치 아파하는 사람: 진한 갈색 피부;골치 아파하는 사람|골치 아파하는 사람: 진한 갈색 피부|맙소사|손바닥|얼굴|이럴 수가|진한 갈색 피부
	🤦🏿;골치 아파하는 사람: 검은색 피부;검은색 피부|골치 아파하는 사람|골치 아파하는 사람: 검은색 피부|맙소사|손바닥|얼굴|이럴 수가
🤦‍♂️;골치 아파하는 남자;골치 아파하는 남자|맙소사|이럴 수가|이마에 손
	🤦🏻‍♂️;골치 아파하는 남자: 하얀 피부;골치 아파하는 남자|골치 아파하는 남자: 하얀 피부|맙소사|이럴 수가|이마에 손|하얀 피부
	🤦🏼‍♂️;골치 아파하는 남자: 연한 갈색 피부;골치 아파하는 남자|골치 아파하는 남자: 연한 갈색 피부|맙소사|연한 갈색 피부|이럴 수가|이마에 손
	🤦🏽‍♂️;골치 아파하는 남자: 갈색 피부;갈색 피부|골치 아파하는 남자|골치 아파하는 남자: 갈색 피부|맙소사|이럴 수가|이마에 손
	🤦🏾‍♂️;골치 아파하는 남자: 진한 갈색 피부;골치 아파하는 남자|골치 아파하는 남자: 진한 갈색 피부|맙소사|이럴 수가|이마에 손|진한 갈색 피부
	🤦🏿‍♂️;골치 아파하는 남자: 검은색 피부;검은색 피부|골치 아파하는 남자|골치 아파하는 남자: 검은색 피부|맙소사|이럴 수가|이마에 손
🤦‍♀️;골치 아파하는 여자;골치 아파하는 여자|맙소사|이럴 수가|이마에 손
	🤦🏻‍♀️;골치 아파하는 여자: 하얀 피부;골치 아파하는 여자|골치 아파하는 여자: 하얀 피부|맙소사|이럴 수가|이마에 손|하얀 피부
	🤦🏼‍♀️;골치 아파하는 여자: 연한 갈색 피부;골치 아파하는 여자|골치 아파하는 여자: 연한 갈색 피부|맙소사|연한 갈색 피부|이럴 수가|이마에 손
	🤦🏽‍♀️;골치 아파하는 여자: 갈색 피부;갈색 피부|골치 아파하는 여자|골치 아파하는 여자: 갈색 피부|맙소사|이럴 수가|이마에 손
	🤦🏾‍♀️;골치 아파하는 여자: 진한 갈색 피부;골치 아파하는 여자|골치 아파하는 여자: 진한 갈색 피부|맙소사|이럴 수가|이마에 손|진한 갈색 피부
	🤦🏿‍♀️;골치 아파하는 여자: 검은색 피부;검은색 피부|골치 아파하는 여자|골치 아파하는 여자: 검은색 피부|맙소사|이럴 수가|이마에 손
🤷;어깨를 으쓱하는 사람;글쎄|상관없어|어깨 으쓱|어깨를 으쓱하는 사람|으쓱|잘 모르겠음
	🤷🏻;어깨를 으쓱하는 사람: 하얀 피부;글쎄|상관없어|어깨 으쓱|어깨를 으쓱하는 사람|어깨를 으쓱하는 사람: 하얀 피부|으쓱|잘 모르겠음|하얀 피부
	🤷🏼;어깨를 으쓱하는 사람: 연한 갈색 피부;글쎄|상관없어|어깨 으쓱|어깨를 으쓱하는 사람|어깨를 으쓱하는 사람: 연한 갈색 피부|연한 갈색 피부|으쓱|잘 모르겠음
	🤷🏽;어깨를 으쓱하는 사람: 갈색 피부;갈색 피부|글쎄|상관없어|어깨 으쓱|어깨를 으쓱하는 사람|어깨를 으쓱하는 사람: 갈색 피부|으쓱|잘 모르겠음
	🤷🏾;어깨를 으쓱하는 사람: 진한 갈색 피부;글쎄|상관없어|어깨 으쓱|어깨를 으쓱하는 사람|어깨를 으쓱하는 사람: 진한 갈색 피부|으쓱|잘 모르겠음|진한 갈색 피부
	🤷🏿;어깨를 으쓱하는 사람: 검은색 피부;검은색 피부|글쎄|상관없어|어깨 으쓱|어깨를 으쓱하는 사람|어깨를 으쓱하는 사람: 검은색 피부|으쓱|잘 모르겠음
🤷‍♂️;어깨를 으쓱하는 남자;글쎄|모르겠음|어깨|어깨를 으쓱하는 남자
	🤷🏻‍♂️;어깨를 으쓱하는 남자: 하얀 피부;글쎄|모르겠음|어깨|어깨를 으쓱하는 남자|어깨를 으쓱하는 남자: 하얀 피부|하얀 피부
	🤷🏼‍♂️;어깨를 으쓱하는 남자: 연한 갈색 피부;글쎄|모르겠음|어깨|어깨를 으쓱하는 남자|어깨를 으쓱하는 남자: 연한 갈색 피부|연한 갈색 피부
	🤷🏽‍♂️;어깨를 으쓱하는 남자: 갈색 피부;갈색 피부|글쎄|모르겠음|어깨|어깨를 으쓱하는 남자|어깨를 으쓱하는 남자: 갈색 피부
	🤷🏾‍♂️;어깨를 으쓱하는 남자: 진한 갈색 피부;글쎄|모르겠음|어깨|어깨를 으쓱하는 남자|어깨를 으쓱하는 남자: 진한 갈색 피부|진한 갈색 피부
	🤷🏿‍♂️;어깨를 으쓱하는 남자: 검은색 피부;검은색 피부|글쎄|모르겠음|어깨|어깨를 으쓱하는 남자|어깨를 으쓱하는 남자: 검은색 피부
🤷‍♀️;어깨를 으쓱하는 여자;글쎄|모르겠음|어깨|어깨를 으쓱하는 여자
	🤷🏻‍♀️;어깨를 으쓱하는 여자: 하얀 피부;글쎄|모르겠음|어깨|어깨를 으쓱하는 여자|어깨를 으쓱하는 여자: 하얀 피부|하얀 피부
	🤷🏼‍♀️;어깨를 으쓱하는 여자: 연한 갈색 피부;글쎄|모르겠음|어깨|어깨를 으쓱하는 여자|어깨를 으쓱하는 여자: 연한 갈색 피부|연한 갈색 피부
	🤷🏽‍♀️;어깨를 으쓱하는 여자: 갈색 피부;갈색 피부|글쎄|모르겠음|어깨|어깨를 으쓱하는 여자|어깨를 으쓱하는 여자: 갈색 피부
	🤷🏾‍♀️;어깨를 으쓱하는 여자: 진한 갈색 피부;글쎄|모르겠음|어깨|어깨를 으쓱하는 여자|어깨를 으쓱하는 여자: 진한 갈색 피부|진한 갈색 피부
	🤷🏿‍♀️;어깨를 으쓱하는 여자: 검은색 피부;검은색 피부|글쎄|모르겠음|어깨|어깨를 으쓱하는 여자|어깨를 으쓱하는 여자: 검은색 피부
🧑‍⚕️;의료인;간호사|의료|의료인|의사|테라피스트
	🧑🏻‍⚕️;의료인: 하얀 피부;간호사|의료|의료인|의료인: 하얀 피부|의사|테라피스트|하얀 피부
	🧑🏼‍⚕️;의료인: 연한 갈색 피부;간호사|연한 갈색 피부|의료|의료인|의료인: 연한 갈색 피부|의사|테라피스트
	🧑🏽‍⚕️;의료인: 갈색 피부;간호사|갈색 피부|의료|의료인|의료인: 갈색 피부|의사|테라피스트
	🧑🏾‍⚕️;의료인: 진한 갈색 피부;간호사|의료|의료인|의료인: 진한 갈색 피부|의사|진한 갈색 피부|테라피스트
	🧑🏿‍⚕️;의료인: 검은색 피부;간호사|검은색 피부|의료|의료인|의료인: 검은색 피부|의사|테라피스트
👨‍⚕️;남자 의료인;간호사|남자|의료|의료인|의료진|의사|진료|테라피스트
	👨🏻‍⚕️;남자 의료인: 하얀 피부;간호사|남자|남자 의료인: 하얀 피부|의료|의료인|의료진|의사|진료|테라피스트|하얀 피부
	👨🏼‍⚕️;남자 의료인: 연한 갈색 피부;간호사|남자|남자 의료인: 연한 갈색 피부|연한 갈색 피부|의료|의료인|의료진|의사|진료|테라피스트
	👨🏽‍⚕️;남자 의료인: 갈색 피부;간호사|갈색 피부|남자|남자 의료인: 갈색 피부|의료|의료인|의료진|의사|진료|테라피스트
	👨🏾‍⚕️;남자 의료인: 진한 갈색 피부;간호사|남자|남자 의료인: 진한 갈색 피부|의료|의료인|의료진|의사|진료|진한 갈색 피부|테라피스트
	👨🏿‍⚕️;남자 의료인: 검은색 피부;간호사|검은색 피부|남자|남자 의료인: 검은색 피부|의료|의료인|의료진|의사|진료|테라피스트
👩‍⚕️;여자 의료인;간호사|여자|의료|의료인|의료진|의사|진료|테라피스트
	👩🏻‍⚕️;여자 의료인: 하얀 피부;간호사|여자|여자 의료인: 하얀 피부|의료|의료인|의료진|의사|진료|테라피스트|하얀 피부
	👩🏼‍⚕️;여자 의료인: 연한 갈색 피부;간호사|여자|여자 의료인: 연한 갈색 피부|연한 갈색 피부|의료|의료인|의료진|의사|진료|테라피스트
	👩🏽‍⚕️;여자 의료인: 갈색 피부;간호사|갈색 피부|여자|여자 의료인: 갈색 피부|의료|의료인|의료진|의사|진료|테라피스트
	👩🏾‍⚕️;여자 의료인: 진한 갈색 피부;간호사|여자|여자 의료인: 진한 갈색 피부|의료|의료인|의료진|의사|진료|진한 갈색 피부|테라피스트
	👩🏿‍⚕️;여자 의료인: 검은색 피부;간호사|검은색 피부|여자|여자 의료인: 검은색 피부|의료|의료인|의료진|의사|진료|테라피스트
🧑‍🎓;학생;졸업식|학사모|학생
	🧑🏻‍🎓;학생: 하얀 피부;졸업식|하얀 피부|학사모|학생|학생: 하얀 피부
	🧑🏼‍🎓;학생: 연한 갈색 피부;연한 갈색 피부|졸업식|학사모|학생|학생: 연한 갈색 피부
	🧑🏽‍🎓;학생: 갈색 피부;갈색 피부|졸업식|학사모|학생|학생: 갈색 피부
	🧑🏾‍🎓;학생: 진한 갈색 피부;졸업식|진한 갈색 피부|학사모|학생|학생: 진한 갈색 피부
	🧑🏿‍🎓;학생: 검은색 피부;검은색 피부|졸업식|학사모|학생|학생: 검은색 피부
👨‍🎓;남학생;남자|남학생|졸업식|학사모|학생
	👨🏻‍🎓;남학생: 하얀 피부;남자|남학생|남학생: 하얀 피부|졸업식|하얀 피부|학사모|학생
	👨🏼‍🎓;남학생: 연한 갈색 피부;남자|남학생|남학생: 연한 갈색 피부|연한 갈색 피부|졸업식|학사모|학생
	👨🏽‍🎓;남학생: 갈색 피부;갈색 피부|남자|남학생|남학생: 갈색 피부|졸업식|학사모|학생
	👨🏾‍🎓;남학생: 진한 갈색 피부;남자|남학생|남학생: 진한 갈색 피부|졸업식|진한 갈색 피부|학사모|학생
	👨🏿‍🎓;남학생: 검은색 피부;검은색 피부|남자|남학생|남학생: 검은색 피부|졸업식|학사모|학생
👩‍🎓;여학생;여자|여학생|졸업식|학사모|학생
	👩🏻‍🎓;여학생: 하얀 피부;여자|여학생|여학생: 하얀 피부|졸업식|하얀 피부|학사모|학생
	👩🏼‍🎓;여학생: 연한 갈색 피부;여자|여학생|여학생: 연한 갈색 피부|연한 갈색 피부|졸업식|학사모|학생
	👩🏽‍🎓;여학생: 갈색 피부;갈색 피부|여자|여학생|여학생: 갈색 피부|졸업식|학사모|학생
	👩🏾‍🎓;여학생: 진한 갈색 피부;여자|여학생|여학생: 진한 갈색 피부|졸업식|진한 갈색 피부|학사모|학생
	👩🏿‍🎓;여학생: 검은색 피부;검은색 피부|여자|여학생|여학생: 검은색 피부|졸업식|학사모|학생
🧑‍🏫;교사;강사|교사|교수
	🧑🏻‍🏫;교사: 하얀 피부;강사|교사|교사: 하얀 피부|교수|하얀 피부
	🧑🏼‍🏫;교사: 연한 갈색 피부;강사|교사|교사: 연한 갈색 피부|교수|연한 갈색 피부
	🧑🏽‍🏫;교사: 갈색 피부;갈색 피부|강사|교사|교사: 갈색 피부|교수
	🧑🏾‍🏫;교사: 진한 갈색 피부;강사|교사|교사: 진한 갈색 피부|교수|진한 갈색 피부
	🧑🏿‍🏫;교사: 검은색 피부;강사|검은색 피부|교사|교사: 검은색 피부|교수
👨‍🏫;남교사;강사|강연자|교사|교수|남교사|남자|선생님
	👨🏻‍🏫;남교사: 하얀 피부;강사|강연자|교사|교수|남교사|남교사: 하얀 피부|남자|선생님|하얀 피부
	👨🏼‍🏫;남교사: 연한 갈색 피부;강사|강연자|교사|교수|남교사|남교사: 연한 갈색 피부|남자|선생님|연한 갈색 피부
	👨🏽‍🏫;남교사: 갈색 피부;갈색 피부|강사|강연자|교사|교수|남교사|남교사: 갈색 피부|남자|선생님
	👨🏾‍🏫;남교사: 진한 갈색 피부;강사|강연자|교사|교수|남교사|남교사: 진한 갈색 피부|남자|선생님|진한 갈색 피부
	👨🏿‍🏫;남교사: 검은색 피부;강사|강연자|검은색 피부|교사|교수|남교사|남교사: 검은색 피부|남자|선생님
👩‍🏫;여교사;강사|강연자|교사|교수|선생님|여교사|여자
	👩🏻‍🏫;여교사: 하얀 피부;강사|강연자|교사|교수|선생님|여교사|여교사: 하얀 피부|여자|하얀 피부
	👩🏼‍🏫;여교사: 연한 갈색 피부;강사|강연자|교사|교수|선생님|여교사|여교사: 연한 갈색 피부|여자|연한 갈색 피부
	👩🏽‍🏫;여교사: 갈색 피부;갈색 피부|강사|강연자|교사|교수|선생님|여교사|여교사: 갈색 피부|여자
	👩🏾‍🏫;여교사: 진한 갈색 피부;강사|강연자|교사|교수|선생님|여교사|여교사: 진한 갈색 피부|여자|진한 갈색 피부
	👩🏿‍🏫;여교사: 검은색 피부;강사|강연자|검은색 피부|교사|교수|선생님|여교사|여교사: 검은색 피부|여자
🧑‍⚖️;판사;저울|판사
	🧑🏻‍⚖️;판사: 하얀 피부;저울|판사|판사: 하얀 피부|하얀 피부
	🧑🏼‍⚖️;판사: 연한 갈색 피부;연한 갈색 피부|저울|판사|판사: 연한 갈색 피부
	🧑🏽‍⚖️;판사: 갈색 피부;갈색 피부|저울|판사|판사: 갈색 피부
	🧑🏾‍⚖️;판사: 진한 갈색 피부;저울|진한 갈색 피부|판사|판사: 진한 갈색 피부
	🧑🏿‍⚖️;판사: 검은색 피부;검은색 피부|저울|판사|판사: 검은색 피부
👨‍⚖️;남자 판사;남자|법조인|정의|판사
	👨🏻‍⚖️;남자 판사: 하얀 피부;남자|남자 판사: 하얀 피부|법조인|정의|판사|하얀 피부
	👨🏼‍⚖️;남자 판사: 연한 갈색 피부;남자|남자 판사: 연한 갈색 피부|법조인|연한 갈색 피부|정의|판사
	👨🏽‍⚖️;남자 판사: 갈색 피부;갈색 피부|남자|남자 판사: 갈색 피부|법조인|정의|판사
	👨🏾‍⚖️;남자 판사: 진한 갈색 피부;남자|남자 판사: 진한 갈색 피부|법조인|정의|진한 갈색 피부|판사
	👨🏿‍⚖️;남자 판사: 검은색 피부;검은색 피부|남자|남자 판사: 검은색 피부|법조인|정의|판사
👩‍⚖️;여자 판사;법조인|여자|정의|판사
	👩🏻‍⚖️;여자 판사: 하얀 피부;법조인|여자|여자 판사: 하얀 피부|정의|판사|하얀 피부
	👩🏼‍⚖️;여자 판사: 연한 갈색 피부;법조인|여자|여자 판사: 연한 갈색 피부|연한 갈색 피부|정의|판사
	👩🏽‍⚖️;여자 판사: 갈색 피부;갈색 피부|법조인|여자|여자 판사: 갈색 피부|정의|판사
	👩🏾‍⚖️;여자 판사: 진한 갈색 피부;법조인|여자|여자 판사: 진한 갈색 피부|정의|진한 갈색 피부|판사
	👩🏿‍⚖️;여자 판사: 검은색 피부;검은색 피부|법조인|여자|여자 판사: 검은색 피부|정의|판사
🧑‍🌾;농부;농부|농사꾼|농장 주인
	🧑🏻‍🌾;농부: 하얀 피부;농부|농부: 하얀 피부|농사꾼|농장 주인|하얀 피부
	🧑🏼‍🌾;농부: 연한 갈색 피부;농부|농부: 연한 갈색 피부|농사꾼|농장 주인|연한 갈색 피부
	🧑🏽‍🌾;농부: 갈색 피부;갈색 피부|농부|농부: 갈색 피부|농사꾼|농장 주인
	🧑🏾‍🌾;농부: 진한 갈색 피부;농부|농부: 진한 갈색 피부|농사꾼|농장 주인|진한 갈색 피부
	🧑🏿‍🌾;농부: 검은색 피부;검은색 피부|농부|농부: 검은색 피부|농사꾼|농장 주인
👨‍🌾;남자 농부;남자|농부|농사꾼|농장 주인
	👨🏻‍🌾;남자 농부: 하얀 피부;남자|남자 농부: 하얀 피부|농부|농사꾼|농장 주인|하얀 피부
	👨🏼‍🌾;남자 농부: 연한 갈색 피부;남자|남자 농부: 연한 갈색 피부|농부|농사꾼|농장 주인|연한 갈색 피부
	👨🏽‍🌾;남자 농부: 갈색 피부;갈색 피부|남자|남자 농부: 갈색 피부|농부|농사꾼|농장 주인
	👨🏾‍🌾;남자 농부: 진한 갈색 피부;남자|남자 농부: 진한 갈색 피부|농부|농사꾼|농장 주인|진한 갈색 피부
	👨🏿‍🌾;남자 농부: 검은색 피부;검은색 피부|남자|남자 농부: 검은색 피부|농부|농사꾼|농장 주인
👩‍🌾;여자 농부;농부|농사꾼|농장 주인|여자
	👩🏻‍🌾;여자 농부: 하얀 피부;농부|농사꾼|농장 주인|여자|여자 농부: 하얀 피부|하얀 피부
	👩🏼‍🌾;여자 농부: 연한 갈색 피부;농부|농사꾼|농장 주인|여자|여자 농부: 연한 갈색 피부|연한 갈색 피부
	👩🏽‍🌾;여자 농부: 갈색 피부;갈색 피부|농부|농사꾼|농장 주인|여자|여자 농부: 갈색 피부
	👩🏾‍🌾;여자 농부: 진한 갈색 피부;농부|농사꾼|농장 주인|여자|여자 농부: 진한 갈색 피부|진한 갈색 피부
	👩🏿‍🌾;여자 농부: 검은색 피부;검은색 피부|농부|농사꾼|농장 주인|여자|여자 농부: 검은색 피부
🧑‍🍳;요리사;셰프|요리사|주방장
	🧑🏻‍🍳;요리사: 하얀 피부;셰프|요리사|요리사: 하얀 피부|주방장|하얀 피부
	🧑🏼‍🍳;요리사: 연한 갈색 피부;셰프|연한 갈색 피부|요리사|요리사: 연한 갈색 피부|주방장
	🧑🏽‍🍳;요리사: 갈색 피부;갈색 피부|셰프|요리사|요리사: 갈색 피부|주방장
