# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;חיוך רחב;חיוך|חיוך רחב|מחייך|פרצוף|שמח
🤷‍♀️;אישה מושכת בכתפיה;אישה|אישה מושכת בכתפיה|לא אכפת לי|לא בטוחה|לא יודעת|מושכת בכתפיים|ספק
	🤷🏻‍♀️;אישה מושכת בכתפיה: גוון עור בהיר;אישה|אישה מושכת בכתפיה|אישה מושכת בכתפיה: גוון עור בהיר|גוון עור בהיר|לא אכפת לי|לא בטוחה|לא יודעת|מושכת בכתפיים|ספק
	🤷🏼‍♀️;אישה מושכת בכתפיה: גוון עור בהיר בינוני;אישה|אישה מושכת בכתפיה|אישה מושכת בכתפיה: גוון עור בהיר בינוני|גוון עור בהיר בינוני|לא אכפת לי|לא בטוחה|לא יודעת|מושכת בכתפיים|ספק
	🤷🏽‍♀️;אישה מושכת בכתפיה: גוון עור בינוני;אישה|אישה מושכת בכתפיה|אישה מושכת בכתפיה: גוון עור בינוני|גוון עור בינוני|לא אכפת לי|לא בטוחה|לא יודעת|מושכת בכתפיים|ספק
	🤷🏾‍♀️;אישה מושכת בכתפיה: גוון עור כהה בינוני;אישה|אישה מושכת בכתפיה|אישה מושכת בכתפיה: גוון עור כהה בינוני|גוון עור כהה בינוני|לא אכפת לי|לא בטוחה|לא יודעת|מושכת בכתפיים|ספק
	🤷🏿‍♀️;אישה מושכת בכתפיה: גוון עור כהה;אישה|אישה מושכת בכתפיה|אישה מושכת בכתפיה: גוון עור כהה|גוון עור כהה|לא אכפת לי|לא בטוחה|לא יודעת|מושכת בכתפיים|ספק
🧑‍⚕️;עובד בשירותי הבריאות;אח|דוקטור|מטפל|עובד בשירותי הבריאות|רופא|תרפיסט
	🧑🏻‍⚕️;עובד בשירותי הבריאות: גוון עור בהיר;אח|גוון עור בהיר|דוקטור|מטפל|עובד בשירותי הבריאות|עובד בשירותי הבריאות: גוון עור בהיר|רופא|תרפיסט
	🧑🏼‍⚕️;עובד בשירותי הבריאות: גוון עור בהיר בינוני;אח|גוון עור בהיר בינוני|דוקטור|מטפל|עובד בשירותי הבריאות|עובד בשירותי הבריאות: גוון עור בהיר בינוני|רופא|תרפיסט
	🧑🏽‍⚕️;עובד בשירותי הבריאות: גוון עור בינוני;אח|גוון עור בינוני|דוקטור|מטפל|עובד בשירותי הבריאות|עובד בשירותי הבריאות: גוון עור בינוני|רופא|תרפיסט
	🧑🏾‍⚕️;עובד בשירותי הבריאות: גוון עור כהה בינוני;אח|גוון עור כהה בינוני|דוקטור|מטפל|עובד בשירותי הבריאות|עובד בשירותי הבריאות: גוון עור כהה בינוני|רופא|תרפיסט
	🧑🏿‍⚕️;עובד בשירותי הבריאות: גוון עור כהה;אח|גוון עור כהה|דוקטור|מטפל|עובד בשירותי הבריאות|עובד בשירותי הבריאות: גוון עור כהה|רופא|תרפיסט
👨‍⚕️;רופא;אח|איש|דוקטור|מטפל|רופא|שירותי בריאות
	👨🏻‍⚕️;רופא: גוון עור בהיר;אח|איש|גוון עור בהיר|דוקטור|מטפל|רופא|רופא: גוון עור בהיר|שירותי בריאות
	👨🏼‍⚕️;רופא: גוון עור בהיר בינוני;אח|איש|גוון עור בהיר בינוני|דוקטור|מטפל|רופא|רופא: גוון עור בהיר בינוני|שירותי בריאות
	👨🏽‍⚕️;רופא: גוון עור בינוני;אח|איש|גוון עור בינוני|דוקטור|מטפל|רופא|רופא: גוון עור בינוני|שירותי בריאות
	👨🏾‍⚕️;רופא: גוון עור כהה בינוני;אח|איש|גוון עור כהה בינוני|דוקטור|מטפל|רופא|רופא: גוון עור כהה בינוני|שירותי בריאות
	👨🏿‍⚕️;רופא: גוון עור כהה;אח|איש|גוון עור כהה|דוקטור|מטפל|רופא|רופא: גוון עור כהה|שירותי בריאות
👩‍⚕️;רופאה;אחות|אישה|מטפלת|רופאה|שירותי בריאות
	👩🏻‍⚕️;רופאה: גוון עור בהיר;אחות|אישה|גוון עור בהיר|מטפלת|רופאה|רופאה: גוון עור בהיר|שירותי בריאות
	👩🏼‍⚕️;רופאה: גוון עור בהיר בינוני;אחות|אישה|גוון עור בהיר בינוני|מטפלת|רופאה|רופאה: גוון עור בהיר בינוני|שירותי בריאות
	👩🏽‍⚕️;רופאה: גוון עור בינוני;אחות|אישה|גוון עור בינוני|מטפלת|רופאה|רופאה: גוון עור בינוני|שירותי בריאות
	👩🏾‍⚕️;רופאה: גוון עור כהה בינוני;אחות|אישה|גוון עור כהה בינוני|מטפלת|רופאה|רופאה: גוון עור כהה בינוני|שירותי בריאות
	👩🏿‍⚕️;רופאה: גוון עור כהה;אחות|אישה|גוון עור כהה|מטפלת|רופאה|רופאה: גוון עור כהה|שירותי בריאות
🧑‍🎓;סטודנט/ית;בוגר|בוגרת|סטודנט|סטודנט/ית|סטודנטית
	🧑🏻‍🎓;סטודנט/ית: גוון עור בהיר;בוגר|בוגרת|גוון עור בהיר|סטודנט|סטודנט/ית|סטודנט/ית: גוון עור בהיר|סטודנטית
	🧑🏼‍🎓;סטודנט/ית: גוון עור בהיר בינוני;בוגר|בוגרת|גוון עור בהיר בינוני|סטודנט|סטודנט/ית|סטודנט/ית: גוון עור בהיר בינוני|סטודנטית
	🧑🏽‍🎓;סטודנט/ית: גוון עור בינוני;בוגר|בוגרת|גוון עור בינוני|סטודנט|סטודנט/ית|סטודנט/ית: גוון עור בינוני|סטודנטית
	🧑🏾‍🎓;סטודנט/ית: גוון עור כהה בינוני;בוגר|בוגרת|גוון עור כהה בינוני|סטודנט|סטודנט/ית|סטודנט/ית: גוון עור כהה בינוני|סטודנטית
	🧑🏿‍🎓;סטודנט/ית: גוון עור כהה;בוגר|בוגרת|גוון עור כהה|סטודנט|סטודנט/ית|סטודנט/ית: גוון עור כהה|סטודנטית
👨‍🎓;סטודנט;איש|בוגר|בן|גבר|סטודנט|תלמיד
	👨🏻‍🎓;סטודנט: גוון עור בהיר;איש|בוגר|בן|גבר|גוון עור בהיר|סטודנט|סטודנט: גוון עור בהיר|תלמיד
	👨🏼‍🎓;סטודנט: גוון עור בהיר בינוני;איש|בוגר|בן|גבר|גוון עור בהיר בינוני|סטודנט|סטודנט: גוון עור בהיר בינוני|תלמיד
	👨🏽‍🎓;סטודנט: גוון עור בינוני;איש|בוגר|בן|גבר|גוון עור בינוני|סטודנט|סטודנט: גוון עור בינוני|תלמיד
	👨🏾‍🎓;סטודנט: גוון עור כהה בינוני;איש|בוגר|בן|גבר|גוון עור כהה בינוני|סטודנט|סטודנט: גוון עור כהה בינוני|תלמיד
	👨🏿‍🎓;סטודנט: גוון עור כהה;איש|בוגר|בן|גבר|גוון עור כהה|סטודנט|סטודנט: גוון עור כהה|תלמיד
👩‍🎓;סטודנטית;אישה|בוגרת|בת|סטודנטית|תלמידה
	👩🏻‍🎓;סטודנטית: גוון עור בהיר;אישה|בוגרת|בת|גוון עור בהיר|סטודנטית|סטודנטית: גוון עור בהיר|תלמידה
	👩🏼‍🎓;סטודנטית: גוון עור בהיר בינוני;אישה|בוגרת|בת|גוון עור בהיר בינוני|סטודנטית|סטודנטית: גוון עור בהיר בינוני|תלמידה
	👩🏽‍🎓;סטודנטית: גוון עור בינוני;אישה|בוגרת|בת|גוון עור בינוני|סטודנטית|סטודנטית: גוון עור בינוני|תלמידה
	👩🏾‍🎓;סטודנטית: גוון עור כהה בינוני;אישה|בוגרת|בת|גוון עור כהה בינוני|סטודנטית|סטודנטית: גוון עור כהה בינוני|תלמידה
	👩🏿‍🎓;סטודנטית: גוון עור כהה;אישה|בוגרת|בת|גוון עור כהה|סטודנטית|סטודנטית: גוון עור כהה|תלמידה
🧑‍🏫;מצוות המורים;מדריך|מדריכה|מורה|מלמד|מלמדת|מצוות המורים|מרצה|עוזר הוראה
	🧑🏻‍🏫;מצוות המורים: גוון עור בהיר;גוון עור בהיר|מדריך|מדריכה|מורה|מלמד|מלמדת|מצוות המורים|מצוות המורים: גוון עור בהיר|מרצה|עוזר הוראה
	🧑🏼‍🏫;מצוות המורים: גוון עור בהיר בינוני;גוון עור בהיר בינוני|מדריך|מדריכה|מורה|מלמד|מלמדת|מצוות המורים|מצוות המורים: גוון עור בהיר בינוני|מרצה|עוזר הוראה
	🧑🏽‍🏫;מצוות המורים: גוון עור בינוני;גוון עור בינוני|מדריך|מדריכה|מורה|מלמד|מלמדת|מצוות המורים|מצוות המורים: גוון עור בינוני|מרצה|עוזר הוראה
	🧑🏾‍🏫;מצוות המורים: גוון עור כהה בינוני;גוון עור כהה בינוני|מדריך|מדריכה|מורה|מלמד|מלמדת|מצוות המורים|מצוות המורים: גוון עור כהה בינוני|מרצה|עוזר הוראה
	🧑🏿‍🏫;מצוות המורים: גוון עור כהה;גוון עור כהה|מדריך|מדריכה|מורה|מלמד|מלמדת|מצוות המורים|מצוות המורים: גוון עור כהה|מרצה|עוזר הוראה
👨‍🏫;מורה;איש|בן|גבר|מורה|מנחה|מרצה|פרופסור
	👨🏻‍🏫;מורה: גוון עור בהיר;איש|בן|גבר|גוון עור בהיר|מורה|מורה: גוון עור בהיר|מנחה|מרצה|פרופסור
	👨🏼‍🏫;מורה: גוון עור בהיר בינוני;איש|בן|גבר|גוון עור בהיר בינוני|מורה|מורה: גוון עור בהיר בינוני|מנחה|מרצה|פרופסור
	👨🏽‍🏫;מורה: גוון עור בינוני;איש|בן|גבר|גוון עור בינוני|מורה|מורה: גוון עור בינוני|מנחה|מרצה|פרופסור
	👨🏾‍🏫;מורה: גוון עור כהה בינוני;איש|בן|גבר|גוון עור כהה בינוני|מורה|מורה: גוון עור כהה בינוני|מנחה|מרצה|פרופסור
	👨🏿‍🏫;מורה: גוון עור כהה;איש|בן|גבר|גוון עור כהה|מורה|מורה: גוון עור כהה|מנחה|מרצה|פרופסור
👩‍🏫;מוֹרָה;אישה|מורה|מוֹרָה|מנחה|מרצה|פרופסורית
	👩🏻‍🏫;מוֹרָה: גוון עור בהיר;אישה|גוון עור בהיר|מורה|מוֹרָה|מוֹרָה: גוון עור בהיר|מנחה|מרצה|פרופסורית
	👩🏼‍🏫;מוֹרָה: גוון עור בהיר בינוני;אישה|גוון עור בהיר בינוני|מורה|מוֹרָה|מוֹרָה: גוון עור בהיר בינוני|מנחה|מרצה|פרופסורית
	👩🏽‍🏫;מוֹרָה: גוון עור בינוני;אישה|גוון עור בינוני|מורה|מוֹרָה|מוֹרָה: גוון עור בינוני|מנחה|מרצה|פרופסורית
	👩🏾‍🏫;מוֹרָה: גוון עור כהה בינוני;אישה|גוון עור כהה בינוני|מורה|מוֹרָה|מוֹרָה: גוון עור כהה בינוני|מנחה|מרצה|פרופסורית
	👩🏿‍🏫;מוֹרָה: גוון עור כהה;אישה|גוון עור כהה|מורה|מוֹרָה|מוֹרָה: גוון עור כהה|מנחה|מרצה|פרופסורית
🧑‍⚖️;שופט/ת;מאזני הצדק|מאזניים|משפט|משפטים|שופט|שופט/ת|שופטת
	🧑🏻‍⚖️;שופט/ת: גוון עור בהיר;גוון עור בהיר|מאזני הצדק|מאזניים|משפט|משפטים|שופט|שופט/ת|שופט/ת: גוון עור בהיר|שופטת
	🧑🏼‍⚖️;שופט/ת: גוון עור בהיר בינוני;גוון עור בהיר בינוני|מאזני הצדק|מאזניים|משפט|משפטים|שופט|שופט/ת|שופט/ת: גוון עור בהיר בינוני|שופטת
	🧑🏽‍⚖️;שופט/ת: גוון עור בינוני;גוון עור בינוני|מאזני הצדק|מאזניים|משפט|משפטים|שופט|שופט/ת|שופט/ת: גוון עור בינוני|שופטת
	🧑🏾‍⚖️;שופט/ת: גוון עור כהה בינוני;גוון עור כהה בינוני|מאזני הצדק|מאזניים|משפט|משפטים|שופט|שופט/ת|שופט/ת: גוון עור כהה בינוני|שופטת
	🧑🏿‍⚖️;שופט/ת: גוון עור כהה;גוון עור כהה|מאזני הצדק|מאזניים|משפט|משפטים|שופט|שופט/ת|שופט/ת: גוון עור כהה|שופטת
👨‍⚖️;שופט;איש|גבר|מאזניים|משפט|צדק|שופט
	👨🏻‍⚖️;שופט: גוון עור בהיר;איש|גבר|גוון עור בהיר|מאזניים|משפט|צדק|שופט|שופט: גוון עור בהיר
	👨🏼‍⚖️;שופט: גוון עור בהיר בינוני;איש|גבר|גוון עור בהיר בינוני|מאזניים|משפט|צדק|שופט|שופט: גוון עור בהיר בינוני
	👨🏽‍⚖️;שופט: גוון עור בינוני;איש|גבר|גוון עור בינוני|מאזניים|משפט|צדק|שופט|שופט: גוון עור בינוני
	👨🏾‍⚖️;שופט: גוון עור כהה בינוני;איש|גבר|גוון עור כהה בינוני|מאזניים|משפט|צדק|שופט|שופט: גוון עור כהה בינוני
	👨🏿‍⚖️;שופט: גוון עור כהה;איש|גבר|גוון עור כהה|מאזניים|משפט|צדק|שופט|שופט: גוון עור כהה
👩‍⚖️;שופטת;אישה|מאזניים|משפט|צדק|שופטת
	👩🏻‍⚖️;שופטת: גוון עור בהיר;אישה|גוון עור בהיר|מאזניים|משפט|צדק|שופטת|שופטת: גוון עור בהיר
	👩🏼‍⚖️;שופטת: גוון עור בהיר בינוני;אישה|גוון עור בהיר בינוני|מאזניים|משפט|צדק|שופטת|שופטת: גוון עור בהיר בינוני
	👩🏽‍⚖️;שופטת: גוון עור בינוני;אישה|גוון עור בינוני|מאזניים|משפט|צדק|שופטת|שופטת: גוון עור בינוני
	👩🏾‍⚖️;שופטת: גוון עור כהה בינוני;אישה|גוון עור כהה בינוני|מאזניים|משפט|צדק|שופטת|שופטת: גוון עור כהה בינוני
	👩🏿‍⚖️;שופטת: גוון עור כהה;אישה|גוון עור כהה|מאזניים|משפט|צדק|שופטת|שופטת: גוון עור כהה
🧑‍🌾;חקלאי/ת;גנן|גננת|חווה|חקלאות|חקלאי|חקלאי/ת|חקלאית
	🧑🏻‍🌾;חקלאי/ת: גוון עור בהיר;גוון עור בהיר|גנן|גננת|חווה|חקלאות|חקלאי|חקלאי/ת|חקלאי/ת: גוון עור בהיר|חקלאית
	🧑🏼‍🌾;חקלאי/ת: גוון עור בהיר בינוני;גוון עור בהיר בינוני|גנן|גננת|חווה|חקלאות|חקלאי|חקלאי/ת|חקלאי/ת: גוון עור בהיר בינוני|חקלאית
	🧑🏽‍🌾;חקלאי/ת: גוון עור בינוני;גוון עור בינוני|גנן|גננת|חווה|חקלאות|חקלאי|חקלאי/ת|חקלאי/ת: גוון עור בינוני|חקלאית
	🧑🏾‍🌾;חקלאי/ת: גוון עור כהה בינוני;גוון עור כהה בינוני|גנן|גננת|חווה|חקלאות|חקלאי|חקלאי/ת|חקלאי/ת: גוון עור כהה בינוני|חקלאית
	🧑🏿‍🌾;חקלאי/ת: גוון עור כהה;גוון עור כהה|גנן|גננת|חווה|חקלאות|חקלאי|חקלאי/ת|חקלאי/ת: גוון עור כהה|חקלאית
👨‍🌾;חקלאי;איש|גנן|חוואי|חקלאי
	👨🏻‍🌾;חקלאי: גוון עור בהיר;איש|גוון עור בהיר|גנן|חוואי|חקלאי|חקלאי: גוון עור בהיר
	👨🏼‍🌾;חקלאי: גוון עור בהיר בינוני;איש|גוון עור בהיר בינוני|גנן|חוואי|חקלאי|חקלאי: גוון עור בהיר בינוני
	👨🏽‍🌾;חקלאי: גוון עור בינוני;איש|גוון עור בינוני|גנן|חוואי|חקלאי|חקלאי: גוון עור בינוני
	👨🏾‍🌾;חקלאי: גוון עור כהה בינוני;איש|גוון עור כהה בינוני|גנן|חוואי|חקלאי|חקלאי: גוון עור כהה בינוני
	👨🏿‍🌾;חקלאי: גוון עור כהה;איש|גוון עור כהה|גנן|חוואי|חקלאי|חקלאי: גוון עור כהה
👩‍🌾;חקלאית;אישה|גננית|חוואית|חקלאית|עובדת משק
	👩🏻‍🌾;חקלאית: גוון עור בהיר;אישה|גוון עור בהיר|גננית|חוואית|חקלאית|חקלאית: גוון עור בהיר|עובדת משק
	👩🏼‍🌾;חקלאית: גוון עור בהיר בינוני;אישה|גוון עור בהיר בינוני|גננית|חוואית|חקלאית|חקלאית: גוון עור בהיר בינוני|עובדת משק
	👩🏽‍🌾;חקלאית: גוון עור בינוני;אישה|גוון עור בינוני|גננית|חוואית|חקלאית|חקלאית: גוון עור בינוני|עובדת משק
	👩🏾‍🌾;חקלאית: גוון עור כהה בינוני;אישה|גוון עור כהה בינוני|גננית|חוואית|חקלאית|חקלאית: גוון עור כהה בינוני|עובדת משק
	👩🏿‍🌾;חקלאית: גוון עור כהה;אישה|גוון עור כהה|גננית|חוואית|חקלאית|חקלאית: גוון עור כהה|עובדת משק
🧑‍🍳;טבח/ית;טבח|טבח/ית|טבחית|שף|שפית
	🧑🏻‍🍳;טבח/ית: גוון עור בהיר;גוון עור בהיר|טבח|טבח/ית|טבח/ית: גוון עור בהיר|טבחית|שף|שפית
	🧑🏼‍🍳;טבח/ית: גוון עור בהיר בינוני;גוון עור בהיר בינוני|טבח|טבח/ית|טבח/ית: גוון עור בהיר בינוני|טבחית|שף|שפית
	🧑🏽‍🍳;טבח/ית: גוון עור בינוני;גוון עור בינוני|טבח|טבח/ית|טבח/ית: גוון עור בינוני|טבחית|שף|שפית
	🧑🏾‍🍳;טבח/ית: גוון עור כהה בינוני;גוון עור כהה בינוני|טבח|טבח/ית|טבח/ית: גוון עור כהה בינוני|טבחית|שף|שפית
	🧑🏿‍🍳;טבח/ית: גוון עור כהה;גוון עור כהה|טבח|טבח/ית|טבח/ית: גוון עור כהה|טבחית|שף|שפית
👨‍🍳;טבח;גבר|טבח|מבשל|שף
	👨🏻‍🍳;טבח: גוון עור בהיר;גבר|גוון עור בהיר|טבח|טבח: גוון עור בהיר|מבשל|שף
	👨🏼‍🍳;טבח: גוון עור בהיר בינוני;גבר|גוון עור בהיר בינוני|טבח|טבח: גוון עור בהיר בינוני|מבשל|שף
	👨🏽‍🍳;טבח: גוון עור בינוני;גבר|גוון עור בינוני|טבח|טבח: גוון עור בינוני|מבשל|שף
	👨🏾‍🍳;טבח: גוון עור כהה בינוני;גבר|גוון עור כהה בינוני|טבח|טבח: גוון עור כהה בינוני|מבשל|שף
	👨🏿‍🍳;טבח: גוון עור כהה;גבר|גוון עור כהה|טבח|טבח: גוון עור כהה|מבשל|שף
👩‍🍳;טבחית;אישה|טבחית|מבשלת|שפית
	👩🏻‍🍳;טבחית: גוון עור בהיר;אישה|גוון עור בהיר|טבחית|טבחית: גוון עור בהיר|מבשלת|שפית
	👩🏼‍🍳;טבחית: גוון עור בהיר בינוני;אישה|גוון עור בהיר בינוני|טבחית|טבחית: גוון עור בהיר בינוני|מבשלת|שפית
	👩🏽‍🍳;טבחית: גוון עור בינוני;אישה|גוון עור בינוני|טבחית|טבחית: גוון עור בינוני|מבשלת|שפית
	👩🏾‍🍳;טבחית: גוון עור כהה בינוני;אישה|גוון עור כהה בינוני|טבחית|טבחית: גוון עור כהה בינוני|מבשלת|שפית
	👩🏿‍🍳;טבחית: גוון עור כהה;אישה|גוון עור כהה|טבחית|טבחית: גוון עור כהה|מבשלת|שפית
🧑‍🔧;מכונאי/ת;אינסטלטור|אינסטלטורית|חשמלאי|חשמלאית|מכונאי|מכונאי/ת|מכונאית|שרברב
	🧑🏻‍🔧;מכונאי/ת: גוון עור בהיר;אינסטלטור|אינסטלטורית|גוון עור בהיר|חשמלאי|חשמלאית|מכונאי|מכונאי/ת|מכונאי/ת: גוון עור בהיר|מכונאית|שרברב
	🧑🏼‍🔧;מכונאי/ת: גוון עור בהיר בינוני;אינסטלטור|אינסטלטורית|גוון עור בהיר בינוני|חשמלאי|חשמלאית|מכונאי|מכונאי/ת|מכונאי/ת: גוון עור בהיר בינוני|מכונאית|שרברב
	🧑🏽‍🔧;מכונאי/ת: גוון עור בינוני;אינסטלטור|אינסטלטורית|גוון עור בינוני|חשמלאי|חשמלאית|מכונאי|מכונאי/ת|מכונאי/ת: גוון עור בינוני|מכונאית|שרברב
	🧑🏾‍🔧;מכונאי/ת: גוון עור כהה בינוני;אינסטלטור|אינסטלטורית|גוון עור כהה בינוני|חשמלאי|חשמלאית|מכונאי|מכונאי/ת|מכונאי/ת: גוון עור כהה בינוני|מכונאית|שרברב
	🧑🏿‍🔧;מכונאי/ת: גוון עור כהה;אינסטלטור|אינסטלטורית|גוון עור כהה|חשמלאי|חשמלאית|מכונאי|מכונאי/ת|מכונאי/ת: גוון עור כהה|מכונאית|שרברב
👨‍🔧;מכונאי;איש|איש מקצוע|גבר|חשמלאי|טכנאי|מכונאי|שרברב
	👨🏻‍🔧;מכונאי: גוון עור בהיר;איש|איש מקצוע|גבר|גוון עור בהיר|חשמלאי|טכנאי|מכונאי|מכונאי: גוון עור בהיר|שרברב
	👨🏼‍🔧;מכונאי: גוון עור בהיר בינוני;איש|איש מקצוע|גבר|גוון עור בהיר בינוני|חשמלאי|טכנאי|מכונאי|מכונאי: גוון עור בהיר בינוני|שרברב
	👨🏽‍🔧;מכונאי: גוון עור בינוני;איש|איש מקצוע|גבר|גוון עור בינוני|חשמלאי|טכנאי|מכונאי|מכונאי: גוון עור בינוני|שרברב
	👨🏾‍🔧;מכונאי: גוון עור כהה בינוני;איש|איש מקצוע|גבר|גוון עור כהה בינוני|חשמלאי|טכנאי|מכונאי|מכונאי: גוון עור כהה בינוני|שרברב
	👨🏿‍🔧;מכונאי: גוון עור כהה;איש|איש מקצוע|גבר|גוון עור כהה|חשמלאי|טכנאי|מכונאי|מכונאי: גוון עור כהה|שרברב
👩‍🔧;מכונאית;אישה|אשת מקצוע|חשמלאית|טכנאית|מכונאית
	👩🏻‍🔧;מכונאית: גוון עור בהיר;אישה|אשת מקצוע|גוון עור בהיר|חשמלאית|טכנאית|מכונאית|מכונאית: גוון עור בהיר
	👩🏼‍🔧;מכונאית: גוון עור בהיר בינוני;אישה|אשת מקצוע|גוון עור בהיר בינוני|חשמלאית|טכנאית|מכונאית|מכונאית: גוון עור בהיר בינוני
	👩🏽‍🔧;מכונאית: גוון עור בינוני;אישה|אשת מקצוע|גוון עור בינוני|חשמלאית|טכנאית|מכונאית|מכונאית: גוון עור בינוני
	👩🏾‍🔧;מכונאית: גוון עור כהה בינוני;אישה|אשת מקצוע|גוון עור כהה בינוני|חשמלאית|טכנאית|מכונאית|מכונאית: גוון עור כהה בינוני
	👩🏿‍🔧;מכונאית: גוון עור כהה;אישה|אשת מקצוע|גוון עור כהה|חשמלאית|טכנאית|מכונאית|מכונאית: גוון עור כהה
🧑‍🏭;פועל/ת;בית חרושת|מפעל|פועל|פועל/ת|פועלת|תעשייה
	🧑🏻‍🏭;פועל/ת: גוון עור בהיר;בית חרושת|גוון עור בהיר|מפעל|פועל|פועל/ת|פועל/ת: גוון עור בהיר|פועלת|תעשייה
	🧑🏼‍🏭;פועל/ת: גוון עור בהיר בינוני;בית חרושת|גוון עור בהיר בינוני|מפעל|פועל|פועל/ת|פועל/ת: גוון עור בהיר בינוני|פועלת|תעשייה
	🧑🏽‍🏭;פועל/ת: גוון עור בינוני;בית חרושת|גוון עור בינוני|מפעל|פועל|פועל/ת|פועל/ת: גוון עור בינוני|פועלת|תעשייה
	🧑🏾‍🏭;פועל/ת: גוון עור כהה בינוני;בית חרושת|גוון עור כהה בינוני|מפעל|פועל|פועל/ת|פועל/ת: גוון עור כהה בינוני|פועלת|תעשייה
	🧑🏿‍🏭;פועל/ת: גוון עור כהה;בית חרושת|גוון עור כהה|מפעל|פועל|פועל/ת|פועל/ת: גוון עור כהה|פועלת|תעשייה
👨‍🏭;פועל;איש|גבר|מפעיל|עובד מפעל|עובד תעשייה|פועל
	👨🏻‍🏭;פועל: גוון עור בהיר;איש|גבר|גוון עור בהיר|מפעיל|עובד מפעל|עובד תעשייה|פועל|פועל: גוון עור בהיר
	👨🏼‍🏭;פועל: גוון עור בהיר בינוני;איש|גבר|גוון עור בהיר בינוני|מפעיל|עובד מפעל|עובד תעשייה|פועל|פועל: גוון עור בהיר בינוני
	👨🏽‍🏭;פועל: גוון עור בינוני;איש|גבר|גוון עור בינוני|מפעיל|עובד מפעל|עובד תעשייה|פועל|פועל: גוון עור בינוני
	👨🏾‍🏭;פועל: גוון עור כהה בינוני;איש|גבר|גוון עור כהה בינוני|מפעיל|עובד מפעל|עובד תעשייה|פועל|פועל: גוון עור כהה בינוני
	👨🏿‍🏭;פועל: גוון עור כהה;איש|גבר|גוון עור כהה|מפעיל|עובד מפעל|עובד תעשייה|פועל|פועל: גוון עור כהה
👩‍🏭;פועלת;אישה|מפעילה|מפעל|מרכיבה|עובדת|עובדת תעשייה|פועלת
	👩🏻‍🏭;פועלת: גוון עור בהיר;אישה|גוון עור בהיר|מפעילה|מפעל|מרכיבה|עובדת|עובדת תעשייה|פועלת|פועלת: גוון עור בהיר
	👩🏼‍🏭;פועלת: גוון עור בהיר בינוני;אישה|גוון עור בהיר בינוני|מפעילה|מפעל|מרכיבה|עובדת|עובדת תעשייה|פועלת|פועלת: גוון עור בהיר בינוני
	👩🏽‍🏭;פועלת: גוון עור בינוני;אישה|גוון עור בינוני|מפעילה|מפעל|מרכיבה|עובדת|עובדת תעשייה|פועלת|פועלת: גוון עור בינוני
	👩🏾‍🏭;פועלת: גוון עור כהה בינוני;אישה|גוון עור כהה בינוני|מפעילה|מפעל|מרכיבה|עובדת|עובדת תעשייה|פועלת|פועלת: גוון עור כהה בינוני
	👩🏿‍🏭;פועלת: גוון עור כהה;אישה|גוון עור כהה|מפעילה|מפעל|מרכיבה|עובדת|עובדת תעשייה|פועלת|פועלת: גוון עור כהה
🧑‍💼;עובד/ת משרד;אדריכל|אדריכלית|מנהל|מנהלת|עבודה משרדית|עובד/ת משרד|עסק|צווארון לבן
	🧑🏻‍💼;עובד/ת משרד: גוון עור בהיר;אדריכל|אדריכלית|גוון עור בהיר|מנהל|מנהלת|עבודה משרדית|עובד/ת משרד|עובד/ת משרד: גוון עור בהיר|עסק|צווארון לבן
	🧑🏼‍💼;עובד/ת משרד: גוון עור בהיר בינוני;אדריכל|אדריכלית|גוון עור בהיר בינוני|מנהל|מנהלת|עבודה משרדית|עובד/ת משרד|עובד/ת משרד: גוון עור בהיר בינוני|עסק|צווארון לבן
	🧑🏽‍💼;עובד/ת משרד: גוון עור בינוני;אדריכל|אדריכלית|גוון עור בינוני|מנהל|מנהלת|עבודה משרדית|עובד/ת משרד|עובד/ת משרד: גוון עור בינוני|עסק|צווארון לבן
	🧑🏾‍💼;עובד/ת משרד: גוון עור כהה בינוני;אדריכל|אדריכלית|גוון עור כהה בינוני|מנהל|מנהלת|עבודה משרדית|עובד/ת משרד|עובד/ת משרד: גוון עור כהה בינוני|עסק|צווארון לבן
	🧑🏿‍💼;עובד/ת משרד: גוון עור כהה;אדריכל|אדריכלית|גוון עור כהה|מנהל|מנהלת|עבודה משרדית|עובד/ת משרד|עובד/ת משרד: גוון עור כהה|עסק|צווארון לבן
👨‍💼;עובד משרד;אדריכל|איש עסקים|מנהל|משרד|עובד משרד|פקיד|צווארון לבן
	👨🏻‍💼;עובד משרד: גוון עור בהיר;אדריכל|איש עסקים|גוון עור בהיר|מנהל|משרד|עובד משרד|עובד משרד: גוון עור בהיר|פקיד|צווארון לבן
	👨🏼‍💼;עובד משרד: גוון עור בהיר בינוני;אדריכל|איש עסקים|גוון עור בהיר בינוני|מנהל|משרד|עובד משרד|עובד משרד: גוון עור בהיר בינוני|פקיד|צווארון לבן
	👨🏽‍💼;עובד משרד: גוון עור בינוני;אדריכל|איש עסקים|גוון עור בינוני|מנהל|משרד|עובד משרד|עובד משרד: גוון עור בינוני|פקיד|צווארון לבן
	👨🏾‍💼;עובד משרד: גוון עור כהה בינוני;אדריכל|איש עסקים|גוון עור כהה בינוני|מנהל|משרד|עובד משרד|עובד משרד: גוון עור כהה בינוני|פקיד|צווארון לבן
